slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
state-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,State,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Security/SIEM tooling (Defender, Splunk, Darktrace, Purview, etc.) for 'managing security controls' is endpoint/system-level automation, not a person AI seat."
state-searching-for-agency-information-using-a-knowledge-retrieval-system,State,"Searching for agency information using a knowledge retrieval system.",employees,office_staff,component,general,medium,"Band 5,001-10,000 is a modest fraction of the 77,000 headcount for general-chat knowledge search."
state-summarizing-the-key-points-of-a-lengthy-report-using-ai,State,"Summarizing the key points of a lengthy report using AI.",employees,office_staff,component,general,medium,"Same fractional pattern as other State general-chat rows (5,001-10,000 of 77,000)."
state-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,State,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,high,"Band 50,000+ is roughly two-thirds of the 77,000 headcount, consistent with an enterprise-wide Teams/Zoom meeting-transcription feature."
state-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,State,"Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face ID device unlock, not a person AI seat; consistent with every other Face ID row."
state-using-ai-assisted-tools-in-word-processors,State,"Using AI-assisted tools in word processors.",employees,office_staff,component,general,medium,"Small band (101-1,000 of 77,000) for Grammarly in word processors reads as a limited office rollout, not enterprise."
dot-editing-images-videos-or-other-public-affairs-materials-using-ai,DOT,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"'Editing images, videos, or other public affairs materials' with Adobe is explicitly a comms/PA task; small band (1-100 of 55,000) fits one office."
dot-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOT,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,component,general,medium,"Band 1,001-5,000 is a small fraction of the 55,000 headcount, office staff drafting with a general LLM platform (Azure AI Foundry)."
dot-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DOT,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Palo Alto/Elastic security tooling for cybersecurity controls counts devices/endpoints, not people using an AI tool."
dot-planning-travel-routes-using-ai-driven-map-applications,DOT,"Planning travel routes using AI-driven map applications.",public_users,unknown,enterprise,excluded_not_seats,medium,"Matches the DOE Google Maps/Apple Maps worked example precisely: consumer navigation AI is excluded_not_seats regardless of staff-vs-public reading."
dot-scheduling-and-managing-social-media-posts-using-ai,DOT,"Scheduling and managing social media posts using AI.",employees,occupation:comms,component,comms,high,"Sprout is a social-media management tool for comms staff; band 1-100 of 55,000 fits a single office even though product linkage is missing in this extract."
dot-searching-for-agency-information-using-a-knowledge-retrieval-system,DOT,"Searching for agency information using a knowledge retrieval system.",employees,office_staff,component,general,low,"Databricks/Bedrock/Foundry suggest a custom-built internal search/RAG system rather than an off-the-shelf chat tool; unclear whether the 101-1,000 band (of 55,000) counts general end users of the search UI or the technical team that built it -- kept general/office_staff but genuinely ambiguous."
dot-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOT,"Summarizing the key points of a lengthy report using AI.",employees,office_staff,component,general,medium,"Band 1,001-5,000 of 55,000 fits a subset of office staff summarizing reports with a general LLM platform."
dot-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOT,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,component,general,low,"Google Calendar does not perform transcription/accessibility features, so the product-to-use-case mapping looks like a filing error; treated the 5,001-10,000 band (of 55,000) as office staff using some unspecified meeting tool, confidence low pending clarification."
dot-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,DOT,"Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face ID device unlock, consistent with the pattern across all agencies in this batch."
usda-generating-code-using-ai,USDA,"Generating code using AI.",employees,occupation:developers,component,technical,high,"GitHub Copilot for code generation maps to developer occupation; band 101-1,000 of 100,000 fits a dev team, not the whole agency."
usda-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,USDA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,component,general,medium,"Ask Sage is a GovAI general chat platform; band 1-100 of 100,000 is a tiny pilot group."
usda-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,USDA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,component,excluded_not_seats,high,"Microsoft Defender endpoint security; band 1-100 is far below the 100,000 headcount, reading as one office's device fleet rather than enterprise-wide."
usda-planning-travel-routes-using-ai-driven-map-applications,USDA,"Planning travel routes using AI-driven map applications.",public_users,unknown,enterprise,excluded_not_seats,medium,"Consumer map navigation (Apple Maps), same excluded_not_seats treatment as the worked example regardless of staff-vs-public reading."
usda-searching-for-agency-information-using-a-knowledge-retrieval-system,USDA,"Searching for agency information using a knowledge retrieval system.",employees,all_staff,enterprise,general,high,"Band of 50,000+ is half the 100,000 headcount, consistent with an enterprise Microsoft 365 Copilot Chat rollout for knowledge search."
usda-summarizing-the-key-points-of-a-lengthy-report-using-ai,USDA,"Summarizing the key points of a lengthy report using AI.",employees,office_staff,component,general,medium,"Small band (1-100 of 100,000) for Ask Sage report summarization fits a limited office rollout."
usda-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,USDA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,component,general,medium,"Band 101-1,000 of 100,000 is a small fraction, reading as a limited Teams Premium meeting-feature rollout rather than enterprise-wide."
usda-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,USDA,"Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face ID device unlock, consistent with the pattern across all agencies."
usda-using-ai-assisted-tools-in-word-processors,USDA,"Using AI-assisted tools in word processors.",employees,office_staff,component,general,medium,"Band 101-1,000 of 100,000 is a small fraction of the workforce for Copilot word-processing use."
pbgc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,PBGC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees_and_contractors,all_staff,enterprise,general,medium,"Band lower bound 1,001 EXCEEDS PBGC's 1,000-person headcount, ruling out an employees-only reading; since Microsoft Copilot for document drafting is inherently people-facing (not devices/public/cases), employees_and_contractors is the only fit, though PBGC isn't on the named contractor-heavy agency list -- flagged as genuinely ambiguous, possibly a headcount/banding data mismatch."
pbgc-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,PBGC,"Managing and prioritizing internal service or help desk tickets using AI.",employees,all_staff,enterprise,excluded_not_seats,medium,"Band tops out exactly at PBGC's 1,000-person headcount (potentially every employee who can submit a ticket), but ServiceNow Now Assist does backend triage/categorization rather than a person-facing AI seat."
pbgc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,PBGC,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,component,excluded_not_seats,medium,"Zscaler is a security/proxy tool; band 1-100 of 1,000 is well below full headcount, reading as a subset of managed devices rather than an enterprise rollout."
pbgc-planning-travel-routes-using-ai-driven-map-applications,PBGC,"Planning travel routes using AI-driven map applications.",employees,all_staff,enterprise,excluded_not_seats,medium,"'Native map applications on mobile devices' explicitly points to staff phones rather than the public; band tops out at the 1,000-person headcount, but consumer navigation AI is still excluded_not_seats per the worked map-app example."
pbgc-summarizing-the-key-points-of-a-lengthy-report-using-ai,PBGC,"Summarizing the key points of a lengthy report using AI.",employees,office_staff,component,general,medium,"Small band (1-100 of 1,000) for Copilot report summarization fits a limited office group."
pbgc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,PBGC,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,high,"Band tops out at PBGC's full 1,000-person headcount, consistent with an enterprise Teams Premium meeting-recap rollout at a small agency."
