slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
state-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,State,Department of State,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft Teams, Zoom",,"50,000+",100000,Microsoft Teams; Zoom,productivity,77000
state-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,State,Department of State,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,"50,000+",100000,Apple Face ID,consumer_feature,77000
state-using-ai-assisted-tools-in-word-processors,State,Department of State,,Using AI-assisted tools in word processors.,Grammarly,,101-1000,1000,Grammarly,productivity,77000
dot-editing-images-videos-or-other-public-affairs-materials-using-ai,DOT,Department of Transportation,,"Editing images, videos, or other public affairs materials using AI.",Adobe,,1-100,100,Adobe,productivity,55000
dot-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOT,Department of Transportation,,"Generating first drafts of documents, briefing, or communication materials using AI.",Azure AI Foundry,,1001-5000,5000,Azure AI Foundry,general_llm,55000
dot-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DOT,Department of Transportation,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Elastic Cloud, Palo Alto",,"10,000-50,000",50000,Palo Alto Networks,security_tool,55000
dot-planning-travel-routes-using-ai-driven-map-applications,DOT,Department of Transportation,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,"10,000-50,000",50000,Apple Maps; Google Maps,consumer_feature,55000
dot-scheduling-and-managing-social-media-posts-using-ai,DOT,Department of Transportation,,Scheduling and managing social media posts using AI.,Sprout,,1-100,100,,,55000
dot-searching-for-agency-information-using-a-knowledge-retrieval-system,DOT,Department of Transportation,,Searching for agency information using a knowledge retrieval system.,"Databricks, Bedrock, Foundry",,101-1000,1000,AWS Bedrock; Databricks,"general_llm,ml_platform",55000
dot-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOT,Department of Transportation,,Summarizing the key points of a lengthy report using AI.,Azure AI Foundry,,1001-5000,5000,Azure AI Foundry,general_llm,55000
dot-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOT,Department of Transportation,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Google Calendar,,"5001-10,000",10000,Google Calendar,productivity,55000
dot-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,DOT,Department of Transportation,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,"10,000-50,000",50000,Apple Face ID,consumer_feature,55000
usda-generating-code-using-ai,USDA,Department of Agriculture,,Generating code using AI.,GitHub Copilot,,101-1000,1000,GitHub Copilot,coding_assistant,100000
usda-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,USDA,Department of Agriculture,,"Generating first drafts of documents, briefing, or communication materials using AI.",AskSage,,1-100,100,Ask Sage,general_llm,100000
usda-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,USDA,Department of Agriculture,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Microsoft Defender,,1-100,100,Microsoft Defender,security_tool,100000
usda-planning-travel-routes-using-ai-driven-map-applications,USDA,Department of Agriculture,,Planning travel routes using AI-driven map applications.,Apple Maps,,"10,000-50,000",50000,Apple Maps,consumer_feature,100000
usda-searching-for-agency-information-using-a-knowledge-retrieval-system,USDA,Department of Agriculture,,Searching for agency information using a knowledge retrieval system.,Microsoft Copilot Chat,,"50,000+",100000,Microsoft 365 Copilot Chat,general_llm,100000
usda-summarizing-the-key-points-of-a-lengthy-report-using-ai,USDA,Department of Agriculture,,Summarizing the key points of a lengthy report using AI.,AskSage,,1-100,100,Ask Sage,general_llm,100000
usda-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,USDA,Department of Agriculture,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Teams Premium Intelligent Meeting Features,,101-1000,1000,Microsoft Teams,productivity,100000
usda-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,USDA,Department of Agriculture,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,"10,000-50,000",50000,Apple Face ID,consumer_feature,100000
usda-using-ai-assisted-tools-in-word-processors,USDA,Department of Agriculture,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,100000
pbgc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,PBGC,Pension Benefit Guaranty Corporation,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,1001-5000,5000,Microsoft 365 Copilot,general_llm,1000
pbgc-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,PBGC,Pension Benefit Guaranty Corporation,,Managing and prioritizing internal service or help desk tickets using AI.,ServiceNow (Now Assist),,101-1000,1000,ServiceNow Now Assist,productivity,1000
pbgc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,PBGC,Pension Benefit Guaranty Corporation,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Zscaler,,1-100,100,Zscaler,security_tool,1000
pbgc-planning-travel-routes-using-ai-driven-map-applications,PBGC,Pension Benefit Guaranty Corporation,,Planning travel routes using AI-driven map applications.,Native map applications on mobile devices,,101-1000,1000,,,1000
pbgc-summarizing-the-key-points-of-a-lengthy-report-using-ai,PBGC,Pension Benefit Guaranty Corporation,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,1000
pbgc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,PBGC,Pension Benefit Guaranty Corporation,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Teams Premium (with intelligent meeting recap),,101-1000,1000,Microsoft Teams,productivity,1000
