slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
treasury-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,Treasury,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,medium,"Meeting transcription/captioning (Teams/Zoom-style) is typically an enterprise collaboration feature; band 10,000-50,000 (up to half the 100k headcount) fits a broad rollout."
treasury-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,Treasury,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Facial-recognition phone unlock is a device feature, not a person AI seat; SEC's identical row links the canonical product as ""Apple Face ID"" (consumer_feature), confirming the pattern."
treasury-using-ai-assisted-tools-in-word-processors,Treasury,Using AI-assisted tools in word processors.,employees,office_staff,unknown,general,low,"Generic word-processing AI-assist feature; no product named, band 101-1000 modest."
sec-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,SEC,Creating visual representations of data sets for reports or presentations using AI.,employees,occupation:data_scientists,component,technical,high,"Linked product Alteryx is a data-prep/analytics platform (ml_platform); band 1-100 of 4,600 fits a data/analytics team, and the analytics-tool type drives a technical stratum despite the generic ""reports"" narrative."
sec-curating-news-articles-and-updates-based-on-user-preferences-using-ai,SEC,Curating news articles and updates based on user preferences using AI.,employees,office_staff,unknown,general,low,No product linked; personalized-newsfeed-style task read as general productivity absent evidence of a comms-specific tool.
sec-editing-images-videos-or-other-public-affairs-materials-using-ai,SEC,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"""public affairs materials"" plus creative-suite tools (Adobe Firefly, Vyond, Techsmith Audiate) confirms comms-shop creative production; band 101-1000 of 4,600 fits an expanded public-affairs/multimedia team."
sec-generating-code-using-ai,SEC,Generating code using AI.,employees,occupation:developers,component,technical,high,"GitHub Copilot is a coding assistant; band 101-1000 of 4,600 is plausible for SEC's IT/developer workforce."
sec-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,SEC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees_and_contractors,all_staff,enterprise,general,low,"Band's lower bound (5,001) exceeds SEC's 4,600 total headcount so this cannot be employees-only; M365 Copilot is a seat-licensed drafting tool, so the overage most plausibly reflects contractor/detailee seats beyond core FTE, though the narrative doesn't say so explicitly."
sec-improving-the-quality-of-written-communications-using-ai-tools,SEC,Improving the quality of written communications using AI tools.,employees_and_contractors,all_staff,enterprise,general,low,"Same headcount-exceeding pattern as the drafting row (band 5,001-10,000 vs. 4,600 headcount); M365 Copilot/Copilot Studio licensing plausibly extends to contractors, but this is inferred, not stated."
sec-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,SEC,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,medium,"Linked product NetApp ARP/AI (""Autonomous Ransomware Protection"") is infrastructure/storage-level security AI, matching the DOE CrowdStrike worked example; HackerOne's AI triage (not separately linked) would be human-facing, so confidence is medium given the mixed underlying products."
sec-planning-travel-routes-using-ai-driven-map-applications,SEC,Planning travel routes using AI-driven map applications.,devices_endpoints,unknown,enterprise,excluded_not_seats,medium,"Band (5,001-10,000) exceeds SEC's 4,600 headcount, consistent with counting devices/app installs (multiple per employee) rather than people; matches the worked-example consumer-map pattern and is excluded regardless of the exact unit."
sec-searching-for-agency-information-using-a-knowledge-retrieval-system,SEC,Searching for agency information using a knowledge retrieval system.,unknown,unknown,unknown,general,low,"Band (5,001-10,000) exceeds the 4,600 headcount and bundles three structurally different tools (HR service delivery, general chat, forensics search) under one narrative, so whose seats are being counted can't be isolated."
sec-summarizing-the-key-points-of-a-lengthy-report-using-ai,SEC,Summarizing the key points of a lengthy report using AI.,unknown,unknown,unknown,general,low,"Band exceeds the 4,600 headcount and aggregates 6+ disparate tool types (legal research, investigative data, social listening, productivity); can't isolate which population or stratum the reported number reflects."
sec-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,SEC,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,component,general,medium,"Microsoft Teams auto-caption for meeting accessibility; small band (1-100 of 4,600) suggests a limited/component rollout rather than agency-wide."
sec-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,SEC,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Band (5,001-10,000) exceeds SEC's 4,600 headcount, confirming this counts devices/Face ID activations (possibly multiple per employee) rather than people; linked product is explicitly ""Apple Face ID"" (consumer_feature)."
sec-using-ai-assisted-tools-in-word-processors,SEC,Using AI-assisted tools in word processors.,employees_and_contractors,all_staff,enterprise,general,low,"Band 5,001-10,000 again exceeds the 4,600 headcount; M365 Copilot/Copilot Studio seat licensing plausibly extends beyond core FTE to contractors, inferred rather than stated."
fca-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FCA,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,unknown,general,low,"Product listed only as ""Various"" and agency headcount isn't reported, so plausibility can't be checked; generic reporting/visualization task read as ordinary office productivity."
fca-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FCA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic drafting task defaults to general office productivity."
fca-improving-the-quality-of-written-communications-using-ai-tools,FCA,Improving the quality of written communications using AI tools.,employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic writing-assistance task defaults to general office productivity."
fca-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FCA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,medium,"Wording matches the worked-example security-controls/cybersecurity row seen at Treasury, DOE, and SEC, which is consistently endpoint-security tooling rather than a person seat, even though FCA's headcount isn't reported here."
fca-planning-travel-routes-using-ai-driven-map-applications,FCA,Planning travel routes using AI-driven map applications.,employees,unknown,enterprise,excluded_not_seats,medium,"Matches worked example 3 (consumer map apps, e.g. Treasury's identical row); consumer navigation AI is excluded_not_seats regardless of whether the count reflects staff phones."
fca-searching-for-agency-information-using-a-knowledge-retrieval-system,FCA,Searching for agency information using a knowledge retrieval system.,employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic internal-search task defaults to general office productivity."
fca-summarizing-the-key-points-of-a-lengthy-report-using-ai,FCA,Summarizing the key points of a lengthy report using AI.,employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic summarization task defaults to general office productivity."
fca-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FCA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic meeting-accessibility/captioning task defaults to general office productivity."
fca-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FCA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,medium,"Facial-recognition phone unlock is consistently a device feature across every agency in this batch (Treasury, SEC), not a person AI seat."
fca-using-ai-assisted-tools-in-word-processors,FCA,Using AI-assisted tools in word processors.,employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic word-processing AI-assist task defaults to general office productivity."
abilityone-editing-images-videos-or-other-public-affairs-materials-using-ai,AbilityOne,"Editing images, videos, or other public affairs materials using AI.",employees,all_staff,enterprise,general,high,"Sole linked product across every AbilityOne row is Microsoft 365 Copilot GCC (general_llm); band 1-100 comfortably covers the entire 35-person commission, so this reads as an enterprise-wide Copilot rollout, not a dedicated comms tool."
abilityone-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,AbilityOne,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,Same M365 Copilot GCC enterprise rollout; band 1-100 covers the whole 35-person agency.
abilityone-improving-the-quality-of-written-communications-using-ai-tools,AbilityOne,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,Same M365 Copilot GCC enterprise rollout; band 1-100 covers the whole 35-person agency.
abilityone-prioritizing-and-categorizing-incoming-emails-using-ai,AbilityOne,Prioritizing and categorizing incoming emails using AI.,employees,all_staff,enterprise,general,high,Same M365 Copilot GCC enterprise rollout; band 1-100 covers the whole 35-person agency.
abilityone-searching-for-agency-information-using-a-knowledge-retrieval-system,AbilityOne,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,high,Same M365 Copilot GCC enterprise rollout; band 1-100 covers the whole 35-person agency.
abilityone-summarizing-the-key-points-of-a-lengthy-report-using-ai,AbilityOne,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,high,Same M365 Copilot GCC enterprise rollout; band 1-100 covers the whole 35-person agency.
abilityone-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,AbilityOne,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,high,Same M365 Copilot GCC enterprise rollout; band 1-100 covers the whole 35-person agency.
abilityone-using-ai-assisted-tools-in-word-processors,AbilityOne,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,high,Same M365 Copilot GCC enterprise rollout; band 1-100 covers the whole 35-person agency.
doi-editing-images-videos-or-other-public-affairs-materials-using-ai,DOI,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,medium,"""public affairs materials"" ties this to comms staff even though the tool (M365 Copilot, general_llm) isn't a dedicated media tool; band 1-100 of 70,000 fits a specific public-affairs office."
doi-generating-code-using-ai,DOI,Generating code using AI.,employees,occupation:developers,component,technical,high,"Linked tools (GitHub Copilot, Claude Code, Splunk AI Assistant for SPL, Visual Studio) are all developer/IT tooling; band 101-1000 of 70,000 fits a specific bureau OCIO/dev shop."
doi-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOI,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,component,general,medium,"Generic Microsoft Copilot drafting task; band 1-100 is a thin slice (~0.1%) of the 70,000 headcount, suggesting one office's rollout rather than department-wide."
doi-improving-the-quality-of-written-communications-using-ai-tools,DOI,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,"Band 50,000+ (lower bound below the 70,000 headcount) matches a department-wide Microsoft Copilot/Copilot Chat rollout; Synthesia is a secondary video tool, general writing-assist is the dominant use."
doi-scheduling-and-managing-social-media-posts-using-ai,DOI,Scheduling and managing social media posts using AI.,employees,occupation:comms,component,comms,high,"Hootsuite (social_listening) is an unambiguous social-media/comms tool; band 101-1000 of 70,000 fits DOI's public-affairs teams across bureaus."
doi-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOI,Summarizing the key points of a lengthy report using AI.,employees,office_staff,component,general,medium,"Generic Microsoft Copilot summarization task; band 101-1000 is a narrow slice of the 70,000 headcount, read as one bureau's deployment."
doi-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOI,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,occupation:agents_investigators,component,investigative,high,"Linked product is Axon Evidence (""Evidence.com"", forensics), a law-enforcement body-cam/evidence-management tool, not a meeting-captioning tool; band 1-100 fits a specific investigative/LE component within DOI (e.g., FWS or BIA law enforcement)."
