agency_abbr,agency_name,agency_type,issuing_office,document_type,document_title,publication_year,publication_date,pages,issuing_memo,superseded,is_public,url,local_path,access_status,date_accessed,notes
DoD,Department of Defense,Cabinet,Office of the Secretary of War (USD R&E / CTO),Other Department AI Policy / Guidance,Transforming the Defense Innovation Ecosystem to Accelerate Warfighting Advantage,2026,2026-01-09,2,EO,no,yes,https://static.carahsoft.com/concrete/files/7117/6842/6194/Memorandum_Transforming_the_Defense_Innovation_Ecosystem_to_Accelerate_Warfighting_Advantage.pdf,documents/DoD/DoD__transforming-defense-innovation-ecosystem__2026.pdf,Downloaded,2026-05-21,Companion Jan 9 2026 memo to the DoW AI Strategy; restructures defense innovation ecosystem under a single CTO. Downloaded from Carahsoft mirror (media.defense.gov original Akamai-blocked).
DOE,Department of Energy,Cabinet,Department of Energy,M-24-10 Compliance Plan,DOE AI Compliance Plans per OMB M-24-10,2024,2024-09-23,9,M-24-10,yes,yes,https://www.energy.gov/sites/default/files/2024-09/DOE%20AI%20Compliance%20Plan%209.23.24.pdf,documents/DOE/DOE__m-24-10-compliance-plan__2024.pdf,Downloaded,2026-05-21,2024 M-24-10 compliance plan; superseded by 2025 M-25-21 plan.
DOE,Department of Energy,Cabinet,Office of the Chief Information Officer,Other Department AI Policy / Guidance,Department of Energy Generative Artificial Intelligence Reference Guide v2,2024,2024-06-14,61,none,no,yes,https://www.energy.gov/sites/default/files/2024-12/Generative%20AI%20Reference%20Guide%20v2%206-14-24.pdf,documents/DOE/DOE__generative-ai-reference-guide__2024.pdf,Downloaded,2026-05-21,GenAI reference guide v2 dated 6-14-24; companion guidance to DOE P 203.1.
DOE,Department of Energy,Cabinet,Department of Energy,Generative AI Policy,"DOE P 203.1, Use of Generative Artificial Intelligence",2025,2025-12-29,6,M-25-21,no,yes,https://www.directives.doe.gov/directives-documents/200-series/0203-1-apolicy,documents/DOE/DOE__generative-ai-policy-p203.1__2025.pdf,Downloaded,2026-05-21,DOE directive policy DOE P 203.1 dated 12-29-2025; downloaded via energy.gov document attachment.
DOE,Department of Energy,Cabinet,Department of Energy,M-25-21 AI Strategy,"Artificial Intelligence Strategy, U.S. Department of Energy",2025,2025-09-23,45,M-25-21,no,yes,https://www.energy.gov/sites/default/files/2025-09/EXEC-2025-010630%20-%20250923_%20DOE%20AI%20Strategy%20VFinal.pdf,documents/DOE/DOE__m-25-21-ai-strategy__2025.pdf,Downloaded,2026-05-21,"180-day M-25-21 agency AI strategy; doc dated Sept 23, 2025."
DOE,Department of Energy,Cabinet,Department of Energy,M-25-21 Compliance Plan,"Artificial Intelligence Compliance Plan, U.S. Department of Energy",2025,2025-09-23,10,M-25-21,no,yes,https://www.energy.gov/sites/default/files/2025-09/EXEC-2025-010630%20-%20250923_%20DOE%20AI%20Compliance%20Plan%20VFinal.pdf,documents/DOE/DOE__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,"M-25-21 compliance plan; doc dated Sept 23, 2025."
DOI,Department of the Interior,Cabinet,Department of the Interior,M-24-10 Compliance Plan,U.S. Department of the Interior Compliance Plan for OMB Memoranda M-24-10,2024,2024-09,10,M-24-10,yes,yes,https://www.doi.gov/sites/default/files/documents/2024-09/2024-doi-ai-compliance-plan-final.pdf,documents/DOI/DOI__m-24-10-compliance-plan__2024.pdf,Downloaded,2026-05-21,2024 M-24-10 compliance plan; superseded by 2025 plan. Downloaded from an ACLU mirror of the original doi.gov 2024-09 file.
DOI,Department of the Interior,Cabinet,Department of the Interior,M-25-21 AI Strategy,Department of the Interior Artificial Intelligence Strategy: Setting the Vision,2025,2025-09-30,9,M-25-21,no,yes,https://www.doi.gov/sites/default/files/documents/2025-09/doi-ai-strategy.pdf,documents/DOI/DOI__m-25-21-ai-strategy__2025.pdf,Downloaded,2026-05-21,180-day M-25-21 AI strategy; PDF metadata CreationDate 2025-09-30.
DOI,Department of the Interior,Cabinet,Department of the Interior,M-25-21 Compliance Plan,Department of the Interior Artificial Intelligence Compliance Plan,2025,2025-09,12,M-25-21,no,yes,https://www.doi.gov/sites/default/files/documents/2025-09/doi-ai-compliance-final.pdf,documents/DOI/DOI__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,M-25-21 compliance plan; posted Sept 2025.
DOI,Department of the Interior,Cabinet,Department of the Interior,AI Procurement Policy,Joint AI Acquisition Memorandum,2026,2026-02,6,M-25-22,no,yes,https://www.doi.gov/sites/default/files/documents/2026-02/joint-ai-acquisition-pdf-final.pdf,documents/DOI/DOI__joint-ai-acquisition-memo__2026.pdf,Downloaded,2026-05-21,Establishes procedures for DOI to procure AI by contract; aligns with M-25-22 procurement guidance.
DOI,Department of the Interior,Cabinet,Office of the Chief Information Officer,Generative AI Policy,Use of Generative AI Policy,2026,2026-02,7,M-25-21,no,yes,https://www.doi.gov/sites/default/files/documents/2026-02/ocio-memouse-generative-ai-policy-final.pdf,documents/DOI/DOI__generative-ai-policy__2026.pdf,Downloaded,2026-05-21,OCIO memo establishing responsible-use guidelines for generative AI; posted Feb 2026 (M-25-21 270-day genAI policy requirement).
DOJ,Department of Justice,Cabinet,U.S. Department of Justice (Justice Management Division),M-24-10 Compliance Plan,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2024,2024-10-09,11,M-24-10,yes,yes,https://www.justice.gov/media/1373026/dl,documents/DOJ/DOJ__m-24-10-compliance-plan__2024.pdf,Downloaded,2026-05-21,Only OMB compliance plan publicly posted on justice.gov/ai. Superseded in practice by M-25-21 (M-25-21 plan/strategy not found publicly). Filename in content-disposition: DOJ M-24-10 Compliance Plan - Final (2024.10.09).
DOJ,Department of Justice,Cabinet,Office of the Deputy Attorney General,Other Department AI Policy / Guidance,Shaping the Department of Justice Artificial Intelligence Efforts,2024,2024-03-21,2,none,no,yes,https://www.justice.gov/archives/media/1385331/dl?inline=,documents/DOJ/DOJ__shaping-departments-ai-efforts__2024.pdf,Downloaded,2026-05-21,DAG memo directing DOJ AI governance efforts; now in justice.gov/archives. Year 2024 from document; exact date approximate.
DOL,Department of Labor,Cabinet,Department of Labor,M-25-21 AI Strategy,Department of Labor AI Strategies (OMB Memorandum M-25-21),2025,2025-09,16,M-25-21,no,yes,https://www.dol.gov/sites/dolgov/files/general/ai/DOL-2025-AI-Strategies.pdf,documents/DOL/DOL__m-25-21-ai-strategies__2025.pdf,Downloaded,2026-05-21,"16-page document; prepared by Mangala Kuppa, CAIO; issued by Deputy Secretary Keith Sonderling. Covers 5 maturity levels and 9 workstreams. Downloaded via Wayback Machine (dol.gov blocks curl). Doubles as compliance plan content (addresses M-25-21 Section 4(b))."
DOT,Department of Transportation,Cabinet,Department of Transportation,M-25-21 AI Strategy,DOT AI Strategy Part I: AI Use Case Strategic Alignment,2025,2025-10-03,10,M-25-21,no,yes,https://www.transportation.gov/sites/dot.gov/files/Part_I_-_AI_Use_Case_Alignment_508.pdf,documents/DOT/DOT__ai-strategy-part1-use-case-alignment__2025.txt,Link only,2026-05-21,Part I of DOTs three-part M-25-21 AI strategy. transportation.gov blocks scripted download (Akamai 403); content captured as text via render proxy.
DOT,Department of Transportation,Cabinet,Department of Transportation,M-25-21 AI Strategy,DOT AI Strategy Part II: AI Maturity Assessment and Roadmap,2025,2025-10-03,21,M-25-21,no,yes,https://www.transportation.gov/sites/dot.gov/files/Part_II_-_AI_Maturity_Assessment_508.pdf,documents/DOT/DOT__ai-strategy-part2-maturity-assessment__2025.txt,Link only,2026-05-21,Part II of DOTs three-part M-25-21 AI strategy (operational playbook / AI Accelerator Roadmap). transportation.gov blocks scripted download (Akamai 403); content captured as text via render proxy.
DOT,Department of Transportation,Cabinet,Department of Transportation,M-25-21 Compliance Plan,Part III: DOT Compliance Plan for OMB Memorandum M-25-21,2025,2025-10-03,9,M-25-21,no,yes,https://www.transportation.gov/sites/dot.gov/files/2025-10/DOT_AI_Strategy_Part_III-Compliance_Plan.pdf,documents/DOT/DOT__m-25-21-compliance-plan-part3__2025.txt,Link only,2026-05-21,Part III of DOTs AI strategy = the M-25-21 compliance plan (September 2025). transportation.gov blocks scripted download (Akamai 403); content captured as text via render proxy.
EAC,Election Assistance Commission,Independent,U.S. Election Assistance Commission,M-24-10 Compliance Plan,U.S. Election Assistance Commission Compliance Plan for OMB Memorandum M-24-10,2024,2024-08-02,14,M-24-10,yes,yes,https://www.eac.gov/sites/default/files/2024-10/EAC_Compliance_Plan_OMB_Memorandum_FINAL_508.pdf,documents/EAC/EAC__ai-compliance-plan-m2410__2024.pdf,Downloaded,2026-05-21,2024-vintage M-24-10 compliance plan (dated Aug 2 2024); superseded by the M-25-21 version.
EAC,Election Assistance Commission,Independent,U.S. Election Assistance Commission,M-25-21 Compliance Plan,EAC Compliance Plan for OMB Memorandum M-25-21,2025,2025-09-01,5,M-25-21,no,yes,https://www.eac.gov/sites/default/files/2025-10/EAC%20Compliance%20Plan%20v%201.0.pdf,documents/EAC/EAC__ai-compliance-plan__2025.pdf,Downloaded,2026-05-21,"Compliance Plan v1.0, dated September 2025 (posted Oct 2025). Includes the EAC AI strategy/vision content within the plan; no separate standalone EAC AI strategy document."
EAC,Election Assistance Commission,Independent,U.S. Election Assistance Commission,Other Department AI Policy / Guidance,U.S. Election Assistance Commission AI in Action: Case Studies for Election Officials,2026,2026-03-01,10,none,no,yes,https://www.eac.gov/sites/default/files/2026-03/AI_Case_Studies_508.pdf,documents/EAC/EAC__ai-case-studies__2026.pdf,Downloaded,2026-05-21,EAC guidance resource for election officials on AI adoption; published March 2026. Outward-facing election-administration AI guidance rather than an internal-use policy.
ED,Department of Education,Cabinet,Office of Educational Technology,Historical AI Strategy,Artificial Intelligence and the Future of Teaching and Learning: Insights and Recommendations,2023,2023-05,71,none,no,yes,https://www.ed.gov/sites/ed/files/documents/ai-report/ai-report.pdf,documents/ED/ED__ai-future-teaching-learning-report__2023.pdf,Downloaded,2026-05-21,71-page May 2023 OET report; pre-OMB-memo AI policy/recommendations document.
ED,Department of Education,Cabinet,Department of Education,M-24-10 Compliance Plan,Department of Education Compliance Plan for OMB Memorandum M-24-10,2024,,3,M-24-10,yes,yes,https://www.ed.gov/media/document/department-of-educations-response-m-24-10-actions-107919.pdf,documents/ED/ED__m-24-10-compliance-plan__2024.pdf,Downloaded,2026-05-21,2024-vintage M-24-10 compliance plan. No public M-25-21 strategy or compliance plan found.
ED,Department of Education,Cabinet,"Office of Planning, Evaluation and Policy Development",Other Department AI Policy / Guidance,Dear Colleague Letter: Leveraging Federal Grant Funds to Improve Education Outcomes Through Artificial Intelligence,2025,2025-07-22,2,EO,no,yes,https://www.ed.gov/media/document/opepd-ai-dear-colleague-letter-7222025-110427.pdf,documents/ED/ED__ai-dear-colleague-letter-grant-funds__2025.pdf,Downloaded,2026-05-21,Guidance on responsible AI use of federal grant funds; principles for responsible AI adoption in education. Issued under EO 14179.
EPA,Environmental Protection Agency,Independent,Environmental Protection Agency,M-25-21 AI Strategy,EPA AI Strategies for OMB Memorandum M-25-21,2025,2025-09,6,M-25-21,no,yes,https://www.epa.gov/system/files/documents/2025-10/epa_ai_strategy_plan_final2025.pdf,documents/EPA/EPA__m-25-21-ai-strategy__2025.pdf,Downloaded,2026-05-21,"180-day M-25-21 AI strategy; titled ""September 2025""; hosted at epa.gov/data."
EPA,Environmental Protection Agency,Independent,Environmental Protection Agency,M-25-21 Compliance Plan,U.S. Environmental Protection Agency Compliance Plan for OMB Memorandum M-25-21,2025,2025-09,13,M-25-21,no,yes,https://www.epa.gov/system/files/documents/2025-10/epa_ai_compliance_plan_final2025.pdf,documents/EPA/EPA__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,M-25-21 compliance plan; hosted at epa.gov/data.
FCC,Federal Communications Commission,Independent,Federal Communications Commission,M-25-21 Compliance Plan,FCC Artificial Intelligence Compliance Plan for OMB Memorandum M-25-21,2025,2025-09-01,9,M-25-21,no,yes,https://www.fcc.gov/sites/default/files/fcc-artificial-intelligence-compliance-plan.pdf,documents/FCC/FCC__ai-compliance-plan__2025.pdf,Downloaded,2026-05-21,"Prepared by Arpan Sura, CAIO & Allen Hill, CIO. Dated September 2025. FCC CDN blocks curl/wget; downloaded via Python requests. No separate FCC AI strategy document found."
FDIC,Federal Deposit Insurance Corporation,Independent,Federal Deposit Insurance Corporation,M-25-21 Compliance Plan,Federal Deposit Insurance Corporation (FDIC) Compliance Plan for OMB Memorandum M-25-21,2025,2025-09,3,M-25-21,no,yes,https://www.fdic.gov/artificial-intelligence-ai-compliance-plan.pdf,documents/FDIC/FDIC__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,"Prepared by Michael W. Simon, CAIO. Linked from fdic.gov/ai. References updating FDIC IT Acceptable Use Policy to cover generative AI (genAI policy not separately posted). No separate AI strategy document found."
FERC,Federal Energy Regulatory Commission,Independent,Federal Energy Regulatory Commission,M-25-21 Compliance Plan,"FERC AI Compliance Plan (Accelerating Federal Use of AI through Innovation, Governance, and Public Trust)",2025,2025-09-30,5,M-25-21,no,yes,https://www.ferc.gov/sites/default/files/2025-09/2025%20-%20FERC%20AI%20Compliance%20Plan%20Final%20_%2009302025.pdf,documents/FERC/FERC__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,FERC M-25-21 compliance plan dated 09-30-2025; the only formal AI policy document FERC has posted.
FHFA,Federal Housing Finance Agency,Independent,Federal Housing Finance Agency,M-24-10 Compliance Plan,FHFA Compliance Plan for OMB Memorandum M-24-10,2024,2024-09,7,M-24-10,yes,yes,https://www.fhfa.gov/sites/default/files/2024-09/FHFA_Compliance_Plan_for_OMB_Memorandum_M-24-10.pdf,documents/FHFA/FHFA__m-24-10-compliance-plan__2024.pdf,Downloaded,2026-05-21,September 2024 M-24-10 compliance plan; superseded by the 2025 M-25-21 plan.
FHFA,Federal Housing Finance Agency,Independent,Federal Housing Finance Agency,M-25-21 Compliance Plan,FHFA Compliance Plan for OMB Memorandum M-25-21,2025,2025-09,5,M-25-21,no,yes,https://www.fhfa.gov/document/FHFA-2025-AI-Compliance-Plan.pdf,documents/FHFA/FHFA__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,"Prepared by Tracy Stephan, CAIO. No separate FHFA M-25-21 AI strategy document found."
FRB,Federal Reserve Board,Independent,Board of Governors of the Federal Reserve System,M-24-10 Compliance Plan,Board of Governors of the Federal Reserve System Compliance Plan for OMB Memorandum M-24-10,2024,2024-09-01,10,M-24-10,yes,yes,https://www.federalreserve.gov/publications/files/compliance-plan-for-omb-memorandum-m-24-10-202409.pdf,documents/FRB/FRB__ai-compliance-plan-m2410__2024.pdf,Downloaded,2026-05-21,2024-vintage compliance plan; superseded by the M-25-21 version. Still linked on the Fed AI publications page.
FRB,Federal Reserve Board,Independent,Board of Governors of the Federal Reserve System,M-25-21 Compliance Plan,Board of Governors of the Federal Reserve System Compliance Plan for OMB Memorandum M-25-21,2025,2025-09-01,8,M-25-21,no,yes,https://www.federalreserve.gov/publications/files/compliance-plan-for-omb-memorandum-m-25-21-202509.pdf,documents/FRB/FRB__ai-compliance-plan__2025.pdf,Downloaded,2026-05-21,The Fed is an independent agency; it voluntarily files and publicly posts a biennial M-25-21 compliance plan (satisfies AI in Government Act sec 104). CAIO: Anderson Monken. No public AI strategy (Fed is not a CFO Act agency).
FRTIB,Federal Retirement Thrift Investment Board,Independent,Federal Retirement Thrift Investment Board,Other Department AI Policy / Guidance,FRTIB Artificial Intelligence (AI) Program Page,2024,,1,none,no,yes,https://www.frtib.gov/ai/,documents/FRTIB/FRTIB__ai-program-page__2024.html,Downloaded,2026-05-21,"FRTIB AI program page; references an internal ""AI Plan - 09/2024"" and use of the NIST AI RMF, but the plan/strategy/compliance-plan document itself is not posted publicly. Page saved as HTML. Year reflects the referenced AI Plan date."
FTC,Federal Trade Commission,Independent,Federal Trade Commission,M-25-21 Compliance Plan,Federal Trade Commission Compliance Plan for OMB Memoranda M-25-21,2025,2025-09-01,3,M-25-21,no,yes,https://www.ftc.gov/system/files/ftc_gov/pdf/FTC-AI-Use-Policy.pdf,documents/FTC/FTC__ai-use-policy-compliance-plan__2025.pdf,Downloaded,2026-05-21,"Prepared and issued by Mark D. Gray, CAIO. Dated September 2025. FTC AI landing page (ftc.gov/ai) labels this the FTC AI Compliance Plan. No separate FTC AI strategy found."
GSA,General Services Administration,Independent,General Services Administration,M-25-21 AI Strategy,GSA Strategies for OMB Memorandum M-25-21 (AI strategy),2025,2025-09-30,1,M-25-21,no,yes,https://www.gsa.gov/technology/government-it-initiatives/artificial-intelligence/ai-guidance-and-resources/strategies-for-omb-m2521,documents/GSA/GSA__m-25-21-ai-strategy__2025.html,Downloaded,2026-05-21,"GSA publishes its M-25-21 AI strategy as a web page (no PDF). Prepared by Zachary Whitman, CAIO; dated Sept 30, 2025. Saved rendered HTML."
GSA,General Services Administration,Independent,General Services Administration,M-25-21 Compliance Plan,GSA Artificial Intelligence Compliance Plan (OMB M-25-21 & M-25-22),2025,2025-09,19,M-25-21,no,yes,https://www.gsa.gov/technology/government-it-initiatives/artificial-intelligence/ai-guidance-and-resources/ai-compliance-plan,documents/GSA/GSA__m-25-21-compliance-plan__2025.html,Downloaded,2026-05-21,GSA compliance plan published as a web page. Also saved a PDF rendering from a FedScoop mirror at documents/GSA/GSA__m-25-21-compliance-strategy-combined__2025.pdf. Dated September 2025.
GSA,General Services Administration,Independent,General Services Administration,Other Department AI Policy / Guidance,CIO 2185.1C Accelerating Responsible Use of Artificial Intelligence at GSA,2026,2026-03-11,37,M-25-21,no,yes,https://www.gsa.gov/directives-library/accelerating-responsible-use-of-artificial-intelligence-at-gsa,documents/GSA/GSA__use-of-ai-directive-cio-2185-1c__2026.pdf,Downloaded,2026-05-21,"GSA internal AI directive (8 pages, signed Mar 11 2026). Updates/supersedes CIO 2185.1A/B; aligns with OMB M-25-21, M-25-22, M-26-04. Includes genAI governance."
HHS,Department of Health and Human Services,Cabinet,Department of Health and Human Services,M-24-10 Compliance Plan,HHS Compliance Plan for OMB Memorandum M-24-10,2024,,7,M-24-10,yes,yes,https://www.hhs.gov/sites/default/files/hhs-ai-compliance-plan.pdf,documents/HHS/HHS__m-24-10-compliance-plan__2024.pdf,Downloaded,2026-05-21,"2024-vintage M-24-10 compliance plan, superseded by 2025 M-25-21 plan. Downloaded from ACLU-MA mirror (hhs.gov blocks curl)."
HHS,Department of Health and Human Services,Cabinet,Centers for Medicare & Medicaid Services (CMS),Generative AI Policy,Guidance for Responsible Use of Artificial Intelligence (AI) at CMS,2025,2025-08-26,3,none,no,yes,https://security.cms.gov/policy-guidance/guidance-responsible-use-artificial-intelligence-ai-cms,documents/HHS/HHS-CMS__responsible-use-of-ai-guidance__2025.html,Downloaded,2026-05-21,HHS component (CMS) genAI acceptable-use guidance; last reviewed 2025-08-26. Saved as rendered HTML.
HHS,Department of Health and Human Services,Cabinet,Administration for Children and Families (ACF),Generative AI Policy,ACF Generative AI Policy,2025,2025-12,6,none,no,yes,https://acf.gov/sites/default/files/documents/main/ACF-Tech-AI-Generative-AI-Policy---v3-202512.pdf,documents/HHS/HHS-ACF__generative-ai-policy__2025.pdf,Downloaded,2026-05-21,"HHS component (ACF) genAI acceptable-use policy v3, dated Dec 2025 (from filename 202512)."
HHS,Department of Health and Human Services,Cabinet,Department of Health and Human Services,Historical AI Strategy,"Strategic Plan for the Use of Artificial Intelligence in Health, Human Services, and Public Health",2025,2025-01-15,198,none,no,yes,https://irp.nih.gov/system/files/media/file/2025-03/2025-hhs-ai-strategic-plan_full_508.pdf,documents/HHS/HHS__ai-strategic-plan-health-hhs-pubhealth__2025.pdf,Downloaded,2026-05-21,"198-page Biden-era HHS AI strategic plan, released Jan 15 2025 by ASTP/ONC; predates M-25-21. Downloaded via Wayback Machine of NIH-hosted copy."
HHS,Department of Health and Human Services,Cabinet,Department of Health and Human Services,M-25-21 AI Strategy,HHS Artificial Intelligence Strategy,2025,2025-12-04,21,M-25-21,no,yes,https://www.hhs.gov/sites/default/files/hhs-artificial-intelligence-strategy.pdf,documents/HHS/HHS__ai-strategy__2025.pdf,Downloaded,2026-05-21,21-page department AI strategy released Dec 4 2025; five pillars; OneHHS approach. hhs.gov blocks curl; downloaded via Wayback Machine.
HHS,Department of Health and Human Services,Cabinet,Department of Health and Human Services,M-25-21 Compliance Plan,Compliance Plan for OMB Memorandum M-25-21,2025,,8,M-25-21,no,yes,https://www.hhs.gov/sites/default/files/2025-hhs-ai-compliance-plan.pdf,documents/HHS/HHS__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,8-page M-25-21 compliance plan. Downloaded via Wayback Machine (hhs.gov blocks curl).
HUD,Department of Housing and Urban Development,Cabinet,Department of Housing and Urban Development,M-25-21 AI Strategy,HUD AI Strategy for OMB Memorandum M-25-21,2025,2025-09,12,M-25-21,no,yes,https://www.hud.gov/sites/dfiles/Main/documents/HUD-AI-Strategy.pdf,documents/HUD/HUD__m-25-21-ai-strategy__2025.pdf,Downloaded,2026-05-21,September 2025 HUD AI strategy filed under M-25-21.
HUD,Department of Housing and Urban Development,Cabinet,Department of Housing and Urban Development,M-25-21 Compliance Plan,HUD AI Compliance Plan for OMB Memorandum M-25-21,2025,2025-09,5,M-25-21,no,yes,https://www.hud.gov/sites/dfiles/Main/documents/HUD-AI-Compliance-Plan-for-OMB-M-25-21.pdf,documents/HUD/HUD__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,September 2025 HUD M-25-21 compliance plan.
HUD,Department of Housing and Urban Development,Cabinet,HUD Office of Inspector General,M-25-21 Compliance Plan,HUD OIG Artificial Intelligence Compliance Plan,2025,2025-09,7,M-25-21,no,yes,https://www.hudoig.gov/sites/default/files/2025-09/ai-compliance-plan.pdf,documents/HUD/HUD-OIG__ai-compliance-plan__2025.pdf,Downloaded,2026-05-21,Separate M-25-21 compliance plan from HUD OIG (independent of department plan).
HUD,Department of Housing and Urban Development,Cabinet,Department of Housing and Urban Development,Other Department AI Policy / Guidance,HUD AI Technical Requirements,2025,,3,M-25-21,no,yes,https://www.hud.gov/sites/default/files/Main/documents/AITechnicalRequirements.pdf,documents/HUD/HUD__ai-technical-requirements__2025.pdf,Downloaded,2026-05-21,Companion technical-requirements guidance to HUD AI strategy; year inferred from AI@HUD page (2025).
