agency_abbr,agency_name,agency_type,searched,date_searched,ai_landing_page_url,ai_strategy_year,compliance_plan_year,genai_policy_year,caio_status,other_policy_count,total_documents,gaps,notes
NMB,National Mediation Board,Independent,yes,2026-05-21,https://nmb.gov/NMB_Application/index.php/ai-use-case-inventory/,,,,Unknown,0,0,No M-25-21 AI strategy; no M-25-21 compliance plan; no genAI policy; no CAIO announcement; no governance charter. NMB has published NO formal AI strategy or policy document.,NMB (a very small agency) publishes only an AI use case inventory web page (four Google Gemini use cases). No formal AI strategy or compliance plan of any kind is public - a complete gap against both M-25-21 required artifacts.
NRC,Nuclear Regulatory Commission,Independent,yes,2026-05-21,https://www.nrc.gov/ai,2025,2025,,Named: NRC appointed a Chief AI Officer; AI Governance Board and AI Steering Committee established,0,3,None missing - NRC has both M-25-21 artifacts plus a 2023 historical strategy. Note: FY26 strategy + compliance plan could not be downloaded (NRC server unreachable),"NRC published the FY26 AI Strategic Plan (ML25269A196) and FY26 AI Compliance Plan (ML25272A276), both dated Sept 29 2025, plus the FY2023-2027 strategic plan (NUREG-2261). www.nrc.gov timed out on every download attempt; the two FY26 docs are recorded Link only with verified URLs. The 2023-2027 plan was downloaded via a regulations.gov mirror."
NSF,National Science Foundation,Independent,yes,2026-05-21,https://www.nsf.gov/policies/ai,2025,2025,,Named: Thu Williams (Acting Chief AI Officer),0,2,"Standalone generative AI policy not found (NSF has a genAI merit-review notice for proposers/reviewers, treated as inventory/process guidance, not an internal-use policy)",Strong coverage: both M-25-21 AI Strategy and M-25-21 Compliance Plan published on nsf.gov/policies/ai. Compliance plan marked CUI but posted publicly.
NTSB,National Transportation Safety Board,Independent,yes,2026-05-21,https://www.ntsb.gov/,,2025,,Designated (Chief AI Officer designated; Data Governance Body governs - not publicly named),0,2,No public M-25-21 AI Strategy; no separately posted generative AI policy,"NTSB posted both its M-25-21 Compliance Plan (FY25, Sept 2025) and the prior M-24-10 Compliance Plan. No standalone M-25-21 AI strategy found; NTSB had not identified AI use cases requiring one."
OPM,Office of Personnel Management,Independent,yes,2026-05-21,https://www.opm.gov/ai/,2025,2025,,Designated (not public),0,2,"No public M-24-10 compliance plan, CAIO announcement, or generative AI policy found.",OPM published both M-25-21 AI Strategy and M-25-21 Compliance Plan; references an AI Governance Board.
OSC,U.S. Office of Special Counsel,Independent,yes,2026-05-21,https://www.osc.gov/resources/ai/,,2025,,Named: James Walters (Chief AI Officer),0,1,M-25-21 AI Strategy not found; generative AI policy was still in development as of the Sept 2025 compliance plan (M-25-21 270-day deadline ~Dec 2025) and not located publicly,"OSC posts its M-25-21 Compliance Plan (dated 09/22/2025) on osc.gov/resources/ai. OSC also announced a standalone AI policy in Oct 2024 (a news release, excluded per scope); no separate downloadable 2024 policy document was found."
PBGC,Pension Benefit Guaranty Corporation,Independent,yes,2026-05-21,https://www.pbgc.gov/about/information-technology/artificial-intelligence,,2025,2026,Unknown,0,2,No public M-25-21 AI Strategy or M-24-10 compliance plan found; no public CAIO announcement.,PBGC has an M-25-21 compliance plan and a Generative AI Policy Guidance (updated Feb 2026). No standalone AI strategy.
SBA,Small Business Administration,Independent,yes,2026-05-21,https://www.sba.gov/about-sba/open-government/ai-inventory,,2024,,Named: Hartley Caldwell (CIO/CAIO),0,1,No public M-25-21 AI Strategy or M-25-21 Compliance Plan found; only the 2024 M-24-10 plan is posted,SBA paused AI use cases in March 2025 to review compliance. Only the Sept 2024 M-24-10 Implementation Plan for AI is publicly posted; the required M-25-21 artifacts were not found publicly.
SEC,Securities and Exchange Commission,Independent,yes,2026-05-21,https://www.sec.gov/ai,,2024,,Named: Valerie Szczepanik,0,1,No public M-25-21 Compliance Plan or M-25-21 AI Strategy found; sec.gov still serves only the 2024 M-24-10 plan,"The PDF at sec.gov/files/sec-ai-compliance-plan.pdf is the Sept 2024 M-24-10 plan (David Bottom, CAIO). SEC stood up an AI Task Force Aug 2025 led by CAIO Valerie Szczepanik but no M-25-21 compliance plan/strategy was found publicly."
SSA,Social Security Administration,Independent,yes,2026-05-21,https://www.ssa.gov/ai,,2025,,Designated (not public; referenced as CAIO in compliance plan),0,3,No public CAIO announcement or generative AI policy found.,"SSA has an M-25-21 compliance plan (URL live but not downloadable - ssa.gov hard-blocks curl and file not archived), a 2024 M-24-10 compliance plan, and an Enterprise AI Strategy Report. SSA AI page well-developed."
State,Department of State,Cabinet,yes,2026-05-21,https://www.state.gov/artificial-intelligence/,2025,2025,,Designated: Chief Data and AI Officer (CDAO); Enterprise Data and AI Council is the AI Governance Board,0,3,None - State published both M-25-21 artifacts; also has a 2023 historical strategy,"Full coverage: 2025 Enterprise Data & AI Strategy (the M-25-21 AI strategy) + M-25-21 Compliance Plan, plus a 2023 historical Enterprise AI Strategy. No standalone genAI policy found (StateChat governed within EDAS)."
Treasury,Department of the Treasury,Cabinet,yes,2026-05-21,https://home.treasury.gov/policy-issues/financial-markets-financial-institutions-and-fiscal-service/treasury-and-artificial-intelligence,2025,2025,,Named: Paras Malik,0,2,Generative AI policy not separately posted (Acceptable Use Policy referenced inside strategy/compliance plan),"Full M-25-21 set found: AI Strategy + Compliance Plan, both Sept 2025, both downloaded."
TVA,Tennessee Valley Authority,Independent,yes,2026-05-21,https://www.tva.com/information/artificial-intelligence,,2025,,Designated (Chief AI Officer referenced in compliance plan; not named publicly),0,1,No standalone M-25-21 AI strategy PDF; no genAI policy; no 2024 M-24-10 plan; no AI governance charter posted. TVAs AI page describes a strategy but no separate strategy document is posted.,TVA published a 7-page M-25-21 compliance plan (July 2025). Its AI landing page narrates a strategy/governance framework but no standalone strategy document is posted - a gap against the M-25-21 strategy requirement.
USDA,Department of Agriculture,Cabinet,yes,2026-05-21,https://www.usda.gov/ai,2025,2025,,Designated (not separately announced publicly),0,3,No public standalone generative AI policy (USDA uses an unposted interim genAI guidance / Generative AI Review Board); no CAIO announcement.,"Full required set: FY2025-2026 AI strategy, M-25-21 compliance plan (Oct 2025), and 2024 M-24-10 plan. usda.gov blocks scripted downloads from this environment - all three captured as render-proxy text; PDF URLs verified via multiple sources."
USITC,U.S. International Trade Commission,Independent,yes,2026-05-21,https://www.usitc.gov/ai,,2025,,"Named: William Powers, Chief AI Officer (re-designated under M-25-21)",0,1,No public M-25-21 AI Strategy; no separately posted generative AI policy,USITC posted its M-25-21 Compliance Plan. No separate M-25-21 AI strategy document found (small independent agency). genAI policy referenced within the compliance plan as forthcoming.
USTDA,U.S. Trade and Development Agency,Independent,yes,2026-05-21,https://www.ustda.gov/ai/,,2025,,Designated (not named publicly),0,1,No standalone M-25-21 AI strategy; no genAI policy; no 2024 M-24-10 plan; no CAIO announcement.,USTDA published only an M-25-21 compliance plan (9/30/2025). As a small agency it has no separate AI strategy document - a gap against the M-25-21 strategy requirement.
VA,Department of Veterans Affairs,Cabinet,yes,2026-05-21,https://department.va.gov/ai/,2026,2025,2023,Designated: VA Chief AI Officer (within OIT),1,5,"None - VA has M-25-21 strategy + compliance plan, M-24-10 plan, genAI guidance, and the Trustworthy AI Framework","Strong coverage. VA AI documents are web pages (no PDFs), saved as HTML. ""Building the Future"" strategy serves as the M-25-21 AI strategy (updated Jan 2026). Generative AI guidance first issued July 2023."
