row_hash,agency_abbreviation,use_case_name,recommended_verdict,confidence,evidence_notes
bd1eb0ca99be32c3e33aeab51491e81a,DOJ,Veritone,ingest,high,"Loader slug-collision drop. Raw row DOJ-0171 Veritone / FBOP bureau (retired stage). Same slug collision target as DOJ-0114/DOJ-0244 (doj-veritone, claimed by DOJ-0050/CRM, use_cases id 197060). Distinct id/bureau -> genuine miss."
6d2b65f53f3185a9aee5200081ee4377,DOJ,Veritone,ingest,high,"Loader slug-collision drop. Raw row DOJ-0244 Veritone / Department-wide bureau. Same slug collision target as DOJ-0114/DOJ-0171 (doj-veritone, claimed by DOJ-0050/CRM, use_cases id 197060). Distinct id/bureau -> genuine miss. Three separate DOJ 'Veritone' submissions (CRM/ENRD/FBOP/Dept-wide) all fought over one slug; only the first (CRM) survived."
c684a758134579c7544fa7036b53eac0,DOE,Copilot Studio,ingest,high,"Loader slug-collision drop. Raw row DOE-690 Copilot Studio / NR HQ - Naval Reactors. Collides with earlier-loaded DOE-444 Copilot Studio / ORNL (slug doe-copilot-studio). Distinct id/lab site -> genuine miss. Same root cause across all 7 DOE rows below: multiple DOE national labs/sites each separately license the same generic Microsoft/ServiceNow product and each gets its own use_case_id, but the loader's name-only slug keys collide across sites."
2e266471efa012b14efe071103e18fb7,DOE,GitHub Copilot,ingest,high,"Loader slug-collision drop. Raw row DOE-586 GitHub Copilot / WAPA. Collides with earlier-loaded DOE-584 GitHub Copilot / SLAC (slug doe-github-copilot). Distinct id/site -> genuine miss."
f914c557168b98b54de25ea27230f662,DOE,Microsoft Co-Pilot,ingest,high,"Loader slug-collision drop. Raw row DOE-697 Microsoft Co-Pilot / KCNSC. Collides with earlier-loaded DOE-518 Microsoft Co-Pilot / RL-Hanford (slug doe-microsoft-co-pilot). Distinct id/site -> genuine miss."
4d8fa8d0dd38f58242d20a04f35711ac,DOE,Microsoft CoPilot,ingest,high,"Loader slug-collision drop -- case-insensitive variant, not an exact-name dup. Raw row DOE-593 'Microsoft CoPilot' / NE INL. Slugify lowercases before hashing punctuation, so it normalizes to the same slug ('doe-microsoft-copilot') as the earlier-loaded DOE-577 'Microsoft Copilot' / EMLA. Different labs, different products in practice (worth a name disambiguation on ingest) but genuinely missing from DB -> ingest."
189ca6e3177f7389ba15bfbf41c3ea6e,DOE,Microsoft Copilot Pilot,ingest,high,"Loader slug-collision drop -- punctuation-insensitive variant. Raw row DOE-676 'Microsoft Copilot Pilot' / LLNL. Slugify strips parentheses/spaces, so it normalizes to the same slug ('doe-microsoft-copilot-pilot') as the earlier-loaded DOE-603 'Microsoft Copilot (Pilot)' / WAPA. Genuinely missing from DB -> ingest, but flag naming collision for matcher/loader hardening (this is the same class of bug as DOE-593, not a mere fuzzy-match miss)."
1233aa7d304088fa467f0363a39b2803,DOE,ServiceNow AI Search,ingest,high,"Loader slug-collision drop. Raw row DOE-719 ServiceNow AI Search / LANL. Collides with earlier-loaded DOE-451 ServiceNow AI Search / ORNL (slug doe-servicenow-ai-search). Distinct id/site -> genuine miss."
6a1d6950906d3b623e5858a9e874af16,DOE,ServiceNow Predictive Intelligence,ingest,high,"Loader slug-collision drop. Raw row DOE-508 ServiceNow Predictive Intelligence / SLAC. Collides with earlier-loaded DOE-430 ServiceNow Predictive Intelligence / LANL (slug doe-servicenow-predictive-intelligence). Distinct id/site -> genuine miss."
6db95037b814c0e6343752a2e781fcc8,ED,Generative AI - Idea Suggestion,ingest,high,"Loader slug-collision drop. Corresponds to raw row ED-0024 'Generative AI - Idea Suggestion' / Office of the Chief Data Officer (OMB's consolidated mirror stripped the use_case_id, but bureau_component + problem_statement text uniquely match ED-0024's office). Collides with earlier-loaded ED-0014 (Federal Student Aid, use_cases slug ed-generative-ai-idea-suggestion), which is the first of four ED rows sharing this exact templated name. Genuinely distinct office submission -> ingest."
e7f142f7b2a8d430c4e11551b9a0e6c5,ED,Generative AI - Idea Suggestion,ingest,high,"Loader slug-collision drop. Corresponds to raw row ED-0027 'Generative AI - Idea Suggestion' / Office of the Chief Information Officer (bureau + problem_statement text match ED-0027's office; use_case_id stripped in OMB's mirror). Same slug-collision target as the other two ED rows (ed-generative-ai-idea-suggestion, claimed by ED-0014/Federal Student Aid). Genuinely distinct office submission -> ingest."
5c75506b5f65ef0646f1b99b46c77d16,ED,Generative AI - Idea Suggestion,ingest,high,"Loader slug-collision drop. Corresponds to raw row ED-0052 'Generative AI - Idea Suggestion' / Office of Postsecondary Education (bureau + problem_statement text match ED-0052's office). Same slug-collision target as the other two ED rows (ed-generative-ai-idea-suggestion, claimed by ED-0014/Federal Student Aid). Genuinely distinct office submission -> ingest. Note: ED's raw file has a 4th instance of this exact name (ED-0014, Federal Student Aid) that DID load; only the 3 later duplicates in file order were dropped, matching exactly our 3 omb_only rows."
b7255043537194634ea81e87d04ea5b0,NCUA,ADCo MBS/CMO Modeling,ingest,high,"Different root cause from the other 23 rows: NOT a slug collision. NCUA's own per-agency raw file (data/raw/NCUA-2025-ai-inventory.csv) is a stale/minimal 3-row snapshot (NCUA 01/02/03: Machine Learning Data Validation, Supervisory Stress Testing, Risk Indicator Model -- old ID scheme, no leading zero/year suffix), which the matcher already fuzzy-paired 1:1 to 3 OMB consolidated rows (NCUA-01/02/03-2025, match_status=matched_fuzzy). OMB's consolidated file additionally contains NCUA-12/13/14-2025, which never appear anywhere in our per-agency source at all -- a genuine source-completeness gap (NCUA apparently filed a fuller inventory to OMB directly than what we sourced), not a name-matching failure. Ingest as new rows."
fce74b6ea2a286776fe29dfef1367a38,NCUA,CoStar CRE Modeling,ingest,high,"Same cause as NCUA-13-2025/ADCo (row above): absent from our stale 3-row NCUA per-agency source entirely; OMB's consolidated file has 3 extra NCUA-12/13/14-2025 entries with no counterpart anywhere in our source. Genuine source-completeness gap, not a matcher failure. Ingest."
6df74f6bf7288705e4e1908276b8f494,NCUA,Moody's Stress Test Modeling,ingest,high,"Same cause as the other two NCUA rows above: absent from our stale 3-row NCUA per-agency source entirely. Genuine source-completeness gap, not a matcher failure. Ingest."
e1838e34de864da3ca4782375d75b956,DHS,Mobile Fortify,ingest,high,"Loader slug-collision drop, same family as the DOJ/DOE/ED cases -- NOT a semantic duplicate to discard despite the shared name. DHS's own raw file (data/raw/DHS-2025-ai-inventory.xlsx) lists Mobile Fortify TWICE: DHS-2731/CBP (loaded first, use_cases id 196088, slug dhs-mobile-fortify, already matched_exact to the OMB row) and DHS-2577/ICE (this row -- silently dropped by the name-only slug collision). The OMB row's own vendor_name field explicitly notes 'ICE accesses these capabilities through CBP and does not contract directly with NEC,' i.e. DHS itself intentionally filed ICE's usage as a separate reportable use case distinct from CBP's system-of-record entry. Recommend ingest (not duplicate_of) since DHS's own submission treats it as a distinct bureau-level entry, consistent with how DOJ/DOE report shared generic tools once per bureau."
