row_hash,agency_abbreviation,use_case_name,recommended_verdict,confidence,evidence_notes
f3c44c5c758600e697b41b8563839f8b,PBGC,AI-Assisted Contracting Content/Document Creation,ingest,high,"is_withheld blank in OMB source (not populated for PBGC section); stage=Pre-deployment; sub_agency OMA/Procurement Dept. Related to PBGC consolidated row 'Generating first drafts of documents...' (Y, Microsoft Copilot) but this is procurement-specific narrative, not a duplicate. Not in skipped PBGC raw file (fixed COTS checklist has no procurement-doc entry). Genuine gap."
0bdb3f2eebece117a3dd3d1935717784,PBGC,AI-Assisted Market Financial Health and Credit Analysis,ingest,high,is_withheld blank; stage=Deployed; sub_agency ONR. No related consolidated row (financial/credit analysis not on 20-item checklist). Not in skipped raw file. Genuine gap.
9db420b1d7f8b90df3e8a1dde35a5ae6,PBGC,AI-Assisted Recognition and Redaction for Legal/Litigation Matters,ingest,high,is_withheld blank; stage=Pre-deployment; sub_agency OGC/GLOD. No related consolidated row. Not in skipped raw file. Genuine gap.
d82739f301e101291839130f3fbf8d47,PBGC,AI-Assisted Training Development,ingest,high,is_withheld blank; stage=Pre-deployment; sub_agency OMA/QMD/LDD. Loosely related to PBGC consolidated Copilot drafting row but training-materials-specific narrative -- not a duplicate. Not in skipped raw file. Genuine gap.
ad2132beb62c422a2b12c7aa78916572,PBGC,AI-Powered General Productivity,ingest,medium,"is_withheld blank; stage=Pre-deployment; sub_agency Enterprise. Broad narrative overlapping in spirit with PBGC's two Microsoft Copilot consolidated rows (drafting docs Y, summarizing reports Y) but described as an enterprise-wide initiative with its own problem statement/stage -- not a checkbox duplicate per guidance. Not in skipped raw file. Note related consolidated Copilot rows."
7078615a040b734d2a774c075ff09f5e,PBGC,Analysis of Plan Benefits for Standard Terminations,ingest,high,is_withheld blank; stage=Pre-deployment; sub_agency ONR. No related consolidated row (actuarial/pension analysis not on checklist). Not in skipped raw file. Genuine gap.
05c582306310677904976f356e03a1a1,PBGC,Federal Accounting Statutes and Guidelines Alignment,ingest,high,is_withheld blank; stage=Pre-deployment; sub_agency OCFO. No related consolidated row. Not in skipped raw file. Genuine gap.
87fe182b2ab7ba4ddf76a7c8b772fbe5,PBGC,IT Security Monitoring,ingest,medium,"is_withheld blank; stage=Deployed; sub_agency ITIOD-Security Operations. Plausibly related to PBGC consolidated row 'Managing or implementing security controls...' (Y, Zscaler) -- same subject-matter domain -- but this row carries full narrative (problem statement, deployed status) the checkbox lacks, and product identity is unconfirmed (Zscaler vs. unnamed here). Per guidance, recommend ingest rather than duplicate_of; flag the Zscaler consolidated row as related for a human to confirm/merge product linkage if desired."
488c9a81e25fbad6434266b177a2f7cf,PBGC,IT Security and Privacy Control Assessment,ingest,high,"is_withheld blank; stage=Pre-deployment; sub_agency OIT/Privacy. Distinct from the security-monitoring/Zscaler row (this is a controls/privacy assessment tool, not monitoring). No related consolidated row. Not in skipped raw file. Genuine gap."
991dbd0dd14edd3af8e36c2cc2b9f69e,PBGC,IT Service Management Virtual Agent and Automation,ingest,medium,"is_withheld blank; stage=Pre-deployment; sub_agency ITIOD/Enterprise. Strongly related to PBGC consolidated row 'Managing and prioritizing internal service or help desk tickets using AI' (Y, ServiceNow Now Assist, 101-1000) -- 'IT Service Management Virtual Agent' plausibly describes the Now Assist capability. However this row has full narrative (problem statement, pre-deployment stage) the checkbox lacks; per guidance recommend ingest, not duplicate_of, and flag the ServiceNow consolidated row as the likely related product for downstream linkage."
c359d3b57637b403721a638058d0e47e,PBGC,"Intelligent, auto-generated meeting summaries, notes, and tasks",ingest,high,"is_withheld blank; stage=Pre-deployment; sub_agency PBGC Enterprise. PBGC consolidated row 'Transcribing, summarizing...' is Y with vendor 'Microsoft Teams Premium (with intelligent meeting recap)' -- plausibly the same underlying capability, but this row's narrative frames it as a distinct in-development initiative (auto-generated tasks, not just recap) with its own stage. Recommend ingest per guidance (narrative detail exceeds checkbox); flag Teams Premium consolidated row as related."
23114188d94885abbd02cf05fde76ece,PBGC,Legislative and Regulatory Analysis / Automation (Actuarial/Financial),ingest,high,"is_withheld blank; stage=Pre-deployment; sub_agency OPEA/PRAD. Note: OMB's own master file has a duplicate entry 'PBGC - 15' with the identical name, already flagged in omb_match_audit as match_status=duplicate_in_omb (not in this agent's row set) -- that dedup is between two OMB rows, unrelated to this agent's per-agency-file question. No related consolidated row. Not in skipped raw file. Genuine gap."
f7640568bc5472f7580b15ec0ab9fac6,PBGC,Media Content Generation,ingest,high,"is_withheld blank; stage=Pre-deployment; sub_agency OPEA/COLAD. PBGC consolidated row 'Editing images, videos, or other public affairs materials using AI' is marked N (not used) for PBGC, so no related consolidated row exists. Not in skipped raw file. Genuine gap."
f42e4a10a7e890bb9874426873d47322,PBGC,Pension Plan Summary Report Assistance,ingest,high,is_withheld blank; stage=Pre-deployment; sub_agency OBA. No related consolidated row. Not in skipped raw file. Genuine gap.
9b0c1c76f054070a09fbfcfdc2923baf,PBGC,Position Description Analysis and Consolidation,ingest,high,is_withheld blank; stage=Pre-deployment; sub_agency OMA/HRD. No related consolidated row. Not in skipped raw file. Genuine gap.
f61f67edf2461b726041994273f387df,PBGC,Synthetic Data Generation,ingest,high,is_withheld blank; stage=Pre-deployment; sub_agency ITIOD/OGC Privacy. No related consolidated row. Not in skipped raw file. Genuine gap.
