use_case_id,agency,use_case_name,current_product,current_is_coding_tool,final_is_coding_tool,decision,reason_code,confidence,search_attempted,search_query,evidence_url,evidence_quote,notes
9206,HHS,AI DevOps - Improving Development and CI/CD Operations,Pingwind AI DevOps,1,1,confirm_keep,specific_coding_product,High,no,,db_row_9206,"AI code review uses artificial intelligence algorithms to analyze source code",Pingwind AI DevOps is a DevOps coding assistant
9333,HHS,AI Workspace (CEDAR),CEDAR (Skyward Solutions),1,1,confirm_keep,explicit_coding_use,Medium,no,,db_row_9333,"hosted development environment that enables end users to create code",Explicit dev env for code creation
9339,HHS,CCSQ Now Assist for Creator,ServiceNow Now Assist,1,1,confirm_keep,specific_coding_product,High,no,,db_row_9339,"Text to Code. Text to Flow. Flow Assist",ServiceNow developer-creator coding tool
9355,HHS,AI Code Assistance WETG GitHub CoPilot Proof-of-Concept,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_9355,GitHub Copilot,Specific coding product
9450,HHS,AI-Generated Data Processing and Visualization Code Development,Microsoft Teams [tag wrong],1,1,confirm_keep,explicit_coding_use,High,no,,db_row_9450,"AI assisted code generation for Excel macros and scripts Power BI formulas",Title and narrative explicit code dev (product tag wrong but coding intent clear)
9472,HHS,Code Conversion for PowerBI Migration,unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_9472,"Generate code to support migration and conversion from Tableau to PowerBI",Explicit code conversion
9561,HHS,Notebooks Hub,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_9561,"Helping scientists and researchers code their applications... output: Python R Javascript Java etc. code",Explicit research coding
9563,HHS,Writing code using AI,Palantir Foundry,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_9563,"Assistance with novice users writing code; output: recommended pyspark code",Explicit code-writing
9580,HHS,Coding translation,unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_9580,"Translates code between programming languages",Explicit code translation
10021,NASA,MML code generation for high-energy astrophysics software,Custom LLM (planned),1,1,confirm_keep,explicit_coding_use,High,no,,db_row_10021,"train an LLM on previous large code bases... A code assistant optimized for this type of software",Explicit code assistant
10047,NASA,IV&V Static Code & Implementation Analysis,Custom (VS plugin),1,1,confirm_keep,specific_coding_product,High,no,,db_row_10047,"plug-ins for Code IDEs such as Visual Studio... generative AI-assisted assessment of static code findings",IDE-integrated code analysis tool
10053,NASA,XMM-GPT,Fine-tuned FLAN (Google),1,0,overturn_drop,generic_llm_no_coding_focus,Medium,no,,db_row_10053,"domain-specialized AI assistant... XMM-Newton Documentation... step-by-step guides for SAS tasks Code Assistance Explanations",Primary purpose is mission helpdesk/RAG; coding is secondary capability; demote
10087,NSF,AWS Assisted Software Development (Amazon CodeWhisperer),Amazon CodeWhisperer,1,1,confirm_keep,specific_coding_product,High,no,,db_row_10087,Amazon CodeWhisperer (now Amazon Q Developer),Specific coding product
10135,SBA,Employee Work Prioritization AI Agent,Gemini,1,0,overturn_drop,generic_llm_no_coding_focus,High,no,,db_row_10135,"versatile AI assistance for diverse tasks including content creation coding translation research",Generic Gemini multi-purpose; demote per new rule
10140,SBA,Developer Code Assistant AI,Amazon Q Developer,1,1,confirm_keep,specific_coding_product,High,no,,db_row_10140,Amazon Q Developer,Specific coding product
10141,SBA,Developer Code Assistant AI,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_10141,GitHub Copilot,Specific coding product
10146,SBA,Multi-Agent Orchestration,AWS Bedrock,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_10146,"legacy ColdFusion and COBOL code... Code Refactoring Automated Testing",Bedrock but explicit COBOL/ColdFusion modernization purpose
10228,SSA,Intelligent generation of modernized code,AveriSource Platform,1,1,confirm_keep,specific_coding_product,High,no,,db_row_10228,AveriSource (legacy code modernization platform),Specific coding product
10231,SSA,Coding Assistance,Windsurf,1,1,confirm_keep,specific_coding_product,High,no,,db_row_10231,Windsurf (Codeium IDE),Specific coding product
10251,State,CodeGen - AI-assisted IT Application Development,unspecified,1,1,confirm_keep,explicit_coding_use,Medium,no,,db_row_10251,"AI-assisted IT Application Development",Title explicit
10283,State,Databricks Code Assistant,Databricks,1,0,overturn_drop,generic_llm_no_coding_focus,Medium,yes,Databricks AI mobile billing State Department,db_row_10283,"Determining potential billing problems for Department mobile plans... output: A data usage report",Databricks Genie/AI Assistant in this case used for billing analysis not coding; narrative contradicts product label; demote
10330,TVA,Github Copilot,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_10330,GitHub Copilot,Specific coding product
10373,Treasury,Software Code Generation,unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_10373,"AI is intended to assist by generating code snippets templates and initial documentation",Explicit code generation
10391,Treasury,GenAI for Data Platform Operations,unspecified,1,0,overturn_drop,generic_llm_no_coding_focus,Medium,no,,db_row_10391,"natural language processing code generation and automation",Generic platform listing code as one of many tasks; outputs generic; demote
10395,Treasury,LLM Chatbot for POC,unspecified,1,1,confirm_keep,explicit_coding_use,Medium,no,,db_row_10395,"Code Assistance - Generating debugging and documenting code... COBOL JAVA Angular",Despite chatbot name narrative explicitly describes code-only POC
10399,Treasury,FRB AI Code Translation POC,unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_10399,"remediation of legacy code by leveraging generative AI",Explicit code translation
10444,Treasury,Modular Code Assistant,unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_10444,"Modular Code Assistant (Explain & Refactor Small Methods) for Automation Test",Title explicit
10472,Treasury,AI-Augmented Software Modernization and Insight (IRS),unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_10472,"Java/Spring Boot applications... Suggested code refactorings and dependency upgrades",Explicit Java modernization
10742,VA,Ansible Lightspeed,Microsoft Teams [tag wrong],1,1,confirm_keep,specific_coding_product,High,no,,db_row_10742,"plugin for Visual Studio Code where it can generate YAML code",Ansible Lightspeed is Red Hat's IDE coding assistant
10743,VA,VetsEZ Middleware Development,unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_10743,"middleware components from older platforms (MUMPS Java .NET Framework) to secure containerized microservices",Explicit middleware code modernization
8709,DOJ,Data Call Code Assist Tool,unspecified,0,0,confirm_drop,autocoder_misnamed,Medium,no,,db_row_8709,"Automating administrative tasks; output: Search query terms",FBI tool generates search queries not code; misnamed
9307,HHS,CSB MCP AI,unspecified,0,1,overturn_keep,explicit_coding_use,Medium,no,,db_row_9307,"infrastructure code generation and task execution",Infrastructure-as-code generation is coding; tag missed
9349,HHS,T-MSIS Prima,unspecified,0,0,confirm_drop,generic_llm_no_coding_focus,Low,no,,db_row_9349,"Code Documentation Communications Analysis/Research",Mixed-purpose; code is one of many; new rule says no
9852,NASA,Code Assistant Pilot Study,unspecified,0,0,confirm_drop,autocoder_misnamed,Medium,no,,db_row_9852,"Link prediction... Dataset Recommender",Title misleading; narrative is graph link prediction not code
10396,Treasury,LLM Coding for Proof of Concept,unspecified,0,0,confirm_drop,generic_llm_no_coding_focus,Medium,no,,db_row_10396,"FAQ handling and Case Deflection",Title says coding but narrative is FAQ chatbot; keep at 0
10449,Treasury,Modernization Accelerator - Legacy Applications Chatbot & Code Conversion,unspecified,0,1,overturn_keep,explicit_coding_use,Medium,no,,db_row_10449,"Modernization Accelerator - Legacy Applications Chatbot & Code Conversion",Title unambiguous code conversion despite empty narrative
11008,VA,BlackBox Code research,N/A,0,0,confirm_drop,autocoder_misnamed,High,no,,db_row_11008,No narrative; retired,Excluded from coding population
8027,DOE,EnerGPT Canvas,Custom (Accenture/Google),0,0,confirm_drop,generic_llm_no_coding_focus,Medium,no,,db_row_8027,"draft edit and produce content; output: New content edits to existing content code etc.",General content tool; code listed among many; keep at 0
7917,DOE,Copilot Studio (ORNL),Microsoft Copilot Studio,0,0,confirm_drop,generic_llm_no_coding_focus,Medium,no,,db_row_7917,"Customization Low-Code Development GPT-Based Capabilities",Citizen-developer/low-code platform not a developer coding assistant; keep at 0
396,CSOSA,Generating code using AI (consolidated),Microsoft M365 Copilot AI,1,1,confirm_keep,explicit_coding_use,High,no,,db_consolidated_396,"OMB Appendix B template: Generating code using AI",Template entry explicitly coding-purposed
411,DOL,Generating code using AI (consolidated),unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_consolidated_411,"OMB Appendix B template: Generating code using AI",Template entry
430,EAC,Generating code using AI (consolidated),"ChatGPT Claude Copilot Perplexity",1,1,confirm_keep,explicit_coding_use,Medium,no,,db_consolidated_430,"OMB Appendix B template: Generating code using AI",Template entry; explicit coding template overrides generic-LLM concern
450,FCC,Generating code using AI (consolidated),"Microsoft Copilot AWS Q Developer Microsoft Azure Open AI",1,1,confirm_keep,explicit_coding_use,High,no,,db_consolidated_450,"OMB Appendix B template: Generating code using AI",Template entry
470,FDIC,Generating code using AI (consolidated),"GitHub Copilot Appian",1,1,confirm_keep,specific_coding_product,High,no,,db_consolidated_470,GitHub Copilot,Template + GitHub Copilot
490,HUD,Generating code using AI (consolidated),unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_consolidated_490,"OMB Appendix B template: Generating code using AI",Template entry
503,NLRB,Generating code using AI (consolidated),GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_consolidated_503,GitHub Copilot,Template + GitHub Copilot
517,OSC,Generating code using AI (consolidated),unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_consolidated_517,"OMB Appendix B template: Generating code using AI",Template entry
537,PBGC,Generating code using AI (consolidated),unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_consolidated_537,"OMB Appendix B template: Generating code using AI",Template entry
553,USITC,Generating code using AI (consolidated),Microsoft 365 Copilot,1,1,confirm_keep,explicit_coding_use,Medium,no,,db_consolidated_553,"OMB Appendix B template: Generating code using AI",Template entry; explicit coding template
568,USTDA,Generating code using AI (consolidated),unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_consolidated_568,"OMB Appendix B template: Generating code using AI",Template entry
