service,category,confidence,reasoning,signals,model,input_hash,classified_at,source
AI integrator,ai_featured,low,"[QC overturn: In n8n an 'AI integrator' is a connector node that calls AI services, not itself a model or agent builder; it brings AI capability into a workflow-automation platform, so ai_featured is defensible while core_ai is not.] Original: Named 'AI integrator' feature within the Bluescape/n8n for Government offering, apparently connecting workflows to AI models/services — an AI-integration/agent-builder capability, though the snippet gives limited detail.","[""AI integrator"", ""n8n"", ""Bluescape""]",claude-sonnet-5,f2234d1f478e57e7,2026-07-05T01:56:37Z,qc_corrected
AI powered Control Implementation and Audit,ai_featured,medium,A named AI-powered feature of RegScale's GRC/continuous-controls-monitoring platform that automates control implementation and audit tasks — AI embedded in a broader compliance product.,"[""AI powered"", ""RegScale"", ""GRC"", ""Control Implementation and Audit""]",claude-sonnet-5,d7dd8a28ff491237,2026-07-05T02:04:54Z,qc_confirmed
AI/BI,ai_featured,medium,Databricks AI/BI (Genie) is a business-intelligence/dashboarding capability that adds natural-language and ML-assisted analytics as a feature atop the core Databricks data platform.,"[""AI/BI"", ""Databricks"", ""Data Intelligence Platform""]",claude-sonnet-5,0b8e8d95d5f5b898,2026-07-05T02:04:54Z,qc_confirmed
AIP,core_ai,high,Palantir AIP (Artificial Intelligence Platform) is explicitly an LLM/agent orchestration and model-deployment platform for integrating generative AI into operations — a core AI capability.,"[""AIP"", ""Artificial Intelligence Platform"", ""Palantir""]",claude-sonnet-5,3c9da2532375cdba,2026-07-05T01:56:37Z,qc_confirmed
API Gateway,not_ai,high,"Oracle Cloud Infrastructure's API Gateway is plain API request routing/management infrastructure, not an AI capability.","[""API Gateway"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,09412aa56177b885,2026-07-04T21:37:29Z,llm
API Management,not_ai,high,Azure API Management is standard API publishing/gateway infrastructure with no AI/ML function.,"[""API Management"", ""Azure""]",claude-sonnet-5,c92a942899f24f01,2026-07-04T21:37:29Z,llm
API Shield,not_ai,high,"Cloudflare API Shield is API schema-validation and abuse-protection tooling, not an AI/ML product.","[""API Shield"", ""Cloudflare""]",claude-sonnet-5,63eb687a0a828d36,2026-07-04T21:37:29Z,llm
APIs (Salesforce APIs / Salesforce Connect / Files Connect / Salesforce Data Loader),not_ai,high,"Plain data-integration and API tooling for Salesforce (connectors, data loading), no AI/ML component.","[""Salesforce APIs"", ""Data Loader"", ""Files Connect""]",claude-sonnet-5,8653e24a283df616,2026-07-04T21:37:29Z,llm
APX 1000i,not_ai,high,Motorola Solutions APX-series is a land-mobile-radio hardware product line with no AI/ML function.,"[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,205a989e7dc27801,2026-07-04T21:37:29Z,llm
APX 5000,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,f8a6a6d56d2c3418,2026-07-04T21:37:29Z,llm
APX 6000,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,e06493300f22c8a4,2026-07-04T21:37:29Z,llm
APX 8000,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,b10404e9497d9058,2026-07-04T21:37:29Z,llm
APX 8000H,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,466ee7b81ae977a9,2026-07-04T21:37:29Z,llm
APX 900,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,97ee7f8dbbc0c3f0,2026-07-04T21:37:29Z,llm
APX N30,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,fdf27c2d2dfab1b7,2026-07-05T01:56:37Z,qc_confirmed
APX N50,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,bca06b9ce6eb5037,2026-07-04T21:37:29Z,llm
APX N70,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,77e032bdb25847b4,2026-07-04T21:37:29Z,llm
APX NEXT,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,c0bcbe56b740abfd,2026-07-04T21:37:29Z,llm
APX NEXT International,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,20365aece01d03cb,2026-07-04T21:37:29Z,llm
APX NEXT Smart Radio,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware; 'Smart Radio' refers to networked/software features, not an AI capability.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,3170f448aba33100,2026-07-04T21:37:29Z,llm
APX NEXT XN,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,07f72a0aaa440116,2026-07-04T21:37:29Z,llm
APX1500,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,9ad3ca098e2d5215,2026-07-04T21:37:29Z,llm
APX2500,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,b2f71b8c160c98f8,2026-07-05T01:56:37Z,qc_confirmed
APX4500,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,590e063af2af91db,2026-07-04T21:37:29Z,llm
APX5500,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,c9b6a55b1dca8c00,2026-07-04T21:37:29Z,llm
APX6500,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,eba0fb9baea6280e,2026-07-04T21:37:29Z,llm
APX8500,not_ai,high,"Motorola Solutions APX-series land-mobile radio hardware, not an AI product.","[""APX"", ""Motorola Solutions"", ""radio""]",claude-sonnet-5,9d91b72a74b8938c,2026-07-04T21:37:29Z,llm
ASR,ai_featured,medium,"Knightscope's Autonomous Security Robot performs autonomous navigation and continuous video/audio surveillance, capabilities that typically rely on embedded ML-based analytics (e.g. detection, license-plate/face recognition) within a physical security-robot product.","[""Autonomous Security Robot"", ""autonomously"", ""cameras, microphones""]",claude-sonnet-5,e0b46f3977a5bd72,2026-07-05T02:04:54Z,qc_confirmed
ATO In a Box,ai_featured,high,"[QC overturn: ATO In a Box is a compliance-automation solution packaged on the Ask Sage GenAI platform, not a model/assistant itself; the sibling 'Acquisition In a Box' on the same platform was labeled ai_featured, and precision favors the weaker category here too.] Original: Hosted on Ask Sage, explicitly described as a multi-modal Generative AI platform built on Azure OpenAI, AWS Bedrock, and Vertex AI; 'ATO in a Box' is a generative-AI-driven compliance-automation offering on that platform.","[""Generative AI platform"", ""Azure OpenAI"", ""AWS Bedrock"", ""Ask Sage""]",claude-sonnet-5,362ad3fbb087cd4d,2026-07-05T01:56:37Z,qc_corrected
AWS App Mesh,not_ai,high,"AWS App Mesh is a service-mesh networking product for microservices, not AI/ML.","[""App Mesh"", ""AWS""]",claude-sonnet-5,e56d69e154a53d0e,2026-07-04T21:37:29Z,llm
AWS Application Auto Scaling,not_ai,high,"Rule/metric-based compute auto-scaling infrastructure, not AI/ML.","[""Auto Scaling"", ""AWS GovCloud""]",claude-sonnet-5,437d81541c2a14fa,2026-07-04T21:37:29Z,llm
AWS Application Migration Service (MGN),not_ai,high,"Lift-and-shift server migration tooling, not AI/ML.","[""Migration Service"", ""MGN"", ""AWS""]",claude-sonnet-5,10b3fa4716e8f85b,2026-07-04T21:37:29Z,llm
AWS Audit Manager,not_ai,high,"Compliance evidence-collection and audit-prep automation based on rules/frameworks, not ML-driven.","[""Audit Manager"", ""AWS""]",claude-sonnet-5,19af75f3738275fc,2026-07-04T21:37:29Z,llm
AWS Backup,not_ai,high,"Centralized backup management service, not AI/ML.","[""Backup"", ""AWS""]",claude-sonnet-5,531357d3d2673873,2026-07-04T21:37:29Z,llm
AWS Batch,not_ai,high,"Batch computing job scheduler/orchestrator, not AI/ML.","[""Batch"", ""AWS""]",claude-sonnet-5,87545ce3422f4513,2026-07-04T21:37:29Z,llm
AWS Certificate Manager (ACM),not_ai,high,"TLS/SSL certificate provisioning and management service, not AI/ML.","[""Certificate Manager"", ""ACM"", ""AWS""]",claude-sonnet-5,04cc727c16c403cc,2026-07-04T21:37:29Z,llm
AWS Clean Rooms,not_ai,medium,A data-collaboration/privacy service for joint analytics across parties; core functionality is data governance and query control rather than an AI/ML capability.,"[""Clean Rooms"", ""AWS"", ""data collaboration""]",claude-sonnet-5,a03ab29ef8648e49,2026-07-04T21:37:29Z,llm
AWS Cloud Map,not_ai,high,"Service discovery/registry for cloud resources, not AI/ML.","[""Cloud Map"", ""AWS""]",claude-sonnet-5,9177549533d00172,2026-07-04T21:37:29Z,llm
AWS Cloud9,not_ai,high,"Cloud-based IDE, not AI/ML.","[""Cloud9"", ""AWS""]",claude-sonnet-5,8b791e787a9af2f7,2026-07-04T21:37:29Z,llm
AWS CloudFormation,not_ai,high,"Infrastructure-as-code provisioning/templating service, not AI/ML.","[""CloudFormation"", ""AWS""]",claude-sonnet-5,4f7c865995f90d8e,2026-07-04T21:37:29Z,llm
AWS CloudHSM,not_ai,high,Dedicated hardware security module for key storage and cryptographic operations; no ML/AI capability involved.,"[""CloudHSM"", ""hardware security module"", ""key storage""]",claude-sonnet-5,14d29bc92f4e57b2,2026-07-04T21:37:29Z,llm
AWS CloudShell,not_ai,high,"Browser-based command-line shell for managing AWS resources; a developer convenience tool, not an AI capability.","[""CloudShell"", ""browser-based shell""]",claude-sonnet-5,51992b19a604279d,2026-07-04T21:37:29Z,llm
AWS CloudTrail,not_ai,high,"API activity logging and audit trail service; pure logging/monitoring, no ML component.","[""CloudTrail"", ""activity logging"", ""audit""]",claude-sonnet-5,59abc36592269e9f,2026-07-04T21:37:29Z,llm
AWS CodeBuild,not_ai,high,"Managed CI build service that compiles and tests code; standard DevOps tooling, not AI.","[""CodeBuild"", ""build service"", ""CI""]",claude-sonnet-5,abdcba3976b01f92,2026-07-04T21:37:29Z,llm
AWS CodeCommit,not_ai,high,"Managed private Git repository hosting; source control, not an AI capability.","[""CodeCommit"", ""Git repository""]",claude-sonnet-5,c725937cb0af4163,2026-07-04T21:37:29Z,llm
AWS CodeDeploy,not_ai,high,"Automated code deployment service to EC2/Lambda/on-prem; deployment automation, no AI/ML.","[""CodeDeploy"", ""deployment automation""]",claude-sonnet-5,bdbe19dd117adf6d,2026-07-04T21:37:29Z,llm
AWS CodePipeline,not_ai,high,"Continuous delivery/CI-CD orchestration service; pipeline automation, not AI/ML.","[""CodePipeline"", ""CI/CD"", ""release pipeline""]",claude-sonnet-5,b865e305e6f80db2,2026-07-04T21:37:29Z,llm
AWS Compute Optimizer,ai_featured,medium,"A resource right-sizing tool whose recommendations are generated by AWS's own machine-learning analysis of historical utilization metrics, making ML the core embedded mechanism of an otherwise operational tool.","[""Compute Optimizer"", ""machine learning"", ""recommendations"", ""utilization metrics""]",claude-sonnet-5,2fadef3e955dfce2,2026-07-05T02:04:54Z,qc_confirmed
AWS Config,not_ai,high,"Configuration tracking and compliance-rule evaluation service; rules-based, not ML/AI.","[""Config"", ""compliance"", ""configuration tracking""]",claude-sonnet-5,e141fc3388e87cdd,2026-07-04T21:37:29Z,llm
AWS Control Tower,not_ai,high,"Multi-account landing zone governance and guardrails service; account/policy management, not AI.","[""Control Tower"", ""landing zone"", ""guardrails""]",claude-sonnet-5,ea0c9fc5eac4c710,2026-07-04T21:37:29Z,llm
AWS DataSync,not_ai,high,"Data transfer service for moving data between on-prem and AWS storage; pure data movement, no AI.","[""DataSync"", ""data transfer""]",claude-sonnet-5,afd8d148e0552476,2026-07-04T21:37:29Z,llm
AWS Database Migration Service (DMS),not_ai,high,"Database migration and replication service; ETL/migration tooling, not AI/ML.","[""DMS"", ""database migration"", ""replication""]",claude-sonnet-5,c41bea95bd6aa340,2026-07-05T01:56:37Z,qc_confirmed
AWS Direct Connect,not_ai,high,Dedicated private network connection to AWS; pure networking infrastructure.,"[""Direct Connect"", ""dedicated network connection""]",claude-sonnet-5,8859bacf6f3c31a2,2026-07-04T21:37:29Z,llm
AWS Directory Service,not_ai,high,"Managed Microsoft Active Directory / LDAP directory service; identity infrastructure, not AI.","[""Directory Service"", ""Active Directory""]",claude-sonnet-5,b16fbf53031adf08,2026-07-04T21:37:29Z,llm
AWS Elastic Beanstalk,not_ai,high,"PaaS for deploying and scaling web applications; application hosting, no AI/ML capability.","[""Elastic Beanstalk"", ""application deployment""]",claude-sonnet-5,6bb375c2d5afc120,2026-07-04T21:37:29Z,llm
AWS Elastic Disaster Recovery (AWS DRS),not_ai,high,"Disaster recovery replication/failover service for servers; infrastructure resiliency, not AI.","[""Elastic Disaster Recovery"", ""DRS"", ""failover""]",claude-sonnet-5,717a4fbaf53f4ae9,2026-07-04T21:37:29Z,llm
AWS Elemental MediaConvert,not_ai,high,"File-based video transcoding service that converts media formats/codecs; encoding pipeline, not an AI/ML capability.","[""MediaConvert"", ""video transcoding"", ""codecs""]",claude-sonnet-5,bf2cdd4e8d8f5577,2026-07-04T21:37:29Z,llm
AWS Entity Resolution,ai_featured,medium,"A record-matching service whose matching workflows rely on AWS-provided ML matching techniques in addition to rule-based matching, making ML a material embedded capability of a broader data-linking product.","[""Entity Resolution"", ""matching"", ""ML matching techniques""]",claude-sonnet-5,3ea498102d9bfe1f,2026-07-05T02:04:54Z,qc_confirmed
AWS Fault Injection Service,not_ai,high,Chaos-engineering fault injection tool for resiliency testing; no ML/AI component.,"[""Fault Injection Service"", ""chaos engineering""]",claude-sonnet-5,0c79bb099f0c0258,2026-07-04T21:37:29Z,llm
AWS Firewall Manager,not_ai,high,"Centralized firewall rule and security policy management across accounts; rules-based security management, not AI.","[""Firewall Manager"", ""security policy management""]",claude-sonnet-5,0517293bc418eeee,2026-07-05T01:56:37Z,qc_confirmed
AWS Global Accelerator,not_ai,high,"Network traffic routing/acceleration service using the AWS global network; pure networking, no AI.","[""Global Accelerator"", ""traffic routing""]",claude-sonnet-5,79cae81e69e89fe3,2026-07-04T21:37:29Z,llm
AWS Glue,not_ai,medium,"Primarily a serverless ETL/data-integration and cataloging service; it offers an optional ML-based record-matching transform, but that is a minor add-on rather than the product's defining capability.","[""Glue"", ""ETL"", ""data catalog""]",claude-sonnet-5,0e415759749c83c1,2026-07-04T21:37:29Z,llm
AWS Glue DataBrew,not_ai,medium,"Visual data-preparation tool for cleaning/normalizing datasets via a library of built-in transforms; primarily a data-wrangling UI, not an AI product.","[""DataBrew"", ""data preparation"", ""visual transforms""]",claude-sonnet-5,07822f0e118778fb,2026-07-04T21:37:29Z,llm
AWS Ground Station,not_ai,high,"Fully managed satellite ground station as a service for downlinking/uplinking satellite data; space communications infrastructure, not AI.","[""Ground Station"", ""satellite""]",claude-sonnet-5,58d29f1551e6a1cc,2026-07-04T21:37:29Z,llm
AWS Health Dashboard,not_ai,high,"Personalized view of AWS service health and planned changes; status reporting/monitoring, not AI.","[""Health Dashboard"", ""service health""]",claude-sonnet-5,2fe8d603ca09f3c7,2026-07-04T21:37:29Z,llm
AWS HealthImaging,not_ai,medium,Purpose-built medical imaging (DICOM) storage and access service; a HIPAA-eligible storage layer rather than an AI/ML analysis capability itself.,"[""HealthImaging"", ""DICOM"", ""medical imaging storage""]",claude-sonnet-5,5783ceebf6328a12,2026-07-04T21:37:29Z,llm
AWS HealthLake,ai_featured,medium,"A HIPAA-eligible health-data store (FHIR) that embeds NLP to extract and structure medical entities from unstructured clinical text, giving it a material AI-derived feature beyond plain storage/query.","[""HealthLake"", ""FHIR"", ""NLP"", ""unstructured clinical text""]",claude-sonnet-5,670305972c218a2a,2026-07-05T02:04:54Z,qc_confirmed
AWS HealthOmics,not_ai,low,"Managed service for storing and running bioinformatics/genomics workflows (e.g., variant calling pipelines); primarily workflow orchestration and storage rather than a marketed AI/ML product.","[""HealthOmics"", ""genomics"", ""bioinformatics workflows""]",claude-sonnet-5,622200893f246b6f,2026-07-05T01:56:37Z,qc_confirmed
AWS IAM Identity Center,not_ai,high,"Single sign-on and workforce identity management across AWS accounts; identity/access infrastructure, not AI.","[""IAM Identity Center"", ""single sign-on""]",claude-sonnet-5,6a21a235acd35e04,2026-07-04T21:37:29Z,llm
AWS Identity and Access Management (IAM),not_ai,high,"Core access control service for managing users, roles, and permissions; foundational identity infrastructure, not AI.","[""IAM"", ""access control"", ""permissions""]",claude-sonnet-5,76037cf1625f000c,2026-07-05T01:56:37Z,qc_confirmed
AWS IoT Core,not_ai,high,"Managed IoT device connectivity and message broker service; device connectivity infrastructure, not AI.","[""IoT Core"", ""device connectivity"", ""message broker""]",claude-sonnet-5,286e36d6057da3e1,2026-07-04T21:37:29Z,llm
AWS IoT Device Defender,not_ai,high,"Security monitoring/auditing service for IoT device fleets against defined security policies; rules-based auditing, not AI.","[""Device Defender"", ""security auditing"", ""IoT fleet""]",claude-sonnet-5,0afac5326c1e4624,2026-07-04T21:37:29Z,llm
AWS IoT Device Management,not_ai,high,"Fleet onboarding, organization, and remote management of IoT devices; device management infrastructure, not AI.","[""Device Management"", ""fleet onboarding""]",claude-sonnet-5,0cbc6f09750e46ef,2026-07-04T21:37:29Z,llm
AWS IoT Events,not_ai,high,"Detects and responds to events from IoT sensors/apps using user-defined detector models; rules/state-machine based, not ML.","[""IoT Events"", ""detector models"", ""event detection""]",claude-sonnet-5,6c777d045ada901a,2026-07-05T01:56:37Z,qc_confirmed
AWS IoT Greengrass,not_ai,high,"Edge computing runtime that extends AWS to local devices for compute/messaging/data caching; edge infrastructure, not itself an AI service.","[""Greengrass"", ""edge computing"", ""local compute""]",claude-sonnet-5,3e6ed5f520db98ae,2026-07-04T21:37:29Z,llm
AWS IoT SiteWise,not_ai,high,"Collects, organizes, and monitors industrial equipment data at scale; industrial data infrastructure, not AI.","[""SiteWise"", ""industrial equipment data""]",claude-sonnet-5,f17856e89a1d1ae6,2026-07-04T21:37:29Z,llm
AWS IoT TwinMaker,not_ai,high,"Builds digital twins from existing data sources for visualization; a data-modeling/visualization tool, not an AI/ML capability.","[""TwinMaker"", ""digital twin"", ""visualization""]",claude-sonnet-5,12a82ac0f21e9af9,2026-07-04T21:37:29Z,llm
AWS Key Management Service (KMS),not_ai,high,"Managed cryptographic key creation and control service; encryption key management, not AI.","[""KMS"", ""encryption keys""]",claude-sonnet-5,da11b13164e08f9d,2026-07-04T21:37:29Z,llm
AWS Lambda,not_ai,high,"Serverless compute/function execution service; general-purpose compute, not AI-specific.","[""Lambda"", ""serverless compute"", ""functions""]",claude-sonnet-5,47f13a4efa95b253,2026-07-04T21:37:29Z,llm
AWS License Manager,not_ai,high,"Tracks and manages software license usage across AWS/on-prem; license administration, not AI.","[""License Manager"", ""license tracking""]",claude-sonnet-5,545338ea86313b3b,2026-07-04T21:37:29Z,llm
AWS Mainframe Modernization,not_ai,high,"Platform for migrating and running mainframe applications on AWS; migration/runtime tooling, not AI.","[""Mainframe Modernization"", ""mainframe migration""]",claude-sonnet-5,000d051389815793,2026-07-04T21:37:29Z,llm
AWS Managed Services (AMS),not_ai,high,"Ongoing operational management of AWS infrastructure by AWS staff/automation; managed operations, not an AI product.","[""Managed Services"", ""AMS"", ""operational management""]",claude-sonnet-5,d6fec0552f00fa4f,2026-07-04T21:37:29Z,llm
AWS Network Firewall,not_ai,high,"Managed stateful network firewall for VPCs; rules-based network security, not AI.","[""Network Firewall"", ""stateful firewall""]",claude-sonnet-5,3830027fa0c4eb2c,2026-07-04T21:37:29Z,llm
AWS Network Manager,not_ai,high,"Central management and visibility for global network topology (Transit Gateways, VPNs); network operations tooling, not AI.","[""Network Manager"", ""network topology""]",claude-sonnet-5,46226a1a505a637d,2026-07-04T21:37:29Z,llm
AWS Organizations,not_ai,high,"Multi-account management and consolidated billing/policy service; account governance, not AI.","[""Organizations"", ""multi-account management""]",claude-sonnet-5,2dc1fc7e55bc423d,2026-07-04T21:37:29Z,llm
AWS Outposts (software),not_ai,high,"Extends AWS infrastructure and services to on-premises hardware; hybrid infrastructure, not AI.","[""Outposts"", ""on-premises hardware""]",claude-sonnet-5,15ae79e363d17ba9,2026-07-04T21:37:29Z,llm
AWS Private Certificate Authority,not_ai,high,"Managed private CA for issuing X.509 certificates; PKI infrastructure, not AI.","[""Private Certificate Authority"", ""X.509 certificates""]",claude-sonnet-5,0dd88f897445acc5,2026-07-04T21:37:29Z,llm
AWS Resilience Hub,not_ai,high,"Assesses and tracks application resiliency against defined objectives; resiliency assessment tooling, not AI.","[""Resilience Hub"", ""resiliency assessment""]",claude-sonnet-5,ea6761ec5ae32c4d,2026-07-04T21:37:29Z,llm
AWS Resource Access Manager (AWS RAM),not_ai,high,"Securely shares AWS resources across accounts; resource-sharing infrastructure, not AI.","[""Resource Access Manager"", ""RAM"", ""resource sharing""]",claude-sonnet-5,32e7b44e60253a63,2026-07-04T21:37:29Z,llm
AWS Resource Groups,not_ai,high,"Organizes and manages AWS resources by tags/criteria; resource organization tooling, not AI.","[""Resource Groups"", ""tagging""]",claude-sonnet-5,985a33285917092d,2026-07-04T21:37:29Z,llm
AWS Secrets Manager,not_ai,high,Secrets/credential storage and rotation service; no ML/AI component.,"[""Secrets Manager"", ""IaaS""]",claude-sonnet-5,06e622420a7370bb,2026-07-04T21:37:29Z,llm
AWS Security Hub CSPM,not_ai,high,Cloud security posture management that aggregates compliance findings and rule-based checks; not an ML detection product (that would be GuardDuty).,"[""Security Hub"", ""CSPM""]",claude-sonnet-5,66ca8fd26845457a,2026-07-04T21:37:29Z,llm
AWS Serverless Application Repository,not_ai,high,A catalog/repository for deploying serverless application code samples; no AI capability.,"[""Serverless Application Repository""]",claude-sonnet-5,5c7dc69836f4f5ea,2026-07-04T21:37:29Z,llm
AWS Service Catalog,not_ai,high,IT service catalog for managing approved cloud resource templates; not AI.,"[""Service Catalog""]",claude-sonnet-5,b3c0ddeae60b99c9,2026-07-04T21:37:29Z,llm
AWS Shield Advanced,not_ai,high,DDoS protection service; not an AI/ML product.,"[""Shield Advanced"", ""DDoS""]",claude-sonnet-5,a57ea2cc81b9a31a,2026-07-04T21:37:29Z,llm
AWS Signer,not_ai,high,Code-signing service for Lambda and IoT; no AI component.,"[""Signer"", ""code signing""]",claude-sonnet-5,941e5392b467dee6,2026-07-04T21:37:29Z,llm
AWS Snowball Edge,not_ai,high,Physical edge-computing/data-transfer appliance; not an AI service.,"[""Snowball Edge""]",claude-sonnet-5,c8bdd5bc8dc1a4fa,2026-07-04T21:37:29Z,llm
AWS Step Functions,not_ai,high,Serverless workflow orchestration service; no AI/ML capability.,"[""Step Functions"", ""workflow""]",claude-sonnet-5,841a4fe89a7fc77b,2026-07-04T21:37:29Z,llm
AWS Storage Gateway,not_ai,high,Hybrid cloud storage connector; not AI.,"[""Storage Gateway""]",claude-sonnet-5,cf65c97149504fe6,2026-07-04T21:37:29Z,llm
AWS Systems Manager,not_ai,high,Operational management/patching tool for AWS resources; not AI.,"[""Systems Manager""]",claude-sonnet-5,5afbe4cc4c8ef58e,2026-07-04T21:37:29Z,llm
AWS Transfer Family,not_ai,high,Managed SFTP/FTPS/FTP file-transfer service; not AI.,"[""Transfer Family"", ""file transfer""]",claude-sonnet-5,fd268eb58850c14c,2026-07-04T21:37:29Z,llm
AWS Trusted Advisor,not_ai,high,Rule-based best-practice/cost checks for AWS accounts; not an ML product.,"[""Trusted Advisor""]",claude-sonnet-5,11898d9a45588c81,2026-07-04T21:37:29Z,llm
AWS Verified Access (AVA),not_ai,high,Zero-trust network access control service; not AI.,"[""Verified Access""]",claude-sonnet-5,e74fb71bee9187fd,2026-07-04T21:37:29Z,llm
AWS Web Application Firewall (WAF),not_ai,high,Rule-based web application firewall; not an AI/ML product.,"[""WAF"", ""firewall""]",claude-sonnet-5,43f86b99e6d88103,2026-07-04T21:37:29Z,llm
