canonical_name,category,gen_ai,confidence,reasoning,model,labeled_at,source
Azure Computer Vision,vision,0,high,"Azure's image-analysis API used here for blank-page detection, explicitly described as non-generative.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Azure Data Factory,none,0,medium,Data integration/ETL service; embedded anomaly-detection and data-quality ML does not amount to any vocabulary capability.,claude-fable-5,2026-07-05T00:00:00Z,llm
Azure OpenAI,genai_platform,1,high,"OpenAI models hosted on Azure — a general-purpose LLM API surface, the archetypal genai_platform.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Azure Speech,speech,0,high,Azure's speech-to-text and text-to-speech cognitive service.,claude-fable-5,2026-07-05T00:00:00Z,llm
Azure Synapse Analytics,none,0,medium,Data warehousing/analytics platform; no productized capability from the vocabulary despite Spark ML adjacency.,claude-fable-5,2026-07-05T00:00:00Z,llm
BD Pyxis MedStation,none,0,medium,Medication-dispensing system with predictive inventory analytics; no listed capability class.,claude-fable-5,2026-07-05T00:00:00Z,llm
BI SmartLINK,vision,0,medium,Biometric check-in app using facial recognition.,claude-fable-5,2026-07-05T00:00:00Z,llm
BLS Expenditure Classification Autocoder,nlp,0,high,"Assigns expenditure classification categories to survey text, an NLP task.",claude-fable-5,2026-07-05T00:00:00Z,llm
BMC Helix ITSM,none,0,medium,IT service management platform; no specific AI capability indicated.,claude-fable-5,2026-07-05T00:00:00Z,llm
BSEE Corrosion Classifier,vision,0,medium,"Classifies platform corrosion, an image-based classification (vision) capability.",claude-fable-5,2026-07-05T00:00:00Z,llm
Babel Street Babel,nlp,0,medium,"Multilingual OSINT platform providing cross-lingual search plus text analytics (entity, sentiment) over public data.",claude-fable-5,2026-07-05T00:00:00Z,llm
Babel Street Babel,search,0,medium,"Multilingual OSINT platform providing cross-lingual search plus text analytics (entity, sentiment) over public data.",claude-fable-5,2026-07-05T00:00:00Z,llm
Beckman Coulter DxH 800,vision,0,low,Hematology analyzer using digital cell-morphology image classification.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Benefits Manager Virtual Assistant,chatbot,1,medium,Conversational virtual assistant answering benefits questions.,claude-fable-5,2026-07-05T00:00:00Z,llm
BillieGPT,genai_platform,1,medium,VA general-purpose GPT chat surface (LLM platform).,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Bio-Rad BioPlex 2200,none,0,medium,"Laboratory immunoassay analyzer (instrument), not an AI capability product.",claude-fable-5,2026-07-05T00:00:00Z,llm
BioRender,assistant,1,low,Scientific diagramming tool with an embedded AI assist that generates figures from prompts; AI capability is peripheral to the product.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Biometrics Enrollment Tool,vision,0,medium,"USCIS biometric capture/enrollment tool, a biometrics (vision) capability.",claude-fable-5,2026-07-05T00:00:00Z,llm
Biosense Webster CARTO 3,none,0,low,Cardiac electroanatomic 3D mapping system; signal/spatial mapping outside the vocabulary.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Biotronik Home Monitoring,none,0,medium,Cardiac device remote monitoring with analytics; no listed AI capability class.,claude-fable-5,2026-07-05T00:00:00Z,llm
Bloomberg Government,none,0,medium,Policy and procurement analytics/BI product with no vocabulary capability.,claude-fable-5,2026-07-05T00:00:00Z,llm
Boston Dynamics Spot,none,0,high,Robotics hardware platform.,claude-fable-5,2026-07-05T00:00:00Z,llm
Boston Scientific Preventice BodyGuardian,none,0,medium,Wearable cardiac monitor with ML ECG analysis — physiological signal analytics outside the vocabulary.,claude-fable-5,2026-07-05T00:00:00Z,llm
Brainlab Cirq Alignment,none,0,low,Robotic surgical alignment arm; hardware/robotics outside the vocabulary.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Brainlab Cranial Navigation,vision,0,low,Image-guided surgical navigation registers and processes medical imaging.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Brainlab Elements,vision,0,medium,"Medical image-processing suite (segmentation, registration, fusion).",claude-fable-5,2026-07-05T00:00:00Z,llm
Brainlab Elements Spine,vision,0,low,Spine imaging and planning module built on medical image analysis.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
BriefCatch,nlp,1,low,Legal-writing editor analyzing text and suggesting (partly generative) rewrites.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Broadcom Code for Z,assistant,1,medium,AI-assisted mainframe code analysis and refactoring assistant.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Butterfly iQ Ultrasound,vision,0,medium,Handheld ultrasound with AI-guided image acquisition and interpretation aids — medical imaging AI.,claude-fable-5,2026-07-05T00:00:00Z,llm
Buzzsprout CoHost AI,speech,1,high,Generates transcripts (speech-to-text) plus generative titles/descriptions/chapters from podcast audio.,claude-fable-5,2026-07-05T00:00:00Z,llm
C3 AI,ml_platform,0,high,Enterprise ML model development and deployment platform.,claude-fable-5,2026-07-05T00:00:00Z,llm
CANDA UEBA,none,0,high,"User-and-entity behavior analytics security tool, excluded per security rule.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CBP Translate,translation,0,high,CBP machine translation service between human languages.,claude-fable-5,2026-07-05T00:00:00Z,llm
CISAChat,genai_platform,1,medium,DHS internal general-purpose LLM chat surface.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CMS AI Agent Orchestrator,genai_platform,1,medium,Noblis-built POC that orchestrates generative AI agents for CMS analytics — an agent-serving platform.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CMS ELMO Chatbot,chatbot,1,medium,Medicare eligibility/enrollment generative support chatbot.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CMS IDR Support Bot,chatbot,1,medium,Task-specific generative support bot for the CMS IDR/CAE environment.,claude-fable-5,2026-07-05T00:00:00Z,llm
CMS Integrated Data Repository Customer Analytic Environment,none,0,low,"Data repository/analytic environment (warehouse), not a listed AI capability.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CMS Medicare AI Customer Insights,nlp,1,low,AI analysis of Medicare customer feedback (likely sentiment and summarization).,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
COREII,genai_platform,1,low,INL generative AI capability inferred from name and gen-AI hint.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CWTSatoTravel,none,0,high,"Travel management service, not an AI capability product.",claude-fable-5,2026-07-05T00:00:00Z,llm
Calendly,none,0,high,Scheduling tool; 'AI-enabled' marketing does not map to any vocabulary capability.,claude-fable-5,2026-07-05T00:00:00Z,llm
Canon Alphenix Angio Workstation,vision,0,medium,Angiography workstation with AI-assisted image processing.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Canon Aplio Ultrasound,vision,0,medium,Ultrasound with AI-assisted image acquisition and analysis.,claude-fable-5,2026-07-05T00:00:00Z,llm
Canon Aquilion ONE AiCE,vision,0,high,CT with AiCE deep-learning image reconstruction.,claude-fable-5,2026-07-05T00:00:00Z,llm
Canon Cartesion Prime PET/CT,vision,0,medium,PET/CT scanner with AI-based image reconstruction.,claude-fable-5,2026-07-05T00:00:00Z,llm
Canva,assistant,1,low,Design platform whose Magic Studio provides an embedded generative design assistant.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CareCentra,none,0,low,Behavioral-health engagement with predictive nudges; no clear listed capability class.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CareView Patient Safety System,vision,0,medium,Computer-vision patient monitoring for safety events.,claude-fable-5,2026-07-05T00:00:00Z,llm
Carestream CS 9600,none,0,low,Dental CBCT imaging scanner (hardware); no distinct AI capability indicated.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CargoNet,none,0,low,Cargo-theft data aggregation and predictive analytics outside the vocabulary.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CaseGuard,vision,0,low,AI-assisted redaction detects faces/objects in video (vision) and PII in audio (speech).,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CaseGuard,speech,0,low,AI-assisted redaction detects faces/objects in video (vision) and PII in audio (speech).,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CathWorks FFRangio,vision,0,high,AI analysis of coronary angiograms to compute FFR from images.,claude-fable-5,2026-07-05T00:00:00Z,llm
Cell Hawk,none,0,low,"Call-detail-record parsing/visualization for investigations, no vocabulary capability.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CellaVision DM1200,vision,0,medium,Digital blood-cell morphology image analysis.,claude-fable-5,2026-07-05T00:00:00Z,llm
Cellebrite Media Classifier,vision,0,high,Classifies media/images in digital forensic evidence (vision).,claude-fable-5,2026-07-05T00:00:00Z,llm
Chainalysis,none,0,high,Blockchain/cryptocurrency investigation analytics — outside the capability vocabulary.,claude-fable-5,2026-07-05T00:00:00Z,llm
ChatGPT,genai_platform,1,high,OpenAI general-purpose conversational LLM surface.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Chiral Wildlife Deterrent System,vision,0,medium,Computer vision detects animals (e.g. coyotes) to trigger deterrence.,claude-fable-5,2026-07-05T00:00:00Z,llm
Circle CVI42,vision,0,high,Cardiac MRI post-processing with AI-based image segmentation and analysis.,claude-fable-5,2026-07-05T00:00:00Z,llm
Cisco,none,0,low,Bare vendor name with no product specificity to assign a capability.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Cisco Identity Services Engine,none,0,medium,Network access control with ML device profiling; security analytics only.,claude-fable-5,2026-07-05T00:00:00Z,llm
Cisco Secure Network Analytics,none,0,medium,Network detection-and-response using ML anomaly detection; security analytics only.,claude-fable-5,2026-07-05T00:00:00Z,llm
Citrix,none,0,high,"Virtualization/desktop delivery platform, no AI capability.",claude-fable-5,2026-07-05T00:00:00Z,llm
ClassifAI,doc_processing,1,low,"DHS/Starlo document-AI tool that appears to classify/process documents; sparse evidence, gen-AI hint followed tentatively.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Claude,genai_platform,1,high,Anthropic's general-purpose LLM chat/API surface.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Claude Code,assistant,1,high,Anthropic's embedded generative coding agent.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Clearview AI,vision,0,high,"Facial-recognition traveler verification, a biometric vision capability.",claude-fable-5,2026-07-05T00:00:00Z,llm
Clirio,none,0,medium,AR visualization app used with HoloLens for inspection training — no vocabulary AI capability.,claude-fable-5,2026-07-05T00:00:00Z,llm
Cloudflare Turnstile,none,0,high,"Bot-detection/CAPTCHA-replacement security service, none of the listed capabilities.",claude-fable-5,2026-07-05T00:00:00Z,llm
CoCounsel,assistant,1,high,"Generative legal assistant for research (retrieval), document review, and drafting.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CoCounsel,search,1,high,"Generative legal assistant for research (retrieval), document review, and drafting.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Cofense PhishMe,none,0,high,"Phishing simulation with ML triage, excluded per security rule.",claude-fable-5,2026-07-05T00:00:00Z,llm
Cogitativo,none,0,low,Healthcare data-science/ML services with no specific listed capability described.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Cohesity,none,0,high,Data backup/management and security product; no vocabulary capability in evidence.,claude-fable-5,2026-07-05T00:00:00Z,llm
Commonlook Online,none,0,low,PDF accessibility remediation tool; no listed AI capability class clearly applies.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Conductor Conduit AI,nlp,1,low,Document-review/litigation platform inferred to apply NLP with generative features.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Consular Consolidated Database Facial Recognition,vision,0,high,Facial recognition on the Consular Consolidated Database (biometric vision).,claude-fable-5,2026-07-05T00:00:00Z,llm
Cortechs NeuroQuant,vision,0,high,Automated MR brain-imaging post-processing/volumetrics (medical-imaging vision).,claude-fable-5,2026-07-05T00:00:00Z,llm
Credal,genai_platform,1,high,"Secure enterprise gen-AI platform (LLM gateway, RAG, agent building) sold to government customers.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
CrewAI,genai_platform,1,medium,Framework for orchestrating multi-agent LLM workflows.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Critical Mention,speech,0,medium,Broadcast media monitoring with transcription and sentiment analysis.,claude-fable-5,2026-07-05T00:00:00Z,llm
Crowdstrike Falcon,none,0,high,"Endpoint security analytics ML, excluded per CrowdStrike rule.",claude-fable-5,2026-07-05T00:00:00Z,llm
CryoSPARC,vision,0,medium,CryoEM processing with ML particle picking and 3D image reconstruction.,claude-fable-5,2026-07-05T00:00:00Z,llm
Custom In-House AI,none,1,low,"Umbrella entry for heterogeneous agency-built AI spanning many capabilities; no single category can honestly be assigned, and the grab-bag includes generative builds.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
DALL-E,genai_platform,1,high,OpenAI generative image model serving novel images from prompts.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
DEA GenAI R&D Sandbox,genai_platform,1,high,NVIDIA R&D environment to test and prototype generative AI (LLM platform).,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
DOE OGC Docket Database,none,0,low,Internal docket-tracking database; no AI capability described.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
DOE Soil Moisture Modeling,none,0,medium,University of Montana scientific ML model for soil moisture — research modeling outside the vocabulary.,claude-fable-5,2026-07-05T00:00:00Z,llm
DOL Auntee Bot,nlp,1,medium,Meeting-notes summarization tool that generates text summaries.,claude-fable-5,2026-07-05T00:00:00Z,llm
DRUID AI,chatbot,1,medium,Conversational AI platform for building virtual-agent/dialog experiences.,claude-fable-5,2026-07-05T00:00:00Z,llm
Databricks,ml_platform,1,high,Data-science/ML platform plus embedded Assistant/Genie generative features.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Databricks,assistant,1,high,Data-science/ML platform plus embedded Assistant/Genie generative features.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Dataminr First Alert,nlp,0,medium,Detects real-time events by analyzing public/social text streams.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
DeepEMhancer,none,0,low,Deep-learning CryoEM density-map denoising/sharpening; scientific image enhancement with no clean listed capability.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Democratizing Data,nlp,0,low,ML text/entity extraction to identify dataset usage in publications.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Dentsply Sirona CEREC,none,0,low,Dental CAD/CAM restoration system (hardware/imaging); no distinct listed AI capability.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Descript,speech,1,high,AI audio/video editor with transcription and generative voice cloning.,claude-fable-5,2026-07-05T00:00:00Z,llm
Digital Science Dimensions,search,0,low,Research publication database with AI-assisted search and analytics.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Doble Test Assistant,none,0,low,Electrical test-data analysis assistant with no clear vocabulary capability.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
DocketScope,nlp,0,low,"Analyzes regulatory docket comments/documents (text analytics, nlp).",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Dun & Bradstreet,none,0,medium,Business/risk data with fraud-anomaly analytics; fraud analytics does not map to a listed capability.,claude-fable-5,2026-07-05T00:00:00Z,llm
Dynatrace,none,0,high,Observability/AIOps platform (Davis AI); IT-operations anomaly detection is outside the vocabulary.,claude-fable-5,2026-07-05T00:00:00Z,llm
EDAV (CDC),ml_platform,0,low,CDC enterprise data analytics/visualization environment supporting data-science and ML workloads.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
ELIS,none,0,low,Core USCIS Electronic Immigration System is a case-management platform; AI capabilities live in its named sub-services.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
ELIS Card Photo Validation Service,vision,0,medium,"Validates card photos, an image/biometric analysis (vision) capability.",claude-fable-5,2026-07-05T00:00:00Z,llm
ELIS Evidence Classifier Service,doc_processing,0,medium,Classifies evidence documents in USCIS ELIS (document processing/classification).,claude-fable-5,2026-07-05T00:00:00Z,llm
ELSAG ALPR,vision,0,high,License-plate-reader cameras with image recognition analytics.,claude-fable-5,2026-07-05T00:00:00Z,llm
EPA Agency Records Management System,doc_processing,0,low,Records management system inferred to classify/process document records.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
EPA RCRA PA,none,0,low,"Risk-scoring analytics for hazardous-waste inspections, no vocabulary capability.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
ERNIE Radiological Detection,none,0,low,Analyzes radiation portal monitor spectra rather than images or text; no listed capability class.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
EarlySense WAVE Clinical Platform,none,0,medium,Contact-free patient monitoring with predictive analytics; no listed capability class.,claude-fable-5,2026-07-05T00:00:00Z,llm
Edwards Acumen Hypotension Prediction Index,none,0,low,"Clinical ML hypotension-prediction index, no vocabulary capability.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Elastic Stack,search,0,medium,Elasticsearch/Kibana search and analytics with built-in ML jobs (AI-powered search).,claude-fable-5,2026-07-05T00:00:00Z,llm
Elsa (FDA),genai_platform,1,high,"QC correction: Standalone agency-wide general-purpose GPT surface — same class as BillieGPT/CISAChat, so genai_platform not embedded assistant.",claude-fable-5,2026-07-05T00:00:00Z,qc_corrected
Emerald Innovations,none,0,low,Insufficient detail to assign a capability; likely sensing/health analytics.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
EnerGPT,genai_platform,1,medium,Domain generative AI assistant tuned for energy queries.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Ephesoft Transact,doc_processing,0,high,Intelligent document capture and OCR extraction platform.,claude-fable-5,2026-07-05T00:00:00Z,llm
Equifax Background Screening,none,0,low,Background-verification data automation with no vocabulary capability.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Espyr Therapy Chatbot,chatbot,1,high,Text-based mental-health support chatbot (conversational front-end).,claude-fable-5,2026-07-05T00:00:00Z,llm
