action,child_canonical_name,parent_canonical_name,confidence,reasoning
remove,GitHub Copilot,Microsoft 365 Copilot,n/a,Different SKUs/platforms/licensing; Microsoft-owned siblings not parent-child
remove,NotebookLM,Gemini,n/a,Uses Gemini as model is not the same as is a sub-SKU of Gemini
add,Microsoft Defender,Microsoft 365,medium,Defender for M365 / Defender for Endpoint inherit FedRAMP via M365 GCC parent (per queue narrative)
add,Microsoft Copilot for Security,Microsoft 365,medium,Copilot for Security inherits via M365 GCC parent authorization (per queue narrative)
add,Microsoft Search in Bing,Microsoft 365,medium,M365 Search surface; inherits via M365 GCC parent authorization
add,Microsoft Purview,Microsoft 365,medium,Purview is the M365 governance suite; inherits via M365 GCC parent

add,Azure Data Factory,Microsoft Azure Platform,high,"Azure Data Factory is a first-party Azure data-integration service, billed and provisioned through Microsoft Azure. Same pattern as Azure OpenAI, Azure AI Foundry, Azure Speech, and Azure AI Document Intelligence which are already parented under Microsoft Azure Platform."
add,Microsoft Sentinel,Microsoft Azure Platform,high,Microsoft Sentinel is an Azure-native cloud SIEM/SOAR service provisioned in an Azure subscription. Fits the same Azure-service pattern as the existing Azure-* children.
add,Palantir Case Management & Analytics (CMA),Palantir Federal Cloud Service,medium,"Palantir CMA is a federal Palantir offering that runs on Foundry inside Palantir's Federal Cloud Service authorization boundary, mirroring the existing Palantir AIP -> Palantir Federal Cloud Service edge."
add,Palantir Decision and Analytics Platform (DNA-P),Palantir Federal Cloud Service,medium,Palantir DNA-P is delivered on Palantir Foundry within the Federal Cloud Service environment for federal customers; same inheritance pattern as Palantir AIP and CMA.
add,LexisNexis Risk Solutions,LexisNexis,medium,LexisNexis Risk Solutions is the RELX/LexisNexis Risk division of LexisNexis; consistent with the existing NexisXplore -> LexisNexis edge for grouping LexisNexis-branded products.
add,idiCORE,LexisNexis Risk Solutions,high,idiCORE is the flagship investigative-data product of LexisNexis Risk Solutions (vendor field on the catalog row is literally 'LexisNexis Risk Solutions'); clear sub-SKU of the parent vendor row.
add,IBM watsonx Code Assistant,IBM Watson,medium,watsonx is IBM's rebrand/refresh of the Watson AI family; watsonx Code Assistant is a Watson-family coding product. Consistent with existing IBM ARGOS -> IBM Watson and IBM CoreDF -> IBM Watson edges.
add,ELIS Name and DOB Harvesting Service,ELIS,medium,derived from add_product by agent_a: USCIS ELIS-resident service; SAIC/DV United integrators.
add,Adobe Premiere Pro,Adobe Creative Cloud Suite,high,derived from add_product by agent_a: Adobe Premiere Pro is a named child product under Adobe Creative Cloud Suite. Add as new product with parent.
add,Microsoft SQL Server Intelligent Query Processing,Microsoft Azure Platform,medium,derived from add_product by agent_a: Microsoft SQL Server IQP/Anomaly features. Distinct from Azure Platform.
add,FTC Sentinel PSC Classification,FTC Sentinel Network Services,medium,derived from add_product by agent_a: FTC Sentinel platform module; Leidos prime integrator.
add,FTC Sentinel Chatbot,FTC Sentinel Network Services,medium,derived from add_product by agent_a: FTC Sentinel platform module; Leidos prime integrator.
add,FTC Sentinel Graph Analytics,FTC Sentinel Network Services,medium,derived from add_product by agent_a: FTC Sentinel platform module; Leidos prime integrator.
add,FTC Sentinel Analytic Sandbox,FTC Sentinel Network Services,medium,derived from add_product by agent_a: FTC Sentinel platform module; Leidos prime integrator.
add,FTC Sentinel Developer Productivity,FTC Sentinel Network Services,medium,derived from add_product by agent_a: FTC Sentinel platform module; Leidos prime integrator.
add,CMS AI Agent Orchestrator,Skyward CEDAR/CLAW,medium,derived from add_product by agent_a: CMS PoC with Noblis. Named tool.
add,CMS IDR Support Bot,CMS Integrated Data Repository Customer Analytic Environment,medium,derived from add_product by agent_a: CMS IDR support chatbot.
add,FDA 356H ML Facility Supply Chain Role Classification,FDA CDEROne Analytics,medium,derived from add_product by agent_a: FDA CDEROne extraction pipeline; Deloitte integrator. Distinct named module.
add,FDA Annual Report CMC Extraction,FDA CDEROne Analytics,medium,derived from add_product by agent_a: FDA CDEROne extraction pipeline; Deloitte integrator. Distinct named module.
add,FDA Application-DMF Reference Extraction,FDA CDEROne Analytics,medium,derived from add_product by agent_a: FDA CDEROne extraction pipeline; Deloitte integrator. Distinct named module.
add,FDA DMF Facilities Extraction,FDA CDEROne Analytics,medium,derived from add_product by agent_a: FDA CDEROne extraction pipeline; Deloitte integrator. Distinct named module.
add,FDA Module 3 Facilities Extraction,FDA CDEROne Analytics,medium,derived from add_product by agent_a: FDA CDEROne extraction pipeline; Deloitte integrator. Distinct named module.
add,FDA Packaging Materials and Suppliers Extraction,FDA CDEROne Analytics,medium,derived from add_product by agent_a: FDA CDEROne extraction pipeline; Deloitte integrator. Distinct named module.
add,FDA Real World Data/Evidence Identification,FDA CDEROne Analytics,medium,derived from add_product by agent_a: FDA CDEROne extraction pipeline; Deloitte integrator. Distinct named module.
add,FDA Regulatory Starting Materials Extraction,FDA CDEROne Analytics,medium,derived from add_product by agent_a: FDA CDEROne extraction pipeline; Deloitte integrator. Distinct named module.
add,NIAID TB Portals Outlier Detection,NIAID TB Portals (TB DEPOT),medium,derived from add_product by agent_a: NIAID TB Portals image-quality module.
add,Grants.gov Similar Opportunities,Grants.gov AI Tools,medium,derived from add_product by agent_a: MicroHealth-built Grants.gov recommender.
add,Grants.gov Applicant Help Chatbot,Grants.gov AI Tools,medium,derived from add_product by agent_a: Grants.gov public help chatbot.
add,GrantSolutions Text Analyzer Tool,GrantSolutions,high,derived from add_product by agent_a: GrantSolutions federal shared-service modules.
add,GrantSolutions AI Writing Assistant,GrantSolutions,high,derived from add_product by agent_a: GrantSolutions federal shared-service modules.
add,GrantSolutions Recipient Risk Tool,GrantSolutions,high,derived from add_product by agent_a: GrantSolutions federal shared-service modules.
add,GrantSolutions Non-Competing Continuation Approval Tool,GrantSolutions,high,derived from add_product by agent_a: GrantSolutions federal shared-service modules.
add,GrantSolutions Helpdesk Agent,GrantSolutions,high,derived from add_product by agent_a: GrantSolutions federal shared-service modules.
add,GrantSolutions Non-Competing Continuation Review Tool,GrantSolutions,high,derived from add_product by agent_a: GrantSolutions federal shared-service modules.
add,Azure AI Translator,Microsoft Azure Platform,high,derived from add_product by agent_a: Azure Translator service.
add,Adobe Sensei,Adobe Creative Cloud Suite,high,derived from add_product by agent_b: Adobe Sensei is Adobe's real AI/ML brand embedded across its Creative Cloud products.
add,Azure Synapse Analytics,Microsoft Azure Platform,high,derived from add_product by agent_b: Azure Synapse is a real Microsoft analytics service.
add,Google Calendar,Google Workspace,high,derived from add_product by agent_b: Google Calendar (with AI meeting transcription/summary features) referenced for DOT.
add,Amazon Web Services,Amazon,high,AWS is Amazon's cloud division.
add,Amazon Alexa,Amazon,high,"Alexa is an Amazon consumer product (devices/voice), distinct from AWS."
add,Amazon Q,Amazon Web Services,high,"Amazon Q is a first-party AWS service (Q Developer, Q Business)."
add,AWS Bedrock,Amazon Web Services,high,Bedrock is the AWS generative-AI foundation-model service.
add,AWS Kendra,Amazon Web Services,high,Kendra is a first-party AWS enterprise-search service.
add,AWS Lex,Amazon Web Services,high,Lex is the AWS conversational-bot service.
add,AWS Rekognition,Amazon Web Services,high,Rekognition is the AWS computer-vision service.
add,AWS Textract,Amazon Web Services,high,Textract is the AWS document-OCR service.
add,AWS Transcribe,Amazon Web Services,high,Transcribe is the AWS speech-to-text service.
add,AWS Translate,Amazon Web Services,high,Translate is the AWS neural machine-translation service. Catalog row already has vendor='Amazon Web Services'.
add,Amazon Comprehend,Amazon Web Services,high,Comprehend is the AWS NLP service.
add,Amazon SageMaker,Amazon Web Services,high,SageMaker is the AWS ML training/serving platform.
add,Amazon Connect,Amazon Web Services,high,Amazon Connect is the AWS contact-center service. Catalog row already has vendor='Amazon Web Services'.
add,Westlaw AI,Thomson Reuters,high,Westlaw is Thomson Reuters' flagship legal-research product.
add,CoCounsel,Thomson Reuters,high,CoCounsel (acquired from Casetext) is a Thomson Reuters legal-AI product.
add,ProLaw,Thomson Reuters,high,ProLaw is a Thomson Reuters legal practice management product.
add,Thomson Reuters CLEAR,Thomson Reuters,high,CLEAR is Thomson Reuters' investigative-data product.
add,Adobe Creative Cloud Suite,Adobe,high,CC Suite is Adobe's flagship product family.
add,ServiceNow Now Assist,ServiceNow,high,Now Assist is the ServiceNow generative-AI feature family.
add,ServiceNow IT Operations Management (ITOM) Predictive AIOps,ServiceNow,high,ITOM Predictive AIOps is a ServiceNow product module.
add,Cisco Identity Services Engine,Cisco,high,Cisco ISE is Cisco's network access-control product.
add,Cisco Secure Network Analytics,Cisco,high,Cisco Secure Network Analytics (Stealthwatch) is a Cisco security product.
add,Salesforce Einstein,Salesforce,high,Einstein is Salesforce's native AI/ML platform.
add,Slack,Salesforce,high,Salesforce acquired Slack in 2021; catalog row already lists vendor='Salesforce'.
add,Tableau,Salesforce,high,Salesforce acquired Tableau in 2019; catalog row already lists vendor='Salesforce'.
add,Microsoft 365,Microsoft,high,"M365 is a Microsoft productivity-suite SKU. Adding this edge makes existing M365-children (Teams, Outlook, etc.) sit at depth 3 -- well under the depth-5 cap."
add,Microsoft Azure Platform,Microsoft,high,Azure is Microsoft's cloud platform. Existing Azure-* children move to depth 3.
add,Microsoft Power Platform,Microsoft,high,Power Platform is a Microsoft low-code SKU family.
add,Microsoft Dynamics 365,Microsoft,high,Dynamics 365 is Microsoft's CRM/ERP suite.
add,GitHub Copilot,Microsoft,high,"GitHub is Microsoft-owned; Copilot is a Microsoft product. Prior pass explicitly removed the GitHub Copilot -> M365 Copilot edge as sibling SKUs, so Microsoft (not M365) is the correct parent."
add,Microsoft Edge,Microsoft,high,"Edge is the Microsoft browser; charter notes Edge is NOT part of M365 (separately licensed), so parent at Microsoft level."
add,Microsoft Discovery,Microsoft,medium,Microsoft Discovery is a Microsoft research/scientific-AI offering; no narrower parent available.
add,Microsoft HoloLens,Microsoft,high,HoloLens is a Microsoft AR hardware product.
add,Microsoft ScreenSketch,Microsoft,high,ScreenSketch (Snip & Sketch) is a Microsoft Windows utility.
add,Microsoft Skype,Microsoft,high,Skype is a Microsoft-owned communications product.
add,Microsoft Viva,Microsoft,high,Viva is a Microsoft employee-experience platform. Note: Viva ties into M365 but is sold as a separate Microsoft SKU family; parenting at Microsoft level is safer.
add,SQL Server Management Studio,Microsoft,high,SSMS is a Microsoft developer tool (SQL Server admin GUI).
add,Visual Studio,Microsoft,high,Visual Studio is a Microsoft IDE.
add,Gemini,Google,high,Gemini is Google's flagship LLM family.
add,NotebookLM,Google,high,"NotebookLM is a Google product. Prior pass removed the NotebookLM -> Gemini edge (model-use not sub-SKU), so parent at Google level."
add,Google Workspace,Google,high,Google Workspace (formerly G Suite) is Google's productivity SKU.
add,Google Cloud Platform,Google,high,GCP is Google's public-cloud platform. Existing Vertex AI / Cloud Vision children move to depth 3.
add,Google Translate,Google,high,Google Translate is a Google consumer/API translation product.
add,Google Maps,Google,high,Google Maps is Google's mapping product.
add,Google Lens,Google,high,Google Lens is Google's image-search/AR product.
add,Google Pixel,Google,high,Pixel is Google's phone hardware line.
add,Google Chrome Generative AI,Google,high,Chrome is a Google product; generative-AI features ship inside it.
add,Google Colab,Google,high,Colab is Google's hosted Jupyter environment.
add,Google Coral TPU,Google,high,Coral TPU is Google's edge-AI hardware line.
add,Google Earth Engine,Google,high,Earth Engine is Google's geospatial-analysis platform.
add,Google Earth Engine Wetlands Classifier,Google Earth Engine,high,Wetlands Classifier is a model running on Google Earth Engine. Two-hop chain (-> Google) stays at depth 3.
add,Google News Brief,Google,medium,Google News Brief is a Google consumer-AI feature in the Google News surface.
add,reCAPTCHA,Google,high,reCAPTCHA is a Google security/anti-bot product.
add,Nuance PowerScribe One,Nuance Dragon,high,derived from add_product by ws1_va: Nuance PowerScribe One is a well-known radiology reporting product with AI assist.
