agency,use_case_name,cohort,bureau_component,current_is_generative_ai,is_general_llm_access,ai_sophistication,ai_classification,ai_classification_normalized,stage_normalized,operational_date,tool_product_name,system_name,vendor_name,problem_statement,expected_benefits,system_outputs,fired_keywords
SBA,AI Vulnerability Remediation Assistance,over_contradict,OCIO: Office of the Chief Information Officer,1,0,classical_ml,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,pre_deployment,09/16/2025 00:00:00,ServiceNow Now Assist,ServiceNow Vulnerability Response,"ServiceNow, Inc. / Tenable","Security teams require environment-specific remediation guidance to determine the optimal patch or configuration change for each identified vulnerability, a process that is currently manual and time-intensive.","Faster and more accurate remediation recommendations tailored to SBA’s specific environment configurations, reducing mean time to remediate and improving patch accuracy.","AI-recommended patches or configuration changes to remediate identified vulnerabilities based on the specific host environment, installed software, and configuration context.",
SBA,AI Vulnerability Ticket Deduplication,over_contradict,OCIO: Office of the Chief Information Officer,1,0,classical_ml,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,pre_deployment,12/12/2025 00:00:00,ServiceNow Now Assist,ServiceNow Vulnerability Response,"ServiceNow, Inc.","Multiple security scanners (Tenable, Qualys, Rapid7) report the same vulnerability on the same host, generating duplicate tickets that create 'ticket bloat' and waste remediation team effort on redundant work.","Reduced vulnerability ticket volume, faster remediation prioritization, and elimination of redundant vulnerability response effort across multiple scanning tools.","Deduplicated vulnerability tickets with merged findings from multiple scanners per unique vulnerability-host combination, reducing duplicate tickets and consolidating remediation workflows.",
SBA,Audit Green Book Classification,over_contradict,OCFO: Office of the Chief Financial Officer,1,0,classical_ml,Machine Learning (Classification/Prediction),Classical/Predictive Machine Learning,pre_deployment,01/01/2026 00:00:00,Custom In-House AI,Audit Green Book Classification,In-house development,Manual classification and tagging of audits and recommendations according to OMB Green Book taxonomy is labor-intensive and prone to inconsistency.,"Consistent classification improves audit tracking, enables better trend analysis, streamlines reporting to OMB and OIG, and reduces staff time spent on categorization.",Classification model for tagging OMB and OIG audits and recommendations. This will be used for internal operations and managing the audit process.,
SBA,Internal OFO Chatbot Recommender,over_contradict,OFO: Office of Field Operations,1,0,general_llm,Machine Learning,Classical/Predictive Machine Learning,pre_deployment,01/01/2026 00:00:00,Custom In-House AI,Internal OFO Chatbot Recommender,In-house development,OFO agents need quick access to relevant policy documents and guidance materials to efficiently respond to inquiries without manually searching through knowledge repositories.,"Faster response times for agents, more consistent guidance provided to clients, reduced time searching for information, and improved quality of service delivery.","OFO agents will access the chatbot via the desired internal website interface, initiating conversations by typing inquiries. The chatbot analyzes inputs and provides approved documents as relevant recommendations.",chatbot; agent
SBA,Multi-Agent Orchestration,over_contradict,OCIO: Office of the Chief Information Officer,1,1,general_llm,Intelligent Automation (AIOps),Other,pre_deployment,01/01/2026 00:00:00,AWS Bedrock,Amazon Bedrock (FedRAMP Authorized),Amazon Web Services (AWS),"SBA maintains millions of lines of legacy ColdFusion and COBOL code supporting mission-critical lending systems (CAFS) with minimal test coverage and significant technical debt. Manual code refactoring, test case generation, and project management across modernization initiatives are resource-intensive and error-prone, creating risk during cloud migration.","Multi-agent AI orchestration will accelerate legacy code modernization by automating code refactoring recommendations, generating comprehensive test suites for financial calculation modules, and streamlining project management workflows. Expected benefits include reduced manual effort for QA testing, improved code quality and test coverage for CAFS applications, faster time-to-migration for AWS EVS initiatives, and better coordination across modernization workstreams.","Multi-agent system using Amazon Bedrock with foundation models. Agent Teams coordinate specialized agents for: (1) Code Refactoring — analyzes legacy ColdFusion/COBOL code and recommends modernization patterns, (2) Automated Testing — generates unit, integration, and regression test cases for financial calculation modules, (3) Project Management — synthesizes sprint status, identifies blockers, and coordinates task dependencies across modernization teams. Input: source code repositories, project management data, test specifications. Output: refactored code suggestions, test case files, project status summaries, risk assessments. All outputs require human review and approval before implementation.",bedrock; agent; workflow
SBA,Predictive AIOps,over_contradict,OCIO: Office of the Chief Information Officer,1,0,classical_ml,Machine Learning (Classification/Prediction),Classical/Predictive Machine Learning,pre_deployment,12/12/2025 00:00:00,ServiceNow Now Assist,ServiceNow IT Operations Management (ITOM),"ServiceNow, Inc.","IT operations teams are overwhelmed with massive volumes of alerts and events from diverse monitoring tools, creating alert fatigue and slowing incident response. Manual correlation of events, log analysis, and root cause identification is time-consuming and error-prone. Reactive problem-solving leads to prolonged outages, high Mean Time to Resolution (MTTR), and degraded service availability. Traditional static thresholds fail to adapt to dynamic IT environments.","Reduces alert noise by up to 90% through intelligent event correlation and anomaly detection. Decreases Mean Time to Resolution (MTTR) by 30-50% via automated root cause analysis and remediation workflows. Enables proactive incident prevention through predictive analytics that identify potential issues before they cause outages. Provides self-healing capabilities with automated remediation reducing manual intervention. Improves service availability and operational efficiency. Shifts IT operations from reactive firefighting to proactive problem prevention. Centralizes insights and actions on single platform, breaking down data silos.","AI-powered IT Operations Management (ITOM) platform that applies machine learning, predictive analytics, and automation to IT infrastructure monitoring and incident management. Automatically analyzes events, logs, metrics, and telemetry data to detect anomalies, predict service disruptions, identify root causes, and trigger automated remediation. Provides intelligent event correlation to reduce alert noise, adaptive thresholds for dynamic environments, and self-healing capabilities. Input: IT infrastructure events, logs, metrics, performance data from monitoring tools. Output: anomaly detection alerts, predictive insights, root cause analysis, automated remediation workflows, incident tickets, and performance dashboards.",workflow
TVA,AWS Q,over_unspecified,Information Technology,1,1,general_llm,,Unspecified,unknown,,Amazon Q,,,,Use of AWS Q will help IT be more efficient and increase productivity,,
TVA,Amazon Connect,over_unspecified,Information Technology,1,0,classical_ml,,Unspecified,unknown,,Amazon Connect,,,,Improved customer support for helpdesk,,
TVA,Copilot,over_unspecified,Information Technology,1,1,general_llm,,Unspecified,unknown,,,,,,Increased efficiency and productivity,,copilot
TVA,Github Copilot,over_unspecified,Information Technology,1,1,coding_assistant,,Unspecified,unknown,,GitHub Copilot,,,,Increased efficiency and productivity,,copilot
TVA,Materials Intelligent Catalog Assistant,over_unspecified,Supply Chain,1,0,general_llm,,Unspecified,unknown,,,,,,"Faster insights, access to information, and reduction of duplicates",,assistant
TVA,Westlaw,over_unspecified,Office of General Counsel,1,0,classical_ml,,Unspecified,unknown,,Westlaw AI,,,,Reduces the time necessary to perform legal research and provides a tool to check for accuracy in legal writing.,,
FERC,Gas Blanket Certificates (Permitting),under_declared,FERC,0,0,general_llm,Generative AI,Generative AI,pilot,2025-11-24 00:00:00,,Microsoft Azure Commercial,Zvolvant (Small Business),"It is designed to streamline the classification, tracking, and summarization of filings and issuances related to blanket certificates, reducing manual workload and improving consistency across document types.","Improves operational efficiency by automating repetitive tasks, enhances transparency in regulatory processes, and accelerates access to structured data for both internal analysts and stakeholders from the analyst's responses.","The system generates categorized summaries of filings and issuances, flags sensitive content, and produces searchable metadata tags that support downstream reporting and compliance reviews.",
FERC,Summarization & Policy Analysis for Regulatory Comments (originally Leverage AI in the Rulemaking Process Use Case),over_contradict,FERC,1,0,nlp_specific,Natural Language Processing (NLP),Natural Language Processing,deployed,2025-10-15 00:00:00,,Microsoft Azure Commercial,Zvolvant (Small Business),"Addresses duration, efficiencies, and accuracies in initial comment analysis.",Reduces the time required for comment analysis as part of mission processes.,"1.Groups public comments by topic and identifies the overall sentiment: positive, negative, or neutral toward each issue.
2.Provides interactive summaries and visualizations that help analysts quickly understand what commenters are saying and how many are engaged on each topic.
3.Enables analysts to ask questions about the comments and receive AI-generated answers, making it easier to explore large volumes of feedback efficiently.",
