entry_kind,entry_id,canonical_name,evidence_quote,confidence,_agent
use_case,66118,Skillsoft Percipio CAISY,CAISY - Artificial Intelligence System Skillsoft Percipio,high,agent_a
use_case,66121,iCatalyst RPA,Legislation Comment Categorization,high,agent_a
use_case,66122,iCatalyst RPA,Customer Service Support,high,agent_a
use_case,66123,iCatalyst RPA,Comment Categorization,high,agent_a
use_case,66124,iCatalyst RPA,Azure AI Internal General Q&A,high,agent_a
use_case,66218,Thomson Reuters CLEAR,Criminal Background Investigation,high,agent_a
use_case,66222,Thomson Reuters CLEAR,Background Check Web Application,high,agent_a
use_case,66227,Thomson Reuters CLEAR,Background Check Tool for Fraud Investigations,high,agent_a
use_case,66236,Westlaw AI,AI Enabled Assistant Legal Research,high,agent_a
use_case,66309,AWS Lex,IVR Automated Voice Assistant,high,agent_a
use_case,66507,UiPath Enterprise RPA,OFR Robotics and Process Automation (ORPA),high,agent_a
use_case,66528,Skyward CEDAR/CLAW,CMS Labor Analysis Wizard (CLAW),high,agent_a
use_case,66530,Skyward CEDAR/CLAW,AI Workspace,high,agent_a
use_case,66542,Skyward CEDAR/CLAW,Skyward IT Solutions,high,agent_a
use_case,66642,PLATES/FoodTrak,Product Label and Text Extraction System (PLATES),high,agent_a
use_case,66653,Precise MLaaS,Filer Evaluation prioritization,high,agent_a
use_case,66700,NanCI,NanCI: Connecting Scientists,high,agent_a
use_case,66701,H2O GPTe,NBS Virtual Assistant,high,agent_a
use_case,66730,Leica Aivia,Aivia,high,agent_a
use_case,66772,Shabash Merops,Merops,high,agent_a
use_case,67236,AWS Rekognition,Amazon Rekognition SAAS,high,agent_a
use_case,67304,Dataminr First Alert,Timely awareness of transportation safety events,high,agent_a
use_case,67312,Microsoft 365 Copilot,Business Development,high,agent_a
use_case,67348,Skillsoft Percipio CAISY,Training Conversation Tool,high,agent_a
use_case,67358,Aretec NEAT,Name Matching,high,agent_a
use_case,67359,Aretec NEAT,Parsing of Plain Language Descriptions,high,agent_a
use_case,67365,Aretec NEAT,Identification of Potentially Manipulative Activity,high,agent_a
use_case,67396,Lexis+ AI,Legal Research (Lexis+),high,agent_a
use_case,67414,AWS Textract,Mobile Wage Reporting,high,agent_a
use_case,67415,AWS Lex,SSA 800# Public Question & Answer Bot,high,agent_a
use_case,67418,Azure Speech,Speech to Text Video Transcription,high,agent_a
use_case,67429,Skillsoft Percipio CAISY,Training Interaction Simulator,high,agent_a
use_case,67448,Google Cloud Platform,Within Grade Increase Data Extraction Automation,high,agent_a
use_case,67449,Google Cloud Platform,DS-5528 Promissory Note Automation,high,agent_a
use_case,67683,Expert.ai Cogito,NAL Automated Indexing,high,agent_a
use_case,67693,RedCastle Forest Health,Forest Health Detection Monitoring,high,agent_a
use_case,67738,UiPath Enterprise RPA,Incident Invoice Document Understanding,high,agent_a
use_case,67771,ACCRETE ARGUS,ARGUS AI Supply Chain Interference,high,agent_a
use_case,67782,VegSpec,Vegetation Specifications Suite (VegSpec),high,agent_a
use_case,67786,UiPath Enterprise RPA,Annual Soil Refresh Data Staging Server Automation,high,agent_a
use_case,67802,RedCastle Forest Health,Automated Road Mapping,high,agent_a
use_case,64929,Google Vertex AI,Google Colab and VertexAI,high,agent_b
use_case,65066,ChatGPT,"Using ChatGPT4 /DALLE3, Adobe Sensei and similar for design ideation and image generation",high,agent_b
use_case,65066,DALL-E,"Using ChatGPT4 /DALLE3, Adobe Sensei and similar for design ideation and image generation",high,agent_b
use_case,65094,Google Vertex AI,LLM support for NIST research (Google Vertex),high,agent_b
use_case,65785,Skillsoft Percipio CAISY,Percipio Skillsoft,high,agent_b
use_case,65832,Westlaw AI,Thomson Reuters Drafting Assistant Tool for MS Word,medium,agent_b
use_case,65864,Adobe Firefly,Adobe has function that enables the generation of images.,medium,agent_b
use_case,65864,Adobe Creative Cloud Suite,Adobe has function that enables the generation of images.,medium,agent_b
use_case,65878,UiPath Enterprise RPA,UiPath states that it is an automation software that has intelligent document creating capabilities,high,agent_b
use_case,65888,UiPath Enterprise RPA,UiPath Document Understanding,high,agent_b
use_case,66188,Microsoft Power Platform,Microsoft Power Apps,high,agent_b
use_case,66348,Elastic Stack,"utilizing Elastic Machine Learning and Amazon SageMaker, the system performs time series analysis on log data",high,agent_b
use_case,68104,Articulate 360 AI Assistant,Articulate 360: AI Assistant,high,agent_b
use_case,68109,UiPath Enterprise RPA,UiPath Document Understanding,high,agent_b
use_case,68110,Axon Evidence,AI is used to aid in Redaction of recorded Video footage and recorded Audio footage.,high,agent_b
use_case,68199,Microsoft Power Platform,Microsoft Power Automate and AI,high,agent_b
use_case,68203,Adobe Creative Cloud Suite,Adobe Creative Cloud,high,agent_b
consolidated,9853,Adobe Creative Cloud Suite,"Adobe creative suite, TV eyes",high,agent_b
consolidated,9860,GitHub Copilot,GitHub Enterprise 1.0,high,agent_b
consolidated,9898,Microsoft 365 Copilot,"Azure Synapse Analytics, Copilot",medium,agent_b
consolidated,9899,Adobe Creative Cloud Suite,"Adobe Premiere Spech to Text, Copilot",high,agent_b
consolidated,9899,Microsoft 365 Copilot,"Adobe Premiere Spech to Text, Copilot",medium,agent_b
consolidated,9993,Adobe Creative Cloud Suite,Adobe,high,agent_b
consolidated,9994,Sprout Social,Sprout,high,agent_b
consolidated,10251,Microsoft 365 Copilot,CoPilot,high,agent_b
consolidated,10252,Microsoft 365 Copilot,CoPilot,high,agent_b
consolidated,10255,Microsoft 365 Copilot,CoPilot,high,agent_b
consolidated,10259,Microsoft 365 Copilot,CoPilot,high,agent_b
consolidated,10268,Apple Face ID,iPhones,high,agent_b
consolidated,10308,Apple Face ID,Apple,high,agent_b
consolidated,10313,Adobe Creative Cloud Suite,Adobe Connect,low,agent_b
consolidated,10318,Microsoft Azure Platform,"Azure, Amazon Web Services, Mural",medium,agent_b
consolidated,10366,Google Maps,Googel Maps,high,agent_b
consolidated,10405,LexisNexis,Law360 (Lexis Nexis),high,agent_b
consolidated,10419,Microsoft 365 Copilot,CoPilot,high,agent_b
consolidated,10421,Microsoft 365 Copilot,CoPilot,high,agent_b
consolidated,10433,Adobe Creative Cloud Suite,Adobe Suite,high,agent_b
consolidated,10601,Microsoft 365 Copilot,Copilot,high,agent_b
use_case,64700,Google Vertex AI,"Using Vertex AI and other GCP services, the system identifies and categorizes content that may require redaction",high,agent_c
use_case,67917,Microsoft AI Builder,Implementing AI Builder will tangibly improve Veterans' experience,high,agent_c
use_case,65573,Ultralytics YOLO,Ultralytics YOLO,strong,fixup_validity
