use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail,is_product_capability_entry
35443,wave1-F,custom_system,0,nlp_specific,office,low,'Search social media posts to identify potential misrepresentation' — social-media text classification.,,,,,,,,,,,,0,unknown,,mission_critical,,DCP,
35444,wave1-F,generic_use_pattern,0,nlp_specific,office,low,Exploratory 'analyzing complaint data to easily identify trends/concerns' — NLP trend analysis.,,,,,,,,,,,,0,unknown,,mission_critical,,DCP,
35445,wave1-F,custom_system,0,classical_ml,office,medium,'Census of non-profit organizations' classification of financial well-being services — classical ML; project Retired.,,,,,,,,,,,,0,unknown,,mission_critical,,DIR,
35446,wave1-F,product_deployment,1,general_llm,office,medium,'Commercially available legal research tools will provide users with generative AI capabilities' — COTS legal research.,,,1,,,,,,,,,0,inference_only,,administrative,,Division of Administration,
35447,wave1-F,bespoke_application,1,general_llm,office,medium,'Custom AI prompt to test extraction from unstructured text emails' — LLM-based extraction pilot.,,,,,,,,,,,,0,inference_only,,administrative,,Division of Administration,
35448,wave1-F,custom_system,0,nlp_specific,office,medium,"'Current RASA open-source platform' chatbot with NLP for deposit-insurance questions — non-generative NLP, public-facing.",,,,,,,,,,,,0,unknown,,mission_critical,1,Division of Administration,
35449,wave1-F,custom_system,0,classical_ml,office,medium,'Machine Learning (M/L) algorithm' to flag prohibited purchase-card activity — classical ML.,,,,,,,,,,,,0,unknown,,administrative,,Division of Administration,
35450,wave1-F,generic_use_pattern,1,general_llm,office,low,"'Generative AI to support human interactions, Intelligence chatbot' in vendor HR software — exploratory pattern.",,,,,,,,,,,,0,unknown,,administrative,,Division of Administration,
35451,wave1-F,product_deployment,0,nlp_specific,office,medium,'Automatically-Scored Writing Assessment' for employment essays — contracted NLP scoring system.,,,1,,,,,,,,,0,unknown,,administrative,,Division of Administration,
35452,wave1-F,product_deployment,0,nlp_specific,office,low,'Online platform' to host structured interview questions and scoring — vendor platform with AI features.,,,1,,,,,,,,,0,unknown,,administrative,,Division of Administration,
35453,wave1-F,generic_use_pattern,0,predictive_analytics,office,low,'Analyze and explain differences in budget and actuals data' — budget predictive analytics.,,,,,,,,,,,,0,unknown,,administrative,,Division of Finance,
35454,wave1-F,custom_system,1,general_llm,office,medium,In-house chatbot 'compiling data from external FDIC website' to answer public questions about Bank Assessments.,,,,,,,,,,,,0,rag_pipeline,,mission_critical,1,Division of Finance,
35455,wave1-F,generic_use_pattern,1,general_llm,office,low,'Summarize divisional efforts into a narrative' — generative summarization pattern.,,,,,,,,,,,,0,unknown,,administrative,,Division of Finance,
35456,wave1-F,custom_system,1,general_llm,office,medium,In-house 'CFOO admin' chatbot 'compiling data from internal FDIC website' — RAG chatbot.,,,,,,,,,,,,0,rag_pipeline,,administrative,,Division of Finance,
35457,wave1-F,custom_system,1,general_llm,office,medium,In-house 'CFOO Travel' chatbot 'compiling data from internal FDIC website' on travel.,,,,,,,,,,,,0,rag_pipeline,,administrative,,Division of Finance,
35458,wave1-F,generic_use_pattern,0,predictive_analytics,office,low,"'Monitoring financials/invoices for proper submittal, duplicate payments' — predictive/anomaly analytics.",,,,,,,,,,,,0,unknown,,administrative,,Division of Finance,
35459,wave1-F,generic_use_pattern,0,predictive_analytics,office,low,"'Monitor retention rate, retirement planning' — staffing predictive analytics.",,,,,,,,,,,,0,unknown,,administrative,,Division of Finance,
35460,wave1-F,generic_use_pattern,1,general_llm,office,low,'Monitor employee transactions' to summarize compliance — generative summarization.,,,,,,,,,,,,0,unknown,,administrative,,Division of Finance,
35461,wave1-F,generic_use_pattern,0,predictive_analytics,office,low,'Apply a risk model to identified risks' for finance — predictive risk analytics.,,,,,,,,,,,,0,unknown,,administrative,,Division of Finance,
35462,wave1-F,generic_use_pattern,1,general_llm,office,medium,'Analyze quarterly narrative/table data points to generate a narrative report' — generative report drafting.,,,,,,,,,,,,0,unknown,,administrative,,Division of Finance,
35463,wave1-F,generic_use_pattern,0,predictive_analytics,office,low,'Analyze investment history and provide an additional predictive analysis for investments'.,,,,,,,,,,,,0,unknown,,administrative,,Division of Finance,
35464,wave1-F,custom_system,1,general_llm,office,low,'Elements extracted from unstructured data files/documents' for failed-bank loan portfolios — likely LLM extraction.,,,,,,,,,,,,0,unknown,,mission_critical,,DRR,
35465,wave1-F,custom_system,1,general_llm,office,low,'Elements extracted from unstructured data files/documents' for securities — LLM-based extraction.,,,,,,,,,,,,0,unknown,,mission_critical,,DRR,
35466,wave1-F,custom_system,1,general_llm,office,low,'Format data from unstructured documents to a structured format' — likely LLM doc extraction.,,,,,,,,,,,,0,unknown,,mission_critical,,DRR,
35467,wave1-F,custom_system,1,general_llm,office,low,'Format data from unstructured documents' (security prospectus) — LLM doc extraction.,,,,,,,,,,,,0,unknown,,mission_critical,,DRR,
35468,wave1-F,custom_system,1,general_llm,office,low,'Extract and format data from unstructured documents' to support deposit insurance determination.,,,,,,,,,,,,0,unknown,,mission_critical,,DRR,
35469,wave1-F,custom_system,0,nlp_specific,office,low,'Extract and normalize the inputs' across deposit file formats — structured ETL/NLP.,,,,,,,,,,,,0,unknown,,mission_critical,,DRR,
35470,wave1-F,custom_system,1,general_llm,office,low,"'Extracting data from Loan Underwriting Documents, Title Documents, and Property Appraisal Documents' — LLM/IDP extraction.",,,,,,,,,,,,0,unknown,,mission_critical,,DRR,
35471,wave1-F,custom_system,0,nlp_specific,office,medium,"'Extract key data elements, such as grantor/settler and beneficiaries, from Trust Agreements' — in-house entity extraction.",,,,,,,,,,,,0,unknown,,mission_critical,,DRR,
35472,wave1-F,bespoke_application,1,general_llm,office,medium,Title 'Trust Document Entity Extraction - LLM' — LLM-based version of the trust extraction pipeline.,,,,,,,,,,,,0,inference_only,,mission_critical,,DRR,
35473,wave1-F,generic_use_pattern,1,general_llm,office,low,'Categorize the various comments to enhance analysis' — LLM-style categorization of post-exam comments.,,,,,,,,,,,,0,unknown,,administrative,,Office of the Ombudsman,
35474,wave1-F,custom_system,0,nlp_specific,office,medium,'AlphaREx analyzes unstructured narrative content' in IT exam workpapers — in-house NLP system.,,,,,,,,,,,,0,unknown,,mission_critical,,DRMS,
35475,wave1-F,product_deployment,1,general_llm,pilot,medium,'Pilot the use of transcription to record structured interviews' — generative transcription COTS pilot.,,,1,,,,,,,,,0,inference_only,,administrative,,DRMS Atlanta,
35476,wave1-F,custom_system,0,predictive_analytics,office,medium,'Machine learning (ML) model … predict 1- and 2-rated banks most likely to be downgraded' — predictive model.,,,,,,,,,,,,0,custom_trained,1,mission_critical,,DRMS,
35477,wave1-F,custom_system,0,nlp_specific,office,low,'Recommended indexing data for documents received from banks' — document classification NLP.,,,,,,,,,,,,0,unknown,,administrative,,DRMS,
35478,wave1-F,product_deployment,0,nlp_specific,office,medium,'eDiscovery vendors use a commercial off the shelf (COTS) software' — COTS eDiscovery NLP.,,,1,,,,,,,,,0,inference_only,,mission_critical,,Legal Division,
35479,wave1-F,bespoke_application,1,general_llm,department,medium,"'Streamline the manual review of public feedback, providing insights on sentiment and key themes' — rulemaking GenAI.",,,,,,,,,,,,0,unknown,,mission_critical,,,
35480,wave1-F,bespoke_application,0,computer_vision,bureau,medium,"'Analyze historical and real-time images, videos' for dam and LNG pipeline inspections.",,,,,,,,,,,,0,unknown,,mission_critical,,Dam inspectors,
35481,wave1-F,bespoke_application,0,predictive_analytics,department,medium,'Analyzing large and complex market datasets for market integrity and compliance purposes'.,,,,,,,,,,,,0,unknown,,mission_critical,,,
35482,wave1-F,bespoke_application,1,general_llm,department,medium,'Address the growing backlog of project interconnection requests and reduce the average three-year wait time'.,,,,,,,,,,,,0,unknown,,mission_critical,,,
35483,wave1-F,product_deployment,1,general_llm,office,high,Names 'LexisNexis' as 'Generative AI-assisted legal research tool'.,,,1,Lexis+ AI,LexisNexis,,,,,,,0,inference_only,,administrative,,OGC,
35484,wave1-F,custom_system,0,predictive_analytics,office,medium,"'Neural networks to identify nonlinearities, anomalies, and important variables in loan-level mortgage data'.",,,,,,,,,,,,0,custom_trained,1,mission_critical,,DHMG,
35485,wave1-F,product_deployment,0,classical_ml,enterprise_wide,medium,Names 'Knowbe4 PhishER' to 'analyze suspicious emails' — COTS phishing classifier.,,,1,PhishER,KnowBe4,,,,,,,1,inference_only,,cybersecurity,,,
35486,wave1-F,product_deployment,1,general_llm,office,high,Names 'WestLaw' as 'Generative AI-assisted legal research tool'.,,,1,Westlaw Precision AI,Thomson Reuters,,,,,,,0,inference_only,,administrative,,OGC,
35487,wave1-F,custom_system,0,nlp_specific,office,medium,'Natural language processing to rapidly summarize and classify' public comments — NLP pilot.,,,,,,,,,,,,0,unknown,,mission_critical,,DBR,
35488,wave1-F,product_feature,1,general_llm,office,medium,"'VAO Ally is a built-in, useable feature' of the VAO subscription — product feature for acquisition Q&A.",,,1,VAO Ally,VAO,,,,,,,0,rag_pipeline,,administrative,,OBFM,1
35489,wave1-F,product_feature,1,general_llm,enterprise_wide,medium,"Names 'Oracle Enterprise 23AI has built in AI for predictive analytics, AI Vector search'.",,,1,Oracle 23AI,Oracle,,,,,,,1,rag_pipeline,,it_operations,,,1
35490,wave1-F,generic_use_pattern,0,classical_ml,enterprise_wide,low,'Multiple Python modules are installed to support AI and ML' — generic enabling tooling.,,,,,,,,,,,,1,unknown,,it_operations,,,
35491,wave1-F,generic_use_pattern,0,classical_ml,enterprise_wide,low,'Multiple R modules are installed to support AI and ML' — generic enabling tooling.,,,,,,,,,,,,1,unknown,,it_operations,,,
35492,wave1-F,product_feature,0,classical_ml,enterprise_wide,medium,Names 'Cisco Identity Services Engine (ISE) uses AI for network visibility'.,,,1,Identity Services Engine,Cisco,,,,,,,1,inference_only,,cybersecurity,,,1
35493,wave1-F,product_deployment,1,general_llm,enterprise_wide,medium,'Microsoft 365 suite … uses AI for various functionalities' — agency-wide M365 with AI features.,,,1,Microsoft 365,Microsoft,0,,,,,,1,inference_only,,administrative,,,
35494,wave1-F,product_feature,0,classical_ml,enterprise_wide,medium,'Citrix uses AI to optimize virtual desktops … behavioral analysis and threat detection'.,,,1,Citrix,Citrix,,,,,,,1,inference_only,,it_operations,,,1
35495,wave1-F,product_feature,0,predictive_analytics,enterprise_wide,medium,"'SQL Server incorporates AI for predictive analytics, automated indexing, and anomaly detection'.",,,1,SQL Server,Microsoft,,,,,,,1,inference_only,,it_operations,,,1
35496,wave1-F,product_feature,0,predictive_analytics,enterprise_wide,medium,"'ServiceNow utilizes AI for automating workflows, predictive analytics'.",,,1,ServiceNow,ServiceNow,,,,,,,1,inference_only,,it_operations,,,1
35497,wave1-F,product_feature,0,classical_ml,enterprise_wide,medium,'Kiteworks employs AI to enhance security and compliance in file sharing'.,,,1,Kiteworks,Kiteworks,,,,,,,1,inference_only,,cybersecurity,,,1
35498,wave1-F,product_feature,0,classical_ml,enterprise_wide,medium,"'Uses AI for network visibility, anomaly detection, and security through Flowmon integration'.",,,1,WhatsUp Gold / Flowmon,Progress,,,,,,,1,inference_only,,cybersecurity,,,1
35499,wave1-F,product_feature,0,nlp_specific,office,medium,'Commonlook Online is used to translate complex mathematical formula into plain language'.,,,1,CommonLook Online,Allyant,,,,,,,0,inference_only,,administrative,,OCIO,1
35500,wave1-F,product_feature,0,nlp_specific,enterprise_wide,medium,'Apple iOS platform provides multiple applications with Natural Language Processing' — keyboard NLP.,,,1,iOS,Apple,,,,,,,1,inference_only,,administrative,,,1
35551,wave1-F,custom_system,0,nlp_specific,bureau,medium,'FTC receives uncategorized complaints … contents of comments varies widely' — automatic PSC classification.,,,,,,,,,,,,0,custom_trained,1,mission_critical,,BCP,
35552,wave1-F,custom_system,0,nlp_specific,bureau,medium,'Submit multiple complaints for the same issue … links to duplicate complaints' — dedup NLP.,,,,,,,,,,,,0,custom_trained,,mission_critical,,BCP,
35553,wave1-F,bespoke_application,0,nlp_specific,bureau,medium,"'Delivers unattended chat 24/7 for IdentityTheft.gov and ReportFraud.gov' — NLP chatbot, public-facing.",,,,,,,,,,,,0,unknown,,mission_critical,1,BCP,
35554,wave1-F,custom_system,0,nlp_specific,bureau,medium,'Uses natural language processing to visually explore complaints using word cloud'.,,,,,,,,,,,,0,unknown,,mission_critical,,BCP,
35555,wave1-F,custom_system,0,classical_ml,bureau,medium,'Assist Law Enforcement in identifying connections between complaints' — graph analytics.,,,,,,,,,,,,0,unknown,,mission_critical,,BCP,
35556,wave1-F,bespoke_application,1,coding_assistant,pilot,high,"'Azure OpenAI GPT-4 (AOI), into our workflow to boost development efficiency' — GPT-4 coding workflow.",,1,1,Azure OpenAI GPT-4,Microsoft/OpenAI,,1,,,,,0,inference_only,,it_operations,,BCP,
35010,wave1-F,custom_system,0,predictive_analytics,bureau,medium,'Analyze data from multiple sources to identify potential risks' for Ginnie Mae counterparties — anomaly detection.,,,,,,,,,,,,0,custom_trained,1,mission_critical,,Ginnie Mae,
35011,wave1-F,custom_system,0,predictive_analytics,bureau,medium,"'Through its use of machine learning models, Ginnie Mae has enhanced its ability to identify data inconsistencies'.",,,,,,,,,,,,0,custom_trained,1,mission_critical,,Ginnie Mae,
35012,wave1-F,bespoke_application,1,general_llm,bureau,medium,'Automating Draft Counterparty Credit Narrative Reports' — generative draft memos.,,,,,,,,,,,,0,unknown,,mission_critical,,Ginnie Mae,
35013,wave1-F,custom_system,0,nlp_specific,office,medium,"'Data analytics dashboard that transforms customer feedback into succinct, easy-to-understand metrics'.",,,,,,,,,,,,0,unknown,,administrative,,OCFO Customer Experience,
35014,wave1-F,custom_system,0,nlp_specific,office,medium,"'Analysis of large amounts of text for patterns (commonly appearing words, common word clusters)' — retired.",,,,,,,,,,,,0,unknown,,administrative,,OCFO,
35015,wave1-F,product_deployment,0,nlp_specific,enterprise_wide,high,'Google Translate to translate information on public-facing websites' — Google Translate deployment.,,,1,Google Translate,Google,,,,1,,,1,inference_only,,mission_critical,1,OPA,
35557,wave1-F,bespoke_application,0,nlp_specific,department,medium,'Automatically find and remove sensitive personal information from its digitized historical records' — PII redaction pilot.,,,,,,,,,,,,0,unknown,,mission_critical,,,
35558,wave1-F,bespoke_application,0,nlp_specific,department,medium,'AI tools for finding relevant records and automatically redacting sensitive information' for FOIA.,,,,,,,,,,,,0,unknown,,mission_critical,,,
35559,wave1-F,bespoke_application,1,general_llm,department,medium,'Automatically create descriptions (metadata) for its digital archives' — generative metadata.,,,,,,,,,,,,0,unknown,,mission_critical,,,
35560,wave1-F,bespoke_application,0,nlp_specific,department,medium,'Smarter search engine … understands the meaning behind your search' — semantic search.,,,,,,,,,,,,0,rag_pipeline,,mission_critical,1,,
35561,wave1-F,bespoke_application,1,general_llm,bureau,medium,'Automate the declassification of documents' — National Declassification Center AI pilot.,,,,,,,,,,,,0,unknown,,mission_critical,,NDC,
35562,wave1-F,custom_system,1,general_llm,department,medium,'Build a custom AI model trained on its own data' — custom GenAI training.,,,,,,,,,,,,0,custom_trained,1,mission_critical,,,
35563,wave1-F,bespoke_application,1,general_llm,department,medium,"'AI-powered chat interface, similar to ChatGPT … explore its digital archives'.",,,,,,,,,,,,0,rag_pipeline,,mission_critical,1,,
35564,wave1-F,bespoke_application,1,general_llm,department,medium,'Topic Summarizer and Entity Extraction using AI' for digital objects.,,,,,,,,,,,,0,unknown,,mission_critical,,,
35565,wave1-F,bespoke_application,0,nlp_specific,department,medium,'Automatically organize and categorize its data' — data discovery/classification pilot.,,,,,,,,,,,,0,unknown,,mission_critical,,,
35016,wave1-F,custom_system,0,nlp_specific,bureau,medium,'Text from speech to text and NLP of air traffic management content' — research speech-NLP system.,,,,,,,,,,,,0,custom_trained,1,research,,Ames Research Center,
35017,wave1-F,custom_system,0,nlp_specific,bureau,medium,'Text-based digitized SOPs and LOAs' for air-traffic ops — NLP digitization.,,,,,,,,,,,,0,unknown,,research,,Ames Research Center,
35018,wave1-F,custom_system,0,computer_vision,bureau,high,"'Computer vision techniques to identify targets (e.g., rocks)' on Mars rovers — AEGIS CV.",,,,,,,,,,,,0,custom_trained,1,research,,JPL,
35019,wave1-F,custom_system,0,agentic,bureau,medium,'ASPEN … planning and scheduling applications' — autonomous planner.,,,,,,,,,,,,0,custom_trained,,research,,JPL,
35020,wave1-F,custom_system,0,agentic,bureau,medium,'CLASP … long-range scheduler for space-based or aerial instruments' — autonomous scheduler.,,,,,,,,,,,,0,custom_trained,,research,,JPL,
35021,wave1-F,custom_system,0,agentic,bureau,high,'AutoNav on the Perseverance Rover autonomously plans a safe path' — onboard autonomy.,,,,,,,,,,,,0,custom_trained,,research,,JPL,
35022,wave1-F,custom_system,0,agentic,bureau,high,"'Onboard autonomy; planning, scheduling & execution; path planning; onboard science' — rover autonomy stack.",,,,,,,,,,,,0,custom_trained,,research,,JPL,
35023,wave1-F,custom_system,0,agentic,bureau,medium,'Accelerates path planning of rovers … through ML-based heuristics' — MLNav.,,,,,,,,,,,,0,custom_trained,1,research,,JPL,
35024,wave1-F,custom_system,0,computer_vision,bureau,high,'3D machine vision via dual cameras to inform convolutional neural networks for rover navigation'.,,,,,,,,,,,,0,custom_trained,1,research,,JPL,
35025,wave1-F,custom_system,0,computer_vision,bureau,high,"'Convolutional neural network (CNN), SPOC … classifies the terrain type'.",,,,,,,,,,,,0,custom_trained,1,research,,JPL,
35026,wave1-F,custom_system,0,computer_vision,bureau,medium,'Detection and classification of volcano-related features' from satellite sensor web.,,,,,,,,,,,,0,custom_trained,,research,,JPL,
35027,wave1-F,custom_system,0,nlp_specific,bureau,medium,'Topic models created with the STI … concept training repository' — research NLP service.,,,,,,,,,,,,0,custom_trained,1,research,,Langley Research Center,
35028,wave1-F,custom_system,0,computer_vision,office,high,'Existing security camera and YOLO Machine Learning model to detect and count number of people' at Badge office.,,,,,,,,,,,,0,inference_only,,administrative,,Langley Badge & Pass Office,
35029,wave1-F,custom_system,0,agentic,bureau,medium,'M2020 onboard scheduler incrementally constructs a feasible schedule' — onboard autonomy.,,,,,,,,,,,,0,custom_trained,,research,,JPL,
35030,wave1-F,custom_system,0,computer_vision,bureau,medium,"'Identification and labelling of terrain, climate and weather features' across SensorWeb missions.",,,,,,,,,,,,0,custom_trained,,research,,JPL,
35031,wave1-F,custom_system,0,computer_vision,bureau,medium,'Five remote sensing datasets and processed with tools like CNNs' — Mars frost mapping.,,,,,,,,,,,,0,custom_trained,1,research,,JPL,
35032,wave1-F,custom_system,0,classical_ml,bureau,medium,'Purchase card application uses ML model to suggest if a purchase may be a taggable asset'.,,,,,,,,,,,,0,custom_trained,1,administrative,,JPL,
35033,wave1-F,custom_system,0,nlp_specific,bureau,medium,'NTR application uses ML model to suggest a Technology Category' — text classifier.,,,,,,,,,,,,0,custom_trained,1,administrative,,JPL,
36246,wave1-F,generic_use_pattern,1,general_llm,enterprise_wide,medium,'Native Editor … helps staff be more efficient and better in their written work' — generic writing assistant pattern.,,,,,,,,,,,,1,inference_only,,administrative,,,1
36247,wave1-F,generic_use_pattern,1,general_llm,enterprise_wide,low,'Insights … helps employees be more efficient' — productivity insights pattern.,,,,,,,,,,,,1,inference_only,,administrative,,,1
36248,wave1-F,product_feature,0,computer_vision,enterprise_wide,high,'iPhone Facial Recognition Technology' on agency-issued phones — Face ID feature.,,,1,Face ID,Apple,,,,,,,1,inference_only,,it_operations,,,1
36249,wave1-F,generic_use_pattern,1,general_llm,office,low,'Save time creating and editing graphics and videos' via image editor — design AI pattern.,,,,,,,,,,,,0,inference_only,,administrative,,,1
36250,wave1-F,generic_use_pattern,1,general_llm,office,medium,"'Writing, image creation, and image editor' — generative image creation pattern.",,,,,,,,,,,,0,inference_only,,administrative,,,1
36251,wave1-F,generic_use_pattern,1,general_llm,office,low,"'Create and edit visual content for print, web' — visual content creator pattern.",,,,,,,,,,,,0,inference_only,,administrative,,,1
36252,wave1-F,generic_use_pattern,0,classical_ml,office,low,'Creates WCAG AA compliant color combinations' — accessibility color tool.,,,,,,,,,,,,0,inference_only,,administrative,,,1
36253,wave1-F,product_deployment,0,nlp_specific,enterprise_wide,medium,"'Neural machine translation service that delivers fast, high-quality, and customizable language translation'.",,,1,,,,,,,,,1,inference_only,,administrative,,,
