use_case_id,agency,use_case_name,current_entry_type,final_entry_type,decision,reason_code,confidence,search_attempted,search_query,evidence_quote,notes
7510,DHS,Traveler Identity Verification Services (Vetting),bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='NEC', system_name='Traveler Verification Service', insufficient signal to reclassify",
7514,DHS,CBP Link,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='IProov', system_name='Traveler Verification Service', insufficient signal to reclassify",
7517,DHS,ERNIE,custom_system,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Countering Weapons of Mass Destruction, Department of Homeand Security', system_name='Automated Radiological Data Integration System - Cloud (ARDIS-C)', insufficient signal to reclassify",
7518,DHS,Unified Processing/Mobile Intake,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='NEC (Nippon Electric Company)', system_name='Traveler Verification Service', insufficient signal to reclassify",
7525,DHS,AI-Assisted Resume Screening Tool,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='AIS'; ambiguous,
7526,DHS,Mobile Fortify,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='NEC is the third‑party vendor CBP uses. ICE accesses these capabilities through CBP and does not contract directly with NEC.', system_name='TVSI, ATS-C', insufficient signal to reclassify",
7531,DHS,PreCheck Touchless Identity Solution,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='CBP TVS, NEC Algorithm', system_name='CBP TVS', insufficient signal to reclassify",
7532,DHS,Text Analytics Data Science Sentence Similarity Model,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Inadev', system_name='Text Analytics', insufficient signal to reclassify",
7534,DHS,Verification Match Model,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,vendor='IBM' (LLM/cloud API); custom signal: Verification Information System,
7535,DHS,I-765 - USCIS Facial Recognition through IDENT (1:1 Face Recognition/Validation),bespoke_application,bespoke_application,keep_current,integrator_built,low,no,,vendor='Pluribus Digital' is system integrator,
7536,DHS,Person-Centric Identity Services Deduplication Model,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='MetroIBR', system_name='Person Centric Identity Services', insufficient signal to reclassify",
7538,DHS,The Advanced Trade Analytics Platform (ATAP),bespoke_application,bespoke_application,keep_current,integrator_built,low,no,,"vendor='Elder Research Inc, DevTech Systems Inc., Guidehouse' is system integrator",
7542,DHS,Entity Resolution,product_deployment,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Altana'; ambiguous,
7543,DHS,Process Efficiency Traveler Identity for Airline Check-in and Bag Drop,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='NEC', system_name='Traveler Verification Service', insufficient signal to reclassify",
7544,DHS,Customs Broker License Exam - Proctor Support,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='PDRI'; ambiguous,
7546,DHS,Automated Item of Interest Detection,product_deployment,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Matroid', system_name='I4 Viewer', insufficient signal to reclassify",
7547,DHS,Vessel Detection,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='JHU APL'; ambiguous,
7548,DHS,Vault Access Log (SPVAA),bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='NEC', system_name='Traveler Verification Service', insufficient signal to reclassify",
7553,DHS,Investigative Prioritization Aggregator,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Sandia National Laboratories', system_name='Repository for Analytics in a Virtualized Environment', insufficient signal to reclassify",
7562,DHS,Biometrics Enrollment Tool (BET) Fingerprint Quality Check,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,narrative names databricks; custom signal: Biometrics Enrollment Tool,
7563,DHS,Automated Name and Date of Birth (DOB) Harvesting Service,bespoke_application,bespoke_application,keep_current,integrator_built,low,no,,vendor='SAIC and DV United' is system integrator,
7564,DHS,ELIS Card Photo Validation Service,bespoke_application,bespoke_application,keep_current,integrator_built,low,no,,vendor='SAIC and DV United' is system integrator,
7566,DHS,User Entity and Behavior Analytics (UEBA) for Security Operations (SecOps) Anomaly Identification,product_deployment,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Gurucul', system_name='ESS', insufficient signal to reclassify",
7567,DHS,Person-Centric Identity Services Information Compilation Check,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='MetroIBR', system_name='Person Centric Identity Services', insufficient signal to reclassify",
7568,DHS,CBP Careers Bot - Leo,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,vendor_name='Salesforce Einstein' identifies a commercial product vendor (salesforce),rule fired but already matched current entry_type
7569,DHS,CBP Employee Experience,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,vendor_name='Medallia' identifies a commercial product vendor (medallia),rule fired but already matched current entry_type
7570,DHS,Position Description Generation and Evaluation,bespoke_application,bespoke_application,keep_current,integrator_built,low,no,,vendor='Starlo and Deloitte' is system integrator,
7573,DHS,GenAI for Document Summarization and Content Generation,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,"vendor_name='Meta, OpenAI, Google, Anthropic' identifies a commercial product vendor (openai)",rule fired but already matched current entry_type
7580,DHS,Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Nightwing Intelligence Solutions, LLC. Procurement Instrument ID affiliated with this use case: 70QS0124C00000002', system_name='Trusted Automated eXchange of Indicator Information server', insufficient signal to reclassify",
7581,DHS,OCFO Response Augmentation Suite,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,narrative names openai api; custom signal: FEMA OCFO GPT,
7582,DHS,OCFO Code Assist GPT,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,narrative names openai api; custom signal: ReadyAI,
7593,DHS,Normalization Services,bespoke_application,bespoke_application,keep_current,integrator_built,low,no,,vendor='Booz Allen' is system integrator,
7595,DHS,ESEC Inquiry (STORM) Summarization,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,vendor='Microsoft' (LLM/cloud API); custom signal: Dynamics Online As a Service; BIaaS,
7596,DHS,AdaptiveMFA,product_deployment,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Okta', system_name='The DHS Next Generation Authentication as a Service (DHSAuthPortal) System', insufficient signal to reclassify",
7605,DHS,ELIS Evidence Classifier Service,bespoke_application,bespoke_application,keep_current,integrator_built,low,no,,vendor='SAIC and DV United' is system integrator,
7606,DHS,Intelligent Document Processing (IDP) for I-539 Form Digitization,bespoke_application,bespoke_application,keep_current,integrator_built,low,no,,vendor='CGI Federal under the Records Management Support Services (RMSS); Hyperscience - IDP software OEM' is system integrator,
7607,DHS,PDF Intake (PDFI) for myUSCIS,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,narrative names amazon bedrock; custom signal: USCIS Electronic Immigration System (ELIS),
7608,DHS,AI Interview Simulator for Officer Training,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Steampunk, Customer Value Partners LLC (CVP) and Alpha Omega Integration (AOI)', system_name='Global', insufficient signal to reclassify",
7866,DOE,AI for Operations Center,custom_system,custom_system,keep_current,no_clear_signals,low,no,,vendor and development_type both blank/unhelpful,
7867,DOE,Natural Language Processing,custom_system,custom_system,keep_current,no_clear_signals,low,no,,vendor and development_type both blank/unhelpful,
7868,DOE,DOE AI Data Infrastructure System,custom_system,custom_system,keep_current,no_clear_signals,low,no,,vendor and development_type both blank/unhelpful,
7887,DOE,Adaptive Cyber-Physical Resilience for Building Control Systems,product_deployment,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='PassiveLogic', system_name='R&D User', insufficient signal to reclassify",
7889,DOE,APT Analytics,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,vendor='Microsoft' (LLM/cloud API); custom signal: use_case_name='APT Analytics',
7890,DOE,AI used for predictive modeling and real time control of traffic systems,bespoke_application,product_deployment,reclassify,clear_vendor_named,high,no,,vendor_name='Microsoft' identifies a commercial product vendor (microsoft),
7892,DOE,"Scalable, Efficient and Accelerated Causal Reasoning Operators, Graphs and Spikes for Earth and Embedded Systems (SEA-CROGS)",bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,"vendor='Microsoft' (LLM/cloud API); custom signal: use_case_name='Scalable, Efficient and Accelerated Causal Reasoning Operators, Graphs and Spikes for Earth and Embedded Systems (SEA-CROGS)'",
7896,DOE,Use of developed ML techniques to parse opensource text-based information.,bespoke_application,product_deployment,reclassify,clear_vendor_named,high,no,,vendor_name='Microsoft' identifies a commercial product vendor (microsoft),
7897,DOE,AI techniques for identification of suitable delivery parking spaces in an urban scenario,bespoke_application,product_deployment,reclassify,clear_vendor_named,high,no,,vendor_name='Cisco' identifies a commercial product vendor (cisco),
7908,DOE,"Spot for automated sensing, inspection, and capture",product_deployment,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Boston Dynamics', system_name='R&D User', insufficient signal to reclassify",
7914,DOE,Microsoft Copilot for Security,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,vendor_name='Microsoft' identifies a commercial product vendor (microsoft),rule fired but already matched current entry_type
7918,DOE,Scopus AI,product_deployment,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
7919,DOE,EnerGPT,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,"vendor='Accenture Federal Services, Google' (LLM/cloud API); custom signal: OCIO Google Cloud Platform",
7920,DOE,MAPPRITE,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Special Technologies Laboratory (STL)', system_name='Provisional Authorization to Operate (P-ATO) for the Methodology for Analyzing and Prioritizing Policy Requirements and Integrating Them for Effectiveness (MAPPRITE)', insufficient signal to reclassify",
7932,DOE,AI for Intelligent Automation,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Not available', system_name='CS-SSP-123,Cybersecurity System Security Plan for Azure Platform', insufficient signal to reclassify",
7940,DOE,PDF Analyzer,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,"vendor='Accenture Federal Services, Google' (LLM/cloud API); custom signal: OCIO Google Cloud Platform",
7947,DOE,GitHub Copilot with the OpenAI Codex,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,narrative names commercial product: github copilot,rule fired but already matched current entry_type
7949,DOE,Yurts AI search function,product_deployment,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Legion (Previously Yurts)'; ambiguous,
7953,DOE,SmartPD Creator,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,"vendor='Accenture Federal Services, Google' (LLM/cloud API); custom signal: OCIO Google Cloud Platform",
7966,DOE,Microsoft Azure Quantum Elements,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,vendor_name='Microsoft Corporation' identifies a commercial product vendor (microsoft),rule fired but already matched current entry_type
7977,DOE,ESH&Q NEPA App,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
7980,DOE,ACORN (Autonomous Operation for Reactor Technologies),custom_system,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Open source development', system_name='Not available', insufficient signal to reclassify",
7986,DOE,Custom GenAI for eVinci Microreactor Engineering (MauroGPT),bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Open source development with INL Advanced Analystics Center of Excellence', system_name='aaportal.inl.gov/maurogpt2/ (internal)', insufficient signal to reclassify",
7992,DOE,OpenAI Enterprise,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,narrative names commercial product: openai api,rule fired but already matched current entry_type
7993,DOE,VIPER (Visualizaiton for Predictive Maintenance Recommendation),custom_system,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Open Source development', system_name='api.hpc.inl.gov', insufficient signal to reclassify",
7994,DOE,Decisions AI,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,narrative names commercial product: openai api,rule fired but already matched current entry_type
8009,DOE,Nuclear Safety Analysis,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
8013,DOE,PWS Builder,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,"vendor='Accenture Federal Services, Google' (LLM/cloud API); custom signal: OCIO Google Cloud Platform",
8015,DOE,Safeguards Digital Twin,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
8026,DOE,EDMS Admin,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Not available', system_name='EDMS', insufficient signal to reclassify",
8027,DOE,EnerGPT Canvas,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,"vendor='Accenture Federal Services, Google' (LLM/cloud API); custom signal: OCIO Google Cloud Platform",
8029,DOE,Project Optimus - Prime Contract,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Not available', system_name='optimus.hpc.inl.gov', insufficient signal to reclassify",
8040,DOE,SpyglassGPT Chat Assistant,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,vendor='Microsoft' (LLM/cloud API); custom signal: NR-NNL-CUI-ITN-PrimeNet_HA,
8041,DOE,Custom GenAI for Advanced Reactor Development (LotusAI),custom_system,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Open source development', system_name='aaportal.inl.gov/lotusai/ (internal)', insufficient signal to reclassify",
8043,DOE,Microsoft CoPilot,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,narrative names commercial product: microsoft 365 copilot,rule fired but already matched current entry_type
8058,DOE,Custom GenAI for Advanced Reactor Development (RickoverAI),custom_system,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Open source development with INL Advanced Analytics Center of Excellence', system_name='aaportal.inl.gov/rickoverai/ (internal)', insufficient signal to reclassify",
8066,DOE,ServiceNow Now Assist (AskIT),product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,narrative names commercial product: servicenow now assist,rule fired but already matched current entry_type
8072,DOE,ChatGPT,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,narrative names commercial product: chatgpt enterprise,rule fired but already matched current entry_type
8075,DOE,AGN-201 DT,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
8097,DOE,Microsoft Discovery,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,vendor_name='Microsoft' identifies a commercial product vendor (microsoft),rule fired but already matched current entry_type
8103,DOE,Advanced Fuels Campaign,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
8114,DOE,DevSec Ops AI,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Not available', system_name='CS-SSP-123,Cybersecurity System Security Plan for Azure Platform', insufficient signal to reclassify",
8124,DOE,LISA Chatbot Pilot,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,vendor='AWS' (LLM/cloud API); custom signal: use_case_name='LISA Chatbot Pilot',
8126,DOE,Climate Weather Data,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
8129,DOE,EES&T Document Processing,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
8135,DOE,Microsoft AI Builder,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,vendor_name='Microsoft' identifies a commercial product vendor (microsoft),rule fired but already matched current entry_type
8144,DOE,COREII,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='1899-12-31 11:59:00'; ambiguous,
8145,DOE,GenAI for Classified Subject Area Categorization,custom_system,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Open source development with INL Advanced Analytics Center of Excellence', system_name='aaportal.inl.gov/sorterai/ (internal)', insufficient signal to reclassify",
8150,DOE,Anthropic Claude,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,vendor_name='Anthropic' identifies a commercial product vendor (anthropic),rule fired but already matched current entry_type
8152,DOE,Amazon Q Chatbot Pilot,product_deployment,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,vendor='AWS' (LLM/cloud API); custom signal: use_case_name='Amazon Q Chatbot Pilot',
8154,DOE,HPC OpenAI-Compatible API,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,narrative names openai api; custom signal: api.hpc.inl.gov,
8167,DOE,Custom GenAI for ATR Fuel Conversion Project (FuelGPT),bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Open source development', system_name='aaportal.inl.gov/fuelgpt/ (internal)', insufficient signal to reclassify",
8186,DOE,Chatlab,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
8192,DOE,Geo Threat Observable for structure cyber threat related to the energy sector,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
8196,DOE,EES&T Communications Impact,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
8200,DOE,Road Conditions from IBM Watson for INL,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
8202,DOE,Deep Learning Malware Analysis for reusable cyber defenses.,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Not available'; ambiguous,
8216,DOI,Level 1 Survey Report Corrosion Level Classification,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='NASA'; ambiguous,
8241,DOI,Use of artificial intelligence tools for optimization and documentation for computer codes [2024 INV#WO0000000109681],product_deployment,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,vendor='OpenAI' (LLM/cloud API); custom signal: use_case_name='Use of artificial intelligence tools for optimization and documentation for computer codes [2024 INV#WO0000000109681]',
8283,DOI,Machine Learning Image Classification of Wetlands and Soil moisture [2024 INV#WO0000000108779],bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,vendor='Google' (LLM/cloud API); custom signal: use_case_name='Machine Learning Image Classification of Wetlands and Soil moisture [2024 INV#WO0000000108779]',
8303,DOI,Everlaw AI Assistant for Responsive Review,product_deployment,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,"vendor='Everlaw, Inc.'; ambiguous",
8342,DOI,Wildfire Risk Assessment & Predictive Modeling,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Open Geospatial Consortium'; ambiguous,
8353,DOI,USGS Flow Photo Explorer [2024 INV#WO0000000109196],bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Walker Environmental Research LLC'; ambiguous,
8356,DOI,Improving Prediction Capabilities for Barrier Island Landscape Change,bespoke_application,bespoke_application,keep_current,multi_vendor_research,low,no,,"vendor='Marda Science, LLC; ESRI; Python libraries (open-source)' lists multiple parties + open source; likely research wrapper, not a product deployment",
8425,DOI,AI for Offshore Energy: Innovative Technology Streamlines Marine Wildlife Surveys [2024 INV#DOI-66],bespoke_application,bespoke_application,keep_current,vendor_unrecognized_no_system_name,low,no,,vendor='Quantaero'; ambiguous,
8457,DOJ,Azure Data Factory,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,vendor_name='Microsoft' identifies a commercial product vendor (microsoft),rule fired but already matched current entry_type
8458,DOJ,Azure Zen 2 Storage,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,vendor_name='Microsoft' identifies a commercial product vendor (microsoft),rule fired but already matched current entry_type
8551,DOJ,Human Language Extraction and Translation Technology,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='AI Service Provider', system_name='Redacted for cybersecurity purposes.', insufficient signal to reclassify",
8606,DOJ,Speech to Text Managed Service - Voice Transcription to Text,bespoke_application,product_deployment,reclassify,clear_vendor_named,high,no,,narrative names commercial product: openai api,
8638,DOJ,JPATS Mobile App (Biometrics),bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Rank One Computing', system_name='Redacted for cybersecurity purposes.', insufficient signal to reclassify",
8717,DOJ,Chatbot to Answer Internal Employee Policy Queries,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,narrative names openai api; custom signal: use_case_name='Chatbot to Answer Internal Employee Policy Queries',
8726,DOJ,Azure AI Foundry Platform,product_deployment,product_deployment,keep_current,clear_vendor_named,high,no,,narrative names commercial product: azure ai,rule fired but already matched current entry_type
8730,DOJ,Audio and Written Transcription and Translation,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='MIT Lincoln Laboratory', system_name='Redacted for cybersecurity purposes.', insufficient signal to reclassify",
8766,DOL,Determine Occupation Codes from Text (NIOCCS),custom_system,custom_system,keep_current,no_clear_signals,low,no,,vendor and development_type both blank/unhelpful,
8767,DOL,Language Translation,custom_system,custom_system,keep_current,no_clear_signals,low,no,,vendor and development_type both blank/unhelpful,
8768,DOL,Audio Transcription,product_deployment,product_deployment,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Azure PIID: NNG15SD60B', system_name='Azure', insufficient signal to reclassify",
8776,DOL,Automatic Document Processing,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B', system_name='Azure', insufficient signal to reclassify",
8778,DOL,Generative AI AssistantI  ( AI Center),bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B', system_name='Azure Open AI and AWS', insufficient signal to reclassify",
8784,DOL,"Expenditure Classification 
Autocoder",bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='1605TA-21-F-00064', system_name='BLS Internal
System', insufficient signal to reclassify",
8785,DOL,PII Redaction,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Amazon', system_name='PII Redaction', insufficient signal to reclassify",
8786,DOL,Workforce Recruitment Program (WRP) Website Chatbot Assistant,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,"vendor='AWS PIID: NNG15SD22B
Synergy PIID: 1605DC19A0004' (LLM/cloud API); custom signal: use_case_name='Workforce Recruitment Program (WRP) Website Chatbot Assistant'",
8789,DOL,Worker PLUS Microsimulation Program,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='DOLQ129633247', system_name='N/A', insufficient signal to reclassify",
8793,DOL,Note Taking Bot,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B', system_name='AUNTEE BOT', insufficient signal to reclassify",
8806,DOL,ETA Grants Monitoring Tool through Doc Explorer,bespoke_application,bespoke_application,keep_current,mixed_dev_no_vendor,low,no,,development_type='c) Developed with both contracting and in-house resources'; ambiguous,
8877,ED,Aidan Chat-bot,bespoke_application,bespoke_application,keep_current,integrator_built,low,no,,vendor='Accenture' is system integrator,
8878,ED,IPAC RPA Bot,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='iCatalyst Inc', system_name='ENT_Tech', insufficient signal to reclassify",
8882,ED,Legislation Comment Categorization,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='iCatalyst Inc', system_name='ENT_Tech', insufficient signal to reclassify",
8883,ED,Customer Service Support,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='iCatalyst Inc', system_name='ENT_Tech', insufficient signal to reclassify",
8884,ED,Comment Categorization,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='iCatalyst Inc', system_name='ENT_Tech', insufficient signal to reclassify",
