ACCRETE ARGUS | ACCRETE AI Government
Genesys Cloud CX | Genesys
Genetec Security Center | Genetec
Ginnie Mae Automated Draft Narrative Reports | Ginnie Mae / Deloitte
Ginnie Mae Counterparty Risk Anomaly Detection | Ginnie Mae / Deloitte
Ginnie Mae Subledger Data Quality ML | Ginnie Mae / Ernst & Young
GitHub Copilot | Microsoft
Glassbeam Clinsights | Glassbeam
GlobalComm Video Surveillance | GlobalComm
Google | Google
Google Agentspace | Google
Google Calendar | Google
Google Chrome Generative AI | Google
Google Cloud Platform | Google
Google Cloud Vision | Google
Google Colab | Google
Google Coral TPU | Google
Google Earth Engine | Google
Google Earth Engine Wetlands Classifier | Google
Google Lens | Google
Google Maps | Google
Google News Brief | Google
Google Pixel | Google
Google Translate | Google
Google Vertex AI | Google
Google Workspace | Google
Grammarly | Grammarly
GrantSolutions | Department of Health and Human Services
GrantSolutions AI Writing Assistant | GrantSolutions (HHS Shared Service)
GrantSolutions Helpdesk Agent | GrantSolutions (HHS Shared Service)
GrantSolutions Non-Competing Continuation Approval Tool | GrantSolutions (HHS Shared Service)
GrantSolutions Non-Competing Continuation Review Tool | GrantSolutions (HHS Shared Service)
GrantSolutions Recipient Risk Tool | GrantSolutions (HHS Shared Service)
GrantSolutions Text Analyzer Tool | GrantSolutions (HHS Shared Service)
Grants.gov Applicant Help Chatbot | HHS / Business Performance Systems
Grants.gov Similar Opportunities | HHS / MicroHealth
Griffeye Analyze | Griffeye
Grok | xAI
Gurucul UEBA | Gurucul
H2O GPTe | H2O.ai
HHS FITARA Tool | HHS / Deloitte
HRSA AI Audit Resolution Assistant | HRSA / Mindpetal
HRSA Knowledge Navigator | HRSA / Publicis Sapient
HRSA PRF Program Chatbot | HRSA / GDIT
HackerOne AI | HackerOne
Harvey | Harvey
HealthData.gov AI Harvest Service | HHS / Tyler Technologies
HeyGen | HeyGen
Hologic 3D Quorum | Hologic
Hologic Genius AI Detection | Hologic
Hootsuite | Hootsuite
Hyperscience | Hyperscience
IBM ARGOS | IBM
IBM CoreDF | IBM
IBM Watson | IBM
IBM watsonx Code Assistant | IBM
ID.me | ID.me
IDEMIA CAT-2/AutoCAT | IDEMIA
INL Classified Subject Area GenAI | DOE Idaho National Lab
INL Intelligent Automation | DOE Idaho National Lab
ISO ClaimSearch | Verisk
Ideation ReadyAI | Ideation
Illumio | Illumio
Imaris | Oxford Instruments
Informatica | Informatica
Invariant Acoustic Signature AI | Invariant Corporation
JAWS Screen Reader | Freedom Scientific
KESTREL | Maxar
Kiteworks | Kiteworks
KnowBe4 PhishER | KnowBe4
Knowtex Ambient Scribe | Knowtex
Koios DS Breast | Koios Medical
Konica Minolta Dispatcher Paragon | Konica Minolta
L&M Policy Research Comment Triaging | L&M Policy Research, LLC
LANL AI Portal | DOE Los Alamos National Lab
LIGER Generative AI Toolkit | LMI Consulting, LLC
LISA Chatbot | DOE / AWS
Lambient AI Scribe | Lambient
Lantheus aPROMISE | Lantheus
LaserAI | LaserAI
Lasso Security | Lasso Security
Lectora AI | ELB Learning
Leica Aivia | Leica
Lenel OnGuard | LenelS2 (Honeywell)
Lexical Intelligence | Lexical Intelligence, LLC
Lexis+ AI | LexisNexis
Lexis+ Protege | LexisNexis
LexisNexis | LexisNexis
LexisNexis Risk Solutions | LexisNexis
LibreChat | LibreChat (Open Source)
Litera Compare | Litera
Litera TOA Builder | Litera
Llama | Meta
Lookout | Lookout
Lumivero NVivo | Lumivero
Lyssn | Lyssn
MAPPRITE | DOE Special Technologies Laboratory
MIT Lincoln Lab Speech Translation | MIT Lincoln Laboratory
MSHA AI Headset | ResolveSoft
Magnet Forensics | Magnet Forensics
ManageEngine ServiceDesk Plus | ManageEngine
Mark43 | Mark43
Matroid I4 Viewer | Matroid
MaxQ AI CT CoPilot | MaxQ AI
Medallia | Medallia
MediaViz AI | MediaViz
Medtronic CareLink | Medtronic
Medtronic GI Genius | Medtronic
Medtronic LINQ II | Medtronic
Medtronic O-arm O2 | Medtronic
Meltwater | Meltwater
Merlin | DOE Kansas City National Security Campus
Microsoft | Microsoft
Microsoft 365 | Microsoft
Microsoft 365 Apps for Enterprise | Microsoft
Microsoft 365 Copilot | Microsoft
Microsoft 365 Copilot Chat | Microsoft
Microsoft AI Builder | Microsoft
Microsoft Azure Authoring Tools | Microsoft
Microsoft Azure Platform | Microsoft
Microsoft Azure PowerShell | Microsoft
Microsoft Azure Quantum Elements | Microsoft
Microsoft Copilot Studio | Microsoft
Microsoft Copilot for Security | Microsoft
Microsoft Defender | Microsoft
Microsoft Discovery | Microsoft
Microsoft Dynamics 365 | Microsoft
Microsoft Edge | Microsoft
Microsoft Exchange Server | Microsoft
Microsoft HoloLens | Microsoft
Microsoft OneDrive | Microsoft
Microsoft OneNote | Microsoft
Microsoft Outlook | Microsoft
Microsoft Power BI | Microsoft
Microsoft Power Platform | Microsoft
Microsoft PowerPoint | Microsoft
Microsoft Project | Microsoft
Microsoft Purview | Microsoft
Microsoft Purview eDiscovery | Microsoft
Microsoft SQL Server Intelligent Query Processing | Microsoft
Microsoft ScreenSketch | Microsoft
Microsoft Search in Bing | Microsoft
Microsoft Sentinel | Microsoft
Microsoft Skype | Microsoft
Microsoft Teams | Microsoft
Microsoft Viva | Microsoft
Milestone XProtect | Milestone Systems
Mindray TE X Ultrasound | Mindray
MirBot | NIH / Technatomy Axle
ModelAngelo | Open source (MRC LMB)
Monday.com | monday.com
Motorola License Plate Recognition | Motorola
Mural | Mural
NARA A1 Museum AI | NARA / Cortina
NASA CAAP Cost Analytics | NASA / Raytheon
NCI MOSSAIC SEER NLP | NCI / Oak Ridge National Lab
NEC NeoFace | NEC
NIAID DAIT AIDS Research Prioritization | NIAID / Deloitte
NIAID OSPIDA Scientific Coding Assistance Tool | NIAID / Deloitte
NIAID TB Portals (TB DEPOT) | NIAID
NIAID TB Portals Outlier Detection | NIAID
NIAMS GenAI Chatbot | NIH NIAMS
NIH Grants Virtual Assistant | NIH / Google
NIH Prevention Research NLP | NIH / Westat
NIH SRDMS NLP COI Module | NIH / Deloitte
NIH Travel Policy AI Chatbot | NIH / Infer Solutions
NIH eRA Internal Referral Module | NIH / Leidos
NLCOO Lessons Learned AI | DOE NETL
NaturalReader | NaturalReader
NetApp ARP/AI | NetApp
NetDocuments | NetDocuments
NexisXplore | LexisNexis
Nightwing PII Detection | Nightwing Intelligence Solutions
Nlets LPR Pointer Index | Nlets
NotebookLM | Google
Nuance Dragon | Nuance (Microsoft)
Nuance PowerScribe One | Nuance (Microsoft)
ORR Unaccompanied Children Policy Research Tool | HHS Office of Refugee Resettlement
Okta Adaptive MFA | Okta
OnCue Trial Presentation | OnCue Technology
OneReach.ai | OneReach.ai
OpenAI API | OpenAI
OpenAI Codex (legacy model) | OpenAI
OpenAI Codex CLI | OpenAI
OpenText Axcelerate | OpenText
OpenText Decisiv | OpenText
OpenText Records Management | OpenText
Otter.ai | Otter
PDRI Automatically-Scored Writing Assessment | PDRI
PDRI Remote Proctor | PDRI (Pearson)
PEST (Parameter Estimation) | Open Source
PLATES/FoodTrak | Trigent Solutions
Palantir AIP | Palantir
Palantir Case Management & Analytics (CMA) | Palantir
Palantir Decision and Analytics Platform (DNA-P) | Palantir
Palantir Federal Cloud Service | Palantir
Palo Alto Networks | Palo Alto Networks
Pangolin Lineage | COG-UK
Parable 3D Wound Care | Parable Health
PassiveLogic | PassiveLogic
Pearson Q-interactive | Pearson
Penlink | Penlink
Perplexity | Perplexity AI
Person-Centric Identity Services Deduplication Model | U.S. Citizenship and Immigration Services
Persyst EEG | Persyst Development
Philips EPIQ/Affiniti Ultrasound | Philips
Philips QLAB | Philips
Philips Smart Collimation Thorax | Philips
Philips Vereos PET/CT | Philips
Philips eCareManager | Philips
Pingoo.AI | Pingoo.AI
Pingwind AI DevOps | Pingwind
Planmeca Romexis | Planmeca
Plexis Quantum Choice | Plexis
Podimetrics SmartMat | Podimetrics
Poolside | Poolside
Precise MLaaS | Precise Software
ProLaw | Thomson Reuters
ProcureSight | ProcureSight
Ptolemy | Open source
Pyramid Analytics | Pyramid Analytics
Qualtrics | Qualtrics
Quantaero Marine Wildlife AI | Quantaero
RAIO AI Interview Simulator | USCIS Refugee, Asylum, and International Operations
RAVEn Investigative Prioritization Aggregator | U.S. Homeland Security Investigations
RAVEn Normalization Services | U.S. Homeland Security Investigations
RAVEn Translation and Transcription Service | U.S. Homeland Security Investigations
RWS Trados | RWS
Radformation AutoContour | Radformation
Rangeland Analysis Platform | University of Montana / NRCS
Rank One Computing | Rank One Computing
RapidAI | RapidAI
RaySearch RayStation | RaySearch Laboratories
Raytheon BBN M3S | Raytheon BBN
Reclaim.AI | Reclaim
Recorded Future | Recorded Future
RedCastle Forest Health | RedCastle Resources
RedSeal | RedSeal
ReflexAI | ReflexAI
Rekor | Rekor
Relativity | Relativity
Riverain ClearRead CT | Riverain Technologies
Roche Digital Pathology | Roche
Rohde & Schwarz QPS Walk-Through Scanner | Rohde & Schwarz
SAP Concur | SAP
SAS Analytics | SAS
SBA GovCon Match | SBA
SEA-CROGS | DOE
SEC FOIA Form Extraction | SEC / GDIT
SITE Intelligence Group | SITE
SQL Server Management Studio | Microsoft
SRNS AI Drafting Assistant | Savannah River Nuclear Solutions
SRNS AI Form and Questionnaire Assistant | Savannah River Nuclear Solutions
SRNS AI Tailored Learning | Savannah River Nuclear Solutions
SRNS Computer Vision Defect Detection | Savannah River Nuclear Solutions
SRNS Operational Efficiency ML | Savannah River Nuclear Solutions
SSA Quick Disability Determinations Model | SSA / IBM
SWBTRAC | DOJ
Salesforce | Salesforce
Salesforce Einstein | Salesforce
Scopus AI | Elsevier
ScreenPoint Transpara | ScreenPoint Medical
SentinelOne | SentinelOne
ServiceNow | ServiceNow
ServiceNow IT Operations Management (ITOM) Predictive AIOps | ServiceNow
ServiceNow Now Assist | ServiceNow
Shabash Merops | Shabash
ShotSpotter | SoundThinking
Siemens ACUSON Sequoia | Siemens Healthineers
Siemens Biograph PET/CT | Siemens Healthineers
Siemens MAGNETOM | Siemens Healthineers
Siemens SOMATOM go. | Siemens Healthineers
Siemens YSIO Max | Siemens Healthineers
Siemens syngo | Siemens Healthineers
SimplyFile | TechHit
Skillsoft Percipio CAISY | Skillsoft
Skydio X2D | Skydio
Skyward CEDAR/CLAW | Skyward IT Solutions
Slack | Salesforce
Smiths Detection TruNarc | Smiths Detection
Snowflake Cortex | Snowflake
Solventum 360 Encompass | Solventum (3M Health Information Systems)
Sonic Incytes Velacur | Sonic Incytes
Splunk | Splunk
Spokeo | Spokeo
Sprinklr | Sprinklr
Sprout Social | Sprout Social
SpyglassGPT | Unknown
State Department AI Research Engine (AIRE) | State Department / Deloitte
State Department Declassification Review AI | State Department / Deloitte
State Department WHA/EX Information Management | State Department / Microsoft
State Department Walter Support Bot | State Department / Microsoft
State FACTS Info Foreign Assistance NLP | State Department / Guidehouse
State Integrated Country Strategy Turbo | State Department / Guidehouse
State LCALA Consular Language Augmentation | State Department / Microsoft
State NIV Adjudication Review Recommendation Engine | State Department / Guidehouse
SumTotal | SumTotal
Supportbench | Supportbench
Synthesia | Synthesia
Systran Translate | Systran
TLOxp | TransUnion
TRM Labs Blockchain Analysis Platform | TRM Labs
TVEyes Media Monitoring | TVEyes
Tableau | Salesforce
Tabnine | Tabnine
Techsmith Audiate | TechSmith
TekSynap SimplifAI | TekSynap
Tenable | Tenable
TeraRecon iNtuition | TeraRecon (ConcertAI)
Tesseract OCR | Open Source
Thomson Reuters | Thomson Reuters
Thomson Reuters CLEAR | Thomson Reuters
ThruVision TAC 16 | ThruVision
ThruWave NII 3D Imaging Tool | ThruWave
Topaz CryoEM | Open source
Traffic Jam | Marinus Analytics
TransUnion TLOxp | TransUnion
Traveler Verification Service | U.S. Customs and Border Protection
Trunet Biometrics | Advanced Technologies Group
Truview | Advanced Technologies Group
USAi (GSA) | GSA
USCIS Customer Profile Management System Facial Recognition | U.S. Citizenship and Immigration Services
USCIS Text Analytics | U.S. Citizenship and Immigration Services
USCIS Verification Match Model | U.S. Citizenship and Immigration Services
USDA ARS GovChat | USDA ARS / Microsoft
USDA AgCloud Helpdesk Chatbot | USDA / Steampunk
USDA Bugnet | USDA Forest Service / Oregon State University
USDA Equine Operations Dataset | USDA / Colorado State University
USDA FSA FLP Chatbot | USDA / AWS
USDA Forest Health ML Survey | USDA Forest Service / Kikaha Solutions
USDA Forest Plan Review AI | USDA Forest Service / Google
USDA Forest Service Infosec Chatbot | USDA Forest Service / Google
USDA Marbled Murrelet Habitat Mapping | USDA Forest Service / American Museum of Natural History
USDA NASSportal Intranet Agent | USDA NASS / Microsoft
USDA NRCS NETS Automated Waterway Design | USDA NRCS / Spatial Front
USDA Oregon State Forest Mapping | USDA Forest Service / Oregon State University
USDA Recreation One Stop AI | USDA Forest Service / Booz Allen
USDA Recreation Site Chatbot | USDA Forest Service / University of Washington
USDA TreeSearch AI | USDA Forest Service / Google
USDA VegScape/CropCASMA | USDA NASS / George Mason University
USGS Flow Photo Explorer | USGS / Walker Environmental Research
UiPath Enterprise RPA | UiPath
Ultralytics YOLO | Ultralytics
Unison PRISM | Unison
UpToDate | Wolters Kluwer
Upstream Tech HydroForecast | Upstream Tech
VA AI Assist | U.S. Department of Veterans Affairs
VA Clinical AI Agent | U.S. Department of Veterans Affairs
VA E2 HelpBot | U.S. Department of Veterans Affairs
VA GPT | VA
VA VoiceBot | U.S. Department of Veterans Affairs
VAO Ally | GSA
VUNO Med-DeepBrain | VUNO
Vectra AI | Vectra Networks
Verathon BladderScan Prime PLUS | Verathon
Veritone | Veritone
Veritone Illuminate | Veritone
Verkada | Verkada
Visual Studio | Microsoft
Visual Studio Enterprise | Microsoft
VoiceAtlas | Navteca
Volpara Imaging | Volpara Health
Volta Medical AF-Xplorer | Volta Medical
Vyond | Vyond
Washington Forest Inventory Maps | USDA Forest Service / University of Washington
WellSaid Labs | WellSaid Labs
Welldoc BlueStar | Welldoc
Westlaw AI | Thomson Reuters
Whiterabbit.ai WRDensity | Whiterabbit.ai
Whooster | Whooster
Wildfire.org Turbo Plan | Wildfire.org
Windsurf | Codeium
Wiz | Wiz
Worker PLUS | Department of Labor
Yurts AI | Legion (formerly Yurts)
Zeiss CLARUS | Carl Zeiss Meditec
Zendesk AI | Zendesk
Zoom | Zoom
Zscaler | Zscaler
crYOLO | Open Source
cryoDRGN | Open Source
iCAD ProFound AI | iCAD
iCatalyst RPA | iCatalyst Inc
iProov | iProov
iRhythm Zio ECG | iRhythm Technologies
idiCORE | LexisNexis Risk Solutions
reCAPTCHA | Google
