agency,use_case_name,source_text,decision,mapped_products,proposed_new,confidence,reasoning
HUD,Subledger Data Quality Machine Learning,"Ernst & Young Ginnie Mae Financial Accounting System Subledger Data Quality Machine Learning Ginnie Mae analyzes Master Sub-Servicer (MSS) transaction data on a monthly cadence.   The AI solution allows Ginnie Mae to detect anomalies in this data that would not be detected via traditional methods. Through its use of machine learning models, Ginnie Mae has enhanced its ability to identify data inconsistencies and exceptions associated with its MSS transaction data. Through the early detection of ",map_to_existing,Ginnie Mae Subledger Data Quality ML,,high,'Subledger Data Quality Machine Learning' (Ernst & Young / Ginnie Mae) matches catalog Ginnie Mae Subledger Data Quality ML.
HUD,Voice of the Customer,"Medallia; Qualtrics Voice of the Customer (VoC) Voice of the Customer The Office of the Chief Financial Officer, Customer Experience Team works across the department to develop a deep understanding of who our customers are and how we can best serve their needs. The Voice of the Customer application brings the best-in-class voice transcription, speech, and text analytics to customer feedback surveys,  contact center calls and chats. It allows HUD to unlock critical insights that provide deeper un",map_to_existing,Medallia ;; Qualtrics,,high,'Medallia; Qualtrics Voice of the Customer (VoC)' — both named vendors' platforms are in the catalog.
NARA,A1 Museum AI Project,"Cortina Exhibit Personalization System (EPS) A1 Museum AI Project The AI is intended to solve the problem of limited document discoverability and intensive manual labor by using automated tagging to personalize the visitor experience and make millions of digital records instantly accessible. NARA will use AI generated tags and topics to recommend and make records available to visitors from a pool of approximately 2 million digital records, freeing up staff time and enhancing and personalizing th",map_to_existing,NARA A1 Museum AI,,high,'Cortina Exhibit Personalization System (EPS) A1 Museum AI Project' matches catalog NARA A1 Museum AI (NARA / Cortina).
NARA,AI Pilot Project to Screen and Flag for Personally Identifiable Information (PII) in Digitized Archival Records,N/A N/A AI Pilot Project to Screen and Flag for Personally Identifiable Information (PII) in Digitized Archival Records The AI is intended to solve the problem of manual processing bottlenecks and privacy risks by automating the identification and redaction of sensitive personal information within massive digitized collections to ensure safe and rapid public access. NARA is using AI to automatically find and remove sensitive personal information from its digitized historical records. This will m,agency_internal_system,,,medium,"'AI Pilot Project to Screen and Flag for Personally Identifiable Information' — NARA pilot, vendor 'N/A N/A', no commercial product named."
NARA,Auto-fill of Descriptive Metadata for Archival Descriptions,"N/A N/A Auto-fill of Descriptive Metadata for Archival Descriptions The AI is intended to solve the problem of the ""descriptive gap"" created by labor-intensive manual cataloging by automatically generating metadata and summaries from document content, allowing NARA to process massive backlogs and make millions of records instantly searchable for the public. NARA is using AI to automatically create descriptions (metadata) for its digital archives. This will save archivists time, make records easi",agency_internal_system,,,medium,"'Auto-fill of Descriptive Metadata for Archival Descriptions' — NARA initiative, vendor 'N/A N/A', no product named."
NARA,Automated Data Discovery and Classification Pilot,"N/A N/A Automated Data Discovery and Classification Pilot The AI is intended to solve the problem of inefficient manual data governance and risk assessment by testing automated data classification techniques to organize unstructured datasets, accelerate information discovery, and more accurately identify potential security or privacy vulnerabilities. NARA plans to test how well AI can automatically organize and categorize its data. This pilot project will help NARA understand its data better, fi",agency_internal_system,,,medium,"'Automated Data Discovery and Classification Pilot' — NARA pilot, vendor 'N/A N/A', no product named."
NARA,Create an AI based knowledge articles user interface for working with CRG documents,"N/A N/A Create an AI based knowledge articles user interface for working with CRG documents The AI is intended to improve the case processing by providing staff with an automated retrieval tool that navigates the complex Case Reference Guide to deliver instant, accurate answers for veteran and personnel record requests. NARA is developing an AI-powered tool to help its National Personnel Records Center (NPRC) staff quickly find information in their Case Reference Guide (CRG). This will improve t",agency_internal_system,,,medium,"'Create an AI based knowledge articles user interface for working with CRG documents' — NARA-developed NPRC tool, vendor 'N/A N/A'."
NARA,Freedom of Information Act (FOIA) Discovery AI Pilot,"N/A N/A Freedom of Information Act (FOIA) Discovery AI Pilot The AI is intended to solve the problem of larger FOIA backlogs and manual review bottlenecks by automating the discovery of relevant records and the redaction of sensitive data, ensuring responses are both rapid and compliant with privacy laws. NARA is piloting the use of AI to improve its responses to Freedom of Information Act requests. This includes AI tools for finding relevant records and automatically redacting sensitive informa",agency_internal_system,,,medium,"'Freedom of Information Act (FOIA) Discovery AI Pilot' — NARA pilot, vendor 'N/A N/A', no product named."
NARA,Generative AI Solutions for Workplace Productivity (aka Gemini),"Google Google Workspace / Google Gemini Generative AI Solutions for Workplace Productivity (aka Gemini) The AI is intended to improve employee productivity by providing smarter tools for employees to summarize, draft, and navigate operational records. NARA is exploring how Generative AI tools can help employees work more efficiently and creatively. These AI tools can automate tasks, enhance communication and collaboration, and improve decision-making.",map_to_existing,Gemini ;; Google Workspace,,high,'Google Workspace / Google Gemini Generative AI Solutions for Workplace Productivity (aka Gemini)' — both catalog products named.
NARA,NARA@WORK Kendra Search,"N/A NARA@Work NARA@WORK Kendra Search The AI is intended to solve the problem of inefficient employee information discovery by replacing outdated keyword search with a natural language system that provides instant, context-aware answers from disparate agency resources. NARA is implementing an AI-driven contextual information retrieval tool (e.g., Amazon Kendra) to modernize search functionality on the NARA@Work internal site. This will enable staff to use Natural Language Processing (NLP) to que",map_to_existing,AWS Kendra,,high,"'NARA@WORK Kendra Search ... AI-driven contextual information retrieval tool (e.g., Amazon Kendra)' maps to AWS Kendra."
NARA,Topic Summarizer and Entity Extraction using AI,"N/A N/A Topic Summarizer and Entity Extraction using AI The AI is intended to solve the problem of unsearchable digital collections caused by massive descriptive backlogs, automating the creation of metadata for billions of digital objects to ensure they are immediately discoverable and understandable for the public without years of manual archival processing. NARA plans to use AI to automatically create descriptions for its digital objects. This will free up archivists' time and make it easier ",agency_internal_system,,,medium,"'Topic Summarizer and Entity Extraction using AI' — NARA plan, vendor 'N/A N/A', no product named."
NASA,AI-Enhanced Mission Operations Reporting & Decision Support System,"AI-Enhanced Mission Operations Reporting & Decision Support System NASA's Mission Control currently relies on a manual CHIT (Mission Action Request) system for real-time operational decisions, a process that places a high cognitive load on flight controllers who must complete forms, identify all stakeholders, and search historical data with basic tools, making it difficult to spot subtle trends. This use case proposes transforming this system by integrating an AI engine to streamline operations.",agency_internal_system,,,medium,"'transforming this system by integrating an AI engine' into NASA's manual CHIT Mission Action Request system — proposed in-house enhancement, no product or vendor named."
NASA,Cloud Account Allocation Plan (CAAP) Cost Analytics Support,"Raytheon Earthdata Cloud Cloud Account Allocation Plan (CAAP) Cost Analytics Support Utilize machine learning to predict and allocate Cloud Account Allocation Plan (CAAP) cost and egress limits based on past actuals. Automates predictions based on past performance figures, saving human time and effort and enabling more accurate cost estimates.",map_to_existing,NASA CAAP Cost Analytics,,high,'Cloud Account Allocation Plan (CAAP) Cost Analytics Support' (Raytheon/Earthdata Cloud) matches catalog NASA CAAP Cost Analytics.
NASA,IV&V AI Assistant,"IV&V AI Assistant This project delivers a NASA IV&V AI Assistant powered by LibreChat with Retrieval-Augmented Generation (RAG) to provide a secure, conversational interface for NASA IV&V engineers. The Assistant enables users to interact directly with NASA program documents, asking questions that span subject matter expertise and program-specific content relevant to software assurance activities, including accelerated system understanding, analysis process planning, and context specific lessons",map_to_existing,LibreChat,,high,'NASA IV&V AI Assistant powered by LibreChat with Retrieval-Augmented Generation' — LibreChat is in the catalog.
NASA,Intelligent Camera Analytics for Security and Operations,"Milestone, Genetec, Verkada, Lenel Enterprise Physical Access Control System Intelligent Camera Analytics for Security and Operations Traditional video surveillance requires continuous human monitoring, which is resource-intensive and prone to missed events. By applying AI-driven camera analytics, this use case addresses the need for faster, more reliable detection of security incidents and operational insights. The purpose is to enhance situational awareness, reduce manual effort, and improve r",map_to_existing,Milestone XProtect ;; Genetec Security Center ;; Verkada ;; Lenel OnGuard,,medium,"Vendor list 'Milestone, Genetec, Verkada, Lenel' for AI camera analytics maps to each vendor's cataloged physical-security platform."
NASA,Intelligent Chatbot for Science using Microsoft Copilot,"Intelligent Chatbot for Science using Microsoft Copilot It uses Microsoft's Large Language model with scientifically curated information from NASA's VEDA (Visualization, Exploration, and Data Analysis) platform to assist users in search, discovery and analysis. It uses Microsoft's Large Language model with scientifically curated information from NASA's VEDA (Visualization, Exploration, and Data Analysis) platform to assist users in search, discovery and analysis.",unclear,,,low,Title says 'Intelligent Chatbot for Science using Microsoft Copilot' but a custom chatbot over 'NASA's VEDA ... platform' cannot be M365 Copilot; whether the underlying product is Azure OpenAI or Copilot Studio is undeterminable from the text.
NASA,JSC SMA NT Paper WAD Data Extraction,JSC SMA NT Paper WAD Data Extraction This application aims to provide the Quality Flight Equipment Division with a strong paper Work Authorization Document (WAD) data extraction capability using AI models. The data inputs include scanned PDF versions of original paper Work Authorization Documents (WADs) stored in the QFED data center. This application will be leveraging Google's Gemini Pro models to accomplish this effort. Users will be able to query critical quality-based information from large,map_to_existing,Gemini,,high,'This application will be leveraging Google's Gemini Pro models' — maps to Gemini.
NASA,Lessons Learned Bot (LLB),"Lessons Learned Bot (LLB) In near real-time, the Lessons Learned Bot, or LLB, brings lessons learned (LL) documents to users through a Microsoft Excel add-in application locally installed to search for LL content relevant to the text within the selected Excel cell. The application will encompass a corpus of documents, a trained Machine Learning (ML) model, built-in ML tools to train user’s documents, and an easy-to-use user interface to allow for the streamlined discovery of LL content. Today, N",agency_internal_system,,,high,'Lessons Learned Bot ... a trained Machine Learning (ML) model' delivered as a Microsoft Excel add-in — NASA-built tool; Excel is only the host application.
NASA,Machine Learning for Entity Matching,"Machine Learning for Entity Matching This AI use case addresses a critical data quality challenge within NASA’s enterprise Salesforce platform by enabling NASA to accurately merge extremely large institutional datasets from multiple sources into a single, unified system, while identifying and preventing duplicate account entries that result from inconsistencies in naming, formatting, and metadata. With these inconsistencies across sources, traditional matching methods are insufficient to maintai",agency_internal_system,,,medium,"Custom ML for deduplication 'within NASA's enterprise Salesforce platform' — the AI is NASA-built entity matching, not Salesforce Einstein."
NASA,NASA-GPT: Retrieval-Augmented Generation using NTRS and more,"NASA-GPT: Retrieval-Augmented Generation using NTRS and more This use case is an example of Retrieval-Augmented Generation (RAG), which roughly speaking is an AI-augmented form of search. It acts much like ChatGPT or one of the other services except that it also provides references. This use case is an example of Retrieval-Augmented Generation (RAG), which roughly speaking is an AI-augmented form of search. It acts much like ChatGPT or one of the other services except that it also provides refer",agency_internal_system,,,high,"'NASA-GPT: Retrieval-Augmented Generation using NTRS' — NASA-built RAG; 'acts much like ChatGPT' is a comparison, not product usage."
NASA,Natural Language query processor for Common Metadata Repository,"Natural Language query processor for Common Metadata Repository A chatgpt-like prompt query interface that uses large language models to extract intent from chat query to determine spatial, temporal and science variable filters. These filters are then applied to the Common Metadata Repository (CMR) online catalog API to return relevant earth science datasets.
For example: Water temperature of Lake Michigan since 2021 would extract the spatial constraint associated with Lake Michigan, the  tempor",agency_internal_system,,,high,'A chatgpt-like prompt query interface' for the Common Metadata Repository — NASA-built; ChatGPT mentioned only as an analogy.
NASA,NextGen Advanced Methods: ATCSCC Webinar Speech2Text and Analysis,"NLP ATCSCC NextGen Advanced Methods: ATCSCC Webinar Speech2Text and Analysis The Advanced Methods project explores the use of innovative and emerging technologies to drive post operational analysis of Traffic Management for aircraft. Technologies such as machine learning, (ML), artificial intelligence (AI), and advanced data analytics for use in improving the FAA’s traffic flow management. In this specific use case, our aim is to use deep learning to convert live ATCSCC webinar meeting conversat",agency_internal_system,,,medium,'use deep learning to convert live ATCSCC webinar meeting conversat[ions]' — FAA in-house NextGen research effort; vendor field is just 'NLP'.
NASA,NextGen Data Analytics: Letters of Agreement,"FAA Operated in an approved enclave NextGen Data Analytics: Letters of Agreement Today, operation constraints are documented via Standard Operating Procedures (SOP) and Letters of Agreement (LOA) and are not made available to the public in a consistent manner. SOPs are specific to an air traffic control facility and specify the procedures necessary for safe operation in the sector. LOA outline agreements establishing procedures and responsibilities between two parties (including crossing restric",agency_internal_system,,,medium,'FAA Operated in an approved enclave' — in-house NextGen data analytics over SOPs/Letters of Agreement; no commercial product named.
NASA,Transiting Exoplanet Survey Satellite (TESS) Neural Network (NN),"Transiting Exoplanet Survey Satellite (TESS) Neural Network (NN) The Transiting Exoplanet Survey Satellite (TESS) is a NASA mission focused on exploring and finding exoplanets around nearby stars using the transiting method. TESS telescope covers a large field of view of 96 sq. deg in a single exposure. It has four cameras arranged vertically pointing from the ecliptic plane toward the poles. Thanks to this configuration and observing schedule, TESS is able to observe asteroids with a high duty ",agency_internal_system,,,high,"'Transiting Exoplanet Survey Satellite (TESS) Neural Network' — NASA mission research model, not a commercial product."
NASA,XMM-GPT,XMM-GPT XMM-GPT is a domain-specialized AI assistant built by fine-tuning Google's Open-Source FLAN family of LLMs through transfer learning on up-to-date XMM-Newton Documentation. The model is then integrated into a retrieval-augmented generation (RAG) pipeline to ensure that responses are grounded in mission documentation. This reduces model hallucinations and introduces transparency in its decision making process by relaying where in the documentation it got its answer. XMM-GPT acts as an int,agency_internal_system,,,medium,'XMM-GPT is a domain-specialized AI assistant built by fine-tuning Google's Open-Source FLAN family of LLMs' — NASA-built assistant on open-source models.
NCUA,Machine Learning Data Validation,N/A N/A Machine Learning Data Validation Flags anomalies in Call Report data to improve data quality and reduce manual review Improve Call Report data quality,agency_internal_system,,,medium,"'Flags anomalies in Call Report data' — NCUA internal model, vendor 'N/A N/A'."
NCUA,Risk Indicator Model,N/A N/A Risk Indicator Model Identifies credit unions risks to proactively manage NCUSIF exposure Support credit union supervision,agency_internal_system,,,medium,"'Risk Indicator Model ... Identifies credit unions risks to proactively manage NCUSIF exposure' — NCUA internal model, vendor 'N/A N/A'."
NCUA,Supervisory Stress Testing,"N/A N/A Supervisory Stress Testing Forecasts loan performance (repayment, defaults) to support stress testing and risk analysis Estimate loan default probability for Supervisory Stress Testing.",agency_internal_system,,,medium,"'Forecasts loan performance (repayment, defaults) to support stress testing' — NCUA internal model, vendor 'N/A N/A'."
NRC,Support routine administrative tasks and enhancing communications,"Microsoft Microsoft 365 Copilot, Microsoft Copilot Chat Support routine administrative tasks and enhancing communications These AI use cases address inefficiencies in administrative workflows, such as scheduling, document drafting, and information retrieval. They help automate repetitive tasks, improve accuracy and accessibility of communications, streamline data analysis and reporting, prioritize service requests, and enhance cybersecurity. By reducing manual workload and error rates, they enab",map_to_existing,Microsoft 365 Copilot ;; Microsoft 365 Copilot Chat,,high,"System field 'Microsoft 365 Copilot, Microsoft Copilot Chat' names both catalog products."
NRC,Testing industry leading generative AI foundational large language models,"OpenAI, Google OpenAI ChatGPT Enterprise, Google Gemini for Government Testing industry leading generative AI foundational large language models The AI is intended to address gaps in organizational understanding of how generative AI can support knowledge work. The sprint helps identify potential benefits, limitations, and risks of AI tools, enabling informed decisions on future use, governance, and policy before any deployment. Improved staff understanding of generative AI capabilities and limit",map_to_existing,ChatGPT ;; Gemini,,high,"'OpenAI ChatGPT Enterprise, Google Gemini for Government' — maps to ChatGPT and Gemini catalog entries."
NSF,AWS Assisted Software Development (DIS AI Assisted Development),"AWS Assisted Software Development (DIS AI Assisted Development) Within software development, AI-driven tools, such as AWS CodeWhisperer, Amazon Q and Bedrock, and integration with development workflow, promise to elevate developer productivity and refine code quality. The objective of this pilot is to explore potential integration of these AWS services with DIS Developers IDEs, Jenkins automation, Bitbucket, laying the groundwork for Secure AI Assisted Development at NSF.",map_to_existing,Amazon CodeWhisperer ;; Amazon Q ;; AWS Bedrock,,high,"'AI-driven tools, such as AWS CodeWhisperer, Amazon Q and Bedrock' — all three are in the catalog."
NSF,Open access LLM,"Open access LLM Tool: State-of-the-art, open LLMs from US and EU sources including:
- Google - BERT and Gemma 3 variants
- Meta - Llama 3 and 4 variants
- MistralAI - Mistral 3 variants
- Nvidia - Llama 3 variants, OpenCodeReasoning, OpenMathReasoning, Nemotron-H

Note that this request does not include any LLM developed from none US or EU sources.

Usage: for developing LLM toolkits such as internal chatbot or question/answering system",propose_new,Llama,Gemma (Google) ;; Mistral (Mistral AI) ;; Nemotron (NVIDIA),medium,"'Google - BERT and Gemma 3 variants - Meta - Llama 3 and 4 variants - MistralAI - Mistral 3 variants - Nvidia ... Nemotron-H' — Llama is cataloged; Gemma, Mistral, and Nemotron model families are not."
NSF,TIP MS Copilot Pilot,"TIP MS Copilot Pilot Copilot can be used to rewrite and generate text based on user prompts in Microsoft 365 services, including Microsoft Word, Microsoft Excel, and PowerPoint.  Copilot for Microsoft 365 uses Microsoft Graph, an API, to evaluate context and available Microsoft 365 user data before modifying and sending user prompts to the language model.  After receiving its output, Microsoft Graph performs additional context-specific processing before sending the response to Microsoft 365 apps",map_to_existing,Microsoft 365 Copilot,,high,'TIP MS Copilot Pilot ... Copilot for Microsoft 365 uses Microsoft Graph' — maps to Microsoft 365 Copilot.
NTSB,Dataminr,Dataminer N/A Dataminr Timely awareness of transportation safety events Improved notification and response time for transportation safety events,map_to_existing,Dataminr First Alert,,high,Use case 'Dataminr' for 'Timely awareness of transportation safety events' — Dataminr's public-sector product is cataloged as Dataminr First Alert.
NTSB,Voice to text transcription,"Air Force Research Lab N/A Voice to text transcription Speed and efficiency of screening vehicle voice recorders Improved timeliness of screening recorders, directing resources to potentially relevant information for further investigation",agency_internal_system,,,medium,"'Air Force Research Lab' voice-to-text for screening vehicle voice recorders — government-lab-built capability, not a commercial product."
