agency,use_case_name,kind,source_text,reason,heuristic_candidates,system_name,vendor_name,problem_statement
DHS,Biometric Check-in for ATD-ISAP (SmartLINK),individual,"BI ISAP IV (SmartLink) IATSS Biometric Check-in for ATD-ISAP (SmartLINK) This use case intends to solve the problem of the need for frequent in-person check-ins for participants in the ATD-ISAP program. ISAP Biometric Monitoring App is a technology option that allows participants to report in using a smartphone. This app verifies a participant’s identity, determine their location, and quickly collect status change information. The app adds functionality not available with telephonic and is less ",unmatched_vendor_text,,ISAP IV (SmartLink) IATSS,BI,This use case intends to solve the problem of the need for frequent in-person check-ins for participants in the ATD-ISAP program.
DHS,Business Automation and Improved Search Ability with AI,individual,"Business Automation and Improved Search Ability with AI The Business Connection (BC ) and Technical Reference Model (TRM) teams have identified areas in which business automation can accelerate use for both business analysts in making determinations and improving the ability of end-users to search for the information that they need more quickly. AI will be used to drive automation via integration with ServiceNow, automatically classifying products, suggest alternatives, validate the vendors head",compound_string,ServiceNow Now Assist; Aretec SEARCH; Microsoft Teams,,,The Business Connection (BC ) and Technical Reference Model (TRM) teams have identified areas in which business automation can accelerate use for both business analysts in making determinations and improving the ability of end-users to search for the information that they need more quickly.
DHS,CBP Link,individual,"IProov Traveler Verification Service CBP Link CBP Link utilizes liveness to ensure the photo that TVS it utilizing to conduct facial matching to CBP holdings is of a live person and not a photo of a 2-D image and well as validate the presence of a specific user when collecting geolocation to validate that person is in the required location. CBP Link uses liveness detection and TVS uses facial recognition to compare live or uploaded images with CBP's database, enabling real-time identity verifica",compound_string,Traveler Verification Service; iProov,Traveler Verification Service,IProov,CBP Link utilizes liveness to ensure the photo that TVS it utilizing to conduct facial matching to CBP holdings is of a live person and not a photo of a 2-D image and well as validate the presence of a specific user when collecting geolocation to validate that person is in the required location.
DHS,CISAChat,individual,"Microsoft  CISAChat Currently, retrieving and synthesizing content from hundreds of government documents is a slow, manual process. CISA users need the capability to answer questions, generate summaries, and produce textual responses efficiently using a broad range of information sources—from CISA publications to DHS mandates. AI can streamline and accelerate this workflow by automating information extraction and response generation. Currently, multiple CISA program offices are using contractor ",compound_string,Microsoft; CISAChat,,Microsoft,"Currently, retrieving and synthesizing content from hundreds of government documents is a slow, manual process. CISA users need the capability to answer questions, generate summaries, and produce textual responses efficiently using a broad range of information sources—from CISA publications to DHS m"
DHS,Consular Consolidated Database (CCD) Facial Recognition (FR) On Demand Report (VISA Only),individual,Department of State  Consular Consolidated Database (CCD) Facial Recognition (FR) On Demand Report (VISA Only) On-demand facial recognition services. DHS Components use the Facial Recognition (FR) on Demand report (Visa only) to combat fraud by benefit applicants whose fingerprints are not in IDENT but who may have photos in the Department of State's (DoS) Consular Consolidated Database (CCD) that predate the fingerprinting of visa applicants.,unmatched_vendor_text,,,Department of State,On-demand facial recognition services.
DHS,Credential Authentication Technology with Camera System (CAT-2) and AutoCAT (CAT-2 in an e-gate form factor),individual,"IDEMIA Identity, Security USA LLC STIP/CAT Credential Authentication Technology with Camera System (CAT-2) and AutoCAT (CAT-2 in an e-gate form factor) Improving the detection of imposters. The Transportation Security Administration (TSA) uses AI-based, one-to-one (1:1) and one-to-many (1:n) facial matching technologies at some checkpoints to assist human reviewers with traveler identity verification. The purpose and expected benefits of the technology include increased speed and accuracy of ide",unmatched_vendor_text,,STIP/CAT,"IDEMIA Identity, Security USA LLC",Improving the detection of imposters.
DHS,Cryptocurrency Analysis,individual,"TRM Labs  Cryptocurrency Analysis Identification of transactions that may have been made with a designated entity, company, or location that may be using crypto to circumvent financial reporting. This tool will help CBP identify business and travelers who may be using cryptocurrency to conceal illicit transactions not reported within the U.S. financial system. Quicker identification of risks related to cryptocurrency accounts to aid in addressing potential admissibility concerns (in lieu of comp",unmatched_vendor_text,,,TRM Labs,"Identification of transactions that may have been made with a designated entity, company, or location that may be using crypto to circumvent financial reporting. This tool will help CBP identify business and travelers who may be using cryptocurrency to conceal illicit transactions not reported withi"
DHS,Customs Broker License Exam - Proctor Support,individual,"PDRI  Customs Broker License Exam - Proctor Support Detect potential cheating during the Customs Broker License Exam. The model supports remote proctoring of the exam and ensure the integrity of the testing process, by ensuring the exam is conducted under secure conditions, preventing cheating or fraud, while also verifying the identity of exam takers to confirm they meet the necessary requirements.",unmatched_vendor_text,,,PDRI,Detect potential cheating during the Customs Broker License Exam.
DHS,"Cybersecurity Threat Management, Detection, and Response",individual,"Illumio; AttackIQ; Cofense; Splunk; Crowdstrike; Polarity Xploitation Platform Leveraging Offensive Information Technology, Phishing Defense Solution, Audit Log Management Solution (ALMS), Endpoint Detection and Response, EMVEC Cybersecurity Threat Management, Detection, and Response This use case intends to solve the problem of detecting and responding to cybersecurity threats in a timely manner. These AI capabilities provide security analysts with modern tools to identify and respond to threat",compound_string,Crowdstrike Falcon; AttackIQ; Cofense PhishMe; Illumio; Splunk,"Xploitation Platform Leveraging Offensive Information Technology, Phishing Defense Solution, Audit Log Management Solution (ALMS), Endpoint Detection and Response, EMVEC",Illumio; AttackIQ; Cofense; Splunk; Crowdstrike; Polarity,This use case intends to solve the problem of detecting and responding to cybersecurity threats in a timely manner.
DHS,ELIS Card Photo Validation Service,individual,"SAIC and DV United ELIS ELIS Card Photo Validation Service The card photo validation solution was developed to validate each submitted photo against a set of business-defined requirements in near-real-time in order to eliminate rejections/RFEs for the user uploaded photos. Ensuring beneficiary uploaded photos meet USCIS requirements. This helps ensure photos are correct before making ID cards, saving adjudicator time and avoiding delays.",compound_string,ELIS Card Photo Validation Service; ELIS,ELIS,SAIC and DV United,The card photo validation solution was developed to validate each submitted photo against a set of business-defined requirements in near-real-time in order to eliminate rejections/RFEs for the user uploaded photos.
DHS,ELIS Evidence Classifier Service,individual,"SAIC and DV United ELIS ELIS Evidence Classifier Service The adjudicators and contractors spends too much time sifting through digital evidence documents for relevant information. To enable end users to navigate directly to the page(s) containing evidence documents of interest instead of sifting through large PDF documents. Evidence tagging intends to accelerate case processing by identifying specific types of documents (e.g., I-589, passport photo spread, marriage certificate) and applying a me",compound_string,ELIS Evidence Classifier Service; ELIS,ELIS,SAIC and DV United,The adjudicators and contractors spends too much time sifting through digital evidence documents for relevant information.
DHS,ERNIE,individual,"Countering Weapons of Mass Destruction, Department of Homeand Security Automated Radiological Data Integration System - Cloud (ARDIS-C) ERNIE ERNIE is used to analyze Radiation Portal Monitor (RPM) data to enhance the detection of radioactive materials. It provides a more efficient review of stream of commerce radiation portal monitor data and provides real-time risk assessments and alerts for potential threats The model enhances threat detection and prioritizes high-risk targets, improving oper",unmatched_vendor_text,,Automated Radiological Data Integration System - Cloud (ARDIS-C),"Countering Weapons of Mass Destruction, Department of Homeand Security",ERNIE is used to analyze Radiation Portal Monitor (RPM) data to enhance the detection of radioactive materials. It provides a more efficient review of stream of commerce radiation portal monitor data and provides real-time risk assessments and alerts for potential threats
DHS,Enhanced Lead Identification and Targeting,individual,"Palantir Palantir Federal Cloud Service Enhanced Lead Identification and Targeting The AI is intended to solve the problem of unstructured, hard‑to‑read address information in records like rap sheets and warrants, which makes it difficult and time‑consuming for Enforcement and Removal Operations officers to extract accurate addresses and build usable enforcement leads. The integration of AI enhances data extraction capabilities and decreases the time spent on manual data normalization tasks. Thi",compound_string,Palantir Federal Cloud Service; Rangeland Analysis Platform,Palantir Federal Cloud Service,Palantir,"The AI is intended to solve the problem of unstructured, hard‑to‑read address information in records like rap sheets and warrants, which makes it difficult and time‑consuming for Enforcement and Removal Operations officers to extract accurate addresses and build usable enforcement leads."
DHS,Executive Summary GPT,individual,Microsoft (Azure Commercial OpenAI Cloud Offerings) ReadyAI Executive Summary GPT Provides the ability for users to upload documents and provide an executive summary on those documents. Quickly analyze lengthy or complex documents for relevance to FEMA and/or to provide a high level summary for leadership on potential impacts.,compound_string,Microsoft; OpenAI API,ReadyAI,Microsoft (Azure Commercial OpenAI Cloud Offerings),Provides the ability for users to upload documents and provide an executive summary on those documents.
DHS,Facial Recognition for Investigations of Child Sexual Exploitation and Abuse,individual,Law Enforcement Sensitive (LES) Law Enforcement Sensitive (LES) Facial Recognition for Investigations of Child Sexual Exploitation and Abuse This use case intends to solve the problem of identifying unknown victims and offenders depicted in child sexual abuse material. The tool helps more quickly identify previously unknown victims and offenders who might not be discovered through manual investigative methods alone. By highlighting potentially relevant photographs or profiles across publicly ava,unmatched_vendor_text,,Law Enforcement Sensitive (LES),Law Enforcement Sensitive (LES),This use case intends to solve the problem of identifying unknown victims and offenders depicted in child sexual abuse material.
DHS,Facial Recognition for Investigations of Transnational Criminal Organizations,individual,"Law Enforcement Sensitive (LES) Law Enforcement Sensitive (LES) Facial Recognition for Investigations of Transnational Criminal Organizations The problem this use case solves is the challenge of identifying unknown individuals involved in transnational criminal activities, such as violent crimes, drug trafficking, human smuggling, and financial fraud. The facial recognition service reduces the time investigators spend manually searching for images online and helps them discover potentially relev",unmatched_vendor_text,,Law Enforcement Sensitive (LES),Law Enforcement Sensitive (LES),"The problem this use case solves is the challenge of identifying unknown individuals involved in transnational criminal activities, such as violent crimes, drug trafficking, human smuggling, and financial fraud."
DHS,Facial Recognition for Locating Vulnerable Populations,individual,"Law Enforcement Sensitive (LES) Law Enforcement Sensitive (LES) Facial Recognition for Locating Vulnerable Populations The use case addresses the challenge of identifying and locating members of vulnerable populations, such as unaccompanied minors who have crossed the border, whose identities and locations are unknown to law enforcement. The facial recognition service reduces the time personnel spend manually searching for images online and helps them discover potentially relevant photographs or",unmatched_vendor_text,,Law Enforcement Sensitive (LES),Law Enforcement Sensitive (LES),"The use case addresses the challenge of identifying and locating members of vulnerable populations, such as unaccompanied minors who have crossed the border, whose identities and locations are unknown to law enforcement."
DHS,GenAI for Document Summarization and Content Generation,individual,"Meta, OpenAI, Google, Anthropic  GenAI for Document Summarization and Content Generation Workforce enablement and efficiency through the implementation of Generative AI / Large Language Models (LLM) Improving Operational Efficiency: Automating information retrieval, reducing manual review time, and streamlining workflows will lead to significant time savings and increased productivity for CBP personnel. This translates to cost savings and allows agents to focus on higher-priority tasks. 

Enhanc",compound_string,Claude; OpenAI API; Google,,"Meta, OpenAI, Google, Anthropic",Workforce enablement and efficiency through the implementation of Generative AI / Large Language Models (LLM)
DHS,I-765 - USCIS Facial Recognition through IDENT (1:1 Face Recognition/Validation),individual,"Pluribus Digital Customer Profile Management System I-765 - USCIS Facial Recognition through IDENT (1:1 Face Recognition/Validation) Using the Automated Biometric Identification System (IDENT) makes this process nearly instant and greatly enhances processing efficiency without compromising the effectiveness of current identity verification methods. Additionally, new rules created by the FBI’s Compact Council require biometric verification to perform fingerprint resubmissions for different filing",unmatched_vendor_text,,Customer Profile Management System,Pluribus Digital,"Using the Automated Biometric Identification System (IDENT) makes this process nearly instant and greatly enhances processing efficiency without compromising the effectiveness of current identity verification methods. Additionally, new rules created by the FBI’s Compact Council require biometric ver"
DHS,Investigative Prioritization Aggregator,individual,"Sandia National Laboratories Repository for Analytics in a Virtualized Environment Investigative Prioritization Aggregator This use case intends to solve the problem of overwhelming data volumes that make it difficult for HSI personnel to prioritize high-value targets in criminal investigations. The sheer volume of data associated with investigations often overwhelms human capabilities, making it challenging for HSI personnel to analyze evidence and identify key players in criminal networks. Cur",unmatched_vendor_text,,Repository for Analytics in a Virtualized Environment,Sandia National Laboratories,This use case intends to solve the problem of overwhelming data volumes that make it difficult for HSI personnel to prioritize high-value targets in criminal investigations.
DHS,LIGER Generative AI Toolkit,individual,"LMI Consulting, LLC  LIGER Generative AI Toolkit LIGER® for FPS will enable FPS users to employ the power of a Large Language Model (LLM) against non-public and sensitive Agency documents to save time and effort conducting time-intensive tasks, such as draft documents to include: Position Descriptions (PD), Statement of Work (SOW) for contracting actions, Professional emails and workforce announcements, Public Affairs stories and releases, and Law Enforcement operations orders; Summarization of ",compound_string,LIGER Generative AI Toolkit; Custom In-House AI,,"LMI Consulting, LLC","LIGER® for FPS will enable FPS users to employ the power of a Large Language Model (LLM) against non-public and sensitive Agency documents to save time and effort conducting time-intensive tasks, such as draft documents to include: Position Descriptions (PD), Statement of Work (SOW) for contracting "
DHS,License Plate Capture and Analysis,individual,"Motorola  License Plate Capture and Analysis The AI is intended to solve the problem of time-consuming manual reviews of license plate images and data, which makes it challenging for investigators to identify relevant vehicle movements and patterns. The AI capabilities reduce the need for manual review of large numbers of license plate images and logs. By streamlining plate reading and providing flexible search and summarization tools, the system helps investigators more quickly identify potenti",compound_string,Motorola License Plate Recognition; Aretec SEARCH,,Motorola,"The AI is intended to solve the problem of time-consuming manual reviews of license plate images and data, which makes it challenging for investigators to identify relevant vehicle movements and patterns."
DHS,Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening.,individual,"Leidos, Rohde & Schwarz  Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening. Increase passenger throughput via improve detection performance and decreasing alarm rates and passengers touch rates by 50% The purpose is to reduce alarm rates while providing increased passenger throughput and experience.

Utilizes Machine Learning (ML) to improve detection performance while decreasing alarm rates and passengers touch rates. The algorithm is gender agnostic which no longer req",unmatched_vendor_text,,,"Leidos, Rohde & Schwarz",Increase passenger throughput via improve detection performance and decreasing alarm rates and passengers touch rates by 50%
DHS,Normalization Services,individual,"Booz Allen Repository for Analytics in a Virtualized Environment Normalization Services This use case intends to solve the problem of data redundancies, inconsistencies difficult to integrate data that hinders the efficiency and accuracy of investigations. HSI utilizes artificial intelligence to enhance data accuracy and efficiency by verifying, validating, correcting, and normalizing various types of information, including addresses, phone numbers, names, and ID numbers. This process helps to e",unmatched_vendor_text,,Repository for Analytics in a Virtualized Environment,Booz Allen,"This use case intends to solve the problem of data redundancies, inconsistencies difficult to integrate data that hinders the efficiency and accuracy of investigations."
DHS,OCFO Code Assist GPT,individual,"Microsoft (OpenAI part of Azure Commercial Cloud offerings) ReadyAI OCFO Code Assist GPT Code Assist Generative Pre-trained Transformer (GPT) is an internal facing Generative AI (GenAI) tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages (e.g., SQL, Java, COBOL). Users enter the language they are querying, and the Code Assist GPT then provides a proposed query based on the elements provided. If the query is unsuccessful, the tool m",compound_string,Microsoft; OpenAI API; Custom In-House AI,ReadyAI,Microsoft (OpenAI part of Azure Commercial Cloud offerings),"Code Assist Generative Pre-trained Transformer (GPT) is an internal facing Generative AI (GenAI) tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages (e.g., SQL, Java, COBOL). Users enter the language they are querying, and the Code Ass"
DHS,OCFO Response Augmentation Suite,individual,"Microsoft (OpenAI Azure Commercial Cloud offerings) FEMA OCFO GPT OCFO Response Augmentation Suite FEMA Office of the Chief Financial Officer Generative Pre-trained Transformer (OCFO GPT), Travel Policy GPT and Fiscal Policy GPT are internal Generative AI (GenAI) tools designed to support the FEMA workforce by generating initial responses to various queries. These tools leverage relevant public and internal documents to draft preliminary responses, which are then refined prior to formal submissi",compound_string,Microsoft; OpenAI API,FEMA OCFO GPT,Microsoft (OpenAI Azure Commercial Cloud offerings),"FEMA Office of the Chief Financial Officer Generative Pre-trained Transformer (OCFO GPT), Travel Policy GPT and Fiscal Policy GPT are internal Generative AI (GenAI) tools designed to support the FEMA workforce by generating initial responses to various queries. These tools leverage relevant public a"
DHS,Open-Source Intelligence for Investigations,individual,"Penlink, Fivecast  Open-Source Intelligence for Investigations The AI is intended to solve the problem of analysts having to manually search and make sense of vast amounts of multilingual, multimodal publicly available online data, which makes it difficult to efficiently identify relevant identifiers, high‑risk content, and patterns needed to support Homeland Security Investigations (HSI) investigations. These AI tools significantly reduce the time and effort required to sift through large datas",compound_string,Penlink; Aretec SEARCH,,"Penlink, Fivecast","The AI is intended to solve the problem of analysts having to manually search and make sense of vast amounts of multilingual, multimodal publicly available online data, which makes it difficult to efficiently identify relevant identifiers, high‑risk content, and patterns needed to support Homeland S"
DHS,PDF Intake (PDFI) for myUSCIS,individual,Analytica and DV United USCIS Electronic Immigration System (ELIS) PDF Intake (PDFI) for myUSCIS Scanned PDFs submitted through MyUSCIS must be validated against form-specific business rules related to both the overall document and the contents of specific fields. Constructed a service that can process a scanned input document and return all information pertinent to these validation rules in a consistent structure (JSON) to a user-facing ELIS microservice. The GenAI powered library utilizes Amaz,compound_string,Claude; AWS Bedrock; ELIS,USCIS Electronic Immigration System (ELIS),Analytica and DV United,Scanned PDFs submitted through MyUSCIS must be validated against form-specific business rules related to both the overall document and the contents of specific fields. Constructed a service that can process a scanned input document and return all information pertinent to these validation rules in a 
DHS,Passive Body Scanner,individual,"ThruVision TAC 16 Passive Body Scanner Passive Body Scanner Identify anomalies in body heat, assisting CBP officers to detect concealed weapons and contraband, allowing for efficient processing of travelers PBS is intended to enhance situational awareness in pedestrian traveler processing to aid  CBP officers in observing potentially dangerous objects or contraband in a timely manner and pursuant to CBP’s border search authority.",compound_string,ThruVision TAC 16; Aretec SEARCH,Passive Body Scanner,ThruVision TAC 16,"Identify anomalies in body heat, assisting CBP officers to detect concealed weapons and contraband, allowing for efficient processing of travelers"
DHS,Passport Anomaly Model,individual,"ManTech Automated Targeting System (ATS) Passport Anomaly Model The Passport Anomaly Model addresses challenges stemming from the lack of formal notification regarding updates to passport series, such as issuance of new series or expiration of old ones. By analyzing historical trends, the model evaluates whether a passport exhibits typical or atypical characteristics and alerts officers when further scrutiny may be warranted. This capability enhances the integrity of travel document verification",unmatched_vendor_text,,Automated Targeting System (ATS),ManTech,"The Passport Anomaly Model addresses challenges stemming from the lack of formal notification regarding updates to passport series, such as issuance of new series or expiration of old ones. By analyzing historical trends, the model evaluates whether a passport exhibits typical or atypical characteri"
DHS,Person-Centric Identity Services Deduplication Model,individual,"MetroIBR Person Centric Identity Services Person-Centric Identity Services Deduplication Model Critical to the success of PCIS is the entity resolution and de-deduplication of individual records from various systems of records to create a complete picture of a person. Using machine learning (ML), the model can identify which case management records belong to the same unique individual with a high degree of confidence. This allows PCIS to compile a full immigration history for an individual witho",compound_string,Person-Centric Identity Services Deduplication Model; ELIS,Person Centric Identity Services,MetroIBR,"Critical to the success of PCIS is the entity resolution and de-deduplication of individual records from various systems of records to create a complete picture of a person. Using machine learning (ML), the model can identify which case management records belong to the same unique individual with a "
DHS,PreCheck Touchless Identity Solution,individual,"CBP TVS, NEC Algorithm CBP TVS PreCheck Touchless Identity Solution Assist human reviewers with traveler identity verification. TSA is using Facial Comparison to verify a passenger’s identity at its security checkpoints locations using the CBP Traveler Verification Service (TVS). This process streamlines passenger identity verification, increasing the speed of security checks while maintaining a high degree of safety for all passengers and crewmembers.",compound_string,Traveler Verification Service; NEC NeoFace,CBP TVS,"CBP TVS, NEC Algorithm",Assist human reviewers with traveler identity verification.
DHS,Process Efficiency Traveler Identity for Airline Check-in and Bag Drop,individual,"NEC Traveler Verification Service Process Efficiency Traveler Identity for Airline Check-in and Bag Drop These use cases facilitate identity verification leveraging TVS. The TVS Biometric matching service is a cloud-based facial biometric matching service that enables CBP, External Partners, and Other Government Agencies (OGA) to match a passenger’s identity against a trusted source, throughout the travel continuum which improves traveler facilitation and reduces manual identity verification.",compound_string,Traveler Verification Service; NEC NeoFace,Traveler Verification Service,NEC,These use cases facilitate identity verification leveraging TVS.
DHS,Public Information Compilation for Travel Threat Analysis (Dataminr),individual,"Dataminr Dataminr Public Information Compilation for Travel Threat Analysis (Dataminr) Provides situational awareness of open-source social media and news reporting to enhance CBP Screening, Vetting and security of the homeland. This tool significantly reduces the amount of time it takes for users to collect and compile commercially available open-source information when attempting to identify  possible threats related to national security, border violence, CBP facilities, CBP employee safety an",unmatched_vendor_text,,Dataminr,Dataminr,"Provides situational awareness of open-source social media and news reporting to enhance CBP Screening, Vetting and security of the homeland."
DHS,Semi-Supervised Traveler Identity Verification Services (Traveler Initiated),individual,"NEC Traveler Verification Service Semi-Supervised Traveler Identity Verification Services (Traveler Initiated) Biometrically processes travelers on entry. The TVS Biometric matching service is a cloud-based facial biometric matching service that enables CBP to match a passenger’s identity against a trusted source, throughout the travel continuum which improves traveler facilitation and reduces manual identity verification.",compound_string,Traveler Verification Service; NEC NeoFace,Traveler Verification Service,NEC,Biometrically processes travelers on entry.
DHS,Text Analytics Data Science Sentence Similarity Model,individual,"Inadev Text Analytics Text Analytics Data Science Sentence Similarity Model The Text Analytics capability employs machine learning and data graphing techniques to identify patterns that may indicate potential fraud, national security, and/or public safety concerns by scanning the digitized narrative sections of the associated applications and looking for common language patterns. Text Analytics augments the tedious and time-consuming manual process to identify potential fraud, national security,",unmatched_vendor_text,,Text Analytics,Inadev,"The Text Analytics capability employs machine learning and data graphing techniques to identify patterns that may indicate potential fraud, national security, and/or public safety concerns by scanning the digitized narrative sections of the associated applications and looking for common language pat"
DHS,Trade Entity Risk Model,individual,"ManTech Automated Targeting System (ATS) Trade Entity Risk Model The need to continuously assess and identify trade entity risk to help better assess cargo threats. The Trade Entity Risk model enhances existing predictive threat models by compiling a risk profile that includes historical transaction data, relationships with trading partners, and relevant compliance information. This aggregated data helps create measurable risk indicators for trade entities.",unmatched_vendor_text,,Automated Targeting System (ATS),ManTech,The need to continuously assess and identify trade entity risk to help better assess cargo threats.
DHS,Translation and Transcription for Investigative Data,individual,"Booz Allen Repository for Analytics in a Virtualized Environment, Translation and Transcription for Investigative Data This use case intends to solve the problem of the time-consuming process of translating and transcribing data for investigative purposes. HSI investigators often encounter data from various sources, including legal and administrative processes, enforcement actions, and open-source materials, in languages other than English. To unlock the value of this data, it must be translated",unmatched_vendor_text,,"Repository for Analytics in a Virtualized Environment,",Booz Allen,This use case intends to solve the problem of the time-consuming process of translating and transcribing data for investigative purposes.
