kind,old_id,agency,name
uc,7540,DHS,Airship Outpost for Conveyance Identification
uc,7541,DHS,Unmanned Aircraft Collision Avoidance
uc,7542,DHS,Entity Resolution
uc,7543,DHS,Process Efficiency Traveler Identity for Airline Check-in and Bag Drop
uc,7544,DHS,Customs Broker License Exam - Proctor Support
uc,7545,DHS,Autonomous Surveillance Tower
uc,7546,DHS,Automated Item of Interest Detection
uc,7547,DHS,Vessel Detection
uc,7548,DHS,Vault Access Log (SPVAA)
uc,7549,DHS,Aircraft Landing Location Predictor (KESTREL)
uc,7550,DHS,Passport Anomaly Model
uc,7551,DHS,Agriculture Commodity Model (AGC)
uc,7552,DHS,Trade Entity Risk Model
uc,7553,DHS,Investigative Prioritization Aggregator
uc,7554,DHS,Translation and Transcription for Investigative Data
uc,7555,DHS,AI-Assisted Audio/Video Redaction
uc,7556,DHS,Dark Web Threat Intelligence for Cyber Investigations
uc,7557,DHS,Entity Resolution for Global Trade Data
uc,7558,DHS,Blockchain Analysis
uc,7559,DHS,Enhanced Lead Identification and Targeting
uc,7560,DHS,Biometric Check-in for ATD-ISAP (SmartLINK)
uc,7561,DHS,User and Entity Behavior Analytics (UEBA)
uc,7562,DHS,Biometrics Enrollment Tool (BET) Fingerprint Quality Check
uc,7563,DHS,Automated Name and Date of Birth (DOB) Harvesting Service
uc,7564,DHS,ELIS Card Photo Validation Service
uc,7565,DHS,AI Security and Monitoring
uc,7566,DHS,User Entity and Behavior Analytics (UEBA) for Security Operations (SecOps) Anomaly Identification
uc,7567,DHS,Person-Centric Identity Services Information Compilation Check
uc,7568,DHS,CBP Careers Bot - Leo
uc,7569,DHS,CBP Employee Experience
uc,7570,DHS,Position Description Generation and Evaluation
uc,7571,DHS,Global Entry Mobile App Traveler AI Question Answering Service
uc,7572,DHS,ChatCBP
uc,7573,DHS,GenAI for Document Summarization and Content Generation
uc,7574,DHS,Cyber Threat Analysis (Recorded Future)
uc,7575,DHS,Empty Container Detection Model (Cargo Insights Team)
uc,7576,DHS,Commodity Detection Model (Cargo Insights Team)
uc,7577,DHS,Cargo Classification Tool
uc,7578,DHS,Critical Infrastructure Network Anomaly Detection
uc,7579,DHS,CISAChat
uc,7580,DHS,Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data
uc,7581,DHS,OCFO Response Augmentation Suite
uc,7582,DHS,OCFO Code Assist GPT
uc,7583,DHS,Executive Summary GPT
uc,7584,DHS,Public Assistance Workload Projections
uc,7585,DHS,Individual Assistance (IA) Predictive Models for Program Quantities
uc,7586,DHS,AI Assisted Compromise Email Detector (AACED)
uc,7587,DHS,Intelligent Document Processing
uc,7588,DHS,"Cybersecurity Threat Management, Detection, and Response"
uc,7589,DHS,AI-Enhanced ICE Tip Processing
uc,7590,DHS,Media Classifier for Computer and Digital Storage Evidence
uc,7591,DHS,AI-Powered Developer Tools
uc,7592,DHS,Open-Source Intelligence for Investigations
uc,7593,DHS,Normalization Services
uc,7594,DHS,DHS-Chat
uc,7595,DHS,ESEC Inquiry (STORM) Summarization
uc,7596,DHS,AdaptiveMFA
uc,7597,DHS,Text Analytics for Survey Responses (TASR)
uc,7598,DHS,Airport Throughput Predictive Model
uc,7599,DHS,Geographic Current Events Real-Time Alerting Tool
uc,7600,DHS,idiCORE Subscriptions
uc,7601,DHS,AskTSA
uc,7602,DHS,Lexis Nexis
uc,7603,DHS,SITE Group Subscription Services
uc,7604,DHS,Adaptive Risk Model for Inspected Small Passenger Vessels
uc,7605,DHS,ELIS Evidence Classifier Service
uc,7606,DHS,Intelligent Document Processing (IDP) for I-539 Form Digitization
uc,7607,DHS,PDF Intake (PDFI) for myUSCIS
uc,7608,DHS,AI Interview Simulator for Officer Training
uc,7609,DHS,License Plate Reader
uc,7610,DHS,Video Analysis Tool (VAT)
uc,7611,DHS,Mobile Language Translation Services
uc,7612,DHS,ICE Mobile Check-in Application
uc,7613,DHS,I-765 - USCIS Face Capture Mobile App
uc,7614,DHS,Voice Analytics for Investigative Data
uc,7615,DHS,Mobile Device Analytics for Investigative Data
uc,7616,DHS,Identity Match Option (IMO) Tool for Record Compilation
uc,7617,DHS,Automated Data Annotation
uc,7618,DHS,Anomaly Detection Homogenous Cargo
uc,7619,DHS,Computer Vision for Aerial Detection of Land and Open Water Items of Interest
uc,7620,DHS,AI for Software Delivery
uc,7621,DHS,Optical Counter - UAS Detection
uc,7622,DHS,Underwater ROV
uc,7623,DHS,Wellness and Physical Fitness Application
uc,7624,DHS,AI for Autonomous Situational Awareness
uc,7625,DHS,Security Operation Center (SOC) Network Anomaly Detection
uc,7626,DHS,Confidence Scoring for Cybersecurity Threat Indicators
uc,7627,DHS,Report Analysis and Archive System (RAAS)
uc,7628,DHS,Commercial Generative AI for Text Generation (AI Chatbot)
uc,7629,DHS,Commercial Generative AI for Image Generation
uc,7630,DHS,Commercial Generative AI for Code Generation
uc,7631,DHS,Recovery and Resilience Resource (RRR) Portal
uc,7632,DHS,Digital Processing Procedure Manual (D-PPM)
uc,7633,DHS,Incident Management Workforce Deployment Model (depmod)
uc,7634,DHS,Individual Assistance (IA) & Public Assistance (PA) Projections
uc,7635,DHS,Planning Assistant for Resilient Communities (PARC)
uc,7636,DHS,Geospatial Damage Assessments
uc,7637,DHS,Identification Card and Travel Document Code Detection
uc,7638,DHS,"Machine Translation
(Previously Language Translator)"
uc,7639,DHS,MiX MedINT (Medical Intelligence Dashboard and Canvas)
uc,7640,DHS,Conversation Training and Feedback Simulator
uc,7641,DHS,Case Processing Improvements in FDNS-DS NexGen
uc,7642,DHS,OCR for Scanning and Cataloging Documentation [Captiva Open Text]
uc,7643,DOC,GitHub Copilot for Code Modernization
uc,7644,DOC,Meeting Transcription Summarization
uc,7645,DOC,Real Time Classification for the Economic Census
uc,7646,DOC,Automated Change Detection
uc,7647,DOC,School staff information extraction from web page text
uc,7648,DOC,Census Bureau Demographic Frame Person-Place Model
uc,7649,DOC,Race and Ethnicity Autocoding
uc,7650,DOC,Information extraction for web scraped data for Group Quarters frame enhancement
uc,7651,DOC,Current Population Survey (CPS) Name Screening Tool
uc,7652,DOC,Linkage and Matching Program (LaMP)
uc,7653,DOC,Census Research Exploration and Analysis Tool (CREAT)
uc,7654,DOC,Dr. NAICS LLM
uc,7655,DOC,Automating Multilingual Census Data Processing: An AI and Transformer-Based Pipeline for Efficient Language Detection and Translation for Short-Text
uc,7656,DOC,FAQ for SMaRT
uc,7657,DOC,Statistical package syntax development and debugging
uc,7658,DOC,DSD Python Code Translation
uc,7659,DOC,Census API GPT
uc,7660,DOC,Natural Language Search for data.census.gov
uc,7661,DOC,"ACES CAPEX (structures, equipment, other) Machine Learning"
uc,7662,DOC,FirstNet Authority Network Program Management Data Analytics Tool and Service
uc,7663,DOC,FirstNet Authority Communications Topaz Labs Photo Editing
uc,7664,DOC,Global Business Navigator Chatbot
uc,7665,DOC,Generative AI Tools Pilot - Global Markets
uc,7666,DOC,Generative AI Tools Pilot - Enterprise & Solutions Architecture
uc,7667,DOC,ChatGPT Enterprise
uc,7668,DOC,Google AgentSpace
uc,7669,DOC,"Amazon Web Services NLP, Classification, Text Mining"
uc,7670,DOC,"Google Public Sector NLP, Classification, Text Mining"
uc,7671,DOC,Google Colab and VertexAI
uc,7672,DOC,Anthropic - Claude For Government
uc,7673,DOC,Community-based Messaging with LLM
uc,7674,DOC,NWS Mutual Aid Coordination
uc,7675,DOC,Draft Fronts for Surface Analysis
uc,7676,DOC,Enhance LSR (Local Storm Report) Creation
uc,7677,DOC,NWS Public Safety Language Translation
uc,7678,DOC,Scientific Code Development Assistance
uc,7679,DOC,Evaluate AI Models for Probabilistic Hurricane Predictions
uc,7680,DOC,Evaluate AI for Forecasting Fronts
uc,7681,DOC,AI-Driven Global Forecast Model and Ensemble
uc,7682,DOC,AI-based Biased Correction and Downscaling for Weather Models
uc,7683,DOC,Improving Accuracy of Physical-based Models
uc,7684,DOC,Improve Background Error Modeling for JEDI
uc,7685,DOC,Enhanced Precipitation Forecasting
uc,7686,DOC,Ensemble Analysis to Identify Error Sources
uc,7687,DOC,"Enhanced Fire Weather, Aviation, and Storm Surge Forecast Guidance"
uc,7688,DOC,Enhanced Flood Risk and Impact Modeling
uc,7689,DOC,Fisheries ESA Section 7 Biological Opinions and EFH Consultations
uc,7690,DOC,Fisheries Global Seafood Data System (GSDS) Audit Support Application
uc,7691,DOC,Optics Data Processing
uc,7692,DOC,Electronic Monitoring
uc,7693,DOC,Passive Acoustic Monitoring
uc,7694,DOC,Active Acoustics
uc,7695,DOC,OLE Looker
uc,7696,DOC,Grants
uc,7697,DOC,Streamlining Fisheries DevSecOps with Gemini Code Assist
uc,7698,DOC,ENSO and Hurricane Outlooks using observed/analyzed fields
uc,7699,DOC,Drought outlooks by using ML techniques
uc,7700,DOC,NN/ML for OPC probabilistic guidance and GEFS-Waves
uc,7701,DOC,ProbSR (probability of subfreezing roads
uc,7702,DOC,AI/ML based atmospheric physics parameterizations for numerical weather prediction
uc,7703,DOC,Detecting rip currents with coastal imagery
uc,7704,DOC,AI QC of water level observations
uc,7705,DOC,Flowcytobot imaging system data using ML
uc,7706,DOC,HABScope
uc,7707,DOC,IOOS Coastal Modeling Cloud Computing Sandbox
uc,7708,DOC,Classifying communitity shifts with Self Organizing Maps
uc,7709,DOC,Picky
uc,7710,DOC,Structure from Motion photomosaic work in SE/Caribbean
uc,7711,DOC,Utilizing Machine Learning for Coral Identification at Flower Garden Banks National Marine Sanctuary
uc,7712,DOC,Improving the quality of NGS's GPS on Benchmarks with machine learning
uc,7713,DOC,Coastal Change Analysis Program (C-CAP)
uc,7714,DOC,"Supporting the Development of System Resilience Indicators for Wild Rice in Lake Superior, Lake Michigan, and Lake Huron"
uc,7715,DOC,Great Lakes Coastal Assembly Coastal Wetland Conservation Framework
uc,7716,DOC,Automated Post-Disaster Vessel and Debris Mapping from Remotely Sensed Imagery
uc,7717,DOC,Machine Learning Collaboration Yields New Methods to Measure Shoreline Marine Debris
uc,7718,DOC,Mussel Watch data management
uc,7719,DOC,Ice seal detection and species classification in multispectral aerial imagery
uc,7720,DOC,Edge AI survey payload development
uc,7721,DOC,Steller sea lion automated count program
uc,7722,DOC,Steller sea lion brand sighting
uc,7723,DOC,Use of an Imaging Flow Cytobot for identification of phytoplankton and HABs in Alaska's Large Marine Ecosystems
uc,7724,DOC,Automated classification of zooplankton images
uc,7725,DOC,Acoustic and image-based habitat classification in the Gulf of Alaska using machine learning
uc,7726,DOC,Automated detection and abundance estimation of salmon and pollock in Alaska's walleye pollock fishery
uc,7727,DOC,Predicting annual market squid returns using machine learning methods
uc,7728,DOC,AI-based automation of acoustic detection of marine mammals
uc,7729,DOC,"Passive acoustic analysis using ML in Cook Inlet, AK"
uc,7730,DOC,Automated matching of identification photographs of Cook Inlet beluga whales
uc,7731,DOC,Automate detection of marine mammals and birds in still images
uc,7732,DOC,Automated detections of fish and invertebrates in Habcam images
uc,7733,DOC,Deep learning algorithms to automate right whale photo id
uc,7734,DOC,Ropeless Geolocation System
uc,7735,DOC,"Capitalizing on a groundfish image library to test automated image
classification in the northeast region."
uc,7736,DOC,Geospatial Artificial Intelligence for Animals (GAIA)
uc,7737,DOC,Robotic microscopes and machine learning algorithms remotely and autonomously track lower trophic levels for improved ecosystem monitoring and assessment
uc,7738,DOC,"Advancing sustainable shellfish aquaculture through machine learning and automated data
collection on fish communities"
uc,7739,DOC,Integrating AI into AUV image analysis workflow
uc,7740,DOC,Development of large annotated image data sets for training detection of groundfish and benthic invertebrates
uc,7741,DOC,Using CoralNet to develop subtrate detection models for AUV imagery
uc,7742,DOC,AI and Machine Learning for end-to-end marine ecosystem model calibration and validation
uc,7743,DOC,Climate Change Impacts on the California Current Marine Ecosystem
uc,7744,DOC,Puget Sound Climate Impacts on Orcas and Salmon
uc,7745,DOC,Automating Anadromous Fish Counts using imaging sonar data
uc,7746,DOC,VIAME: Video and Image Analysis for the Marine Environment SoftwareToolkit
uc,7747,DOC,Artificial Fintelligence: Automating photo-ID of dolphins in the Pacific Islands
uc,7748,DOC,Machine learning to automate review of electronic monitoring data collected from the Hawaii Longline Fisheries
uc,7749,DOC,An Interactive Machine Learning Toolkit for Classifying Species Identity of Cetacean Echolocation Signals in Passive Acoustic Recordings
uc,7750,DOC,Advancing the use of technology for port sampling in the US Caribbean using image analysis for length composition
uc,7751,DOC,Fast tracking the use of VIAME for automated identification of reef fish
uc,7752,DOC,Automation detection of sea turtles from Uncrewed Aircraft System (UAS) Surveys
uc,7753,DOC,AI for automated Rice's whale call detections and soundscape sources
uc,7754,DOC,Using FinFindR (computer-assisted identification of dorsal fins) for automation of photo processing.
uc,7755,DOC,Developing automation in the shrimp fisheries electronic monitoring.
uc,7756,DOC,Developing image library for EM collected data to ID Protected Species Bycatch.
uc,7757,DOC,Developing automation in the Reefish fisheries electronic monitoring.
uc,7758,DOC,Automation and detection of Marine Mammals and Turtles from AUV collected imagery.
uc,7759,DOC,Integrating query learning and domain adaptation to develop robust ML algrithms to determine species and count using optical data gathered from fisheries dependent and fisheries independent data collected in the Gulf of Mexico.
uc,7760,DOC,Developing deep learning models to automate age determination
uc,7761,DOC,Using community-sourced underwater photography and image recognition software to study green sea turtle distribution and ecology in southern California
uc,7762,DOC,Searching for large whales in UAS photographic strip transect images: developing an AI/ML object detection model using aerial photogrammetry catalogues
uc,7763,DOC,Automated whale blow detections using IR cameras
uc,7764,DOC,Partially automated matching of gray whales in lateral photo identification images
uc,7765,DOC,"BANTER, a machine learning acoustic event classifier"
uc,7766,DOC,"California sea lion, Steller sea lion, and northern fur seal automated count program in the California current"
uc,7767,DOC,Uncertainties and recommendations for projecting species distributions under climate change
uc,7768,DOC,Quantifying the spatiotemporal overlap of albacore with diverse fisheries and IUU risk factors in the North Pacific
uc,7769,DOC,"Advancing the West Coast Ocean Forecasting System through Assessment, Model Development, and Ecological Products"
uc,7770,DOC,"Dynamic prediction system for illegal, unregulated, and unreported fishing"
uc,7771,DOC,Where did they not go? Considerations for generating pseudo-absences for telemetry-based habitat models
uc,7772,DOC,Predictability of Species Distributions Deteriorates Under Novel Environmental Conditions in the California Current System
uc,7773,DOC,Denoising Citizen Science  Big-Data - Empowering Magnetic Navigation with Machine Learning
uc,7774,DOC,SUVI Thematic Maps
uc,7775,DOC,Use of AI/ML CNN for VIIRS cloud clearing and super resolution
uc,7776,DOC,LightningCast: A lightning nowcasting model
uc,7777,DOC,The Development of ProbSevere v3 - An improved nowcasting model in support of severe weather warning operations
uc,7778,DOC,"The VOLcanic Cloud Analysis Toolkit (VOLCAT): An application system for detecting, tracking, characterizing, and forecasting hazardous volcanic events"
uc,7779,DOC,Automated detection of hazardous low clouds in support of safe and efficient transportation
uc,7780,DOC,The Next Generation Fire System (NGFS): Automated human expert-like detection of fires in satellite imagery
uc,7781,DOC,Nowcasting Extreme Fire Behavior
uc,7782,DOC,Leveraging Machine Learning to Enhance the Quality of Ocean Observations
uc,7783,DOC,"Work with Allen Institute on developing the Ai2 Climate Emulator (ACE) for seamless weather applications, including to emulate SHiELD-based medium-range forecasts for large ensemble predictions"
uc,7784,DOC,"Work with NMFS and NOS using AI/ML to understand how fish habitats are shaped by ocean conditions, and how changes in conditions might impact fisheries distributions and productivity."
uc,7785,DOC,"AI/ML techniques to infer local climate conditions based on large-scale climate drivers (i.e., empirical-statistical downscaling)"
uc,7786,DOC,Use of AI/ML techniques to understand the factors controlling coastal hypoxia and its predictabilit
uc,7787,DOC,A Hybrid Data-driven and Physics-based Framework for Atmospheric Radiative Transfer Modeling
uc,7788,DOC,"Detection of hardware issues in complex, wide-area computing systems based on non-intrusive workflow performance data gathered via the GFDL EPMT"
uc,7789,DOC,AI based Precipitation estimation
uc,7790,DOC,Optimization of highly-concurrent workflow task management systems based on anomaly detection using non-intrusive workflow performance data gathered via the GFDL EPMT
uc,7791,DOC,Weather.gov 2.0 Rebuild and NWS API Improvement Efforts
uc,7792,DOC,Utilizing Neural Operator Deep Learning to Enhance National-Scale Coastal Ocean Predictions
uc,7793,DOC,Physics-Informed Neural Network Hurricane Vortex Reconstruction
uc,7794,DOC,A hybrid physics-machine learning model for orographic precipitation forecasting
uc,7795,DOC,Observation-Centric Estimation and Learning for Outlook Trajectories (OCELOT)
uc,7796,DOC,Severe Convective Weather Parameter Generation using AI/ML with Microwave/Infrared Sounder Satellite Observations for Enhanced Weather Analysis and Forecast
uc,7797,DOC,AI Based Calibration/validation of satellite microwave sounder observations for Numerical Weather Prediction (NWP)
uc,7798,DOC,AI/ML Enterprise Cloud Mask development and operational implementation for all NOAA and international partner sensors
uc,7799,DOC,AI-powered Chatbot for Federal Funding Assistance (Grants) Guidance Dissemination
uc,7800,DOC,Essential Fish Habitat Consultation Efficiency Increases and Template Creation
uc,7801,DOC,Generative AI for Biological Opinions
uc,7802,DOC,"Administrative Tools - (Such as meeting/document management, reasonable accommodation needs, other administrative efficiencies such as broad code generation/translation/optimizations)"
uc,7803,DOC,CED Generative AI Pilot Program
uc,7804,DOC,GitHub CoPilot
uc,7805,DOC,Document existing functions
uc,7806,DOC,LLM-Generated Causal Models
uc,7807,DOC,SWFSC Publications Search
uc,7808,DOC,"Using ChatGPT4 /DALLE3, Adobe Sensei and similar for design ideation and image generation"
uc,7809,DOC,Coastal Zone Management Act Section 312 Evaluations AI Pilot Project
uc,7810,DOC,Support Chat Bot
uc,7811,DOC,A Study to Determine Natural Language Processing (NLP) Capabilities with the NCCF Open Knowledge Mesh
uc,7812,DOC,Developing Access Capabilities for the NCCF Open Information Stewardship Service (OISS)
uc,7813,DOC,Digital Twin for Earth Observations Using Artificial Intelligence
uc,7814,DOC,Improving Imagery Visualization using Limb-Correction and AI Resolution Enhancement for Microwave sensors
uc,7815,DOC,Super-resolution of Satellite Imagery Products using Generative AI
uc,7816,DOC,Ocean AI
uc,7817,DOC,AI based radiative transfer emulator for data assimilation and remote sensing
uc,7818,DOC,Integrating NOAA APIs with LLMs for Enhanced Access to Environmental Data and Insights
uc,7819,DOC,AI Pair Programming with GitHub CoPilot
uc,7820,DOC,Gemini (Previously Duet AI)
uc,7821,DOC,AI-Driven Predictive Maintenance for the NOAA Fleet
uc,7822,DOC,AI-Enhanced Emergency Response and Mission Continuity Planning
uc,7823,DOC,Emissions Reduction for NOAA Fleet
uc,7824,DOC,Fleet Requirements Analysis and Management Engine (FRAME)
uc,7825,DOC,"Assissted translation of code between Matlab, R, and Python"
uc,7826,DOC,Storm Events Knowledge Graph Chatbot
uc,7827,DOC,Alma/Primo
uc,7828,DOC,Amazon Q Developer Pilot
uc,7829,DOC,APIgee with Gemini Code Assist for OpenAPI Development
uc,7830,DOC,Science Data Portal Autosuggest Search
uc,7831,DOC,Grammarly
uc,7832,DOC,LLM support for NIST research (Azure)
uc,7833,DOC,Library Market Research GenAI Tools Pilot
uc,7834,DOC,Google Gemini
uc,7835,DOC,LLM support for NIST research (NIST HPC)
uc,7836,DOC,LLM support for NIST research (Google Vertex)
uc,7837,DOC,WAWENETS
uc,7838,DOC,Streamline Spectrum Activities
uc,7839,DOC,Spectrum Visualizations
uc,7840,DOC,Use of Lexis. Other searches for legal research
uc,7841,DOC,Grants Program Administration - Inquiry management Chatbot Pilot
uc,7842,DOC,Grants Program Administration - BEAD Monitoring Plan Agent Pilot
uc,7843,DOC,Grants Program Administration - Tiered Environmental Assessment AI Pilot
uc,7844,DOC,"NTIA Grants Portal (NGP) - AI Summarization, Analytics, and Automations"
uc,7845,DOC,Using AI to assess the AI-readiness of Commerce data
uc,7846,DOC,BAS Assist
uc,7847,DOC,DOC Chat
uc,7848,DOC,USAi.gov
uc,7849,DOC,PRISM BidScale
uc,7850,DOC,Implement MS365 Copilot in OS
uc,7851,DOC,Prior Art Search: AI Retrieval for Patent Search (PSAI) (Similarity Search)
uc,7852,DOC,Pre-Exam Application: CPC Classification
uc,7853,DOC,TM Word and Image Search Tool (TWIST)
uc,7854,DOC,Prior Art Search: Patent Image Search
