internal_use_case_id,source_use_case_id,agency,use_case_name,ai_classification,vendor_name,heuristic_label,llm_label,llm_confidence,llm_reasoning,applied
7801,DOC-172,DOC,Generative AI for Biological Opinions,,,1,,,,0
7803,DOC-174,DOC,CED Generative AI Pilot Program,,,1,,,,0
7804,DOC-175,DOC,GitHub CoPilot,,,1,,,,0
7806,DOC-177,DOC,LLM-Generated Causal Models,,,1,,,,0
7808,DOC-179,DOC,"Using ChatGPT4 /DALLE3, Adobe Sensei and similar for design ideation and image generation",,,1,,,,0
7815,DOC-186,DOC,Super-resolution of Satellite Imagery Products using Generative AI,,,1,,,,0
7818,DOC-189,DOC,Integrating NOAA APIs with LLMs for Enhanced Access to Environmental Data and Insights,,,1,,,,0
7819,DOC-190,DOC,AI Pair Programming with GitHub CoPilot,,,1,,,,0
7820,DOC-191,DOC,Gemini (Previously Duet AI),,,1,,,,0
7826,DOC-197,DOC,Storm Events Knowledge Graph Chatbot,,,1,,,,0
7828,DOC-199,DOC,Amazon Q Developer Pilot,,,1,,,,0
7829,DOC-200,DOC,APIgee with Gemini Code Assist for OpenAPI Development,,,1,,,,0
7832,DOC-10,DOC,LLM support for NIST research (Azure),,,1,,,,0
7833,DOC-12,DOC,Library Market Research GenAI Tools Pilot,,,1,,,,0
7834,DOC-13,DOC,Google Gemini,,,1,,,,0
7835,DOC-14,DOC,LLM support for NIST research (NIST HPC),,,1,,,,0
7836,DOC-15,DOC,LLM support for NIST research (Google Vertex),,,1,,,,0
7841,DOC-201,DOC,Grants Program Administration - Inquiry management Chatbot Pilot,,,1,,,,0
7843,DOC-203,DOC,Grants Program Administration - Tiered Environmental Assessment AI Pilot,,,1,,,,0
7844,DOC-204,DOC,"NTIA Grants Portal (NGP) - AI Summarization, Analytics, and Automations",,,1,,,,0
7845,DOC-205,DOC,Using AI to assess the AI-readiness of Commerce data,,,1,,,,0
7846,DOC-206,DOC,BAS Assist,,,1,,,,0
7848,DOC-208,DOC,USAi.gov,,,1,,,,0
7850,DOC-210,DOC,Implement MS365 Copilot in OS,,,1,,,,0
7855,DOC-97,DOC,Virtual Assistant (Public),,,1,,,,0
7858,DOC-216,DOC,GenAI platform and applications for general productivity,,,1,,,,0
7868,DOE-120,DOE,DOE AI Data Infrastructure System,Classical/Predictive Machine Learning,,0,,,,0
7876,DOE-330,DOE,ORNL: AI for Experimental Facilities Operations,Agentic AI,,0,,,,0
7905,DOE-432,DOE,SWPA Generative AI,,,1,,,,0
7929,DOE-462,DOE,Hanford Search,,,1,,,,0
7931,DOE-464,DOE,Hanford Popfon Search,,,1,,,,0
7941,DOE-482,DOE,Hanford  Service Ticket Lookup,,,1,,,,0
7944,DOE-486,DOE,Hanford Procedure Search,,,1,,,,0
7962,DOE-507,DOE,ServiceNow Virtual Agent Natural Language Understanding,Natural Language Processing,ServiceNow,0,,,,0
8037,DOE-588,DOE,AI-Assisted Strategies and Solutions for Environmental Technology (AI-ASSET),Agentic AI,,0,,,,0
8060,DOE-610,DOE,Report Assistant,Classical/Predictive Machine Learning,,0,,,,0
8064,DOE-614,DOE,"Autonomous, real-time guiding of BCP film synthesis",Classical/Predictive Machine Learning,,0,,,,0
8094,DOE-643,DOE,ServiceNow Similarity Analysis,Classical/Predictive Machine Learning,ServiceNow,0,,,,0
8108,DOE-657,DOE,ServiceNow Now Assist,Agentic AI,ServiceNow,0,,,,0
8131,DOE-679,DOE,PermitAI,Agentic AI,,0,,,,0
8139,DOE-689,DOE,Software Implementation Assistant,Agentic AI,Purchased from a Vendor - Tabnine,0,,,,0
8146,DOE-695,DOE,Sindri,Agentic AI,,0,,,,0
8157,DOE-706,DOE,AI-Enabled Tech Desk Agent,Agentic AI,,0,,,,0
8218,DOI-0255,DOI,Autonomous Drone Inspections,Other,,0,,,,0
8232,DOI-0241,DOI,USGS Azure OpenAI ChatGPT [2024 INV#WO0000000154392],Classical/Predictive Machine Learning,"OpenAI, Microsoft",1,,,,0
8256,DOI-0217,DOI,Development of a Strategic Framework for Use and Implementation of Machine Learning in Energy Resource Program Workflows [2024 INV#WO0000000109216],Classical/Predictive Machine Learning,,0,,,,0
8293,DOI-0180,DOI,Office of Grants Management (PGM) Grants Utility Tool,Agentic AI,,0,,,,0
8311,DOI-0161,DOI,use of random forest for species distribution modeling,Classical/Predictive Machine Learning,,0,,,,0
8344,DOI-0127,DOI,AI/ML For Hazard Detection in Austere Environments with Automated or Remotely-Operated Rovers [2024 INV#WO0000000107424],Classical/Predictive Machine Learning,,0,,,,0
8386,DOI-0077,DOI,ATLAS,Natural Language Processing,,0,,,,0
8388,DOI-0075,DOI,Automating the Detection and Classification of Wildlife in Aerial Imagery [2024 INV#WO0000000109409],Computer Vision,,0,,,,0
8405,DOI-0055,DOI,AI Trapline for Fire,Agentic AI,,0,,,,0
8423,DOI-0035,DOI,Using advanced computing techniques for mobile monitoring platforms [2024 INV#WO0000000109492],Classical/Predictive Machine Learning,,0,,,,0
8450,DOI-0002,DOI,Non-Generative AI use for Trust Information Analysis and Reporting Tool [2024 INV#WO0000000110516],Computer Vision,Microsoft Azure,0,,,,0
8484,DOJ-0038,DOJ,Thomson Reuters Vigilant Vehicle Manager,Computer Vision,Motorola,0,,,,0
8501,DOJ-0058,DOJ,Evidence.com,Classical/Predictive Machine Learning,,0,,,,0
8518,DOJ-0084,DOJ,Financial and Cryptocurrency Analysis: Commercial Solution,Natural Language Processing (NLP),,0,,,,0
8525,DOJ-0092,DOJ,Autonomous Drone Detection and Monitoring,Classical/Predictive Machine Learning,,0,,,,0
8577,,DOJ,Prisoner Assessment Tool Targeting Estimated Risk and Needs (PATTERN),Agentic AI,,0,,,,0
8583,DOJ-0165,DOJ,Thomson Reuters Drafting Assistant Tool for MS Word,,,0,,,,0
8604,DOJ-0191,DOJ,Narrative Analysis for DOJ MIS,Natural Language Processing (NLP),,1,,,,0
8656,DOJ-0255,DOJ,Summarization Tool,Natural Language Processing (NLP),,1,,,,0
8686,DOJ-0285,DOJ,Intelligent Workflow Optimization,Natural Language Processing (NLP),,0,,,,0
8745,DOJ-0344,DOJ,AI Personal Assistant,Natural Language Processing (NLP),,0,,,,0
8748,DOJ-0347,DOJ,AI Evidence and Claim Consolidation,Natural Language Processing (NLP),,1,,,,0
8756,DOJ-0355,DOJ,Parse and Capture Data Submitted by Laboratories to the NFLIS Program,Agentic AI,,0,,,,0
8771,DOL-06,DOL,Website Chatbot Assistant,,,1,,,,0
8777,DOL-14,DOL,Automatic Data Processing Workflow with Form Recognizer (9130/9178 Reconciliation Project),,,0,,,,0
8780,DOL-17,DOL,Notice of Deficiency (NOD) Text Generation using Generative AI model,,,1,,,,0
8781,DOL-18,DOL,Case Recording summarization,,,1,,,,0
8809,DOT-1000003,DOT,AI Operations Laboratory (OPSLAB),Agentic AI,,0,,,,0
8810,DOT-1000004,DOT,Transportation AI-enabled Network (TrAIN),Agentic AI,,0,,,,0
8868,DOT-1000070,DOT,AI-Assisted Legal Research,Other,,1,,,,0
8957,34,EPA,SF182 Form and Policy Assistant,Natural Language Processing (NLP),,0,,,,0
8959,39,EPA,Helpdesk chat assistant for common data system tasks,Classical/Predictive Machine Learning,ServiceNow,0,,,,0
9015,FDIC  53,FDIC,Trust Document Entity Extraction - LLM,Natural Language Processing (NLP),,0,,,,0
9043,FHFA-5,FHFA,Public Comments Summarization and Topic Classifications Pilot Project,,,1,,,,0
9045,FHFA-7,FHFA,"Analytics,, Search, Queries and LLM integration for data management on Oracle",,,1,,,,0
9051,FHFA-13,FHFA,Workflow automation and predictive analytics using ServiceNow,Classical/Predictive Machine Learning,ServiceNow,0,,,,0
9101,FTC-0003,FTC,Chatbot,Classical/Predictive Machine Learning,Leidos,0,,,,0
9153,,GSA,FAS Vision Agentforce,Agentic AI,,0,,,,0
9160,,GSA,RPA Cloud Connection,Computer Vision,,0,,,,0
9175,,HHS,Discover Financial Business Intelligence System (FBIS) Report Analysis (Sub-CAN Line Items),Agentic AI,Palantir,0,,,,0
9179,,HHS,Unaccompanied Children Program Policy & Procedure Research Tool,Agentic AI,MIT Lincoln Labs,0,,,,0
9190,,HHS,Training and Technical Assistance (TTA) GenAI Chatbot,,,1,,,,0
9197,,HHS,Grant management support: structuring information in applications,Agentic AI,"Palantir, Credal",0,,,,0
9201,,HHS,Chatbot,,,1,,,,0
9202,,HHS,Chatbot,,,1,,,,0
9222,,HHS,HIV Data Virtual Assistant,Natural Language Processing (NLP),,0,,,,0
9244,,HHS,Evaluating Generative AI for polio containment.,,,1,,,,0
9250,,HHS,1CDP (SEDRIC) AIP for Advanced Foodborne Outbreak Investigation (AI Summarization and Receipt Reading),Natural Language Processing (NLP),Palantir Technologies,1,,,,0
9265,,HHS,Using generative AI to gain insight of older adult falls,,,1,,,,0
9269,,HHS,Rapid Detection of Acute Releases of Toxic Substances (RaDARTS),Natural Language Processing (NLP),,1,,,,0
9270,,HHS,DLS AI Assistant tool,Natural Language Processing (NLP),N/A,0,,,,0
9305,,HHS,Assessing public comment responses to draft NIOSH wildland fire smoke document,Natural Language Processing (NLP),,1,,,,0
9308,,HHS,Support for MCP and AI APIs in Digital Gateway,Agentic AI,,0,,,,0
9310,,HHS,OFR Robotics and Process Automation (ORPA),Agentic AI,UIPath,0,,,,0
9313,,HHS,Federal Select Agents Program (FSAP) Customer Agent,Natural Language Processing (NLP),,0,,,,0
9319,,HHS,Enhanced Direct Enrollment Outlier Detection,Classical/Predictive Machine Learning,,0,,,,0
9323,,HHS,Agent/Broker Fraud Analysis (ABCQI),Classical/Predictive Machine Learning,,0,,,,0
9334,,HHS,Citation Analysis and Survey Assistant (CASA - Nursing Home Survey CMS 2567),Natural Language Processing (NLP),,0,,,,0
9344,,HHS,Knowledge Management Solution for Appeal Case Workers,Natural Language Processing (NLP),,0,,,,0
9349,,HHS,T-MSIS Prima,Agentic AI,,0,,,,0
9371,,HHS,Deep Research Multi-Agent System,Agentic AI,,0,,,,0
9377,,HHS,Rx Data Integrity Review,Classical/Predictive Machine Learning,,1,,,,0
9381,,HHS,SBC Content Review,Classical/Predictive Machine Learning,,1,,,,0
9383,,HHS,MLMS Upgrade MILA from CARLA to Druid,Classical/Predictive Machine Learning,,0,,,,0
9390,,HHS,Case Management Tool Case Creation & Automation,Agentic AI,,0,,,,0
9457,,HHS,Electronic translational services for regulatory documents for articles offered for import,Natural Language Processing (NLP),Google Translate API / MLaaS / Azure,0,,,,0
9464,,HHS,NOFO Compliance Assistant,Other,,0,,,,0
9470,,HHS,FOIA Exemption-Aligned Redaction,Agentic AI,,0,,,,0
9499,,HHS,LLM Support for Admin Services,,,1,,,,0
9510,,HHS,OCIO GenAI Advisor,,,1,,,,0
9530,,HHS,NIH Grants Virtual Assistant,Natural Language Processing (NLP),Google,0,,,,0
9531,,HHS,Open AI SharePoint Document Assistant,,,1,,,,0
9540,,HHS,Dual Use Research of Concern (DURC) Categorization LLM,,,1,,,,0
9560,,HHS,MirBot,Natural Language Processing (NLP),Technatomy Axle,0,,,,0
9567,,HHS,Ethics AI Agent,Agentic AI,,0,,,,0
9572,,HHS,BioData  Catalyst Harmonized Data Model,Agentic AI,,0,,,,0
9595,,HHS,Using Llama to summarize PubMed Central (PMC) full text articles that contain information on protein function,Natural Language Processing (NLP),,1,,,,0
9612,,HHS,GrantSolutions Non?Competing Continuation Approval Tool,Classical/Predictive Machine Learning,Internal Federal Shared Service (GrantSolutions),0,,,,0
9619,,HHS,Document summarization,,,1,,,,0
9647,NASA-5,NASA,Autoresolver/Tailored Arrival Manager,Agentic AI,,0,,,,0
9649,NASA-9,NASA,Distributed Spacecraft Autonomy,Agentic AI,,0,,,,0
9673,NASA-105,NASA,Enabling Autonomous Differential Drag Control and Attitude Maneuvering Using Onboard Artificial Intelligence (AI) for SmallSat Distributed Space Missions (DSMs),Classical/Predictive Machine Learning,,0,,,,0
9704,NASA-215,NASA,Agile Science,Classical/Predictive Machine Learning,,0,,,,0
9705,NASA-217,NASA,ASPEN Mission Planner,Agentic AI,,0,,,,0
9708,NASA-225,NASA,Enhanced AutoNav for Perseverance Rover on Mars,Classical/Predictive Machine Learning,,0,,,,0
9710,NASA-228,NASA,Hybrid On-Board and Ground-Based Processing of Massive Sensor Data (HyspIRI IPM),Agentic AI,,0,,,,0
9711,NASA-232,NASA,Mars2020 Rover (Perseverance),Agentic AI,,0,,,,0
9724,NASA-277,NASA,Machine Learning for RFID (Radio Frequency Identification) tag localization to support logistics,Classical/Predictive Machine Learning,,0,,,,0
9754,NASA-354,NASA,Using Natural Language Processing to Help Automate the Standardization of PI Variable Names from ICARTT Files,Natural Language Processing (NLP),,0,,,,0
9766,NASA-395,NASA,INtelligent StennIs Gas House Technology (INSIGHT),Agentic AI,,0,,,,0
9768,NASA-398,NASA,Autonomous WAiting Room Evaluation (AWARE),Computer Vision,,0,,,,0
9790,NASA-450,NASA,Onboard Planner for Mars2020 Rover (Perseverance),Agentic AI,,0,,,,0
9791,NASA-451,NASA,"SensorWeb: Volcano, Flood, Wildfire, and others.",Classical/Predictive Machine Learning,,0,,,,0
9796,NASA-487,NASA,"AI Digital Assistants (HRP) [was ""Doc in a Box"" for Earth Independent Medical Operations (EIMO)]",Agentic AI,,0,,,,0
9825,NASA-555,NASA,DSM Autonomy: Capability Integration/Demonstration and Mission Resilience,Agentic AI,,0,,,,0
9833,NASA-564,NASA,AI Prediction Algorithms for Autonomous Science and Operations,Classical/Predictive Machine Learning,,0,,,,0
9842,NASA-579,NASA,Autonomous Obstacle Avoidance of Mobile Robots using Reinforcement Learning,Classical/Predictive Machine Learning,,0,,,,0
9868,NASA-617,NASA,GAIT: Generative AI Teleoperations for Robotics,Classical/Predictive Machine Learning,,0,,,,0
9903,NASA-660,NASA,Planetary Trajectory Design Using Generative AI Tools,Classical/Predictive Machine Learning,,0,,,,0
9956,NASA-748,NASA,Module for Event Driven Operations on Spacecraft (MEDOS),Agentic AI,,0,,,,0
9974,NASA-813,NASA,Science Autonomy for NEAScout,Agentic AI,,0,,,,0
9980,NASA-829,NASA,"System for Uncertainty, Risk, and Feature Assessment of Surfaces (SURFAS) Holistic Scene Analysis",Agentic AI,,0,,,,0
9993,NASA-846,NASA,Multimodal Earth Observation Workflow for Machine Learning (MEOW-ML):  A Case Study in Canopy Height Model and Canopy Height Change Prediction,Classical/Predictive Machine Learning,,0,,,,0
10017,NASA-873,NASA,MADI - Modular AI for Design and Innovation,Natural Language Processing (NLP),,0,,,,0
10029,NASA-889,NASA,Text-to-Spaceship,Agentic AI,,0,,,,0
10053,NASA-916,NASA,XMM-GPT,Classical/Predictive Machine Learning,,0,,,,0
10058,NASA-923,NASA,Autonomous Navigation Decision Making for Lunar/Martian Rovers,Computer Vision,,0,,,,0
10059,NASA-924,NASA,Autonomous Object Manipulation Decision Making for Lunar/Martian Rovers,Computer Vision,,0,,,,0
10074,NMB-0001,NMB,Document Summarization,,Google Gemini,1,,,,0
10075,NMB-0002,NMB,Meeting Transcript Analysis,,Google Gemini,1,,,,0
10076,NMB-0003,NMB,Automated Document Creation,,Google Gemini,1,,,,0
10077,NMB-0004,NMB,AI-Powered Proofreading and Editing,,Google Gemini,1,,,,0
10082,AII-7,NSF,"ServiceNow GenAI ""Now Assist""",,,1,,,,0
10084,AII-9,NSF,AI voice over,,,0,,,,0
10087,AII-22,NSF,AWS Assisted Software Development (DIS AI Assisted Development),,,1,,,,0
10093,AII-32,NSF,Alt text Generator for Images in NSF's Media Hub,,,1,,,,0
10097,AII-48,NSF,NSF AI-Ready RPPR Data,,,1,,,,0
10098,AII-49,NSF,TIP MS Copilot Pilot,,,1,,,,0
10101,AII-53,NSF,M365 AI Builder pre-built GPT for Summarization,,,1,,,,0
10103,AII-72,NSF,Open access LLM,,,1,,,,0
10108,NTSB-0004,NTSB,FOIAXpress AI assistant,Natural Language Processing (NLP),OPEXUS,0,,,,0
10109,,OPM,Microsoft Copilot,,,1,,,,0
10110,,OPM,OpenAI ChatGPT,,,1,,,,0
10111,,OPM,Anthropic Claude,,,1,,,,0
10113,,OPM,OPM Rexi Chatbot,,,1,,,,0
10143,SBA-36,SBA,AI Resolution Notes Generation,Intelligent Automation (AIOps),"ServiceNow, Inc.",1,,,,0
10158,SEC-14,SEC,EDGAR Technical Support Public Chatbot,,,1,,,,0
10161,SEC-17,SEC,Testing Developer Workflows,,,0,,,,0
10199,SEC-61,SEC,AI-enabled information dissemination,Agentic AI,,0,,,,0
10206,SEC-68,SEC,Improve efficiency of comment letter ingestion,Classical/Predictive Machine Learning,,0,,,,0
10247,DOS - 1493,State,Travel.State.Gov (TSG) Enhanced Search and Chatbot,,,1,,,,0
10254,DOS - 1461,State,StateInsight,Natural Language Processing (NLP),,1,,,,0
10286,DOS - 1510,State,ECA Program Management and Outreach - Summarization,,,1,,,,0
10288,DOS - 1507,State,AI Tools to Enhance PD Workflows,,,0,,,,0
10329,,TVA,Copilot,,,1,,,,0
10330,,TVA,Github Copilot,,,1,,,,0
10337,,TVA,AWS Q,,,1,,,,0
10380,31,Treasury,AI Use Case Review and Evaluation Workflow,Agentic AI,N/A,0,,,,0
10440,TREAS-IRS-104,Treasury,IRS IaaP Accelerator ( AI-Powered Infrastructure as a Product Accelerator),Agentic AI,N/A,0,,,,0
10443,TREAS-IRS-114,Treasury,Zero Paper AI Routing for Digitalization,Agentic AI,N/A,0,,,,0
10483,TREASURY-OFR-002,Treasury,Programmatic Access to LLMs via API,Classical/Predictive Machine Learning,N/A,0,,,,0
10579,USDA-106,USDA,ARGUS AI Supply Chain Interference,Agentic AI,ACCRETE AI Government,0,,,,0
10591,USDA-118,USDA,NETS automated waterway design,Agentic AI,Spatial Front Incorporated,0,,,,0
10658,VA-25-1877,VA,Service Period Validator (SPV) POC,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10663,VA-25-4465,VA,Limited Payability Letter Automation,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10665,VA-25-5269,VA,Paid & Due Auto Calculation,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10669,VA-24-6067,VA,Xtract WDS - OSLE,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10673,VA-25-5578,VA,AICES,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10674,VA-25-6965,VA,Smart Ratings Recommendation,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10681,VA-24-3365,VA,Summarize Progress Notes,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",,1,,,,0
10691,VA-25-1082,VA,Healthcare Text Anonymizer,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10696,VA-25-2660,VA,Community Care Records Retrieval,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10700,VA-25-2906,VA,Natural Language Online Workflow (NOW),Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10704,VA-25-3573,VA,Claims Adjudication and Financial Decision-Making,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10714,VA-25-5182,VA,Leveraging Acoustic-Linguistic Analytics and Social Determinants to Enhance Suicide Prevention Efforts in Veterans Crisis Line Interventions,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",,0,,,,0
10718,VA-25-6055,VA,Community Care Clinical Documents,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10723,VA-25-7910,VA,Electronic Mammogram Reporting (eMAMR),"Natural Language Processing: AI that processes, interprets, and shares information in human language.",,0,,,,0
10725,VA-25-5048,VA,SAC AI tools to automate application processing and data reporting,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10734,VA-24-4521,VA,Automated Incident Analysis,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10735,VA-25-1102,VA,OpenAI Embedding Generation for Future Vector Search of Banking Data,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",,1,,,,0
10737,VA-25-1225,VA,Report Anomalous VIEWS CCM User Behavior,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10740,VA-25-3111,VA,Redseal AI Usage,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10772,VA-25-1029,VA,Pathology and Laboratory Medicine SharePoint Chatbot - Quincy,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,,0,,,,0
10778,VA-25-3255,VA,Using LLMs to assist with data extraction,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",,0,,,,0
10785,VA-25-5799,VA,VA Health Connect (VAHC) Customer Relationship Management (CRM) - contact quality analysis,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,,0,,,,0
10810,VA-24-2717,VA,VA.gov Chatbot: Summative Content,Classical/Predictive Machine Learning,,0,,,,0
10820,VA-24-1069,VA,AGFA DR 800 with MUSICA Dynamic,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",,0,,,,0
10830,VA-24-245,VA,Siemens YSIO Max,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",,0,,,,0
10840,VA-24-3705,VA,Workflow Box,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",,0,,,,0
10871,VA-24-5222,VA,CT CoPilot,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",,1,,,,0
10874,VA-24-5464,VA,Nediser Reports QA,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",,0,,,,0
10903,VA-25-1020,VA,AI Microlearning (OttoLearn),Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10928,VA-24-3373,VA,Avicenna CINA,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",,0,,,,0
10942,VA-25-3891,VA,Scriptpro Ticket Report,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,,0,,,,0
10949,VA-24-3824,VA,electronic Virtual Assistant (e-VA),,,0,,,,0
10956,VA-24-2869,VA,ICU CIS/ARK PDF Medical Entity and Clinical Scoring Extraction (PHI 3.5 LLM),,,0,,,,0
10993,VA-24-52,VA,VA Chat Copilot Meta Pilot,,,1,,,,0
11000,VA-24-1561,VA,VCA & PPMS Chatbot,,,1,,,,0
11009,VA-24-4099,VA,"Synthetic Data Generation:  Experimenting with OpenSource, Third Party and GenAI",,,1,,,,0
