use_case_id,agency,use_case_name,heuristic_label,llm_label,llm_confidence,development_type,vendor_name,llm_reasoning
7887,DOE,Adaptive Cyber-Physical Resilience for Building Control Systems,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,PassiveLogic,development_type='both' + vendor but no build-engineering signals — default to deployment
7889,DOE,APT Analytics,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Microsoft,development_type='both' + vendor but no build-engineering signals — default to deployment
7890,DOE,AI used for predictive modeling and real time control of traffic systems,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Microsoft,development_type='both' + vendor but no build-engineering signals — default to deployment
7892,DOE,"Scalable, Efficient and Accelerated Causal Reasoning Operators, Graphs and Spikes for Earth and Embedded Systems (SEA-CROGS)",bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Microsoft,development_type='both' + vendor but no build-engineering signals — default to deployment
7896,DOE,Use of developed ML techniques to parse opensource text-based information.,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Microsoft,development_type='both' + vendor but no build-engineering signals — default to deployment
7897,DOE,AI techniques for identification of suitable delivery parking spaces in an urban scenario,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Cisco,development_type='both' + vendor but no build-engineering signals — default to deployment
7908,DOE,"Spot for automated sensing, inspection, and capture",bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Boston Dynamics,development_type='both' + vendor but no build-engineering signals — default to deployment
7914,DOE,Microsoft Copilot for Security,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Microsoft,development_type='both' + vendor but no build-engineering signals — default to deployment
7918,DOE,Scopus AI,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,development_type='both' + vendor but no build-engineering signals — default to deployment
7919,DOE,EnerGPT,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,"Accenture Federal Services, Google",development_type='both' + vendor but no build-engineering signals — default to deployment
7920,DOE,MAPPRITE,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Special Technologies Laboratory (STL),vendor='Special Technologies Laboratory (STL)'; weak signals overall
7932,DOE,AI for Intelligent Automation,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
7940,DOE,PDF Analyzer,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,"Accenture Federal Services, Google",development_type='both' + vendor but no build-engineering signals — default to deployment
7947,DOE,GitHub Copilot with the OpenAI Codex,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,OpenAI,development_type='both' + vendor but no build-engineering signals — default to deployment
7949,DOE,Yurts AI search function,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Legion (Previously Yurts),development_type='both' + vendor but no build-engineering signals — default to deployment
7953,DOE,SmartPD Creator,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,"Accenture Federal Services, Google",development_type='both' + vendor but no build-engineering signals — default to deployment
7966,DOE,Microsoft Azure Quantum Elements,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Microsoft Corporation,development_type='both' + vendor but no build-engineering signals — default to deployment
7977,DOE,ESH&Q NEPA App,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
7980,DOE,ACORN (Autonomous Operation for Reactor Technologies),bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Open source development,vendor='Open source development'; weak signals overall
7986,DOE,Custom GenAI for eVinci Microreactor Engineering (MauroGPT),bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Open source development with INL Advanced Analystics Center of Excellence,development_type='both' + vendor but no build-engineering signals — default to deployment
7992,DOE,OpenAI Enterprise,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,OpenAI,development_type='both' + vendor but no build-engineering signals — default to deployment
7993,DOE,VIPER (Visualizaiton for Predictive Maintenance Recommendation),bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Open Source development,vendor='Open Source development'; weak signals overall
7994,DOE,Decisions AI,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,OpenAI,development_type='both' + vendor but no build-engineering signals — default to deployment
8009,DOE,Nuclear Safety Analysis,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8013,DOE,PWS Builder,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,"Accenture Federal Services, Google",development_type='both' + vendor but no build-engineering signals — default to deployment
8015,DOE,Safeguards Digital Twin,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8026,DOE,EDMS Admin,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8027,DOE,EnerGPT Canvas,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,"Accenture Federal Services, Google",development_type='both' + vendor but no build-engineering signals — default to deployment
8029,DOE,Project Optimus - Prime Contract,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8040,DOE,SpyglassGPT Chat Assistant,bespoke_application,product_deployment,medium,Developed with both contracting and in-house resources,Microsoft,'both' but text reads deployment-only with 1 deploy-signal(s)
8041,DOE,Custom GenAI for Advanced Reactor Development (LotusAI),bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Open source development,vendor='Open source development'; weak signals overall
8043,DOE,Microsoft CoPilot,bespoke_application,product_deployment,medium,Developed with both contracting and in-house resources,Microsoft,'both' but text reads deployment-only with 1 deploy-signal(s)
8058,DOE,Custom GenAI for Advanced Reactor Development (RickoverAI),bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Open source development with INL Advanced Analytics Center of Excellence,vendor='Open source development with INL Advanced Analytics Center of Excellence'; weak signals overall
8066,DOE,ServiceNow Now Assist (AskIT),bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8072,DOE,ChatGPT,bespoke_application,product_deployment,medium,Developed with both contracting and in-house resources,Open AI,'both' but text reads deployment-only with 1 deploy-signal(s)
8075,DOE,AGN-201 DT,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,development_type='both' + vendor but no build-engineering signals — default to deployment
8097,DOE,Microsoft Discovery,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Microsoft,development_type='both' + vendor but no build-engineering signals — default to deployment
8103,DOE,Advanced Fuels Campaign,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8114,DOE,DevSec Ops AI,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8124,DOE,LISA Chatbot Pilot,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,AWS,vendor='AWS'; weak signals overall
8126,DOE,Climate Weather Data,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8129,DOE,EES&T Document Processing,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8135,DOE,Microsoft AI Builder,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Microsoft,development_type='both' + vendor but no build-engineering signals — default to deployment
8144,DOE,COREII,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,1899-12-31 11:59:00,vendor='1899-12-31 11:59:00'; weak signals overall
8145,DOE,GenAI for Classified Subject Area Categorization,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Open source development with INL Advanced Analytics Center of Excellence,vendor='Open source development with INL Advanced Analytics Center of Excellence'; weak signals overall
8150,DOE,Anthropic Claude,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Anthropic,development_type='both' + vendor but no build-engineering signals — default to deployment
8152,DOE,Amazon Q Chatbot Pilot,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,AWS,development_type='both' + vendor but no build-engineering signals — default to deployment
8154,DOE,HPC OpenAI-Compatible API,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Open Source,vendor='Open Source'; weak signals overall
8167,DOE,Custom GenAI for ATR Fuel Conversion Project (FuelGPT),bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Open source development,vendor='Open source development'; weak signals overall
8186,DOE,Chatlab,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8192,DOE,Geo Threat Observable for structure cyber threat related to the energy sector,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8196,DOE,EES&T Communications Impact,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8200,DOE,Road Conditions from IBM Watson for INL,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,development_type='both' + vendor but no build-engineering signals — default to deployment
8202,DOE,Deep Learning Malware Analysis for reusable cyber defenses.,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Not available,vendor='Not available'; weak signals overall
8216,DOI,Level 1 Survey Report Corrosion Level Classification,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,NASA,development_type='both' + vendor but no build-engineering signals — default to deployment
8241,DOI,Use of artificial intelligence tools for optimization and documentation for computer codes [2024 INV#WO0000000109681],bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,OpenAI,development_type='both' + vendor but no build-engineering signals — default to deployment
8283,DOI,Machine Learning Image Classification of Wetlands and Soil moisture [2024 INV#WO0000000108779],bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Google,development_type='both' + vendor but no build-engineering signals — default to deployment
8303,DOI,Everlaw AI Assistant for Responsive Review,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,"Everlaw, Inc.",development_type='both' + vendor but no build-engineering signals — default to deployment
8342,DOI,Wildfire Risk Assessment & Predictive Modeling,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Open Geospatial Consortium,development_type='both' + vendor but no build-engineering signals — default to deployment
8353,DOI,USGS Flow Photo Explorer [2024 INV#WO0000000109196],bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Walker Environmental Research LLC,development_type='both' + vendor but no build-engineering signals — default to deployment
8356,DOI,Improving Prediction Capabilities for Barrier Island Landscape Change,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,"Marda Science, LLC; ESRI; Python libraries (open-source)",development_type='both' + vendor but no build-engineering signals — default to deployment
8425,DOI,AI for Offshore Energy: Innovative Technology Streamlines Marine Wildlife Surveys [2024 INV#DOI-66],bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,Quantaero,development_type='both' + vendor but no build-engineering signals — default to deployment
8457,DOJ,Azure Data Factory,bespoke_application,product_deployment,medium,c) Developed with both contracting and in-house resources,Microsoft,'both' but text reads deployment-only with 1 deploy-signal(s)
8458,DOJ,Azure Zen 2 Storage,bespoke_application,product_deployment,medium,c) Developed with both contracting and in-house resources,Microsoft,'both' but text reads deployment-only with 1 deploy-signal(s)
8551,DOJ,Human Language Extraction and Translation Technology,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,AI Service Provider,vendor='AI Service Provider'; weak signals overall
8606,DOJ,Speech to Text Managed Service - Voice Transcription to Text,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,"Microsoft, OpenAI","vendor='Microsoft, OpenAI'; weak signals overall"
8638,DOJ,JPATS Mobile App (Biometrics),bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Rank One Computing,vendor='Rank One Computing'; weak signals overall
8717,DOJ,Chatbot to Answer Internal Employee Policy Queries,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,OpenAI,vendor='OpenAI'; weak signals overall
8726,DOJ,Azure AI Foundry Platform,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Microsoft,vendor='Microsoft'; weak signals overall
8730,DOJ,Audio and Written Transcription and Translation,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,MIT Lincoln Laboratory,vendor='MIT Lincoln Laboratory'; weak signals overall
8766,DOL,Determine Occupation Codes from Text (NIOCCS),custom_system,custom_system,low,,,no clear signals
8767,DOL,Language Translation,custom_system,custom_system,low,,,no clear signals
8768,DOL,Audio Transcription,product_deployment,product_deployment,low,Developed with contracting resources.,Azure PIID: NNG15SD60B,vendor='Azure PIID: NNG15SD60B'; weak signals overall
8776,DOL,Automatic Document Processing,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources.,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",development_type='both' + vendor but no build-engineering signals — default to deployment
8778,DOL,Generative AI AssistantI  ( AI Center),bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",vendor='Synergy PIID: 1605DC19A0004\nAzure PIID: NNG15SD60B'; weak signals overall
8784,DOL,"Expenditure Classification 
Autocoder",bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,1605TA-21-F-00064,vendor='1605TA-21-F-00064'; weak signals overall
8785,DOL,PII Redaction,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Amazon,development_type='both' + vendor but no build-engineering signals — default to deployment
8786,DOL,Workforce Recruitment Program (WRP) Website Chatbot Assistant,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources.,"AWS PIID: NNG15SD22B
Synergy PIID: 1605DC19A0004",vendor='AWS PIID: NNG15SD22B\nSynergy PIID: 1605DC19A0004'; weak signals overall
8789,DOL,Worker PLUS Microsimulation Program,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,DOLQ129633247,vendor='DOLQ129633247'; weak signals overall
8793,DOL,Note Taking Bot,bespoke_application,product_deployment,low,Developed with both contracting and in-house resources,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",vendor='Synergy PIID: 1605DC19A0004\nAzure PIID: NNG15SD60B'; weak signals overall
8806,DOL,ETA Grants Monitoring Tool through Doc Explorer,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,N/A,vendor='N/A'; weak signals overall
8877,ED,Aidan Chat-bot,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Accenture,vendor='Accenture'; weak signals overall
8878,ED,IPAC RPA Bot,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,iCatalyst Inc,vendor='iCatalyst Inc'; weak signals overall
8882,ED,Legislation Comment Categorization,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,iCatalyst Inc,vendor='iCatalyst Inc'; weak signals overall
8883,ED,Customer Service Support,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,iCatalyst Inc,vendor='iCatalyst Inc'; weak signals overall
8884,ED,Comment Categorization,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,iCatalyst Inc,vendor='iCatalyst Inc'; weak signals overall
8885,ED,Azure AI Internal General Q&A,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,iCatalyst Inc,vendor='iCatalyst Inc'; weak signals overall
8955,EPA,AI Assistants in Esri Tools,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,ESRI,development_type='both' + vendor but no build-engineering signals — default to deployment
8959,EPA,Helpdesk chat assistant for common data system tasks,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,ServiceNow,development_type='both' + vendor but no build-engineering signals — default to deployment
8974,EPA,Agency Records Management System,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Savan Group,vendor='Savan Group'; weak signals overall
8979,EPA,RCRA PA,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,University of Chicago Energy and Environment Lab,vendor='University of Chicago Energy and Environment Lab'; weak signals overall
8998,FDIC,Automatically-Scored Writing Assessment (AWA),bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,"Personnel Decisions Research Institutes, LLC (PDRI)",development_type='both' + vendor but no build-engineering signals — default to deployment
9014,FDIC,Trust Document Entity Extraction,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Deloitte,vendor='Deloitte'; weak signals overall
9034,FERC,Improve Safety Inspections Use Case,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Zvolvant (Small Business),vendor='Zvolvant (Small Business)'; weak signals overall
9035,FERC,Enhance Market Surveillance and Fraud Detection Use Case,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Zvolvant (Small Business),vendor='Zvolvant (Small Business)'; weak signals overall
9036,FERC,Support Interconnection Request Responses Use Case,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Zvolvant (Small Business),vendor='Zvolvant (Small Business)'; weak signals overall
9037,FERC,Gas Blanket Certificates (Permitting),bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Zvolvant (Small Business),vendor='Zvolvant (Small Business)'; weak signals overall
9099,FTC,Automatic PSC Classification,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Leidos,vendor='Leidos'; weak signals overall
9100,FTC,Group Duplicate Complaints,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Leidos,vendor='Leidos'; weak signals overall
9101,FTC,Chatbot,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Leidos,vendor='Leidos'; weak signals overall
9102,FTC,Word Cloud,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Leidos,vendor='Leidos'; weak signals overall
9103,FTC,Graph Analytics,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Leidos,vendor='Leidos'; weak signals overall
9104,FTC,Analytic Sandbox,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Leidos,development_type='both' + vendor but no build-engineering signals — default to deployment
9105,FTC,Developer Productivity,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Leidos,vendor='Leidos'; weak signals overall
9109,FTC,CRC Call Summarization,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Microsoft,vendor='Microsoft'; weak signals overall
