queue_id,proposed_name,vendor,alias_text,confidence,reasoning
1867,reCAPTCHA,Google,reCAPTCHA,high,Google reCAPTCHA not in canonical list
1868,TruNarc,Smiths Detection,"TruNarc, Smith Detection",high,TruNarc by Smiths Detection not in canonical list
1869,Trunet Systems,Advanced Technologies Group,Trunet Systems,high,Trunet Systems by Advanced Technologies Group not in canonical list
1870,Truview,Advanced Technologies Group,Truview,high,Truview by Advanced Technologies Group not in canonical list
1871,UpToDate,Wolters Kluwer,UpToDate,high,UpToDate clinical reference tool not in canonical list
1872,Exiger DDIQ,Exiger,Exiger Supply Chain Risk Management - DDIQ Research Engine,high,Exiger DDIQ supply chain tool not in canonical list
1873,Exiger DDIQ,Exiger,Exiger Supply Chain Risk Management - DDIQ Due Diligence Analytics,high,"Exiger DDIQ Due Diligence Analytics, same family as 1872"
1874,Dragon,Nuance Communications,Dragon,high,Nuance Dragon speech recognition not in canonical list
1875,Informatica CLAIRE,Informatica,Informatica - CLAIRE,high,Informatica CLAIRE not in canonical list
1876,Nlets Nationwide License Plate Reader Pointer Index,Nlets,Nlets Nationwide License Plate Reader Pointer Index,high,"Nlets LPR Pointer Index is Nlets/law enforcement system, not Thomson Reuters Westlaw"
1877,Axon Evidence,Axon,Axon,high,Axon Evidence/body-worn video platform not in canonical list
1878,Hootsuite,Hootsuite,Hootsuite,high,Hootsuite social media management not in canonical list
1879,Veritone Digital Media Hub,Veritone,Veritone Digital Media Hub,high,Veritone Digital Media Hub not in canonical list
1881,PACER,Administrative Office of the U.S. Courts,Pacer Search,low,Pacer Search (court records); vendor Techsmith seems incorrect; not in canonical list
1882,AWS Translate,Amazon,AWS Translate,high,AWS Translate not in canonical list
1883,JAWS,Freedom Scientific,JAWS (Text-to-Speech Assistant for Accessibility),high,JAWS screen reader by Freedom Scientific not in canonical list
1884,OnCue,"OnCue Technology, LLC",Trial Presentation Software,high,OnCue trial presentation software not in canonical list
1885,Axon Evidence,Axon,Axon Video Retention Solution (VRS) - object recognition and redaction,high,Axon Evidence VRS object recognition/redaction not in canonical list
1886,Axon Evidence,Axon,Axon Video Retention Solution (VRS) - Transcription,high,"Axon Evidence VRS transcription, same platform family"
1888,Rank One Computing Biometrics,Rank One Computing,JPATS Mobile App (Biometrics),high,Rank One Computing biometrics not in canonical list
1889,Aware Biometric Services Platform,"Aware, Inc.",Aware,high,Aware biometrics platform not in canonical list
1890,Thomson Reuters CLEAR,Thomson Reuters,Thomson Reuters CLEAR,high,Thomson Reuters CLEAR not in canonical list
1892,Veritone aiWARE,Veritone,Veritone,high,Veritone platform not in canonical list
1893,Litera Best Authority,Litera,Table of Contents / Table of Authorities Word plugin,high,Litera TOA Word plugin not in canonical list
1894,Systran Translate Server,Systran,Systran Translate Server,high,Systran Translate Server not in canonical list
1896,ProLaw,Thomson Reuters,ProLaw,high,Thomson Reuters ProLaw not in canonical list
1900,NetDocuments,NetDocuments,NetDocuments,high,NetDocuments not in canonical list
1901,FOIAXpress,OPEXUS,FOIA Xpress,high,FOIA Xpress suite not in canonical list; multi-vendor FOIA tool
1904,Conduit AI,Conductor,Conduit AI,high,Conductor Conduit AI not in canonical list
1905,CoHost AI,Buzzsprout,CoHost AI,high,Buzzsprout CoHost AI not in canonical list
1907,CoCounsel,Thomson Reuters,Cocounsel AI,high,Thomson Reuters CoCounsel not in canonical list
1908,Camtasia,TechSmith,Camtasia,high,TechSmith Camtasia not in canonical list
1909,Tableau,Salesforce,Tableau,high,"Tableau and PowerBI named; Power BI matches canonical, Tableau missing"
1910,TLOxp,TransUnion Risk and Alternative Data Solutions,TransUnion Risk and Alternative Data Solutions,high,TransUnion TLOxp/background search tool not in canonical list
1911,Azure AI Foundry,Microsoft,Azure AI Foundry Platform,high,Azure AI Foundry platform not in canonical list
1913,Audiate,TechSmith,Audiate,high,TechSmith Audiate not in canonical list
1916,VAO Ally,Virtual Acquisition Office,VAO Ally,high,VAO Ally acquisition tool not in canonical list
1918,Microsoft HoloLens,Microsoft,Hololens,high,Microsoft HoloLens/CLIRIO training not in canonical list
1923,AWS Comprehend,Amazon,Amazon PII Redaction,medium,AWS PII redaction likely AWS Comprehend; not in canonical list
