queue_id,canonical_product_id,proposed_alias,source_vendor,source_label,llm_confidence,llm_reasoning,review_disposition
901,,RAVEn Translation and Transcription,Booz Allen Hamilton,"Booz Allen Repository for Analytics in a Virtualized Environment, Translation and Transcription",high,Booz Allen RAVEn translation/transcription; not in canonical list.,hold
907,,SmartLINK (ISAP IV),BI Incorporated,BI ISAP IV (SmartLink) IATSS Biometric Check-in for ATD-ISAP (SmartLINK),high,BI ISAP IV / SmartLINK biometric check-in; not in canonical list.,hold
908,,Vetting Identities for an Enterprise Workforce (VIEW/CVAS),CANDA Solutions,CANDA Solutions Vetting Identities for an Enterprise Workforce,high,CANDA Solutions VIEW/CVAS UEBA tool; not in canonical list.,hold
909,,Biometrics Enrollment Tool (BET),Pluribus Digital,Pluribus Digital Biometrics Enrollment Tool,high,Pluribus Digital Biometrics Enrollment Tool; not in canonical list. [moved to hold: Biometrics Enrollment Tool (BET) Pluribus Digital wrapper for USCIS; agency-wrapper criterion],hold
910,,Electronic Immigration System (ELIS),SAIC / DV United,SAIC and DV United ELIS,high,SAIC/DV United ELIS system; not in canonical list.,hold
911,,Electronic Immigration System (ELIS),SAIC / DV United,SAIC and DV United ELIS,high,SAIC/DV United ELIS card photo validation; same ELIS product.,hold
914,,Person Centric Identity Services (PCIS),MetroIBR,MetroIBR Person Centric Identity Services,high,MetroIBR PCIS information compilation check; same PCIS product. [moved to hold: same MetroIBR PCIS product as queue_id=884 already held],hold
917,,Starlo Position Description Tool,Starlo / Deloitte,Starlo and Deloitte  Position Description Generation and Evaluation,high,Starlo + Deloitte custom PD generation; not in canonical list. [moved to hold: Starlo Position Description Tool Deloitte custom for OPM; agency-wrapper criterion],hold
921,,Trusted Automated eXchange of Indicator Information (TAXII) Server,Nightwing Intelligence Solutions,"Nightwing Intelligence Solutions, LLC. Trusted Automated eXchange of Indicator Information server",high,Nightwing TAXII server for PII detection; not in canonical list.,hold
929,,RAVEn (Repository for Analytics in a Virtualized Environment),Booz Allen,Booz Allen Repository for Analytics in a Virtualized Environment,medium,Booz Allen Repository for Analytics in a Virtualized Environment (RAVEn) is custom; no canonical match.,hold
937,,ELIS Evidence Classifier Service,SAIC / DV United,SAIC and DV United ELIS,medium,SAIC/DV United ELIS custom-built service; no canonical match.,hold
954,,EnerGPT,DOE / Accenture Federal Services,EnerGPT,medium,EnerGPT is custom DOE tool; no canonical match.,hold
957,,EnerGPT,DOE / Accenture Federal Services,EnerGPT,high,EnerGPT custom DOE tool on Google Cloud Platform; no canonical product match.,hold
1001,,Raytheon Multimedia Monitoring System (M3S),Raytheon BBN Technologies,Raytheon Multimedia Monitoring System (M3S),high,Raytheon Multimedia Monitoring System (M3S) not in canonical list.,hold
1003,,SpyglassGPT,Microsoft,SpyglassGPT Chat Assistant,high,"SpyglassGPT is custom Microsoft-hosted chat assistant, not canonical.",hold
1016,,QuantomVision,QuantomVision,QuantomVision,medium,QuantomVision uses OpenAI; OpenAI API canonical id 93 matches vendor Open AI.,hold
1027,,LISA Chatbot,AWS,LISA Chatbot Pilot,medium,LISA Chatbot custom AWS-based pilot; no canonical AWS LLM product named.,hold
1047,,Chatlab,Unknown,Chatlab,medium,'Chatlab' named but vendor unclear; propose with unknown vendor.,hold
1069,,USGS Flow Photo Explorer,Walker Environmental Research LLC,USGS Flow Photo Explorer,high,USGS Flow Photo Explorer by Walker Environmental; propose new product.,hold
1077,,ARC Travel Intelligence Program,Airlines Reporting Corporation,Airlines Travel Intelligence Program,high,Airlines Reporting Corporation Travel Intelligence Program named; propose new product.,hold
