action,agency_abbreviation,uc_2024_slugs,uc_2025_slugs,confidence,reasoning
reject_rename,DHS,dhs-cyber-vulnerability-reporting,dhs-land-border-integration,high,2024 Cyber Vulnerability Reporting processes vulnerability (KEV/CVE) data; 2025 Land Border Integration does license-plate and facial recognition at land Ports of Entry. Unrelated.
reject_rename,DHS,dhs-data-tagging-and-classification,dhs-trm-classification-tool,high,2024 Data Tagging and Classification is an HSI RAVEn data-tagging capability; 2025 TRM Classification Tool uses Gemini to categorize vendor products into the Technical Reference Model. Different systems and outputs.
reject_rename,DHS,dhs-geospatial-imagery-utilizing-annotation,dhs-facial-recognition-for-locating-vulnerable-populations,high,2024 uses SAR satellite imagery and machine vision to detect airframes/vehicles/vessels; 2025 is facial recognition to locate unaccompanied minors. Different modalities and missions.
reject_rename,DHS,dhs-i-539-approval-prediction,dhs-ai-assisted-audio-video-redaction,high,2024 I-539 Approval Prediction is a USCIS topic-modeling/prediction model; 2025 AI-Assisted Audio/Video Redaction redacts media evidence. Unrelated.
reject_rename,DHS,dhs-i4-viewer-matroid-image-analysis,dhs-cryptocurrency-analysis,high,2024 is Matroid computer-vision image/video detection; 2025 Cryptocurrency Analysis flags illicit crypto transactions. Unrelated.
reject_rename,DHS,dhs-integrated-digital-environment,dhs-semantic-search-for-digital-forensics-data,high,2024 Integrated Digital Environment analyzes end-user application workflows for CBP IT optimization; 2025 Semantic Search supports HSI digital-forensics evidence retrieval. Different systems and purposes.
reject_rename,DHS,dhs-large-language-models-for-an-officer-training-tool,dhs-large-language-model-llm-guided-data-dictionary-generation,high,2024 is an LLM officer-training tool generating personalized training materials; 2025 LLM-Guided Data Dictionary Generation creates metadata field definitions for FEMADex. Only 'Large Language Model' overlaps.
reject_rename,DHS,dhs-operational-activities-explorer,dhs-service-now-predictive-intelligence-tool,high,2024 Operational Activities Explorer analyzes critical-infrastructure incidents in a dashboard (never left conceptual phase); 2025 ServiceNow Predictive Intelligence flags duplicate Projects/Demands/Ideas. Unrelated.
reject_rename,DHS,dhs-predicted-to-natzuralize,dhs-illicit-trade,high,2024 Predicted to Naturalize predicts when LPRs become eligible to naturalize; 2025 Illicit Trade prioritizes high-risk inbound cargo shipments. Completely unrelated.
reject_rename,DHS,dhs-raven-compliance-automation-tool-cat,dhs-video-analysis-tool-vat,high,"RAVEn CAT uses OCR to ingest Form I-9 data; the Video Analysis Tool (VAT) analyzes video. Different RAVEn tools (2025 narrative empty, but the names and the I-9-OCR vs video distinction are clear)."
reject_rename,DHS,dhs-relativityone,dhs-trade-entity-risk-model,high,RelativityOne is a litigation/FOIA document review platform; the Trade Entity Risk Model profiles trade entities for cargo-threat assessment. Unrelated.
reject_rename,DHS,dhs-rvss-legacy-overhauled-system-project,dhs-ai-assisted-ediscovery-search,high,2024 RVSS is video computer-aided detection (Matroid) for border surveillance; 2025 is AI-assisted eDiscovery document search and summarization. Unrelated.
reject_rename,DHS,dhs-security-information-and-event-management-siem-alerting-models,dhs-ai-security-and-monitoring,high,2024 SIEM Alerting Models refine CISA SOC log-based detection alerts; 2025 AI Security and Monitoring is an AI gateway securing enterprise AI use against shadow AI/data leaks. Different problems.
reject_rename,DHS,dhs-sentiment-analysis-and-topic-modeling-sentop,dhs-blockchain-analysis,high,SenTop is a DHS text-analytics package for sentiment/topic modeling; Blockchain Analysis is an HSI crypto-investigation platform. Unrelated.
reject_rename,DHS,dhs-sentiment-analysis-elis-case-notes,dhs-ice-enterprise-ai-assistant,high,2024 does sentiment analysis on ELIS case notes; 2025 ICE Enterprise AI Assistant is an agency-wide LLM chatbot. Unrelated.
reject_rename,DHS,dhs-sentiment-analysis-employee-satisfaction-surveys,dhs-spend-plan-analysis-gpt,high,2024 does sentiment analysis on employee satisfaction surveys; 2025 Spend Plan Analysis GPT queries FEMA budget/spend data. Unrelated.
reject_rename,DHS,dhs-silicon-valley-innovation-program-svip-language-translator,dhs-real-time-language-translation-services,medium,2024 SVIP Language Translator is a USCG handheld voice translator for vessel boardings; 2025 Real-Time Language Translation Services is an ICE field translation tool for offline/low-connectivity operations. Both translation but different components (USCG vs ICE) and a distinct SVIP-pilot vs ICE-operations framing.
reject_rename,DHS,dhs-testing-performance-of-ml-model-using-h2o,dhs-passport-anomaly-model,high,2024 tests ML model performance on USCIS I-90 data with H2O; 2025 Passport Anomaly Model evaluates passport series characteristics for CBP travel-document verification. Different systems.
reject_rename,DHS,dhs-timeseries-analysis-and-forecasting,dhs-cbp-common-ai-service-ccais-image-analysis-and-data-correlation,high,2024 forecasts USCIS Form I-90 green-card application volumes; 2025 CCAIS does image analysis and data correlation flagging unauthorized presence in restricted environments. Different problems and modalities.
reject_rename,DHS,dhs-topic-modeling-on-request-for-evidence-rfe-data-sets,dhs-open-source-intelligence-for-lead-identification-and-targeting,high,2024 does topic modeling on USCIS Request-for-Evidence data; 2025 is OSINT for ICE/ERO lead identification. Unrelated.
reject_rename,DHS,dhs-traveler-verification-service-tvs,dhs-document-translation-service-dts,high,TVS is CBP's biometric facial-comparison entry/exit matching service; DTS is an Azure-based document translation service. Only the acronym pattern '...Service' overlaps.
reject_rename,DHS,dhs-use-of-technology-to-identify-proof-of-life,dhs-uscis-speech-translation-service,high,2024 is liveness detection to prevent spoofed images in mobile apps; 2025 USCIS Speech Translation provides speech-to-speech/text translation. Unrelated.
reject_rename,DHS,dhs-virtual-agent-chatbot-for-human-capital,dhs-natural-language-search-for-legal-case-management,high,2024 is a ServiceNow Virtual Agent chatbot for Human Capital questions; 2025 is natural-language search of the OPLA legal case-management system. Different systems and domains.
split,DHS,dhs-facial-recognition-service,dhs-facial-recognition-for-national-security-investigations|dhs-facial-recognition-for-investigations-of-transnational-criminal-organizations|dhs-facial-recognition-for-investigations-of-child-sexual-exploitation-and-abuse,high,"The single 2024 HSI Facial Recognition Service (RAVEn project covering child-exploitation, war-criminal and other investigations) was re-filed in 2025 as three HSI component facial-recognition use cases for national-security, transnational-criminal-organization, and child-sexual-exploitation investigations. The matcher's suggested 2025 pair was a separate USBP facial-recognition row, which is rejected by this split."
confirm_rename,DOC,doc-ai-rain-rate-estimation,doc-ai-based-precipitation-estimation,medium,Same NOAA bureau and same problem domain — AI estimation of rain/precipitation rate from satellite observations; the 2025 filing generalized 'rain rate' to 'precipitation'. Narratives are empty but name and domain align.
confirm_rename,DOC,doc-ai-retrieval-for-tm-design-coding-and-image-search,doc-tm-word-and-image-search-tool-twist,high,Both are USPTO trademark image-search use cases using the Clarivate AI product (TMVision); the 2025 filing renamed it TWIST and reframed it for external clearance searches.
confirm_rename,DOC,doc-lightningcast-ai-for-lightning-prediction,doc-lightningcast-a-lightning-nowcasting-model,high,Both are NOAA's LightningCast model predicting near-term lightning probability; the 2025 filing only relabeled 'prediction' as 'nowcasting model'.
confirm_rename,DOC,doc-patents-skill-group-matching,doc-pre-exam-application-skill-group-matching,high,Both are USPTO Skill Group Matching — auto-assigning patent applications to examiner skill groups by subject matter; the 2025 filing reframed it under pre-exam application processing.
reject_rename,DOC,doc-ai-based-community-radiative-transfer-model,doc-a-hybrid-data-driven-and-physics-based-framework-for-atmospheric-radiative-trans,medium,"Both touch radiative-transfer modeling, but the 2024 row is the established Community Radiative Transfer Model (CRTM) emulator while the 2025 row is a distinct new hybrid physics/data-driven framework; a separate 2025 row (doc-ai-based-radiative-transfer-emulator-for-data-assimilation-and-remote-sensing) is the closer descendant. No bilateral evidence these are the same project."
reject_rename,DOC,doc-ai-cloud-liquid-water-estimation,doc-use-of-ai-ml-cnn-for-viirs-cloud-clearing-and-super-resolution,medium,Cloud liquid water estimation and VIIRS cloud-clearing/super-resolution are distinct NOAA satellite tasks; shared token 'cloud' only.
reject_rename,DOC,doc-ai-snowfall-detection-and-snowfall-rate-estimation,doc-patent-fraud-detection-mitigation,high,A NOAA snowfall-estimation model and a USPTO patent-fraud detection system are unrelated across different bureaus and domains.
reject_rename,DOC,doc-ai-total-precipitable-water-estimation,doc-ai-qc-of-water-level-observations,medium,Total precipitable water (atmospheric moisture) estimation and quality control of tide-gauge water-level observations are different NOAA use cases despite the shared word 'water'.
reject_rename,DOC,doc-azure-openai-chat-prototype,doc-doc-chat,medium,"The 2024 row is a BEA-specific Azure OpenAI chat prototype; the 2025 'DOC Chat' is a department-wide OS-level chat tool with no narrative, different bureau and scope. Paired only on the word 'chat'."
reject_rename,DOC,doc-coralnet-ongoing-operational-use-improvement-and-development-of-machine-vision-p,doc-grants-program-administration-tiered-environmental-assessment-ai-pilot,high,CoralNet is a NOAA coral-reef computer-vision system; the 2025 row is an NTIA grants/environmental-assessment drafting pilot. Wholly unrelated.
reject_rename,DOC,doc-cybersecurity-hardening-automation,doc-developing-deep-learning-models-to-automate-age-determination,high,A NOAA cybersecurity hardening tool and a fish age-determination deep-learning model are unrelated; matched only on the token 'automate'.
reject_rename,DOC,doc-enriched-citation,doc-enhanced-precipitation-forecasting,high,USPTO's Enriched Citation prior-art dissemination system and a NOAA precipitation-forecasting model are unrelated; matched on 'Enriched'/'Enhanced' token noise across bureaus.
reject_rename,DOC,doc-firstnet-authority-ocio-ms-copilot-project,doc-github-copilot,medium,"The 2024 row is FirstNet's Microsoft 365 Copilot content-creation rollout; the 2025 NOAA GitHub Copilot is a software-development pair-programming tool. Different bureau, different product, different task."
reject_rename,DOC,doc-inventor-search-assistant-isat,doc-prior-art-search-patent-image-search,medium,"iSAT helps inventors find documents/figures/classifications from a text description; the 2025 Patent Image Search compares an examiner-uploaded image against image databases. Different inputs, users, and modality despite both being USPTO search tools."
reject_rename,DOC,doc-operational-satellite-product-quality-monitoring-ai-ready-training-data,doc-electronic-monitoring,medium,The 2024 row is satellite product-quality anomaly detection; 'Electronic Monitoring' in NOAA 2025 refers to fisheries electronic monitoring. Different problem and outputs despite shared bureau.
reject_rename,DOC,doc-patent-automatic-document-code-determination,doc-call-center-automations-internal,high,Quality control of patent document labels and a ServiceNow NowAssist IT help-desk tool are unrelated use cases despite both being USPTO.
reject_rename,DOC,doc-patent-design-image-search-designvision,doc-viame-video-and-image-analysis-for-the-marine-environment-softwaretoolkit,high,USPTO's DesignVision design-application image search and NOAA's VIAME marine video/image toolkit are unrelated systems in different bureaus.
reject_rename,DOC,doc-sentinel-one-purple-ai,doc-nowcasting-extreme-fire-behavior,high,A BEA cybersecurity incident-response tool and a NOAA wildfire-behavior nowcasting model are unrelated use cases in different bureaus and domains; the fuzzy matcher paired noise.
recover_match,DOE,doe-position-description-tool,doe-smartpd-creator,high,Both are the DOE tool that streamlines drafting and evaluation of federal position descriptions; the 2025 filing renamed it SmartPD Creator. Batch-3 adjudication's notes name SmartPD Creator as the genuine 2025 successor of the 2024 Position Description Tool.
reject_rename,DOE,doe-coupa,doe-copilot,high,2024 Coupa is AI-driven procurement/sourcing search; 2025 CoPilot provides communication suggestions and productivity. Different products and purposes; matcher paired on name similarity alone.
reject_rename,DOE,doe-crowdstrike,doe-crickets,high,2024 CrowdStrike predicts and blocks malicious endpoint behavior; 2025 'Crickets' flags access to inappropriate web content. Different security products and purposes; matcher paired on near-identical name strings.
reject_rename,DOE,doe-data-analytics-and-machine-learning-damal-tools-for-analysis-of-environment-safe,doe-nuclear-safety-analysis,high,2024 is a DAMaL similarity-based information-retrieval tool for ES&H records search; 2025 is a reactor risk/SAR automation tool for nuclear safety analysis. Different problem and outputs; the matcher paired on the word 'analysis'.
reject_rename,DOE,doe-data-analytics-and-machine-learning-damal-tools-to-enhance-the-analysis-of-envir-2,doe-machine-learning-for-geophysical-data-inversion,high,2024 is unsupervised text clustering of ES&H reports; 2025 is geophysical seismic/gravity data inversion for leak detection. Wholly unrelated systems.
reject_rename,DOE,doe-fast-ai-for-real-time-online-diagnostics-and-calibration-ai-based-autonomous-sys,doe-autonomous-real-time-guiding-of-bcp-film-synthesis,medium,"2024 is real-time AI control of accelerator-based light-source beam operations; 2025 is autonomous control of block-copolymer film deposition/synthesis. Both 'autonomous real-time control' but different facilities, problems, and outputs."
reject_rename,DOE,doe-in-situ-monitoring-of-additively-manufactured-parts,doe-ornl-ai-for-advanced-manufacturing,medium,"2024 is a specific in-situ print-defect detection tool for additive manufacturing; 2025 'ORNL: AI for Advanced Manufacturing' is a generic ORNL portfolio rollup ('improve manufacturing'). The 2025 row is a program-level entry, not a rename of the specific tool."
reject_rename,DOE,doe-position-description-tool,doe-scripting,high,2024 streamlines creation of federal position descriptions; 2025 'Scripting' is AI-powered Python code generation for groundwater models. Entirely unrelated. (The genuine 2025 successor is 'SmartPD Creator' — see notes.md.)
reject_rename,DOE,doe-scmc-aws-data-infrastructure,doe-doe-ai-data-infrastructure-system,medium,2024 is an SCMC AWS data-quality/governance automation system; 2025 uses generative AI and cloud infrastructure to improve the carbon capture and storage user experience. Both say 'data infrastructure' but solve different problems with different outputs.
reject_rename,DOE,doe-tritium-accountancy-for-fusione-energy,doe-ornl-ai-for-fusion-energy,medium,"2024 is a specific tritium-accountancy uncertainty/prediction framework for fusion plants; 2025 'ORNL: AI for Fusion Energy' is one of a series of generic ORNL portfolio rollups ('accelerate scientific discovery'). Not the same use case — the 2025 row is a coarse program-level entry, not a rename of the tritium tool."
confirm_rename,DOI,doi-critical-mineral-assessment-with-ai-support-criticalmaas,doi-darpas-criticalmaas-2024-inv-wo0000000108419-wo0000000096527,high,Both describe the USGS-DARPA CriticalMAAS AI-assisted critical-mineral assessment workflow; the 2025 row carries the matching [2024 INV#] stamp.
confirm_rename,DOI,doi-flow-photo-explorer-to-estimate-flow,doi-usgs-flow-photo-explorer-2024-inv-wo0000000109196,high,"Both describe the USGS Flow Photo Explorer, an AI/ML platform estimating streamflow from timelapse imagery; the 2025 row carries the matching [2024 INV#WO0000000109196] stamp."
confirm_rename,DOI,doi-predictions-of-pfas-concentrations-in-groundwater,doi-pfas-groundwater-model,high,"Both describe a USGS random-forest/boosted-tree model predicting PFAS concentrations in groundwater across the CONUS to guide where sampling is needed. Same system, renamed."
confirm_rename,DOI,doi-probabilistic-source-classification-of-large-tephra-producing-eruptions-using-su,doi-tephra-classification-with-machine-learning-2024-inv-wo0000000109095,high,Both probabilistically classify volcanic tephra layers to their source volcano using ML ensembles on geochemistry; the 2025 row carries the matching [2024 INV#WO0000000109095] stamp.
confirm_rename,DOI,doi-synthesizing-mapping-and-monitoring-data-to-inform-prairie-dog-management-in-nat,doi-synthesizing-mapping-and-monitoring-data-to-understand-fluctuations-in-prairie-d,high,"Both synthesize mapping/monitoring data on prairie dog colony size at Theodore Roosevelt National Park; the 2025 row carries the matching [2024 INV#WO0000000109308] stamp. Same use case, renamed."
reject_rename,DOI,doi-adobe-firefly-generative-images,doi-document-review-platform-generative-ai,high,2024 Adobe Firefly generates artistic nature sketches for an NPS StoryMap; 2025 applies generative AI to FOIA document review. Unrelated despite both being 'generative AI'.
reject_rename,DOI,doi-ai-ml-for-aquatic-science,doi-machine-learning-for-bat-acoustics,high,"2024 is individual fish recognition via computer vision; 2025 is bat acoustic species classification. Different taxa, data, and models."
reject_rename,DOI,doi-analytical-chemistry-geologic-resources-identification-from-laser-spectroscopy,doi-general-land-office-records-modernization,high,2024 identifies geologic resources from laser spectroscopy; 2025 does OCR/NLP on land-record documents. Unrelated.
reject_rename,DOI,doi-analytical-chemistry-geologic-resources-identification-from-x-rays,doi-pathogen-identification-in-salmon,high,2024 determines rock composition from X-ray analytical chemistry; 2025 identifies Ichthyophonus pathogen in salmon via transcriptomics. Unrelated.
reject_rename,DOI,doi-annual-national-land-cover-database-deep-learning,doi-global-detection-of-historical-harmful-algal-blooms-via-combined-satellite-data-,high,2024 maps annual land cover via geospatial AI; 2025 detects historical harmful algal blooms globally. Different products.
reject_rename,DOI,doi-applying-deep-learning-to-detect-and-classify-ocean-wildlife,doi-using-deep-learning-to-classify-potential-piping-plover-habitat-along-the-upper-,medium,2024 is FWS/BOEM marine bird and wildlife detection from aerial imagery; 2025 is USACE piping plover habitat classification on the Missouri River. Different programs and outputs.
reject_rename,DOI,doi-articulate-training-develpment-ai-add-on,doi-user-guides-training-provided-in-chat-form,medium,2024 is an Articulate text-to-speech add-on for OEM course creation; 2025 makes user guides queryable via chat. Both touch 'training' but are different tools and bureaus.
reject_rename,DOI,doi-automating-blood-smear-cell-counts-using-machine-learning,doi-refining-flood-risk-predictions-in-hawai-i-with-generative-machine-learning,high,2024 classifies white-blood-cell types in fish blood smears; 2025 is generative-ML flood-risk downscaling for Hawaii. Unrelated.
reject_rename,DOI,doi-automating-blood-smear-cell-counts-using-machine-learning-2,doi-pawsc-ecotoxicology-pfas-machine-learning-2024-inv-wo0000000112908,high,2024 classifies fish blood-smear cells; 2025 PAWSC assesses PFAS ecological health risk in streams. The INV# stamp references a different 2024 row; fuzzy mispair.
reject_rename,DOI,doi-azure-based-internal-controls-testing-app-for-award-descriptions,doi-automated-power-line-extraction-using-deep-learning,high,2024 is a grants internal-controls testing app; 2025 extracts power lines from imagery via deep learning. No overlap.
reject_rename,DOI,doi-building-capacity-for-assessment-and-prediction-of-post-wildfire-water-availabil,doi-wildfire-risk-assessment-predictive-modeling,medium,2024 forecasts post-wildfire water-quality impacts (sediment/salinity); 2025 assesses fire risk potential from fuel/weather conditions. Different problem despite shared 'wildfire' term.
reject_rename,DOI,doi-caseguard-studio,doi-google-cloud-vision-2024-inv-wo0000000154445,high,2024 CaseGuard Studio redacts law-enforcement video/audio; 2025 uses Google Cloud Vision to extract text from topographic maps. The INV# stamp references a different 2024 row.
reject_rename,DOI,doi-classifying-gps-data-to-understand-flight-behavior-of-birds-2,doi-mapping-vegetation-classes-to-understand-wildfire-fuel-conditions,high,2024 classifies eagle GPS data for wind-turbine collision risk; 2025 maps vegetation classes for wildfire fuel conditions. Unrelated.
reject_rename,DOI,doi-coastal-ecosystem-prediction-system,doi-harmful-algal-bloom-prediction-and-detection-system-for-williams-fork-reservoir-,high,2024 projects wetland vulnerability to sea-level rise; 2025 predicts/detects harmful algal blooms at Williams Fork Reservoir. Different problems; the 2025 INV# stamp points elsewhere.
reject_rename,DOI,doi-cost-estimation-using-edl-database-data,doi-national-land-cover-database-nlcd-2024-inv-wo0000000107887,high,"2024 estimates environmental remediation costs from the EDL database; 2025 NLCD is a deep-learning land-cover dataset. The INV# stamp references a different 2024 row, confirming a fuzzy mispair."
reject_rename,DOI,doi-data-driven-approaches-to-filling-missing-time-series-data-within-the-san-franci-2,doi-use-modern-ai-ml-approaches-to-gain-insight-into-usgs-unstructured-data-such-as-,high,2024 fills gaps in San Francisco Bay-Delta time-series data; 2025 applies RAG to USGS unstructured text. Different data and methods; the 2025 INV# stamp references a different row.
reject_rename,DOI,doi-data-driven-streamflow-forecasting,doi-an-integrated-sensor-network-and-data-driven-approach-to-satellite-remote-sensin,high,2024 is 10-day streamflow forecasting; 2025 is satellite remote sensing of dissolved organic matter in water. Different problems.
reject_rename,DOI,doi-data-driven-sub-seasonal-forecasting-of-temperature-and-precipitation,doi-patterns-in-the-landscape-analyses-of-cause-and-effect,high,2024 is sub-seasonal temperature/precipitation forecasting via prize competitions; 2025 is ML satellite-image classification of flood/fire events. Unrelated.
reject_rename,DOI,doi-development-of-a-ploidy-distinction-application-a-machine-learning-approach-for-,doi-improving-recreation-opportunities-and-access-to-public-lands-through-machine-le,high,2024 distinguishes carp ploidy from blood-smear imagery; 2025 estimates traffic for recreation/transportation planning. Unrelated.
reject_rename,DOI,doi-doichatgpt-ai-chatbot,doi-voiceatlas-no-code-chatbot-framework,high,DOIChatGPT is a department-wide Azure OpenAI chat behind DOI's security boundary; VoiceAtlas is a separate USGS no-code chatbot-building product for non-technical staff. Different systems.
reject_rename,DOI,doi-doichatgpt-api-management-development-environment,doi-office-of-grants-management-pgm-grants-utility-tool,high,2024 is a DOIChatGPT APIM dev/training environment; 2025 is a PGM grants lifecycle compliance tool. No shared system.
reject_rename,DOI,doi-doichatgpt-api-management-instance,doi-adaptive-management-with-ammonitor,high,2024 is an Azure APIM service layer for DOIChatGPT; 2025 AMMonitor is automated species identification from remote-sensed images/audio. Unrelated.
reject_rename,DOI,doi-downscaling-and-assimilation-of-meteorology-data-for-local-estimates-of-irrigati,doi-feature-extraction-and-characterization-for-update-of-the-national-map,high,2024 downscales meteorology data for irrigation water-demand estimates; 2025 extracts map features to update The National Map. Unrelated.
reject_rename,DOI,doi-enhancing-migratory-bird-surveys-with-thermal-imagery-and-deep-learning,doi-implementation-of-artificial-intelligence-to-estimate-population-size-of-a-migra,medium,"Both are USFWS migratory-bird thermal-imagery deep-learning surveys, but the 2025 row carries an INV# stamp (DOI-67) referencing a distinct 2024 row and addresses a different survey-variability problem. Treated as a separate use case to avoid a wrong link."
reject_rename,DOI,doi-extracting-analysis-ready-information-from-narrative-geologic-descriptions,doi-water-time-series-record-automation-framework-development,high,2024 extracts structured info from narrative geologic descriptions via LLM; 2025 automates water time-series record correction. Different domains.
reject_rename,DOI,doi-hotlink-the-volcanic-hotspot-learning-and-identification-network,doi-machine-learning-for-rapid-earthquake-magnitude-estimation,high,"2024 HotLINK detects volcanic thermal emissions; 2025 estimates earthquake magnitude for early warning. Different hazards. (HotLINK's true 2025 continuation is doi-hotlink-identifying-elevated-thermal-anomalies, a separate row.)"
reject_rename,DOI,doi-hydrograhy-feature-extraction-from-remotely-sensed-data,doi-frog-vocalization-recognition-from-digital-recordings,high,2024 extracts surface-water hydrography features from imagery; 2025 recognizes frog calls in audio recordings. Unrelated.
reject_rename,DOI,doi-improved-earthquake-detection-for-research-studies-2,doi-diploid-detector-triploid-tracker-for-grass-carp,high,2024 improves deep-learning earthquake detection; 2025 determines ploidy of invasive grass carp. Entirely unrelated.
reject_rename,DOI,doi-improved-point-cloud-classification-of-3dep-lidar-data-using-deep-learning-model,doi-automated-identification-of-ducks-from-hunter-submitted-photos-using-deep-learni,high,2024 classifies 3DEP lidar point clouds; 2025 identifies duck species from hunter photos. Unrelated despite both using deep learning.
reject_rename,DOI,doi-improving-uas-derived-photogrammetric-data-and-analysis-accuracy-and-confidence-,doi-machine-learning-for-high-resolution-downscaling-in-the-hawaiian-islands,high,2024 improves UAS photogrammetric data analysis for Reclamation assets; 2025 downscales rainfall models in Hawaii. Unrelated.
reject_rename,DOI,doi-intelligent-national-map-project,doi-target-discrimination-on-portable-radar,high,2024 is the Intelligent National Map self-updating mapping vision; 2025 discriminates radar targets (animals vs precipitation). Unrelated.
reject_rename,DOI,doi-internal-controls-testing-sam-gov-certifications,doi-machine-learning-for-stream-velocity-prediction,high,2024 scores SAM.gov certification PDFs for grants; 2025 predicts stream velocity from streamflow attributes. Unrelated.
reject_rename,DOI,doi-inventorying-landforms-with-convolutional-neural-networks-2,doi-hotlink-identifying-elevated-thermal-anomalies-at-volcanoes-2024-inv-wo000000010,high,2024 inventories landforms with CNNs from lidar; 2025 HOTLink detects volcanic thermal anomalies. The INV# stamp references a different 2024 row (the volcanic HotLINK use case).
reject_rename,DOI,doi-knowledge-graph-development,doi-using-graph-neural-networks-for-development-of-nonergodic-earthquake-ground-moti,high,2024 develops knowledge graphs for information interoperability via NLP; 2025 uses graph neural networks for earthquake ground-motion models. 'Graph' is the only overlap.
reject_rename,DOI,doi-landform-mapping-geoai,doi-landfire,high,2024 is GeoAI landform mapping with active learning; 2025 LANDFIRE is a long-running vegetation/fuels mapping program. Different products.
