use_case_id_2024,tagged_by_agent,quality_flags_json,reasoning,confidence,entry_type,is_generative_ai,ai_sophistication,deployment_scope,is_general_llm_access,is_coding_tool,tool_product_name,tool_vendor
34230,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34243,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34252,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34265,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34266,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34268,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster classical_ml->agentic,medium,,,,,,,,
34269,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34271,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster classical_ml->general_llm,medium,,,,,,,,
34274,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster classical_ml->general_llm,medium,,,,,,,,
34312,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34325,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34326,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34327,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34328,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers),low,,,,,,,,
34329,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system; scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34330,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->product_deployment; scope grew narrow->broad (pilot->bureau); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34335,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34336,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34338,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34339,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34340,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system; scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34342,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted custom_system->product_deployment,medium,,,,,,,,
34348,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34350,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34380,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
34381,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster classical_ml->general_llm; entry_type also shifted generic_use_pattern->custom_system; scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34382,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34384,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34385,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted generic_use_pattern->product_deployment; scope grew narrow->broad (pilot->bureau); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34386,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted custom_system->product_deployment,medium,,,,,,,,
34388,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; scope grew narrow->broad (pilot->bureau); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34389,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted generic_use_pattern->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
34390,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34391,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted generic_use_pattern->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
34394,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34395,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34399,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (team->bureau); likely real rollout,medium,,,,,,,,
34401,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
34402,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34403,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
34404,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34407,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; scope grew narrow->broad (pilot->bureau); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34413,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34416,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34417,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
34421,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34422,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (team->enterprise_wide); likely real rollout,medium,,,,,,,,
34423,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34424,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34430,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34445,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
34458,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34475,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34476,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34490,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster predictive_analytics->general_llm,medium,,,,,,,,
34491,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34496,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
34516,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34540,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34568,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34610,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34622,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34629,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster nlp_specific->general_llm; entry_type also shifted generic_use_pattern->custom_system,medium,,,,,,,,
34630,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster nlp_specific->general_llm; entry_type also shifted generic_use_pattern->product_deployment,medium,,,,,,,,
34633,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34638,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster nlp_specific->general_llm; entry_type also shifted generic_use_pattern->custom_system,medium,,,,,,,,
34640,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster computer_vision->general_llm,medium,,,,,,,,
34642,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34662,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->bespoke_application,medium,,,,,,,,
34699,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34700,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted bespoke_application->product_deployment,medium,,,,,,,,
34703,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system,medium,,,,,,,,
34716,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (office->enterprise_wide); likely real rollout,medium,,,,,,,,
34724,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
34725,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34739,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (office->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34740,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34741,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (office->enterprise_wide); likely real rollout,medium,,,,,,,,
34742,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted product_deployment->bespoke_application; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34744,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster classical_ml->agentic; entry_type also shifted product_deployment->bespoke_application; scope grew narrow->broad (office->enterprise_wide); likely real rollout,medium,,,,,,,,
34745,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34746,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (office->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34747,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (office->enterprise_wide); likely real rollout,medium,,,,,,,,
34748,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34750,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34751,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34752,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34753,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34754,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34755,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34757,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34758,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34759,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34762,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34772,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34773,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34774,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34775,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34776,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34778,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34779,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34780,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34781,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34782,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34783,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34784,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34785,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34786,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34787,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34791,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34792,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34793,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34795,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34796,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34797,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34798,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34799,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34800,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34801,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34802,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34811,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34812,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34813,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34814,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34815,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34816,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34817,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34818,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34819,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34821,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34825,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34826,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34827,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34831,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted product_deployment->custom_system; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34833,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34834,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34836,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34838,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34844,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34848,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34851,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34854,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34859,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34860,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34861,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34863,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34865,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34866,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34883,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34884,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster general_llm->classical_ml; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34885,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34888,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster general_llm->nlp_specific; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34893,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster general_llm->nlp_specific; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34894,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34896,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster classical_ml->general_llm; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34903,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
