use_case_id_2024,tagged_by_agent,quality_flags_json,reasoning,confidence,entry_type,is_generative_ai,ai_sophistication,deployment_scope,is_general_llm_access,is_coding_tool,tool_product_name,tool_vendor
34731,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml,medium,,,,,,,,
34735,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift nlp_specific→general_llm; 2024 missed generative AI signals present in narrative,medium,product_deployment,1,general_llm,office,1,0,Microsoft Teams,Microsoft
34738,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift computer_vision→general_llm,medium,,,,,,,,
34743,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; scope office→enterprise_wide (≥2 tiers); scope rollout office→enterprise_wide,high,,,,,,,,
34749,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34756,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,high,,,,,,,,
34777,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→nlp_specific; scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34788,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34789,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,high,,,,,,,,
34790,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,high,,,,,,,,
34794,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34803,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34804,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34808,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift general_llm→nlp_specific; scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34835,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34837,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic; scope bureau→enterprise_wide (≥2 tiers); 2024 missed generative AI signals present in narrative; 2024 tagged classical_ml; narrative + 2025 indicate LLM-class,medium,custom_system,1,agentic,bureau,0,0,,
34841,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→nlp_specific; scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,high,,,,,,,,
34843,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,high,,,,,,,,
34847,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,high,,,,,,,,
34857,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml; scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34867,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34886,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34887,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift general_llm→classical_ml; scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34891,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34892,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34897,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34900,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34902,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34905,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",ai_sophistication LLM-class shift classical_ml→general_llm; scope bureau→enterprise_wide (≥2 tiers); 2024 tagged classical_ml; narrative + 2025 indicate LLM-class,medium,bespoke_application,0,general_llm,bureau,1,0,,
34912,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34913,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",ai_sophistication general_llm→agentic (LLM→agentic uplift); scope bureau→enterprise_wide (≥2 tiers); general_llm→agentic = maturity uplift,high,,,,,,,,
34915,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,high,,,,,,,,
34920,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,high,,,,,,,,
34927,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34958,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
35009,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml; scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,high,,,,,,,,
35012,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→nlp_specific,medium,,,,,,,,
35039,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35040,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift general_llm→classical_ml,medium,,,,,,,,
35041,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift general_llm→classical_ml,medium,,,,,,,,
35051,wave2a-renamed-split,"[""material_divergence""]",scope enterprise_wide→bureau (≥2 tiers),medium,,,,,,,,
35065,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift nlp_specific→agentic,medium,,,,,,,,
35161,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml,medium,,,,,,,,
35166,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",ai_sophistication general_llm→agentic (LLM→agentic uplift); general_llm→agentic = maturity uplift,high,,,,,,,,
35380,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",ai_sophistication general_llm→agentic (LLM→agentic uplift); general_llm→agentic = maturity uplift,high,,,,,,,,
35424,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift nlp_specific→general_llm,medium,,,,,,,,
35468,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml,medium,,,,,,,,
35479,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→nlp_specific,medium,,,,,,,,
35618,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift classical_ml→agentic,medium,,,,,,,,
35624,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml,medium,,,,,,,,
35629,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic,medium,,,,,,,,
35631,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic,medium,,,,,,,,
35632,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",ai_sophistication general_llm→agentic (LLM→agentic uplift); general_llm→agentic = maturity uplift,high,,,,,,,,
35633,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift general_llm→nlp_specific,medium,,,,,,,,
35637,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35643,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35650,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",ai_sophistication LLM-class shift general_llm→nlp_specific; scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35679,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35683,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35685,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35688,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",ai_sophistication LLM-class shift classical_ml→general_llm; 2024 tagged classical_ml; narrative + 2025 indicate LLM-class,medium,product_deployment,0,general_llm,bureau,1,0,,
35692,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1,medium,,,,,,,,
35695,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",ai_sophistication general_llm→agentic (LLM→agentic uplift); general_llm→agentic = maturity uplift,high,,,,,,,,
35704,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml; scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35711,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",ai_sophistication general_llm→agentic (LLM→agentic uplift); general_llm→agentic = maturity uplift,high,,,,,,,,
35717,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35721,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic,medium,,,,,,,,
35739,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35755,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml,medium,,,,,,,,
35767,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml,medium,,,,,,,,
35770,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→nlp_specific,medium,,,,,,,,
35773,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",ai_sophistication general_llm→agentic (LLM→agentic uplift); general_llm→agentic = maturity uplift,high,,,,,,,,
35780,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml,medium,,,,,,,,
35781,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift computer_vision→agentic,medium,,,,,,,,
35786,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35793,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1,medium,,,,,,,,
35796,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35811,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml,medium,,,,,,,,
35838,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
35844,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift classical_ml→agentic,medium,,,,,,,,
35900,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1,medium,,,,,,,,
35911,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1,medium,,,,,,,,
35923,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift computer_vision→agentic,medium,,,,,,,,
35924,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift computer_vision→general_llm,medium,,,,,,,,
35939,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift nlp_specific→general_llm,medium,,,,,,,,
35942,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift nlp_specific→general_llm,medium,,,,,,,,
35953,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→general_llm; 2024 tagged classical_ml; narrative + 2025 indicate LLM-class,medium,product_deployment,1,general_llm,bureau,1,0,Aretec SEARCH,Aretec
35967,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic; 2024 missed generative AI signals present in narrative,medium,custom_system,1,agentic,bureau,0,0,,
35968,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic; 2024 missed generative AI signals present in narrative,medium,custom_system,1,agentic,bureau,0,0,,
35973,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",ai_sophistication general_llm→agentic (LLM→agentic uplift); general_llm→agentic = maturity uplift,high,,,,,,,,
35976,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic,medium,,,,,,,,
35980,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→nlp_specific,medium,,,,,,,,
35988,wave2a-renamed-split,"[""material_divergence""]",entry_type generic_use_pattern→product_deployment,medium,,,,,,,,
35990,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35992,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; entry_type generic_use_pattern→product_deployment,medium,,,,,,,,
36003,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",ai_sophistication LLM-class shift predictive_analytics→general_llm; 2024 tagged predictive_analytics; narrative + 2025 indicate LLM-class,medium,product_deployment,0,general_llm,bureau,1,0,,
36022,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic,medium,,,,,,,,
36069,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
36070,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
36071,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
36073,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
36074,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→nlp_specific; scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
36075,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→nlp_specific; scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
36077,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift nlp_specific→general_llm,medium,,,,,,,,
36078,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
36079,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
36086,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",entry_type generic_use_pattern→custom_system; scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
36106,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→general_llm; 2024 tagged classical_ml; narrative + 2025 indicate LLM-class,medium,product_deployment,1,general_llm,bureau,1,0,,
36124,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
36129,wave2a-renamed-split,"[""material_divergence""]",entry_type generic_use_pattern→bespoke_application; scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
36143,wave2a-renamed-split,"[""material_divergence""]",entry_type generic_use_pattern→bespoke_application,medium,,,,,,,,
36178,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift nlp_specific→general_llm,medium,,,,,,,,
36179,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
