queue_id,use_case_id,source_text,decision,mapped_canonical_product,proposed_new_product_name,proposed_vendor,confidence,search_attempted,search_query,evidence_url,notes
3155,7533,IBM ARGOS (Automated Real-Time Global Organization Specialist) Automated Realtime Global Organization Specialist (ARGOS) for Company Registration Submissions to E-Verify The goal of the use case is to leverage sentiment analysis in ARGOS to streamline the process and accelerate work for the individual who is researching a company that has submitted its information for registration to E-Verify.,seed_new_alias,,IBM ARGOS,IBM,high,no,,db_row_7533,already proposed in earlier round; product_type=nlp
3156,7534,"IBM Verification Information System Verification Match Model By consolidating these into a single, unified Verification Match Model within a separate microservice, the use case aims to improve the accuracy of responses and reduce the need for manual review. ML plays a key role in the continuous improvement of these models, ultimately reducing the need for manual case reviews.",service_contractor_only,,,,medium,no,,db_row_7534,leading contractor names; no recognizable product
3157,7535,"Pluribus Digital Customer Profile Management System I-765 - USCIS Facial Recognition through IDENT (1:1 Face Recognition/Validation) Using the Automated Biometric Identification System (IDENT) makes this process nearly instant and greatly enhances processing efficiency without compromising the effectiveness of current identity verification methods. Additionally, new rules created by the FBI’s Compact Council require biometric verification to perform fingerprint resubmissions for different filing reasons than the original fingerprint capture. Facial verification brings USCIS into compliance with this rule change. Furthermore, performing facial verification increases the integrity of information and identities by identifying conflicts early on, preventing issues from becoming pervasive across immigration systems.",service_contractor_only,,,,medium,no,,db_row_7535,leading contractor names; no recognizable product
3158,7536,"MetroIBR Person Centric Identity Services Person-Centric Identity Services Deduplication Model Critical to the success of PCIS is the entity resolution and de-deduplication of individual records from various systems of records to create a complete picture of a person. Using machine learning (ML), the model can identify which case management records belong to the same unique individual with a high degree of confidence. This allows PCIS to compile a full immigration history for an individual without the need for time-consuming research across multiple disparate systems. The de-duplication model plays a critical role in the entity resolution and surfacing of a person and all their associated records. The ML models are more resilient to fuzzy matches and handle varying data fill rates more reliably.",service_contractor_only,,,,medium,no,,db_row_7536,leading contractor names; no recognizable product
3159,7538,"Elder Research Inc, DevTech Systems Inc., Guidehouse ATAP The Advanced Trade Analytics Platform (ATAP) ATAP aims to provide insights into trends and behaviors in trade activity to support a proactive risk management and enforcement posture in the agency’s mission execution.",service_contractor_only,,,,medium,no,,db_row_7538,leading contractor names; no recognizable product
3160,7539,"Dataminr Dataminr Public Information Compilation for Travel Threat Analysis (Dataminr) Provides situational awareness of open-source social media and news reporting to enhance CBP Screening, Vetting and security of the homeland.",seed_new_alias,,Dataminr First Alert,Dataminr,high,no,,db_row_7539,already proposed in earlier round; product_type=social_listening
3161,7540,"Airship TECS CLOUD Airship Outpost for Conveyance Identification CBP must efficiently and accurately identify and document cross-border conveyances (aircraft, vessels, automobiles).",map_to_existing,Airship AI Platform,,,high,no,,db_row_7540,alias match: 'airship'
3162,7544,PDRI  Customs Broker License Exam - Proctor Support Detect potential cheating during the Customs Broker License Exam.,service_contractor_only,,,,medium,no,,db_row_7544,leading contractor names; no recognizable product
3163,7547,"JHU APL  Vessel Detection The system uses AI-enhanced technologies and analytics to improve maritime detection and tracking in areas with significant trade and recreational water vessel activity. The system increases situational awareness and responsiveness to potential threats, assisting human operators in identifying and classifying vessels of interest. Agents can define a search area with specific criteria, which is transmitted to sensors. Detected images are analyzed by AI algorithms that filter, detect, and categorize objects into Items of Interest (IoI) or other objects. IoIs are shared across detection systems and tracked seamlessly across multiple sensors, while non-relevant objects are excluded. This approach enhances efficiency in detecting and addressing IoIs, particularly during high-traffic periods, by providing alerts and tracking information to human operators.",service_contractor_only,,,,medium,no,,db_row_7547,leading contractor names; no recognizable product
3164,7550,"ManTech Automated Targeting System (ATS) Passport Anomaly Model The Passport Anomaly Model addresses challenges stemming from the lack of formal notification regarding updates to passport series, such as issuance of new series or expiration of old ones. By analyzing historical trends, the model evaluates whether a passport exhibits typical or atypical characteristics and alerts officers when further scrutiny may be warranted. This capability enhances the integrity of travel document verification by enabling CBP personnel to conduct thorough and efficient reviews, ensuring security and accuracy in the inspection process.",service_contractor_only,,,,medium,no,,db_row_7550,leading contractor names; no recognizable product
3165,7552,ManTech Automated Targeting System (ATS) Trade Entity Risk Model The need to continuously assess and identify trade entity risk to help better assess cargo threats.,service_contractor_only,,,,medium,no,,db_row_7552,leading contractor names; no recognizable product
3166,7553,Sandia National Laboratories Repository for Analytics in a Virtualized Environment Investigative Prioritization Aggregator This use case intends to solve the problem of overwhelming data volumes that make it difficult for HSI personnel to prioritize high-value targets in criminal investigations.,service_contractor_only,,,,medium,no,,db_row_7553,leading contractor names; no recognizable product
3167,7554,"Booz Allen Repository for Analytics in a Virtualized Environment, Translation and Transcription for Investigative Data This use case intends to solve the problem of the time-consuming process of translating and transcribing data for investigative purposes.",service_contractor_only,,,,medium,no,,db_row_7554,leading contractor names; no recognizable product
3168,7556,"Law Enforcement Sensitive (LES)  Dark Web Threat Intelligence for Cyber Investigations This use case intends to solve the problem of quickly identifying and summarizing relevant cyber threat data from the dark web, which can be difficult and time-consuming for analysts.",service_contractor_only,,,,high,no,,db_row_7556,no product name; redacted/N/A/internal-only string
3169,7560,BI ISAP IV (SmartLink) IATSS Biometric Check-in for ATD-ISAP (SmartLINK) This use case intends to solve the problem of the need for frequent in-person check-ins for participants in the ATD-ISAP program.,seed_new_alias,,BI SmartLINK,BI Incorporated,high,no,,db_row_7560,already proposed in earlier round; product_type=biometrics
3170,7561,CANDA Solutions Vetting Identities for an Enterprise Workforce User and Entity Behavior Analytics (UEBA) The Continuous Vetting Analytics Service (CVAS) sub-system in the Vetting Identities for an Enterprise Workforce (VIEW) system of record will solely be used to aggregate information provided by or authorized to be collected by an DHS applicant and then presents the aggregated information in a structured manner and present it to personnel security adjudicative specialist to help them prioritize workload and improve review processes.,service_contractor_only,,,,medium,no,,db_row_7561,leading contractor names; no recognizable product
3171,7562,"Pluribus Digital Biometrics Enrollment Tool Biometrics Enrollment Tool (BET) Fingerprint Quality Check This effort aims to maximize the number of successful FBI submissions while minimizing the number of fingerprint recaptures necessary. The output is a Numerical Fingerprint Quality score, which is compared against fingerprint quality thresholds (per finger and per set of fingerprints) to align with FBI specifications.",service_contractor_only,,,,medium,no,,db_row_7562,leading contractor names; no recognizable product
3172,7563,SAIC and DV United ELIS Automated Name and Date of Birth (DOB) Harvesting Service Adjudicators spend significant amount of time manually harvesting aliases and dates of birth (DOBs) from identity history summary (IdHS) report attached to the ELIS case as part of the Manual Name Harvesting Task during case processing.,service_contractor_only,,,,medium,no,,db_row_7563,leading contractor names; no recognizable product
3173,7564,SAIC and DV United ELIS ELIS Card Photo Validation Service The card photo validation solution was developed to validate each submitted photo against a set of business-defined requirements in near-real-time in order to eliminate rejections/RFEs for the user uploaded photos.,service_contractor_only,,,,medium,no,,db_row_7564,leading contractor names; no recognizable product
3174,7567,MetroIBR Person Centric Identity Services Person-Centric Identity Services Information Compilation Check The output of the use case is the numerical confidence score which is used to determine the validity of the A-number presented in search results. The confidence score identifies which records from within PCIS best match search criteria for an A-number.,service_contractor_only,,,,medium,no,,db_row_7567,leading contractor names; no recognizable product
3175,7570,"Starlo and Deloitte  Position Description Generation and Evaluation Federal agencies often face challenges in creating accurate, consistent, and well-structured position descriptions (PDs) due to limited resources, the time-intensive nature of the classification process, and varying levels of expertise among HR staff and Hiring Managers. Inaccurate or poorly written PDs can lead to misclassification, legal disputes, grievances, and difficulties attracting qualified candidates, ultimately impacting workforce quality and agency performance.",service_contractor_only,,,,medium,no,,db_row_7570,leading contractor names; no recognizable product
3176,7573,"Meta, OpenAI, Google, Anthropic  GenAI for Document Summarization and Content Generation Workforce enablement and efficiency through the implementation of Generative AI / Large Language Models (LLM)",ambiguous,,,,low,no,,db_row_7573,no canonical alias + no recognized new product + not clearly contractor/internal
3177,7579,"Microsoft  CISAChat Currently, retrieving and synthesizing content from hundreds of government documents is a slow, manual process. CISA users need the capability to answer questions, generate summaries, and produce textual responses efficiently using a broad range of information sources—from CISA publications to DHS mandates. AI can streamline and accelerate this workflow by automating information extraction and response generation.",service_contractor_only,,,,medium,no,,db_row_7579,leading contractor names; no recognizable product
3178,7580,"Nightwing Intelligence Solutions, LLC. Procurement Instrument ID affiliated with this use case: 70QS0124C00000002 Trusted Automated eXchange of Indicator Information server Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data To enhance privacy, this AI tool uses Natural Language Processing (NLP) to automatically flag potential PII for review and removal by CISA analysts.",service_contractor_only,,,,medium,no,,db_row_7580,leading contractor names; no recognizable product
3179,7582,"Microsoft (OpenAI part of Azure Commercial Cloud offerings) ReadyAI OCFO Code Assist GPT Code Assist Generative Pre-trained Transformer (GPT) is an internal facing Generative AI (GenAI) tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages (e.g., SQL, Java, COBOL). Users enter the language they are querying, and the Code Assist GPT then provides a proposed query based on the elements provided. If the query is unsuccessful, the tool maintains the session, allowing users to prompt for enhancements until expected results are achieved. At the end of the session, all prompts and queries are removed, and no data is stored outside of the active session. The tool provides improves query generation and rapid iteration, saving users 80-90% of the time compared to custom query development. It also supports various computer languages to assist the data analytics community.",map_to_existing,OpenAI API,,,high,no,,db_row_7582,alias match: 'openai'
3180,7588,"Illumio; AttackIQ; Cofense; Splunk; Crowdstrike; Polarity Xploitation Platform Leveraging Offensive Information Technology, Phishing Defense Solution, Audit Log Management Solution (ALMS), Endpoint Detection and Response, EMVEC Cybersecurity Threat Management, Detection, and Response This use case intends to solve the problem of detecting and responding to cybersecurity threats in a timely manner.",map_to_existing,Crowdstrike Falcon,,,high,no,,db_row_7588,alias match: 'crowdstrike'
3181,7593,"Booz Allen Repository for Analytics in a Virtualized Environment Normalization Services This use case intends to solve the problem of data redundancies, inconsistencies difficult to integrate data that hinders the efficiency and accuracy of investigations.",service_contractor_only,,,,medium,no,,db_row_7593,leading contractor names; no recognizable product
3182,7596,"Okta The DHS Next Generation Authentication as a Service (DHSAuthPortal) System AdaptiveMFA Enhances security and the user experience, including: Behavioral Anomaly Detection - AI monitors user activity over time to establish a baseline pattern of their behavior.  If a login attempt deviates significantly, such as logging in from a foreign country, unknown workstation, or disallowed IP address space, Okta can trigger Adaptive Multi-factor Authentication (aMFA) to block access. Adaptive MFA - Okta's AI-powered Adaptive MFA tailors security challenges based on risk level. Trusted users might only need a password, while high-risk users are prompted for biometric or application-based verification. Real-Time Threat Detection - Okta's integration with AI-driven threat intelligence platforms like CrowdStrike and Microsoft Defender enhance real-time visibility into threats, correlating data from endpoint, network, and identity layers. Access Governance with Intelligence - AI enables smarter access reviews and role recommendations.  It detects unusual access rights, flags overprovisioned users, and automatically suggests changes. AI is integrated into DHS's identity and access management solutions to strengthen security and enhance the user experience.",map_to_existing,Microsoft Defender,,,high,no,,db_row_7596,alias match: 'microsoft defender'
3183,7605,SAIC and DV United ELIS ELIS Evidence Classifier Service The adjudicators and contractors spends too much time sifting through digital evidence documents for relevant information.,service_contractor_only,,,,medium,no,,db_row_7605,leading contractor names; no recognizable product
3184,7607,Analytica and DV United USCIS Electronic Immigration System (ELIS) PDF Intake (PDFI) for myUSCIS Scanned PDFs submitted through MyUSCIS must be validated against form-specific business rules related to both the overall document and the contents of specific fields. Constructed a service that can process a scanned input document and return all information pertinent to these validation rules in a consistent structure (JSON) to a user-facing ELIS microservice. The GenAI powered library utilizes Amazon Bedrock – Anthropic Claude 3.7 Sonnet V1 Foundation Model to extract data from PDF forms.  The service provides ability to submit forms online through MyUSCIS UI to Lockbox instead of via mail.,map_to_existing,Claude,,,high,no,,db_row_7607,alias match: 'anthropic claude'
3185,7608,"Steampunk, Customer Value Partners LLC (CVP) and Alpha Omega Integration (AOI) Global AI Interview Simulator for Officer Training By simulating realistic applicant responses to officer questions, the AI Interview Simulator enables the RAIO trainees to refine their interview techniques without requiring any additional resources from experienced officer trainers or peers.",service_contractor_only,,,,medium,no,,db_row_7608,leading contractor names; no recognizable product
3186,7858,"GenAI platform and applications for general productivity SCOUT LLM helps staff create content, simplify complex topics, and explore new ideas while ensuring data security. It stays current with the rapidly evolving LLM landscape by offering access to top-tier models from OpenAI, Anthropic, Meta, among others. Additionally, it provides robust customization options to fine-tune outputs",ambiguous,,,,low,no,,db_row_7858,no canonical alias + no recognized new product + not clearly contractor/internal
3187,7889,Microsoft R&D User APT Analytics Automate analysis of atom probe tomography (APT) data for faster scientific insights.,agency_internal_system_name,,,,low,no,,db_row_7889,Big-tech vendor named but no specific AI product identified; treating as agency program
3188,7890,"Microsoft R&D User AI used for predictive modeling and real time control of traffic systems Produce high-quality, contextually relevant, and coherent responses or content based on user input.",service_contractor_only,,,,medium,no,,db_row_7890,leading contractor names; no recognizable product
3189,7892,"Microsoft R&D User Scalable, Efficient and Accelerated Causal Reasoning Operators, Graphs and Spikes for Earth and Embedded Systems (SEA-CROGS) Improving Information Access, Understanding, and Productivity through Language Automation",agency_internal_system_name,,,,low,no,,db_row_7892,Big-tech vendor named but no specific AI product identified; treating as agency program
3190,7896,Microsoft R&D User Use of developed ML techniques to parse opensource text-based information. Parse open-source text to define disadvantaged communities for energy transition planning.,service_contractor_only,,,,medium,no,,db_row_7896,leading contractor names; no recognizable product
3191,7897,Cisco R&D User AI techniques for identification of suitable delivery parking spaces in an urban scenario Identify optimal urban delivery parking spaces to support EV freight adoption.,agency_internal_system_name,,,,low,no,,db_row_7897,Big-tech vendor named but no specific AI product identified; treating as agency program
3192,7906,Microsoft R&D User Microsoft 365 Copilot (Productivity Suite) Automate and streamline productivity tasks in Microsoft 365 apps for staff efficiency.,map_to_existing,Microsoft 365 Copilot,,,high,no,,db_row_7906,alias match: 'microsoft 365 copilot'
3193,7907,"No Vendor Involved Authorization to Operate Amazon Web Service Federal Risk and Authorization Management Program Infrastructure as a Service Cloud Service Provider, Amazon Web Service Information System Security Plan, SD-006-CP-002/L2 NLCOO AI for Lessons Learned tool Provide best Lessons Learned based on the Problem a user is trying to address.",ambiguous,,,,low,no,,db_row_7907,no canonical alias + no recognized new product + not clearly contractor/internal
3194,7913,EnerGPT N/A DOE Technical Standards Aid employees in improving the quality and technical accuracy of their work products.,service_contractor_only,,,,high,no,,db_row_7913,no product name; redacted/N/A/internal-only string
3195,7920,"Special Technologies Laboratory (STL) Provisional Authorization to Operate (P-ATO) for the Methodology for Analyzing and Prioritizing Policy Requirements and Integrating Them for Effectiveness (MAPPRITE) MAPPRITE (1) The implemented AI will help automate data mining, ingesting, and indexing of existing disparate organizational data sources information for relevant safeguards and security (S&S) support information; and the (2) expected benefits will be to help",agency_internal_system_name,,,,medium,no,,db_row_7920,agency program/system acronym; vendor is contractor without product name
3196,7932,"Not available CS-SSP-123,Cybersecurity System Security Plan for Azure Platform AI for Intelligent Automation workplace automation",seed_new_alias,,Microsoft Azure Platform,Microsoft,high,no,,db_row_7932,pattern match; product_type=cloud_platform
3197,7947,OpenAI R&D User GitHub Copilot with the OpenAI Codex Accelerate coding tasks with AI-assisted code suggestions and automation.,map_to_existing,GitHub Copilot,,,high,no,,db_row_7947,alias match: 'github copilot'
3198,7951,"AWS, Azure, OpenAI NREL Stratus AWS Compute Environment, NREL Azure System, and NREL Google Cloud Platform Energy Wizard The tool aims to explore and extract meaningful insights from NREL's vast database of publications including but not limited to technical reports, presentations, and conference papers. There are over 56,000 publications in the NREL research hub and t",map_to_existing,Google Cloud Platform,,,high,no,,db_row_7951,alias match: 'google cloud platform'
3199,7952,"Amazon Web Services (hosting provider) Authorization to Operate Amazon Web Service Federal Risk and Authorization Management Program Infrastructure as a Service Cloud Service Provider, Amazon Web Service Information System Security Plan, SD-006-CP-002/L2 LANL AI Portal ""Democratized access to open-source/open-weights Large Language Models (LLMs) for general purpose office productivity, research of AI models, software development, operational streamlining, code development """,service_contractor_only,,,,medium,no,,db_row_7952,leading contractor names; no recognizable product
3200,7954,"OpenAI (SAAS hosting provider) ChatGPT Enterprise ChatGPT Enterprise ""General business productivity, research of AI models """,map_to_existing,ChatGPT,,,high,no,,db_row_7954,alias match: 'chatgpt enterprise'
3201,7964,Microsoft GSS Microsoft Bing Service N/A,service_contractor_only,,,,medium,no,,db_row_7964,leading contractor names; no recognizable product
3202,7971,Microsoft Hanford Accreditation Boundary (HAB) Microsoft Co-Pilot Better analytics of data in our microsoft applications,map_to_existing,Microsoft 365 Copilot,,,high,no,,db_row_7971,alias match: 'hanford accreditation boundary (hab) microsoft co-pilot'
3203,7977,Not available  ESH&Q NEPA App Not available,service_contractor_only,,,,high,no,,db_row_7977,no product name; redacted/N/A/internal-only string
3204,7980,"Open source development Not available ACORN (Autonomous Operation for Reactor Technologies) AI automatically identifies process models from simulation and operational data, solves for optimal control actions that can achieve user-defined objectives, executes actions and observes system responses",service_contractor_only,,,,high,no,,db_row_7980,no product name; redacted/N/A/internal-only string
3205,7982,"N/A - Open Source Integration vLLM - OpenSource model engine OpenShift - containerization platform GPT-OSS-120b - Opensource model OpenWebUI - Opensource front end Merlin - KCNSC Generative AI with RAG Intended to address the opportunity to enhance overall productivity. No definite 'problem' being solved, just capitalizing on an opportunity to leverage industry investment in generative AI broadly.",service_contractor_only,,,,high,no,,db_row_7982,no product name; redacted/N/A/internal-only string
3206,7991,TBD LMGSS Drone Imagery Analysis AI used to allow drone to improve human safety in imagery collection and analysis.,service_contractor_only,,,,medium,no,,db_row_7991,leading contractor names; no recognizable product
3207,7993,"Open Source development api.hpc.inl.gov VIPER (Visualizaiton for Predictive Maintenance Recommendation) VIPER presents comprehensive system health diagnostics, explainability metrics, and actionable recommendations to system engineers at nuclear power plants, enabling informed decision-making through an easy-to-use visualization interface. A multi-mode",service_contractor_only,,,,medium,no,,db_row_7993,leading contractor names; no recognizable product
3208,7996,University of Montana LMGSS Soil Moisture Modeling Machine learning  solves issues with soil moisture by enhancing accuracy and efficiency in data analysis,service_contractor_only,,,,medium,no,,db_row_7996,leading contractor names; no recognizable product
3209,8003,Microsoft GSS Microsoft Visual C++ Additional Runtime N/A,service_contractor_only,,,,medium,no,,db_row_8003,leading contractor names; no recognizable product
3210,8006,"SRNS - OT In House Staff  Computer Vision for Defect Detection ""To automate and enhance the detection of  visible defects in products, improving quality control and reducing production errors.""",service_contractor_only,,,,medium,no,,db_row_8006,leading contractor names; no recognizable product
3211,8009,"Not available  Nuclear Safety Analysis Safety, risk, and reliability analysis is performed by reactor designers, developers, and plant operators to ensure safe design and operation of the reactor and the plant; and is required by the regulators as part of license application. Performing s",service_contractor_only,,,,high,no,,db_row_8009,no product name; redacted/N/A/internal-only string
3212,8015,Not available  Safeguards Digital Twin This deals with international safeguars approaches.,service_contractor_only,,,,high,no,,db_row_8015,no product name; redacted/N/A/internal-only string
3213,8020,Elastic Enterprise Unclassified Network Main MISSP Elastic Stack Technology (ELK) Increase searchability of documents for information pertinent to the mission,service_contractor_only,,,,medium,no,,db_row_8020,leading contractor names; no recognizable product
3214,8022,"GitHub Hanford Accreditation Boundary (HAB) GitHub Co-Pilot quicker, more complete, and safer code development",map_to_existing,GitHub Copilot,,,high,no,,db_row_8022,alias match: 'hanford accreditation boundary (hab) github co-pilot'
3215,8026,Not available EDMS EDMS Admin Machine-readable information is difficult to quickly summarize by humans. By enabling summaries of information in our electronic document management system we have a previously-unavailable capability that addresses this problem.,service_contractor_only,,,,high,no,,db_row_8026,no product name; redacted/N/A/internal-only string
3216,8028,Microsoft GSS Microsoft Copilot N/A,map_to_existing,Microsoft 365 Copilot,,,high,no,,db_row_8028,alias match: 'microsoft copilot'
3217,8029,Not available optimus.hpc.inl.gov Project Optimus - Prime Contract Not available,service_contractor_only,,,,high,no,,db_row_8029,no product name; redacted/N/A/internal-only string
3218,8031,Raytheon BBN Technologies Enterprise Unclassified Network Main MISSP Raytheon Multimedia Monitoring System (M3S) Video transcript generation,service_contractor_only,,,,medium,no,,db_row_8031,leading contractor names; no recognizable product
3219,8040,Microsoft NR-NNL-CUI-ITN-PrimeNet_HA SpyglassGPT Chat Assistant Aid in routine administrative tasks,seed_new_alias,,SpyglassGPT,Unknown,high,no,,db_row_8040,pattern match; product_type=general_llm
3220,8043,"Microsoft CS-SSP-123,Cybersecurity System Security Plan for Azure Platform Microsoft CoPilot Generative AI tools like this solve the problem of time-consuming knowledge work by instantly providing expert-level assistance with writing, coding, research, and analysis. They automate repetitive tasks that require human expertise, allowing people",map_to_existing,Microsoft 365 Copilot,,,high,no,,db_row_8043,alias match: 'microsoft copilot'
3221,8046,Microsoft GSS Microsoft Visual C++ Redistributable N/A,service_contractor_only,,,,medium,no,,db_row_8046,leading contractor names; no recognizable product
3222,8054,Microsoft Microsoft Copilot Microsoft Copilot (Pilot) Improve general office productivity,map_to_existing,Microsoft 365 Copilot,,,high,no,,db_row_8054,alias match: 'microsoft copilot'
3223,8061,"SRNS - OT In House Staff  AI-Tailored Learning Management Solutions To improve the quality, relevance, and delivery of training materials, ensuring they are tailored and effective for users.",service_contractor_only,,,,medium,no,,db_row_8061,leading contractor names; no recognizable product
3224,8074,Microsoft GSS Microsoft MSPaint N/A,service_contractor_only,,,,medium,no,,db_row_8074,leading contractor names; no recognizable product
3225,8075,Not available  AGN-201 DT Aid safeguards analysts for determining if a reactor is being used in a non-declared way.,service_contractor_only,,,,high,no,,db_row_8075,no product name; redacted/N/A/internal-only string
3226,8077,"SRNS - OT In House Staff  AI Drafting of Operational Procedures and Training Materials ""To automate and enhance the drafting of operational  procedures and training materials, reducing time, effort, and errors.""",service_contractor_only,,,,medium,no,,db_row_8077,leading contractor names; no recognizable product
3227,8087,Open AI  QuantomVision Workforce upskilling,map_to_existing,ChatGPT,,,high,no,,db_row_8087,alias match: 'open ai'
3228,8096,"Tesseract LMGSS Georeference Figures AI-powered georeferencing will improve automation, speed, and efficiency. Manual georeferencing is expensive.",seed_new_alias,,Tesseract OCR,Open Source,high,no,,db_row_8096,pattern match; product_type=document_ai
3229,8103,Not available  Advanced Fuels Campaign Not available,service_contractor_only,,,,high,no,,db_row_8103,no product name; redacted/N/A/internal-only string
3230,8110,PEST LMGSS Groundwater Modeling Solves critical challenges in water modeling by providing forward-looking monitoring.,seed_new_alias,,PEST (Parameter Estimation),Open Source,high,no,,db_row_8110,pattern match; product_type=scientific_ml
3231,8113,"Open source  MOOSE-LLM Tools like MOOSE for multiphysics modeling have a steep learning curve. They demand considerable domain-specific knowledge, which makes it hard for newcomers to get started.",service_contractor_only,,,,medium,no,,db_row_8113,leading contractor names; no recognizable product
3232,8114,"Not available CS-SSP-123,Cybersecurity System Security Plan for Azure Platform DevSec Ops AI Not available",seed_new_alias,,Microsoft Azure Platform,Microsoft,high,no,,db_row_8114,pattern match; product_type=cloud_platform
3233,8119,Microsoft GSS Microsoft Visual C++ Minimum Runtime N/A,service_contractor_only,,,,medium,no,,db_row_8119,leading contractor names; no recognizable product
3234,8124,AWS Multiple LISA Chatbot Pilot Quick access to specific mission data sets and documentation,agency_internal_system_name,,,,low,no,,db_row_8124,Big-tech vendor named but no specific AI product identified; treating as agency program
3235,8126,Not available  Climate Weather Data Not available,service_contractor_only,,,,high,no,,db_row_8126,no product name; redacted/N/A/internal-only string
3236,8128,"Microsoft Copilot Microsoft Copilot Pilot Quick access to self-generated (Documents, Emails, Files) knowledge and business productivity.",map_to_existing,Microsoft 365 Copilot,,,high,no,,db_row_8128,alias match: 'microsoft copilot pilot'
3237,8129,Not available  EES&T Document Processing Not available,service_contractor_only,,,,high,no,,db_row_8129,no product name; redacted/N/A/internal-only string
3238,8141,"Copilot Studio Copilot Studio will help NNL build custom AI agents that automate repetitive tasks, answer common questions, and streamline workflows across departments, all without requiring deep coding expertise.",map_to_existing,Microsoft Copilot Studio,,,high,no,,db_row_8141,alias match: 'copilot studio'
