use_case_id,agency,use_case_name,vendor_name,system_name,development_type,ai_classification,problem_statement,expected_benefits,pre_classification
78503,VA,Disability Benefits Document Classifier,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,"As a Veteran submitting documents to support a claim, I want the VA to automatically classify my uploads so that I can avoid confusing dropdowns and feel confident my evidence will be reviewed and processed correctly. The burden currently rests with Veterans to classify/label their documents on VA.gov after manually uploading them. As a result: - Veterans face confusing submission experiences - Veterans overuse the ""other/correspondence"" document label - Veteran Service Representatives (VSRs) waste time opening mislabeled files in the Veterans Benefits Management System (VBMS) eFolder - Automation systems ignore incorrectly labeled evidence or misroute it (causing delays of up to 26 days)","Automating this manual task saves time for Veterans applying for benefits, VSRs processing claims, and increases throughput and accuracy of downstream automation systems.",va_dark
78504,VA,Paid & Due Auto Calculation,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,"The Paid & Due Audit calculation is currently a manual process that is both complicated and time consuming. However, the use of Agentic AI will allow VA to automate portions of the data collection and audit calculation process, accelerating the results of each Paid & Due Audit and lessening the impact of manual errors.","Accelerated data collection, increased accuracy, and quicker results for each Paid & Due Audit calculation.",va_dark
78505,VA,Summarization of Clinical Data,,,,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Give a provider a summarized status of the patient and what has happened to the patient since they last saw the Veteran.,Decreased provider burden and increased time the provider can dedicate to the Veteran during the encounter through increased efficiency.,va_dark
78506,VA,CCN Provider Directory,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,"Reduce the need for manual review of a large (1.5M+ providers, 9M+ provider services) dataset of provider information to categorize or perform data governance functions.","Maintaining a highly accurate and properly categorized dataset of VA and Community Providers actively providing healthcare to our Veterans ensures accurate and timely Veteran referrals, appointment scheduling, and facilitation of healthcare program service authorization. Additionally, applying AI to the consolidated Provider dataset allows critical federal review of provider activity and enables discovery of fraud, waste, and abuse for the program.",va_dark
78508,VA,Xtract WDS - OSLE,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Heat map detection for weapon detection software.,"The AI assisted Weapon Detection System will be used to detect weapons and alert staff. This would aid in ensuring the area is safe and secure for Veterans, Visitors, and Employees.",va_dark
78509,VA,Automated Ratings Summarization,,,,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).","We are attempting to reduce the claims backlog and processing time. Additionally, there is a large volume of documentation on a Veteran's record - this tool is intended to reduce the amount of time a claim processor spends sorting through documentation relevant to a Veteran's claimed issue.","- Increased efficiency and lower time to decision on a benefits claim for a Veteran - Improve the quality of decisions, which can ultimately result in a decrease in appeals",va_dark
78510,VA,Smart Pension Automation,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,"Reduce the overall average of days to complete a pension related benefit claim. Currently, there is a batch claim processing system in place with Pension Automation that leverages Camunda and is currently only able to process 300 claims/night due to constraints with the original solution. Due to the constraints, a large number of claims are offboarded each night for manual resolution.",The AI solution is expected to increase the number of claims awarded on a daily basis by 10% with the minimum viable product (MVP) solution and then continue to improve with iterative deliveries after the MVP solution.,va_dark
78511,VA,Predictive Claims Processing Capability POC,,,,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Faster claims decisions for Veterans by predicting/performing claims adjudication without the need for a rules engine,"Increased efficiency, faster decisions for veterans, and improved veteran experience.",va_dark
78512,VA,AICES,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,"1. Reduce the backlog and processing times, minimize unnecessary in-person exams, and address workflow inefficiencies. 2. Reduce the burden of travel on veterans and expedite the time required for claims processing.   During the period of performance, this effort will demonstrate the effectiveness of the proposed solution to develop Disability Benefits Questionnaire (DBQs) through Acceptable Clinical Evidence (ACE).","This initiative aims to: 1. Reduce the backlog and processing times by more efficiently using Acceptable Clinical Evidence (ACE), minimizing unnecessary in-person exams and addressing workflow inefficiencies. 2. Reduce VA costs due to reduced in-person exams. 3. Improve the Veteran experience by reducing the burden of travel on veterans and expediting the time required for claims processing.",va_dark
78513,VA,Smart Ratings Recommendation,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,"Due to the rating decision's dependence on the preceding steps of the rating process, there is often a backlog of claims and significant rework required to complete a rating on a claim. A need exists for a specialized, automated solution to complete several pieces of the Rating process to expedite the delivery of benefits and awards to Veterans, and to reduce errors and delays resulting from remediation.","Smart Rating Recommendation empowers VSRs in the Ratings workflow to leverage AI-generated ratings of select claim and contention types in order to lower processing times for a Rating Decision to be made. This is done by allowing RVSRs to leverage AI analysis of selected claims and contentions, and provide a proposed Rating to the user to confirm or review manually themselves.",va_dark
78514,VA,Roche Digital Pathology,,,,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Decrease manual effort in analyzing and identifying tumors on slides. AI technology will inform the pathologists how much of the neoplastic cells are staining with such-such stain and give the percentage of tumor involvement - this is quite helpful in analyzing the involvement of prostate carcinoma in each of the prostate core. The pathologist will not perform much of the “manual labor” and be more efficient.,"Reduce and prevent errors, enhance turnaround times, increase cost savings, and enhance patient care.",va_dark
78515,VA,Pangaea,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Identification of chronic disease and advanced guidelines for treatment and early intervention.,Early intervention and treatment of chronic disease can mitigate advanced symptoms of chronic disease.,va_dark
78516,VA,Cogitativo,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Identify Veterans at risk for chronic diseases,Early detection and treatment of chronic diseases,va_dark
78517,VA,Pharmacy AI Managed Inventory System (PHAIMIS),,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,"PhAIMIS is intended to represent an overarching inventory management tool for pharmacy, and has various areas where AI could be leveraged: •	Predictive analytics on product needs – establishing optimal Min/Max ; ROP/ROQ (reducing on hand stock while reducing out of stock) •	Inventory forecasting and identification of backorder/ supply chain issues (backorders) •	Recommendations for resolution of supply chain/ backorder issues •	Pharmacoeconomic reviews and recommendations for cost savings with equivalent product conversions •	Expiring product utilization optimization (leverage PINS or other to share product that will not be used prior to expiration with facilities that will) •	Contracting compliance/order creation •	Streamlining of administrative tasks such as B09 audit/reconciliations",Enhanced medication availability and cost savings as it relates to more efficient supply chain management,va_dark
78518,VA,Silverberry Surgery Planning AI,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,"Patient education and engagement. Physician burden and improving physician patient relationship. The Silverberry Surgery Planning AI utilizes agents to perform tasks related to the perioperative process. Patient preparation and education, sterile processing and implant preparedness, intraoperative supply management, Post operative planning and discharge assistance. The Silverberry Surgery Planning AI utilizes agents to perform tasks related to the perioperative process.","Increased efficiency, improved outcomes for veterans, improved health literacy.",va_dark
78519,VA,Teledermatology Clinical Outcome Classification,,,,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",This seeks to develop an NLP LLM tool that reviews dermatology and teledermatology clinical notes in the EHR and classify them into a clinical outcome category. Natural language processing is used to determine qualitative outcomes for skin diseases where quantitative metrics don't exist.,Measure and improve skin disease outcomes for both telehealth and in-person care.,va_dark
78520,VA,Summarize Progress Notes,,,,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Reduce the amount of time required for a healthcare provider to review medical records during an active case within the Clinical Contact Center.,- Reduced case time per call - Reduced hold time - Reduced queue abandonment rate - Improved Veteran satisfaction - Improved patient safety,va_dark
78521,VA,Parable 3D Wound Care Management System,,,,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Assist clinicians in capturing wound data (2D/3D) using computer vision to better manage the wound lifecycle for the patient.,"Allows clinicians to manage wounds using very precise computer vision techniques, rather than rely on manual, error prone hand measurements.",va_dark
78522,VA,Coronary Artery Calcium Model,,,,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",This is operationalization of a Coronary Artery Calcium (CAC) scoring computer vision model that can predict cardiovascular disease risk. This will help clinicians identify and prioritize patients at high risk for cardiac events to intervene. The input is CT chest images and the output will be calcium scores and calcium masks that physicians can review to verify high patient cardiovascular risk. This will help clinicians identify and prioritize patients at high risk for cardiac events to intervene. It will improve the quality of veteran healthcare.,We expect this project to improve patient care outcomes by helping direct provider attention to patients that were identified as high-risk via findings.,va_dark
78523,VA,Reportability of Cancer Diagnosis Information,,,,"Natural Language Processing: AI that processes, interprets, and shares information in human language.","Try to identify if a cancer diagnosis is present in the pathology reports and what diagnosis the patients have, including histology, site, and subsite.","Improve patient outcomes, save cost, and increase efficiency: Information extracted by the system will be highlighted and shown within the original context for review by the coordinators, within health informatics tools currently in production. This will decrease the time for information gathering for coordinators and improve their efficiency. This information may also help identify Veterans with diagnoses of interest for review by the coordinator, allowing for additional resources to be activated to support the Veteran if they meet program criteria.",va_dark
78525,VA,Extract patients’ diagnosis information and map the diagnosis to oncotree,,,,"Natural Language Processing: AI that processes, interprets, and shares information in human language.","Extract patient diagnosis from unstructured patient notes and map the diagnosis to oncotree, because these information typically is extracted manually and it takes a long time to be put into the database.","This project could increase efficiency, save cost, and enhance patient outcomes. With real time diagnosis tracking, the national oncology program is able to better support the patient with cancer diagnosis and understand each veterans' individual needs. While AI extract the information from the unstructured notes, it speed up the review process, providers can save time to help more patients rather than taking a long time to review each notes.",va_dark
78526,VA,Cancer Patients Symptom Burden,,,,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Attempt to extract patients' symptom burden information from unstructured notes to increase the speed of providers identifying patients that may benefit from additional support for symptom management or mental health.,"Providers are able to identify patients that might benefit from additional support more quickly rather than reviewing entire notes as AI would highlight the parts that are relevant to the symptoms. This increases efficiency and saves cost as well. With providers more aware of patients' symptoms, they can spend less time and effort identifying patients that suffer from high symptom burdens. Providers would be more able to reach out and support the patients in need of support, therefore improving patient outcomes.",va_dark
78527,VA,Billing Claims Prediction,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,"The AI solution is designed to help the VHA Office of Finance, Revenue Operations in several ways:  Identify missed revenue opportunities, ensuring no income potential is lost. Highlight, predict and analyze trends in actionable denials, helping to resolve systemic issues. Reduce the administrative burden on staff by simplifying processes. Develop a national denial management analytics platform for consistent and effective financial operations across the VA healthcare network.","Increased revenue, decrease in denials, and increase efficiency and staff satisfaction.",va_dark
78528,VA,Koios,,,,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",FDA Cleared. Used with Automated Breast Ultrasound (ABUS). Classifies breast ultrasound lesions and automates reporting for improved efficiency and streamlined workflows. Increased sensitivity and specificity with reduced variability.,Reduces unnecessary treatments (existing BI-RADS 3's can be accurately and safely downgraded) and provides probability of malignancy aligned to BI-RADS categorization.,va_dark
78529,VA,Fall Prediction Tool,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,"The Morse Fall Scale (MFS), as it is currently utilized, often fails to accurately assess fall risk, highlighting the need for more precise and timely fall risk assessment tools to prevent falls.",The goal is to provide a more accurate fall assessment score than the existing Morse Fall Score which could improve patient safety outcomes. Better assessing fall risk and applying proper fall prevention interventions would also translate to cost avoidance and savings.,va_dark
78530,VA,Healthcare Text Anonymizer,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,"This application reduces the manual processing time for anonymization and improves the accuracy of removing identifiable information in healthcare text. This is important because one of the applications of this project is to publicly release data on the medical impact of the new electronic health records system, Oracle. As Oracle gets rolled out to more facilities, there is a need to release more anonymized incident reports of Oracle's impact on patient health. Manually anonymizing all of these reports is not scalable nor sustainable, which is why this AI application helps.",Increased efficiency and increased security of patient Personally Identifiable Information (PII),va_dark
78531,VA,EEO Consultation and Guidance,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,"As you see a decrease in the amount of EO program managers within the VA, it'd be helpful to utilize AI to manage and analyze employee complaints, including those related to Equal Employment Opportunity (EEO).  We want to have 24 hour EEO response to employee questions surrounding discrimination and harassment.  The AI tool will not be equipped to provide legal or counseling services. It can receive Complaint Intake and Triage, provide Data Analysis, Sentiment Analysis, and Providing Information and Resources.",Providing useful information in a timely manner. This is not legal advice.,va_dark
78532,VA,Deduplication in Record Management,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,"- Reduce manual process of opening record for review. - Triage urgent veteran follow up needs by recognizing urgent or routine in boxes.  - Kick back record requests missing important clerical details like signatures, names, or ICD 10 codes. - Summarize Physical Therapy (PT) care records for VA practitioners to act on. - Reduce clinical errors and manpower / manual resources in clinically evaluating forms - Reduce clinical manpower and cloud storage in uploading duplicate documents","- Decrease clerical and clinical costs related to record management. - Increase Registered Nurse (RN) licensure to provide direct care. Too many RNs are pulled into record management, which takes them away from frontline needs. - Decrease Veteran harm or death - Increase Veteran satisfaction - Decrease burnout",va_dark
78533,VA,AI in Digital Pathology,,,,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).","Galen Second Read's key functionalities include image upload and analysis, flagging slides with high likelihood to contain AdC and displaying WSIs uploaded to the system along with the analysis results. Flagged findings constitute a recommendation for additional review by a pathologist.",Increased productivity which will provide pathologists more time with complex cases,va_dark
78534,VA,Lambient,,,,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Clinical burnout and decrease amount of late night time for documentation.,Improve clinical staff satisfaction by letting them spend time with the patient and less time documenting the encounter. This would hopefully improve patient satisfaction.,va_dark
78536,VA,CPT Worksheet Helper,,,,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Patients struggle to complete Cognitive Processing Therapy (CPT) homework and want feedback beyond when they see their therapist. Research has shown that homework frequency and quality can support greater improvement.,Patients may remain more engaged in treatment and experience greater improvement.,va_dark
78537,VA,AI-Assisted View Alert Management,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,"By analyzing and prioritizing alerts, this tool will reduce unnecessary notifications and help clinicians focus on what matters most, enhancing care for Veterans.",- Reduce alert fatigue and clinician burnout by minimizing unnecessary distractions.  - Improve clinical efficiency and workflows through targeted triage and routing of critical alerts.  - Enhance patient safety and resource allocation by prioritizing meaningful and actionable view alerts.  - Increase return on existing technology investments by optimizing the performance of the current alerting functionality.,va_dark
78538,VA,Ephesoft Fax Automation,,,,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Ensure timely healthcare by increasing speed of processing incoming faxes so Request For Services (RFS) and medical records can be clinically reviewed and uploaded to patient electronic health records.,"Estimated cost savings of $2 million while enhancing the timeliness of care, standardizing processes and reducing human error.",va_dark
78539,VA,Natural Language Online Workflow (NOW),,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,"- Information Gaps and Misinformation: Veterans and staff often have trouble finding accurate, consistent answers about vasectomy procedures, eligibility, risks, and next steps. Policies and contacts change and not everyone knows where to look. - Inefficient Consult Request Process: Requesting a consult can be confusing, requiring multiple phone calls, paper forms, or follow-ups that delay care. Veterans may give up or receive the wrong info, which slows down the process and frustrates everyone. - Inefficient Use of Staff Time on Routine Questions: Clinical and administrative staff spend a lot of time answering the same questions or redirecting Veterans to the right place. This eats up resources that could be used for more complex cases. - Missed or Delayed Care: If eligibility is unclear, or the Veteran doesn’t know how to proceed, appointments and procedures get delayed. This can lead to worse outcomes and more work down the line. - Inconsistent Communication: Without a standard source, Veterans might get different answers depending on who they ask or what site they visit.","- Centralizes reliable information in one place and it is always up-to-date. - Removes ambiguity for users by guiding them through eligibility and next steps. - Streamlines the consult request process, making it easy to start and track the process. - Reduces repetitive work for staff, so they can focus on higher-priority needs. - Flags new or complex questions for human follow-up, so nothing falls through the cracks.",va_dark
78541,VA,JLV Booster,,,,"Natural Language Processing: AI that processes, interprets, and shares information in human language.","It is difficult for physicians to figure out the details of care that occurred outside the VA. Even when the data exists and can be viewed in Joint Legacy Viewer (JLV), the process of viewing records is time consuming. AI can help summarize the existing external data such that physicians have an idea of what information exists and where to find the full details (no use of AI), if needed.",Improved patient outcomes and increased physician efficiency,va_dark
78542,VA,Veterans Life Tailored,,,,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).","The VLT (Veterans Life Tailored) project, branded as VLT, leverages advanced AI technologies to tailor benefits and support services specifically for veterans. This project harnesses the power of artificial intelligence to analyze vast amounts of data, providing personalized recommendations and streamlined access to a wide array of veteran benefits. Through the use of AI, this product will provide additional information to veterans based on service information. We will suggest benefits with the goal of supporting the application process in the future.",- Improved Veteran and family/beneficiary experience - Increased number of applications and approvals for benefits,va_dark
78543,VA,Claims Adjudication and Financial Decision-Making,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,"VA staff spend large amounts of time gathering and reviewing information to process payments and recover revenue. This slows down financial decisions and delays service to Veterans and providers. The AI platform brings the necessary data together, highlights key issues, and streamlines next steps so staff can work faster and focus on higher value decisions.","It will deliver cost savings and efficiency gains, strengthening VA's overall financial stewardship.",va_dark
78544,VA,Mindray TE X,,,,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).","The TEX20/TEX20 Pro/TEX20S/TEX20T/TEX20 Exp/TEX20 Elite/TEX10/ TEX10 Pro/TEX10S/TEX10T/TEX10 Exp/TEX10 Elite/TE X/TE X Lite Diagnostic Ultrasound System is applicable for adults, pregnant women, pediatric patients and neonates. It is intended for use in Ophthalmic, fetal, abdominal, Intra-operative (abdominal, thoracic, and vascular), Laparoscopic, pediatric, small organ(breast, thyroid, testes), neonatal and adult cephalic, trans_x0002_rectal, trans-vaginal, musculo-skeletal(conventional, superficial), Thoracic/Pleural (For detection of fluid and pleural motion/sliding.), adult and pediatric cardiac, trans-esoph. (Cardiac), peripheral vessel, and urology exams.",Accelerate ultrasound workflows.,va_dark
78545,VA,Modeling to Learn (MTL),,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,"Modeling to Learn is designed to address the limited start, flow, and dose of evidence-based psychotherapy and evidence-based pharmacotherapy for Post Traumatic Stress Disorder (PTSD), depression, alcohol use disorder and opioid use disorders.",Improved patient safety and recovery and efficient use of staff and financial resources to deliver timely access to VHA’s highest quality behavioral healthcare.,va_dark
78546,VA,Nursing Career Path Tool,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,"It will solve several critical leadership challenges within the VA system, including: - Identification of leadership potential - Workforce optimization - Centralized training and development resources properly matched with different levels of leadership stages - Support for leadership talent identification (qualified leaders to assume detail position) - Enhanced veteran centric care and operational efficiency  - Cost-efficiency (recruitment, retention)  The tool aims to systematically review staff qualifications, identify leadership levels, collate VA-wide resources, and assist leadership in talent identification and assignment for vacant leadership positions. By leveraging AI technology, the VA can ensure the right nursing talent is developed and effectively placed in leadership roles, ultimately improving service delivery and staff satisfaction.","Provide a structured and data-driven approach to nursing career development and succession planning within the VA. This tool aims to create a well-organized and efficient process for identifying, developing, and placing nursing (potential) leaders within the VA, ultimately enhancing patient care, reducing costs, and improving overall operational efficiency. It will also better align staff qualifications with leadership roles, improve succession planning, reduce gaps in leadership positions, and increased staff engagement and satisfaction through clear career progression paths.",va_dark
78547,VA,Veteran Rehabilitation Services,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Make the connection of veterans to rehabilitation services streamlined and more efficient. Gather information over multiple platforms and create a timeline of service to better inform care and delineate access to additional services.,"By gathering information over multiple platforms and creating a service timeline to better inform care and delineate access to additional services, we can streamline care processes, efficiently deliver services, and ensure veterans are not lost in transitions of care.",va_dark
78548,VA,Freed AI Medical Scribe,,,,"Natural Language Processing: AI that processes, interprets, and shares information in human language.","Increase efficiency of our Primary Care providers. The AI scribe records the Veteran and provider conversation during an exam - it eliminates unnecessary parts of the exam conversation and provides a written report for the provider to edit and copy into the Veterans chart. The AI does not make a diagnosis, it just provides the written summary that the provider uses to complete their encounter and note.",- Increased efficiency by having a written record of the exam.  - Enhanced patient outcomes as the scribe records things that a provider might have missed in the conversation or coming back to the note/encounter the next day.  - Lower missed opportunities for the provider.,va_dark
78549,VA,Improve Care for Opioid Use Disorder,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,It is designed to improve treatment retention among veterans receiving medication treatment for opioid use disorder.,"The hope is the AI will improve treatment retention, and therefore, patient outcomes such as decreased overdose rates and improved quality of life.",va_dark
78550,VA,Venous Care Pathway Improvement,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,"Care pathways for venous diseases (e.g. deep vein thrombosis, pulmonary embolism, post thrombotic syndrome, superficial venous insufficiency, phlebolymphedema, and venous leg ulceration) are inconsistent and inefficient, leading to poor clinical outcomes and losing economic value statements for health payers and providers. Impact Health will work directly with VHA employees to standardize care protocols for selected venous diseases and implement a digital platform for Veterans, care providers, and hospital executives to support and view results of the improved protocol.","The digital platform empowers Veterans and providers with tools that include but aren’t limited to: track clinical outcomes, view longitudinal venous care progress, communicate remotely, manage care tasks for Veterans, access educational resources, prioritize Veterans based on status updates, collect research-grade clinical and economic data, and provide analytics of clinical and economic benefit of improved VHA venous pathways compared to the historical standard of care in VHA health systems. Hospital executives will also have access to a dashboard that demonstrates the Veteran population with venous diseases, population-level clinical outcome progress, recruitment statistics, facility economics, and more. Streamlining protocols for diagnosis, stratification, referrals, treatment, and post-treatment care will reduce health worker burden, create economic efficiencies, and significantly improve Veteran health outcomes. Providing a digital health platform that reinforces the protocols will facilitate better provider support for Veterans, empower Veterans to manage their own diseases, and will collect real-world data to validate the benefit of the improved protocol.",va_dark
78552,VA,ML Model for medication prediction,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Pharmacy inventory management,- Removes ambiguity for users by guiding them through eligibility and next steps.,va_dark
