agency,use_case_name,tool_product_name,stage,tier,rule
HHS,Rx Data Integrity Review,,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,default
HHS,SBC Content Review,,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,default
HHS,Scholarship Insight,,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,default
HHS,School LLM initial abstract review process,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,name:llm
HHS,Section 508 Azure OpenAI Chatbot,Azure OpenAI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,tool:azure openai
HHS,Sidekick Comms bot Offering User-friendly Tips (SCOUT),,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name: bot
HHS,Software Approval Agent,,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,default
HHS,Structuring Notice of Concern Data,Palantir AIP,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:palantir
HHS,Structuring and Validating Completeness of Case Data Information,Palantir AIP,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:palantir
HHS,Sub Can Line Finder,Palantir AIP,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:palantir
HHS,Support for MCP and AI APIs in Digital Gateway,,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,default
HHS,The School Closure Awareness System,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,default
HHS,Training and Technical Assistance (TTA) GenAI Chatbot,,"d) Retired  The use case was reported in the agencys prior years inventory, but its development and/or use has since been discontinued.",operated_build,name:chatbot
HHS,Transformer-Based Metadata Alignment Workflow,,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,default
HHS,Use case package 1: Empirical application of the Sentinel EHR and claims Data Partner network to address ARIA insufficient inferential requests (UC1),Custom In-House AI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:custom in-house
HHS,Using Generative AI for Stance Analysis of Public Comments on CDCs Proposed Rules,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name:generative ai
HHS,Using LLM to optimize National Health Interview Survey (NHIS) case note information,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,name:llm
HHS,Using generative AI to gain insight of older adult falls,,"d) Retired  The use case was reported in the agencys prior years inventory, but its development and/or use has since been discontinued.",operated_build,name:generative ai
HHS,Vaccine Tracking System (VTrckS) Conversational AI Pilot,Custom In-House AI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,tool:custom in-house
HHS,Virtual Assistant for the NIAMS Grant Management Applications,,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,name:assistant
HHS,Warp Intelligent Learning Engine (WILEE),Custom In-House AI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:custom in-house
HHS,eSlate Bot,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name: bot
HUD,Microsoft Copilot,Microsoft 365 Copilot,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,tenanted,tool:copilot
NARA,Develop a Natural Language Based Chat Interface (like ChatGPT) to Interact With the Archival Documents,ChatGPT,a) Pre-deployment – The use case is in a development or acquisition status.,operated_build,override
NARA,Generative AI Solutions for Workplace Productivity (aka Gemini),Google Workspace,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,tool:google workspace
NASA,NASA-GPT: Retrieval-Augmented Generation using NTRS and more,ChatGPT,a) Pre-deployment – The use case is in a development or acquisition status.,operated_build,override
NRC,Support routine administrative tasks and enhancing communications,Microsoft 365 Copilot Chat,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
NRC,Text Retrieval and Generation for NRC Staff Support,TekSynap SimplifAI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,override
NSF,"ServiceNow GenAI ""Now Assist""",ServiceNow Now Assist,Deployed,embedded_cots,tool:servicenow
OPM,Anthropic Claude,Claude,Sandbox,tenanted,tool:claude
OPM,Microsoft Copilot,Microsoft 365 Copilot,Production,tenanted,tool:copilot
OPM,OPM Rexi Chatbot,,Production,operated_build,name:rexi
OPM,OpenAI ChatGPT,ChatGPT,Pilot,tenanted,tool:chatgpt
SBA,General AI Use Case across the SBA for web and desktop,Perplexity,Pilot,tenanted,tool:perplexity
SSA,Agency Support Companion (ASC) chatbot,OpenAI API,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:openai api
SSA,Enterprise Ticketing System (ETS),ServiceNow Now Assist,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,tool:servicenow
SSA,General Use Chatbot,Microsoft 365 Copilot Chat,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,tenanted,tool:copilot
SSA,Policy Assistance Tool (PAT),OpenAI API,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,tool:openai api
State,StateChat,Palantir AIP,c) Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:palantir
USDA,Chatbot for IT Customer Help Desk,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name:chatbot
VA,E2 HelpBot,,a) Pre-deployment – The use case is in a development or acquisition status.,operated_build,default
