agency,use_case_name,bureau_component,current_scope,proposed_scope,proposed_is_enterprise_wide,confidence,reasoning,evidence_url
DOE,DNA-P Use Cases Leaverging Artificial Intellegence  (Pilot),NA-IM (Enterprise) - Office of the Associate Administrator for Information Management and Chief Information Officer (HQ-Enterprise) (NNSA HQ),enterprise_wide,bureau,0,medium,"DOWNGRADE: 'Enterprise' refers to the NNSA enterprise; benefits scoped to 'DOE DNA-P users' — NNSA (a semi-autonomous component) at most, a specific program in practice.",
DOE,DNA-P Use Cases Leaverging Artificial Intellegence (Deployed),NA-IM (Enterprise) - Office of the Associate Administrator for Information Management and Chief Information Officer (HQ-Enterprise) (NNSA HQ),enterprise_wide,bureau,0,medium,"DOWNGRADE: same — NNSA-enterprise/program scope, not DOE-wide.",
DOE,Report Assistant,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),enterprise_wide,bureau,0,high,DOWNGRADE: SRS site-scoped management reporting tool.,
DOE,Software Implementation Assistant,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),enterprise_wide,bureau,0,high,DOWNGRADE: SRS site-scoped software planning tool.,
DOE,mass3,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),enterprise_wide,bureau,0,high,DOWNGRADE: SRS site-scoped STEM LLM tool.,
ED,Aidan Chat-bot,Federal Student Aid,enterprise_wide,bureau,0,high,"DOWNGRADE: FSA's public-facing borrower chatbot on StudentAid.gov — bureau product serving the public, not an ED-workforce enterprise tool.",
ED,Azure AI Internal General Q&A,Federal Student Aid,enterprise_wide,bureau,0,high,DOWNGRADE: internal FSA staff Q&A RAG bot — bureau scope.,
ED,Comment Categorization,Federal Student Aid,enterprise_wide,bureau,0,high,DOWNGRADE: FSA analyst tool for FAFSA public-comment triage — bureau scope.,
ED,Customer Service Support,Federal Student Aid,enterprise_wide,bureau,0,high,DOWNGRADE: RAG bot for FSA customer-service reps — bureau scope.,
ED,Department-wide implementation of GSA USAi,Office of the Chief Information Officer,enterprise_wide,enterprise_wide,1,high,KEEP: explicitly the department-wide GSA USAi rollout (Pilot).,
ED,Generative AI - Code Generation,Federal Student Aid,enterprise_wide,enterprise_wide,1,medium,KEEP (medium): part of ED's OpenAI API capability family — narrative says 'generate materials for Department staff'; filed under FSA but described as a Department-staff capability.,
ED,Generative AI - Idea Suggestion,Federal Student Aid,enterprise_wide,enterprise_wide,1,medium,KEEP (medium): same OpenAI API Department-staff family.,
ED,Generative AI - Image Generation,Office of Special Education and Rehabilitee Services,enterprise_wide,bureau,0,medium,DOWNGRADE: usage described is OSERS-team-specific (icons for OSERS Team Values) despite the family narrative.,
ED,Generative AI - Information Summarization,Federal Student Aid,enterprise_wide,enterprise_wide,1,medium,KEEP (medium): same OpenAI API Department-staff family.,
ED,Generative AI and Foundation Model Integration,Federal Student Aid,enterprise_wide,bureau,0,medium,"DOWNGRADE: AWS Bedrock platform infrastructure operated by FSA for building applications — platform/bureau scope, not a workforce-wide tool.",
ED,Grammarly AI Writing Assistant,"Office of Migrant Education, Office of Elementary and Secondary Education",enterprise_wide,office,0,high,DOWNGRADE: Grammarly licenses in two named program offices — office scope.,
ED,Legislation Comment Categorization,Office of Postsecondary Education,enterprise_wide,bureau,0,high,DOWNGRADE: OPE business-analyst comment-categorization tool — bureau scope.,
FERC,AI Enabled Assistant Legal Research,FERC,enterprise_wide,bureau,0,medium,"DOWNGRADE: role-scoped legal-research assistant for legal staff, pre-deployment — not an agency-workforce tool.",
GSA,Enterprise Chatbot (GSAi),,enterprise_wide,enterprise_wide,1,high,"KEEP: GSAi is the canonical enterprise chatbot — 'enterprise-wide chatbot tool' for GSA staff, deployed, widely covered in press.",https://fedscoop.com/gsa-launches-gsai-chatbot/
NARA,Develop a Natural Language Based Chat Interface (like ChatGPT) to Interact With the Archival Documents,National Archives & Records Administration (NARA),enterprise_wide,enterprise_wide,1,low,"KEEP (low): agency-wide but public-facing and pre-deployment — flag at the analysis layer (it is a public research interface, not an employee tool). Mirrors the 2024 twin row decision.",
NARA,Generative AI Solutions for Workplace Productivity (aka Gemini),National Archives & Records Administration (NARA),enterprise_wide,enterprise_wide,1,high,"KEEP: Google Workspace Gemini for NARA employees agency-wide, deployed.",
NRC,Support routine administrative tasks and enhancing communications,NRC,enterprise_wide,enterprise_wide,1,high,"KEEP: Microsoft 365 Copilot Chat for NRC staff agency-wide, deployed.",
NRC,Testing industry leading generative AI foundational large language models,NRC,enterprise_wide,unknown,0,medium,"REVISED after parallel pass: an evaluation sprint is not an enterprise offering (accepting sibling's substance); their 'pilot' scope value is invalid 2025 vocab, normalized to 'unknown'.",
NRC,Text Retrieval and Generation for NRC Staff Support,NRC,enterprise_wide,enterprise_wide,1,high,"KEEP: SimplifAI document retrieval/generation for NRC staff broadly, deployed.",
NTSB,FOIAXpress AI assistant,NTSB,enterprise_wide,office,0,high,"DOWNGRADE: FOIA-office document-review assistant — office function, not agency-workforce tool.",
SEC,Improve efficiency of comment letter ingestion,Office of the Secretary (OS),enterprise_wide,office,0,high,DOWNGRADE: comment-letter ingestion pipeline in the Office of the Secretary — office/process scope.,
VA,E2 HelpBot,Office of the Deputy Secretary of VA,enterprise_wide,enterprise_wide,1,medium,"KEEP (medium): E2 is VA's department-wide travel system; the HelpBot serves E2 users across VA — department-wide reach, though pre-deployment and task-specific.",
