agency,use_case_name,bureau_component,scope_detail,deployment_scope,is_enterprise_wide,estimated_user_count,stage_of_development,tool_product_name,problem_statement,expected_benefits,ref_id_unstable
DOE,DIRECTIVES,"SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO)",,enterprise_wide,1,,"Pre-deployment – The use case is in a development or acquisition status.",,"GenAI-RAG on DOE/NNSA content","Productivity Tool",132723
DOE,"DNA-P Use Cases Leaverging Artificial Intellegence  (Pilot)","NA-IM (Enterprise) - Office of the Associate Administrator for Information Management and Chief Information Officer (HQ-Enterprise) (NNSA HQ)",,enterprise_wide,1,,"Pilot – The use case has been deployed in a limited test or pilot capacity.","Palantir AIP","""- identify data clusters/trend analysis - identify data discrepencies/data enrichment - generate suggestions (including generating reports, data linkages, and courses of action) - generate graphical and natural language analyses""","""-save time for DOE DNA-P users - improve DOE/NNSA data quality - improve DOE/NNSA safety operations""",132649
DOE,"DNA-P Use Cases Leaverging Artificial Intellegence (Deployed)","NA-IM (Enterprise) - Office of the Associate Administrator for Information Management and Chief Information Officer (HQ-Enterprise) (NNSA HQ)",,enterprise_wide,1,,"Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Palantir AIP","""- identify data clusters/trend analysis - identify data discrepencies/data enrichment - generate suggestions (including generating reports, data linkages, and courses of action) - generate graphical and natural language analyses""","'-save time for DOE DNA-P users - improve DOE/NNSA data quality - improve DOE/NNSA safety operations",132862
DOE,"Report Assistant","SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO)",,enterprise_wide,1,,"Pre-deployment – The use case is in a development or acquisition status.",,"Management spends excessive hours generating and reformatting reports for various customers/audiences this will reduce the learing curve and effort to translate information into the various formats, saving consideratble time and effort.","This will reduce the time and effort required to generate reports, allowing management to focus on more critical tasks. It is expected to halve the time spent on report generation in the first year.",132746
DOE,"Software Implementation Assistant","SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO)",,enterprise_wide,1,,"Pre-deployment – The use case is in a development or acquisition status.",,"This AI solution is designed to streamline the process of software implementation by automating crucial planning tasks, technical documentation, and risk assessments, which typically demand significant time and effort. The solution aims to support ju","The AI solution is expected to enhance the agency's mission by reducing the time, effort, and complexity involved in software implementation efforts, leading to significant cost savings. It will improve project planning, standardize technical documentation, aid junior resources, and allow subject matter experts to focus on critical tasks, ultimately improving project outcomes and resource utilizat",132824
DOE,mass3,"SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO)",,enterprise_wide,1,,"Pre-deployment – The use case is in a development or acquisition status.",,"GenAI on STEM-optimized LLMs","Productivity Tool",132841
ED,"Aidan Chat-bot","Federal Student Aid",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,"Easing the access to information for borrowers","Federal Student Aid's (FSA) virtual assistant uses natural language processing to answer common financial aid questions and help customers get information about their federal aid on StudentAid.gov. In just over two years, Aidan has interacted with over 2.6 million unique customers, resulting in more than 11 million user messages.",133547
ED,"Azure AI Internal General Q&A","Federal Student Aid",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,"Providing information to agency staff regarding provided documents","Rag Chatbot used in the secure resolution of internal questions.",133555
ED,"Comment Categorization","Federal Student Aid",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,"Reducing required manual processing of public comments","Rag Chatbot referencing collected FAFSA Comments from public mailbox. Comments are provided to Bot, which provides statistics on the content, scope, and sentiment of the comments while grouping them for resolution",133554
ED,"Customer Service Support","Federal Student Aid",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,"Easing access to solutions and information for customer support reprezentatives","RAG Chatbot supporting customer service reps answering StudentAid.gov troubleshooting questions by using details from a provided document, including ticket numbers, issues, fixes, and confidence levels, while avoiding topics outside the document’s scope.",133553
ED,"Department-wide implementation of GSA USAi","Office of the Chief Information Officer",,enterprise_wide,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.",,"Providing access to multi-vendor suite of AI tools & models","Generative AI platform offering miti-vendor LLMs via interagency collaboration with GSA for ED program integration.",133557
ED,"Generative AI - Code Generation","Federal Student Aid",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","OpenAI API","Ease the access to information and generate materials for Department staff","When given written paragraphs as prompts, AI generates code snippets in a variety of programming languages. This capability allows users to quickly obtain relevant code tailored to their specific requirements.",133559
ED,"Generative AI - Idea Suggestion","Federal Student Aid",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","OpenAI API","Ease the access to information and generate materials for Department staff","When prompted with written paragraphs, AI suggests possible courses of actions for given scenarios.",133560
ED,"Generative AI - Image Generation","Office of Special Education and Rehabilitee Services",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","OpenAI API","Ease the access to information and generate materials for Department staff","AI is prompted to create images, icons, and other visual aids representing the Team Values created by OSERS teams.",133567
ED,"Generative AI - Information Summarization","Federal Student Aid",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","OpenAI API","Ease the access to information and generate materials for Department staff","When provided with publicly available documents or articles, AI extracts key points, generates summaries, and identifies relevant action items. This helps users quickly grasp the essential information and determine next steps without having to read the entire content.",133561
ED,"Generative AI and Foundation Model Integration","Federal Student Aid",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","AWS Bedrock","Providing access to multi-vendor suite of AI tools & models","AWS Bedrock enables organizations to build and scale applications powered by foundation models, supporting use cases such as text generation, summarization, conversational AI, personalization, and content creation, with seamless integration into existing AWS services and infrastructure.",133556
ED,"Grammarly AI Writing Assistant","Office of Migrant Education, Office of Elementary and Secondary Education",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",Grammarly,"Expedite the creation of bold, clear, mistake-free writing for informative materials","Grammarly’s AI assistant is designed to elevate written communication by delivering real-time feedback, intelligent suggestions, and advanced language refinement. By eliminating errors, enhancing clarity, and optimizing tone, it helps users produce bold, precise, and professional writing that drives stronger engagement and impact.",133550
ED,"Legislation Comment Categorization","Office of Postsecondary Education",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,"Reducing required manual processing of public comments","RAG Chatbot helping a business analyst to categorize user comments from a provided document by identifying applicable categories, summarizing each comment, quoting relevant sections, and listing the Document ID with corresponding categories in a clear and concise format.",133552
FERC,"AI Enabled Assistant Legal Research",FERC,,enterprise_wide,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,"Addresses streamlining legal workflows by automating research, document analysis, and drafting. It addresses inefficiencies in legal operations and reduces the time required for complex legal tasks.","Enhances productivity, improves accuracy in legal analysis, and supports faster decision-making. It enables legal professionals to focus on high-value strategic work, improves client service, and reduces operational costs.",133667
GSA,"Enterprise Chatbot (GSAi)",,,enterprise_wide,1,,"c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.",,"The AI is intended to solve the problem of providing GSA staff with an enterprise-wide chatbot tool for general productivity support. This will allow users to access an internally available chatbot for tasks such as generating initial drafts, outlines, and copyediting for writers; facilitating faster research and more nuanced understanding of concepts for researchers; and drafting functions and wo",,133776
NARA,"Develop a Natural Language Based Chat Interface (like ChatGPT) to Interact With the Archival Documents","National Archives & Records Administration (NARA)",,enterprise_wide,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",ChatGPT,"The AI is intended to solve the problem of high barriers to entry for historical research by replacing complex database queries with a natural language interface that allows users of all skill levels to discover records and gain insights through simple conversation.","NARA plans to develop an AI-powered chat interface, similar to ChatGPT, that will allow users to easily explore its digital archives by asking questions in everyday language. This will make historical documents more accessible and engaging, leading to more efficient research and a deeper understanding of history.",134272
NARA,"Generative AI Solutions for Workplace Productivity (aka Gemini)","National Archives & Records Administration (NARA)",,enterprise_wide,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Google Workspace","The AI is intended to improve employee productivity by providing smarter tools for employees to summarize, draft, and navigate operational records.","NARA is exploring how Generative AI tools can help employees work more efficiently and creatively. These AI tools can automate tasks, enhance communication and collaboration, and improve decision-making.",134260
NRC,"Support routine administrative tasks and enhancing communications",NRC,,enterprise_wide,1,,"c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.","Microsoft 365 Copilot Chat","These AI use cases address inefficiencies in administrative workflows, such as scheduling, document drafting, and information retrieval. They help automate repetitive tasks, improve accuracy and accessibility of communications, streamline data analysis and reporting, prioritize service requests, and enhance cybersecurity. By reducing manual workload and error rates, they enable staff to focus on h","AI improves agency efficiency, accuracy, and responsiveness by automating repetitive tasks, enhancing communication, and streamlining data analysis. These benefits free staff for higher-value work, accelerate decision-making, improve service delivery, and increase transparency, ultimately supporting the agencys mission and strengthening public trust.",134707
NRC,"Testing industry leading generative AI foundational large language models",NRC,,enterprise_wide,1,,"a) Pre-deployment  The use case is in a development or acquisition status.",ChatGPT,"The AI is intended to address gaps in organizational understanding of how generative AI can support knowledge work. The sprint helps identify potential benefits, limitations, and risks of AI tools, enabling informed decisions on future use, governance, and policy before any deployment.","Improved staff understanding of generative AI capabilities and limitations; increased efficiency in drafting, summarizing, and organizing non-sensitive information; identification of appropriate use cases and risks; and informed development of policies, guidance, and governance for potential future AI use.",134709
NRC,"Text Retrieval and Generation for NRC Staff Support",NRC,,enterprise_wide,1,,"c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.","TekSynap SimplifAI","NRC staff are required to discover, retrieve, and analyze information from internally-managed and externally-provided documents.  These documents can be lengthy as well as dense with content and often require cross-reference against multiple policies, standards, guidelines, and procedures. The process of discovery, retrieval, analysis, and cross-reference is time consuming and often represents the","This use case enhances the NRCs efficiency and consistency in licensing, oversight, and other regulatory activities. It enables more efficient capture and use of institutional knowledge to mitigate against the risks associated with staff attrition. The NRC expects this use case to improve the timeliness of its risk- and policy-informed decisions, supporting its mission to enable the safe and secu",134706
NTSB,"FOIAXpress AI assistant",NTSB,,enterprise_wide,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.",,"Timely review of documents for public release","Improved timeliness of response to records requests",134736
SEC,"Improve efficiency of comment letter ingestion","Office of the Secretary (OS)",,enterprise_wide,1,,"c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.",,"Using AI/ML to improve the timeliness and accuracy of the ingestion of comment letters, such as by automating the identification of comment file numbers, and enhancing the identification of spam, form letters, PII, profanity, and copyrighted material. 2. Increase the quality and amount of structured data (including metadata) related to individual comment letters to directly support downstream uses","Improve the timeliness and accuracy of the ingestion of comment letters, and increase the quality and amount of structured data (including metadata) related to individual comment letters to directly support downstream uses, including use by GenAI tools",134833
VA,"E2 HelpBot","Office of the Deputy Secretary of VA",,enterprise_wide,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,"EEO Users browse through documents like the User Guides or knowledge articles to understand E2 functionality. Additionally, many Help Desk Tickets are entered for support on E2 functions as well. We plan to develop an internal HelpBot using an LLM model (GPT 4.0) that can assist users to ask the Help Bot questions, reducing user frustration and time to figure out how to perform a task. This use ca","Increased Efficiency",135353
