agency,use_case_name,bureau_component,current_scope,proposed_scope,proposed_is_enterprise_wide,confidence,reasoning,evidence_url
HUD,Microsoft Copilot,Office of the Chief Information Officer,bureau,enterprise_wide,1,medium,"UPGRADE: OCIO offering Copilot to support 'the HUD Secretary's directive' on productivity — 'HUD will use Copilot' = agency-wide offering, pilot stage.",
NASA,Ask Tech Port,HQ: Headquarters,bureau,bureau,0,medium,"KEEP bureau: GenAI feature of the TechPort portfolio system (12k monthly users incl. public) — system-scoped, not a workforce tool.",
NSF,AWS Assisted Software Development (DIS AI Assisted Development),OCIO,bureau,bureau,0,high,KEEP bureau: developer-tools pilot for DIS developers — team scope.,
NSF,NSF AI-Ready RPPR Data,OCIO,bureau,bureau,0,high,"KEEP bureau: data-preparation effort, not a workforce tool.",
NSF,"ServiceNow GenAI ""Now Assist""",OCIO,bureau,enterprise_wide,1,medium,UPGRADE: deployed Now Assist ITSM/chatbot serving NSF staff agency-wide via the OCIO service desk (parallel to the FHFA decision).,
NSF,TIP MS Copilot Pilot,TIP & OCIO,bureau,bureau,0,high,KEEP bureau: Copilot pilot in the TIP directorate.,
OPM,Anthropic Claude,OCIO,bureau,enterprise_wide,1,high,UPGRADE: 'LLM used across OPM' — part of OPM's OneGov rollout family (Claude in sandbox stage).,https://fedscoop.com/opm-makes-copilot-chatgpt-available-workforce-onegov/
OPM,Microsoft Copilot,OCIO,bureau,enterprise_wide,1,high,"UPGRADE: Copilot Chat available to all OPM workers (Production), per Director Kupor's Sept 2025 announcement.",https://fedscoop.com/opm-makes-copilot-chatgpt-available-workforce-onegov/
OPM,OPM Rexi Chatbot,OCIO,bureau,enterprise_wide,1,medium,"UPGRADE: OPM's internal chatbot for document analysis/content generation, in production as an internal offering.",
OPM,OpenAI ChatGPT,OCIO,bureau,enterprise_wide,1,high,UPGRADE: ChatGPT-5 rolled out to all OPM workers Sept 2025 under the GSA OneGov $1 agreement.,https://www.nextgov.com/artificial-intelligence/2025/09/opm-adds-openai-its-employees-computers/408232/
SBA,AI Incident Summarization,OCIO: Office of the Chief Information Officer,bureau,office,0,high,Security-operations analyst tool — office scope (narrower than bureau).,
SBA,AI Resolution Notes Generation,OCIO: Office of the Chief Information Officer,bureau,office,0,high,Security-incident documentation tool — office scope.,
SBA,AI Vulnerability Remediation Assistance,OCIO: Office of the Chief Information Officer,bureau,office,0,high,Security-team remediation tool — office scope.,
SBA,AI Vulnerability Ticket Deduplication,OCIO: Office of the Chief Information Officer,bureau,office,0,high,Security-team ticket tool — office scope.,
SBA,Amazon Q in Connect,OCIO: Office of the Chief Information Officer,bureau,office,0,medium,"CONCEDED to parallel pass: Amazon Connect contact-center assistant — contact-center team, office scope.",
SBA,Developer Code Assistant AI,OCIO: Office of the Chief Information Officer,bureau,office,0,high,Developer tool for OCIO software teams — office scope.,
SBA,Employee Center AI Search,OCIO: Office of the Chief Information Officer,bureau,bureau,0,low,"KEEP bureau (low): ServiceNow Employee Center portal search could plausibly reach all staff, but the filing's narrative is too generic to confirm — revisit if evidence emerges.",
SBA,Employee Work Prioritization AI Agent,OCIO: Office of the Chief Information Officer,bureau,bureau,0,low,KEEP bureau (low): 'unified AI assistant' (Gemini) narrative hints at general access but is pre-deployment and unconfirmed.,
SBA,General AI Use Case across the SBA for web and desktop,OCIO: Office of the Chief Information Officer,bureau,enterprise_wide,1,medium,"UPGRADE: explicitly 'across the SBA for web and desktop' (Perplexity, Pilot) — agency-wide research assistant offering.",
SBA,Generative AI for SBA.gov product training,OCIO: Office of the Chief Information Officer,bureau,office,0,medium,ChatGPT for SBA.gov product-training content — office/content-team scope.,
SBA,Multi-Agent Orchestration,OCIO: Office of the Chief Information Officer,bureau,office,0,high,Legacy-code modernization agents for the CAFS modernization program — engineering-team scope.,
SBA,Predictive AIOps,OCIO: Office of the Chief Information Officer,bureau,office,0,high,IT-operations alerting/monitoring tool — IT-ops team scope.,
SBA,Secure IL5 AI,OCIO: Office of the Chief Information Officer,bureau,bureau,0,medium,"KEEP bureau: Ask Sage platform, Retired.",
SBA,Security Team Productivity Enhancement,OCIO: Office of the Chief Information Officer,bureau,office,0,high,Microsoft Copilot for Security — security-team scope.,
SSA,Agency Support Companion (ASC) chatbot,Chief Information Officer,bureau,enterprise_wide,1,high,UPGRADE: 'Assist all internal users across the agency' — rolled out to all SSA employees April 2025; deployed.,https://www.nextgov.com/artificial-intelligence/2025/04/ssa-rolling-out-new-chatbot-employees/404658/
SSA,Enterprise Ticketing System (ETS),Chief Information Officer,bureau,enterprise_wide,1,medium,UPGRADE: agency-wide employee ticketing/search across applications and portals ('help employees find... the appropriate form'); deployed.,
SSA,General Use Chatbot,Chief Information Officer,bureau,enterprise_wide,1,medium,UPGRADE: M365 Copilot Chat general-use employee chatbot (Pilot) — agency-wide offering in pilot.,
SSA,Generative Artificial Intelligence (AI) for Analytic Insights,"Chief Information Officer, Analytics and Improvements",bureau,bureau,0,high,KEEP bureau: analyst pipeline over 800#/IVR call transcripts — analytics-team scope.,
SSA,Intelligent generation of modernized code.,Chief Information Officer,bureau,bureau,0,high,KEEP bureau: code-modernization tooling for CIO development teams.,
SSA,Mainframe code modernization assistant,Chief Information Officer,bureau,bureau,0,high,"KEEP bureau: watsonx Code Assistant for CIO developers, pre-deployment.",
SSA,Policy Assistance Tool (PAT),Chief Information Officer,bureau,enterprise_wide,1,medium,"UPGRADE: policy-search tool to 'help employees quickly and easily find accurate policy information' — agency-wide employee reach, pilot.",
SSA,"SSA 800# Public Question & Answer Bot and OIG Hotline recording of fraud, waste and abuse.","Chief Information Officer, Digital Customer Solutions",bureau,bureau,0,medium,"KEEP bureau: public-facing 800-number bot — national public service, not a workforce enterprise tool.",
SSA,Vocational Assessment Assistant Tool  (VAAT),"Chief Information Officer, Disability Information Systems",bureau,bureau,0,high,KEEP bureau: role-scoped to disability examiners.,
USDA,Chatbot for IT Customer Help Desk,Office of the Chief Information Officer,bureau,enterprise_wide,1,medium,UPGRADE: IT help-desk chatbot 'assists USDA staff' department-wide; deployed.,
VA,Potential Fraud or Waste,OM: Office of Management,bureau,bureau,0,high,KEEP bureau: purchase-card oversight chatbot for card managers — office scope.,
VA,iFAMS CSR Assistant,OM: Office of Management,bureau,bureau,0,high,KEEP bureau: pilot for iFAMS customer-support representatives.,
