agency,use_case_name,bureau_component,scope_detail,deployment_scope,is_enterprise_wide,is_general_llm_access,estimated_user_count,stage_of_development,tool_product_name,tool_vendor,problem_statement,expected_benefits,ref_id_unstable
DOE,Scripting,"LM HQ - Office of Legacy Management (LM)","LM HQ - Office of Legacy Management (LM)",bureau,0,1,,"Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",Gemini,Google,"AI-powered scripting will improve automation, speed, and efficiency.","Reduced cost in alteration of ground water models improving ground water outcomes.",132813
DOE,"ServiceNow Virtual Agent Natural Language Understanding","NR HQ - Naval Reactors (NR)","NR HQ - Naval Reactors (NR)",bureau,0,0,,"Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","ServiceNow Now Assist",ServiceNow,"Aid in users receiving better IT support for incident reporting and service delivery.","Quicker and easier access for users to access pre-built IT Service Management incident and request templates.",132651
DOE,"SpyglassGPT Chat Assistant","NR HQ - Naval Reactors (NR)","NR HQ - Naval Reactors (NR)",bureau,0,1,,"Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"Aid in routine administrative tasks","Increased efficiency for routine tasks",132727
DOI,"Everlaw AI Assistant for Responsive Review",OCIO,OCIO,bureau,0,0,,"Pilot  The use case has been deployed in a limited test or pilot capacity.","Aretec SEARCH",Aretec,"Everlaw AI Assistants Coding Suggestions lets OTAR and DO set natural-language criteria (case, category, and code descriptions) to assess document responsiveness. By tagging documents using keywords, account numbers, and contextual clues, it reduces manual review and speeds document triage","Reduced manual labor cost and cycle time for responsive review; more consistent and rapid identification of responsive documents; meet discovery deadlines; large scale document search; and improved classification for historical accounting.",132985
DOI,"FBMS UPC Chatbot",OCIO,OCIO,bureau,0,1,,"Pre-deployment  The use case is in a development or acquisition status.",,,"An OIG draft finding identified a significant number of purchase requests where the ""Other"" UPCs were used instead of the IT related UPCs that would trigger an IT Approval. This misclassification undermines OCIO's ability to track IT spending","DOI staff that initiate purchase requests will interact with the UPC Chatbot Assistant so that the correct UPC code is used especially when planned purchases are IT related.",133085
DOJ,"AI Chatbot","Department of Justice / FBI","Department of Justice / FBI",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Time intensive review of policy content","Faster FBI operations",133422
DOJ,"AI Meeting Assistant","Department of Justice / CIV","Department of Justice / CIV",bureau,0,0,,"a) Pre-deployment – The use case is in a development or acquisition status.","Microsoft Teams",Microsoft,"This initiative deploys AI-enabled meeting assistants that provide real-time transcription, generate concise summaries, identify action items, and tag outcomes to case files. Aligns with E.O. 14179’s innovation goals and M-25-21’s efficiency and transparency pillars.","(1) Increases productivity by ensuring institutional knowledge is captured, searchable, and integrated into case management systems, reducing duplication and oversight risks.  (2) Integrates with Microsoft Teams, Outlook, OneNote, and other knowledge management systems.                                                                          (3) Increase proficiency in % of meetings transcribed an",133417
DOJ,"AI Personal Assistant","Department of Justice / CIV","Department of Justice / CIV",bureau,0,0,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Complex litigation requires intensive time and project management.  AI assistants can analyze calendars, emails, case-tracking sheets, and schedules. It can flag deadlines, note high-priority tasks, and suggest productivity techniques for managing complex projects. Attorneys could create additional notifications or project management integrations to improve efficiency.","(1) Improved attorney productivity and case management efficiency, enabling better service delivery to client agencies and more effective litigation outcomes. (2) Builds on existing calendar systems, email platforms, and case-tracking databases while maintaining attorney-client privilege protections. (3) Reduced missed deadlines; improved task prioritization; enhanced productivity metrics; better ",133416
DOJ,"AI-Enabled Briefing Assistant","Department of Justice / CIV","Department of Justice / CIV",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Federal Programs Branch (FPB) attorneys face overwhelming records and pressure to maintain consistent arguments across circuits. FPB faces immense workloads defending statutes and federal programs, often requiring rapid analysis of massive records and consistent legal arguments across circuits. This initiative will deploy a retrieval-augmented generation (RAG) tool trained on DOJ filings and admin","(1) This initiative strengthens the federal government’s ability to protect statutory authority and defend policy actions across all agencies.                                                                                                                    (2) Reduction in attorney hours per brief; mitigation of hallucinated citations; measurable improvement in argument consistency across cases. ",133410
DOJ,"AI-Enabled Workflow Automation","Department of Justice / CIV","Department of Justice / CIV",bureau,0,0,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Office of Immigration Litigation (OIL) faces significant backlogs, with repetitive or frivolous claims slowing progress and foreign-language evidence creating bottlenecks. This initiative uses Natural Language Processing for triage and automate translation to accelerate case processing. It aligns with M-25-21’s innovation and governance principles by improving efficiency while preserving human ove","(1) Reduces immigration case backlogs, ensures consistent treatment of claims, and improves responsiveness to federal courts. (2) Builds on OIL case management systems, United States Citizenship and Immigration Services data feeds, and DOJ translation contract costs.(3) Reduced backlog size; fewer attorney hours per case; translation accuracy benchmarks met. Increase in fraudulent/frivolous and re",133407
DOJ,"AI-powered Legal Research","Department of Justice / CIV","Department of Justice / CIV",bureau,0,0,,"a) Pre-deployment – The use case is in a development or acquisition status.","Westlaw AI","Thomson Reuters","DOJ attorneys spend significant time manually researching case law and regulatory precedents across jurisdictions, often missing obscure authorities or evolving standards. This initiative deploys an AI-powered legal research platform that synthesizes case law, flags conflicts or shifts in standards, and provides confidence scores for relevance, automatically updating as new decisions are published","(1) Enhances DOJ's litigation effectiveness by ensuring comprehensive legal research, reducing research time per case, and improving argument quality through better precedent identification. Strengthens government's ability to defend federal programs and policies with more thorough legal foundations. (2)  Builds on existing Westlaw/Lexis subscriptions, DOJ brief bank, and PACER databases. Integrat",133405
DOJ,"ATR Generative Artificial Intelligence Test","Department of Justice / ATR","Department of Justice / ATR",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.",Perplexity,"Perplexity AI","Facilitate access to AI tools by ATR personnel.","This initiative will enable ATR to embrace AI technology responsibly consistent with Presidential Action and various departmental guidance, allowing ATR personnel to optimize and modernize their work processes.",133403
DOJ,"AWS Translate","Department of Justice / TAX","Department of Justice / TAX",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","AWS Translate","Amazon Web Services","Creates machine translation of foreign language documents to facilitate review and evaluation of evidence.","Machine translation facilitates faster review of foreign language documents. Permits selection of key documents to be sent to vendors for evaluation and translation, speeding up review considerably and saving funds that would otherwise be spent on translation vendors.",133302
DOJ,"Administrative Chatbot","Department of Justice / FBI","Department of Justice / FBI",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Time intensive responses to questions","Faster FBI operations",133342
DOJ,"Adobe Photoshop","Department of Justice / FBOP","Department of Justice / FBOP",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Adobe Photoshop",Adobe,"Generative and image enhancement features, selection and workflow improvements.","Better graphics and adjustments of photos for professional quality results.",133424
DOJ,"Adobe Suite Applications","Department of Justice / ATF","Department of Justice / ATF",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Adobe Photoshop",Adobe,"The purpose of the AI use case in Adobe Suite products, is to support the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) in enhancing the quality and efficiency of multimedia content handling within their operations. The out-of-the-box artificial intelligence features included in these Adobe applications assist in tasks like image enhancement, optical character recognition (OCR), conten","The expected benefits of utilizing the AI features in Adobe Suite Products are broad and extend beyond FOIA-related activities. The AI capabilities in applications like Photoshop and Acrobat enhance productivity by automating routine tasks such as image editing, optical character recognition (OCR), and content-aware fill. This automation allows staff to process documents and multimedia content mor",133135
DOJ,Audiate,"Department of Justice / USMS","Department of Justice / USMS",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.","Techsmith Audiate",TechSmith,"This allows USMS training content creators to utilize text-to-speech generation with audio from a wide range of voices and tones without the need of additional actors.","Enhancing the learners online learning experience by improving accuracy of services, supporting 508 compliance and reduce production time to release of training materials to USMS employees",133402
DOJ,"Auditing Diversion Registrant Inventories of Controlled Substances","Department of Justice / DEA","Department of Justice / DEA",bureau,0,0,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Diversion Investigators regularly conduct accountability audits of Registrants' management of controlled substances in order to detect diversion. Registrants sometimes submit hundreds of pages of invoices, receipts, and logs, which must be reconciled against inventory and movement records to ensure that the audits balance. Diversion Investigators review these and mark them for review if there is n","Reduces the amount of investigator time per audit by automating the extraction of key fields (e.g., item, quantity, cost, dates) from invoices and auto-populating computation charts.  Standardized extraction and reconciliation eliminates human entry errors and decreases audit reconciliation error rates.  Real-time flagging of discrepancies (e.g., inventory errors, excess sales, mismatched destruct",133433
DOJ,"Autonomous Drone Detection and Monitoring","Department of Justice / DEA","Department of Justice / DEA",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"DEA needs drones that can safely and effectively navigate autonomously","This use case supports human drone operators and pilots in deploying drones by collecting data. It minimizes the need for costly, extensive training and allows drone operators to focus on real-time operational needs. It supports post-deployment data analysis.",133208
DOJ,"Axon Evidence.com","Department of Justice / ATF","Department of Justice / ATF",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Axon Evidence",Axon,"ATF's use of Axon body-worn cameras and the associated evidence.com service are integral to ensuring ATF's compliance with DOJ policy documented in DOJ OIG, Inspector General Manual, Volume III, Chapter 236, Body Worn Camera Program. Body cam videos are transferred to the Axon Evidence.com service, which includes AI-based features for performing recognition of heads in videos for the purpose of re","Evidence.com provides AI-based features that identify the presence of heads in videos and can perform automated redaction. This would increase the efficiency of redacting video evidence for release. However, ATF is not operationally using them.",133148
DOJ,"Axon Video Retention Solution (VRS) - Transcription","Department of Justice / USMS","Department of Justice / USMS",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Axon Evidence",Axon,"The Transcription AI capabilities present in the Axon Evidence Digital Evidence Management System creates first-pass results for transcription of spoken language in video and audio files into text.  The AI is intended to reduce manual work effort and reduce the time it takes to transcribe words spoken in video and audio files into typed text.","The expected benefits for using the transcription capability includes reduced USMS personnel time required to manually transcribe words spoken in video and audio files into typed text and obviate the need to procure outside transcription services.",133311
DOJ,"Axon Video Retention Solution (VRS) - object recognition and redaction","Department of Justice / USMS","Department of Justice / USMS",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Axon Evidence",Axon,"The Object Recognition AI capabilities present in the Axon Evidence Redaction suite creates first-pass results for potential desired redactions of individual's faces, license plates and computer terminals.  The AI is intended to reduce manual work effort and reduce the time it takes to redact video and audio footage.","This product allows for the protection of identities of Law Enforcement Officers and the public.  The only subjects not blurred/redacted are of the target(s) of the arrest.  In addition the expected benefits for using the object recognition capability includes reduced USMS personnel time required to produce redacted footage and obviate the need to procure outside redaction services.",133306
DOJ,"Azure AI Foundry Platform","Department of Justice / EOUSA","Department of Justice / EOUSA",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.",,,"This AI solution is meant to provide chatbot responses in a secure enclave. In addition, this platform is meant to provide a generative AI that can be used for document review and other use cases as a comparison point to other commercially available alternatives.","Decreased cost to operate AI compared to other commercially available solutions.",133397
DOJ,BriefCatch,"Department of Justice / Department Wide","Department of Justice / Department Wide",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",BriefCatch,BriefCatch,"Addresses errors found in manual legal writing.","Aids attorneys with grammar and sentence structure to enable stronger written product.",133211
DOJ,"Business Intelligence Tools","Department of Justice / Department wide","Department of Justice / Department wide",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",Tableau,Salesforce,"Assists with data discovery and visualization.","The embedded data analytic capabilities will increase the efficiency and effectiveness to locate and analyze data.",133392
DOJ,"Call Center Management and Service Delivery Support","Department of Justice / DEA","Department of Justice / DEA",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"DEA wants to improve the effectiveness of the Diversion Control Registrant Call Center by automating the routing of incoming calls, providing answers to common questions for Diversion Control Registrant call center agents to identify and quickly propose steps toward resolution, and monitoring customer feedback.","To expedite responding to registrant needs with timeliness and consistency of DEA's customer service posture to DEA registrants. To decrease labor costs while maintaining high levels of customer service to DEA registrants. To capture needed improvements to service for implementation.",133205
DOJ,ChatBot,"Department of Justice / COPS","Department of Justice / COPS",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"The Chatbot responds to the questions, allowing staff to focus on other priorities.","The Intelligent Bot tool is implemented using Question and Answer (QnA) Maker and the Language Understanding (LUIS) services which is developed using the Microsoft Azure Software As A Service (SAAS) infrastructure in the Cloud on the COPS website.    This will allow COPS to easily implement a brand new knowledge base of questions and answers feature on the site which will respond via a chat box ba",133175
DOJ,"Chatbot to Answer Diversion Registrants' Queries About Registration and Compliance Issues","Department of Justice / DEA","Department of Justice / DEA",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"TOMSS (Technical Operations Management Support System  will provide call-deflection to ease the customer interaction burden on call center representatives, registration program specialists, and Diversion Investigators. The AI will provide consistent, accurate responses to repetitive queries and replace manual workloads.","30–40% reduction in repetitive calls and emails. • 15–25% reduction in agent workload. • 100% of chatbot responses sourced from verified DEA policy. • 24/7 access to authoritative self-service guidance for registrants.",133431
DOJ,"Chatbot to Answer Internal Employee Policy Queries","Department of Justice / DEA","Department of Justice / DEA",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.","OpenAI API",OpenAI,"It is often challenging for DEA employees to manually search through our voluminous collection of manuals, books, CBP chemical codes, CFR, U.S.C., etc. to find an answer to their specific questions about policy, law, and rules. Training the AI on these materials enables it to answer employee queries comprehensively and quickly, thereby saving employees a lot of time.","AI can provide comprehensiveness answers to employees' questions much more quickly than if the employees had to search and find the answers themselves. In addition, the AI can identify content that needs to be revised or added to effectively provide answers.",133390
DOJ,"CoHost AI (Podcast hosting service feature)","Department of Justice / FBOP","Department of Justice / FBOP",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Buzzsprout CoHost AI",Buzzsprout,"Completing an entire production hosted and published.","Completing an entire production hosted and published in a fraction of the time it would take to complete it manually.",133385
DOJ,CoPilot,"Department of Justice / Department wide","Department of Justice / Department wide",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Features assist with calendaring, meeting summaries, and email drafting.","Reduces administrative time for user.",133273
DOJ,"Cocounsel AI","Department of Justice / EOUSA","Department of Justice / EOUSA",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.",CoCounsel,"Thomson Reuters","Platform is meant to provide a generative AI that can be used for document review and other use cases as a comparison point to other commercially available alternatives.","Increases USAO efficiency through rapid analysis of legal documents, improves accuracy by reducing manual review errors, and assists offices that are not fully staffed by doing more routine tasks and allowing legal professionals to focus on strategic and high-value work",133387
DOJ,"Community Outreach Chatbot that Helps the Public Consume Prevention Resources","Department of Justice / DEA","Department of Justice / DEA",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Many citizens may not have the time to explore the copious library of DEA Community Outreach and Prevention Support (CPO) resources. By training AI on these resources, citizens can ask plain language questions and get succinct answers.","Increased usage of drug use prevention resources by citizens. Extends the reach of CPO into communities who have a high risk of drug abuse.",133430
DOJ,"Conduit AI","Department of Justice / EOUSA","Department of Justice / EOUSA",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.","Conductor Conduit AI",Conductor,"Platform is meant to provide a generative AI that can be used for document review and other use cases as a comparison point to other commercially available alternatives.","Increased efficiency, reduced costs, and improved customer experience through its conversational AI platform.",133384
DOJ,"Customer Service AI Agent/ChatBot","Department of Justice / EOIR","Department of Justice / EOIR",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Members of the public visiting EOIR's website have trouble locating information on the website.","Improving access to information on the EOIR website.",133383
DOJ,"Data & Analytics: Database Tools","Department of Justice / DEA","Department of Justice / DEA",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Aretec SEARCH",Aretec,"DEA needs a way to search, monitor, and analyze a wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more in furtherance of investigations.","This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc.",133194
DOJ,"Data & Analytics: Threat and Security Incident Monitoring","Department of Justice / DEA","Department of Justice / DEA",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.",,,"DEA wants to improve its real-time collaboration, executive protection, and agent safety with data-driven situational awareness, and identify potential threats using entity resolution to analyze multiple commercial and government data feeds.","This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources on potential threats from both insiders and external actors and to assist internal monitoring of  multiple devices for real-time collaboration.  This use case provides entity resolution, taking information entered by DEA analysts and scanning data sources for likely matc",133196
DOJ,"Databricks (Forecasting, predictive analytics, data/statistical analysis)","Department of Justice / ATR","Department of Justice / ATR",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.",Databricks,Databricks,"Client-side and SaaS products that contains fundamental modeling, AI and machine learning techniques for predictive modeling, natural language processing, computer vision and deep learning. Design and develop sophisticated economic models to analyze markets.","Provides ATR with the ability to analyze, summarize, synthesize, and manage various data sources and data formats to support economic and statistical analysis of corporation and market conditions. ATR relies heavily on data analytical tools to support micro - and macro-level analysis.",133173
DOJ,Descript,"Department of Justice / FBOP","Department of Justice / FBOP",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",Descript,Descript,"AI synchronizes audio files to video","Video to be used for communications and training purposes",133251
DOJ,"Enabling eDiscovery Platform AI","Department of Justice / CIV","Department of Justice / CIV",bureau,0,0,,"a) Pre-deployment – The use case is in a development or acquisition status.","Microsoft Teams",Microsoft,"Migrate CORA data to Relativity One or Everlaw, cloud based solutions to enable Relativity's and Everlaw's AI tools for review prioritization, privilege review and other advanced eDiscovery utilities. Utilize internal or third party-tools for AI-assisted collection and data processing, including image and voice recognition and analysis of complex data formats. Integrate E-Discovery tools into case","(1) Increases data availability and accessibility for integration with AI platforms through hosting on a scalable platform, in alignment with DOJ Data Strategy Goal #1 ""Enterprise Data Management."" Creates replicable enterprise capabilities that other DOJ components can adopt.                                                                                                                           ",133375
DOJ,Evidence.com,"Department of Justice / CRT","Department of Justice / CRT",bureau,0,0,,"a) Pre-deployment – The use case is in a development or acquisition status.","Axon Evidence",Axon,"Use the auto-transcribe feature to transcribe body worn camera footage to text making it more easily searchable.   Also use the redaction assistant feature to remove sensitive information from videos.","Improved speed of pre-processing workflows, faster identification of relevant audio, efficiency of investigations.",133184
DOJ,"FOIA Production Tools","Department of Justice / Department wide","Department of Justice / Department wide",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"Enhances and streamlines the processing of Freedom of Information Act (FOIA) requests. Automates tasks such as document classification, intelligent identification and redaction of sensitive or confidential information, and deduplication of documents.","The AI capabilities enable more accurate and efficient organization and retrieval of FOIA-related documents. Additionally, AI optimizes workflows by automating repetitive tasks and minimizing human error, leading to faster processing times and increased operational efficiency. Overall, the incorporation of AI into FOIAXpress is designed to improve the efficiency, accuracy, and compliance of FOIA r",133369
DOJ,"FinCEN Data Summarization","Department of Justice / JMD / OCDETF","Department of Justice / JMD / OCDETF",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Analyze a SAR through generative AI functionality","Speed up production times for providing investigative support to the field. It also makes analysts more available to perform deeper analysis.",133276
DOJ,"Financial and Cryptocurrency Analysis: Commercial Solution","Department of Justice / DEA","Department of Justice / DEA",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"Intelligence Analysts and DEA agents require tools that enable them to accelerate triage, discovery, investigations, and reporting while preserving the context, control, and credibility necessary to make their intelligence actionable. These tools must also support the rapid processing of raw, primary source content to provide useful insights and facilitate the identification of patterns and relati","Saves time and money by freeing up Intelligence Analysts to focus on higher-order analysis, while enhancing the detection and prevention of financial crimes related to ongoing investigations.",133201
DOJ,"Financial and Cryptocurrency Analysis: Federal Partner","Department of Justice / DEA","Department of Justice / DEA",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"Intelligence Analysts and DEA agents require tools that enable them to accelerate triage, discovery, investigations, and reporting while preserving the context, control, and credibility necessary to make their intelligence actionable. These tools must also support the rapid processing of raw, primary source content to provide useful insights and facilitate the identification of patterns and relati","Saves time and money by freeing up Intelligence Analysts to focus on higher-order analysis, while enhancing the detection and prevention of financial crimes related to ongoing investigations.",133200
DOJ,"Generation of Large Test Data Sets","Department of Justice / JMD / OCDETF","Department of Justice / JMD / OCDETF",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Using generative AI modeling, we will create large volumes of test data so that quality assurance, external audits and penetration testing, system demos & integration, etc., can use that generated test data at scale.","Developing and operating with a test set of data will enable engagements between HSTF and external groups, where manual generation of test data at scale  is not feasible.",133278
DOJ,"Generative AI R&D Sandbox","Department of Justice / DEA","Department of Justice / DEA",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.",,,"The purpose of this use case is to create a R&D environment to enable DEA to test and prototype Generative AI based solutions.","To provide a safe environment to prototype and test experimental AI based use cases.",133206
DOJ,Hootsuite,"Department of Justice / PAO","Department of Justice / PAO",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",Hootsuite,Hootsuite,"Optimizes social media posting","PAO uses Hootsuite to schedule and manage social media products. Hootsuite also includes AI-powered social listening features, but PAO does not use those features.  It can advise on when the best time to post would be for maximum engagement, which will help promote our message.",133296
DOJ,"Intelligent Workflow Optimization","Department of Justice / EOIR","Department of Justice / EOIR",bureau,0,0,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Inefficiencies in agency processes, operations, and workflows.","Recommendations and suggestions to improve various aspects of the workflows, operations, and processes supporting EOIR's mission functions. Improve and optimize EOIR's overall performance of its mission functions.",133359
DOJ,"Internal Component-specific chatbot service","Department of Justice / OIG","Department of Justice / OIG",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.","OpenAI API",OpenAI,"Provide human-like conversational responses to conduct general information queries and suggestions towards improving text without feeding into a commercially exposed AI model.","Improve work efficiencies and curve user generative AI usage to an environment that is controlled and contained within GCCH and the DOJ OIG subscription vice a commercial service.  Furthermore, the information and models generated within the GCCH environment stays within GCCH and do not further the model of commercial products or services.",133286
DOJ,"Internal Finance ChatBot","Department of Justice / JMD","Department of Justice / JMD",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Create a personal assistant to provide application-level support to Workiva users based on their functional needs/tasks.","Reduce the need for system users to do manual research, reducing subsequent tier 1 help desk requests.",133358
