Use Case Name,Bureau,Use Case Topic Area,Intended Purpose and Expected Benefits,Impact Classification
EnergyRightPSPImpactsForecasting,Commercial Energy Solutions,Energy & the Environment,"This app is (1) an ETL tool for ancillary data (2) a light-weight MLOps tool for the modeling of energy efficiency and electrification measure-level impact shapes.",Neither
CESASolarModel,Commercial Energy Solutions,Energy & the Environment,"This app allows internal TVA users to generate sample bills for directly served and BCD-rate customers based on active wholesale rates, historical load, and expected shape/magnitude of new behind-the-meter solar arrays.",Neither
CESAFCAAllocator,Commercial Energy Solutions,Energy & the Environment,"Improved efficiency and productivity",Neither
EnergyRightDERPortfolioEvaluation,Commercial Energy Solutions,Energy & the Environment,"Enterprise Planning can now obtain aggregations of ES&P forecasts and ES&P can gain insight into evaluation methodologies.",Neither
Prism Models for MDM,Monitoring Diagnostics Management,Energy & the Environment,"Anomaly detection",Neither
Load Forecasting,Enterprise Planning,Energy & the Environment,"Improved efficiency and productivity",Neither
ArcGIS,GIS,Energy & the Environment,"Improved efficiency and productivity, access to information and insights",Neither
Advanced Network Anomaly Detection,Network,Information Technology,"These tools use a massive amount of data and provide intelligence beyond what could be seen from a single vector.",Neither
Natural Reader,Workforce Development,Administrative Functions,"Text-to-speech desktop software for individual use.",Neither
River Forecast,Riverfleet Management Services,Energy & the Environment,"A multi-scale graph neural network-based autoregressive model trained on historical weather data from ECMWF's ERA5 reanalysis archive.",Neither
Perimeter Defense,Network,Information Technology,"Using a combination of ruleset definitions specifically designed to detect malicious activity and augmented by a proprietary machine learning algorithm.",Neither
AI-Enhanced Search,IT Operations,Information Technology,"Portal users can find answers more quickly and easily with features like auto-complete search queries, natural language support, and typo handling.",Neither
Network Anomaly Detection,Transmission,Energy & the Environment,"Real-time visibility into network communications, assets, connections, and protocols.",Neither
Westlaw,Office of General Counsel,Other,"Reduces the time necessary to perform legal research and provides a tool to check for accuracy in legal writing.",Neither
Copilot,Information Technology,Administrative Functions,"Increased efficiency and productivity",Neither
Github Copilot,Information Technology,Information Technology,"Increased efficiency and productivity",Neither
ESRI GIS AI,Transmission System Support,Energy & the Environment,"Increased efficiency and productivity",Neither
SEEQ AI,Generation,Energy & the Environment,"It serves multiple functional roles to enhance productivity, accelerate insights, and bridge knowledge gaps for users working with time series data.",Neither
Data Services Business Context Definition,Information Technology,Information Technology,"Increased efficiency and productivity",Neither
Cisco ML,Information Technology,Cybersecurity,"Insights, Increased efficiency, increased productivity",Neither
Datum,Information Technology,Information Technology,"Datum is a virtual knowledge employee for Teams. The system can search data and provide analysis.",Neither
Transmission analytics,Safety & Shared Services,Energy & the Environment,"",Neither
AWS Q,Information Technology,Information Technology,"Use of AWS Q will help IT be more efficient and increase productivity",Neither
ChatSPP,Information Technology,Administrative Functions,"Increased efficiency and productivity, faster searching and access to information",Neither
GET Enhancement,Generation Projects & Fleet Services,Energy & the Environment,"The requested updates will augment the GET application by adding the ability to subset and display SSL Confidence Band plots within the user interface.",Neither
GMET Enhancement,Generation Projects & Fleet Services,Energy & the Environment,"This update allows TVA staff to filter, visualize, and export model results on demand, reducing reliance on static reports and improving operational efficiency.",Neither
GMET Multivariate analysis,Generation Projects & Fleet Services,Energy & the Environment,"Increased efficiency and productivity, faster searching and access to information",Neither
CAP Enhancement,Nuclear,Energy & the Environment,"Increased efficiency and productivity",Neither
COBIT and ATAD Prediction,Information Technology,Information Technology,"Increased efficiency and productivity",Neither
Generation Project Funding Estimates,Generation,Energy & the Environment,"Increased efficiency and productivity, reduced errors",Neither
Land Management Records,Information Technology,Energy & the Environment,"AI system to efficiently help find information for public inquiries related to land management, dock permits, and annual reviews.",Neither
Environmental Documentation,Information Technology,Energy & the Environment,"Increased efficiency and productivity",Neither
Bill of Material,Information Technology,Energy & the Environment,"Increased efficiency and productivity, faster searching and access to information",Neither
TVA Today AI,Information Technology,Energy & the Environment,"Increased efficiency, productivity, and access to information",Neither
Non-NPG CAP,Information Technology,Energy & the Environment,"Increased efficiency and productivity",Neither
Azure FEWS CUA,River Management,Energy & the Environment,"Increased efficiency and productivity, faster access to information",Neither
Azure Nuclear Permitting Solution,Nuclear,Energy & the Environment,"Increased efficiency and productivity, faster searching and access to information, improved compliance",Neither
AWS Transcribe,Information Technology,Human Resources,"Extract key business insights from customer calls, video files, clinical conversations, and more.",Neither
Thinklabs,Innovation & Research,Energy & the Environment,"Run TVA PSSE models, train a graph neural net on those results, utilize reinforcement learning on top of the GNN to optimally answer user questions.",Neither
Specification Intelligence,Innovation & Research,Energy & the Environment,"Phase1: chat window for users to ask questions of specs. Phase 2: break specs into concepts and create a matrix for harmonization.",Neither
Trade Chat,Transmission,Energy & the Environment,"Improved code of conduct chat tool functions",Neither
Amazon Connect,Information Technology,Information Technology,"Improved customer support for helpdesk",Neither
Enscape,Information Technology,Information Technology,"Enhanced visuals for economic development efforts",Neither
Arkio,Economic Development,Information Technology,"Enhanced visuals for economic development efforts",Neither
Talkwalker,External Communications,Administrative Functions,"Improved visibility of brand reputation",Neither
