id	use_case_name	bureau_component	vendor_name	system_name	ai_classification	development_type	entry_type	deployment_scope	scope_detail	architecture_type	ai_sophistication	product_id	is_general_llm_access	is_coding_tool	is_product_capability_entry	tool_product_name	tool_vendor	use_type	is_enterprise_wide	is_cots_commercial	is_microsoft_copilot	is_openai	problem
10252	Within Grade Increase Data Extraction Automation	CGFS	GCP	N/A	Natural Language Processing (NLP)	c) Developed with both contracting and in-house resources	custom_system	bureau	CGFS	unknown	nlp_specific		0	0	0			administrative	0	0	0	0	Moving large amounts of data from paper and/or digital forms into a digital system can be challenging, time intensive, and costly.
10253	DS-5528 Promissory Note Automation	CGFS	Google	N/A	Natural Language Processing (NLP)	c) Developed with both contracting and in-house resources	custom_system	bureau	CGFS	unknown	nlp_specific		0	0	0			administrative	0	0	0	0	Moving large amounts of data from paper and/or digital forms into a digital system is challenging, time intensive, and costly.
10254	StateInsight	CGFS			Natural Language Processing (NLP)		custom_system	bureau	CGFS	unknown	nlp_specific		0	0	0			administrative	0	0	0	0	The need to summarize documents to produce a description of procurement awards and to allow authorized users to ask questions of the documents.
10255	Violence Against Civilians Model	CSO					custom_system	bureau	CSO	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10256	User and Entity Behavior Analytics (UEBA)	DS					custom_system	bureau	DS	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10257	Data.State Analytics and AI Funhouse	DT	Microsoft, Databricks, ZenPoint	Data.State-SBU; DOS-O365	Other	c) Developed with both contracting and in-house resources	bespoke_application	bureau	DT	agentic_workflow	agentic	29	1	0	0	Databricks	Databricks	cybersecurity	0	1	0	0	Data scientists require a cybersecure platform for data science experiments, learning, and workflow deployment. Funhouse provides secure and documented access to GenAI and ML tools in an authorized an
10258	FOIA 360 AI Matching Tool	DT					custom_system	bureau	DT	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10259	Property and Procurement Analytics	DT			Classical/Predictive Machine Learning		custom_system	bureau	DT	unknown	classical_ml		0	0	0			administrative	0	0	0	0	The need to expand analytics within the Integrated Logistics Management System (ILMS) through development of a machine learning model for detecting patterns of potential anomalous activity in property
10260	AI Accelerator	DT			Generative AI		custom_system	bureau	DT	unknown	general_llm		1	0	0			administrative	0	0	0	0	The need to quickly discover answers to common questions about using AI at the Department, locate tools and services, and get help with new AI needs - including guidance and requirements, available to
10261	AI Research Engine (AIRE)	DT	Deloitte	Data.State-SBU	Generative AI	c) Developed with both contracting and in-house resources	custom_system	bureau	DT	unknown	general_llm		1	0	0			it_operations	0	0	0	0	The need to improve the quality of reporting from the continuously growing sources of information through the categorization, summarization, and translation of information. Includes formerly titled us
10262	PFCS Proving Ground	DT	Palantir	CfA PFCS	Other	c) Developed with both contracting and in-house resources	custom_system	bureau	DT	unknown	classical_ml		0	0	0			it_operations	0	0	0	0	The need for an experimentation platform to promote the development and adoption of AI solutions.
10263	DT Data Analytics and Assessment (DAA) AI Use Case ITCP Data Harvest	DT					custom_system	bureau	DT	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10264	POA&M Orchestration	DT					custom_system	bureau	DT	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10265	StateChat	DT	Palantir, OpenAI	CfA PFCS	Generative AI	a) Purchased from a vendor	product_deployment	bureau	DT	inference_only	general_llm	7	1	0	0	OpenAI API	OpenAI	it_operations	0	1	0	1	The need to safely and securely access, share, summarize, and research Sensitive But Unclassified (SBU) Department information. Improve and reduce time to translating documents, summarizing reports, a
10266	J Reports Data Collection & Management Tool (DCT)	DT					custom_system	bureau	DT	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10267	Natural Language Processing (NLP) for Foreign Assistance Appropriations Analysis	F/FAO	Guidehouse	FACTS Info	Natural Language Processing (NLP)	c) Developed with both contracting and in-house resources	custom_system	bureau	F/FAO	unknown	nlp_specific		0	0	0			mission_critical	0	0	0	0	Summarizing the key points of a lengthy report using AI.
10268	ForeignAssistance.gov Processing for Mismatched Data	F/FAO					custom_system	bureau	F/FAO	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10269	FA.gov PII Picker	F/FAO	Guidehouse	N/A	Natural Language Processing (NLP)	c) Developed with both contracting and in-house resources	custom_system	bureau	F/FAO	fine_tuned	nlp_specific		0	0	0			administrative	0	0	0	0	The need to streamline a process, improve accuracy, and provide validation checks. The previous process to identify Personally Identifying Information (PII) required additional layers of manual verifi
10270	Integrated Country Strategy (ICS) Turbo	F/FAO	Guidehouse	N/A	Natural Language Processing (NLP)	c) Developed with both contracting and in-house resources	custom_system	bureau	F/FAO	unknown	nlp_specific		0	0	0			administrative	0	0	0	0	The need to conduct thematic analysis on large volumes of Integrated Country Strategy (ICS) data in a comprehensive and time efficient manner.
10271	FA.gov RedactAid	F/FAO	Guidehouse	N/A	Classical/Predictive Machine Learning	c) Developed with both contracting and in-house resources	custom_system	bureau	F/FAO	custom_trained	classical_ml		0	0	0			administrative	0	0	0	0	The need to improve data quality of information and prevent sensitive data from being published to ForeignAssistance.gov.
10272	Automatic Detection of Authentic Material	NFATC	N/A	N/A	Natural Language Processing (NLP)	b) Developed in-house	custom_system	bureau	NFATC	unknown	nlp_specific		0	0	0			administrative	0	0	0	0	The need to detect/identify authentic materials in target languages, reducing the time to develop language curricula and tests.
10273	Office of the Historian (OH) Historical Analysis for Negotiations	NFATC	N/A	N/A	Generative AI	b) Developed in-house	custom_system	bureau	NFATC	custom_trained	general_llm		1	0	0			administrative	0	0	0	0	The need for historical information in real time to assist with analysis by the Office of the Historian (OH) and decision making.
10274	FSI Enterprise Operations - Gaming and Simulations	NFATC					custom_system	bureau	NFATC	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10275	Enhancing Training Effectiveness in FSILearn Using AI	NFATC					custom_system	bureau	NFATC	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10276	FSI Continuous Learning Solutions	NFATC					custom_system	bureau	NFATC	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10277	Digital Media Analytics Platform	GPA	N/A	NorthStar	Generative AI	b) Developed in-house	custom_system	bureau	GPA	custom_trained	general_llm		1	0	0			mission_critical	0	0	0	0	Using open-source neural machine translation models to translate global media articles and Department and public foreign social media posts into English.
10278	Electronic Health Record AI Enhancements	DT	Palantir	MED-PLTR	Generative AI	c) Developed with both contracting and in-house resources	custom_system	bureau	DT	agentic_workflow	agentic		1	0	0			administrative	0	0	0	0	Provide efficient, accurate, and comprehensive medical electronic health record (EHR) management, patient care, and administrative workflows by leveraging AI-powered tools, including large language mo
10279	Rosie Chat Bot	MGT	N/A	DOS-O365	Generative AI	b) Developed in-house	custom_system	bureau	MGT	unknown	general_llm		1	0	0			administrative	0	0	0	0	The need for employees to locate consistent, accurate answers to HR-related questions quickly based on internal information.
10280	Utility Invoices Data Extraction	MGT	N/A	N/A	Classical/Predictive Machine Learning	b) Developed in-house	custom_system	bureau	MGT	unknown	classical_ml		0	0	0			administrative	0	0	0	0	The need to reconcile and process payments faster.
10281	Database for Arrivals	MGT			Computer Vision		custom_system	bureau	MGT	unknown	computer_vision		0	0	0			administrative	0	0	0	0	Automating the extraction of personnel information to create a centralized database for arrivals and departures.
10282	AI SharePoint Chatbot	MGT			Generative AI		custom_system	bureau	MGT	unknown	general_llm		1	0	0			it_operations	0	0	0	0	The need for efficient access to post-specific information.
10283	Databricks Code Assistant	MGT			Generative AI		product_deployment	bureau	MGT	inference_only	general_llm	29	1	0	0	Databricks	Databricks	it_operations	0	1	0	0	Determining potential billing problems for Department mobile plans can be time consuming and prone to errors.
10284	Natural Language Processing (NLP) to pull key information from unstructured texts	PM					custom_system	bureau	PM	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10285	Walter:  Generative AI Support Bot	WHA	Microsoft	DOS-O365	Generative AI	a) Purchased from a vendor	product_deployment	bureau	WHA	inference_only	general_llm	33	1	0	0	Custom In-House AI	In-House	it_operations	0	1	0	0	The need to more effectively focus on critical customer requests with existing resources.
10286	ECA Program Management and Outreach - Summarization	ECA					custom_system	bureau	ECA	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10287	Storyzy	R/GEC					custom_system	bureau	R/GEC	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10288	AI Tools to Enhance PD Workflows	GPA					custom_system	bureau	GPA	agentic_workflow	agentic		1	0	0			administrative	0	0	0	0	
10289	Mass Mobilization Model	CSO					custom_system	bureau	CSO	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10290	Senturion Alpha	CSO					custom_system	bureau	CSO	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10291	WHA/EX Information Management	WHA	Microsoft	DOS-O365	Generative AI	c) Developed with both contracting and in-house resources	custom_system	bureau	WHA	unknown	general_llm		1	0	0			it_operations	0	0	0	0	Knowledge Management for administrative and IT related processes. Formerly known as "Low Earth Orbit (LEO)  Budget Office Inquiries" to answer questions frequently asked about budget.
10292	Creating Persistent Virtual Reality Personas for Dynamic Training	NFATC			Generative AI		custom_system	bureau	NFATC	unknown	general_llm		1	0	0			administrative	0	0	0	0	There is a need to improve effectiveness of immersive training in the future. The team develops a dynamic integration between multiple AI tools to create stored/persistent "personas" that can be inter
10293	Translation of Consular Content using AI	CA					custom_system	bureau	CA	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10294	TIP Report Research Translation	DT	Deloitte, AzureAI	AzureAI Translator	Generative AI	c) Developed with both contracting and in-house resources	custom_system	bureau	DT	fine_tuned	general_llm		1	0	0			research	0	0	0	0	The TIP Report Translation AI system provides informal, unofficial translations for materials related to the annual Trafficking in Persons report.  This capability saves staff time and allows research
10295	Diplomatic Security - Legal Instruction Unit	DS	LexisNexis, ChatGPT	CFA PCFS	Generative AI	c) Developed with both contracting and in-house resources	bespoke_application	bureau	DS	custom_trained	general_llm	6	1	0	0	ChatGPT	OpenAI	cybersecurity	0	1	0	1	Insufficient personnel and resources available to create multimedia, conduct necessary research, and develop required curriculum.
10296	NIV Adjudication Review Recommendation Engine (ARRE)	CA	Guidehouse	N/A	Classical/Predictive Machine Learning	c) Developed with both contracting and in-house resources	custom_system	bureau	CA	custom_trained	classical_ml		0	0	0			administrative	0	0	0	0	ARRE is used to make post-adjudication managerial quality assurance review time more efficient. The current required managerial review of cases includes a randomly selected portion, which is not optim
10297	Live Consular AI Language Augmentation (LCALA) - Visa Interview Pilot	CA					custom_system	bureau	CA	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10298	AI Programmatic Insights	CA	N/A	N/A	Generative AI	b) Developed in-house	custom_system	bureau	CA	custom_trained	general_llm		1	0	0			administrative	0	0	0	0	Regional Directors (RD) have to analyze current passport trends and data to determine overall performance and resource requirements to enable successful alignment to overall performance targets; howev
10299	RegScale	CA			Natural Language Processing (NLP)		product_deployment	bureau	CA	inference_only	nlp_specific	3	0	0	0	Microsoft Teams	Microsoft	cybersecurity	0	1	0	0	The AI in RegScale is intended to reduce the manual workload, complexity, and latency in compliance management. It automates the extraction and initial drafting of regulatory documentation, identifies
10300	Live Consular AI Language Augmentation (LCALA) - OCS/ACS Pilot	CA	Microsoft	N/A	Natural Language Processing (NLP)	a) Purchased from a vendor	custom_system	bureau	CA	fine_tuned	nlp_specific		0	0	0			mission_critical	0	1	0	0	LCALA OCS/ACS Pilot aims to close language gaps in routine, time-sensitive citizen services by providing on-demand interpretation for calls and in-person interactions. Today, limited interpreter avail
