Use Case ID,Use Case Name,Agency,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development, Is the AI use case high-impact?,Provide a justification for why the use case is determined to be not high impact.,Use Case Topic Area,AI Classification ,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public? ,Describe the AI system's outputs.,Date when AI use case became operational or the pilot’s start date.,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house? ,Vendor(s) Name ,Does this AI use case have an associated Authorization to Operate (ATO)? ,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case’s associated Privacy Impact Assessment (PIA), if any.","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code? ,"If the code is open source, provide the link for the publicly available source code."
FRB-0021,Body Worn Cameras Data Management System,"Board of Governors of the Federal Reserve System	",Office of the Inspector General,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Law Enforcement,Generative AI,Body Worn Cameras Data Management – Ensure proper handling of information in body camera footage while making content searchable,"Audio recordings may be transcribed to text and/or redacted. Transcripts are
then labeled “unverified” until an OIG designated member reviews, edits and approves the final transcript.

Automatically detects and redacts screens (computer screens, digital
signs), faces and license plates captured. Prior to redacting any evidence, a special agent must first approve the redactions before sharing any evidence.",Text versions of spoken word,7/1/2024,Purchased from a vendor,Third Party Vendor,No,Body Worn Camera Data Management System,None,,Yes,https://www.federalreserve.gov/files/pia_body_worn_cameras_oig.pdf,Other,No,
FRB-0022,Market Fund Portfolio,"Board of Governors of the Federal Reserve System	",Division of Research and Statistics,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Accurately identify security issuers in money market fund portfolios,To assist with issuer classification of money market funds,A list of likely issuers of a particular security,5/1/2021,Developed in-house,,Yes,General Support System,External – SEC Filings,,No,,None of the above,Yes,
FRB-0024,Sentiment Analysis of Earnings Transcripts,"Board of Governors of the Federal Reserve System	",Division of Monetary Affairs,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Measure and classify sentiment in bank earnings calls to identify emerging trends ,Additional insight into sentiments related to topics in bank earnings calls,"The probability that text inputs are positive, negative, or neutral and classifies them as such",10/1/2024,Developed in-house,,Yes,General Support System,Internal – Earning Transcripts,,No,,None of the above,Yes,
FRB-0025,Anomaly Detection,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Identifying irregular patterns in firm-submitted information based on historical submission patterns,Improve the iterative data quality process,Suggested messages regarding data quality of subsets of firm submitted data based on similar historical messages,12/1/2022,Developed in-house,,Yes,General Support System,Internal – QIS,,No,,None of the above,Yes,
FRB-0026,Consumer Complaints Explorer,"Board of Governors of the Federal Reserve System	",Division of Consumer and Community Affairs,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Categorize large volumes of consumer complaints into topics to facilitate appropriate analysis and response,Improve the classification of consumer complaints into topics using topic modeling,"Gamma value, topic number, and top five terms for the topic number for each narrative",1/1/2019,Developed in-house,,Yes,General Support System,External – CFPB Consumer Complaints,,No,,None of the above,Yes,
FRB-0028,Regulatory Data Analysis,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Identify potential reporting anomalies by comparing current submitted values against expected ranges based on historical patterns,Improved data quality for stakeholders,Values for various predicted percentile levels for a given reporter are provided to an analyst to compare to current reported values,9/9/2024,Developed in-house,,Yes,General Support System,Internal – Firm Data,,No,,None of the above,Yes,
FRB-0029,Decision Tree for Deposits Data,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Detect outliers in current reporting data to enhance overall data quality and reliability,Improved process efficiency and data quality. ,Predetermined variables are calculated and then filtered to identify potential outliers in the current reporting period data,8/29/2024,Developed in-house,,Yes,General Support System,Internal – H.6 Money Stock Measures,,No,,None of the above,Yes,
FRB-0031,Novel Activities Call Report Classification,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Identify emerging or non-traditional banking activities,The random forest model would parse out what reported categories most significantly predict inclusion on novel banking activity lists,The model identifies call report line items that are correlated with the banks on internal supervisory lists and classifies banks based on their statistical similarity to banks engaged in novel activities,7/1/2024,Developed in-house,,Yes,General Support System,Internal – FDIC Deposits,,No,,None of the above,Yes,
FRB-0032,Financial News Processing,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,"Transform large volumes of unstructured financial news into structured, actionable insights",Assist with financial news processing,Interactive dashboards,9/1/2024,Developed in-house,,Yes,General Support System,External – News  Feed,,No,,None of the above,Yes,
FRB-0033,Bank Exam Quality Control – Model 1,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Enhance quality control by incorporating external news data into performance assessment models,A traditional machine learning NLP model of bank performance that utilizes information in news articles among various inputs,Model outcomes are used as a component of quality control,,,,,,,,,,,,
FRB-0034,Document Summarization Statistics,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Extract meaningful metrics and term frequencies from lengthy documents to identify trends and common issues,Provide statistics about bank review letters based on the length of the letters and the frequency of common financial terms,Statistics on letters contained in a PDF,12/22/2024,Developed in-house,,Yes,General Support System,Internal – Firm Data,,No,,None of the above,Yes,
FRB-0035,Writing Quality Analysis Model,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,"Ensure consistent, high-quality writing across organizational documents through automated style and quality assessment",A NLP model to help leaders better understand the writing quality and consistency of documents,Provides analysis score of consistency of writing style,,,,,,,,,,,,
FRB-0036,Comment Review System,"Board of Governors of the Federal Reserve System	",Division of Information Technology,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,"Manage, analyze, and categorize large volumes of public comments","The Comment Review System (CRS) is a system used by the Board of Governors of the Federal Reserve System (“Board”) to electronically process and manage comments from the public on regulatory rulemakings, information collections, and other proposals (collectively, “proposals”). The Board’s processing of comments may use artificial intelligence (AI) to provide more efficient processing of public comments (e.g., text matching, entity identification, and text similarity matching).​ ","To assist the analyst in reviewing each comment, CRS uses traditional machine learning natural language processing (NLP) to provide text summarization, text matching with lists of topics, entity identification, and text similarity matching. In addition, CRS identifies duplicative or near-duplicative comment letters, provides full text search (including metadata properties), and provides the optionality of providing notes or labelling comments based on various metadata attributes. All public comments are reviewed in their entirety, and summaries are used to assist with these reviews.",7/1/2021,Developed in-house,,Yes,Comment Review System,External – Public Comments,,Yes,https://www.federalreserve.gov/files/pia_crs.pdf,None of the above,Yes,
FRB-0037,Trading Desk Grouping,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Other  – Economic & Financial,Natural Language Processing,Categorize wide-ranging trading desk operations by asset class,Grouping Trading Desk Descriptions,An asset class type for each desk,4/1/2024,Developed in-house,,Yes,General Support System,External – Banking Data,,No,,None of the above,Yes,
FRB-0041,Threshold Monitoring,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Timely identification of threshold limits,"Enhance monitoring on limits thresholds, faster collaboration",​Tools serve analysts to enhance monitoring on limits thresholds and actuals,,,,,,,,,,,,
FRB-0042,Supply and Demand Tool,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Optimize resource allocation based on defined rules to better balance supply and demand constraints,The tool is used to monitor and project resource and supply demand​ based on defined rule sets,Resource monitor based on rule outcomes,,,,,,,,,,,,
FRB-0043,Outlier Detection,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Efficiently process large volumes of firm data to identify anomalies and extract meaningful insights,"Traditional AI to help identify, synthesize, and deliver information provided by firms.","Identify, synthesize, and deliver information from firms",,,,,,,,,,,,
FRB-0044,Earnings Call Topic Model,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Systematically categorize earnings call content to enable more efficient and comprehensive analysis,Model used to classify topics from earnings calls,Classify information from Earnings Calls,,,,,,,,,,,,
FRB-0045,Bank Performance Monitoring,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Enhance capabilities through econometric modeling based on historical performance data,Model used to support off site risk analysis,Econometric model that supplements offsite risk analysis based on historical ratings,,,,,,,,,,,,
FRB-0047,Bank Exam Quality Control – Model 2,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Incorporating external news data into modeling,A traditional machine learning NLP model of bank ratings that utilizes information in news articles among various inputs,Model outcomes are used as a component of quality control,,,,,,,,,,,,
FRB-0049,Risk Rating Model – Community Banks,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Develop more accurate classification framework for community banks to appropriately tailor strategies,"To improve upon the classification framework used to tier community banks according to risk, and to tailor examination intensity ",Statistical methods are used in the variable selection process for a model,10/30/2023,Developed in-house,,Yes,General Support System,"Internal – FFIEC Call Report, Uniform Bank Performance Report",,No,,None of the above,Yes,
FRB-0050,Risk Rating Model,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Improve risk models optimize resource allocation,"Identify a set of factors that may be helpful in predicting  the likelihood that a bank will experience an adverse outcome in the future, and to tier banks into High-, Moderate- and Low-risk tiers for review
",Statistical methods are used in the variable selection process for a risk model,10/2/2019,Developed in-house,,Yes,General Support System,"Internal – FFIEC Call Report, Uniform Bank Performance Report",,No,,None of the above,Yes,
FRB-0051,Financial System Data Analysis,"Board of Governors of the Federal Reserve System	",Division of Financial Stability,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Model counterparty exposures across multiple institutions.,Enhance the ability to monitor trends in the financial system.,Model provides a calculated risk score,,,,,,,,,,,,
FRB-0052,Bank Examiner Search Engine,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Saving examiners time by providing requested information needed during bank examinations,Provide efficiencies for bank examiners during examinations by helping to provide information faster and at greater scale,Retrieval of requested documents in original unaltered form,6/3/2025,Developed in-house,,Yes,General Support System,Internal – FFIEC Call Report ,,No,,None of the above,Yes,
FRB-0053,Oasis Semantic Search,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Manually searching for documents is a significant task for each business use case,"Reduce search time for each business use case
 ",Retrieval of search results and documents that may otherwise be excluded by a keyword alone.,,,,,,,,,,,,
FRB-0054,Virtual Benefits Assistant,"Board of Governors of the Federal Reserve System	",Division of Management,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Human Resources,Generative AI,Virtual Assistant is designed to answer questions on how to navigate the site and answer general questions,Get general answers on benefits and links to reference materials for additional information or benefits contact information,The system provides general responses and employees have the option to speak to a representative if they have more detailed questions.,3/1/2025,Purchased from a vendor,Benefits Manager,Yes,Benefits Manager, Internal – Thrift Plan and Retirement Plan Documentation,,No,,None of the above,No,
FRB-0055,Data Quality Prioritization Dashboard,"Board of Governors of the Federal Reserve System	",Division of Information Technology,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Edits are needed to call report data in a short period of time,Quicker outreach and data revision to enhance data quality for end users,Edit explanation and revision data from call reports,,,,,,,,,,,,
FRB-0056,Monitoring Earnings Conference Calls,"Board of Governors of the Federal Reserve System	",Division of Monetary Affairs ,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Need to identify mentions of using genAI alongside research and development,Information on R&D at reported organizations,Call transcripts with keywords,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
