Use Case Name,What problem is the AI intended to solve?,Use Case Topic Area,AI Classification,Stage of Development
Elastic Machine Learning Threat Detection (Phase 1),"The AI is intended to solve the problem of identifying and detecting threats within system logs. By utilizing Elastic Machine Learning and Amazon SageMaker, the system performs time series analysis on log data to proactively identify potential security breaches or anomalies that might otherwise go unnoticed. This continuous analysis aims to enhance the overall security posture of GSA IT.",Cybersecurity ,Classical/Predictive Machine Learning,c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.
Elastic Machine Learning Threat Detection (Phase 2),"The AI is intended to solve the problem of effectively identifying and prioritizing cyber threats. By creating aggregation models and decision tree models, the AI aims to synthesize information from various sources, including Phase 1 models and new use cases, to provide a comprehensive understanding of user behavior and machine communication patterns. This will allow for the isolation and ranking of cyber threats, facilitating faster and more accurate escalation to threat hunting and incident response teams.",Cybersecurity ,Classical/Predictive Machine Learning,c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.
Slack AI,"The AI is intended to solve the problem of inefficient team communication and productivity by providing AI-powered assistance within the Slack messaging platform. This includes addressing challenges such as managing long message threads, difficulty in finding relevant information, and optimizing workflows, ultimately aiming to reduce the time spent on message management and foster better knowledge sharing within teams.",Information Technology,Generative AI,a) Pre-deployment - The use case is in a development or acquisition status.
FAS Vision Agentforce,"The AI, specifically the ""FAS Vision Agentforce"" system, is intended to solve several key customer service challenges by automating and improving operations. Its primary purpose is to efficiently handle customer inquiries, especially routine ones like order status requests, and to automate discrepancy case creation for issues with orders received. By doing so, it aims to alleviate the burden on human customer service representatives, reduce manual processes, and provide quicker, more consistent support to agency customers.",Service Delivery,Agentic AI,a) Pre-deployment - The use case is in a development or acquisition status.
ServiceNow Generic Ticket Classification,Used to automatically route generic tickets to the correct group.,Information Technology,Classical/Predictive Machine Learning,a) Pre-deployment - The use case is in a development or acquisition status.
ServiceNow Virtual Agent (Curie),This use case is designed for use within GSA to allow employees to research IT issues presenting to their workstation or find a quick answer to an IT procedure.,Service Delivery,Natural Language Processing (NLP),c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.
Marketplace: AI Supported Bookings & Space Stacking,"The use case is intended to solve the problem of inefficient real estate resource management within federal agencies. It aims to optimize workspace utilization by providing smart recommendations for seating arrangements and space allocation, thereby reducing friction in the reservation process, minimizing unused space, and enabling data-informed decisions for space consolidation and cost reduction.",Administrative Functions,Classical/Predictive Machine Learning,a) Pre-deployment - The use case is in a development or acquisition status.
OCFO Chatbot,"The AI is being developed to address the challenge of providing efficient and timely financial inquiry support by automating responses to common user questions. This aims to reduce the workload on financial personnel and improve the accessibility of accurate financial guidance, thereby streamlining the process and eliminating the need for users to wait for human intervention for routine inquiries.",Procurement & Financial Management,Generative AI,a) Pre-deployment - The use case is in a development or acquisition status.
GovCXAnalyzer,"The AI is intended to enhance the analysis of customer experience (CX) data across government services. It aims to process structured and unstructured customer feedback to identify key themes, sentiments, and pain points, thereby improving government services.",Service Delivery,Natural Language Processing (NLP),c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.
Strategic Atlas,"The AI is intended to solve the problem of difficulty in monitoring strategy execution and related opportunities at GSA, specifically because execution often depends on agency partners whose priorities, progress, and results are hard to track.",Procurement & Financial Management,Generative AI,c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.
RPA Cloud Connection,"The AI is intended to modernize the Process Optimization and Automation (PO&A) architecture by integrating the RPA Test environment with a cloud-based AI environment. This aims to automate the extraction and processing of data from unstructured documents such as invoices, receipts, forms, and emails, which typically consume significant manual effort and time. The goal is to streamline document-based workflows and improve overall efficiency in operations.",Information Technology,Computer Vision,a) Pre-deployment - The use case is in a development or acquisition status.
Office of Civil Rights (OCR) Case Crawler,"The AI is intended to solve the problem of manually searching through extensive PDF documents of past EEOC OFO case decisions and OCR final agency decisions. This manual process is time-consuming and inefficient, and the AI aims to automate and streamline the search for desired terms or case names within these documents.",Administrative Functions,Natural Language Processing (NLP),a) Pre-deployment - The use case is in a development or acquisition status.
ChatOGC,"The AI system aims to solve the problem of significant inefficiencies faced by attorneys within the Office of General Counsel (OGC) when searching for internal legal opinions and relevant GSA orders. These critical resources are currently scattered across various platforms, making them difficult and time-consuming to locate, leading to attorneys spending considerable time searching for precedents or contacting colleagues.",Administrative Functions,Natural Language Processing (NLP),a) Pre-deployment - The use case is in a development or acquisition status.
No-Code Text and Sentiment Analysis with XM Discover,"The AI in this use case is intended to solve the problem of efficiently conducting text and sentiment analysis on qualitative feedback in a no-code environment. This allows GSA to gain a more nuanced view of customer sentiment and connect text feedback to key survey metrics and operational data for more thorough insights, moving beyond simple text summarization. Ultimately, the AI helps GSA to improve its ability to make data-driven decisions regarding customer needs.",Service Delivery,Natural Language Processing (NLP),c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.
Solicitation Review Tool (SRT),"The AI is intended to solve the problem of efficiently identifying non-compliant Information and Communications Technology (ICT) solicitations within SAM.gov data. It aims to automate the initial screening process to flag solicitations that may lack necessary compliance language, which would otherwise require extensive manual review by agencies.",Procurement & Financial Management,Natural Language Processing (NLP),c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.
Solicitation Review Tool - Section 508,"The AI is intended to solve the problem of ensuring that federal solicitations for Information and Communication Technology (ICT) include adequate Section 508 compliance requirements to support accessibility in federal IT. It aims to automate the detection of ICT-related solicitations and then check for Section 508 compliance, improving the accessibility of government IT acquisitions.",Procurement & Financial Management,Natural Language Processing (NLP),a) Pre-deployment - The use case is in a development or acquisition status.
Software Supply Chain Security Research,"The AI is intended to solve the problem of time-consuming manual research into security vulnerabilities for third-party software as part of the Software Security Review process. Currently, a manual process handles a limited number of issues per day, and a backlog of over 200 issues exists, with each issue potentially taking hours of human effort for research.",Cybersecurity ,Generative AI,a) Pre-deployment - The use case is in a development or acquisition status.
Expedited Transfer of Program of Requirements into Test Fit Layouts and Concept Design Options,"The AI is intended to solve the time-consuming process of generating initial test fit layouts and concept design options from program requirements, a task that traditionally takes weeks to months. By leveraging AI, the system aims to significantly expedite this process, allowing for preliminary designs to be created within 24 to 72 hours. This addresses the need for faster turnaround times in initial design conversations and concept visualization for potential clients.",Service Delivery,Generative AI,a) Pre-deployment - The use case is in a development or acquisition status.
National Computerized Maintenance Management System (NCMMS) AI Chatbot,"The AI is intended to solve the problem of providing user support within National Computerized Maintenance Management System (NCMMS) (IBM Maximo) for facility managers, contractors, and management teams, specifically by offering contextual support for the 20,000 work orders submitted daily.",Service Delivery,Natural Language Processing (NLP),a) Pre-deployment - The use case is in a development or acquisition status.
PBS AI Chatbot Domain Enhancements,"The AI chatbot is intended to solve the problem of siloed information and time-consuming research across various Public Buildings Service (PBS) domains, including Portfolio Management, Facilities Management, Project Delivery, Acquisition, Client Strategy, Architecture & Engineering, and Strategy & Performance. By consolidating disparate data sources, policy documents, and internal guidance into a conversational, citation-rich assistant, the AI aims to streamline access to critical information and provide on-demand, data-driven insights for PBS personnel.",Service Delivery,Natural Language Processing (NLP),a) Pre-deployment - The use case is in a development or acquisition status.
Leasing Desk Guide Bot,"The AI, specifically the ""Leasing Desk Guide Bot,"" is intended to solve the problem of GSA stakeholders needing to efficiently access accurate, consistent, and context-relevant information from the Leasing Desk Guide to perform their duties. By leveraging a RAG-based internal chatbot, the system aims to streamline the information retrieval process, reducing the time and effort traditionally required to find specific details within a large corpus of knowledge, thereby enhancing operational efficiency for GSA personnel.",Administrative Functions,Generative AI,c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.
Portfolio Analysis LLM,"The AI is intended to solve the problem of enabling strategic decision-making around the optimization of the PBS real estate portfolio. This involves aggregating multiple data sources to answer key strategic questions, such as how to increase occupancy levels or find opportunities to decrease the cost per occupant within the portfolio.",Procurement & Financial Management,Generative AI,c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.
Pricing Policy Chatbot,"The AI, specifically the Pricing Policy Chatbot, is intended to solve the problem of efficiently providing factually accurate, context-relevant, and consistent information related to Pricing Policy to internal stakeholders. By training a RAG-based internal chatbot on a dedicated corpus of knowledge, the system aims to streamline the process of information retrieval and ensure that personnel have immediate access to the necessary guidance for their duties, thereby reducing potential inconsistencies and improving operational efficiency.",Administrative Functions,Natural Language Processing (NLP),b)  Pilot - The use case has been deployed in a limited test or pilot capacity.
Tier 1 Use Cases,"These use case addresses challenges such as lack of familiarity with AI tools, inefficient low-stakes tasks, uninformed AI tool acquisition, and unaddressed ethical implications by providing a framework for exploring, evaluating, and understanding AI capabilities with non-sensitive information.",Administrative Functions,Other ,c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.
