2025 VA AI Use Case Inventory,,,,,,,,,,,,,
Use Case ID,Use Case Name,VA Admin or Staff Office,Development Stage,High-Impact Status,Problem to be Solved,Expected Benefits,AI System Outputs,AI Tech Classification,Topic Area,Custom-Developed Code?,Development Type,Federal Data Catalog Link,Public Open Source Link
VA-25-3767,Exam Verification Agent,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,The process for a Veteran Service Representative (VSR) to determine if an exam is warranted for a claim for increase (claims with end product [EP] 020) for a given contention requires that the VSR expend considerable effort and time to review extensive documentation within a Veteran or Claimant's eFolder. VSR needs review this documentation to identify whether sufficient evidence already exists for the claim to proceed to a rating or if an exam should be ordered to be able to rate the claim. The AI will reduce the time needed to review the evidence by providing a list of related evidence to the contention and a recommendation on whether an exam is needed.,"The Exam Verification Agent system will reduce the time needed to develop a claim, increasing efficiency in benefits processing. It transforms the complex and time-intensive process of determining medical exam necessity for disability claims for increase by deploying multiple specialized AI agents. The agents autonomously evaluate claim evidence and provide a recommendation and a summary of the reasoning for the recommendation to the user.
","The product will provide VSRs with: 
- An agentic AI tool that identifies whether an exam is required for each contention for which there is a Claim for Increase
- A summary of evidence identified within the file and links to the documents identified within the Veteran’s file. ",Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Government Benefits Processing,,,,
VA-25-4147,Benefits Contention Classification Model,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,The Benefits Contention Classification model is intended to improve the current benefits adjudication process by providing an automated classification for all benefits claims contentions. The model will do this by providing a classification for each contention that is not currently covered by the existing process. This is intended to make the overall benefits adjudication process more efficient by reducing the necessary time for VA rating representatives to choose the appropriate disability questionnaire for the the given contention.,The expected benefit of this model is increasing efficiency in the benefits adjudication process by automating the internal classification required to select the disability benefits questionnaire that should be sent to the Veteran.,"The model outputs an internal classification (e.g., 3140) which is used to classify free text into a medical category.",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Government Benefits Processing,,,,
VA-25-4465,Limited Payability Letter Automation,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"The re-issuance of a benefits payment following Limited Payability currently relies on manual steps that take an undetermined amount of time. Using AI will allow VA to automate the re-issuance of benefits, accelerating the delivery of those re-issued payments to beneficiaries and reducing manual errors during the process.","Increased efficiency, increased accuracy, and quicker delivery of benefits payments to beneficiaries.",The AI system will read the signed and returned Limited Payability letter and automatically prepare a payment transaction using that data.,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Government Benefits Processing,,,,
VA-25-4527,Disability Benefits Document Classifier,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"As a Veteran submitting documents to support a claim, I want the VA to automatically classify my uploads so that I can avoid confusing dropdowns and feel confident my evidence will be reviewed and processed correctly. The burden currently rests with Veterans to classify/label their documents on VA.gov after manually uploading them. As a result:
- Veterans face confusing submission experiences
- Veterans overuse the ""other/correspondence"" document label
- Veteran Service Representatives (VSRs) waste time opening mislabeled files in the Veterans Benefits Management System (VBMS) eFolder
- Automation systems ignore incorrectly labeled evidence or misroute it (causing delays of up to 26 days)","Automating this manual task saves time for Veterans applying for benefits, VSRs processing claims, and increases throughput and accuracy of downstream automation systems.","For each document uploaded, our system returns the corresponding VA.gov/VBMS-defined document type.",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Government Benefits Processing,,,,
VA-25-5269,Paid & Due Auto Calculation,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"The Paid & Due Audit calculation is currently a manual process that is both complicated and time consuming. However, the use of Agentic AI will allow VA to automate portions of the data collection and audit calculation process, accelerating the results of each Paid & Due Audit and lessening the impact of manual errors.","Accelerated data collection, increased accuracy, and quicker results for each Paid & Due Audit calculation.","The Agentic AI system will search and collect pertinent information related to the current Paid & Due Audit calculation. Once collected, the AI system will assist with some of the calculations and offer suggested actions for the user in order to better complete the Paid & Due Audit.",Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Government Benefits Processing,,,,
VA-25-6276,Summarization of Clinical Data ,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Give a provider a summarized status of the patient and what has happened to the patient since they last saw the Veteran. ,Decreased provider burden and increased time the provider can dedicate to the Veteran during the encounter through increased efficiency. ,Summary of the patients clinical data. ,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Health & Medical,,,,
VA-25-817,CCN Provider Directory,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"Reduce the need for manual review of a large (1.5M+ providers, 9M+ provider services) dataset of provider information to categorize or perform data governance functions.","Maintaining a highly accurate and properly categorized dataset of VA and Community Providers actively providing healthcare to our Veterans ensures accurate and timely Veteran referrals, appointment scheduling, and facilitation of healthcare program service authorization. Additionally, applying AI to the consolidated Provider dataset allows critical federal review of provider activity and enables discovery of fraud, waste, and abuse for the program."," - Determination of the Harassment Prevention Program (HPP) criteria
- Finding and retrieving providers based on their locations and medical/@dental services provided
- Data quality and compliance with federal standards, such as address, zip codes, and rurality",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Health & Medical,,,,
VA-24-159,Verkada Camera - OSLE,"OSP: Office of Operations, Security, and Preparedness",a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Video search function inside a physical security camera solution.,"AI will aid in the search of recorded video and images. This will decrease the number of man-hours required to search through these video and images. Additionally, this will enhance outcomes when searching for persons of interest (i.e. Missing Persons/Patients). ",Video and images from the AI searches inside the physical security camera solutions.,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Law Enforcement,,,,
VA-24-6067,Xtract WDS - OSLE,"OSP: Office of Operations, Security, and Preparedness",a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Heat map detection for weapon detection software.,"The AI assisted Weapon Detection System will be used to detect weapons and alert staff. This would aid in ensuring the area is safe and secure for Veterans, Visitors, and Employees.",Areas of interest in a map of the body that indicates objects that have indicators aligned with known types of different weapons.,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Law Enforcement,,,,
VA-25-1594,Automated Ratings Summarization,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"We are attempting to reduce the claims backlog and processing time. Additionally, there is a large volume of documentation on a Veteran's record - this tool is intended to reduce the amount of time a claim processor spends sorting through documentation relevant to a Veteran's claimed issue. 
","- Increased efficiency and lower time to decision on a benefits claim for a Veteran
- Improve the quality of decisions, which can ultimately result in a decrease in appeals","Identifies and generates summarizations or relevant documents from a Veteran's record, associated with the claim under review. ","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Government Benefits Processing,,,,
VA-25-3480,Smart Pension Automation,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"Reduce the overall average of days to complete a pension related benefit claim. Currently, there is a batch claim processing system in place with Pension Automation that leverages Camunda and is currently only able to process 300 claims/night due to constraints with the original solution. Due to the constraints, a large number of claims are offboarded each night for manual resolution.",The AI solution is expected to increase the number of claims awarded on a daily basis by 10% with the minimum viable product (MVP) solution and then continue to improve with iterative deliveries after the MVP solution. ,The AI solution will output reporting data on which claims were awarded or off ramped on a daily basis. The solution will also provide auditable information on why a decision was made for a human to review.,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Government Benefits Processing,,,,
VA-25-393,Predictive Claims Processing Capability POC,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Faster claims decisions for Veterans by predicting/performing claims adjudication without the need for a rules engine,"Increased efficiency, faster decisions for veterans, and improved veteran experience. ",Proposed decision on Education Benefits ,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Government Benefits Processing,,,,
VA-25-5578,AICES,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"1. Reduce the backlog and processing times, minimize unnecessary in-person exams, and address workflow inefficiencies.
2. Reduce the burden of travel on veterans and expedite the time required for claims processing. 

During the period of performance, this effort will demonstrate the effectiveness of the proposed solution to develop Disability Benefits Questionnaire (DBQs) through Acceptable Clinical Evidence (ACE). ","This initiative aims to:
1. Reduce the backlog and processing times by more efficiently using Acceptable Clinical Evidence (ACE), minimizing unnecessary in-person exams and addressing workflow inefficiencies.
2. Reduce VA costs due to reduced in-person exams.
3. Improve the Veteran experience by reducing the burden of travel on veterans and expediting the time required for claims processing. ","The system indexes structured, semi-structured, and unstructured Veteran health and service record data, including diagnosis, severity, and service connection evidence from eFolders, metadata, and lay evidence. It supports Disability Benefits Questionnaire (DBQ) processing to generate SMART Claims with recommendations.

Objective 1: Reduce Unnecessary In-Person Examinations through Evidence-Driven Triage and Workflow Automation
Goal: Demonstrate the accuracy of the solution to properly execute ACE exams.
Metric: Demonstrate the ability to produce 5000 ACE exams during the period of performance within a 72-hour delivery window, through expert review.
Objective 2: Enhance the accuracy of documentation for ACE-generated DBQs
Goal: Validate the capability of advanced OCR and NLP tools to correctly extract and populate data.
Metric: Achieve at least a 96% accuracy rating for all ACE DBQs.",Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Government Benefits Processing,,,,
VA-25-6965,Smart Ratings Recommendation,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"Due to the rating decision's dependence on the preceding steps of the rating process, there is often a backlog of claims and significant rework required to complete a rating on a claim. A need exists for a specialized, automated solution to complete several pieces of the Rating process to expedite the delivery of benefits and awards to Veterans, and to reduce errors and delays resulting from remediation. ","Smart Rating Recommendation empowers VSRs in the Ratings workflow to leverage AI-generated ratings of select claim and contention types in order to lower processing times for a Rating Decision to be made. This is done by allowing RVSRs to leverage AI analysis of selected claims and contentions, and provide a proposed Rating to the user to confirm or review manually themselves.",The output is a rating recommendation that the Ratings VSR can approve or reject. It is not finalized until the RVSR takes action.,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Government Benefits Processing,,,,
VA-24-1442,Roche Digital Pathology,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Decrease manual effort in analyzing and identifying tumors on slides. AI technology will inform the pathologists how much of the neoplastic cells are staining with such-such stain and give the percentage of tumor involvement - this is quite helpful in analyzing the involvement of prostate carcinoma in each of the prostate core. The pathologist will not perform much of the “manual labor” and be more efficient.,"Reduce and prevent errors, enhance turnaround times, increase cost savings, and enhance patient care. ",Slide image analysis - AI technology will inform the pathologists how much of the neoplastic cells are staining with such-such stain and gives the percentage of tumor involvement,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Health & Medical,,,,
VA-24-1770,Pangaea,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Identification of chronic disease and advanced guidelines for treatment and early intervention. ,Early intervention and treatment of chronic disease can mitigate advanced symptoms of chronic disease. ,Identification of patients more at risk for chronic disease. ,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Health & Medical,,,,
VA-24-1811,Cogitativo,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Identify Veterans at risk for chronic diseases,Early detection and treatment of chronic diseases,Chronic disease diagnosis and treatment plans. ,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Health & Medical,,,,
VA-24-2828,Pharmacy AI Managed Inventory System (PHAIMIS),VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"PhAIMIS is intended to represent an overarching inventory management tool for pharmacy, and has various areas where AI could be leveraged:
•	Predictive analytics on product needs – establishing optimal Min/Max ; ROP/ROQ (reducing on hand stock while reducing out of stock)
•	Inventory forecasting and identification of backorder/ supply chain issues (backorders)
•	Recommendations for resolution of supply chain/ backorder issues
•	Pharmacoeconomic reviews and recommendations for cost savings with equivalent product conversions
•	Expiring product utilization optimization (leverage PINS or other to share product that will not be used prior to expiration with facilities that will)
•	Contracting compliance/order creation
•	Streamlining of administrative tasks such as B09 audit/reconciliations",Enhanced medication availability and cost savings as it relates to more efficient supply chain management,"Inventory mapping, predictions, and decision support for medication procurement",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Health & Medical,,,,
VA-24-2836,Silverberry Surgery Planning AI,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"Patient education and engagement. Physician burden and improving physician patient relationship. The Silverberry Surgery Planning AI utilizes agents to perform tasks related to the perioperative process. Patient preparation and education, sterile processing and implant preparedness, intraoperative supply management, Post operative planning and discharge assistance. The Silverberry Surgery Planning AI utilizes agents to perform tasks related to the perioperative process.","Increased efficiency, improved outcomes for veterans, improved health literacy. ",Outputs are direct Patient education and improved Veteran provider communication. Reducing the burden on providers by improving patient health literacy. ,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Health & Medical,,,,
VA-24-3082,Teledermatology Clinical Outcome Classification,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,This seeks to develop an NLP LLM tool that reviews dermatology and teledermatology clinical notes in the EHR and classify them into a clinical outcome category. Natural language processing is used to determine qualitative outcomes for skin diseases where quantitative metrics don't exist.,Measure and improve skin disease outcomes for both telehealth and in-person care.,Classification of clinical outcomes,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Health & Medical,,,,
VA-24-3365,Summarize Progress Notes,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Reduce the amount of time required for a healthcare provider to review medical records during an active case within the Clinical Contact Center.,"- Reduced case time per call
- Reduced hold time
- Reduced queue abandonment rate
- Improved Veteran satisfaction
- Improved patient safety",A summary of the patient medical record with the most important elements presented first.,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Health & Medical,,,,
VA-24-372,Parable 3D Wound Care Management System,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Assist clinicians in capturing wound data (2D/3D) using computer vision to better manage the wound lifecycle for the patient.,"Allows clinicians to manage wounds using very precise computer vision techniques, rather than rely on manual, error prone hand measurements.","2D and 3D volumetric measurements are then computed based on the segmented 3D reconstruction to produce length, width, surface area, depth, and volume measurements.","Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Health & Medical,,,,
VA-24-4349,Coronary Artery Calcium Model,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,This is operationalization of a Coronary Artery Calcium (CAC) scoring computer vision model that can predict cardiovascular disease risk. This will help clinicians identify and prioritize patients at high risk for cardiac events to intervene. The input is CT chest images and the output will be calcium scores and calcium masks that physicians can review to verify high patient cardiovascular risk. This will help clinicians identify and prioritize patients at high risk for cardiac events to intervene. It will improve the quality of veteran healthcare. ,We expect this project to improve patient care outcomes by helping direct provider attention to patients that were identified as high-risk via findings. ,The model will process medical images to produce a segmentation mask that shows providers whether or not there is disease and a calcium score that can help them find patients at high cardiovascular risk. ,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Health & Medical,,,,
VA-24-4431,Reportability of Cancer Diagnosis Information,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"Try to identify if a cancer diagnosis is present in the pathology reports and what diagnosis the patients have, including histology, site, and subsite.","Improve patient outcomes, save cost, and increase efficiency: Information extracted by the system will be highlighted and shown within the original context for review by the coordinators, within health informatics tools currently in production. This will decrease the time for information gathering for coordinators and improve their efficiency. This information may also help identify Veterans with diagnoses of interest for review by the coordinator, allowing for additional resources to be activated to support the Veteran if they meet program criteria. ","Whether a cancer diagnosis is present in the pathology reports and what diagnosis the patients have, including histology, site, and subsite.","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Health & Medical,,,,
VA-24-4439,Predict Patient Suicide,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Prevention of Veteran suicide is VHA’s top clinical priority. We use AI to identify patients with key risk factors for death by suicide. It is a tool that can help point clinicians to potentially critical information that they might not otherwise have been aware of.,Improve ability to identify Veterans at high-risk for suicide and intervene to reduce the risk of suicide.,Identification of patients with suicide risk factors.,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Health & Medical,,,,
VA-24-4554,Extract patients’ diagnosis information and map the diagnosis to oncotree,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"Extract patient diagnosis from unstructured patient notes and map the diagnosis to oncotree, because these information typically is extracted manually and it takes a long time to be put into the database.","This project could increase efficiency, save cost, and enhance patient outcomes. With real time diagnosis tracking, the national oncology program is able to better support the patient with cancer diagnosis and understand each veterans' individual needs. While AI extract the information from the unstructured notes, it speed up the review process, providers can save time to help more patients rather than taking a long time to review each notes. ",Patient cancer diagnosis and the oncotree mapping,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Health & Medical,,,,
VA-24-4595,Cancer Patients Symptom Burden,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Attempt to extract patients' symptom burden information from unstructured notes to increase the speed of providers identifying patients that may benefit from additional support for symptom management or mental health.,"Providers are able to identify patients that might benefit from additional support more quickly rather than reviewing entire notes as AI would highlight the parts that are relevant to the symptoms. This increases efficiency and saves cost as well. With providers more aware of patients' symptoms, they can spend less time and effort identifying patients that suffer from high symptom burdens. Providers would be more able to reach out and support the patients in need of support, therefore improving patient outcomes.  ","Information on patient symptom burden, including symptoms related to mental health needs of cancer patients ","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Health & Medical,,,,
VA-24-462,Billing Claims Prediction,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"The AI solution is designed to help the VHA Office of Finance, Revenue Operations in several ways:

Identify missed revenue opportunities, ensuring no income potential is lost.
Highlight, predict and analyze trends in actionable denials, helping to resolve systemic issues.
Reduce the administrative burden on staff by simplifying processes.
Develop a national denial management analytics platform for consistent and effective financial operations across the VA healthcare network.","Increased revenue, decrease in denials, and increase efficiency and staff satisfaction. ","Predictions: ex. Forecasts about future events or trends based on historical data, such as predicting patient readmission rates or financial performance.
Trends and insights: ex. Providing analysis and visualization of trends over time, such as tracking billing errors.
Recommendations ex. Offering suggestions based on data analysis, such as recommending treatment plans for patients or optimizing resource allocation
Visibility of analytics
Automated actions: ex. Performing tasks automatically based on AI analysis, such as automating denial management processes or patient appointment scheduling.",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Other,,,,
