id	use_case_name	bureau_component	vendor_name	system_name	ai_classification	development_type	entry_type	deployment_scope	scope_detail	architecture_type	ai_sophistication	product_id	is_general_llm_access	is_coding_tool	is_product_capability_entry	tool_product_name	tool_vendor	use_type	is_enterprise_wide	is_cots_commercial	problem
10171	Optical Character Recognition (OCR) for Records Analysis	Division of Enforcement (ENF)	Aretec	SEARCH	Computer Vision	c) Developed with both contracting and in-house resources	custom_system	office	Division of Enforcement (ENF)	custom_trained	computer_vision		0	0	0			administrative	0	0	Extract structured data from unstructured digital image files of checks.
10172	Single Event Insider Trading Analysis	Division of Enforcement (ENF)	Aretec	SEARCH	Classical/Predictive Machine Learning	c) Developed with both contracting and in-house resources	custom_system	office	Division of Enforcement (ENF)	custom_trained	classical_ml		0	0	0			administrative	0	0	Assist ENF staff in identifying accounts with trading activity in advance of material equity price moves that warrant further investigation by the ENF staff.
10173	Utilize Westlaw Quick Check to cross check SEC documents.	Division of Enforcement (ENF)	Westlaw		Generative AI	a) Purchased from a vendor	product_deployment	office	Division of Enforcement (ENF)	inference_only	general_llm	16	1	0	0	Westlaw AI	Thomson Reuters	administrative	0	1	Utilize existing Westlaw product to cross check SEC documents.
10174	Augmenting cyber threat alerts on the ACES platform with ACES's specific information.	Office of Information Technology (OIT)		ACES	Generative AI	b) Developed in-house	custom_system	bureau	Office of Information Technology (OIT)	rag_pipeline	general_llm		1	0	0			cybersecurity	0	0	The current Cyberthreat alerts on the ACES platform are difficult to understand and we often see false positives relative to new use cases.
10175	Large Language Model analysis for the Tips, Complaints and Referrals (TCR) system	Division of Enforcement (ENF)			Generative AI		custom_system	office	Division of Enforcement (ENF)	unknown	general_llm		1	0	0			mission_critical	0	0	The SEC receives high volumes of Tips, Complaints, and Referrals (TCRs) and has limited staff to triage these TCRs effectively. Some TCRs contain large narratives for allegations; AI tools can help su
10176	Using AI Large Language Model chat for general tasks/questions	Division of Enforcement (ENF)	Aretec, Elder Research	SEARCH	Generative AI	c) Developed with both contracting and in-house resources	custom_system	office	Division of Enforcement (ENF)	unknown	general_llm		1	0	0			administrative	0	0	Using an AI Large Language Model chat for general tasks and answer questions
10177	Agentic Knowledge Base of Amazon Web Services Cloud Environment for the Securities and Exchange Commission (ACES)	Office of Information Technology (OIT)		ACES	Generative AI	b) Developed in-house	custom_system	bureau	Office of Information Technology (OIT)	rag_pipeline	agentic		1	0	0			it_operations	0	0	Retrieving and Summarizing support FAQ information
10178	Extracting data from FOIA request forms	Office of Information Technology (OIT)	GDIT		Generative AI	c) Developed with both contracting and in-house resources	custom_system	bureau	Office of Information Technology (OIT)	custom_trained	general_llm		1	0	0			administrative	0	0	Capture and load data from a FOIA form into a SharePoint list for tracking through the eDiscovery Lifecycle. This alleviates time demands for manual entry from one system to another.
10179	Knowledge base of federal securities law and chatbot	Division of Investment Management (IM)			Generative AI		custom_system	office	Division of Investment Management (IM)	rag_pipeline	general_llm		1	0	0			research	0	0	Using AI to carry out basic research on federal securities laws.
10180	Knowledge base of crypto comments and chatbot	Division of Investment Management (IM)			Generative AI		custom_system	office	Division of Investment Management (IM)	rag_pipeline	general_llm		1	0	0			research	0	0	Using AI to carry out basic research on opinions and submitted comments related to crypto assets.
10181	Create description of documents for records management in sharepoint	Office of the Chief Operating Officer (OCOO)			Generative AI		custom_system	bureau	Office of the Chief Operating Officer (OCOO)	unknown	general_llm		1	0	0			administrative	0	0	Creating descriptions and other record keeping metadata on documents.
10182	Westlaw Co-Counsel	Division of Enforcement (ENF), Division of Examinations (EXAMS), Office of the Chief Data Officer (OCDO), Office of the General Counsel (OGC)	Thomson Reuters		Generative AI	a) Purchased from a vendor	product_deployment	bureau	Division of Enforcement (ENF), Division of Examinations (EXAMS), Office of the Chief Data Officer (OCDO), Office of the General Counsel (OGC)	inference_only	general_llm	16	1	0	0	Westlaw AI	Thomson Reuters	research	0	1	The AI output will facilitate legal research, document analysis, and document production.
10183	Lexis Protege	Division of Enforcement (ENF), Division of Examinations (EXAMS), Office of the Chief Data Officer (OCDO), Office of the General Counsel (OGC)	RELX		Generative AI	a) Purchased from a vendor	custom_system	bureau	Division of Enforcement (ENF), Division of Examinations (EXAMS), Office of the Chief Data Officer (OCDO), Office of the General Counsel (OGC)	unknown	general_llm		1	0	0			research	0	1	The AI output will facilitate legal research, document analysis, and document production.
10184	Semantic Layer Natural Language Query	Division of Economic and Risk Assessment (DERA), Office of the Chief Data Officer (OCDO)			Generative AI		custom_system	bureau	Division of Economic and Risk Assessment (DERA), Office of the Chief Data Officer (OCDO)	unknown	general_llm		1	0	0			administrative	0	0	This use case prepares data for use by AI and then enables users to query data with AI without having to write code.
10185	Using AI to answer questions about a corpus of uploaded files	Division of Enforcement (ENF), Division of Economic and Risk Assessment (DERA)	Elder Research	SEARCH	Generative AI	c) Developed with both contracting and in-house resources	custom_system	office	Division of Enforcement (ENF), Division of Economic and Risk Assessment (DERA)	rag_pipeline	general_llm		1	0	0			administrative	0	0	This AI service will provide a internal Large Language Model for general usage for chatting and answering questions about user uploaded files and internal knowledge bases.
10186	AI Chart Generation	Division of Economic and Risk Assessment (DERA), Office of the Chief Data Officer (OCDO)			Generative AI		custom_system	bureau	Division of Economic and Risk Assessment (DERA), Office of the Chief Data Officer (OCDO)	unknown	general_llm		1	0	0			administrative	0	0	Our solution uses AI to generate chart code to automatically render interactive data visualizations for various chart types.
10187	Creating AI generated images	Division of Enforcement (ENF), Division of Economic and Risk Assessment (DERA)	Elder Research	SEARCH	Generative AI	c) Developed with both contracting and in-house resources	custom_system	office	Division of Enforcement (ENF), Division of Economic and Risk Assessment (DERA)	fine_tuned	general_llm		1	0	0			administrative	0	0	Facilitate the use of models for AI generated image creation
10188	Disclosure Review Chatbot	Division of Corporation Finance (CF)			Generative AI		custom_system	office	Division of Corporation Finance (CF)	unknown	general_llm		1	0	0			administrative	0	0	Disclosure Review Automation (DREAM) Chatbot helps division staff search within review guides and generating detailed responses to disclosure review questions
10189	Note-Taking Assistant	Division of Examinations (EXAMS)			Generative AI		custom_system	office	Division of Examinations (EXAMS)	unknown	general_llm		1	0	0			mission_critical	0	0	The application assists staff with review and analysis of the examiner's notes taken during the examination process.
10190	Public Website Search	Division of Examinations (EXAMS)			Generative AI		custom_system	office	Division of Examinations (EXAMS)	unknown	general_llm		1	0	0			mission_critical	0	0	This application summarizes a public website and allows staff to ask natural language questions about the contents of the website.
10191	Chatbot with SEC Documents	Division of Examinations (EXAMS)			Generative AI		custom_system	office	Division of Examinations (EXAMS)	rag_pipeline	general_llm		1	0	0			mission_critical	0	0	This application includes a knowledge base of internal SEC guidelines and procedures.  It will help answer staff questions on those guidelines/procedures.
10192	Enhancing Analysis of SEC Web Engagement Trends Using AI	Office of Information Technology (OIT), Office of the Chief Data Officer (OCDO), Office of the Advocate for Small Business Capital Formation (OASB)			Classical/Predictive Machine Learning		custom_system	bureau	Office of Information Technology (OIT), Office of the Chief Data Officer (OCDO), Office of the Advocate for Small Business Capital Formation (OASB)	unknown	classical_ml		0	0	0			mission_critical	0	0	Manual analysis of Google Analytics data is time-consuming and limits the ability to identify trends across multiple SEC.gov pages.
10193	Identifying Citations of SEC Publications to Measure Market Impact	Office of the Chief Data Officer (OCDO), Office of Information Technology (OIT), Office of the Advocate for Small Business Capital Formation (OASB)			Classical/Predictive Machine Learning		custom_system	bureau	Office of the Chief Data Officer (OCDO), Office of Information Technology (OIT), Office of the Advocate for Small Business Capital Formation (OASB)	unknown	classical_ml		0	0	0			research	0	0	Lack of visibility into how SEC publications are cited in external research and industry materials.
10194	Analyzing Registered Offerings Data to Understand Capital Formation Trends	Office of Information Technology (OIT), Office of the Chief Data Officer (OCDO), Office of the Advocate for Small Business Capital Formation (OASB)			Classical/Predictive Machine Learning		custom_system	bureau	Office of Information Technology (OIT), Office of the Chief Data Officer (OCDO), Office of the Advocate for Small Business Capital Formation (OASB)	unknown	classical_ml		0	0	0			administrative	0	0	Manual review and analysis of data filed with the SEC about registered offerings is time-consuming.
10195	Analyzing EDGAR Search Trends to Understand Public Interest in Filings	Office of the Chief Data Officer (OCDO), Office of Information Technology (OIT), Office of the Advocate for Small Business Capital Formation (OASB)			Classical/Predictive Machine Learning		custom_system	bureau	Office of the Chief Data Officer (OCDO), Office of Information Technology (OIT), Office of the Advocate for Small Business Capital Formation (OASB)	unknown	classical_ml		0	0	0			mission_critical	0	0	Limited insight into how the public interacts with EDGAR and what types of filings are most viewed.
10196	Analyzing Form ADV Data to Identify Trends Among Investment Advisers	Office of the Chief Data Officer (OCDO), Office of Information Technology (OIT), Office of the Advocate for Small Business Capital Formation (OASB)			Classical/Predictive Machine Learning		custom_system	bureau	Office of the Chief Data Officer (OCDO), Office of Information Technology (OIT), Office of the Advocate for Small Business Capital Formation (OASB)	unknown	classical_ml		0	0	0			administrative	0	0	Manual analysis of Form ADV data is inefficient and limits trend detection.
10197	Rule and Comment Organization and Summarization	Division of Trading and Markets (TM), Office of the Chief Data Officer (OCDO), Division of Economic and Risk Assessment (DERA), Division of Investment Management (IM), Division of Corporation Finance (CF)			Generative AI		custom_system	bureau	Division of Trading and Markets (TM), Office of the Chief Data Officer (OCDO), Division of Economic and Risk Assessment (DERA), Division of Investment Management (IM), Division of Corporation Finance (CF)	unknown	general_llm		1	0	0			mission_critical	0	0	Downloading, navigating, searching, and understanding comments and rule filings can be slow and burdensome using existing tools.
10198	AI-enabled information collection and curation	Office of the Chief Data Officer (OCDO)			Agentic AI		custom_system	bureau	Office of the Chief Data Officer (OCDO)	rag_pipeline	agentic		1	0	0			it_operations	0	0	Collecting information from a variety of sources, including documents, databases, and staff interviews, and curating into a knowledge base.
10199	AI-enabled information dissemination	Office of the Chief Data Officer (OCDO)			Agentic AI		custom_system	bureau	Office of the Chief Data Officer (OCDO)	agentic_workflow	agentic		1	0	0			it_operations	0	0	Process, organize, and propagate new information to staff and AI agents when it arrives.
10200	Legal Research (Lexis+)	Office of the Chief Data Officer (OCDO)	RELX (Lexis)		Generative AI	a) Purchased from a vendor	custom_system	bureau	Office of the Chief Data Officer (OCDO)	unknown	general_llm		1	0	0			research	0	1	More efficient legal research.
10201	Legal Research (Westlaw Precision)	Office of the Chief Data Officer (OCDO)	West Publishing		Generative AI	a) Purchased from a vendor	product_deployment	bureau	Office of the Chief Data Officer (OCDO)	inference_only	general_llm	16	1	0	0	Westlaw AI	Thomson Reuters	research	0	1	More efficient legal research.
10202	Natural language search on images through FlashPoint	Division of Examinations (EXAMS), Division of Enforcement (ENF)	Flashpoint		Computer Vision	a) Purchased from a vendor	custom_system	office	Division of Examinations (EXAMS), Division of Enforcement (ENF)	unknown	computer_vision		0	0	0			administrative	0	1	Using natural language to search through images posted to social media.
10203	Streamlining initial research	Division of Enforcement (ENF), Division of Examinations (EXAMS)			Generative AI		custom_system	office	Division of Enforcement (ENF), Division of Examinations (EXAMS)	unknown	general_llm		1	0	0			research	0	0	Initial research steps in examinations and enforcement matters requires marshalling many different data sets, for which AI can improve efficiency.
10204	Use natural language to query crypto market data and create on demand visualizations with prepopulated thresholds	Office of the Chief Data Officer (OCDO)			Generative AI		custom_system	bureau	Office of the Chief Data Officer (OCDO)	unknown	general_llm		1	0	0			administrative	0	0	The AI simplifies the process of creating data visualization for crypto market data.
10205	Tracing digital asset transactions and identifying entities controlling wallet addresses	Division of Enforcement (ENF), Division of Examinations (EXAMS)	Chainalysis		Classical/Predictive Machine Learning	a) Purchased from a vendor	custom_system	office	Division of Enforcement (ENF), Division of Examinations (EXAMS)	unknown	classical_ml		0	0	0			administrative	0	1	The tool helps to identify clusters of related wallet addresses and to predict the senders change in transaction data.
10206	Improve efficiency of comment letter ingestion	Office of the Secretary (OS)		CLL	Classical/Predictive Machine Learning	c) Developed with both contracting and in-house resources	custom_system	enterprise_wide		unknown	general_llm		1	0	0			mission_critical	1	0	Using AI/ML to improve the timeliness and accuracy of the ingestion of comment letters, such as by automating the identification of comment file numbers, and enhancing the identification of spam, form
10207	Comparing EDGAR system access request forms	EDGAR Business Office (EBO)			Computer Vision		custom_system	bureau	EDGAR Business Office (EBO)	unknown	computer_vision		0	0	0			mission_critical	0	0	The AI helps extract information from scanned documents and compares it with information provided on a digital form
