"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,,,,,,,,,,,
DOL-13,Automatic Document Processing,OWCP,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,"This service reads inputs on annual CM-929 and CM-908 forms received. It does not serve as a principal basis for decisions or actions with significant effect on an individual or entity's civil rights, civil liberties, or privacy, access to critical government resources or services, or human health and safety. Any form with unreadable inputs or responses that could result in a change in benefits are directed to a human reviewer for final review and action.",Government Benefits Processing,Generative AI,"The AI is intended to allow the claims examiner more time to focus on more critical adjudication tasks.  The CM-929 and CM-908 forms amount to tens of thousands of incoming correspondence on an annual basis.  Claims examiners were cumulatively spending an excess amount of time each year reviewing the forms only for indications of a change in circumstances (based on a check-the-box indicator) or similar notice.  This would then be followed by the entry of a code signifying receipt in the Automated Support Package.  Only a very small number of forms received each year require a modification of benefits.  AI is easily able to handle this task, and ensures that forms indicating a change in circumstances are reviewed by a human, while the remainder are processed by the AI, reducing wait times in other areas of the adjudication process for claimants. ",Automatic processing of continuation of benefits form to extract pre-defined selection boxes. AI tool will extract data from the forms.,AI tool will extract data from the forms for further processing,05/29/2023 00:00:00,Developed with both contracting and in-house resources.,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",Yes,Azure,Agency Generated using hundreds of example forms with dummy data and audited for accuracy.,N/A--Protected by the Privacy Act,Yes,Not publicly available.,None of the above, No,N/A,,,,,,,,,,,,,,,,,,,
DOL-14,Automatic Data Processing Workflow with Form Recognizer (9130/9178 Reconciliation Project),ETA,zzOCIO-AI@dol.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,"Only extracting data from forms,Not pursuing in 2025; discontinued pre-deployment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-15,Generative AI AssistantI  ( AI Center),OCIO,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,"Generating content, summarizing and reviewed by human",Administrative Functions,Generative AI,"Private and secure in-house solution to evaluate business use cases that can solve problems using Generative AI models and semantic search. Example use cases include text summarization, text analysis, and document comparisons.","Private, secure in-house generative AI with semantic search accelerates text summarization, analysis, and document comparison to improve efficiency and decision support.",The AI system provides recommendations.,09/01/2024 00:00:00,Developed with both contracting and in-house resources,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",Yes,Azure Open AI and AWS,"No specific dataset. The AI engine came ready off the shelf, and the final product has been tested ad hoc by agency users and their NLP free text data. ",N/A , No,N/A ,None of the above,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-16,Occupation Code Suggestion For Job Duties Data,ETA,zzOCIO-AI@dol.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,"Code suggestions only; mandatory human review; no automated decisions, Not pursuing in 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-17,Notice of Deficiency (NOD) Text Generation using Generative AI model,ETA,zzOCIO-AI@dol.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,"Process automation only, Not pursuing in 2025; discontinued pre-deployment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-18,Case Recording summarization,OSHA,zzOCIO-AI@dol.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,"It does not involve sensitive data
It does not directly affect individuals’ rights or access
It is used for administrative summarization, not decision-making",,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-19,OEWS Occupation Autocoder,BLS,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Used for survey processing for statistical purposes,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,The input is state-submitted response files that include occupation title and sometimes job description of the surveyed units. The autocoder reads the job title and assigns up to two 6-digit Standard Occupational Classification (SOC) codes along with their probabilities as recommendations for human coders. Codes above a certain threshold are appended to the submitted response file and sent back to states to assist them with their SOC code assignment.,Improving data accuracy and saving time for SOC coders,6-digit Standard Occupational Classification (SOC) codes,01/01/2018 00:00:00,b) Developed in-house,N/A,Yes,BLS Internal system,Agency Generated,N/A , No,N/A ,None of the Above,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-20,Scanner Data Product Classification,BLS,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Used for survey processing for statistical purposes,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,"BLS receives bulk data from some corporations related to the cost of goods they sell and services they provide. Consumer Price Index (CPI) staff have hand-coded a segment of the items in these data into Entry Level Item (ELI) codes. To accept and make use of these bulk data transfers at scale, BLS has begun to use machine learning to label data with ELI codes. The machine learning model takes as input word frequency counts from item descriptions. Logistic regression is then used to estimate the probability of each item being classified in each ELI category based on the word frequency categorizations. The highest probability category is selected for inclusion in the data. Any selected classifications that do not meet a certain probability threshold are flagged for human review. Benefits: real-time turnaround, productivity improvements, cost savings.",Efficiency of item classification efforts,Entry Level Item Codes,03/01/2019 00:00:00,b) Developed in-house,N/A,Yes,"BLS Internal 
system",Agency Generated; respondent-provided category and product description information,N/A , No,N/A ,None of the above,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-21,"Expenditure Classification 
Autocoder",BLS,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Used for survey processing for statistical purposes,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,Assigns expense classification categories to reported expenses from Consumer Expenditure Diary Survey respondents.,Efficiency of expenditure classification efforts,BLS-internal item codes (expenditure classification categories),01/01/2024 00:00:00,c) Developed with both contracting and in-house resources,1605TA-21-F-00064,Yes,"BLS Internal
System","Agency Internal;
Expenditure descriptions 
and corresponding item code assignments",N/A , No,N/A ,N/A,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-22,PII Redaction,OSHA,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact,High Impact Use case,Cybersecurity ,Natural Language Processing (NLP),Using Amazon Web Services Personal Identifying Information scrubber for ITA text fields and Named Entity Recognition to remove additional names from the text fields.,Vastly more cost effective in using the AI tool. Reduction of FTE costs from months to hours.,Detection/Extraction,11/19/2024 00:00:00,c) Developed with both contracting and in-house resources,Amazon,Yes,PII Redaction,OSHA ITA,N/A ,Yes,N/A,None, No,N/A,a) Yes,a) Yes,Identified via human review; AI shows 99.5% accuracy with a 0.5% risk of PII exposure on the OSHA website.,a) Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development  ,a) Yes; sufficient monitoring protocols have been established,"a) Yes, sufficient monitoring protocols have been established",b) Not applicable,"
a) Yes; an appropriate appeal process has been established


",DOL will promptly remove any PII inadvertently disclosed that is subsequently identified after posting publicly,,,,,,,,,,
DOL-23,Workforce Recruitment Program (WRP) Website Chatbot Assistant,ODEP,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,"Read-only, informational chatbot: draws from authoritative sources and case-status data, makes no determinations",Service Delivery,Generative AI,"This use case cuts down on the number of emails that ODEP’s WRP team needs to respond to in their program inbox, wrp@dol.gov. It helps address routine questions with straightforward answers without requiring WRP staff involvement. It also provides much faster responses to WRP applicants and stakeholders, who would otherwise need to wait 2-3 business days for WRP staff to write a response to their email.
","The chatbot helps the end user with basic information about the Workforce Recruitment Program and information on who to contact. This chatbot is managed by DOL staff. ODEP manages the script, while OCIO manages the technical aspects and updates to Amazon Lex.
",Generate content from the WRP program,08/16/2024 00:00:00,Developed with both contracting and in-house resources.,"AWS PIID: NNG15SD22B
Synergy PIID: 1605DC19A0004",Yes,AWS,Agency provided list of questions and answers.,n/a, No,,N/A,Yes,https://aws.amazon.com/lex/,,,,,,,,,,,,,,,,,,,
DOL-24,Initial Determinations for incoming applications,ETA,zzOCIO-AI@dol.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,"Process automation,Not pursuing in 2025; discontinued pre-deployment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-26,Web Scraping to Identify Potentially Fraudulent Multiple Employer Welfare Arrangements (MEWAs),EBSA,zzOCIO-AI@dol.gov,c) Yes – disclosure is prohibited by law,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,Not pursuing in 2025; discontinued pre-deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-27,Worker PLUS Microsimulation Program,CEO - WB,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Not making decisions only simulation,Human Resources,Classical/Predictive Machine Learning,"The Worker PLUS model was developed as an evolutionary iteration of the Paid Family and Medical Leave 
Simulator Model developed by Albelda and Clayton-Matthews (the ACM model)","Worker Paid Leave Usage Simulation (Worker PLUS) is an open-source simulation tool that can be used by researchers and federal, state, and local policy makers to estimate the effects of various worker leave scenarios and policy options on worker leave-taking behavior, and to estimate the benefits paid as well as costs of administering any given program.​","The model simulates specific leave-taking behavior and outcomes (including number of leaves, leave lengths, benefit levels, and benefit eligibility) with individual workers in a state using data from the five-year American Community Survey (ACS) Public Use Microdata Sample (PUMS)",03/01/2021 00:00:00,Developed with both contracting and in-house resources,DOLQ129633247, No,N/A,"CEO/WHD 2018 FMLA Employee Survey, American Community Survey",N/A, No,N/A," Gender/Sex, Age, Income, Employment status",Yes,https://www.dol.gov/resource-library/microsimulation-model-worker-leave,,,,,,,,,,,,,,,,,,,
DOL-28,"Computer-Assisted Coding: 
SOII Autocoder",BLS,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Used for survey processing for statistical purposes,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,"The Survey of Occupational Injuries and Illnesses (SOII) collects hundreds of thousands of narratives describing cases of work-related injury and illness annually. Using narratives and other relevant information, SOII Autocoder automatically assigns classifications for SOII elements, which include worker occupation, nature of the injury, part of body affected, event that resulted in the injury, source and secondary source (if it exists) that caused the injury. This process used to be performed entirely by human staff.","Efficiency and data quality 
improvements",SOC and OIICS codes,01/15/2015 00:00:00,b) Developed in-house,N/A,Yes,"BLS Internal
System",SOII records,N/A ,Yes,N/A ,None of the above,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-29,CFOI Record Matching,BLS,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Used for survey processing for statistical purposes,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,"The Census of Fatal Occupational Injuries (CFOI) collects and publishes a complete count of work-related fatal injuries and descriptive data on their circumstances. The CFOI Record Matching programs matches records from various sources, including Occupational Safety and Health Administration (OSHA) Information System (OIS) files, news articles, and Quarterly Census of Employment and Wages (QCEW), to identify missing or inconsistent data in CFOI.","Efficiency and data quality 
improvements",Similarity score between records,09/20/2024 00:00:00,b) Developed in-house,N/A,Yes,"BLS Internal
System",CFOI records,N/A ,Yes,N/A ,Age and Sex,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-30,OIICS Coding,OSHA,zzOCIO-AI@dol.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,Statistical coding assistance; human review; no impact on rights or benefits. Not Pursuing in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-32,Note Taking Bot,OCIO,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Only summarizing the transcript,Administrative Functions,Generative AI,The bot will take the transcript and summarize the meeting notes,"An AI bot that converts meeting transcripts into concise, searchable notes improves productivity and information sharing by reducing manual effort.",The output will be a transcript of the meeting and from the transcript summary and action items,11/12/2024 00:00:00,Developed with both contracting and in-house resources,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B", No,AUNTEE BOT,N/A ,N/A ,No,N/A ,None of the above,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-35,CPS OTC Prediction,BLS,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Used for survey processing for statistical purposes,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,"The BLS productivity office publishes measures of hours worked by major sector and industry. As part of the calculation for this measure, BLS uses Current Employment Statistics (CES) data on hours paid is used to estimate hours for payroll workers. Additional adjustments are made to this measure, such as removing paid time off (PTO), adding off-the-clock (OTC) hours, and adding in hours worked by self-employed and unpaid family workers. BLS uses the Current Population Survey (CPS) dataset to identify the amount of hours that are worked off-the-clock (OTC) by workers. There are some workers in the CPS dataset that do not report whether their time off was paid, or whether they get paid hourly or not. This data needs to be imputed to calculate the ratio of total hours worked to paid hours worked. A random forest model is used to predict the responses for workers that did not report this information by training it on characteristics (such as industry, occupation, education level, age, etc.) of respondents that have reported that information.","Efficiency and data quality 
improvements","worker's time off was paid, or whether they get paid hourly or not",11/01/2022 00:00:00,b) Developed in-house,N/A,Yes,"BLS Internal
System",Current Population Survey (CPS),N/A , No,N/A ,"Class of Worker, education, marital status, family income, sex, age",Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-36,Sample Refinement: Frame API,BLS,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Used for survey processing for statistical purposes,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,"BLS establishment-based surveys, such as the Survey of Occupational Injuries and Illnesses (SOII), the National Compensation Survey (NCS), and the Occupational Requirements Survey (ORS), use the Longitudinal Database (LDB) as the frame for their survey samples. For each of these programs, there is a significant time-lag between when the sample is drawn for a program and when data collection begins. A critical and time-consuming part of data collection is sample refinement: checking the latest Quarterly Census of Employment and Wages (QCEW) and LDB data to adjust for any changes to the sampled establishment during that time-lag. The QCEW/LDB Frame API allows fast retrieval of the latest QCEW/LDB data for a nationwide sample so that users can perform sample refinement more efficiently. The SOII program uses the Frame API to perform over 20 sample refinement comparison checks, which outputs a report for the data collectors.

The Frame API uses TF-IDF vectors and cosine similarity to compare company names, mailing addresses, and unit descriptions between the survey sample and the latest QCEW/LDB data to determine what components may have changed. The Frame API also has the flexibility for the users to match records using other combinations of variables.","Efficiency and data quality 
improvements",Similarity score between records,09/20/2024 00:00:00,b) Developed in-house,N/A,Yes,"BLS Internal
System",SOII and QCEW records,N/A , No,N/A ,None of the above,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-37,CE Interview Item Code Estimation,BLS,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Used for survey processing for statistical purposes,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,Recommends expense classification categories for Consumer Expenditure Interview Survey expense responses.,Improves data quality by identifying potentially incorrect misclassifications from data collection for human review,Expense Classification Category,07/01/2019 00:00:00,b) Developed in-house,N/A,Yes,"BLS Internal
System",Agency Generated,N/A , No,N/A ,None of the above,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-38,CE Interview Imputations,BLS,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Used for survey processing for statistical purposes,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,Imputes missing expenditure values in the Consumer Expenditure Interview Survey when respondents answer “don’t know” or refuse to provide an expense amount.,Uses more sophisticated statistical techniques to estimate missing values,These output numbers are rounded up to the nearest whole value or rounded to 0 if negative. The output is only used to complete the Consumer Price Index.,10/01/2020 00:00:00,b) Developed in-house,N/A,Yes,"BLS Internal
System",Agency Generated,N/A , No,N/A ,"Age, sex family structure, race, urbanicity, education, primary sampling unit",Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-39,QCEW NAICS Autocoder,BLS,zzOCIO-AI@dol.gov,a) No,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,Used for survey processing for statistical purposes,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,The primary data source for the Quarterly Census of Employment and Wages (QCEW) is administrative data from state unemployment insurance programs. Some of these records are submitted without a valid North American Industry Classification System (NAICS) code.,The tool is intended to reduce the burden on human reviewers of these uncoded records by recommending the most likely NAICS codes. It also reduces the burden on the program office by reducing printing and mailing costs of soliciting unclassified data. ,The model is a random forest classifier trained on millions of QCEW records. It outputs the NAICS codes with the highest predicted probability given a business name.,06/01/2025 00:00:00,b) Developed in-house,N/A, No,"BLS Internal
System","QCEW records (legal name, trade name, and NAICS fields)",N/A, No,N/A,None of the Above,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-40,"Comment Actionability
Likelihood Score",BLS,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,"Used for customer feedback survey and assists staff with reviewing comments, does not replace human involvement",Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,"Many comments submitted through the BLS.gov customer satisfaction survey are not actionable (i.e., do not provide an issue or explanation of what could improve the user experience). Non-actionable submissions increase the burden on those tasked with reviewing comments.",The tool reduces the burden on those tasked with reviewing these comments by providing them with a means to sort them by how actionable they are likely to be.,The output is a logistic regression model's predicted probability that a comment would be labeled as actionable feedback for the agency.,09/01/2024 00:00:00,b) Developed in-house,N/A, No,"BLS Internal
System",Customer satisfaction survey responses that are collected through a Touchpoints form on BLS.gov,N/A, No,N/A ,None of the Above,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-41,"Computer-Assisted Review:
ORS Autocoder",BLS,zzOCIO-AI@dol.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Used for survey processing for statistical purposes,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,"The Occupational Requirements Survey (ORS) collects and publishes information about specific work-related requirements. Every year, thousands of collected data must be reviewed manually by human staff. The ORS Autocoder, on a regular basis, autocodes and clears certain edit flags from records which it deems to be good, allowing human staff to focus on reviewing data that are more likely to be incorrect.",Efficiency and data quality improvements,SOC code,05/28/2025 00:00:00,b) Developed in-house,N/A,Yes,"BLS Internal
System",ORS Records,N/A , No,N/A ,None of the above,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-42,PPI Price Tolerance Prediction,BLS,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Does not meet definition in Section 5 of the appendix to OMB Memorandum M-25-21.,Other - Applied Mathematical Sciences,Classical/Predictive Machine Learning,Recommends price tolerance boundaries for industries based on historical and seasonal trends.,Improve statistical quality of price outlier detection. ,Predicted price tolerance boundaries.,10/01/2025 00:00:00,b) Developed in-house,N/A,Yes,"BLS Internal
System",Agency Generated,N/A, No,N/A ,None of the Above,Yes,N/A,,,,,,,,,,,,,,,,,,,
DOL-43,EBSA Case File Summarization ,EBSA ,zzOCIO-AI@dol.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"AI summarizes documents to assist investigators; humans conduct independent review and retain full investigative authority. Does not meet high-impact definition per M-25-21 Section 5.""",Administrative Functions,Generative AI,Identify and describe electronic documents received by EBSA investigators for formal investigations - save time by automating the first phase of the document review process,Save time for EBSA investigators by automating the first phase of the document review process,Generation of a document's formal title and description of the document's contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
