"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
NASA-20,Machine Learning Airport Surface Model: Departure Runway Prediction,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Transportation,Classical/Predictive Machine Learning,The ML-airport-departure-runway software is developed to provide a reference implementation to serve as a research example how to train and register Machine Learning (ML) models intended for predicting departure runway assignments. ,"The software provides examples how to build three distinct pipelines for data query and save, data engineering, and data science. These pipelines enable scalable, repeatable, and maintainable development of ML models.",The software is designed to point to databases which are not provided as part of the software release and thus this software is only intended to serve as an example of best practices.,,,,,,,,,,,,,,,,,,,,,
NASA-21,Machine Learning Airport Surface Model: Estimated ON Time Prediction,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,The ML-airport-estimated-ON software is developed to provide a reference implementation to serve as a research example how to train and register Machine Learning (ML) models intended for predicting landing time. ,"The software provides examples how to build three distinct pipelines for data query and save, data engineering, and data science. These pipelines enable scalable, repeatable, and maintainable development of ML models.","The software is designed to point to databases which are not provided as part of the software release and thus this software is only intended to serve as an example of best practices. The software is built in python and leverages open-source libraries kedro, scikitlearn, MLFlow, and others. ",,,,,,,,,,,,,,,,,,,,,
NASA-22,Machine Learning Airport Surface Model: Taxi-in Prediction,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The ML-airport-taxi-in software is developed to provide a reference implementation to serve as a research example how to train and register Machine Learning (ML) models intended for four distinct use cases: 1) unimpeded AMA taxi in, 2) unimpeded ramp taxi in, 3) impeded AMA taxi in, and 4) impeded ramp taxi in. ","The software provides examples of how to build three distinct pipelines for data query and save, data engineering, and data science. These pipelines enable scalable, repeatable, and maintainable development of ML models.","The software is designed to point to databases which are not provided as part of the software release and thus this software is only intended to serve as an example of best practices. The software is built in python and leverages open-source libraries kedro, scikitlearn, MLFlow, and others. ",,,,,,,,,,,,,,,,,,,,,
NASA-23,Machine Learning Airport Surface Model: Taxi-out Prediction,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Transportation,Classical/Predictive Machine Learning,The ML-airport-taxi-out software is developed to provide a reference implementation to serve as a research example how to train and register Machine Learning (ML) models intended for predicting impeded and unimpeded taxi out duration. ,"The software provides examples of how to build three distinct pipelines for data query and save, data engineering, and data science. These pipelines enable scalable, repeatable, and maintainable development of ML models.","The software is designed to point to databases which are not provided as part of the software release and thus this software is only intended to serve as an example of best practices. The software is built in python and leverages open-source libraries kedro, scikitlearn, MLFlow, and others. ",,,,,,,,,,,,,,,,,,,,,
NASA-25,NextGen Advanced Methods: ATCSCC Webinar Speech2Text and Analysis,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Transportation,Natural Language Processing (NLP),"The Advanced Methods project explores the use of innovative and emerging technologies to drive post operational analysis of Traffic Management for aircraft. Technologies such as machine learning, (ML), artificial intelligence (AI), and advanced data analytics for use in improving the FAA’s traffic flow management. In this specific use case, our aim is to use deep learning to convert live ATCSCC webinar meeting conversation to text, and then apply natural language processing to the converted text data for later analysis and review.","The Advanced Methods project explores the use of innovative and emerging technologies to drive post operational analysis of Traffic Management for aircraft. Technologies such as machine learning, (ML), artificial intelligence (AI), and advanced data analytics for use in improving the FAA’s traffic flow management. In this specific use case, our aim is to use deep learning to convert live ATCSCC webinar meeting conversation to text, and then apply natural language processing to the converted text data for later analysis and review.",Text from speech to text and NLP of air traffic management content.,,c) Developed with both contracting and in-house resources,NLP,Yes,ATCSCC,traffic management data,, No,,None,Yes,,,,,,,,,,
NASA-26,NextGen Data Analytics: Letters of Agreement,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Transportation,Natural Language Processing (NLP),"Today, operation constraints are documented via Standard Operating Procedures (SOP) and Letters of Agreement (LOA) and are not made available to the public in a consistent manner. SOPs are specific to an air traffic control facility and specify the procedures necessary for safe operation in the sector. LOA outline agreements establishing procedures and responsibilities between two parties (including crossing restrictions, holding patters, emergency procedure coordination, etc.) The LOA/SOPs are published internally as scanned PDFs and are the responsibility of the facility to maintain. To reduce the manual effort of tagging the documents for ease of reference, there is an opportunity to use modern data analytics and machine learning to produce and disseminate constraints in a standardized manner. ",Providing LOAs or SOPs to stakeholders will enable flight planners (pilots and vendors) to study or ingest this information and thereby plan flight trajectories that remain consistent with air traffic constraints. It is also fundamental to Next Gen capabilities to share accurate data for purposes of creating new noise abatement procedures; improve NAS information for common situational awareness and alignment to implement new tools to assist in future time-based flow management.,Test-based digitized SOPs and LOAs.,,c) Developed with both contracting and in-house resources,FAA,Yes,Operated in an approved enclave,documents,, No,,None,Yes,,,,,,,,,,
NASA-33,Unsupervised anomaly detection in flight data with deep variational autoencoders,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Transportation,Classical/Predictive Machine Learning,This model is an unsupervised deep learning based anomaly detection for aircraft flight data based on variational autoencoders with convolutional architecture. The model is designed to find anomalies in multivaraite time-series and can work with heterogeneous data. ,It is currently tested and validated in finding anomaly detection in flight's operational quality assurance data from commerical aircraft.,anomaly detection,,,,,,,,,,,,,,,,,,,,,
NASA-35,Aero-Engines AI - a machine-learning app for aircraft engine system-performance prediction,GRC: Glenn Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Aero-Engines AI is a Windows app that deploys machine-learning analytics to predict aircraft engine performance.,Aero-Engines AI is an easy-to-use and a time-saving tool for aircraft engine design-space exploration during the conceptual design stage.,"Predicting engine TSFC, engine weight, core size, and
turbomachinery stage counts",,,,,,,,,,,,,,,,,,,,,
NASA-40,Graph Neural Networks for Airfoil Performance Prediction,GRC: Glenn Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"We are investigating the use of Graph Convolutional Neural Networks to learn relationship between airfoil coordinates and predict the performance for aerodynamics analysis. Inputs include the shape of the airfoil and outputs are the coefficient of lift, drag, and moment. ",The impact is we have a new type of neural network architecture that we can potentially use for other projects.,Predictions of blade loss,,,,,,,,,,,,,,,,,,,,,
NASA-41,Inverse Design of Materials,GRC: Glenn Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Discovering new materials is typically a mix of art and science, with timelines to create and robustly test a new material mix / manufacturing method ranging from ten to twenty years. This project seeks to enable rapid discovery, optimization, qualifaction and deployment of fit-for-purpose materials. ","The project is currently being utilized in an NESC investigation to improve SLS core stage weld quality. The technology will be used to select experiments for a fully autonomous robotic lab that is currently being procured to design better insulating materials for electrified aircraft. 
Bayesian optimization frameworks predicts the next best simulation to run to minimize a target. For the PMC example, for instance, the objective was to minimize weight while maintaining a minimum margin of safety.","Outputs include recipes and approaches for new materials custom-tailored to applications with an 4x speedup for the overall materials discovery / design lifecycle, and potential 10x throughput for the same cycle based on parallizing discovery of multiple materials at once.",,,,,,,,,,,,,,,,,,,,,
NASA-42,MADI - Strategic Foresight and Knowledge Management infrastructure for ARMD/TACP/CAS,GRC: Glenn Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Natural Language Processing (NLP),"The CAS Discovery team is developing, testing and using digital infrastructure to meet the pace of expected deliverables in an automated, efficient, collaborative manner, including taking advantage of AI/ML capabilities. ","A digital infrastructure would enable a curated problem database. It is essential to minimize rework due to not being able to find previous data, information, and analyses and having to repeat past work. This type of infrastructure would be adaptable to other innovation areas at NASA, especially those that are working in “problem space” rather than technology development space. In addition MADI is able to speculate on futures and generate scenarios. MADI is also able to provide recombinant innovation support to identify ways to use archived technologies and proposals in new ways.",Recommendations and associations as natural language output.,,,,,,,,,,,,,,,,,,,,,
NASA-64,Applying machine learning techniques to enhance the sensitivity and selectivity of multifunctional sensor platform,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"This work applies machine learning techniques to enhance the sensitivity and selectivity of the multifunctional sensor platform, a very small circuit board which includes multiple tiny sensors producing a variety of data. ",Applying machine learning techniques to enhance the sensitivity and selectivity of multifunctional sensor platform,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-66,Artificial Intelligent Co-Processor Slice with Google Coral TPU For Automated Onboard Data-Product Generation,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The Objective of this proposal is to enable the use of state-of-the-art, experimental, artificial-intelligent (AI) microchip architectures such as the Google Coral TPU (Tensor Processing Unit) on a SmallSat platform.",Artificial Intelligent Co-Processor Slice with Google Coral TPU For Automated Onboard Data-Product Generation,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-80,cFS High Performance Computing Framework (cFS HPCF),GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Other,"The core Flight System (cFS) High Performance Computing Framework (HPCF) provides an environment to support a wide variety of Science work, to inlcude AI and ML.",cFS High Performance Computing Framework (cFS HPCF),Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-89,Creating U-Net + LSTM Hybrid Architecture for Image Series Analysis,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,This work focuses on creating U-Net + long short-term memory Hybrid analysis architectures for image series analysis on solar image data.,Creating U-Net + LSTM Hybrid Architecture for Image Series Analysis,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-93,Deep Learning for Communication-Limited Spacecraft,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The objective of this project is to investigate the feasibility of applying deep-learning algorithms to communication-limited spacecraft, an operational domain where a slow, restricted, or intermittent downlink bottleneck inhibits the generation of large training datasets on the ground. With novel complex sensors generating ever-increasing amounts of data, it is imperative to be able to autonomously and robustly classify scientifically useful data to maximize scientific utility per bit transmitted to the ground. This project studies two classification approaches, including supervised transfer learning and unsupervised feature extraction followed by clustering, to optimize selection of data products for download.",Deep Learning for Communication-Limited Spacecraft,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-97,Development of new tools for detecting and assessing resilient agriculural systems farm performance,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,This work uses convolutional long short-term memory neural networks to aid in development of new tools for detecting and assessing resilient agriculural systems farm performance based on a variety of Earth and agricultural sensor data.,Development of new tools for detecting and assessing resilient agriculural systems farm performance,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-100,Earth Information System Fire Pilot,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"EIS-Fire developed a visualization and analysis data portal providing access to a variety of fire data products in a cloud-optimized, analysis-ready format. The team also developed an algorithm for mapping active fire perimeters from satellite fire detections and updated the representation of fire emissions in the Goddard Earth Observing System (GEOS) model to use improved Visible Infrared Imaging Radiometer Suite (VIIRS) fire data. Finally, EIS-Fire engaged stakeholders in identifying use cases to inform data portal development. ",Earth Information System Fire Pilot,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-105,Enabling Autonomous Differential Drag Control and Attitude Maneuvering Using Onboard Artificial Intelligence (AI) for SmallSat Distributed Space Missions (DSMs),GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"This work is in enabling Autonomous Differential Drag Control and Attitude Maneuvering Using onboard Artificial Intelligence (AI) for SmallSat Distributed Space Missions (DSMs). AI systems include autonomous navigation & control, with inputs including location, state, and systems data.",Enabling Autonomous Differential Drag Control and Attitude Maneuvering Using Onboard Artificial Intelligence (AI) for SmallSat Distributed Space Missions (DSMs),Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-113,Forest responses to climate change,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,This work explores a variety of Physics-Guided ML techniques to contribute to terrestrial ecosystem and carbon cycle modeling and related fields.,Forest responses to climate change,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-123,From Single Spacecraft to Synchronized Swarms: Fault Diagnosis for Distributed Spacecraft Mission Resilience,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,From Single Spacecraft to Synchronized Swarms: Fault Diagnosis for Distributed Spacecraft Mission Resilience. This project is in AI/ML-assisted fault detection and diagnosis to complement human capability for diagnosing issues.,From Single Spacecraft to Synchronized Swarms: Fault Diagnosis for Distributed Spacecraft Mission Resilience,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-127,HEASARC X-ray Spectra and Light Curve data sets,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"This work creates and makes available X-ray Spectra and Light Curve data sets for ML analysis from the High Energy Astrophysics Science Archive Research Center (HEASARC), which includes data sets from multiple space-based observatories.",HEASARC X-ray Spectra and Light Curve data sets,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-128,High Rate Digital Spectrometer Enhancement with Neural Network AI,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"As spaceborne spectrometer increases in spectral resolution, the growth in spectral data volume and the limited space to Earth communication bandwidth are prone to be a problem for achieving higher fidelity science measurement. To effectively utilize the limited communication bandwidth while reducing the loss of science data, a smart on-board neural network processing that had been successful in the field of machine learning and artificial intelligence (AI) is proposed to potentially reduce the spectral data volume, retaining the essential spectral information and mitigating the effect of human introduced radio signal interference.",High Rate Digital Spectrometer Enhancement with Neural Network AI,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-129,High Resolution Earth and Planetary Atmospheric Predictions using Machine Learning,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"We are developing a machine learning (ML) tool that can predict high-resolution in situ atmospheric conditions using relatively lower resolution remote data e.g., from an orbiting spacecraft. ","Our ML tool could be used to map and track atmospheric cycling on Earth and planetary bodies, not only as a fundamental science tool, but also as a mechanism for tracking planetary weather from orbit.",Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-133,HyperMapping with Hyperspectral Precise Pointing Optical Sensor (HYPPOS) for Decadal Survey Mission Pathfinder Activities,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,This work uses HyperMapping techniques on Hyperspectral Precise Pointing Optical Sensor (HYPPOS) data for Decadal Survey Mission Pathfinder Activities. The effort is developing AI tools using Google GPUs and NVIDIA TPUs with thermal imagery to enable curiosity-driven remote sensing of hyperspectral features using an optical pointing hyperspectral spectrometer component. ,Twin experiments with archived thermal and hyperspectral imagery are being used to develop and test novel AI pointing algorithms.,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-143,Knowledge Capture: helionauts.org,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Natural Language Processing (NLP),"This work uses natural language processing to perform text-based knowledge capture for the helionauts.org community, which is a cloud-based community of practice for Heliophysics experts.",Knowledge Capture: helionauts.org,Predictions,,,,,,,,,,,,,,,,,,,,,
