AII-27,Data Access Alternatives: Artificial Intelligence Supported Interfaces,NSF,SBE/NCSES,The key objective of this effort is to create and test machine-learning-backed or “artificial intelligence” (AI)-backed user experiences with federal statistical data. This experience shall improve on the current state of user interactions based on obtaining answers to questions via search engines or emailing federal staff or contractors. This project seeks to develop and pilot an AI chat bot (or the like) that answers users text queries submitted via an interface. Answers will be obtained from public statistical data of federal statistical agencies in this project.,Ideation,2024
AII-30,FOIA processing,NSF,OGC,"We don't have a tool yet. However, we are in the process of rolling out FOIAXpress and do not know yet of any AI capabilities",Ideation,2024
AII-32,Alt text Generator for Images in NSF's Media Hub,NSF,OLPA,"OLPA is interested in using a ChatGPT integration with NSF’s Digital Asset Management system (DAM), for the images we host there. We’d use it to generate alt text for images we'll be using in digital communication products (such as nsf.gov) to ensure they’re accessible to individuals using assistive technology.

While we’d have ChatGPT generate the alt text, it would be reviewed by OLPA staff before being used in any communications materials. We’ve confirmed with Acquia that they don’t retain our images or use them for model training.
",Ideation,2024
AII-33,Exploring the use of BERTopic Modeling for a portfolio analysis,NSF,OIA/EAC,We are exploring whether the application of BERTopic modeling (or a similar NLP method) is applicable to a portfolio analysis. ,Ideation,2024
AII-35,Open-source topic identification for the Public Engagement with Science Initiative data analysis.,NSF,OIA,"We propose using unsupervised NLP to identify topical themes within responses submitted to the NSF public engagement questionnaire. The AI system will include multiple open-source techniques used together to achieve this goal. Details of the system are as follows: 
To ensure high-quality topics, we will first programmatically remove responses that are blank or non-informative. The National Center for Health Statistics (NCHS) Semi-Automated Non-Response Detection for Surveys (SANDS) model will be used to filter out non-response responses (e.g., ""sdfsdfa,"" ""idkkkkk""). To reduce duplicate responses potentially caused by bots or submitted to boost relative importance, responses with the exact duplicate question wording will be removed over a threshold of three responses per IP address. If an individual has several different questions they would like to submit, all of their questions will be included. We will use an open-source profanity filter such as python’s profanity-filter to identify toxic language. Any responses that are primarily toxic language will be dropped from analysis.
To group questions into themes, we will use a word-embedding model to convert text responses into multidimensional space for topic modeling. Because we anticipate responses in multiple languages, we will use a multilingual word-embedding model, such as “paraphrase-multilingual-MiniLM-L12-v2"" or the most up-to-date version of this model at time of analysis. Embeddings will be reduced in dimensions using a dimension reduction algorithm such as t-SNE (t-distributed Stochastic Neighbor Embedding) to prepare for clustering.
Reduced response embeddings will be clustered into groups using the ClassTfidfTransformer clustering algorithm from the python package BertTopic. The algorithm will be seeded with words corresponding to a list of NSF programs corresponding to different research areas to map the clusters to these established categorizations.
To aid in review of topics generated by the clustering algorithm, an open-source large language model (LLM), such as Meta Llama, will be used to summarize the responses grouped within a cluster. Using a prompt like the example below, this strategy will produce a plain language summary and title of each of the clusters of responses.
The clusters produced will be reviewed by RTI staff for accuracy and appropriateness of naming. Staff will make edits to the LLM-generated summaries as necessary and note any clusters that are candidates for merging with other clusters into a single topic. The topics will then be validated by NSF experts and the advisory committee.
Once the existing cluster model has been finalized, the cluster model will be applied to all responses. Where feasible, the RTI STEM education experts/analysts will manually map the research topics to NSF research programs.",Pre-Deployment,2025
AII-38,Hand-written text extraction using Textract for the Public Engagement with Science Initiative,NSF,OIA,"We propose using a Commercial Off the Shelf AWS product, Textract, as a character recognition tool to convert handwritten text into machine-encoded text for a postcard. Handwritten text will be an open format question for science and engineering and some optional check boxes for demographic and other data questions.",Deployed,2025
AII-48,NSF AI-Ready RPPR Data,NSF,OCIO,"OCIO is working to provide AI-ready RPPR data – a key component for determining outcomes of NSF investments.
Note: Information in the RPPR may be used to identify ""outputs"" and be linked to other data sets (e.g., NSF PAR, Patent, etc.) to assess NSF’s ""broader impacts""; however,  it is not currently available in an accessible format.
Problem Statement:
RPPR data, a critical resource for tracking the outcomes of NSF-funded projects.
Data are currently stored in various formats across multiple locations making it inaccessible for analytic purposes and difficult to reach without impact to current operations.
The lack of centralized, accessible data limits NSF's ability to assess impacts, make informed decisions, and fully leverage data for insights.
Request approval to use AWS Bedrock, AWS SageMaker, AWS Neptune & AWS Comprehend from AIDG
",Pre-Deployment,2025
AII-49,TIP MS Copilot Pilot,NSF,TIP & OCIO,"Copilot can be used to rewrite and generate text based on user prompts in Microsoft 365 services, including Microsoft Word, Microsoft Excel, and PowerPoint.  Copilot for Microsoft 365 uses Microsoft Graph, an API, to evaluate context and available Microsoft 365 user data before modifying and sending user prompts to the language model.  After receiving its output, Microsoft Graph performs additional context-specific processing before sending the response to Microsoft 365 apps to generate content. ",Pre-Deployment,2025
AII-51,A document summarizer via Natural Language Processing ,NSF,ENG/CBET ,"The AI system utilizes state-of-the-art transformer-based models (e.g., BART, Pegasus, T5, SciBERT) to perform text summarization. These models are deployed entirely within the agency’s secure firewalls, ensuring no external data exposure and no external access. BART, Pegasus, T5 and SciBERT are state-of-the-art, open-source AI models designed for natural language processing (NLP) tasks. The model will be able to summarize lengthy internal documents, helping employees quickly extract key insights from large volume of information.  This tool automates summarization, reducing time employees spend reading lengthy documents, enhancing productivity by accurately identifying key points in such documents. The traditional extractive summarization (e.g., via TF-IDF) selects key sentences verbatim from the source, often misses several key elements of the document, and results in inaccurate representation of the content. Unlike traditional extractive summarization, generative summarization (used by BART, Pegasus and T5) creates modified sentences that better capture the meaning and context of the document. This leads to more natural, coherent and concise summaries which enhanced readability and contextual accuracy. ",Pre-Deployment,2025
AII-52,Document similarity analysis via Natural Language Processing ,NSF,ENG/CBET ,"The AI system utilizes a sentence-transformer model (all-mpnet-base-v2) and a statistical keyword method (TF-IDF) to perform document similarity tasks. These models are deployed entirely within the agency’s secure firewalls, ensuring no external data exposure and no external access. These AI models are designed for natural language processing (NLP) tasks. Via all-mpnet-base-v2, the model will use utilize deep learning models to capture semantic meaning, ideal for conceptual similarity beyond exact wording. Via TF-IDF, the model will focus on lexical overlap and is effective for direct technical document comparison. Both models calculate Cosine similarity, with scores ranging from -1 to 1. Scores can be interpreted as follows: identical (1), highly similar (0.8-0.99), somewhat similar (~0.5), mostly dissimilar (0.1-0.3), completely dissimilar (0) and opposite (-1 to 0). Document similarity analysis can significantly boost productivity since a large volume of documents can quickly and efficiently be analyzed for extent of contextual or lexical similarity and can aid in routine planning for proposal administration. Cosine similarity is also a well-established method to quantify similarity and is already used within NSF tools. ",Pre-Deployment,2025
AII-53,M365 AI Builder pre-built GPT for Summarization,NSF,OIA,"I request to use the existing AI Builder pre-built GPT functions within Microsoft Power Platform to perform summarization tasks on text and tag data in M365 to support:
1. Creation of Planner tasks from emails and
2. Creation of draft weekly and monthly accomplishment reports from text and tag data in email, meeting invitations, and tasks.

The scope of data is limited to that available to an individual M365 account.",Deployed,2025
AII-56,Comparison of proposal similarities at different levels of NSF organization,NSF,BIO/IOS,"The goal of the analysis is to compare how any two programs, divisions, directorate in NSF is similar to each other to assess uniqueness and overlap between units. The comparison is based on a similarity score (cosine similarity) of the embeddings of any two proposal summaries. The embeddings are generated using sentence transformer models.",Deployed,2025
AII-72,Open access LLM,NSF,BIO/IOS,"Tool: State-of-the-art, open LLMs from US and EU sources including:
- Google - BERT and Gemma 3 variants
- Meta - Llama 3 and 4 variants
- MistralAI - Mistral 3 variants
- Nvidia - Llama 3 variants, OpenCodeReasoning, OpenMathReasoning, Nemotron-H

Note that this request does not include any LLM developed from none US or EU sources.

Usage: for developing LLM toolkits such as internal chatbot or question/answering system",Ideation,2025
AII-74,ETAP HelpDesk incidents content analysis,NSF,OIA,"A contractor team ( ETAP O&O) has been tasked with improving NSF’s Education and Training Application (ETAP). To this end, ETAP O&O will use off-the-shelf AI models (including Mistral-8B and Gemma3) to conduct a content analysis of ETAP Help Desk incidents and requests captured in ServiceNow. Specifically, the AI system will use free text elements of the items to help the team categorize incidents in a more granular and adaptable fashion than the current, static ITSD categories. The AI models will be run only on NSF-approved environments and will not share data with unauthorized third parties.",Ideation,2025
,,,,,,
