Use Case ID ,Use Case Name,Bureau/Component,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.",Has pre-deployment testing been conducted for this AI use case? ,Has an AI impact assessment been completed for this AI use case? ,What are the potential impacts of using the AI for this particular use case and how were they identified?,Has an independent review of the AI use case been conducted?,"Is there a process to conduct ongoing monitoring to identify any adverse impacts to the performance and security of the AI functionality, as well as to privacy, civil rights, and civil liberties?",Has the agency established sufficient and periodic training for operators of the AI to interpret and act on its output and managed associated risks?,Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?,Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system’s outcome? ,What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
USDA-018,TreeMap and FuelMap (all versions),Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Produce tree-level model of the forests of the US, and corresponding model of fuel loading.","TreeMap and FuelMap enable modeling of fuel treatments (amount of wood removed, reduction in fire risk), smoke emissions, and biomass estimation","The AI outputs maps at 30x30m scale for the Conterminous United States (CONUS) of the imputed Forest Inventory and Analysis (FIA) plot identifier. From these maps, we also create maps of attributes such as forest type, number of live and dead trees per acre, biomass, carbon, etc.",10/12/2016,b) Developed in-house,, No,,"Forest inventory plot data from Forest Inventory and Analysis (FIA), and data from Landscape Fire and Resource Management Planning Tools (LANDFIRE) and Daymet",, No,,None of the above,Yes,https://github.com/firelab/gtac-treemap/graphs/commit-activity,,,,,,,,,
USDA-019,Landscape Change Monitoring System (LCMS),Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"LCMS produces annual vegetation cover change, land cover, land use, and tree canopy cover data on National Forest System lands and more broadly across the conterminous United States, Alaska, Puerto Rico, U.S. Virgin Islands, and Hawaii from 1985 through present.","Supporting agency priority initiatives such as quick and efficient monitoring of fire and fuels management across the landscape, documenting vegetation changes due to wildland and prescribed fire, tracking post-fire recovery and restoration work, maximizing the value of existing investments, reducing technical barriers, and improving mission outcomes. ","The model outputs predictions of tree canopy cover, vegetation gain, vegetation loss, land cover, and land uses.",1/15/2016,b) Developed in-house,, No,,"Training and evaluation data used includes 15,000 sample plots spanning from 1985-2024. Features of the dataset are land cover, land use, and change process categories. ",https://catalog.data.gov/dataset/landscape-change-monitoring-system-lcms-puerto-rico-usvi-annual-landcover-image-service; https://catalog.data.gov/dataset/national-land-cover-database-nlcd-tree-canopy-cover-tcc-conus-image-service, No,,None of the above, No,,,,,,,,,,
USDA-021,Forest Health Detection Monitoring,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Computer Vision,This project monitors forest health by detecting tree damage through changes in light patterns collected by satellites.,This detection method helps the Forest Health Protection program monitor forested areas that can't be checked on the ground or with aerial surveys.,The model predicts damaged areas based on image inputs.,6/29/2021,c) Developed with both contracting and in-house resources,RedCastle Resources, No,,"Training data was collected from the National Agriculture Imagery Program (NAIP) and WorldView (vendor is Maxar) imagery. Similar high resolution imagery has been used in evaluation and validation. There are approximately 1000 labeled images in the training dataset, each containing spectral data.",, No,,None of the above,Yes,,,,,,,,,,
USDA-022,Cropland Data Layer,"Research, Education and Economics",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Generating agricultural statistics,This project produces supplemental estimates of crop acreage for internal use and releases geospatial data products to the user community.,Outputs are acreage estimates (internal use) and agriculture-specific land cover product (external use).,1/1/2008,b) Developed in-house,,Yes,Geo-enabled Earth Computing System (GEECS),"USDA/Farm Service Agency Common Land Unit data are used for training and testing, consisting of Geographic Information System (GIS) shapefiles and associated 578 attribute data.  ",https://catalog.data.gov/dataset/cropscape-cropland-data-layer, No,,None of the above, No,,,,,,,,,,
USDA-023,List Frame Deadwood Identification,"Research, Education and Economics",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,This model helps identify farms that may be out of business on the National Agricultural Statistics Service list. Parts of the model were used to create clear rules to identify these farms. ,"The resulting list is more accurate and allows for smaller sample sizes, reducing the burden on respondents.",The output of the model was a probability score that a farm is out of business. ,2/3/2016,b) Developed in-house,,Yes,"Research, Education, and Economics (REE) - National Agricultural Statistics Service (NASS) - Citrix Environment","National Agricultural Statistics Service List frame and survey data, consisting of features put together to form profiles of farming operations, was used to train and validate the model.",,Yes,,Age; Income,Yes,,,,,,,,,,
USDA-024,Climate Change Classification NLP,"Research, Education and Economics","d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-025,Video Surveillance System,"Office of Safety, Security, and Protection",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,,Administrative Functions,Computer Vision,The purpose of this system is to conduct facial recognition video surveillance to provide enhanced security.     ,Benefits include reduced labor hours for technicians and enhanced surveillance capability.,"The system outputs a positive match to the security control center, indicating identification of the selected individual. An alarm notification is sent to alert security personnel.    ",2/14/2020,c) Developed with both contracting and in-house resources,GlobalComm,Yes,Video Surveillance System,Vendor trained and evaluated the system using their own private data assets.,, No,,None of the above, No,,a) Yes,b) In-progress,Potential impacts identified by vendor - Positive impacts include improved security and threat management. Potential adverse impacts include misidentification of an individual. ,d) In-progress,"a) Yes, sufficient monitoring protocols have been established","a) Yes, sufficient and periodic training has been established",a) Yes  ,"
a) Yes, an appropriate appeal process has been established


", Other
USDA-026,Aquisition Approval Request Compliance Tool,Office of the Chief Information Officer,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Natural Language Processing (NLP),This project was developed to help identify likely Information Technology (IT) purchases that do not have an associated Acquisition Approval Request.,The benefits are reducing unauthorized Information Technology (IT) purchases and increasing compliance with IT procurement procedures and approvals.,The output is a numerical score indicating how likely it is that the purchase is an Information Technology (IT) purchase.,,,,,,,,,,,,,,,,,,,,,
USDA-027,Operational Water Supply Forecasting for Western US Rivers,Farm Production and Conservation,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Service Delivery,Classical/Predictive Machine Learning,Improved predictions of seasonal water supply forecasts to support irrigated agriculture planning.,"The National Water and Climate Center has a multi-model machine-learning metasystem (M4) for generating water supply forecasts. This model uses AI and other data-science technologies to reduce forecast errors, helping stakeholders make better decisions about water supply availability.",The model outputs water supply forecasts.,1/1/2024,b) Developed in-house,, No,,The data contains snow and precipitation metrics from the Natural Resources Conservation Service (NRCS) Snow Survey and Water Supply Forecast program Snow Telemetry (SNOTEL) monitoring network. ,, No,,None of the above,Yes,https://github.com/nrcs-nwcc/M4,,,,,,,,,
USDA-028,Standardization of Cut Flower Business Names for Message Set Data,Marketing and Regulatory Programs,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-029,Intelligent Ticket Routing,Office of the Chief Information Officer,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-030,Predictive Maintenance Impacts,Office of the Chief Information Officer,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-032,Approximate String Matching (aka fuzzy matching) to Standardize Data,Marketing and Regulatory Programs,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Service Delivery,Natural Language Processing (NLP),"Entities (producers, commodities, facilities, etc) use different names in our data systems, making accurate analysis by entity impossible without matching and resolving them.","Benefits include reduced labor hours compared to manual data cleaning, makes near-real-time reporting possible, and increases data accuracy which enables program managers to conduct efficient policy enforcement and program monitoring.","A model is used to match variations of names in Plant Protection and Quarantine (PPQ) program data and apply standardized producer and commodity names. This results in clean, standardized data through an automated workflow. ",5/8/2023,b) Developed in-house,, No,,"Entity names are stored within Plant Protection and Quarantine (PPQ) data systems, which include commodity imports, inspections, pest interceptions, and Emergency Action Notifications.",, No,,None of the above, No,https://pypi.org/project/RapidFuzz/,,,,,,,,,
USDA-033,Automated PDF Document Processing and Information Extraction,Marketing and Regulatory Programs,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),"Plant Protection and Quarantine (PPQ) has important program and workforce related information stored in thousands of PDFs, which cannot easily be used for analytics. ","Benefits include making information accessible and timely, increasing data-driven decision making, and saving large amounts of time compared to previous manual methods used.",Machine-readable data tables,1/16/2023,b) Developed in-house,, No,,"Data used include the internal program-related documents being processed, including vessel inspection forms, reimbursable overtime forms, pest fact sheets, and work plans. ",, No,,None of the above, No,,,,,,,,,,
USDA-035,Census of Agriculture Propensity Scores via Machne Learning,"Research, Education and Economics",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Service Delivery,Classical/Predictive Machine Learning,The Census of Agriculture is collected every 5 years and requires high participation levels from individuals and agricultural operations to provide relevant agricultural data to the nation. ,This model predicts how likely individuals or operations are to complete the Census of Agriculture. The predictions can help data collectors decide where they need to focus their efforts in order to get more complete census responses.,The model outputs a probability score (all values from and including 0 to 1).,10/1/2022,b) Developed in-house,,Yes,NASS REE CIPSEA Citrix Env,"Information on the National Agriculture Statistics Service (NASS) list frame including previous survey response information, demographic information, as well as geospatial information.",,Yes,,Age; Income,Yes,,,,,,,,,,
USDA-037,Conservation Effects Assessment Project,Farm Production and Conservation,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The purpose of the use case is to predict the conservation effects of cropland practices in real time, with no technical skill required. ",Such models would allow field conservation planners to have real-time conservation effects on sediment and nutrients.,The model outputs predictions of sediment and nutrient change values based on conservation methods.,,,,,,,,,,,,,,,,,,,,,
USDA-038,Digital Imagery (no-change) for NRI Program,Farm Production and Conservation,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,AI algorithms are used to look at landscape images and detect if the landscape has changed from year to year. ,"About 72,000 aerial images are interpreted by dozens of technicians each year to collect data for the National Resources Inventory (NRI) program. This case would decrease the number of labor hours required of technicians to manually interpret images.",The model outputs a classification of “no-changes” in the images if the landscape in the images remain stable from year to year.,,,,,,,,,,,,,,,,,,,,,
USDA-039,Nutrition Education & Local Access Dashboard,"Food, Nutrition, and Consumer Services",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Government Benefits Processing,Classical/Predictive Machine Learning," The goal of this dashboard is to provide county-level information on nutrition education and local food access, alongside other metrics related to hunger and nutritional health. This interactive dashboard can provide specific details based on the properties of farm to school intensity and size, program activity intensity, demographics, fresh food access, school size, and program participation. These properties allow users to find similar states based on any of these characteristics, opening up opportunities for partnerships with states they may not have considered. ","Benefits include consolidating related data in one location for informing nutrition programming, and identify potential partners for nutrition programs based on similarities.", The model outputs groups of similar counties/states based on the different combinations of properties available for states. ,6/23/2023,c) Developed with both contracting and in-house resources,Accenture,Yes,Tableau,"The data is composed of numerical and categorical data describing farm to school intensity and size, program activity intensity, ethnicity and race, fresh food access, school size, and program participation.",, No,,Race/Ethnicity,Yes,,,,,,,,,,
USDA-040,Survey Text Remarks Value Scoring,"Research, Education and Economics","d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-041,Survey Outlier Detection Model,"Research, Education and Economics",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,Anomalous or inaccurate values in surveys must be correctly identified and addressed to ensure high data quality.,The use of this model reduces manual labor and improves data quality.,The model outputs a recommendation of which data values should be re-examined for errors.,5/27/2022,b) Developed in-house,, No,,Synthetic structured data containing categorical and numerical values.,, No,,None of the above,Yes,https://cran.r-project.org/web/packages/HRTnomaly/,,,,,,,,,
USDA-042,Multilingual Translation of Recalls and Public Health Alerts,Food Safety,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-043,Genomic Analyses of Pathogen Subtypes,Food Safety,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The purpose of this use case is to use machine learning (ML) methods to group foodborne bacteria based on patterns in their genes, then connect this information with available health data to evaluate foodborne illness risk to public health.","Expected benefits include improving our understanding of foodborne illness, identifying key genes and trends, and evaluating those that are important for public health.","The model outputs predictions of foodborne illnesses with high public health risk, key genetic markers by importance, and emerging trends.",10/1/2024,b) Developed in-house,, No,,"The data is composed of agency-owned data, including whole genome sequencing (WGS) data from Food Safety and Inspection Service (FSIS). ",, No,,Age,Yes,,,,,,,,,,
USDA-044,Foodborne Illness Source Attribution,Food Safety,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The Interagency Food Safety Analytics Collaboration (IFSAC) - a partnership between the Centers for Disease Control and Prevention (CDC), the U.S. Food and Drug Administration (FDA), and the Food Safety and Inspection Service (FSIS) - has used computer-based methods to predict the likely sources of foodborne illnesses in humans.","Expected benefits include improving our understanding of what foods contribute the most to illnesses, which can help in creating measures and policies to reduce illnesses and improve food safety.","The model outputs predictions of likely sources of foodborne human illness cases, along with a confidence score of how probable it is that the illness came from the predicted source.",1/29/2024,b) Developed in-house,, No,,"The data is composed of agency-owned data, including whole genome sequencing (WGS) data from Food Safety and Inspection Service (FSIS). ",, No,,None of the above,Yes,,,,,,,,,,
USDA-046,Rangeland Analysis Platform,"Research, Education and Economics; Farm Production and Conservation",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,"Provides ranchers and land managers with information to detect and manage invasive species spread, wildfire risks, woody species encroachment, wildlife habitat condition, and wind erosion risks with high precision across the western U.S.","The Rangeland Analysis Platform (RAP) allows users to track changes in plant growth and coverage over time. By monitoring the condition of agricultural ecosystems and the impact of conservation efforts, it can guide conservation practices, invasive species management, drought and wildfire responses, and wildlife habitats.",Generates detailed maps showing rangeland vegetation cover and vegetation production across the U.S. Also provides imagery analysis and reporting to the end user,1/1/2017,c) Developed with both contracting and in-house resources,"Google Cloud, University of Montana, New Mexico State University",Yes,Rangeland Analysis Platform,"The data is collected from over 75,000 monitoring locations collected by Natural Resources Conservation Service (NRCS), Bureau of Land Management, Sentinel-2 mission satellite imagery, Google Earth Engine, and other agencies. ",http://rangeland.ntsg.umt.edu/data/rap/rap-vegetation-biomass/, No,,None of the above,Yes,https://github.com/allredbw/rangeland-s2-cover-gap; https://rangelands.app/,,,,,,,,,
USDA-047,Predictive Cropland Data Layer,"Research, Education and Economics",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,The purpose of this system is to predict crop rotations.,Benefits include improving data quality of area-based surveys and providing assistance to field office personnel. ,The system outputs predictions of the types of crops in specific locations within the Conterminous United States (CONUS).,2/15/2021,b) Developed in-house,, No,,The data is derived from Cropland Data Layer (CDL) and Farm Service Agency (FSA) administrative data. CDL is produced using satellite images and extensive agricultural ground reference data.,, No,,None of the above,Yes,,,,,,,,,,
USDA-048,Dam Inspection Report Document Processing,Farm Production and Conservation,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,b) Presumed high-impact but determined not high-impact,"The AI is used for information extraction that informs dam portfolio decisions. However, the principal basis for decisions is made by humans for the repairs, and is vetted through aerial imagery analysis, the Oklahoma Conservation Commission, and associated dam sponsors. ",Administrative Functions,Computer Vision,"The AI use case allows our staff to identify the biggest issues and trends across 2,100+ dams.","The benefit and positive outcome from the AI is a wholistic understanding of dam issues across 2,100+ dams. This allows us to better analyze the data and build a risk-prioritization system to rank sites and projects to work on, reducing labor hours required to complete the task manually, and reducing the dependence on specific staff to maintain knowledge of each dam's inspection response.","The model outputs text and checkbox responses, including dam metadata, inspection issue responses (yes and no checkboxes), and further remarks on the issue regarding what has been or needs to be done on the dam.",12/20/2023,b) Developed in-house,,Yes,AI Builder,"The data is made up of dam inspection forms collected by dam owners (ex. conservation districts, cities) or Natural Resources Conservation Service (NRCS) staff. The data was validated through manual checks and is composed of 30+ dam inspection reports with different handwriting. The data contains 120+ variables that are read from each two-page inspection report. The data types are date, text, table (text variable types in the table), and checkbox binary outputs (checked: yes or no). ",, No,,None of the above, No,,,,,,,,,,
USDA-049,Portfolio Approval and Management (PAM) Bot,"Research, Education and Economics",a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Generative AI,The purpose of the model is to improve the Economic Research Service (ERS) research approval process. ,"The system reduces the time it takes to fill out information and seek approval, improves information accuracy, and brings visibility to the approval status across various division functions.","The system provides three outputs: the approval status, summary recommendations, and generated citations.",,,,,,,,,,,,,,,,,,,,,
USDA-050,GIS Invasive Tree Extraction for Field Level Users,Farm Production and Conservation,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Energy & the Environment,Computer Vision,The tool automatically identifies invasive Eastern Red Cedar trees from the surrounding landscape. This eliminates manual processing by planners.,Automated tool removes tedious maual process and returns planners' time to work on higher-value priorities. This saves time and money and provides better customer service.,It outputs a polygon that maps the boundary of the tree infestation.,7/15/2019,b) Developed in-house,, No,," The data is created from the National Agriculture Imagery Program (NAIP), aerial images of land taken from aircraft. The data is not limited to NAIP, but NAIP has proven to be the most reliable source data.",, No,,None of the above,Yes,,,,,,,,,,
USDA-051,DISTRIB-II: Habitat Suitability of Eastern United States Tree,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,The goal of this use case is to provide information about current and future habitat suitability of east United States tree species. Machine learning is used to develop models that can predict relative abundance of individual tree species in the future. ,These models provide forest land managers with information about how habitats could change under various future scenarios which can assist in resource planning. The information provided by the models can also result in cost saving and resource effectiveness by reducing costs to manage unsuitable tree species and instead suggesting species that could be more suitable.,Outputs from this use case include predictive maps of individual tree species abundance at resolutions of 10 and 20-km grids across the eastern United States under current (1981 to 2010) and potential future climate projections (2070 to 2099). ,9/12/2019,b) Developed in-house,, No,,"Data used to train the machine learning models included USDA Forest Service Forest Inventory and Analysis data, elevation, 30-year mean interpolated climate (1981-2010), USDA Natural Resources Conservation Service gridded soil survey database.",https://www.fs.usda.gov/rds/archive/catalog/RDS-2019-0029, No,,None of the above, No,,,,,,,,,,
USDA-052,FSA FLP Chatbot,Farm Production and Conservation,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Service Delivery,Generative AI,This AI use case is researching program handbooks and generating contextually and factually accurate responses from highly technical Farm Loan Program information.,Empowers employees to provide better service and cost savings via faster response times to program-specific questions. Increases accuracy of content and knowledge in program delivery. ,The expected output is text answers to prompt questions. ,9/15/2025,c) Developed with both contracting and in-house resources,Amazon Web Services, No,,"1-FLP, 2-FLP, 3-FLP, 4-FLP, 5-FLP, 6-FLP, 7-FLP publicly available Farm Service Agency handbooks were used to train the model. Sample responses prepared by business-area human experts were used to evaluate model performance.",, No,,None of the above,Yes,,,,,,,,,,
USDA-053,ROE Document Recognition - RoeDR,Farm Production and Conservation,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Government Benefits Processing,Natural Language Processing (NLP),"The purpose of this model is to automate a slow manual process by analyzing documents from producers and Authorized Insurance Providers (AIPs), picking the appropriate page from the documents, reading the signature date and producer signature name, converting the date and name to text, and loading it into an application. ",Saves employee time processing written agreements and having to input the data manually.  We can then use the data for reporting purposes.,The model outputs groups of similar counties/states based on the different combinations of properties available for states. ,5/15/2024,b) Developed in-house,, No,,Actuarial Change Requests submitted by authorized insurance providers,, No,,None of the above, No,,,,,,,,,,
