use_case_id,agency,use_case_name,current_is_coding_tool,corrected_is_coding_tool,tool_product,vendor,corrected_deployment_scope,confidence,evidence_url,evidence_quote,notes
8742,DOJ,AI-assisted Legacy Code Modernization,0,1,unspecified,unspecified,bureau,High,db_row_8742,"AI-assisted code translation and refactoring tools to automatically convert legacy code into modern, secure languages (e.g., Java, Python)",DOJ Civil Division - tag missed
8779,DOL,Occupation Code Suggestion For Job Duties Data,1,0,N/A,N/A,bureau,High,db_row_8779,Standard SOC autocoder - misclassification not coding,"DOL ETA - tag wrong (autoclassifier, retired)"
8889,ED,Generative AI - Code Generation (Federal Student Aid),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,enterprise_wide,Medium,db_row_8889,"AI generates code snippets in a variety of programming languages... assist with data analysis and troubleshooting",ED FSA - real coding use within general LLM platform
8893,ED,Generative AI - Code Generation (Grants Management),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,office,Medium,db_row_8893,Same template as 8889,ED Grants Management
8895,ED,Generative AI - Code Generation (Institute of Education Sciences),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,enterprise_wide,Medium,db_row_8895,"AI is given descriptions of desired functions and returns snippets of R code",ED IES
8896,ED,Generative AI - Code Generation (IES dup),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,enterprise_wide,Medium,db_row_8896,Same template as 8895,ED IES (duplicate)
8898,ED,Generative AI - Code Generation (OCDO),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,bureau,Medium,db_row_8898,"AI is used to train employees on the benefits of prompt engineering, by providing snippets of code",ED OCDO
8902,ED,Generative AI - Code Generation (OCIO),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,bureau,Medium,db_row_8902,"AI is utilized to generate sample code snippets that assist users in understanding programming language syntax",ED OCIO - directly developer-facing
8908,ED,Generative AI - Code Generation (OCR),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,bureau,Medium,db_row_8908,"AI is used to create sample DAX code",ED OCR - DAX/Power BI scripts
8912,ED,Generative AI - Code Generation (Deputy Secretary),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,bureau,Medium,db_row_8912,"AI generates code snippets designed to assist with data analysis and data visualization",ED ODS
8915,ED,Generative AI - Code Generation (OESE),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,enterprise_wide,Medium,db_row_8915,"AI generates code snippets... for data analysis and troubleshooting",ED OESE
8920,ED,Generative AI - Code Generation (Finance & Operations),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,bureau,Medium,db_row_8920,"AI generates code snippets... for data analysis and data visualization",ED OFO
8927,ED,Generative AI - Code Generation (Postsecondary Education),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,enterprise_wide,Medium,db_row_8927,"creation of Excel Macros and Complex Formulae is automated",ED OPE
8935,ED,Generative AI - Code Generation (OSERS),1,1,OpenAI + Google Distributed Cloud,OpenAI/Google,enterprise_wide,Medium,db_row_8935,"AI is prompted to generate snippets of VBA code and complex formulas for Excel",ED OSERS
8952,ED,MS Copilot - Technical Assistance & Code Generation,1,1,Microsoft 365 Copilot,Microsoft,enterprise_wide,High,db_row_8952,"Coding and technical support tasks are time-consuming for non-experts; output: Generated code, syntax examples, and refined scripts for various platforms",ED Agency Wide - M365 Copilot used for code
8955,EPA,AI Assistants in Esri Tools,0,1,ESRI ArcGIS AI assistants,ESRI,office,Medium,db_row_8955,"This would help people use Esri software do more complex analysis... outputs: code, analysis, suggested tool use",EPA OFA - tag missed; ESRI ArcGIS LLM helps generate Python/Arcade code
9105,FTC,Developer Productivity,0,0,Leidos Sentinel Network,Leidos,office,Medium,db_row_9105,"Solve challenges and inefficiencies in development; output: Software code with improved quality",FTC BCP/DCRO - vendor-managed dev tool; could be coding assist but narrative thin. Excluded as not clearly an AI coding assistant.
9206,HHS,AI DevOps - Improving Development and CI/CD Operations,0,1,Pingwind,Pingwind,office,Medium,db_row_9206,"AI code review uses artificial intelligence algorithms to analyze source code",HHS AHRQ - tag missed
9252,HHS,MedCoder - Coding literal text cause of death... ICD-10,0,0,Custom NLP autoclassifier,unspecified,bureau,High,db_row_9252,Medical autoclassifier (ICD-10),Excluded - autocoder/classifier
9299,HHS,Using Databricks Genie for Routine Immunization Data Insights,0,0,Databricks Genie,Databricks,bureau,Medium,db_row_9299,"plain language query capability... output SQL Code",CDC - SQL-from-NL within Databricks; analyst tool not developer tool. Excluded.
9307,HHS,CSB MCP AI,0,1,unspecified,unspecified,office,Low,db_row_9307,"infrastructure code generation, and task execution",CDC - infrastructure-as-code generation - tag missed
9333,HHS,AI Workspace,0,1,CEDAR (Skyward Solutions),Skyward Solutions,bureau,Medium,db_row_9333,"hosted development environment that enables end users to create code",CMS OIT
9339,HHS,CCSQ Now Assist for Creator,0,1,ServiceNow Now Assist,ServiceNow,bureau,Medium,db_row_9339,"Text to Code. Text to Flow. Flow Assist",CMS CCSQ - tag missed; ServiceNow Now Assist for Creator generates ServiceNow code
9349,HHS,T-MSIS Prima,0,1,unspecified,unspecified,office,Low,db_row_9349,"Code, Documentation, Communications, Analysis/Research",CMS CMCS - thin narrative
9355,HHS,AI Code Assistance WETG GitHub CoPilot Proof-of-Concept,1,1,GitHub Copilot,Microsoft/GitHub,office,High,db_row_9355,Direct product name in title,CMS POC
9450,HHS,AI-Generated Data Processing and Visualization Code Development,0,1,unspecified,unspecified,office,Medium,db_row_9450,"AI assisted code generation for Excel macros and scripts, Power BI formulas... data processing algorithms",FDA OCS - tag missed
9472,HHS,Code Conversion for PowerBI Migration,0,1,unspecified,unspecified,office,Medium,db_row_9472,"Generate code to support migration and conversion from Tableau to PowerBI",HRSA - tag missed
9520,HHS,Stem Cell Auto Coder,1,0,N/A,N/A,bureau,High,db_row_9520,Stem cell sample autoclassifier,Excluded - autocoder. Currently mistagged.
9561,HHS,Notebooks Hub,0,1,Custom (Microsoft + OpenAI + Axle),Axle Informatics + MS + OpenAI,bureau,Medium,db_row_9561,"Helping scientists and researchers code their applications, dashboards, and data analyses... output: Python R Javascript Java code",NIH - tag missed
9563,HHS,Writing code using AI,0,1,Palantir Foundry,Palantir,bureau,Medium,db_row_9563,"output: recommended pyspark code",NIH NIDAP - tag missed
9576,HHS,OSPIDA RPAB Scientific Coding Assistance Tool (CAT),1,0,N/A,N/A,bureau,High,db_row_9576,Grant-classification model for NIAID scientific codes,NIH NIAID - autoclassifier mistagged. Excluded.
9580,HHS,Coding translation,0,1,unspecified,unspecified,office,Medium,db_row_9580,"Translates code between programming languages... output: Output is computer code",NIH - tag missed
10021,NASA,Using MML code generation to create new high-energy astrophysics science software,1,1,Custom LLM (planned),Internal,office,Medium,db_row_10021,"train an LLM on previous large code bases for high-energy astrophysics... A code assistant optimized for this type of software",NASA GSFC pre-deployment
9798,NASA,AIML for Code Review and Workforce Augmentation,1,0,Retired,N/A,office,Medium,db_row_9798,Retired,NASA WSTF - retired
9852,NASA,Code Assistant Pilot Study,0,1,unspecified,unspecified,office,Low,db_row_9852,"Use case name indicates code-assistant pilot study (problem statement: Link prediction is unrelated/erroneous)",NASA GSFC - very thin narrative; pilot study
10047,NASA,IV&V Static Code & Implementation Analysis,0,1,Custom (VS plugin),unspecified,office,Medium,db_row_10047,"interaction via a plugin in Microsoft Visual Studio where the analyst can ask questions about code",NASA GSFC IV&V - tag missed
10053,NASA,XMM-GPT,0,1,Fine-tuned FLAN (Google),Google open source,office,Medium,db_row_10053,"Code Assistance, Explanations/Summarizations of XMM relevant information",NASA GSFC astrophysics-domain code assistant
10087,NSF,AWS Assisted Software Development (DIS AI Assisted Development),1,1,Amazon CodeWhisperer / Q Developer / Bedrock,AWS,bureau,High,db_row_10087,"AWS CodeWhisperer, Amazon Q and Bedrock... elevate developer productivity and refine code quality",NSF OCIO pre-deployment pilot
10120,SBA,Amazon Q in Connect,0,0,Amazon Q in Connect,AWS,office,High,db_row_10120,"GenAI customer service assistant for Real-time transcription & recommendations",Excluded - Q in Connect is contact-center agent assist not developer tool
10135,SBA,Employee Work Prioritization AI Agent,0,1,Google Gemini,Google,bureau,Medium,db_row_10135,"text generation, code generation, machine translation, question answering",SBA - listed code generation as capability of general assistant
10140,SBA,Developer Code Assistant AI (Amazon Q),1,1,Amazon Q Developer,AWS,bureau,High,db_row_10140,"Generative AI-powered coding assistant for building, operating, and transforming software",SBA OCIO pre-deployment
10141,SBA,Developer Code Assistant AI (GitHub Copilot),1,1,GitHub Copilot,Microsoft/GitHub,bureau,High,db_row_10141,"AI-powered pair programmer that provides context-aware code suggestions and completions",SBA OCIO pre-deployment
10146,SBA,Multi-Agent Orchestration,0,1,Amazon Bedrock (FedRAMP),AWS,bureau,Medium,db_row_10146,"Code Refactoring — analyzes legacy ColdFusion/COBOL code... test case generation",SBA legacy modernization
10184,SEC,Semantic Layer Natural Language Query,0,0,unspecified,unspecified,office,Medium,db_row_10184,"enables users to query data with AI without having to write code... outputs data, SQL code",SEC DERA - analyst NL-to-SQL tool not developer tool. Excluded.
10209,SSA,Intelligent Medical Language Analysis Generation (IMAGEN),0,0,IMAGEN,unspecified,bureau,High,db_row_10209,Medical record annotation including SSA Medical Listing Codes,Excluded - medical-listing autocoder
10228,SSA,Intelligent generation of modernized code,0,1,AveriSource Platform,AveriSource,bureau,High,db_row_10228,"AI techniques such as cluster analysis, pattern matching, templates, and programming language models to generate modernized code",SSA - tag missed
10231,SSA,Coding Assistance,1,1,Windsurf,Windsurf (Codeium),bureau,High,db_row_10231,Direct product name; pre-deployment,SSA OCIO
10232,SSA,Mainframe code modernization assistant,1,1,IBM watsonx Code Assistant + Broadcom Code for Z,IBM/Broadcom,bureau,High,db_row_10232,"Increase developer efficiency through faster coding",SSA OCIO mainframe modernization
10251,State,CodeGen - AI-assisted IT Application Development,0,1,unspecified,unspecified,bureau,Medium,db_row_10251,"AI-assisted IT Application Development",State CA bureau - retired entry but flagged historically
10283,State,Databricks Code Assistant,0,1,Databricks Assistant / Genie Code,Databricks,office,Medium,db_row_10283,"output: A data usage report",State MGT - product name in title
10330,TVA,Github Copilot,1,1,GitHub Copilot,Microsoft/GitHub,bureau,Medium,db_row_10330,Direct product name,TVA IT
10373,Treasury,Software Code Generation,1,1,unspecified,unspecified,bureau,Medium,db_row_10373,"AI is intended to assist by generating code snippets, templates, and initial documentation drafts",Treasury OCC pilot
10391,Treasury,GenAI for Data Platform Operations,1,1,unspecified,unspecified,bureau,Medium,db_row_10391,"Helps developers build applications by providing scalable access to large language models for tasks such as natural language processing, code generation",Treasury TCSC pre-deployment
10395,Treasury,Large Language Model (LLM) Chatbot for Proof of Concept,0,1,unspecified,unspecified,office,Medium,db_row_10395,"Code Assistance - Generating, debugging, and documenting code",Treasury BFS - tag missed
10396,Treasury,Large Language Model (LLM) Coding for Proof of Concept,0,1,unspecified,unspecified,office,Low,db_row_10396,Use case name says coding; problem statement actually contradicts (FAQ handling),Treasury BFS - mixed/poorly described
10399,Treasury,FRB AI Code Translation POC,0,1,unspecified,unspecified,office,Medium,db_row_10399,"Code Assistance - Generating, debugging, and documenting code; Remediation of Legacy code",Treasury BFS - tag missed
10444,Treasury,Modular Code Assistant (Explain & Refactor Small Methods),0,1,unspecified,unspecified,office,Medium,db_row_10444,"Assist test automation team by explaining or suggesting improvements to individual Java methods",Treasury IRS - tag missed
10449,Treasury,Modernization Accelerator - Legacy Applications Chatbot & Code Conversion,0,1,unspecified,unspecified,office,Low,db_row_10449,Use case name indicates legacy code modernization,Treasury IRS - thin narrative but title clear
10472,Treasury,AI-Augmented Software Modernization and Insight,0,1,unspecified,unspecified,office,Medium,db_row_10472,"complex Java/Spring Boot applications... Suggested code refactorings and dependency upgrades",Treasury IRS - tag missed
10742,VA,Ansible Lightspeed,0,1,Red Hat Ansible Lightspeed (with watsonx Code Assistant),Red Hat / IBM,office,Medium,db_row_10742,"helps create automations faster... output: Automation playbooks",VA OIT pre-deployment
10743,VA,VetsEZ Middleware Development,0,1,unspecified,unspecified,office,Medium,db_row_10743,"AI System Outputs: Code Explanations & Documentation - Plain-language summaries of complex legacy code (e.g., MUMPS)",VA OIT - HDM middleware modernization
10777,VA,Internal QMS Processes Revamp,1,0,N/A,N/A,office,Medium,db_row_10777,Use case is QMS document classification and restructuring not coding,VA VHA - currently mistagged. Excluded.
10791,VA,Patient Care Services Integration Platform (PCSIP),0,0,N/A,N/A,office,High,db_row_10791,Patient flow optimization model,Excluded - clinical/patient-flow not coding
11008,VA,BlackBox Code research,0,0,N/A,N/A,office,Low,db_row_11008,No narrative; use case retired,Excluded - no narrative
396,CSOSA,Generating code using AI (consolidated),NA,1,Microsoft 365 Copilot,Microsoft,enterprise_wide,Medium,db_consolidated_396,"Microsoft M365 Copilot AI; Y; 1001-5000 users",CSOSA template entry - M365 Copilot for code likely limited deployment of the M365 'code' capability
411,DOL,Generating code using AI (consolidated),NA,0,N/A,N/A,office,Medium,db_consolidated_411,blank,DOL did not check Y; no commercial product listed
430,EAC,Generating code using AI (consolidated),NA,1,ChatGPT/Claude/Copilot/Perplexity,Multi,office,Low,db_consolidated_430,"ChatGPT, Claude, Copilot, Perplexity; Y; 1-100",EAC small agency - generic LLM access listing
450,FCC,Generating code using AI (consolidated),NA,1,Multi (M365 Copilot + Amazon Q Developer + Azure OpenAI),Microsoft/AWS,enterprise_wide,Medium,db_consolidated_450,"Microsoft Copilot, AWS Q Developer, Microsoft Azure Open AI; Y; 101-1000",FCC has Amazon Q Developer + Azure OpenAI for code
470,FDIC,Generating code using AI (consolidated),NA,1,GitHub Copilot + Appian,Microsoft/GitHub + Appian,enterprise_wide,Medium,db_consolidated_470,"GitHub Copilot, Appian; Y; 101-1000",FDIC has GitHub Copilot enterprise but no individual entry
490,HUD,Generating code using AI (consolidated),NA,0,N/A,N/A,office,Medium,db_consolidated_490,"agency_uses=N",HUD did not check Y
503,NLRB,Generating code using AI (consolidated),NA,1,GitHub Copilot,Microsoft/GitHub,office,Low,db_consolidated_503,"GitHub CoPilot; 1-100",NLRB small agency
517,OSC,Generating code using AI (consolidated),NA,0,N/A,N/A,office,Medium,db_consolidated_517,"agency_uses=N",OSC did not check Y
537,PBGC,Generating code using AI (consolidated),NA,0,N/A,N/A,office,Medium,db_consolidated_537,"agency_uses=N",PBGC did not check Y
553,USITC,Generating code using AI (consolidated),NA,1,Microsoft 365 Copilot,Microsoft,office,Low,db_consolidated_553,"M365 Copilot; Y; 1-100",USITC - very small footprint via M365
568,USTDA,Generating code using AI (consolidated),NA,0,N/A,N/A,office,Medium,db_consolidated_568,"agency_uses=N",USTDA did not check Y
9096,FRTIB,Microsoft CoPilot,0,0,Microsoft 365 Copilot,Microsoft,enterprise_wide,Medium,db_row_9096,"Provide GenAI assistance on agency business activities; output: General agency operation business",FRTIB - M365 Copilot for general business; no code-specific narrative. Excluded.
9627,HUD,Microsoft Copilot,0,0,Microsoft 365 Copilot,Microsoft,enterprise_wide,Medium,db_row_9627,"office productivity tools and capabilities... draft documents, create summaries, generate data insights",HUD - M365 Copilot for office productivity; no code mention. Excluded.
10109,OPM,Microsoft Copilot,0,0,Microsoft 365 Copilot,Microsoft,enterprise_wide,Medium,db_row_10109,"LLM used across OPM for summarization, drafting, and decision support",OPM - M365 Copilot general; no code mention. Excluded.
10571,USDA,Axon+ Copilot Studio Chatbot,0,0,Microsoft Copilot Studio,Microsoft,bureau,Medium,db_row_10571,Internal RAG chatbot,USDA REE - chatbot not coding tool. Excluded.
8043,DOE,Microsoft CoPilot (NE INL),0,1,Microsoft 365 Copilot,Microsoft,bureau,Medium,db_row_8043,"functional programming code... time-consuming knowledge work by instantly providing expert-level assistance with writing, coding, research",INL - M365 Copilot includes code use
8072,DOE,ChatGPT (NE INL),0,1,ChatGPT Enterprise,OpenAI,bureau,Medium,db_row_8072,"functional programming code",INL - ChatGPT general but explicitly cited code use
8127,DOE,Scripting (LM HQ),0,1,Google Gemini,Google,office,Medium,db_row_8127,"Python code for use in models",DOE Office of Legacy Management
8150,DOE,Anthropic Claude (NE INL),0,1,Claude Enterprise,Anthropic,bureau,Medium,db_row_8150,"functional programming code",INL - Claude
9316,HHS,AIP Assist,0,0,Palantir AIP,Palantir,bureau,Medium,db_row_9316,"guide users in developing their own applications by supporting users to write their own [...]",CDC Palantir AIP support tool - borderline. Excluded as platform-help bot rather than coding assistant.
8027,DOE,EnerGPT Canvas,0,0,Custom (Accenture/Google),Accenture/Google,bureau,Low,db_row_8027,"output: New content, edits to existing content, code, etc.",DOE IM-50 - general content tool that can produce code; main purpose drafting. Excluded as not primarily coding.
7917,DOE,Copilot Studio (ORNL),0,0,Microsoft Copilot Studio,Microsoft,bureau,Low,db_row_7917,"Customization, Low-Code Development, GPT-Based Capabilities",ORNL - Copilot Studio is low-code citizen-developer tool not pro coding assistant. Excluded.
