fedramp_id,csp,cso,category,confidence,reasoning,status,impact_level,ato_count,candidate_inventory_products,decision_canonical_name,decision_notes
F1607057910,New Relic,New Relic,ai_featured,medium,"New Relic is an observability platform whose core job is telemetry monitoring, but it materially ships ML-based anomaly detection and 'intelligent observability' (applied intelligence/AIOps) that automatically surfaces issues across logs, metrics, and traces.",FedRAMP Authorized,Moderate,8,,,
FR2031936863,Armis Federal LLC,Armis FedRAMP Edition (AFE),ai_featured,medium,"Armis FedRAMP Edition is a device-security platform whose Risk Engine analyzes device behavior against historical and peer baselines to detect behavioral anomalies and threats, an ML-style anomaly-detection capability within a security product.",FedRAMP Authorized,Moderate,7,,,
FR2009476860A,Casepoint LLC,Casepoint Government,ai_featured,high,"Casepoint Government is an e-discovery/data-discovery platform with built-in artificial intelligence and analytics, including predictive analysis tools for legal review and investigations.",FedRAMP Authorized,High,7,,,
F1506246782,Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),ai_featured,medium,"Complete Discovery Source is an eDiscovery hosting and managed-services provider supporting Relativity. Its core is litigation hosting, but it advertises advanced analytics over discovery data; eDiscovery platforms like Relativity center predictive-coding/technology-assisted-review ML.",FedRAMP Authorized,Moderate,7,Microsoft Discovery (0.50),,
F1506096710,Skyhigh Security,Skyhigh Security Service Edge (SSE) Government Cloud Services (Cloud Access Security Broker (CASB) & Secure Web Gateway (SWG) for Cloud),ai_featured,high,"Skyhigh SSE is a security service edge (CASB/SWG/DLP) platform whose core job is data and web security, but it ships material ML: machine-learning threat detection, AI-driven DLP classifiers, and UEBA behavioral analytics.",FedRAMP Authorized,High,7,Amazon Web Services (0.50); Lasso Security (0.50); Microsoft Copilot for Security (0.50); Microsoft Edge (0.50),,
F1206111371,"CoSo Cloud, LLC.",Knox Systems,ai_featured,high,"Knox Systems is a managed multi-cloud hosting platform, but its authorized boundary bundles several genuinely AI-centric applications: Kovr.AI (LLM-based compliance automation), Procurement Sciences' generative/agentic AI proposal platform, BigID's machine-learning data classification, Resilinc's AI-driven supply chain workflows, and Presage's video-based physiological analysis.",FedRAMP Authorized,Moderate,6,,,
FR2135730387,IBM,IBM Federal HR Cloud,ai_featured,medium,IBM Federal HR Cloud is a human-capital-management suite that explicitly includes intelligent automation and cognitive (Watson-based) decision support for HR processes — AI features inside a broader HR platform.,FedRAMP Authorized,Moderate,5,IBM ARGOS (0.50); IBM CoreDF (0.50); IBM Watson (0.50),,
FR2128462521,"Juvare, LLC",Juvare Federal Cloud,ai_featured,high,"Juvare's Unified Command Platform is an emergency-management and operations platform that ships JAI, an explicit suite of AI-assisted capabilities for search, summarization, data visualization, and agentic task automation within the product.",FedRAMP Authorized,High,5,,,
FR2020767053,Level Access,Accessibility Management Platform (AMP),ai_featured,low,"Level Access AMP is a digital-accessibility (Section 508) management platform with an automated accessibility test engine and 'intelligent reporting.' Automated accessibility scanning is rules-based and no specific ML model is named, so the AI signal is weak.",FedRAMP Authorized,Li-SaaS,5,Federal Docket Management System (0.50),,
F1311222650,MIS Sciences Corporation,GovPoint Cloud Services,ai_featured,low,"GovPoint is a cloud-services marketplace (IaaS/PaaS plus bundled ISV SaaS). Its primary job is hosting, but bundled offerings cite AI/ML: the GRID20/20 sensor analytics platform advertises AI/Machine Learning enhancements and Sayari provides risk intelligence analytics.",FedRAMP Authorized,Moderate,5,,,
FR1720461312,"Proofpoint, Inc.",Proofpoint Email and Information Protection Service,ai_featured,low,"Proofpoint Email and Information Protection is an email security gateway (threat, spam, virus, DLP). Modern Proofpoint detection uses ML, but this short description names only conventional detection categories, not an explicit AI feature.",FedRAMP Authorized,Moderate,5,,,
FR1821062403,"Saviynt, Inc.",Saviynt Enterprise Identity Cloud (EIC),ai_featured,low,"Identity governance and privileged access (IGA/PAM) platform. Saviynt ships ML-driven identity analytics (peer-group access analysis, risk-based certification recommendations) in EIC, but the description only gestures at advanced analytics, so this classification leans on product knowledge.",FedRAMP Authorized,Moderate,5,,,
FR2009746321,United Solutions,US AI,core_ai,high,"US AI is a platform built on an AI-powered data lake whose component apps (Forsight, Gini, Archangel, etc.) center on supervised/unsupervised machine learning for predictions in acquisition, grants, fraud, risk, and health. AI prediction is the platform's defining purpose.",FedRAMP Authorized,High,5,,,
FR2103344623,Workday Inc.,Workday Government Cloud (WGC),ai_featured,high,"Workday is an HR/finance ERP suite, not an AI product, but the Government Cloud explicitly includes a Machine Learning application alongside ML-driven modules such as People Analytics and Talent Optimization.",FedRAMP Authorized,Moderate,5,,,
FR1704369518,Accenture Federal Services,Accenture Insights Platform (AIP) For Government,ai_featured,medium,"Accenture Insights Platform is an advanced-analytics-as-a-service offering that bundles best-of-breed analytics/data-science tooling to turn big data into insight; it positions analytics and ML acceleration as core, though specific AI features are not itemized.",FedRAMP Authorized,High,4,Palantir AIP (1.00),,
F1506046708,"Avaya Federal Solutions, Inc.",Avaya Government Cloud,ai_featured,low,"Avaya Government Cloud is a UCaaS/CCaaS unified-communications and contact-center platform; its core job is telephony and collaboration, but the contact-center capabilities list AI, chatbots, and natural-language speech recognition among many features.",FedRAMP Authorized,Moderate,4,,,
FR2315535023,Cisco Systems Inc.,Cisco Meraki for Government,ai_featured,low,"Cloud-managed networking platform whose primary purpose is network deployment and management; Meraki cites 'network intelligence (AI)' and the platform includes ML-assisted features such as anomaly detection and RF/health analytics, but the description offers little detail on these capabilities.",FedRAMP Authorized,Moderate,4,Cisco (1.00); Cisco Identity Services Engine (0.50); Cisco Secure Network Analytics (0.50),,
F1308202329,Coupa Software Inc,Coupa Spend Management for Federal,ai_featured,medium,"Coupa Spend Management is a procurement/spend platform whose core job is sourcing and invoicing, but it cites AI, ML, and image recognition to reduce manual and paper-based processing of invoices and documents.",FedRAMP Authorized,Moderate,4,Amped Software (0.50); Federal Docket Management System (0.50),,
F1507317125,Decision Lens Inc.,Decision Lens Software,ai_featured,low,Decision Lens is a prioritization and resource-optimization platform driven by analytics; its core job is decision support. It cites sophisticated analytics to identify best-outcome investments but names no explicit ML/AI technique.,FedRAMP Authorized,Moderate,4,Amped Software (0.50); Google Lens (0.50),,
FR1831429369,HireVue,Recruitment Assessments and Video Interviewing,ai_featured,high,"Video interviewing and hiring-assessment platform whose candidate assessments are scored using artificial intelligence combined with predictive industrial-organizational science - a material, well-documented AI capability inside a broader recruiting workflow.",FedRAMP Authorized,Moderate,4,Pearson Q-interactive (0.50),,
FR1802451335,"Human Resources Technologies, Inc. (HRTec)",Federal High Impact Virtualized Environment (FedHIVE),ai_featured,medium,"FedHIVE is primarily an IaaS/PaaS/SaaS FedRAMP High hosting accelerator, but within its boundary it hosts AI-featured applications including Tungsten TotalAgility (AI-powered intelligent document processing) and Allocore platforms with AI-driven fraud detection.",FedRAMP Authorized,High,4,,,
F1303191948,MAXIMUS Inc.,MAXIMUS Cloud,ai_featured,high,"Maximus Cloud is a broad managed-cloud portfolio whose main job is contact-center/IaaS hosting, but it ships material AI: SuccessKPI uses AI/ML speech recognition and NLU for conversation analytics, IDP uses Amazon Bedrock with Claude for document classification, and it bundles AI-driven chatbots and agentic platforms (Kore.ai, OneReach).",FedRAMP Authorized,Moderate,4,,,
FR2105946715,"Netskope, Inc.",Netskope NewEdge Government.,ai_featured,high,"Netskope NewEdge is a Security Service Edge platform whose main job is zero-trust network security, with material AI features: AI/ML classifiers for DLP on text and images, AI-driven threat protection with UEBA, and discovery/control of GenAI application usage.",FedRAMP Authorized,High,4,,,
FR2100059668,OnSolve LLC,OnSolve Platform for Critical Event Management,ai_featured,high,"OnSolve Platform for Critical Event Management uses AI-powered risk intelligence to filter massive event-data volumes, identify crises, and automate threat detection, a material AI feature within an emergency-management product.",FedRAMP Authorized,Moderate,4,Critical Mention (0.50); Federal Docket Management System (0.50),,
FR1819168894,"Proofpoint, Inc.",Proofpoint Targeted Attack Protection,ai_featured,medium,"Email security product whose detection of new, never-before-seen attacks relies on Proofpoint's machine-learning threat-detection stack (NexusAI). The description implies but does not explicitly name the ML capability, so confidence is moderated.",FedRAMP Authorized,Moderate,4,,,
FR2125653037,Qlik Technologies Inc.,Qlik Cloud Government,ai_featured,low,"Qlik Cloud is a business-intelligence/analytics platform whose commercial product ships Insight Advisor, an AI-assisted engine for natural-language queries and automated insight generation. The government-cloud description does not name any AI feature, so confidence is low.",FedRAMP Authorized,Moderate,4,,,
FR2234256499,Rubrik,Rubrik Security Cloud - Government (RSC-G),ai_featured,high,"Rubrik Security Cloud is a data security/backup platform whose core is cyber resilience, but it materially uses machine learning engines to identify sensitive data exposure and detect anomalous activity.",FedRAMP Authorized,Moderate,4,Lasso Security (0.50); Microsoft Copilot for Security (0.50),,
FR2000945223,Software AG Government Solutions,ARIS Government Cloud,ai_featured,low,"ARIS is a business-process-management and enterprise-architecture platform. It cites process mining with real-time analytics for data-informed decisions, which can include ML-based process discovery, but no specific AI model or feature is named, so confidence is low.",FedRAMP Authorized,Moderate,4,Amped Software (0.50),,
FR1935245314A,Trellix,Trellix GovCloud Security Platform,ai_featured,high,"Security operations platform whose detection explicitly uses machine learning, artificial intelligence, and behavioral analysis, including the ML Protect machine-learning cloud and AI-augmented Trellix Insights threat intelligence. Security is the primary job; ML/AI powers detection.",FedRAMP Authorized,High,4,Lasso Security (0.50); Microsoft Copilot for Security (0.50),,
FR2421252636,Varonis,Varonis Data Security Platform,ai_featured,high,"Data security platform whose main job is data access governance and DLP, shipping material AI: machine-learning behavior-based threat detection and user and entity behavior analytics (UEBA) for anomaly detection, plus automated sensitive-data classification.",FedRAMP Authorized,Moderate,4,Aretec EDP (0.50); Democratizing Data (0.50); Lasso Security (0.50); Microsoft Copilot for Security (0.50),,
FR1731347234,Zimperium,Zimperium Mobile Endpoint Cyber Security,ai_featured,high,Zimperium Mobile Endpoint Cyber Security is a mobile threat defense product whose on-device detection engine uses machine learning to detect anomalies and identify malicious attacks.,FedRAMP Authorized,Moderate,4,Lasso Security (0.50); Microsoft Copilot for Security (0.50),,
FR1722160191,CORAS,CORAS Federal,core_ai,high,"CORAS is described as an agentic-AI decision intelligence platform centered on Gary, an LLM-powered orchestrator that activates purpose-built AI agents to turn plain-English questions into action, automate workflows, and generate documents. AI is the product's primary purpose.",FedRAMP Authorized,High,3,,,
FR2304757473,Cisco Systems Inc.,Cisco Security Cloud for Government,ai_featured,high,"Cisco Security Cloud for Government is a multi-product cloud security suite; its core is network/email/cloud security, and it materially incorporates AI throughout: Talos+AI adaptive threat detection in Secure Access, AIOps anomaly detection in firewall management, and AI-powered email threat detection.",FedRAMP Authorized,Moderate,3,Cisco (1.00); Cisco Identity Services Engine (0.50); Cisco Secure Network Analytics (0.50); Lasso Security (0.50); Microsoft Copilot for Security (0.50),,
FR2128562231,Collabware,Collabspace,ai_featured,medium,Collabspace is a records and information management platform that applies OCR and audio/video transcription — machine-learning capabilities — to categorize and analyze records for retention and FOIA processing.,FedRAMP Authorized,Moderate,3,,,
FR1814557199,"DNAnexus, Inc.",DNAnexus Platform,ai_featured,low,"The DNAnexus Platform is a cloud genomics analysis and data-management PaaS for high-throughput molecular data, precision medicine, and drug discovery; it enables bioinformatics/ML pipelines on the data, though no specific AI feature is named.",FedRAMP Authorized,Moderate,3,,,
FR1827963145,"Exterro, Inc.",Exterro E-Discovery and Legal Software Platform,ai_featured,high,"E-discovery and legal/FOIA platform with a named AI layer, Exterro Intelligence, used for early case assessment and reducing document review volumes - AI-assisted review inside a broader legal data platform.",FedRAMP Authorized,Moderate,3,Amped Software (0.50); Microsoft Discovery (0.50),,
FR1800263217,"Innovative Discovery, LLC",Innovative Driven Government Cloud (IDGC),ai_featured,medium,"Innovative Driven Government Cloud is an eDiscovery platform built on Relativity and Nuix; it provides advanced analytics and assisted review (technology-assisted review / predictive coding), which apply ML to document review.",FedRAMP Authorized,Moderate,3,Microsoft Discovery (0.50),,
FR2104636677,"Ipsos America, Inc.",Ipsos Research,ai_featured,high,"Ipsos Research is a survey research platform whose analytics layer uses LLMs (via AWS Bedrock) to classify open-ended responses, extract insights, flag PII, and generate summaries. Survey data collection remains the primary function, with AI as a material analysis feature.",FedRAMP Authorized,Moderate,3,,,
FR1728351539,MAXIMUS Inc.,Maximus Intelligent Virtual Assistant (MIVA) (formerly MIA),core_ai,high,"Maximus Intelligent Virtual Assistant (MIVA) is an AI-powered conversational virtual assistant that replaces IVRs, using artificial intelligence to interact conversationally with callers via voice, email, and text. AI is its primary purpose.",FedRAMP Authorized,Moderate,3,Benefits Manager Virtual Assistant (0.50); Everlaw AI Assistant (0.50); NIH Grants Virtual Assistant (0.50),,
F1603077867,SMX (Formerly Smartronix),Elevate Intelligent Automation Platform (IAP),ai_featured,medium,"SMX Elevate is a FedRAMP automation/hosting PaaS; its core job is secure cloud provisioning and compliance, but it ships material AI accelerators: an Elevate AI secure generative-AI offering and the embedded C3 AI/Generative AI (LLM-based) platform.",FedRAMP Authorized,Moderate,3,INL Intelligent Automation (0.67),,
FR2001938710A,"SailPoint Technologies, Inc.",SailPoint Identity Security Cloud,ai_featured,medium,"SailPoint Identity Security Cloud is an identity governance suite that explicitly includes AI-driven identity offerings, which apply ML to access recommendations and anomaly detection within an identity-governance product.",FedRAMP Authorized,Moderate,3,Lasso Security (0.50); Microsoft Copilot for Security (0.50),,
FR1809360201,Snowflake Inc.,The Data Cloud on AWS US East/West,ai_featured,medium,"Snowflake is a cloud data platform/warehouse; this base description centers on data warehousing and sharing, but Snowflake materially provides built-in ML/AI services (Cortex/Snowpark ML) for in-platform model development. Specific AI features are not named here.",FedRAMP Authorized,Moderate,3,Amazon Q (1.00); Snowflake Cortex (1.00); AWS Bedrock (0.50); AWS Kendra (0.50); AWS Lex (0.50),,
FR1918740338,Sumo Logic,Sumo Logic,ai_featured,high,Log analytics and cloud SIEM whose threat detection explicitly uses machine learning - ML-predicted true-positive Global Confidence scores for alert triage - a concrete AI capability inside a broader observability and security platform.,FedRAMP Authorized,Moderate,3,,,
FR1730842236,"T-Metrics, Inc.",T-Metrics Cloud Contact Center (TCCC),ai_featured,high,"T-Metrics Cloud Contact Center is a CCaaS platform that ships AI capabilities including sentiment analysis, natural language speech recognition, and voicebots/chatbots.",FedRAMP Authorized,Moderate,3,FRTIB Contact Center AI (0.67),,
FR2403936773,Telos Corporation,Xacta SaaS,ai_featured,high,"Cyber GRC automation platform whose primary purpose is compliance assessment and continuous monitoring; it ships Xacta.ai, an explicit artificial-intelligence capability that can be customized with organizational data to accelerate risk and compliance decisions.",FedRAMP Authorized,High,3,,,
FR2421252644,Varonis,Varonis DatAdvantage Cloud,ai_featured,high,"Cloud data security platform (DSPM/SSPM) whose main job is data access governance, with material ML-based capability: user and entity behavior analytics that flags anomalous behavior at the file/object level and automated sensitive-data classification.",FedRAMP Authorized,Moderate,3,,,
FR1832869359,Adobe,Adobe Analytics,ai_featured,high,Web and customer analytics platform that ships AI-powered predictive models (Adobe Sensei capabilities such as anomaly detection and propensity scoring) as a built-in feature of a broader analytics product.,FedRAMP Authorized,Li-SaaS,2,Adobe (1.00); APT Analytics (0.50); Adobe Creative Cloud Suite (0.50); Adobe Firefly (0.50); Adobe Photoshop (0.50),,
FR1832870021,Adobe,Adobe Learning Manager,ai_featured,high,"Learning management system with AI-powered personalized learning recommendations driven by profile, skill-group, and peer data - a material ML feature within a broader LMS.",FedRAMP Authorized,Li-SaaS,2,Adobe (1.00); Adobe Creative Cloud Suite (0.50); Adobe Firefly (0.50); Adobe Photoshop (0.50); Adobe Sensei (0.50),,
FR1708752710,"Armedia, LLC",Armedia Content Cloud,ai_featured,high,"Armedia Content Cloud is a content/case-management platform that bundles Ephesoft Transact for Intelligent Document Processing and Intelligent Document Capture, which use OCR/ML to classify and extract data from documents.",FedRAMP Authorized,Moderate,2,,,
FR1916254386,Boomi,Boomi Enterprise Platform,ai_featured,high,Integration platform (iPaaS) whose authorization explicitly covers Boomi AI Agents - AI-powered developer accelerators that autonomously design integrations and generate documentation - material AI inside a broader integration product.,FedRAMP Authorized,Moderate,2,,,
FR1823368486,Cisco AppDynamics,AppDynamics GovAPM,ai_featured,medium,Application performance monitoring whose automatic anomaly identification is powered by AppDynamics' ML-based baselining (Cognition Engine). AI augments a broader observability product; the description describes the capability without naming ML explicitly.,FedRAMP Authorized,Moderate,2,Cisco (1.00); Cisco Identity Services Engine (0.50); Cisco Secure Network Analytics (0.50),,
F1605107897,Cisco Systems Inc.,Cisco Cloudlock for Government,ai_featured,high,"Cisco Cloudlock is a CASB whose core job is cloud security and DLP, but it ships material ML: advanced machine-learning algorithms for UEBA anomaly detection across cloud platforms.",FedRAMP Authorized,Moderate,2,Cisco (1.00); Cisco Identity Services Engine (0.50); Cisco Secure Network Analytics (0.50),,
FR2410060106,"DTEX Systems, Inc.",DTEX InTERCEPT for Government,ai_featured,high,"Insider-risk platform whose main job is DLP/user activity monitoring, with material AI: it applies data science and AI models over behavioral telemetry for UEBA-based early-warning detection of insider threats.",FedRAMP Authorized,Moderate,2,,,
FR2118743892,Digital.ai,Digital.ai Government Cloud,ai_featured,medium,"Digital.ai positions its DevOps platform around AI-driven predictive analytics across the software lifecycle. Only the Agility module is FedRAMP authorized, and the description names the AI capability at a high level, so confidence is moderate.",FedRAMP Authorized,Moderate,2,,,
FR2016962740,Eightfold AI Inc.,Eightfold Talent Intelligence Platform (TIP),core_ai,high,"Eightfold Talent Intelligence Platform is an AI-first HR product that uses advanced AI to match, recruit, and develop talent across the lifecycle; AI matching is its core function.",FedRAMP Authorized,Moderate,2,ARC Travel Intelligence (0.50); Apple Intelligence (0.50); Asana (0.50); Lexical Intelligence (0.50),,
FR2324055183,Govini,Ark.ai,core_ai,medium,"Govini's Ark.ai is positioned as an AI-powered decision-science platform that applies machine learning and NLP to defense acquisition and national-security supply-chain data. The FedRAMP description is thin and does not detail the AI capability, so this relies on product knowledge.",FedRAMP Authorized,High,2,,,
FR2504062150,IBM,IBM Federal ATOM,core_ai,high,"IBM Federal ATOM is an AI and automation shared-services platform: its core offering is intelligent document processing, NLP, machine learning, fraud detection, and generative-AI assistants and autonomous agents for federal business processes. AI is the platform's primary purpose.",FedRAMP Authorized,High,2,IBM ARGOS (0.50); IBM CoreDF (0.50); IBM Watson (0.50),,
FR2102758152,Juniper Networks,Juniper Mist,ai_featured,high,"Juniper Mist is a network-operations platform whose differentiating features are AI-driven: Mist AI performs automated event correlation, root-cause identification, and anomaly detection, and Marvis is a natural-language virtual network assistant. The product's job is network management, with ML as the engine.",FedRAMP Authorized,Moderate,2,Vectra AI (0.50),,
FR1931476240,Rescale,Rescale Platform,ai_featured,high,"High-performance computing platform for engineering simulation that explicitly integrates applied AI and generative capabilities into modeling and R&D workflows, supports AI/ML workloads on GPUs, and uses intelligent workload-to-hardware matching. AI materially augments a compute-orchestration product.",FedRAMP Authorized,Moderate,2,,,
FR2214346691,"Secunetics, Inc.",Gobo Framework (Gobo),core_ai,high,"Gobo is an AI-enabled cognitive automation platform built around agentic apps, AI chat grounded on enterprise knowledge, and AI agents for automating workflows. AI is the central purpose of the product.",FedRAMP Authorized,Moderate,2,,,
FR2023601671,eGain Corporation,eGain Suite,ai_featured,high,"eGain Suite is a customer-engagement/contact-center suite that materially ships AI: a Knowledge+AI engine, SelfService+AI, and a virtual assistant/chatbot answering customer queries.",FedRAMP Authorized,Moderate,2,,,
FR2532557612,A-LIGN,A-SCEND,ai_featured,high,"Audit management platform whose main job is evidence collection and review for compliance assessments, with material AI features including AI-assisted evidence validation for FedRAMP 20x.",FedRAMP Authorized,Low,1,,,
FR2425960757,Abnormal AI,Abnormal AI for Government,core_ai,medium,"AI-native email security: the entire detection engine is autonomous behavioral AI models that baseline employee and vendor behavior to stop novel attacks, with AI also automating triage, remediation, and inbox decluttering. AI is the product rather than an add-on feature, though one could argue the mission category is email security.",FedRAMP Authorized,Moderate,1,,,
FR2112348346,Acalvio Technology,ShadowPlex Platform,ai_featured,low,"ShadowPlex is a cyber-deception platform whose primary job is threat detection via decoys; Acalvio markets ML-driven automation for deception placement and recommendation (its 'autonomous' deception engine). The FedRAMP description itself names no specific AI feature, so confidence is low.",FedRAMP Ready,Moderate,1,OnCue Trial Presentation (0.50),,
