agency,use_case_name,bureau_component,stage_normalized,tool_product_name,system_name,vendor_name,development_type,problem_statement,expected_benefits,system_outputs
DOC,GitHub CoPilot,NOAA,unknown,GitHub Copilot,,,,,,
DOC,GitHub Copilot for Code Modernization,BEA,unknown,GitHub Copilot,,,,,,
DOC,Scientific Code Development Assistance,NOAA,unknown,,,,,,,
DOC,Statistical package syntax development and debugging,Census,unknown,,,,,,,
DOC,Streamlining Fisheries DevSecOps with Gemini Code Assist,NOAA,unknown,Gemini,,,,,,
DOE,AI Enabled Code Review,ORNL - Oak Ridge National Laboratory (SC43 OIM),pre_deployment,unspecified,,,,Enhance application development lifecycle capabilities,Expidited code production,Code
DOE,GitHub Co-Pilot,RL - Hanford - Richland Operations Office - Hanford (EM),deployed,GitHub Copilot,Hanford Accreditation Boundary (HAB),GitHub,Purchased from a vendor,"quicker, more complete, and safer code development","quicker, more complete, and safer code development","text answers to input questions, code suggestions"
DOE,GitHub Copilot,SLAC - SLAC National Accelerator Laboratory (SC43 OIM),pilot,GitHub Copilot,GitHub Enterprise,Microsoft,Purchased from a vendor,Enhancement of developer productivity,Cost savings and efficiency,Recommendations for code
DOE,GitHub Copilot,WAPA - Western Area Power Administration (PMA),deployed,GitHub Copilot,Github Copilot,Microsoft,Purchased from a vendor,Improve the quality and speed of code development.,"Speed the delivery of code development, edits and troublshooting.","Provides developers with possible code recommendations in appropriate format, identify code errors and suggestions to fix poor performing code."
DOE,GitHub Copilot with the OpenAI Codex,PNNL - Pacific Northwest National Laboratory (SC43 OIM),deployed,GitHub Copilot,R&D User,OpenAI,Developed with both contracting and in-house resources,Accelerate coding tasks with AI-assisted code suggestions and automation.,"This increases their productivity, allows them to focus more on innovation and research, and accelerates the development of high-quality software solutions for scientific research.","This increases their productivity, allows them to focus more on innovation and research, and accelerates the development of high-quality software solutions for scientific research."
DOE,Scripting,LM HQ - Office of Legacy Management (LM),deployed,Gemini,LMGSS,Google Gemini,Purchased from a vendor,"AI-powered scripting will improve automation, speed, and efficiency.",Reduced cost in alteration of ground water models improving ground water outcomes.,Python code for use in models
DOE,Software Implementation Assistant,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),pre_deployment,Tabnine,,Purchased from a Vendor - Tabnine,Developed in house,"This AI solution is designed to streamline the process of software implementation by automating crucial planning tasks, technical documentation, and risk assessments, which typically demand significant time and effort. The solution aims to support ju","The AI solution is expected to enhance the agency's mission by reducing the time, effort, and complexity involved in software implementation efforts, leading to significant cost savings. It will improve project planning, standardize technical documentation, aid junior resources, and allow subject matter experts to focus on critical tasks, ultimately improving project outcomes and resource utilization for the public's benefit.","The AI system outputs detailed project plans, organized tasks, technical documents, use cases, test scripts, and risk assessments specific to the software implementation project and application."
DOE,Tabnine AI Pair Programmer,KCNSC - Kansas City National Security Campus (KCFO),pre_deployment,Microsoft Teams,Tabnine,Tabnine,Purchased from a vendor,"Accelerate and simplify software development across our entire site. There is no definite 'problem' being solved, just capitalizing on an opportunity to leverage industry investment in generative AI for software development","This use case will boost engineering velocity, code quality, and developer happiness by automating the coding workflow through AI tools customized to our teams.",Expediated quality software for Test Engineering
DOI,"Integration of AI, specifically CoPilot for GitHub,  for BTFA Software Development Life Cycle Process for DME and O&M applications.",BTFA,pilot,GitHub Copilot,,Microsoft,Purchased from a vendor,"Reductions in BTFA Application and Database Staff has lead to increase workload for remaining staff for DME and O&M activities of applications and servers. This code is considered sophisticated in nature, code resides in Azure App Workspace (Web/Function/Logic Apps) and standalone applications and servers.","Due to reduce staffing, BTFA needs to integrate AI for its DME and O&M of  applications and servers (database/application/web/etc) which has sophisticated code base.  AI has show promise in reducing staff hours for all phases of SDLC.",changes in source code after review by application/dba staff along with appropriate testing before going to production.
DOI,Use of artificial intelligence tools for optimization and documentation for computer codes [2024 INV#WO0000000109681],USGS,pilot,ChatGPT,,OpenAI,Developed with both contracting and in-house resources,computer codes are needed that implement earthquake rupture forecasts and ground-motion models. This project uses ChatGPT to suggest optimizations and documentation for computer codes.,time savings,"documentation, optimized code"
DOJ,AI-assisted Legacy Code Modernization,Department of Justice / CIV,pre_deployment,unspecified,,,,"This initiative uses AI-assisted code translation and refactoring tools to automatically convert legacy code into modern, secure languages (e.g., Java, Python) while flagging logic gaps and optimizing for cloud environments. Aligns with E.O. 14179’s innovation directive and M-25-21’s governance requirements.","(1) Modernized applications improve resilience, reduce security risk, and lower long-term IT O&M costs, directly supporting DOJ’s modernization and cybersecurity priorities. (2) Builds on DOJ CIO modernization roadmaps, Federal IT dashboards, and prior migration initiatives to cloud platforms.
(3) Reduction in legacy system maintenance costs, outages and performance loss; # of applications successfully migrated; cybersecurity vulnerabilities reduced.","Code Generation, Recommendations, Predictions: modernized code output, optimization recommendations, vulnerability predictions."
DOJ,Code Development,Department of Justice / Department wide,deployed,GitHub Copilot,Redacted for cybersecurity purposes.,"GitHub, Microsoft",a) Purchased from a vendor,More efficient writing and maintenance of code.,Improve developer productivity and streamline development lifecycle.,"Coding guidance and suggestions, with the tool providing real-time code completions based on comments and existing code."
DOT,USAi (multi-model large language models),OST,pilot,,,GSA,Purchased from a vendor,DOT needs access to multi-model environment that allows to experiment with and compare top AI models.,"It accelerates DOT modernization by providing a trusted, standards-aligned environment for tasks like document summarization and code generation while ensuring cross-agency collaboration and security.  This will also allow tech-savy users access to API for further automation.",
ED,Generative AI - Code Generation,Federal Student Aid,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When given written paragraphs as prompts, AI generates code snippets in a variety of programming languages. This capability allows users to quickly obtain relevant code tailored to their specific requirements.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Grants Management Policy Division,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When given written paragraphs as prompts, AI generates code snippets in a variety of programming languages. This capability allows users to quickly obtain relevant code tailored to their specific requirements.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Institute of Education Sciences,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"Assisting in the development of code used for data analysis, AI is given descriptions of desired functions and returns snippets of R code.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Institute of Education Sciences,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When prompted with SAS Syntax, AI will provide suggestions of code optimization opportunities.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of the Chief Data Officer,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"AI is used to train employees on the benefits of prompt engineering, by providing snippets of code, allowing users to compare the performance of the  generated code.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of the Chief Information Officer,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"AI is utilized to generate sample code snippets that assist users in understanding programming language syntax and addressing troubleshooting challenges by providing clear, contextually relevant examples",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office for Civil Rights,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,AI is used to create sample DAX code to assist in the creation of charts and tables for data analysis.,Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of the Deputy Secretary,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When prompted with descriptive paragraphs or specific queries, AI generates code snippets designed to assist with data analysis and data visualizations.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of Elementary and Secondary Education,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When prompted with descriptive paragraphs or specific queries, AI generates code snippets designed to assist with data analysis and troubleshooting in Power BI and Python. These snippets can include tasks such as creating data visualizations, performing data transformations, writing DAX expressions for Power BI, or debugging Python scripts.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of Finance and Operations,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"When prompted with descriptive paragraphs or specific queries, AI generates code snippets designed to assist with data analysis and data visualizations.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of Postsecondary Education,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"Using AI, the creation of Excel Macros and Complex Formulae is automated, expediting data analysis.",Textual answers to general purpose questions
ED,Generative AI - Code Generation,Office of Special Education and Rehabilitee Services,deployed,OpenAI API,,OpenAI & Google Distributed Cloud,b) Developed in-house,Ease the access to information and generate materials for Department staff,"AI is prompted to generate snippets of VBA code and complex formulas for Excel. These code snippets and formulas assist users in automating tasks, performing advanced data analysis, and enhancing spreadsheet functionality, saving time and improving efficiency.",Textual answers to general purpose questions
ED,MS Copilot - Technical Assistance & Code Generation,Agency Wide,deployed,Microsoft 365 Copilot,ETS-ISS,Microsoft,b) Developed in-house,Coding and technical support tasks are time-consuming for non-experts.,Generate and refine code for statistical and programming tasks to support technical operations.,"Generated code, syntax examples, and refined scripts for various platforms."
HHS,AI Code Assistance  WETG GitHub CoPilot Proof-of-Concept,HHS/CMS/OC,pilot,GitHub Copilot,,,a) Purchased from a vendor,Coding assistance,"Cost savings, improved efficiency and quality",Suggestions
HHS,AI DevOps - Improving Development and CI/CD Operations,HHS/AHRQ/CFACT,pre_deployment,Microsoft Teams,,Pingwind,,"Introducing AI to DevOps can identify and reduce errors, shorten release cycles, and empower development teams with data-driven insights, resulting in faster continuous integration and shorter development lifecycles.","Integrating AI into DevOps pipeline can boost efficiency, enhance code quality, and accelerate development cycle. AI code review uses artificial intelligence algorithms to analyze source code for potential issues. Initial integration of AI code review can assist in detecting bugs, security vulnerabilities, performance bottlenecks, and deviations from coding standards.","Integrating AI into DevOps pipeline can boost efficiency, enhance code quality, and accelerate development cycle. AI code review uses artificial intelligence algorithms to analyze source code for potential issues. Initial integration of AI code review can assist in detecting bugs, security vulnerabilities, performance bottlenecks, and deviations from coding standards."
HHS,AI Workspace,HHS/CMS/OIT,deployed,Microsoft Teams,CEDAR,Skyward Solutions,c) Developed with both contracting and in-house resources,"Hosted development env with access to AI tooling, including LLMs for use in early stage exploration.","AI Workspace provides a hosted development environment with access to AI tooling including LLMs, enabling CMS teams to conduct early-stage AI exploration and experimentation that can lead to innovative solutions","AI Workspace provides a hosted development environment that enables end users to create code, with the organizational impact being rapid exploration of AI ideas to validate technical feasibility, viability, and desirability of potential solutions."
HHS,AI-Generated Data Processing and Visualization Code Development,HHS/FDA/OCS,pre_deployment,Microsoft Teams,,,,"Manual coding for data processing and visualization creates barriers to AI adoption, requires specialized expertise not available across all teams, and limits agency ability to maximize value of existing data investments as directed by OMB M-25-21.","Accelerated development of data processing workflows, increased access to advanced analytics capabilities, reduced dependency on specialized programming skills, improved consistency in data visualization standards, and enhanced agency AI maturity through automated code generation capabilities.","AI assisted code generation for Excel macros and scripts, Power BI formulas and visualizations, data processing algorithms, automated dashboard templates, and reusable code libraries."
HHS,CCSQ Now Assist for Creator,HHS/CMS/CCSQ,deployed,ServiceNow Now Assist,Quality Service Center (QSC),,a) Purchased from a vendor,Improve efficiencies regarding development withing the CCSQ ServiceNow program.,Improve time to deliver customer value through improved efficiencies regarding development withing the CCSQ ServiceNow program.,Text to Code. Text to Flow. Flow Assist
HHS,CSB MCP AI,HHS/CDC,pre_deployment,,,,,Reduce required manhours and improve accuracy of reports on CSB infrastructure and by assisting infrastructure administrators with tasks and duties.,"Expected to generate reports for and answer questions posed by senior staff about CSB infrastructure, improving accuracy and freeing infrastructure administrators from these tasks. Assist infrastructure administrators with tasks and duties, improving accuracy and completion time.","Reports, infrastructure code generation, and task execution."
HHS,Code Conversion for PowerBI Migration,HHS/HRSA,pre_deployment,Tableau,,,,Generate code to support migration and conversion from Tableau to PowerBI to save license cost as well as migration labor costs,Save cost for development of the solution including eliminating contract labour costs,Code that is leveraged to migrate Tableau Reports/Dashboards into PowerBI
HHS,Coding translation,HHS/NIH,pre_deployment,unspecified,,,,"Translates code between programming languages, e.g. rewrite python script in equivalent R commands; translate natural language to code, e.g. write a python script that will convert this gene matrix to a transcript matrix etc.",Saves time in troubleshooting programming code or rewriting code in a different language,Output is computer code in designated programming language.
HHS,Notebooks Hub,HHS/NIH,deployed,OpenAI API,,"Axle Informatics, Microsoft, OpenAI",c) Developed with both contracting and in-house resources,"Helping scientists and researchers code their applications, dashboards, and data analyses more quickly, have higher code standards, and gain more insight from their data","More time can be spent on the subject matter exploration and understanding than on coding and analysis frameworks that help/support these goals. Current assessments indicate 40% speed increases to develop code and applications, with improvements increasing year-over-year","Python, R, Javascript, Java, etc. code"
HHS,Writing code using AI,HHS/NIH,deployed,Palantir AIP,NIH Integrated Data Analysis Platform,Palantir Technologies deployed application within Foundry,a) Purchased from a vendor,Limited users able to develop code.,Assistance with novice users writing code to achieve data transformations.,recommended pyspark code
NASA,IV&V Static Code & Implementation Analysis,GSFC: Goddard Space Flight Center,pre_deployment,Custom (VS plugin),,,,"This project develops software to generate pre-computed, draft analysis results for static code and code implementation artifacts on NASA programs within the scope of Independent Verification & Validation (IV&V). The tool provides a web-based interface and plug-ins for Code IDEs such as Visual Studio that enables users to filter pre-computed static code findings, review generative AI–assisted assessments, and auto-draft IV&V issues. Pending enhancements include secure coding evaluations, assessments of code traceability to other artifacts (requirements, design, test, etc.) for identifying functional gaps. Initial development and testing utilize synthetic data hosted on AWS (Cloud – Other). Beginning in FY26, the project will transition to beta and production phases, operating on local on-premises HPC infrastructure with access to real ITAR-level NASA mission data.","Implementation of the local on-premises HPC environment and subsequent execution of AI-enhanced IV&V analysis activities will begin in FY26. These activities will be complemented by expert human engineering judgement and further analysis. By integrating AI-generated content into NASA IV&V's current processes, analysis results and assessments can be produced significantly faster than with traditional methods. This accelerated capability is expected to positively impact the mission projects supported by NASA IV&V by enabling earlier identification of issues, more thorough characterization of residual risk and impact of any open identified issues, and delivery of improved, risk-informed decision-making support to programs.","The AI system will provide interaction via a plugin in Microsoft Visual Studio where the analyst can ask questions about code and  initially assess static code findings. More advanced versions of this tool will pull additional context in from other NASA project artifacts such as requirements and design. Analysts will be able to genrate draft, pre-written technical issues."
NASA,Using MML code generation to create new high-energy astrophysics science software,GSFC: Goddard Space Flight Center,pre_deployment,Custom LLM (planned),,,,We plan to train an LLM on previous large code bases for high-energy astrophysics science pipeline and analysis software.  HEASARC is under a mandate to work on next-generation science software to modernize the existing code base and make it easier for new high-energy astrophysics missions to develop data plans at lower cost.  By training LLM(s) on existing code the code assistants should be more effective in reducing the FTEs required to implement new systems.,Modernizing the software that is maintained by HEASARC and reducing the FTEs for new development,A code assistant optimized for this type of software
NSF,AWS Assisted Software Development (DIS AI Assisted Development),OCIO,pre_deployment,Amazon CodeWhisperer,,,,"Within software development, AI-driven tools, such as AWS CodeWhisperer, Amazon Q and Bedrock, and integration with development workflow, promise to elevate developer productivity and refine code quality. The objective of this pilot is to explore potential integration of these AWS services with DIS Developers IDEs, Jenkins automation, Bitbucket, laying the groundwork for Secure AI Assisted Development at NSF.",,
SBA,Developer Code Assistant AI,OCIO: Office of the Chief Information Officer,pre_deployment,Amazon Q,Amazon Q Developer,Amazon Web Services (AWS),Purchased from a vendor,"Software developers spend significant time on repetitive coding tasks, writing boilerplate code, creating documentation, generating unit tests, and conducting code reviews. Legacy code modernization is complex and time-consuming. Understanding large codebases requires extensive manual analysis. Developers need context-aware assistance that understands company-specific code patterns and AWS best practices.","Accelerates software development by up to 57% through intelligent code completion and generation. Reduces time spent on documentation, unit testing, and code reviews through autonomous agentic capabilities. Transforms legacy applications automatically (e.g., .NET upgrades, Java version migrations). Improves code quality with AWS-specific best practices and security recommendations. Enables faster onboarding to complex codebases. Customizes to private repositories for company-specific relevance. Supports inline chat for contextual help. Provides CLI natural language translation for command-line efficiency.","Generative AI-powered coding assistant for building, operating, and transforming software with advanced agentic capabilities. Provides real-time code suggestions from snippets to full functions based on comments and existing code. Features inline chat in IDE, CLI completions, natural language-to-bash translation, and customization with private repositories for company-specific recommendations. Agentic capabilities autonomously perform multi-step tasks including unit testing, documentation, code reviews, refactoring, and legacy code transformation. Achieved highest scores on SWE-Bench Leaderboard. Input: natural language prompts, code context, GitHub issues, repository code. Output: code suggestions, full functions, documentation, unit tests, code reviews, pull requests, diagrams, refactored code."
SBA,Developer Code Assistant AI,OCIO: Office of the Chief Information Officer,pre_deployment,GitHub Copilot,GitHub Copilot,Microsoft Corporation (GitHub),Purchased from a vendor,"Developers spend substantial time writing repetitive boilerplate code, looking up syntax and APIs, translating requirements into code, and debugging errors. Understanding unfamiliar codebases is time-consuming. Manual code reviews are labor-intensive. Command-line operations require remembering complex syntax. Context-switching between documentation and coding disrupts flow.",Increases developer productivity by 55-94% according to customer studies (Grupo Boticário case). Accelerates coding with real-time intelligent suggestions that understand context. Reduces time searching for documentation and syntax. Enables autonomous coding through GitHub issue assignment to AI agents. Provides instant code explanations and error detection. Improves code quality through AI-powered refactoring suggestions. Streamlines terminal workflows with natural language CLI commands. Maintains flow state by reducing context-switching. Supports multiple programming languages and frameworks.,"AI-powered pair programmer that provides context-aware code suggestions and completions directly in the code editor and terminal. Uses machine learning trained on billions of lines of public code to suggest entire lines, functions, and code blocks as developers type. Features autonomous coding agent that can be assigned GitHub issues to independently write code and create pull requests. Provides inline chat for code explanations, error detection, refactoring suggestions, and optimization recommendations. Supports natural language CLI commands. Analyzes context from open files, repository structure, and cursor position to generate probabilistic suggestions. Input: code context, natural language prompts, GitHub issues, repository files. Output: code suggestions, full functions, pull requests, refactoring recommendations, terminal commands, code explanations."
SBA,Multi-Agent Orchestration,OCIO: Office of the Chief Information Officer,pre_deployment,AWS Bedrock,Amazon Bedrock (FedRAMP Authorized),Amazon Web Services (AWS),"Both, the AI was developed by a vendor but it was substantially customized in-house or by a contractor","SBA maintains millions of lines of legacy ColdFusion and COBOL code supporting mission-critical lending systems (CAFS) with minimal test coverage and significant technical debt. Manual code refactoring, test case generation, and project management across modernization initiatives are resource-intensive and error-prone, creating risk during cloud migration.","Multi-agent AI orchestration will accelerate legacy code modernization by automating code refactoring recommendations, generating comprehensive test suites for financial calculation modules, and streamlining project management workflows. Expected benefits include reduced manual effort for QA testing, improved code quality and test coverage for CAFS applications, faster time-to-migration for AWS EVS initiatives, and better coordination across modernization workstreams.","Multi-agent system using Amazon Bedrock with foundation models. Agent Teams coordinate specialized agents for: (1) Code Refactoring — analyzes legacy ColdFusion/COBOL code and recommends modernization patterns, (2) Automated Testing — generates unit, integration, and regression test cases for financial calculation modules, (3) Project Management — synthesizes sprint status, identifies blockers, and coordinates task dependencies across modernization teams. Input: source code repositories, project management data, test specifications. Output: refactored code suggestions, test case files, project status summaries, risk assessments. All outputs require human review and approval before implementation."
SSA,Coding Assistance,Chief Information Officer,pre_deployment,Windsurf,Windsurf,Windsurf,a) Purchased from a vendor,"Increase developer efficiency through faster coding, time savings and cost reduction.","Reduced task switching and maintain flow state
	Enhanced developer experience
	Improved developer retention
	Improved code quality and maintainability
	Improved customer experience
	Reduced bugs and technical debt
	Go to market faster",Code and analysis of code
SSA,Intelligent generation of modernized code.,Chief Information Officer,deployed,AveriSource Platform,AveriSource Platform,AveriSource,a) Purchased from a vendor,"The module uses AI techniques such as cluster analysis, pattern matching, templates, and programming language models to generate modernized code in a new target language.
These AI techniques enable it to perform efficient data analysis, processing, and intelligent generation of new code. AI powered approach provides structured standardized code thats highly maintainable.","The GenAI component accelerates legacy system modernization by automatically analyzing COBOL and other legacy code, generating consistent business requirements documentation, and performing refactoring and re-imagining to transform code into modern languages and frameworks (e.g., Java, Java Spring Boot). This capability reduces manual effort required for document creation, supports knowledge retention as subject matter experts retire, and shortens development cycles by enabling faster updates to systems that serve the public.","Transformed legacy code into modernized language, business and technical requirement documentation."
SSA,Mainframe code modernization assistant,Chief Information Officer,pre_deployment,IBM watsonx Code Assistant,,"IBM WatsonX Code Assistant
Broadcom Code for Z",a) Purchased from a vendor,"Increase developer efficiency through faster coding, time savings and cost reduction.","Reduced task switching and maintain flow state
	Enhanced developer experience
	Improved developer retention
	Improved code quality and maintainability
	Improved customer experience
	Reduced bugs and technical debt
	Go to market faster",Code and analysis of code
State,CodeGen - AI-assisted IT Application Development,CA,retired,unspecified,,,,,,
TVA,Github Copilot,Information Technology,unknown,GitHub Copilot,,,,,Increased efficiency and productivity,
Treasury,AI-Augmented Software Modernization and Insight,Internal Revenue Service (IRS),pilot,unspecified,N/A,N/A,In-house,"The IRS maintains a large portfolio of complex Java/Spring Boot applications that accumulate technical debt, dependency conflicts, and inconsistent coding practices. Manually identifying outdated libraries, researching upgrade paths, and resolving build failures consumes significant engineering time and slows modernization efforts. AI is intended to reduce this burden by automating research, detecting vulnerabilities, and proposing secure, standards-compliant code improvements.","For the IRS mission: Faster modernization of taxpayer-facing systems, improved system reliability, and reduced risk from outdated or insecure software components. For the public: More resilient digital services, reduced downtime, and faster delivery of secure taxpayer tools and features. For IRS engineers: Less time spent on repetitive research, freeing focus for high-value mission logic and innovation.","Prioritized lists of technical debt items (e.g., outdated dependencies, deprecated APIs, security vulnerabilities). Suggested code refactorings and dependency upgrades. Generated draft documentation, test cases, and migration strategies. Analytical reports highlighting cross-repository trends in build failures and performance issues."
Treasury,FRB AI Code Translation POC,Bureau of the Fiscal Service (BFS),pilot,Microsoft Teams,N/A,N/A,Developed in-house,"Code Assistance - Generating, debugging, and documenting code","This POC will explore the remediation of legacy code by leveraging generative AI to accelerate migration to a more modern framework. The purpose of this POC is simply to evaluate the efficacy of gen AI for this purpose and any code generated would not be moved to production. AI-driven code translation accelerates the conversion of code from one language or framework to another, including updating legacy systems to modern platforms. The use of generative AI in technical debt remediation offers substantial operational efficiencies, cost savings, and strategic benefits, quantifiable through reduced labor hours, lower migration costs, and faster time-to-market for modernized applications. These advantages position teams to better leverage modern technologies and align with the strategic goals of agility and innovation.",Remediation of Legacy code -- migrating to more modern framework
Treasury,Large Language Model (LLM) Chatbot for Proof of Concept,Bureau of the Fiscal Service (BFS),pilot,unspecified,N/A,N/A,Developed with both contracting and in-house resources,"Code Assistance - Generating, debugging, and documenting code","Test PaaS to assist developers.  The LLM will generate comments and documentation alongside code snippets, promoting better code understanding and maintainability.  The LLM works with COBOL, JAVA, Angular, and other programming languages, making it versatile for multi-language projects.  The LLM has the ability to catch common mistakes, improving code quality and reducing debugging time, thereby accelerating the overall coding process.","Code comments, documentation, improvement suggestions"
Treasury,Modernization Accelerator - Legacy Applications Chatbot & Code Conversion,Internal Revenue Service (IRS),retired,,N/A,N/A,N/A,N/A,N/A,N/A
Treasury,Modular Code Assistant (Explain & Refactor Small Methods) for Automation Test Application Development,Internal Revenue Service (IRS),deployed,unspecified,N/A,N/A,In-house,Assist test automation team by explaining or suggesting improvements to individual Java methods or classes below 100 lines.  Ideal for improving understanding and accelerating onboarding to automation test as a new software engineer in application development.,"The objective is to implement a secure, localized AI chatbot leveraging Retrieval-Augmented Generation (RAG) to enhance test automation productivity.",Answer detailed project-specific queries. Interpret and simplify complex automation test reports.  Potentially aid in troubleshooting and debugging automation scripts.
