agency,use_case_name,bureau_component,stage_normalized,tool_product_name,system_name,vendor_name,development_type,problem_statement,expected_benefits,system_outputs
DOE,GitHub Copilot,SLAC - SLAC National Accelerator Laboratory (SC43 OIM),pilot,GitHub Copilot,GitHub Enterprise,Microsoft,Purchased from a vendor,Enhancement of developer productivity,Cost savings and efficiency,Recommendations for code
DOE,GitHub Copilot,WAPA - Western Area Power Administration (PMA),deployed,GitHub Copilot,Github Copilot,Microsoft,Purchased from a vendor,Improve the quality and speed of code development.,"Speed the delivery of code development, edits and troublshooting.","Provides developers with possible code recommendations in appropriate format, identify code errors and suggestions to fix poor performing code."
DOE,GitHub Copilot with the OpenAI Codex,PNNL - Pacific Northwest National Laboratory (SC43 OIM),deployed,GitHub Copilot,R&D User,OpenAI,Developed with both contracting and in-house resources,Accelerate coding tasks with AI-assisted code suggestions and automation.,"This increases their productivity, allows them to focus more on innovation and research, and accelerates the development of high-quality software solutions for scientific research.","This increases their productivity, allows them to focus more on innovation and research, and accelerates the development of high-quality software solutions for scientific research."
DOE,Scripting,LM HQ - Office of Legacy Management (LM),deployed,Gemini,LMGSS,Google Gemini,Purchased from a vendor,"AI-powered scripting will improve automation, speed, and efficiency.",Reduced cost in alteration of ground water models improving ground water outcomes.,Python code for use in models
DOE,Software Implementation Assistant,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),pre_deployment,Tabnine,,Purchased from a Vendor - Tabnine,Developed in house,"This AI solution is designed to streamline the process of software implementation by automating crucial planning tasks, technical documentation, and risk assessments, which typically demand significant time and effort. The solution aims to support ju","The AI solution is expected to enhance the agency's mission by reducing the time, effort, and complexity involved in software implementation efforts, leading to significant cost savings. It will improve project planning, standardize technical documentation, aid junior resources, and allow subject matter experts to focus on critical tasks, ultimately improving project outcomes and resource utilization for the public's benefit.","The AI system outputs detailed project plans, organized tasks, technical documents, use cases, test scripts, and risk assessments specific to the software implementation project and application."
DOE,Tabnine AI Pair Programmer,KCNSC - Kansas City National Security Campus (KCFO),pre_deployment,Microsoft Teams,Tabnine,Tabnine,Purchased from a vendor,"Accelerate and simplify software development across our entire site. There is no definite 'problem' being solved, just capitalizing on an opportunity to leverage industry investment in generative AI for software development","This use case will boost engineering velocity, code quality, and developer happiness by automating the coding workflow through AI tools customized to our teams.",Expediated quality software for Test Engineering
Treasury,AI-Augmented Software Modernization and Insight,Internal Revenue Service (IRS),pilot,unspecified,N/A,N/A,In-house,"The IRS maintains a large portfolio of complex Java/Spring Boot applications that accumulate technical debt, dependency conflicts, and inconsistent coding practices. Manually identifying outdated libraries, researching upgrade paths, and resolving build failures consumes significant engineering time and slows modernization efforts. AI is intended to reduce this burden by automating research, detecting vulnerabilities, and proposing secure, standards-compliant code improvements.","For the IRS mission: Faster modernization of taxpayer-facing systems, improved system reliability, and reduced risk from outdated or insecure software components. For the public: More resilient digital services, reduced downtime, and faster delivery of secure taxpayer tools and features. For IRS engineers: Less time spent on repetitive research, freeing focus for high-value mission logic and innovation.","Prioritized lists of technical debt items (e.g., outdated dependencies, deprecated APIs, security vulnerabilities). Suggested code refactorings and dependency upgrades. Generated draft documentation, test cases, and migration strategies. Analytical reports highlighting cross-repository trends in build failures and performance issues."
Treasury,FRB AI Code Translation POC,Bureau of the Fiscal Service (BFS),pilot,Microsoft Teams,N/A,N/A,Developed in-house,"Code Assistance - Generating, debugging, and documenting code","This POC will explore the remediation of legacy code by leveraging generative AI to accelerate migration to a more modern framework. The purpose of this POC is simply to evaluate the efficacy of gen AI for this purpose and any code generated would not be moved to production. AI-driven code translation accelerates the conversion of code from one language or framework to another, including updating legacy systems to modern platforms. The use of generative AI in technical debt remediation offers substantial operational efficiencies, cost savings, and strategic benefits, quantifiable through reduced labor hours, lower migration costs, and faster time-to-market for modernized applications. These advantages position teams to better leverage modern technologies and align with the strategic goals of agility and innovation.",Remediation of Legacy code -- migrating to more modern framework
Treasury,Large Language Model (LLM) Chatbot for Proof of Concept,Bureau of the Fiscal Service (BFS),pilot,unspecified,N/A,N/A,Developed with both contracting and in-house resources,"Code Assistance - Generating, debugging, and documenting code","Test PaaS to assist developers.  The LLM will generate comments and documentation alongside code snippets, promoting better code understanding and maintainability.  The LLM works with COBOL, JAVA, Angular, and other programming languages, making it versatile for multi-language projects.  The LLM has the ability to catch common mistakes, improving code quality and reducing debugging time, thereby accelerating the overall coding process.","Code comments, documentation, improvement suggestions"
Treasury,Modernization Accelerator - Legacy Applications Chatbot & Code Conversion,Internal Revenue Service (IRS),retired,,N/A,N/A,N/A,N/A,N/A,N/A
Treasury,Modular Code Assistant (Explain & Refactor Small Methods) for Automation Test Application Development,Internal Revenue Service (IRS),deployed,unspecified,N/A,N/A,In-house,Assist test automation team by explaining or suggesting improvements to individual Java methods or classes below 100 lines.  Ideal for improving understanding and accelerating onboarding to automation test as a new software engineer in application development.,"The objective is to implement a secure, localized AI chatbot leveraging Retrieval-Augmented Generation (RAG) to enhance test automation productivity.",Answer detailed project-specific queries. Interpret and simplify complex automation test reports.  Potentially aid in troubleshooting and debugging automation scripts.
Treasury,Software Code Generation,Office of the Comptroller of the Currency (OCC),pilot,unspecified,N/A,N/A,Developed in-house,"Developing software code and producing the associated documentation requires significant time and technical expertise. Routine coding tasks, boilerplate creation, and documentation drafting can slow down development cycles and divert staff from higher-value design and analysis work. The AI is intended to assist by generating code snippets, templates, and initial documentation drafts, reducing manual effort and accelerating development processes.","The AI increases development efficiency by automating repetitive coding tasks and improving documentation consistency. This enables technical staff to focus more on systems design, security review, and integration work, supporting the agency’s mission through faster delivery of high-quality technical solutions. The public benefits indirectly through enhanced operational efficiency, improved reliability of supporting systems, and reduced development backlogs that contribute to more effective regulatory and supervisory activities.","The AI will generate software code aligned to predefined requirements, along with code comments, technical documentation, and usage explanations. Outputs may include function templates, structured code blocks, API documentation, configuration examples, or troubleshooting guidance. These materials serve as development aids, with final validation, testing, and implementation remaining the responsibility of agency technical staff."
SSA,Coding Assistance,Chief Information Officer,pre_deployment,Windsurf,Windsurf,Windsurf,a) Purchased from a vendor,"Increase developer efficiency through faster coding, time savings and cost reduction.","Reduced task switching and maintain flow state
	Enhanced developer experience
	Improved developer retention
	Improved code quality and maintainability
	Improved customer experience
	Reduced bugs and technical debt
	Go to market faster",Code and analysis of code
SSA,Intelligent generation of modernized code.,Chief Information Officer,deployed,AveriSource Platform,AveriSource Platform,AveriSource,a) Purchased from a vendor,"The module uses AI techniques such as cluster analysis, pattern matching, templates, and programming language models to generate modernized code in a new target language.
These AI techniques enable it to perform efficient data analysis, processing, and intelligent generation of new code. AI powered approach provides structured standardized code thats highly maintainable.","The GenAI component accelerates legacy system modernization by automatically analyzing COBOL and other legacy code, generating consistent business requirements documentation, and performing refactoring and re-imagining to transform code into modern languages and frameworks (e.g., Java, Java Spring Boot). This capability reduces manual effort required for document creation, supports knowledge retention as subject matter experts retire, and shortens development cycles by enabling faster updates to systems that serve the public.","Transformed legacy code into modernized language, business and technical requirement documentation."
SSA,Mainframe code modernization assistant,Chief Information Officer,pre_deployment,IBM watsonx Code Assistant,,"IBM WatsonX Code Assistant
Broadcom Code for Z",a) Purchased from a vendor,"Increase developer efficiency through faster coding, time savings and cost reduction.","Reduced task switching and maintain flow state
	Enhanced developer experience
	Improved developer retention
	Improved code quality and maintainability
	Improved customer experience
	Reduced bugs and technical debt
	Go to market faster",Code and analysis of code
DOJ,AI-assisted Legacy Code Modernization,Department of Justice / CIV,pre_deployment,unspecified,,,,"This initiative uses AI-assisted code translation and refactoring tools to automatically convert legacy code into modern, secure languages (e.g., Java, Python) while flagging logic gaps and optimizing for cloud environments. Aligns with E.O. 14179’s innovation directive and M-25-21’s governance requirements.","(1) Modernized applications improve resilience, reduce security risk, and lower long-term IT O&M costs, directly supporting DOJ’s modernization and cybersecurity priorities. (2) Builds on DOJ CIO modernization roadmaps, Federal IT dashboards, and prior migration initiatives to cloud platforms.
(3) Reduction in legacy system maintenance costs, outages and performance loss; # of applications successfully migrated; cybersecurity vulnerabilities reduced.","Code Generation, Recommendations, Predictions: modernized code output, optimization recommendations, vulnerability predictions."
DOJ,Code Development,Department of Justice / Department wide,deployed,GitHub Copilot,Redacted for cybersecurity purposes.,"GitHub, Microsoft",a) Purchased from a vendor,More efficient writing and maintenance of code.,Improve developer productivity and streamline development lifecycle.,"Coding guidance and suggestions, with the tool providing real-time code completions based on comments and existing code."
VA,Ansible Lightspeed,OIT: Office of Information & Technology,pre_deployment,Microsoft Teams,,,,"Lack of adoption of automation, or expertise in coding knowledge to automate a remediation/code change. Ansible LightSpeed helps create automations faster, making teams more efficient and productive in a shorter amount of time than if they needed to write automations on their own.",Quicker time to service and resolution,Automation playbooks. Ansible LightSpeed answers questions inside the Ansible Automation Platform application via a chatbot dialogue box in the application. Ansible LightSpeed can also be a plugin for Visual Studio Code where it can generate YAML code for a developer (or administrator or engineer) where they are developing the YAML code. Both of these are optional to the included Ansible Automation Platform.
VA,VetsEZ Middleware Development,OIT: Office of Information & Technology,pre_deployment,Microsoft Teams,,,,"The HDM middleware environment supports large-scale, secure health data transport across VA systems, but much of its underlying codebase is legacy (e.g., MUMPS, Java, .NET Framework) and complex, with inconsistent documentation and a heavy reliance on senior SMEs.

This leads to: Ongoing technical debt as well-functioning but aging middleware components require careful, phased modernization; Longer onboarding times when new developers need to interpret complex, high-value legacy code without comprehensive documentation; Resource dependencies where mid-tier developers require more direct SME involvement for certain modernization and refactoring tasks; Variation in code patterns that can affect consistency in security, performance, and maintainability across platforms; Slower adoption of modern architectures such as containerized microservices and FHIR integrations.

How AI Solves It: Explain legacy code in plain language, creating complete documentation for knowledge preservation and onboarding; Refactor code for maintainability, performance, and security, reducing technical debt; Generate standardized, efficient middleware code aligned with VA modernization goals; Produce AI-augmented unit tests to detect defects earlier (“shift-left” testing) and increase coverage; All outputs will still undergo human review, VA security scanning, and governance to ensure compliance with Federal Information Security Management Act (FISMA) High standards and VA TRM policy.","For the VA’s Mission: Faster code modernization – AI-assisted refactoring and generation will help transition middleware components from older platforms (MUMPS, Java, .NET Framework) to secure, containerized microservices. 
Improved developer efficiency – By automating repetitive coding & documentation tasks, developers can focus more on high-value modernization work and less on manual rework. 
Knowledge preservation – AI-generated code explanations and documentation reduce the risk of key-person dependency and improve continuity across teams.
Higher code quality  – AI-augmented unit tests and standardized patterns will strengthen maintainability and alignment with FISMA High requirements.
Accelerated delivery cycles – With AI enabling mid-tier developers to work more independently, releases can move through the DevSecOps pipeline faster while maintaining quality and compliance.
For the General Public / Veterans:
Improved reliability of VA systems – Modernized, better-tested middleware helps ensure health and benefits data flows securely and consistently.
Faster implementation of new services – Reduced development cycle times allow Veterans to benefit sooner from new integrations, such as Fast Healthcare Interoperability Resources (FHIR)-based interoperability with community care providers.
Sustained continuity of operations – Documentation and knowledge capture ensure that mission-critical systems can be maintained and improved even as staff transitions occur.","AI System Outputs

The system will produce the following outputs to support HDM middleware modernization:

Code Explanations & Documentation

Plain-language summaries of complex legacy code (e.g., MUMPS, Java, .NET Framework) to aid in developer understanding and onboarding.

Structured documentation suitable for inclusion in VA knowledge repositories.

Refactored Code

Updated, cleaner, and more maintainable versions of existing middleware code that preserve original functionality while improving performance, security, and alignment with modern coding standards.

New Code Segments

Efficient, standardized code snippets or modules to support integration tasks, modernization efforts, and migration to containerized microservices.

AI-Generated Unit Test Scaffolds

Automated creation of baseline unit test templates that improve early defect detection, expand test coverage, and support “shift-left” testing practices.

Code Review Suggestions

Recommendations for improving existing or newly generated code, focusing on maintainability, security, and architectural alignment."
State,CodeGen - AI-assisted IT Application Development,CA,retired,unspecified,,,,,,
