use_case_id_2024,uc_2025_id,agency_abbreviation,use_case_name_2024,use_case_name_2025,flagged_by,w2_reasoning,wave1_is_generative_ai,wave1_ai_sophistication,wave1_deployment_scope,wave1_entry_type,tag2025_is_generative_ai,tag2025_ai_sophistication,tag2025_deployment_scope,tag2025_entry_type
34772,133844,HHS,Adverse Childhood Experiences (ACEs) Literature Review Dashboard,Adverse Childhood Experiences (ACEs) Literature Review Dashboard,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,classical_ml,enterprise_wide,custom_system
34785,133858,HHS,Sidekick Comms bot Offering User-friendly Tips (SCOUT),Sidekick Comms bot Offering User-friendly Tips (SCOUT),wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,nlp_specific,enterprise_wide,bespoke_application
34787,133860,HHS,Use of Natural Language Processing for Topic Modeling to Automate Review of Public Comments to Notice of Proposed Rulemaking,Use of Natural Language Processing for Topic Modeling to Automate Review of Public Comments to Notice of Proposed Rulemaking,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,nlp_specific,enterprise_wide,custom_system
34793,133865,HHS,The School Closure Awareness System,The School Closure Awareness System,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,nlp_specific,enterprise_wide,custom_system
34801,133873,HHS,Respiratory Virus Response (RVR) Data Analysis Concept,Respiratory Virus Response (RVR) Data Analysis Concept,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,pilot,product_deployment,0,general_llm,enterprise_wide,custom_system
34817,133885,HHS,Semi-Automated Nonresponse Detection for Surveys (SANDS),Semi-Automated Nonresponse Detection for Surveys (SANDS),wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,nlp_specific,enterprise_wide,custom_system
34821,133889,HHS,Development of in-silico genomic and patient datasets using generative ML algorithms,Development of in-silico genomic and patient datasets using generative ML algorithms,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,pilot,product_deployment,0,classical_ml,enterprise_wide,custom_system
34971,134133,HHS,"NCI-DOE Collaboration, MOSSAIC project (Modeling Outcomes using Surveillance Data and Scalable AI for Cancer)","NCI-DOE Collaboration, MOSSAIC project (Modeling Outcomes using Surveillance Data and Scalable AI for Cancer)",wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,nlp_specific,enterprise_wide,bespoke_application
35006,134245,HHS,DECIDE,DECIDE,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,pilot,bespoke_application,0,classical_ml,enterprise_wide,custom_system
35007,134246,HHS,Document drafting and editing,Document drafting and editing,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,pilot,bespoke_application,0,classical_ml,enterprise_wide,custom_system
35050,134740,OPM,USA Class,USA Class,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,classical_ml,bureau,custom_system
35088,134878,STATE,CodeGen - AI-assisted IT Application Development,CodeGen - AI-assisted IT Application Development,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,coding_assistant,bureau,bespoke_application,0,classical_ml,bureau,custom_system
35110,134913,STATE,ECA Program Management and Outreach - Summarization,ECA Program Management and Outreach - Summarization,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,office,generic_use_pattern,0,classical_ml,bureau,custom_system
35556,133734,FTC,Developer productivity,Developer Productivity,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->bureau); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,coding_assistant,pilot,bespoke_application,0,general_llm,bureau,bespoke_application
35635,135614,VA,VEO Virtual Analyst Proof of Concept,VEO Virtual Analyst Proof of Concept,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,classical_ml,bureau,custom_system
35705,135580,VA,Multi-Modal Digital Image Exchange - AI (MDIE-AI),Multi-Modal Digital Image Exchange - AI (MDIE-AI),wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,agentic,bureau,bespoke_application,0,computer_vision,bureau,custom_system
35731,135631,VA,BlackBox Code research,BlackBox Code research,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system; scope grew narrow->broad (pilot->bureau); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,pilot,product_deployment,0,classical_ml,bureau,custom_system
35732,135619,VA,Synthetic Data Creation,Synthetic Data Creation,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->bureau); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,pilot,bespoke_application,0,classical_ml,bureau,custom_system
35733,135620,VA,Billie GPT,Billie GPT,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,classical_ml,bureau,custom_system
35790,135423,VA,Master Claims Assistance Tool (M-CAT),Master Claims Assistance Tool (M-CAT),wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,general_llm,bureau,custom_system
35829,135560,VA,VA CART Ejection Fraction NLP,VA CART Ejection Fraction NLP,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,nlp_specific,bureau,custom_system
36085,133291,DOJ,MACO Project: Law Enforcement CAD Data Autocoder,MACO Project: Law Enforcement CAD Data Autocoder,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,custom_system,0,nlp_specific,bureau,custom_system
