agency,use_case_name,flagged_dimension,current_2025_value,verdict,corrected_value,confidence,reasoning
DOI,Foundation Models to Advance Earth Science [2024 INV#WO0000000107153],is_generative_ai,0,fix_2025,1,high,2025 agency ai_classification is 'Generative AI'; 2025 problem statement: 'developing and deploying generalist AI models (Foundation Models) trained on Earth Observations'.
DOL,Case Recording summarization,is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'Using an open source large language model to summarize publicly available case recording documents' — generative summarization.
EPA,Transitioning historical help desk knowledge to new help desk software,is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'The project team plans to use generative AI to categorize questions and summarize responses.'
HHS,Design Your Facility,is_generative_ai,0,fix_2025,1,high,"2025 row retired/empty; 2024 narrative: 'leverages LLMs to help users more quickly configure the correct building, room, and bed layout' via conversational input; 'uses large language models (LLMs) to transform building layout information'."
HHS,Analyzing Public Comments on Proposed Rule,is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'A large language model (LLM) was used to tag public comments... alongside first drafts of topic-based summaries' — LLM-generated draft summaries.
HHS,Policy Knowledge Base Data Migration,is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'large language models were used to: 1) generate draft knowledge base article topics... 2) categorize articles'.
HHS,Adverse Childhood Experiences (ACEs) Literature Review Dashboard,is_generative_ai,0,fix_2025,1,medium,"2025 row retired/empty; 2024 narrative: 'Utilizing large language models, this system enables quick identification of relevant articles' — LLM-class relevance judging; verified 2024 tag general_llm/genai=1."
HHS,Sidekick Comms bot Offering User-friendly Tips (SCOUT),is_generative_ai,0,fix_2025,1,high,"2025 narrative: 'The AI system generates plain language versions of existing web content, creates new content for web, social media, fact sheets, and graphics'; 2024: 'CDC sometimes uses GenAI (generative artificial intelligence) to help create content'."
HHS,Use of Natural Language Processing for Topic Modeling to Automate Review of Public Comments to Notice of Proposed Rulemaking,is_generative_ai,0,keep_2025,0,medium,"2025 narrative describes clustering only: 'The AI generates clusters of similar public comments, organized by theme, to aid in manual review' — embedding/topic-modeling use of LLMs, no generated content; 2025 tag of 0 with nlp_specific is defensible."
HHS,The School Closure Awareness System,is_generative_ai,0,fix_2025,1,medium,"2025 narrative explicitly: 'using a large language model to categorize posts as unplanned school closures' — LLM-class engine, matching verified 2024 general_llm/genai=1."
HHS,Respiratory Virus Response (RVR) Data Analysis Concept,is_generative_ai,0,fix_2025,1,high,"2025 agency ai_classification is 'Generative AI'; 2025 narrative: 'The AI generates summaries of bulleted SME information, producing key takeaways'; 2024 cites 'the ChatGPT interface through EDAV'."
HHS,Semi-Automated Nonresponse Detection for Surveys (SANDS),is_generative_ai,0,keep_2025,0,medium,"2025 narrative: 'The system outputs scores for open-ended survey responses, identifying likely nonresponses' — discriminative scoring; 2024 itself calls it 'a natural language processing (NLP) model that has been fine-tuned on a custom dataset'. 2025 tag of 0 is correct."
HHS,Development of in-silico genomic and patient datasets using generative ML algorithms,is_generative_ai,0,fix_2025,1,high,"2025 row retired/empty; 2024 narrative: 'uses NLP generative AI toolsets (e.g. ChatGPT, co-pilot, etc.) to generate code' for 'in-silico genomic sequences' — explicitly generative."
HHS,"NCI-DOE Collaboration, MOSSAIC project (Modeling Outcomes using Surveillance Data and Scalable AI for Cancer)",is_generative_ai,0,keep_2025,0,medium,"2025 narrative: outputs are 'generally a predicted class (eg, tumor site) and associated relative confidence score' from 'deep learning natural language processing (NLP)' classifiers (OncoID/OncoIE) — discriminative extraction, not generation. 2025 tag of 0 is correct."
HHS,DECIDE,is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'DECIDE will use generative AI to automate the process of extracting data from various sources'.
HHS,Document drafting and editing,is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'It will function similarly to a standard large language model chatbot' for 'outlining and proofreading'.
OPM,USA Class,is_generative_ai,0,fix_2025,1,high,"2025 narrative thin ('AI-powered classification tool for building federal position descriptions', stage Production); 2024: 'USA Class will provide draft PD content generated through large language models (LLMs)' — generative drafting."
STATE,CodeGen - AI-assisted IT Application Development,is_generative_ai,0,fix_2025,1,high,"2025 row retired/empty; 2024 narrative: 'designed for seamless integration with Large Language Models (LLMs)... fast-tracks developers during code generation, translation, analysis, optimization, and debugging'."
STATE,ECA Program Management and Outreach - Summarization,is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'Use approved Large Language Models to create artifacts for leadership' with 'draft summaries that will be reviewed by humans'.
FTC,Developer Productivity,is_generative_ai,0,fix_2025,1,high,"2025 agency ai_classification is 'Generative AI' (soph already general_llm); 2024: 'FTC is integrating Generative AI (Gen AI), specifically Azure OpenAI GPT-4 (AOI)'."
VA,VEO Virtual Analyst Proof of Concept,is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'proof of concept to provide generative AI capabilities in CX Insights and SDP... using generative AI to predict and improve services'.
VA,Multi-Modal Digital Image Exchange - AI (MDIE-AI),is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'creates an AI driven orchestration layer and generative AI summary for automating computer vision models' — genAI summary component alongside CV.
VA,BlackBox Code research,is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'being able to use this product and other products like ASkSage and ChatGPT' for code fixes; outputs include 'Code snippets... Original creative writing pieces' — generative LLM use.
VA,Synthetic Data Creation,is_generative_ai,0,fix_2025,1,high,"2025 row retired/empty; 2024 narrative: 'Synthetic (non-PII) test data creation, using Generative AI' — explicitly generative."
VA,Billie GPT,is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'Generative AI knowledge portal to support School Certifying Officials' with output 'Generative AI response to the user query'.
VA,Master Claims Assistance Tool (M-CAT),is_generative_ai,0,fix_2025,1,high,2025 agency ai_classification: 'Generative AI: AI that generates new or synthetic content'; 2025 narrative: 'Retrieval-Augmented Generation (RAG) model' with 'overall generated response'.
VA,VA CART Ejection Fraction NLP,is_generative_ai,0,keep_2025,0,medium,2025 narrative: 'It extracts ejection fraction (EF) information in VistA using Natural Language Processing (NLP) of Echocardiogram TIU report text' — discriminative extraction with no genAI marker (2024's loose 'the LLM did not find an ejection fraction' notwithstanding). 2025 tag of 0 is correct.
DOJ,MACO Project: Law Enforcement CAD Data Autocoder,is_generative_ai,0,keep_2025,0,medium,"2025 narrative: 'The system outputs a standardized event-type classification for each CAD record' using 'machine learning and language models to automatically classify raw CAD text' — discriminative autocoder, not content generation. 2025 tag of 0 is correct."
