canonical_name,vendor,product_type,parent_canonical_name,is_generative_ai,is_frontier_llm,banded_rows,max_band,agencies,example_use_cases
Palo Alto Networks,Palo Alto Networks,security_tool,,0,0,4,"50,000+","CSOSA,HHS,DOT,EXIM",
Tableau,Salesforce,ml_platform,Salesforce,1,0,4,"5001-10,000","DOE,HHS,FDIC,SBA",
Adobe,Adobe,productivity,,0,0,3,"10,000-50,000","HHS,DOT,NASA",
Alteryx,Alteryx,ml_platform,,1,0,3,"5001-10,000","NASA,SEC",
FS Pro,FS Pro,productivity,,1,0,3,1001-5000,CSOSA,
Google,Google,productivity,,0,0,3,"10,000-50,000","EPA,NTSB,SEC",
Google News Brief,Google,consumer_feature,Google,1,0,3,"5001-10,000","HHS,FLRA,NEA",
Microsoft 365,Microsoft,coding_assistant,Microsoft,1,0,3,"10,000-50,000","DOE,FHFA",
Microsoft Power BI,Microsoft,data_analytics,Microsoft Power Platform,0,0,3,"5001-10,000","FDIC,NASA",
Relativity,Relativity,ediscovery,,0,0,3,"10,000-50,000","EPA,FDIC,FTC",
Salesforce Einstein,Salesforce,ml_platform,Salesforce,0,0,3,"50,000+","DOC,SBA",Improving the quality of written communications using AI tools.
Vyond,Vyond,media_analysis,,1,0,3,"5001-10,000","FLRA,SEC",
Zoom,Zoom,productivity,,1,0,3,"50,000+","State,NTSB,EAC",
Adobe Creative Cloud Suite,Adobe,productivity,Adobe,1,0,2,1-100,"DOE,NTSB",
Adobe Photoshop,Adobe,computer_vision,Adobe Creative Cloud Suite,1,0,2,"5001-10,000","FDIC,NIGC",
Aretec SEARCH,Aretec,search,,0,0,2,"10,000-50,000","DOI,EPA",
Ask Sage,Ask Sage Inc.,general_llm,,0,0,2,1-100,USDA,
Azure AI Foundry,Microsoft,general_llm,Microsoft Azure Platform,0,0,2,1001-5000,DOT,
BioRender,BioRender,productivity,,1,0,2,"5001-10,000",HHS,
Google Lens,Google,computer_vision,Google,1,0,2,101-1000,"HHS,NEA",
Google Pixel,Google,consumer_feature,Google,0,0,2,"50,000+","DOE,HHS",
HeyGen,HeyGen,media_analysis,,1,0,2,"5001-10,000",State,
Magnet Forensics,Magnet Forensics,security_tool,,1,0,2,"5001-10,000",SEC,
Microsoft Copilot Studio,Microsoft,agent_platform,Microsoft Power Platform,1,0,2,"5001-10,000",SEC,
Microsoft Outlook,Microsoft,productivity,Microsoft 365,0,0,2,"5001-10,000",HHS,
Microsoft Purview,Microsoft,security_tool,Microsoft 365,0,0,2,1001-5000,"State,FDIC",
OpenAI API,OpenAI,general_llm,,1,1,2,1001-5000,NASA,
Palantir AIP,Palantir,general_llm,Palantir Federal Cloud Service,0,0,2,"10,000-50,000","DOC,HHS",
SentinelOne,SentinelOne,security_tool,,0,0,2,"50,000+","HHS,SBA",
Synthesia,Synthesia,computer_vision,,1,0,2,"50,000+","HHS,DOI",
Adobe Premiere Pro,Adobe,media_analysis,Adobe Creative Cloud Suite,1,0,1,"5001-10,000",DHS,
Amazon Web Services,Amazon,cloud_platform,Amazon,0,0,1,1001-5000,NASA,
Apple News,Apple,consumer_feature,,0,0,1,"5001-10,000",HHS,
Asana,Asana,productivity,,1,0,1,1-100,HHS,
Axon Evidence,Axon,forensics,,1,0,1,1-100,DOI,
Azure Synapse Analytics,Microsoft,data_analytics,Microsoft Azure Platform,0,0,1,"5001-10,000",DHS,
Bloomberg Government,Bloomberg,investigative_data,,0,0,1,"5001-10,000",SEC,
CWTSatoTravel,CWTSatoTravel,productivity,,0,0,1,1001-5000,FDIC,
Canva,Canva,productivity,,1,0,1,"5001-10,000",HHS,
Claude Code,Anthropic,coding_assistant,Claude,1,0,1,101-1000,DOI,
DALL-E,OpenAI,computer_vision,ChatGPT,1,0,1,"5001-10,000",HHS,
DRUID AI,DRUID AI,agent_platform,,1,0,1,101-1000,HHS,
Doble Test Assistant,Doble Engineering,document_ai,,1,0,1,"10,000-50,000",DOE,
Flashpoint,Flashpoint,social_listening,,0,0,1,"5001-10,000",SEC,
Genesys Cloud CX,Genesys,itsm,,1,0,1,"5001-10,000",VA,
Google Calendar,Google,productivity,Google Workspace,0,0,1,"5001-10,000",DOT,
Hootsuite,Hootsuite,social_listening,,1,0,1,101-1000,DOI,
Konica Minolta Dispatcher Paragon,Konica Minolta,productivity,,0,0,1,1-100,DOE,
Lookout,Lookout,security_tool,,0,0,1,1-100,USTDA,
Medallia,Medallia,social_listening,,1,0,1,"50,000+",VA,
MediaViz AI,MediaViz,media_analysis,,1,0,1,"5001-10,000",HHS,
Microsoft AI Builder,Microsoft,ml_platform,Microsoft Power Platform,0,0,1,101-1000,HHS,
Microsoft Azure Platform,Microsoft,cloud_platform,Microsoft,0,0,1,1001-5000,NASA,
Microsoft Copilot for Security,Microsoft,security_tool,Microsoft 365,1,0,1,101-1000,DHS,
Microsoft Viva,Microsoft,productivity,Microsoft,1,0,1,"10,000-50,000",EPA,
Monday.com,monday.com,productivity,,1,0,1,1-100,HHS,
Mural,Mural,productivity,,1,0,1,1001-5000,NASA,
NetApp ARP/AI,NetApp,security_tool,,0,0,1,1-100,SEC,
Nuance Dragon,Nuance (Microsoft),transcription,,0,0,1,101-1000,DHS,
Otter.ai,Otter,productivity,,1,0,1,"10,000-50,000",HHS,
Poolside,Poolside,coding_assistant,,1,0,1,1001-5000,DHS,
Slack,Salesforce,productivity,Salesforce,1,0,1,"10,000-50,000",HHS,
Sprinklr,Sprinklr,social_listening,,0,0,1,1-100,DHS,
Supportbench,Supportbench,itsm,,1,0,1,101-1000,HHS,
Systran Translate,Systran,translation,,0,0,1,"5001-10,000",SEC,
Techsmith Audiate,TechSmith,media_analysis,,1,0,1,101-1000,SEC,
Tenable,Tenable,security_tool,,0,0,1,"5001-10,000",FDIC,
USAi (GSA),GSA,general_llm,,0,0,1,"5001-10,000",GSA,
Unison PRISM,Unison,supply_chain,,0,0,1,1-100,DOC,
VAO Ally,GSA,agent_platform,,0,0,1,"5001-10,000",SEC,
Vectra AI,Vectra Networks,security_tool,,0,0,1,"10,000-50,000",DOE,
Visual Studio,Microsoft,developer_tool,Microsoft,0,0,1,101-1000,DOI,
Windsurf,Codeium,coding_assistant,,0,0,1,1001-5000,NASA,
Wiz,Wiz,security_tool,,0,0,1,"5001-10,000",SBA,
Zscaler,Zscaler,security_tool,,0,0,1,1-100,PBGC,
