consolidated_use_case_id,agency,ai_use_case,commercial_product,agency_uses,commercial_examples_snippet,candidate_products,pre_classification
9341,FRB,Searching for agency information using a knowledge retrieval system.,Internal Gov Cloud- Chatbots,Y,,Aretec SEARCH (via 'SEARCH'),high_signal
9343,FRB,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",External- Cybersecurity Suites,Y,,,high_signal
9346,FRB,Planning travel routes using AI-driven map applications.,External- Smartphone OS,Y,,,high_signal
9347,FRB,Finding and booking travel accommodations using AI-powered platforms.,External- Government Travel System,Y,,,high_signal
9348,FRB,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,External- Smartphone OS,Y,,,high_signal
9351,FTC,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",CoPilot,Y,,,high_signal
9352,FTC,Prioritizing and categorizing incoming emails using AI.,CoPilot,Y,,,high_signal
9355,FTC,"Generating first drafts of documents, briefing, or communication materials using AI.",CoPilot,Y,,,high_signal
9359,FTC,Using AI-assisted tools in word processors.,CoPilot,Y,,,high_signal
9368,FTC,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,iPhones,Y,,,high_signal
9388,GSA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Face recognition for GFE phones,Y,,,high_signal
9408,Udall,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple,Y,,,high_signal
9413,NASA,"Editing images, videos, or other public affairs materials using AI.",Adobe Connect,Y,,,high_signal
9418,NASA,Creating visual representations of data sets for reports or presentations using AI.,"Azure, Amazon Web Services, Mural",Y,,,high_signal
9465,NEA,Curating news articles and updates based on user preferences using AI.,Google News Brief,Y,,,high_signal
9466,NEA,Planning travel routes using AI-driven map applications.,Googel Maps,Y,,,high_signal
9505,NIGC,Curating news articles and updates based on user preferences using AI.,Law360 (Lexis Nexis),Y,,,high_signal
9519,NLRB,Using AI-assisted tools in word processors.,CoPilot,Y,,,high_signal
9521,NLRB,Searching for agency information using a knowledge retrieval system.,CoPilot,Y,,Aretec SEARCH (via 'SEARCH'),high_signal
9530,NTSB,Logging and analyzing time spent on tasks using AI-powered time management tools.,Viva Insights,Y,,,high_signal
9533,NTSB,"Editing images, videos, or other public affairs materials using AI.",Adobe Suite,Y,,,high_signal
9580,OPM,Generating code using AI.,Codex,Y,,,high_signal
9584,OPM,Managing and prioritizing internal service or help desk tickets using AI.,Zendesk,Y,,,high_signal
9606,PBGC,Planning travel routes using AI-driven map applications.,Native map applications on mobile devices,Y,,,high_signal
9623,SEC,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","HackerOne in-platform AI,
NetApp ARP/AI",Y,,,high_signal
9701,EAC,Searching for agency information using a knowledge retrieval system.,Copilot,Y,,Aretec SEARCH (via 'SEARCH'),high_signal
