use_case_id,agency,use_case_name,vendor_name,system_name,development_type,ai_classification,problem_statement,expected_benefits,pre_classification
61887,DOE,Expanding Consumer Participation in Consumer Electronics Recycling Programs Utilizing Targeted Marketing Campaigns,,,,Natural Language Processing,Identify laws and regulations related to e-waste,Consolidate and provide a more convenient venue to find laws and regulations related to e-waste disposal and recycling,dark_sample
61910,DOI,I-NEPA System: Leveraging Artificial Intelligence (AI) for Enhanced Efficiency [2024 INV# WO0000000111250],,,,,,,dark_sample
61913,DOI,Bird Nest Detection [2024 Inv#WO0000000110506],,,,Computer Vision,Monitoring of colonial nesting birds with manual photo processing takes substantial time and effort. The goal is to identify bird nests with an object detection model.,Researchers will be able to monitor bird colonies and their populations more efficiently and consistently.,dark_sample
61987,DOI,Inventorying landforms with convolutional neural networks [2024 INV#WO0000000108738; WO0000000109117],,,Developed in-house,Classical/Predictive Machine Learning,efficiently identify and inventory these features landform features from LiDAR derived topographic data images,efficient identification of landform features,dark_sample
62003,DOI,Foundation Models to Advance Earth Science [2024 INV#WO0000000107153],,,Developed in-house,Generative AI,"Advance the understanding of Earth's conditions and processes by developing and deploying generalist AI models (Foundation Models) trained on Earth Observations from field, suborbital, and orbital sensors.","These models, along with the resulting insights, will empower scientists and land user managers to achieve more while also advancing the broader field of AI and machine learning science.",dark_sample
62017,DOI,An integrated sensor network and data driven approach to satellite remote sensing of Dissolved Organic Matter,,,,Classical/Predictive Machine Learning,AI leverages the very large water quality dataset from extensive existing in situ data at continuous monitoring stations to develop a remote sensing model with improved accuracy for  DOM estimates from satellite images,Improved monitoring of water quality,dark_sample
62032,DOI,Adaptive Management with AMMonitor,,,Developed in-house,Classical/Predictive Machine Learning,Automated species identification from remote sensed data (images and audio files),Using AI to accurately identify species from remotely sensed data will save thousands of hours of personnel time previously required and would allow researchers to inexpensively capture extensive data sets on species abundances and distributions.,dark_sample
62041,DOI,Supervised learning for phycocyanin estimation from Sentinel-2 MSI in inland waters with independent validation,,,,Classical/Predictive Machine Learning,Need to accurately predict specific pigment concentrations directly from satellite data,Cost savings related to prediction of specific pigment concentrations directly from satellite data,dark_sample
62052,DOI,Modeling Rupture Directivity Effects on Ground Motion Using Neural Networks,,,Developed in-house,Classical/Predictive Machine Learning,"We use Artificial Neural Networks (ANNs) to more accurately modeling ground motion amplification effects caused by rupture directivity during earthquakes. These effects are complex and challenging to capture using traditional methods, which can impact the accuracy of seismic hazard assessments.",computationally efficient method to improve seismic hazard modeling by incorporating rupture directivity effects,dark_sample
62097,DOI,Invasive Grass Mapping,,,Developed in-house,Classical/Predictive Machine Learning,"USGS mapping of invasive exotic annual grasses is critical because these species, such as cheatgrass, alter ecosystems by increasing the frequency and intensity of wildfires and outcompeting native vegetation. Accurate, large-scale maps help land managers anticipate fire risk, prioritize restoration efforts, and guide grazing or herbicide treatments. Beyond fire management, these maps support wildlife habitat conservation, water resource protection, and long-term monitoring of ecosystem change, providing essential information for both local decision-making and national land management strategies.","DNNs have greatly improved our ability to accurately map invasive annual exotic grasses. We now produce weekly estimates of invasive grasses for the western US from early April until July, providing fire and land managers with critical data.",dark_sample
62099,DOI,National Land Cover Database (NLCD) [2024 INV#WO0000000107887],,,Developed in-house,Classical/Predictive Machine Learning,"Characterization of the physical land cover is critical for managing the lands, waters, and resources of the United States. The National Land Cover Database (NLCD) is easily one of the most widely used datasets produced within the Department of Interior, with applications including natural resource management, hydrology, biodiversity and habitat, energy and minerals, natural disasters, agricultural sustainability, and more. The criticality of these data demand 1) frequent updates, and 2) a characterization of how our landscapes are changing across time and space. Our linkage of three deep learning models, including a generative transformer-based AI model, has been vital for not only improving our characterization of the landscape with NLCD, but for enabling us to produce land cover products faster and more efficiently.  The application of AI to this problem has saved the government valuable resources.","Our revamping of the NLCD methodology with a series of 3 linked deep learning models has allowed us to improve the product, reduce latency of delivery, and to produce that product more cheaply.",dark_sample
62110,DOI,NEPA Document Generation,,,,Generative AI,"Utilize generative AI to generate content for NEPA documentation. Will gather information from ePlanning, and with the link from other systems will be able to draw the project information from that system into ePlanning and then into a CE.  We have the templates mapped with about 35% of the information coming from either ePlanning or ePlanning/MLRS.","Faster processing and writing of NEPA documents, which can often be time intensive.",dark_sample
62118,DOI,Machine Learning for Chemical Savings at Reverse Osmosis Plants [2024 INV#DOI-73 (NEW)],,,,Classical/Predictive Machine Learning,Water treatment processes are often complex and maintenance activities present tradeoffs between cost and system performance.,This project aims to use machine learning to optimize the usage of membrane cleaning chemicals in a water treatment plant using a reverse osmosis process. This would lower the unit cost of water produced.,dark_sample
62135,DOI,Document Review Platform Generative AI,,,,Generative AI,FOIA Request Processing is the resource intensive step of the process that would benefit from AI assistance and optimization.,Potential benefits include increasing the speed and accuracy of document review.,dark_sample
62206,DOJ,LPR: DEA DEASIL Program,,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Classical/Predictive Machine Learning,DEA needs an efficient and effective way to identify and track the movements of persons of interest based on vehicle license plates.,License Plate Readers (LPR) can be one important investigative tool to support cases.,dark_sample
62212,DOJ,Body Worn Camera (BWC) Audio-Video Software AI Tools,,,,,,,dark_sample
62220,DOJ,Financial and Cryptocurrency Analysis: Federal Partner,,Redacted for cybersecurity purposes.,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"Intelligence Analysts and DEA agents require tools that enable them to accelerate triage, discovery, investigations, and reporting while preserving the context, control, and credibility necessary to make their intelligence actionable. These tools must also support the rapid processing of raw, primary source content to provide useful insights and facilitate the identification of patterns and relationships in financial transactions, including cryptocurrencies, to aid in drug trafficking and money laundering investigations.","Saves time and money by freeing up Intelligence Analysts to focus on higher-order analysis, while enhancing the detection and prevention of financial crimes related to ongoing investigations.",dark_sample
62278,DOJ,Prisoner Assessment Tool Targeting Estimated Risk and Needs (PATTERN),,Redacted for cybersecurity purposes.,b) Developed in-house,Agentic AI,The intended use is to predict the risk of recidivism for incarcerated adults.,Addressing the risk of recidivism with appropriate programming and services to reduce the likelihood of reengagement with the justice system.,dark_sample
62290,DOJ,Perimeter Detection Fence (FLIR),,,,,,,dark_sample
62341,DOJ,Translation tool,,,,Generative AI,Provide USMS with the tools that can be integrated with USMS and USNCB data stores such as email content and other files for multiple language translated to English and vice versa.,"The proposed tools are more cost efficient than other software based solutions. In addition, the tool provides significantly more languages beyond those purchased with previous tools.",dark_sample
62353,DOJ,Sentiment Analysis Tool,,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Natural Language Processing (NLP),Improved marketing of FBI jobs,improved FBI recruitment and hiring,dark_sample
62361,DOJ,Procurement Data Triage Tool,AI Model Provider,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Natural Language Processing (NLP),To assist analysts in manual review,More efficient and comprehensive procurement decisions,dark_sample
62379,DOJ,Intelligent Workflow Optimization,,,,Natural Language Processing (NLP),"Inefficiencies in agency processes, operations, and workflows.","Recommendations and suggestions to improve various aspects of the workflows, operations, and processes supporting EOIR's mission functions. Improve and optimize EOIR's overall performance of its mission functions.",dark_sample
62393,DOJ,Entity Resolution,,Redacted for cybersecurity purposes.,b) Developed in-house,Classical/Predictive Machine Learning,Entity Extraction and Resolution,Faster FBI operations,dark_sample
62413,DOJ,Business Form Generation,,,,Generative AI,Manual time-intensive process,Faster FBI operations,dark_sample
62448,DOJ,Managing Document Digital Signatures,,,,Generative AI,"It is currently time-consuming, and challenging, to collect digital signatures from DOJ personnel into one source document. Utilizing AI would intend to manage the document workflow by using a single upgraded storage location with advanced security features.",Saves time and effort by integrating identity verification while reducing the amount of storage required for documents.,dark_sample
62459,DOL,Text to Speech Conversion,,,,Natural Language Processing (NLP),Text to speech (Neural) for more realistic human sounding applications using natural language processing models.,Provide more realistic human sounding applications,dark_sample
62469,DOL,Occupation Code Suggestion For Job Duties Data,,,,,,,dark_sample
62471,DOL,Case Recording summarization,,,,,,,dark_sample
62477,DOL,Initial Determinations for incoming applications,,,,,,,dark_sample
62487,DOL,CE Interview Imputations,N/A,"BLS Internal
System",b) Developed in-house,Classical/Predictive Machine Learning,Imputes missing expenditure values in the Consumer Expenditure Interview Survey when respondents answer “don’t know” or refuse to provide an expense amount.,Uses more sophisticated statistical techniques to estimate missing values,dark_sample
62498,DOT,Advanced Research and Testing (ART) Network,,,No contract/external resources used in development.,Agentic AI,"The ART Network is the shared service environment for AI research and development activities that provides researchers with access to a rapid AI innovation, exploration, development, and sharing platform using secure and approved IT infrastructure.",,dark_sample
62525,DOT,Integration of small Unmanned Aircraft System (sUAS) Geospacial Information System (GIS) Technologie,,,,Other,This use case will be used to enable new methods and tools that support the maintenance of life cycle of National Airpsace System (NAS) infrastructure.,,dark_sample
62533,DOT,"NETT Council Safety, Rights, and Security Review (SR2) Committee",,,,Other,"The SR2 Committee reviews and approves the operational deployment of all AI use cases and the public sharing of use case data, models, and code. The SR2 Committee is also responsible for performing the Security Review required by Executive Order 14110 Sec",,dark_sample
62536,DOT,NHTSA Interim Generative AI (GenAI) Usage Guidance,,,,Generative AI,Guidelines on usage of commercially available Generative Artificial Intelligence (GenAI) Tools and Services.,,dark_sample
62538,DOT,Surface Safety Metric (DOT Key Performance Indicator),,,No contract/external resources used in development.,Other,"Creating weighting scheme values based on safety data for measuring and monitoring safety risk in the National Air Space. The weights are used to generate safety indices for surface and airborne settings, for both commercial and non-commercial flights.",,dark_sample
62552,DOT,Human Performance (HP) Fatigue Recommendations,,,Developed with a combination of in-house and contract/external resources.,Other,This use case will be used to develop and understanding of HP Fatigue recommendations and ties to safety risk.,,dark_sample
62561,DOT,AI Freedom of Information Act (FOIA) Request Classification,,,Developed with a combination of in-house and contract/external resources.,Other,"Will strengthen the Intake and Assignment Branch's precision of FOIA request assignments at the first take, freeing up time to actively engage with requesters and customers alike.  Overall, these FOIA tools will allow for a more informed decision-making p",,dark_sample
62635,FDIC,Student Monitoring,,,,,,,dark_sample
62672,FDIC,Provisional Holds Model,,,,Classical/Predictive Machine Learning,"This solution will enable the FDIC to proactively manage financial risk by providing the ability to estimate potential overpayments, even without real-time account-level data. The strategic insights gained will allow for the optimization of financial holds, minimizing both overpayment risk and operational inefficiencies.","The model supports the provisional holds process by estimating potential overpayment. Appropriate provisional holds allow depositors access to their funds in a timely manner, while controlling risks to the DIF from overpaying uninsured depositors during a bank failure.",dark_sample
62716,FRB,Sentiment Analysis of Earnings Transcripts,,General Support System,Developed in-house,Natural Language Processing,Measure and classify sentiment in bank earnings calls to identify emerging trends,Additional insight into sentiments related to topics in bank earnings calls,dark_sample
62730,FRB,Outlier Detection,,,,Classical/Predictive Machine Learning,Efficiently process large volumes of firm data to identify anomalies and extract meaningful insights,"Traditional AI to help identify, synthesize, and deliver information provided by firms.",dark_sample
62776,GSA,ASSIST Auto Copy and Summarize,,,,Generative AI,"The AI is intended to solve the problem of significant manual effort and time spent on data entry within the end-to-end acquisition workflow, where data is received in various file formats. Currently, data entry per contract typically takes between 45 minutes and one hour, and the proposed solution aims to automate this process to reduce per-contract data entry time by 80%.",,dark_sample
62794,GSA,ReDux Toolkit,,,,Generative AI,"The AI is intended to solve the challenges associated with application modernization and legacy system assessment, specifically by accelerating requirements generation automation, facilitating migration from current to target language and software stacks, and providing comprehensive documentation for all use cases and system functionalities, thereby addressing issues such as limited availability of Subject Matter Experts (SMEs).",,dark_sample
62819,GSA,Leasing Desk Guide Bot,,,,Generative AI,"The AI, specifically the ""Leasing Desk Guide Bot,"" is intended to solve the problem of GSA stakeholders needing to efficiently access accurate, consistent, and context-relevant information from the Leasing Desk Guide to perform their duties. By leveraging a RAG-based internal chatbot, the system aims to streamline the information retrieval process, reducing the time and effort traditionally required to find specific details within a large corpus of knowledge, thereby enhancing operational efficiency for GSA personnel.",,dark_sample
62886,HHS,Using Generative AI for Stance Analysis of Public Comments on CDCs Proposed Rules,,,b) Developed in-house,Generative AI,"Manual review of public comments for rulemaking is labor-intensive and time-consuming due to the volume and diversity of responses. The AI system automates stance analysis and topic modeling to improve efficiency, accuracy, and insight in the review process.","The AI system can save significant time for CDCs public policy experts by automating the categorization and stance analysis of public comments, enabling faster and more comprehensive insight gathering for regulatory analysis. This supports compliance with legal requirements and improves the quality of public policy review.",dark_sample
62888,HHS,Autocoding to Support Adverse Drug Event Surveillance,,,b) Developed in-house,Classical/Predictive Machine Learning,Manual coding of adverse drug event reports is time-consuming and slows down the production of prevalence estimates. The AI model will automate and speed up the coding process for surveillance epidemiologists.,"The AI model will help epidemiologists quickly determine whether reported adverse drug events meet surveillance case definitions, speeding up the coding process and enabling faster, more accurate prevalence estimates for the surveillance system.",dark_sample
62934,HHS,NCHHSTP Social Media Modernization Strategy: Thought Leadership and Social Listening,,,,Natural Language Processing (NLP),"To improve communication and ensure health messaging on social media platforms is responsive to the needs of the American people. AI-powered social listening tools are increasingly used in public health to analyze public conversations and audience sentiment in real time. We are using AI social listening tools to collect and analyze publicly available social media data. We then meet with a subject matter expert to discuss this information. Insights from the meeting with the SME and KPI data obtained natively on social platforms are used to draft, publish, analyze, and optimize social media content.","We are demonstrating how integrating AI-powered social listening into a communication strategy enhances audience engagement by enabling the creation of targeted content that addresses audience concerns and contributes factual, clinical information to trending conversations. NCHHSTP messages informed by AI-driven social listening data already show a significantly higher engagement rate and impact than those created without this approach. Weekly and monthly social listening reports also indicate an increase in the positive market share of online conversations, particularly during the promotion of NCHHSTPs updated guidelines and public comment periods. Notably, the engagement rate of one of our Centers social media accounts significantly increased from 0.017% in 2023 to 1.92% in 2024, representing a 1,029% increase since this strategy was implemented.",dark_sample
62935,HHS,Lectora AI Toolkit and Microbuilder authoring tools,,,,,,,dark_sample
62944,HHS,Enhancing influenza A risk assessment rubrics: leveraging predictive correlates and machine learning from in vivo experiments.,,,b) Developed in-house,Classical/Predictive Machine Learning,"The Pathogenesis Laboratory Team (Immunology and Pathogenesis Branch, Influenza Division, NCIRD) routinely performs influenza A virus (IAV) risk assessment studies in the ferret animal model, to assess IAV pathogenicity and transmissibility in a relevant small mammalian model. However, these studies are typically performed in isolation, with minimal efforts to comprehensively examine how each biological parameter obtained from the work correlates to disease severity and virus transmissibility and how these parameters can be used as a whole to improve risk assessment efforts. We have generated large sets of data collected from 25+ years of performing these in vivo studies, to identify predictive correlates associated with pathogenicity and transmissibility outcomes, and utilized machine learning approaches to better predict the potential public health risk posed by emerging influenza A viruses.","CDCs Influenza Risk Assessment Tool (IRAT) rubric is utilized to assess the pandemic potential of novel or emerging IAV that pose a threat to human health. A better understanding of which key quantifiable metrics of virus behavior in this species are most frequently correlated with virulence or transmissibility would greatly aid CDC leadership who score viruses in this rubric to ensure contributing data from the ferret model is rigorously and accurately contextualized within these risk assessments. As the project relies solely on previously collected in vivo data, it represents a valuable opportunity to support the 3 Rs of animal research (reduction, refinement, and replacement), gathering additional information from 25+ years of research in the ferret model already conducted at CDC, thus highlighting the agencys commitment to responsible and ethical animal research. Numerous peer-reviewed publications have already resulted from this work, including development of predictive models of lethal disease and virus transmissibility, and assessment of which parameters and sample types collected during routine laboratory experimentation offer highest predictive value in these models. These first-in-field analyses also provide an analytic framework and template for subsequent studies with other data collected at CDC.",dark_sample
62959,HHS,FERRET,,,,Agentic AI,High throughput processing of unstructured data necessary for mandated reporting.,"Usage of programs to automate identification, extraction, and re-structuring of data will significantly decrease human involvement and processing time. Once deployed the time savings is anticipated to be on the scale of weeks to months.",dark_sample
62984,HHS,Review Regulatory Comments,,,,Classical/Predictive Machine Learning,(Marketplace) Public comment analysis in the Letter to Issuers (LTI) and Notice of Benefits and Payment Parameters (NBPP) to streamline review of  comments.,Identify trends in responses from commenters in policy and operational issues proposed by CMS.,dark_sample
63027,HHS,RADV Medical Record Review,,,,Classical/Predictive Machine Learning,(Marketplace) RADV entails the review of enrollees' medical records to determine if diagnoses submitted to CCIIO for purposes of calculating RA transfers actually exist. This medical record review is time- and resource-intensive for KPMG (and therefore CCIIO).,Improve efficiency of medical record review by flagging diagnoses for KPMG coders to review.,dark_sample
63029,HHS,SBC Content Review,,,,Classical/Predictive Machine Learning,"(Marketplace) The SBC Content Review identifies cost-sharing discrepancies between the Plans and Benefits Template and SBC Form. If there are discrepancies in the numerical values input in the two data sources, reviewers must manually review the ""Limitations, Exceptions and Other Information"" in the SBC Form to assess if a true discrepancy exists.  The purpose of the proposal is to integrate large language models (LLM) to programmatically review qualitative data in the SBC Form.",Improve efficiency of SBC Form review.,dark_sample
63092,HHS,AI-Powered Assistant for Pathogen Detection (AIPD),,,,Generative AI,"The AIPD is designed to address several key challenges in data analysis for foodborne pathogens, such as accessibility barriers for data sources, manual workflow overhead, knowledge gaps in tool selection, and complex project management.","The expected benefits include enhanced data analysis efficiency, improved food safety surveillance, better resource utilization, and knowledge transfer and training.",dark_sample
63100,HHS,AI-Enhanced High-Dimensional Matrix Dataset Trend and Correlation Analysis,,,,Classical/Predictive Machine Learning,"High-dimensional datasets present analytical challenges that exceed traditional statistical methods' capabilities, limits the ability to extract meaningful insights from complex regulatory data structures, and hinders evidence-based regulatory science advancement.","Discovery of previously unidentified patterns and correlations in regulatory data, enhanced research productivity supporting HHS/FDA legal mandates and mission, improved data utilization efficiency maximizing taxpayer investment, advancement of regulatory science through sophisticated analytical capabilities, and development of innovative approaches to complex data analysis challenges.",dark_sample
63114,HHS,Scholar Match,,,,Generative AI,"The current candidate evaluations and placement process is complex and challenging for both analysts and participants. By enhancing this process with AI/ML support could optimize resource allocation and candidate satisfaction, significantly impacting workforce distribution and efficiency in critical health areas.",This would improve the process of matching NHSC and Nurse Corps Scholars going into clinical service in underserved communities.,dark_sample
63122,HHS,Program Reporting  System Knowledge base Chatbot,,,,Generative AI,"Help users get relevant information quickly instead of in lengthy manuals, FAQs, or scattered documentation and reduce support cost.","Provides instant, accurate answers to user queries, reducing the time spent searching for information.  Additionally, it reduces call center support costs and minimizes the number of calls from grantees seeking system help, improving operational efficiency.",dark_sample
63130,HHS,Autism Spectrum Disorder (ASD) Classification Model for Children using Deep Neural Network,,,,,,,dark_sample
63176,HHS,AI Software for Conference/Workshop Summaries,,,,,,,dark_sample
63184,HHS,cryoDGRN,Open Source,,a) Purchased from a vendor,Computer Vision,Prediction of protein flexibility and variability,Software that is used to evaluate protein flexibility and variability in the dataset (https://github.com/zhonge/cryodrgn). This tool is utilized by the Cryo-EM core in support of research projects within NIEHS DIR and DTT laboratories.,dark_sample
63188,HHS,Dual Use Research of Concern (DURC) Categorization LLM,,,,,,,dark_sample
63204,HHS,eSlate Bot,,CSR_ E-Slate (CSR E-Slate),b) Developed in-house,Generative AI,This tool answers questions using genAI by pulling information directly from the eSlate nomination packages.,CSR leadership can make quick decisions about slate approval and make any further improvements to slate review process,dark_sample
63230,HHS,AI-generated podcast describing recent advances in methods for analysis of RNA-seq data,,,,Generative AI,Genomic analysis is a rapidly evolving field with advances in analytical methods arising frequently. This makes it difficult to stay on top of new techniques.,Improved understanding of new genomic analytical methods,dark_sample
63235,HHS,Determining how federal pain resarch has responded to the Federal Pain Research Strategy.,,,,Classical/Predictive Machine Learning,"The IPRCC has asked NIH to evaluate if all FPRS priorities are being addressed by NIH research. The task would require staff to categorize over 6000 grants into up to 13 FPRS priority areas. A single staff member can curate 5 grants per hour using these parameters, and agreement among staff members is approximately 30%. Therefore, we are carrying out this project using ML to be able to complete the project in a timely manner and without the need of significant staff time investment. It will identify areas of research that require staff to investigate further, instead of having staff curate the whole portfolio.",Allow staff to complete the analysis requested by the IPRCC without the need for grant by grant curation of the entire Federal Pain Research Portfolio,dark_sample
63313,NASA,MADI - Strategic Foresight and Knowledge Management infrastructure for ARMD/TACP/CAS,,,,Natural Language Processing (NLP),"The CAS Discovery team is developing, testing and using digital infrastructure to meet the pace of expected deliverables in an automated, efficient, collaborative manner, including taking advantage of AI/ML capabilities.","A digital infrastructure would enable a curated problem database. It is essential to minimize rework due to not being able to find previous data, information, and analyses and having to repeat past work. This type of infrastructure would be adaptable to other innovation areas at NASA, especially those that are working in “problem space” rather than technology development space. In addition MADI is able to speculate on futures and generate scenarios. MADI is also able to provide recombinant innovation support to identify ways to use archived technologies and proposals in new ways.",dark_sample
63314,NASA,Applying machine learning techniques to enhance the sensitivity and selectivity of multifunctional sensor platform,,,,Classical/Predictive Machine Learning,"This work applies machine learning techniques to enhance the sensitivity and selectivity of the multifunctional sensor platform, a very small circuit board which includes multiple tiny sensors producing a variety of data.",Applying machine learning techniques to enhance the sensitivity and selectivity of multifunctional sensor platform,dark_sample
63318,NASA,Deep Learning for Communication-Limited Spacecraft,,,,Classical/Predictive Machine Learning,"The objective of this project is to investigate the feasibility of applying deep-learning algorithms to communication-limited spacecraft, an operational domain where a slow, restricted, or intermittent downlink bottleneck inhibits the generation of large training datasets on the ground. With novel complex sensors generating ever-increasing amounts of data, it is imperative to be able to autonomously and robustly classify scientifically useful data to maximize scientific utility per bit transmitted to the ground. This project studies two classification approaches, including supervised transfer learning and unsupervised feature extraction followed by clustering, to optimize selection of data products for download.",Deep Learning for Communication-Limited Spacecraft,dark_sample
63337,NASA,Portable flow inferencing device using Fourier Ptychography and Deep Learning for detection of biosignatures,,,,Computer Vision,This work is on a portable flow inferencing device using Fourier Ptychography and Deep Learning for detection of biosignatures based on sensors from NASA space probes.,Portable flow inferencing device using Fourier Ptychography and Deep Learning for detection of biosignatures,dark_sample
63374,NASA,Adaptive Neural Network Molecular Dynamics,,,,Classical/Predictive Machine Learning,"ML approach, based on artificial neural networks (ANNs) is used in atomistic simulations to efficiently reproduce the very complex energy landscape resulting from the atomic interactions in materials with the accuracy of the more expensive quantum mechanics-based calculations.","ML approach, based on artificial neural networks (ANNs) is used in atomistic simulations to efficiently reproduce the very complex energy landscape resulting from the atomic interactions in materials with the accuracy of the more expensive quantum mechanics-based calculations.",dark_sample
