use_case_id,agency,use_case_name,vendor_name,system_name,development_type,ai_classification,problem_statement,expected_benefits,candidate_products,matched_catalog_vendor,pre_classification
61707,DOE,OpenText for Records Management (Email Auto-Classification),,,,,,,,opentext,medium_signal
61812,DOE,Continuous Structure Descriptors for XANES Interpretation,,,,Classical/Predictive Machine Learning,Seeking a continuous local structure motif that correlates to X-ray spectral signatures,Seeking a continuous local structure motif that correlates to X-ray spectral signatures,Descript (via 'Descript'),descript,medium_signal
61954,DOI,Computationally efficient emulation of spheroidal elastic deformation sources using machine learning [2024 INV#WO0000000109302],,,Developed in-house,Classical/Predictive Machine Learning,"analytical models are fast but can be inaccurate as they do not correctly satisfy boundary conditions for many geometries, while numerical models are slow and may require specialized expertise and software",we trained supervised machine learning emulators (model surrogates) based on parallel partial Gaussian processes which predict the output of a finite element numerical model with high fidelity,,elastic,medium_signal
61966,DOI,"Deep Learning application for automated mapping of surficial landforms, surficial geological deposits, and abandoned mine sites from lidar-derived topography [2024 INV#WO0000000109153]",,,Developed in-house,Classical/Predictive Machine Learning,"mapping of surficial landforms, surficial geological deposits, and abandoned mine sites",automation of mapping,,site,medium_signal
61978,DOI,"Extracting robust, searchable data from narrative geologic descriptions [2024 INV#WO0000000109022]",,,Developed in-house,Generative AI,"Extracting robust, searchable data from narrative geologic descriptions",time savings,Descript (via 'Descript') | Aretec SEARCH (via 'SEARCH'),descript,medium_signal
61993,DOI,Wave runup and total water level observations from time series imagery at several sites with varying nearshore morphologies [2024 INV#WO0000000108262],,,Developed in-house,Computer Vision,separation (segmentation) of land and water in images,ability to compare actuals to forecasted water levels,,site,medium_signal
62001,DOI,Data-driven approaches to filling missing time-series data within the San Francisco Bay-Delta [2024 INV#WO0000000107683; INV#WO0000000107488],,,Developed in-house,Classical/Predictive Machine Learning,"Environmental time-series data may suffer from gaps at a variety of time scales, significantly reducing the number of observations to understand phenomena, identify change, calibrate models, and predict future behavior.",filling in missing time-series data,,cisco,medium_signal
62002,DOI,Seabird and Marine Mammal Surveys Near Potential Renewable Energy Sites Offshore Central and Southern California [2024 INV#WO0000000107535],unkown,,Purchased from a vendor,Computer Vision,"Using rapidly developing machine- learning (ML) techniques, the USGS WERC team is developing new methods to automate the detection and counts of seabirds and marine mammals from digital imagery.",time and cost savings,,site,medium_signal
62014,DOI,Remote sensing of particulate and filter passing mercury species: models and proxies,,,,Classical/Predictive Machine Learning,AI provides the framework for understanding the relationship between optical water quality parameters and non-optical contaminants to develop highly accurate remote sensing models for mercury from satellite images and field measurements,"Synoptic, spatially cohesive maps of mercury distribution in surface water",,articulate,medium_signal
62048,DOI,Animas River Metals Surrogate,,,,Classical/Predictive Machine Learning,"Estimating metal concentrations in the Animas River near Cedar Hill, NM.",Increase metal concentration temporal resolution by reducing the need to physically sample surface waters within the river system.,,meta,medium_signal
62062,DOI,Accelerating scientific discovery through AI-driven literature synthesis and meta-analysis using large language models [2024 INV#WO0000000201793]],,,,Natural Language Processing,"A team of USGS researchers are conducting a review of literature on drought and its affects on the western United States. Due to a large volume of literature, we are using AI to facilitate an efficient and reliable literature synthesis that can inform decision-making. These include effectively ranking most relevant literature to questions, identifying gaps in the literature, identifying data gaps, and coalescing currently known information.","These efforts will help expedite reviewing thousands of scientific studies that can support the project, but also support future efforts of compiling relevant information for NEPA planning or related tasks.",Aretec SEARCH (via 'SEARCH'),litera,medium_signal
62063,DOI,Enhancing U.S. critical mineral supply chains through AI and remote sensing mapping of legacy mine sites and tailings,,,,Reinforcement Learning,"There is growing interest in producing critical minerals and energy-related commodities within the United States to reduce dependence on foreign sources. However, many legacy mine sites remain poorly documented, with unknown locations, extents, and conditions, limiting opportunities to reassess the potential for extracting valuable materials from existing tailings and waste piles.","develop a scalable, data-driven framework for identifying and prioritizing legacy mine sites with potential for critical mineral recovery. offers a cost-effective, repeatable method for improving national inventories of mine waste and tailings",,site,medium_signal
62236,DOJ,Percipio Skillsoft,,,,Generative AI,Helps employees identify relevant training courses.,Interactive tool customizes learning environments for the workforce's individual needs.,Custom In-House AI (via 'Custom'),skillsoft,medium_signal
62283,DOJ,Thomson Reuters Drafting Assistant Tool for MS Word,,,,,,,,thomson reuters,medium_signal
62315,DOJ,Adobe,,,,Generative AI,"DOJ needs to communicate effectively internally and externally. This tool, can support image production for communication purposes.",Adobe has function that enables the generation of images. PAO does not use this function/feature.,,adobe,medium_signal
62329,DOJ,UiPath OCR activity,,,,Generative AI,Errors and delays in manual data interpretation and data entry impact critical events in customer journeys and business process efficiency. UiPath states that it is an automation software that has intelligent document creating capabilities to replace manual processes before and after the reading of the flat file. Some of its stated features are extracting text and allowing entire workflows to take place in a single application with one application license.,"Automating data extraction from various documents and images, thereby increasing efficiency, accuracy, and speed in processes that involve manual data entry and document processing.",Custom In-House AI (via 'Custom'),uipath,medium_signal
62332,DOJ,Open Source Investigative Tool,Vendor proprietary,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Natural Language Processing (NLP),USMS uses this tool for authorized investigative lead generation which will improve efficiencies of public safety and law enforcement missions.,More efficient screening of leads for potential investigative actions.,,open source,medium_signal
62339,DOJ,UiPath Document Understanding,,,,Generative AI,"Reduce errors and delays in manual data interpretation and data entry. Potential for significant time savings, additional security and reliability since staff are not working through multiple applications to get the same task done.","Use case  helps improve customer experience. It simplifies the processing of complex, unstructured data, expediting decision-making processing, onboarding, and servicing. Automating document processing also reduces the risk of errors. By mitigating the risk of human error, data input errors, missed information, and incorrect procedures are less likely to occur. The result is improved compliance, reduced time people spend on rework, and less losses for the agency.",Custom In-House AI (via 'Custom'),uipath,medium_signal
62414,DOJ,Bloomberg (AI Assisted Legal Research),,,,Natural Language Processing (NLP),Provides AI-assisted research to help streamline legal research and document review.,Increases the speed at which attorneys can review and evaluate case law to determine if it is applicable to their current investigations.,Aretec SEARCH (via 'SEARCH'),bloomberg,medium_signal
62461,DOL,Website Chatbot Assistant,,,,,,,,site,medium_signal
62512,DOT,Human Performance Taxonomy labeling,,,No contract/external resources used in development.,Other,to label radio communication transcripts according to the HP Taxonomy labeling system.,,,axon,medium_signal
62550,DOT,Using Generative AI to Automatically Tag Narratives with Human Performace Common Taxonomy Factors,,,Developed with a combination of in-house and contract/external resources.,Generative AI,"Using genAI, automatically tag text narratives from Comprehensive Electronic Data Analysis and Reporting (CEDAR) Mandatory Occurrence Reports (MOR's) with factors from Human Performance Common Taxonomy (HP CT) at scale and with significant speed up.",,,axon,medium_signal
62626,EPA,Living Literature Review: Semi-automated Literature Screening,,,b) Developed in-house,Classical/Predictive Machine Learning,"The Agency conducts reviews of scientific literature in many contexts, including periodic revision of NAAQS as mandated by the Clean Air Act, other standards, but also one-time assessments of published evidence. Given the scope of some of those reviews and the very large of peer-reviewed articles to consider, a system was required to rank and prioritize them for faster screening, based on past reviews and ongoing expert criteria.","Faster, more responsive evidence reviews.",,litera,medium_signal
62639,FDIC,AI Assisted Data Collection,,Microsoft Power Apps,b) Developed in-house,Computer Vision,"The current process to extract structured data from bank provided PDF documents of consumer loan applications takes FDIC personnel a significant amount of time to manually transcribe data from PDF loan applications, leading to delays, high error rates, and increased costs. The AI solution is intended to automate data extraction, reducing transcription errors and enabling faster, more accurate collection of loan application data.","The FDIC will more effectively and efficiently utilize its examination resources by reducing manual components of data collection, reducing data transcription error rates and increasing speed of data collection.",,microsoft,medium_signal
62667,FDIC,New Offsite Models,,ViSION,b) Developed in-house,Classical/Predictive Machine Learning,This machine learning (ML) model is intended to identify banks most likely to be downgraded at or before the next examination.,An improved methodology of identifying potential downgrades for use in our quarterly offsite review program.  This provides information on potentially deteriorating financial conditions in the better rated banks across the country.,,site,medium_signal
62782,GSA,Category Taxonomy Refinement Using NLP,,,,Natural Language Processing (NLP),"The AI is designed to address the challenge of maintaining an accurate, scalable, and contextually relevant taxonomy classification system for agency data. Traditional manual classification methods are time-consuming, prone to inconsistency, and difficult to scale across large datasets. By using Natural Language Processing (NLP), the AI automates and refines the categorization of content, ensuring that data is consistently and accurately classified according to evolving standards and organizational needs.",,,axon,medium_signal
62791,GSA,Lot Description Generation,,,,Generative AI,"The AI is intended to solve the problem of simplifying sales creation and the lotting process by automatically generating lot descriptions. This will reduce sales contracting officer time, minimize manual errors, and help sell assets more quickly.",,Descript (via 'Descript'),descript,medium_signal
62793,GSA,PPMS - Decode Image to Generate Property Description,,,,Computer Vision,"The AI aims to simplify the sales creation and property reporting process for GSA by automating the drafting of GSAAuctions sale descriptions and filling in property details from images. This addresses challenges such as manual data entry time, human error in property reporting, and the impact of personnel losses.",,Descript (via 'Descript'),descript,medium_signal
62799,GSA,Elastic Machine Learning Threat Detection (Phase 1),,,,Classical/Predictive Machine Learning,"The AI is intended to solve the problem of identifying and detecting threats within system logs. By utilizing Elastic Machine Learning and Amazon SageMaker, the system performs time series analysis on log data to proactively identify potential security breaches or anomalies that might otherwise go unnoticed. This continuous analysis aims to enhance the overall security posture of GSA IT.",,,elastic,medium_signal
62864,HHS,Adverse Childhood Experiences (ACEs) Literature Review Dashboard,,,,,,,,litera,medium_signal
62877,HHS,SewerScout: Automated on-site sewage facility detection from aerial imagery to identify failed systems,,,,Computer Vision,"To automate the identification of onsite wastewater systems and detect failed systems using aerial imagery, enabling public health departments to efficiently locate and assess septic systems without resource-intensive field visits.","The project will allow state, tribal, local, and territorial public health departments to more easily identify failing septic systems, address contamination risks, and improve disaster response by providing a ready catalog of systems. This will save time and resources compared to manual surveys, especially in rural and remote areas.",,site,medium_signal
62884,HHS,Malaria parasites DNA barcode geography classification,,AMD (Advanced Molecular Detection Scientific Computing Platform),b) Developed in-house,Classical/Predictive Machine Learning,"To complement epidemiologic investigations of domestic malaria cases by determining the geographic origin of malaria parasite strains, helping to understand how the strain entered the US.","This AI supports epidemiological investigations by providing rapid, automated classification of malaria parasite genotypes to geographic origins. This enhances the ability to track and respond to malaria cases, especially those domestically acquired, and supports public health interventions.  For more information, see the manuscript:?https://journals.asm.org/doi/full/10.1128/aac.01203-24",,site,medium_signal
62899,HHS,Genetic distance computation method for comparing complex multi-locus parasite (Cyclospora) genotypes,,AMD (Advanced Molecular Detection Scientific Computing Platform),b) Developed in-house,Classical/Predictive Machine Learning,"Investigating the similarity of infections for epidemiologic investigations of cyclosporiasis outbreaks. The method enables clustering and comparison of complex genotypes, which are too large and complex for traditional methods, to identify related infections during outbreak tracking.","The AI enables analysis of massive genotype datasets, facilitating rapid and accurate identification of infection clusters. This supports epidemiologic investigations and traceback for cyclosporiasis and other parasites, improving outbreak response and public health interventions.",,site,medium_signal
62900,HHS,MedCoder - Coding literal text cause of death information reported on death certificates to ICD-10,,National Vital Statistics System (NVSS),b) Developed in-house,Natural Language Processing (NLP),"Automating the coding of literal text causes of death from death certificates to ICD-10 codes, improving accuracy, efficiency, and timeliness of mortality data for public health surveillance.","MedCoder increased the percentage of deaths that can be automatically and accurately coded from 70-75% to over 85%, resulting in substantial cost savings (hundreds of thousands of dollars) and significantly enhancing the timeliness of data for urgent public health concerns (e.g., COVID, drug overdose deaths), enabling near real-time surveillance.",,litera,medium_signal
62901,HHS,NCIRD SmartFind ChatBots - Public and Internal,N/A,Microsoft,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"Improving efficiency and effectiveness of internal partner mailbox email management and knowledge base maintenance for program staff, and previously, providing public-facing answers to FAQs.","The internal Knowledge-Bots SharePoint component helps program staff manage partner emails more efficiently and effectively, enabling shared knowledge base use across mailbox managers. The public-facing chatbots previously provided timely, agency-cleared answers to public and partner questions, supporting rapid information dissemination during the COVID-19 pandemic.",,microsoft,medium_signal
62915,HHS,Automating the distribution of CDC-State Department cables using AI models in the Global Health Center,N/A,Microsoft,c) Developed with both contracting and in-house resources,Agentic AI,"The output from the AI system is the automated and timely distribution of CDC-State Department cables. It delivers accurate, formatted messages directly to the intended recipients within seconds, ensuring fast and reliable communication without manual intervention.","This AI use case reduces cable distribution time from 24 hours to 30 seconds, greatly speeding up communication. It saves staff time, improves accuracy, and helps the CDC respond faster to health threats, supporting its mission to protect public health effectively.",,microsoft,medium_signal
62922,HHS,Machine Learning Techniques for Early Detection and Situational Awareness of Rabies Outbreaks,,Microsoft,b) Developed in-house,Classical/Predictive Machine Learning,"Rabies is enzootic in wildlife and modern-day surveillance techniques are too weak to fully capture the geographic extent of outbreaks nor early outbreak detection. Our ML algorithm uses public health surveillance data to ""fill in the gaps"" inherent in wildlife disease surveillance programs to accurately and rapidly detect outbreaks and deploy public health resources.","This model is currently being using in domestic and international settings for early rabies outbreak detection. This information is shared with relevant public health authorities to initiate preventive actions which often include: public awareness campaigns/social media, deployment of vaccines for animals and people, deployment of testing reagents to bolster surveillance.",Aware Biometrics (via 'Aware'),microsoft,medium_signal
62950,HHS,Site Audit AI Support (SAAIS) App,,,,Natural Language Processing (NLP),"NIOSH conducts numerous post-market activities to ensure that respirator configurations approved by NIOSH remain protective. Among these activities are audits of the manufacturing sites where the approved products are produced. These audits involved detailed evaluations of sites against quality assurance plans approved by NIOSH. Site are audited every few years and, thus, previous reports of nonconformances may be of particular interest to auditors.   SAAIS is a prototype application being developed as an AI use case to inform:  1. CDC Office of the Chief Information Officer (OCIO)s implementation strategy for cloud-based enterprise services standalone AI tools and AI-enhanced systems   2. The specific enterprise approach, AI tools, and training techniques to be used by Respirator Approval System (RAS) developers when AI enhancements are eventually added following the completion of the base system within the Power Platform enterprise system.",Reduced time and errors and greater consistency related to audits of manufacturing sites used to produce NIOSH Approved respirators.,,site,medium_signal
62961,HHS,Federal Select Agents Program (FSAP) Customer Agent,,Microsoft,b) Developed in-house,Natural Language Processing (NLP),"FSAP users need support on the use of the FSAP system. Completing forms, managing entities, agents, and toxins. Updating permits, correcting data, conducting inspections, and related activities. The FSAP Customer Agent will provide answers to questions as users navigate the FSAP process.",Support will be provided to users without additional staffing requirements. Users will get fast and accurate solutions to questions instantly.,Custom In-House AI (via 'Custom'),microsoft,medium_signal
63116,HHS,Site Application Analysis,,,,Generative AI,"The current application review process requires internal analysis to review many complex documents to determine Site Eligibility to employ a member of the NHSC or Nurse Corps. By enhancing this process with AI/ML support could revolutionize and streamline the NHSC, Substance Use Disorder Treatment and Recovery (STAR)and Nurse Corps Site Application Process.","This would improve the current highly manual process for reviewing Site applications for internal analysts but ensure that clinical sites are being approved for NHSC, Nurse Corps, and STAR LRP.",,site,medium_signal
63144,HHS,individual Functional Activity Composite Tool (inFACT),,,,,,,,site,medium_signal
63170,HHS,Synonymy prediction in the UMLS Metathesaurus,,,,,,,,meta,medium_signal
63236,HHS,Transformer-Based Metadata Alignment Workflow,,,,Generative AI,Inconsistent data elements and differing definitions in glossaries of metadata structures across research data ecosystems hinder interoperability and FAIR-aligned reuse.,"Speed improvements in metadata harmonization across ecosystems, enabling more discoverable, reusable, and interoperable datasets to support secondary research, cross-program analysis, and interdisciplinary biomedical discovery. Enhances readiness for large-scale AI/ML applications by providing scalable semantic alignment capabilities and strengthening metadata infrastructure.",Aretec SEARCH (via 'SEARCH'),meta,medium_signal
63241,HHS,Generating Metadata for Web Archive Resources,,,,Generative AI,Time-intensive process needed to generate accurate and descriptive metadata about web resources,"More consistent, reliable, accurate and publicly available information about resources",Descript (via 'Descript'),meta,medium_signal
63242,HHS,Incorporating External Information into Taxonomy,,,,Natural Language Processing (NLP),Time consuming and inefficient process of reading journal articles and manually copying new organism names from those articles into internal databases,Reduced time spent manually reading journal articles to find novel organism names and manually entering those names into internal database,,axon,medium_signal
63286,NARA,Auto-fill of Descriptive Metadata for Archival Descriptions,N/A,N/A,b) Developed in-house,Generative AI,"The AI is intended to solve the problem of the ""descriptive gap"" created by labor-intensive manual cataloging by automatically generating metadata and summaries from document content, allowing NARA to process massive backlogs and make millions of records instantly searchable for the public.","NARA is using AI to automatically create descriptions (metadata) for its digital archives. This will save archivists time, make records easier to find, and help the public better understand the information in the National Archives Catalog.",Descript (via 'Descript') | Aretec SEARCH (via 'SEARCH'),descript,medium_signal
63315,NASA,Artificial Intelligent Co-Processor Slice with Google Coral TPU For Automated Onboard Data-Product Generation,,,,Classical/Predictive Machine Learning,"The Objective of this proposal is to enable the use of state-of-the-art, experimental, artificial-intelligent (AI) microchip architectures such as the Google Coral TPU (Tensor Processing Unit) on a SmallSat platform.",Artificial Intelligent Co-Processor Slice with Google Coral TPU For Automated Onboard Data-Product Generation,,google,medium_signal
63387,NASA,Identifying flaws in manufacturing of composites,,,,Computer Vision,Inspection for manufacturing flaws makes up 40% of fabrication time so if that time could be reduced it would have a significant impact on overall manufacturing time.  That doesn’t even take into account the benefits of finding flaws that were previously undetectable by the current technique of visual inspection.,Inspection for manufacturing flaws makes up 40% of fabrication time so if that time could be reduced it would have a significant impact on overall manufacturing time.  That doesn’t even take into account the benefits of finding flaws that were previously undetectable by the current technique of visual inspection.,,site,medium_signal
63399,NASA,Probabilistic calibration framework for finite element thermal process modeling of metallic additive manufacturing. Application to promote certification/qualification of load critical aerospace flight parts.,,,,Classical/Predictive Machine Learning,Application of active learning paradigm to efficiently develop Gaussian Process Regression surrogate where run time for the target finite element thermal process model is significant.  Fully trained surrogate is then used by monte carlo process to develop probabilistic distribution of finite element model calibration variables which result in finite element model predictions that are in line with input empirical measurement distributions.,"In short, this technique enables the robust and efficient calibration of a model simulating the manufacture of metallic parts by additive manufacturing.  This is important because pure simulation of these processes is not possible without calibration due to large uncertainties in fundamental physical and material properties currently available due to the nature of the manufacturing process.  The inherent variation in mechanical properties of parts produced using metallic additive manufacturing result in significant challenges to certification/qualification for flight.  The goal is to alleviate these challenges with better probabilistic quantification of the fundamentals resulting in this inherent variation, thus promoting further adoption of this fledgling manufacturing technique by industry within the aeronautics industry.",,meta,medium_signal
63406,NASA,GCMD Keyword Recommender (GKR),,MMT (Metadata Management Tool),b) Developed in-house,Natural Language Processing (NLP),Natural Language Processing-based science keyword suggestion tool,Natural Language Processing-based science keyword suggestion tool,,meta,medium_signal
63507,NASA,"Development of real-time high-resolution air quality maps through combination of model output, satellite data, and ancillary Google datasets",,,,Classical/Predictive Machine Learning,"Development of real-time high-resolution air quality maps through combination of model output, satellite data, and ancillary Google datasets","Development of real-time high-resolution air quality maps through combination of model output, satellite data, and ancillary Google datasets",,google,medium_signal
63711,NASA,Gap-filled and downscaled vegetation composited index derived from satellite optical observations,,,,Classical/Predictive Machine Learning,This project is in partnership with ARC and GeoNEX under the Ecological Conservation NASA Earth Action program. It seeks to leverage Harmonized Landsat Sentinel-2 (HLS) data to provide gap-filled/downscaled NDVI composite using NASA's Prithvi model.,This project is in partnership with ARC and GeoNEX under the Ecological Conservation NASA Earth Action program. It seeks to leverage Harmonized Landsat Sentinel-2 (HLS) data to provide gap-filled/downscaled NDVI composite using NASA's Prithvi model.,,site,medium_signal
63824,SEC,Agentic Knowledge Base of Amazon Web Services Cloud Environment for the Securities and Exchange Commission (ACES),,ACES,b) Developed in-house,Generative AI,Retrieving and Summarizing support FAQ information,The AI system will look for relevant historical FAQs and Compliance Best Practices to present to Cloud Engineers using the ACES platform,,amazon web services,medium_signal
63828,SEC,Create description of documents for records management in sharepoint,,,,Generative AI,Creating descriptions and other record keeping metadata on documents.,Reduce the amount of time manually writing descriptions of documents.,Descript (via 'Descript'),descript,medium_signal
63981,TVA,Cisco ML,,,,,,"Insights, Increased efficiency, increased productivity",,cisco,medium_signal
64049,Treasury,Open source Python library and models for NLP,N/A,N/A,Purchased from a vendor,Natural Language Processing (NLP),"Text analytics- process, analyze, and understand text",DNP program needs to add a technology request to GEM for an open-source Python library and models from vendor.,,open source,medium_signal
64178,USDA,DS Hub Geo-metadata generation,,,,Generative AI,"The purpose of this AI use case is to generate metadata for Natural Resources Conservation Service (NRCS) datasets, ensuring consistency, accessibility, and compliance through generative AI.","Expected benefits include increased data accessibility, reduced manual workload, minimized errors, better dataset understanding, and fast data retrieval for stakeholders.",,meta,medium_signal
64221,USDA,NWRC Genetics Metadata,,,b) Developed in-house,Classical/Predictive Machine Learning,"Assist with data processing, convert data to standard format for publication, infer origin populations",Time savings for employees is the main expected benefit,,meta,medium_signal
64236,USDA,Digital Soil Mapping,,The R Project for Statistical Computing; Arc Soil Inference Engine; System for Automatic Geoscientific Analyses; Google Earth Engine; Google Compute Platform,b) Developed in-house,Classical/Predictive Machine Learning,"The purpose of this project is to implement new soil map products at local, regional, and national scales to provide more explicit soil information than traditional soil mapping products.","The expected benefits are that AI streamlines the data development process, creates more consistent and detailed maps, and provides objective estimates of uncertainty to support conservation activities, decision makers, and environmental modelers.",,google,medium_signal
64413,VA,Surveillance and Reporting of Suicidal Ideation Assessment in PTSD Specialty Care Clinical Notes using Natural Language Processing (NLP),,,,"Natural Language Processing: AI that processes, interprets, and shares information in human language.","In light of the known elevated suicide risk among individuals diagnosed and in treatment for mental health conditions, and the associated need for ongoing monitoring of suicidality in this population, we are proposing to surveil and monitor nationally both the conduct and quality of suicide ideation (SI) assessment during treatment in PTSD specialty care. Our methods entail the use of natural language processing (NLP) of progress note documentation of treatment being conducted in the PTSD Clinical Team (PCT) specialty care clinics, to identify SI mentions, to quantify consistency of documented SI assessments by providers, and to classify SI mentions with respect to their clinical quality. We will report SI assessment rates nationally with break downs by VISN and facility to support administrative monitoring. This use case will help to identify rates of failure of mental health providers to conduct or document ongoing suicide risk screening throughout the conduct of mental health treatment for PTSD.",Enhance VA system monitoring of suicide risk screening in a population at increased risk for suicide,,ideation,medium_signal
64555,VA,Articulate 360: AI Assistant,,,a) Purchased from a vendor,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).","The ability to efficiently and quickly create interactive and engaging eLearning for VBA claims processors. Engaging eLearning helps reduce instructor burden and time in traditional classroom settings, which increases productivity. Efficient training development also helps reduce instructional design burden, especially amidst decreased hiring abilities.","The Articulate AI Assistant helps build more engaging eLearning courses in a timely manner. The AI assistant can help generate text to voice audio, create images, create outlines, create polls/quizzes, etc. This enhances the end-user experience of training and increases efficiency in training development, which in turn provides cost savings related to the amount of time taken to develop training.",,articulate,medium_signal
64560,VA,UiPath Document Understanding,,,a) Purchased from a vendor,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,This tool has the ability to intelligentially pull data from different types of documents and transfer that to other applications so that a human does not have to.  It makes this type of input be more accurate and can be run 24/7/365 if needed leaving the staff to help with forms/documents that cannot be interpreted by the automated system.,This tool helps with the allowing the staff to focus on higher decision making processes instead of data input.  It increases the efficiency of a process by not introducing errors.  It can be a cost avoidance tool when the process it is part of incurs extra fees for this type of work.,,uipath,medium_signal
64561,VA,Axon Body Camera and DMS - OSSO,,,a) Purchased from a vendor,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).","AI is used to aid in Redaction of recorded Video footage and recorded Audio footage. Additionally, AI is used via transcribing recorded videos.","AI assisted redaction cuts down on the manpower costs to speed up the process of redacting recorded footage. The redaction protects individual's privacy. Additionally, AI is used in transcribing recorded audio this removes the requirements of a FTE to complete this process.",,axon,medium_signal
64603,VA,Clinical Key | Elsevier,,,,,,,,elsevier,medium_signal
64636,VA,VA Chat Copilot Meta Pilot,,,,,,,,meta,medium_signal
64650,VA,Microsoft Power Automate and AI,,,,,,,,microsoft,medium_signal
64654,VA,Adobe Creative Cloud,,,,,,,,adobe,medium_signal
