use_case_id,agency,use_case_name,vendor_name,system_name,development_type,ai_classification,problem_statement,expected_benefits,candidate_products,pre_classification
61237,DHS,Facial Recognition for Investigations of Child Sexual Exploitation and Abuse,Law Enforcement Sensitive (LES),Law Enforcement Sensitive (LES),a) Purchased from a vendor,Computer Vision,This use case intends to solve the problem of identifying unknown victims and offenders depicted in child sexual abuse material.,"The tool helps more quickly identify previously unknown victims and offenders who might not be discovered through manual investigative methods alone. By highlighting potentially relevant photographs or profiles across publicly available online images, it can accelerate victim identification and rescue efforts and support the disruption and prosecution of offenders who might otherwise remain undetected.",,high_signal
61238,DHS,Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening.,"Leidos, Rohde & Schwarz",,a) Purchased from a vendor,Computer Vision,Increase passenger throughput via improve detection performance and decreasing alarm rates and passengers touch rates by 50%,"The purpose is to reduce alarm rates while providing increased passenger throughput and experience.  Utilizes Machine Learning (ML) to improve detection performance while decreasing alarm rates and passengers touch rates. The algorithm is gender agnostic which no longer requires officers to select a passengers gender prior to being scanned. Advanced imaging technology (AIT) throughput and AIT utilization have increased with this new algorithm. Note: Once the algorithm is trained, it is locked down and no longer learning.",,high_signal
61239,DHS,Credential Authentication Technology with Camera System (CAT-2) and AutoCAT (CAT-2 in an e-gate form factor),"IDEMIA Identity, Security USA LLC",STIP/CAT,a) Purchased from a vendor,Classical/Predictive Machine Learning,Improving the detection of imposters.,"The Transportation Security Administration (TSA) uses AI-based, one-to-one (1:1) and one-to-many (1:n) facial matching technologies at some checkpoints to assist human reviewers with traveler identity verification. The purpose and expected benefits of the technology include increased speed and accuracy of identity verification at the checkpoint while improving detection of imposters.",,high_signal
61241,DHS,Text Analytics Data Science Sentence Similarity Model,Inadev,Text Analytics,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"The Text Analytics capability employs machine learning and data graphing techniques to identify patterns that may indicate potential fraud, national security, and/or public safety concerns by scanning the digitized narrative sections of the associated applications and looking for common language patterns.","Text Analytics augments the tedious and time-consuming manual process to identify potential fraud, national security, and/or public safety concerns and enables the identification of such concerns across jurisdictional boundaries. It increases the integrity of immigration programs, strengthens officers’ confidence in their work, and contributes to the reduction in customer wait times.",Custom In-House AI (via 'Custom'),high_signal
61243,DHS,Verification Match Model,IBM,Verification Information System,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"By consolidating these into a single, unified Verification Match Model within a separate microservice, the use case aims to improve the accuracy of responses and reduce the need for manual review. ML plays a key role in the continuous improvement of these models, ultimately reducing the need for manual case reviews.","Leveraging AI in the USCIS verification matching process of known records across systems is beneficial because it streamlines existing USCIS review by 1) improving associated system accuracy, 2) reducing human-error by automating person-and-record match scoring, and 3) matching at a higher volume than traditional tools or manual processes can capably achieve.",,high_signal
61244,DHS,I-765 - USCIS Facial Recognition through IDENT (1:1 Face Recognition/Validation),Pluribus Digital,Customer Profile Management System,c) Developed with both contracting and in-house resources,Computer Vision,"Using the Automated Biometric Identification System (IDENT) makes this process nearly instant and greatly enhances processing efficiency without compromising the effectiveness of current identity verification methods. Additionally, new rules created by the FBI’s Compact Council require biometric verification to perform fingerprint resubmissions for different filing reasons than the original fingerprint capture. Facial verification brings USCIS into compliance with this rule change. Furthermore, performing facial verification increases the integrity of information and identities by identifying conflicts early on, preventing issues from becoming pervasive across immigration systems.",This will allow the user to complete the biometric verification requirement without having to attend an appointment at am Applicant Support Center. This reduces the burden on the beneficiary as well as reducing demands on USCIS Applicant Service Center resources.,Custom In-House AI (via 'Custom'),high_signal
61245,DHS,Person-Centric Identity Services Deduplication Model,MetroIBR,Person Centric Identity Services,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"Critical to the success of PCIS is the entity resolution and de-deduplication of individual records from various systems of records to create a complete picture of a person. Using machine learning (ML), the model can identify which case management records belong to the same unique individual with a high degree of confidence. This allows PCIS to compile a full immigration history for an individual without the need for time-consuming research across multiple disparate systems. The de-duplication model plays a critical role in the entity resolution and surfacing of a person and all their associated records. The ML models are more resilient to fuzzy matches and handle varying data fill rates more reliably.","Using Machine Learning allows us to improve entity resolution as compared to rule based system.  PCIS offers the ability to see a person's immigration history organized in one place. Specific benefits do or will include: an organized summary view of the identity with the individual's latest photo from PCIS; full immigration history including receipts associated with the applicant, regardless of case management system; mailing, physical, and safe history of the individual organized in reverse chronological order, allowing users to easily find the most recent address; and all identifiers associated with the applicant, including A-Numbers, FINs, SSNs, SSNs, ELIS account numbers, passport numbers, etc.",Aretec SEARCH (via 'SEARCH'),high_signal
61247,DHS,The Advanced Trade Analytics Platform (ATAP),"Elder Research Inc, DevTech Systems Inc., Guidehouse",ATAP,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,ATAP aims to provide insights into trends and behaviors in trade activity to support a proactive risk management and enforcement posture in the agency’s mission execution.,"To create efficiencies and unlock key insights in CBP's trade mission execution through the application of data analytics, machine learning, and AI.",Aretec SEARCH (via 'SEARCH'),high_signal
61248,DHS,Public Information Compilation for Travel Threat Analysis (Dataminr),Dataminr,Dataminr,a) Purchased from a vendor,Natural Language Processing (NLP),"Provides situational awareness of open-source social media and news reporting to enhance CBP Screening, Vetting and security of the homeland.","This tool significantly reduces the amount of time it takes for users to collect and compile commercially available open-source information when attempting to identify  possible threats related to national security, border violence, CBP facilities, CBP employee safety and other topics with a CBP-nexus involving air, sea, and land travel to and/or from the U.S.",Aware Biometrics (via 'Aware'),high_signal
61249,DHS,Airship Outpost for Conveyance Identification,Airship,TECS CLOUD,a) Purchased from a vendor,Computer Vision,"CBP must efficiently and accurately identify and document cross-border conveyances (aircraft, vessels, automobiles).","Outpost uses machine learning to identify the type of conveyance in front of the sensor camera and uses this information to determine where to capture the conveyance's identification (License plate, hull number, tail number, etc). Conveyance identifiers exist in different locations on different conveyance types. By identifying the type of conveyance, the system knows where to focus the capture mission relevant information.",,high_signal
61253,DHS,Customs Broker License Exam - Proctor Support,PDRI,,c) Developed with both contracting and in-house resources,Computer Vision,Detect potential cheating during the Customs Broker License Exam.,"The model supports remote proctoring of the exam and ensure the integrity of the testing process, by ensuring the exam is conducted under secure conditions, preventing cheating or fraud, while also verifying the identity of exam takers to confirm they meet the necessary requirements.",Custom In-House AI (via 'Custom'),high_signal
61259,DHS,Passport Anomaly Model,ManTech,Automated Targeting System (ATS),b) Developed in-house,Classical/Predictive Machine Learning,"The Passport Anomaly Model addresses challenges stemming from the lack of formal notification regarding updates to passport series, such as issuance of new series or expiration of old ones. By analyzing historical trends, the model evaluates whether a passport exhibits typical or atypical characteristics and alerts officers when further scrutiny may be warranted. This capability enhances the integrity of travel document verification by enabling CBP personnel to conduct thorough and efficient reviews, ensuring security and accuracy in the inspection process.",The model assists CBP personnel in passenger targeting and vetting by analyzing anomalies in Electronic System for Travel Authorization (ESTA) and non-ESTA country-specific traveler passports to improve the accuracy of matching and streamlining the screening process by reducing errors and enhancing the identification of high-risk travelers.,,high_signal
61261,DHS,Trade Entity Risk Model,ManTech,Automated Targeting System (ATS),b) Developed in-house,Classical/Predictive Machine Learning,The need to continuously assess and identify trade entity risk to help better assess cargo threats.,"The Trade Entity Risk model enhances existing predictive threat models by compiling a risk profile that includes historical transaction data, relationships with trading partners, and relevant compliance information. This aggregated data helps create measurable risk indicators for trade entities.",,high_signal
61262,DHS,Investigative Prioritization Aggregator,Sandia National Laboratories,Repository for Analytics in a Virtualized Environment,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,This use case intends to solve the problem of overwhelming data volumes that make it difficult for HSI personnel to prioritize high-value targets in criminal investigations.,"The sheer volume of data associated with investigations often overwhelms human capabilities, making it challenging for HSI personnel to analyze evidence and identify key players in criminal networks. Currently, there is no effective mechanism to quantify the level of evidence related to a particular subject or entity, or to determine which actors within a network are the most influential. This is particularly critical in the context of the counter-opioid/fentanyl mission, where timely and accurate intelligence is essential.  To address this challenge, this project utilizes machine learning to assign point values to data, enabling the scoring of information associated with a given selector, such as a phone number or legal name. This scoring system helps to understand the importance of an entity to investigations and the potential consequences of removing or neutralizing that entity. By doing so, HSI personnel can focus on high-priority targets and associated criminal networks, ultimately enhancing their ability to disrupt and dismantle these threats.",,high_signal
61263,DHS,Translation and Transcription for Investigative Data,Booz Allen,"Repository for Analytics in a Virtualized Environment,",c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),This use case intends to solve the problem of the time-consuming process of translating and transcribing data for investigative purposes.,"HSI investigators often encounter data from various sources, including legal and administrative processes, enforcement actions, and open-source materials, in languages other than English. To unlock the value of this data, it must be translated into English before further analysis can be conducted. The Translation and Transcription Service leverages neural machine translation (NMT) models for text translation and automatic speech recognition (ASR) and deep neural network (DNN) models with normalization for voice-to-text transcription. This innovative approach enables users to quickly triage large datasets and identify key information relevant to investigations. Any data deemed critical for court proceedings is then submitted to certified human translators for final review, ensuring that government resources are allocated efficiently and only used for necessary translations and transcriptions.",,high_signal
61265,DHS,Dark Web Threat Intelligence for Cyber Investigations,Law Enforcement Sensitive (LES),,a) Purchased from a vendor,Generative AI,"This use case intends to solve the problem of quickly identifying and summarizing relevant cyber threat data from the dark web, which can be difficult and time-consuming for analysts.","The summarized information helps analysts quickly identify threat actors, trends, and illicit platforms, enabling them to prioritize their investigative efforts. The data analysis and extraction techniques connect related information across data holdings and generate metadata to help analysts review and search results. The translation capability helps analysts identify non-English data responsive to an investigation and saves time otherwise spent translating non-responsive data.",Aretec SEARCH (via 'SEARCH'),high_signal
61269,DHS,Biometric Check-in for ATD-ISAP (SmartLINK),BI,ISAP IV (SmartLink) IATSS,a) Purchased from a vendor,Computer Vision,This use case intends to solve the problem of the need for frequent in-person check-ins for participants in the ATD-ISAP program.,"ISAP Biometric Monitoring App is a technology option that allows participants to report in using a smartphone. This app verifies a participant’s identity, determine their location, and quickly collect status change information. The app adds functionality not available with telephonic and is less intrusive than a GPS unit. ISAP monitoring app limits in-person interactions of routine check-ins, allowing more time to be allocated to non-compliant participants, complex removal proceedings cases and docket management.",,high_signal
61270,DHS,User and Entity Behavior Analytics (UEBA),CANDA Solutions,Vetting Identities for an Enterprise Workforce,a) Purchased from a vendor,Classical/Predictive Machine Learning,The Continuous Vetting Analytics Service (CVAS) sub-system in the Vetting Identities for an Enterprise Workforce (VIEW) system of record will solely be used to aggregate information provided by or authorized to be collected by an DHS applicant and then presents the aggregated information in a structured manner and present it to personnel security adjudicative specialist to help them prioritize workload and improve review processes.,"Enhanced Threat Detection: Identify patterns in user behaviors that deviate from normal baselines, signaling potential insider threats or security risks. Continuous Risk Assessment: Move from static vetting to a continuous vetting process by monitoring real-time activities and interactions with secure information. Improved Incident Response: Enable rapid responses to high-risk behaviors, escalating alerts for timely intervention by security personnel.""",,high_signal
61271,DHS,Biometrics Enrollment Tool (BET) Fingerprint Quality Check,Pluribus Digital,Biometrics Enrollment Tool,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"This effort aims to maximize the number of successful FBI submissions while minimizing the number of fingerprint recaptures necessary. The output is a Numerical Fingerprint Quality score, which is compared against fingerprint quality thresholds (per finger and per set of fingerprints) to align with FBI specifications.","BET assists in determining if the fingerprint taken is good enough quality to pass the FBI fingerprint check process. It provides immediate feedback when a set of prints is likely to be rejected by the FBI by incorporating machine learning models into the BET application. The FBI will not disclose their quality grading criteria for fingerprints, leaving BET with the responsibility of determining quality to prevent unnecessary secondary encounters with applicants.",,high_signal
61272,DHS,Automated Name and Date of Birth (DOB) Harvesting Service,SAIC and DV United,ELIS,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Adjudicators spend significant amount of time manually harvesting aliases and dates of birth (DOBs) from identity history summary (IdHS) report attached to the ELIS case as part of the Manual Name Harvesting Task during case processing.,To reduce the amount of adjudicative time spent manually harvesting aliases and dates of birth (DOBs) from identity history summary (IdHS) report attached to the ELIS case as part of the Manual Name Harvesting Task during case processing.,,high_signal
61273,DHS,ELIS Card Photo Validation Service,SAIC and DV United,ELIS,c) Developed with both contracting and in-house resources,Computer Vision,The card photo validation solution was developed to validate each submitted photo against a set of business-defined requirements in near-real-time in order to eliminate rejections/RFEs for the user uploaded photos.,"Ensuring beneficiary uploaded photos meet USCIS requirements. This helps ensure photos are correct before making ID cards, saving adjudicator time and avoiding delays.",,high_signal
61279,DHS,Position Description Generation and Evaluation,Starlo and Deloitte,,c) Developed with both contracting and in-house resources,Generative AI,"Federal agencies often face challenges in creating accurate, consistent, and well-structured position descriptions (PDs) due to limited resources, the time-intensive nature of the classification process, and varying levels of expertise among HR staff and Hiring Managers. Inaccurate or poorly written PDs can lead to misclassification, legal disputes, grievances, and difficulties attracting qualified candidates, ultimately impacting workforce quality and agency performance.","ClassifAI is designed to streamline and enhance the position description (PD) creation and classification process by leveraging generative AI to produce drafts of accurate, consistent, and standards-compliant PDs. By reducing administrative burdens, improving PD quality, and minimizing classification risks, ClassifAI enables agencies to optimize workforce management, attract top talent, and achieve greater operational efficiency with fewer resources.",Descript (via 'Descript'),high_signal
61288,DHS,CISAChat,Microsoft,,a) Purchased from a vendor,Generative AI,"Currently, retrieving and synthesizing content from hundreds of government documents is a slow, manual process. CISA users need the capability to answer questions, generate summaries, and produce textual responses efficiently using a broad range of information sources—from CISA publications to DHS mandates. AI can streamline and accelerate this workflow by automating information extraction and response generation.","Currently, multiple CISA program offices are using contractor staff to review pre-production content and other internal materials to develop summaries, key themes, and improve clarity. Leveraging a Generative AI solution improves internal agency Customer Experience (CX) and saves staff time.",Custom In-House AI (via 'Custom'),high_signal
61289,DHS,Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data,"Nightwing Intelligence Solutions, LLC. Procurement Instrument ID affiliated with this use case: 70QS0124C00000002",Trusted Automated eXchange of Indicator Information server,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"To enhance privacy, this AI tool uses Natural Language Processing (NLP) to automatically flag potential PII for review and removal by CISA analysts.","Automated PII Detection and Review Process uses analytics to identify and manage potential PII in submissions. If PII is flagged, the submission is sent to CISA analysts, who are guided by AI to review and confirm or reject the detection, redacting information if necessary. Privacy experts monitor the system and provide feedback. The system learns from this feedback, ensuring compliance with privacy regulations and improving efficiency by reducing false positives. Regular audits ensure the process remains trustworthy and effective.",,high_signal
61302,DHS,Normalization Services,Booz Allen,Repository for Analytics in a Virtualized Environment,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"This use case intends to solve the problem of data redundancies, inconsistencies difficult to integrate data that hinders the efficiency and accuracy of investigations.","HSI utilizes artificial intelligence to enhance data accuracy and efficiency by verifying, validating, correcting, and normalizing various types of information, including addresses, phone numbers, names, and ID numbers. This process helps to eliminate data entry errors, detect intentional misidentification, and connect related information across multiple datasets, ultimately reducing the time and resources required for investigations. The machine learning-powered normalization services offered by HSI include converting ambiguous addresses into usable formats, identifying ID types from partial information, categorizing names with complex suffixes and family names, and standardizing phone numbers to the E164 format, including determining their originating county. By normalizing and improving the quality of investigative datasets, HSI is able to use more advanced tools to find correlations and leads that would have otherwise gone undetected without extensive manual effort.",,high_signal
61314,DHS,ELIS Evidence Classifier Service,SAIC and DV United,ELIS,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,The adjudicators and contractors spends too much time sifting through digital evidence documents for relevant information.,"To enable end users to navigate directly to the page(s) containing evidence documents of interest instead of sifting through large PDF documents. Evidence tagging intends to accelerate case processing by identifying specific types of documents (e.g., I-589, passport photo spread, marriage certificate) and applying a metadata tag to that document object in ELIS. This way, when a user opens a case with potentially hundreds of pages of evidence documents, rather than scrolling through them one at a time to find a specific document of interest, they have clickable ""bookmarks"" in the UI generated from these tags that will jump directly to the corresponding page.",,high_signal
61317,DHS,AI Interview Simulator for Officer Training,"Steampunk, Customer Value Partners LLC (CVP) and Alpha Omega Integration (AOI)",Global,c) Developed with both contracting and in-house resources,Generative AI,"By simulating realistic applicant responses to officer questions, the AI Interview Simulator enables the RAIO trainees to refine their interview techniques without requiring any additional resources from experienced officer trainers or peers.",The AI Interview Simulator mimics live interviews to provide an analysis of the type of responses elicited in a mock interview.  This training platform accelerates the competency of the interviews by providing a format for the trainees to practice soliciting testimony from applicants through a chat-based user interface.,Custom In-House AI (via 'Custom'),high_signal
61598,DOE,APT Analytics,Microsoft,R&D User,Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Automate analysis of atom probe tomography (APT) data for faster scientific insights.,Speeds up materials research through automated nanoscale data analysis.,Aretec SEARCH (via 'SEARCH'),high_signal
61599,DOE,AI used for predictive modeling and real time control of traffic systems,Microsoft,R&D User,Developed with both contracting and in-house resources,Reinforcement Learning,"Produce high-quality, contextually relevant, and coherent responses or content based on user input.","Reduces traffic congestion, energy use, and greenhouse gas emissions.",,high_signal
61601,DOE,"Scalable, Efficient and Accelerated Causal Reasoning Operators, Graphs and Spikes for Earth and Embedded Systems (SEA-CROGS)",Microsoft,R&D User,Developed with both contracting and in-house resources,Natural Language Processing,"Improving Information Access, Understanding, and Productivity through Language Automation",Accelerates scientific discovery and next-gen computing for earth and embedded systems.,,high_signal
61605,DOE,Use of developed ML techniques to parse opensource text-based information.,Microsoft,R&D User,Developed with both contracting and in-house resources,Natural Language Processing,Parse open-source text to define disadvantaged communities for energy transition planning.,Informs equitable energy transition policies for disadvantaged communities.,,high_signal
61606,DOE,AI techniques for identification of suitable delivery parking spaces in an urban scenario,Cisco,R&D User,Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Identify optimal urban delivery parking spaces to support EV freight adoption.,Supports sustainable freight delivery and electric vehicle adoption.,,high_signal
61616,DOE,NLCOO AI for Lessons Learned tool,No Vendor Involved,"Authorization to Operate Amazon Web Service Federal Risk and Authorization Management Program Infrastructure as a Service Cloud Service Provider, Amazon Web Service Information System Security Plan, SD-006-CP-002/L2",Developed in house,Natural Language Processing,Provide best Lessons Learned based on the Problem a user is trying to address.,Better search to gain insights from exisitng lessons learned to improve how we do work.,Aretec SEARCH (via 'SEARCH'),high_signal
61629,DOE,MAPPRITE,Special Technologies Laboratory (STL),Provisional Authorization to Operate (P-ATO) for the Methodology for Analyzing and Prioritizing Policy Requirements and Integrating Them for Effectiveness (MAPPRITE),Developed with both contracting and in-house resources,Generative AI,"(1) The implemented AI will help automate data mining, ingesting, and indexing of existing disparate organizational data sources information for relevant safeguards and security (S&S) support information; and the (2) expected benefits will be to help","(1) The implemented AI will help automate data mining, ingesting, and indexing of existing disparate organizational data sources information for relevant safeguards and security (S&S) support information; and the (2) expected benefits will be to help improve EHSS-51 business workflows for researching potentially relevant S&S support data available such that the information will be accessible and searchable by policy subject matter specialists for awareness and additional context for strategic decision-making and policy management",Aretec SEARCH (via 'SEARCH') | Aware Biometrics (via 'Aware'),high_signal
61641,DOE,AI for Intelligent Automation,Not available,"CS-SSP-123,Cybersecurity System Security Plan for Azure Platform",Developed with both contracting and in-house resources,Generative AI,workplace automation,"Improve the timeliness and quality of manual work processes through automation where generative AI can make comparisons and decisions using INL procedures and controlled documents, with humans performing final validation and approval.",,high_signal
61661,DOE,LANL AI Portal,Amazon Web Services (hosting provider),"Authorization to Operate Amazon Web Service Federal Risk and Authorization Management Program Infrastructure as a Service Cloud Service Provider, Amazon Web Service Information System Security Plan, SD-006-CP-002/L2",Developed in house,Generative AI,"""Democratized access to open-source/open-weights Large Language Models (LLMs) for general purpose office productivity, research of AI models, software development, operational streamlining, code development ""","Democratized access to open-source/open-weights Large Language Models (LLMs) for general purpose office productivity, research of AI models, software development, operational streamlining, code development",Aretec SEARCH (via 'SEARCH'),high_signal
61672,DOE,Microsoft Bing Service,Microsoft,GSS,Purchased from a vendor,Generative AI,N/A,AI was automatically integrated into the product without an identified benefit to the organization.,,high_signal
61679,DOE,Microsoft Co-Pilot,Microsoft,Hanford Accreditation Boundary (HAB),Purchased from a vendor,Generative AI,Better analytics of data in our microsoft applications,Better analytics of data in our microsoft applications,,high_signal
61685,DOE,ESH&Q NEPA App,Not available,,Developed with both contracting and in-house resources,Other,Not available,"Speeds up environmental review processes and improves compliance accuracy, reducing delays in project approvals.",,high_signal
61690,DOE,Merlin - KCNSC Generative AI with RAG,N/A - Open Source Integration,vLLM - OpenSource model engine OpenShift - containerization platform GPT-OSS-120b - Opensource model OpenWebUI - Opensource front end,Developed in house,Generative AI,"Intended to address the opportunity to enhance overall productivity. No definite 'problem' being solved, just capitalizing on an opportunity to leverage industry investment in generative AI broadly.","It serves as a general productivity enhancer -not driven by a specific problem, but by the opportunity to improve efficiency.",,high_signal
61704,DOE,Soil Moisture Modeling,University of Montana,LMGSS,Purchased from a vendor,Classical/Predictive Machine Learning,Machine learning  solves issues with soil moisture by enhancing accuracy and efficiency in data analysis,The ability to determine evapotranspiration rates on disposal cell cover using publicly available data from satellites.,,high_signal
61711,DOE,Microsoft Visual C++ Additional Runtime,Microsoft,GSS,Purchased from a vendor,Generative AI,N/A,AI was automatically integrated into the product without an identified benefit to the organization.,,high_signal
61714,DOE,Computer Vision for Defect Detection,SRNS - OT In House Staff,,Developed in house,Computer Vision,"""To automate and enhance the detection of  visible defects in products, improving quality control and reducing production errors.""","Improved product quality, reduced production costs, less need for manual inspections, and enhanced productivity. The AI system will lead to significant cost savings and better consistency in products over time.",,high_signal
61717,DOE,Nuclear Safety Analysis,Not available,,Developed with both contracting and in-house resources,Other,"Safety, risk, and reliability analysis is performed by reactor designers, developers, and plant operators to ensure safe design and operation of the reactor and the plant; and is required by the regulators as part of license application. Performing s","The outcome of this effort will provide a tool to the safety analysis teams which will enable them to automate creating the risk models resulting in significant reduction in time spent on performing safety analysis, writing SARs, and conducting the regulatory review of safety case.",Microsoft Teams (via 'Teams'),high_signal
61723,DOE,Safeguards Digital Twin,Not available,,Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,This deals with international safeguars approaches.,Reduce the burden for inspectors by increasing synthesizing data and announcing anomalies.,,high_signal
61730,DOE,GitHub Co-Pilot,GitHub,Hanford Accreditation Boundary (HAB),Purchased from a vendor,Generative AI,"quicker, more complete, and safer code development","quicker, more complete, and safer code development",,high_signal
61734,DOE,EDMS Admin,Not available,EDMS,Developed with both contracting and in-house resources,Generative AI,Machine-readable information is difficult to quickly summarize by humans. By enabling summaries of information in our electronic document management system we have a previously-unavailable capability that addresses this problem.,Reduces administrative burden through intelligent automation of routine tasks.,,high_signal
61737,DOE,Project Optimus - Prime Contract,Not available,optimus.hpc.inl.gov,Developed with both contracting and in-house resources,Other,Not available,Improves contract lifecycle efficiency and compliance tracking.,,high_signal
61752,DOE,Microsoft Visual C++ Redistributable,Microsoft,GSS,Purchased from a vendor,Generative AI,N/A,AI was automatically integrated into the product without an identified benefit to the organization.,,high_signal
61767,DOE,AI-Tailored Learning Management Solutions,SRNS - OT In House Staff,,Developed in house,Generative AI,"To improve the quality, relevance, and delivery of training materials, ensuring they are tailored and effective for users.","Improved training materials, dynamic learning tailored to user needs, real-time feedback, comprehensive evaluation, and higher staff effectiveness and readiness.",,high_signal
61780,DOE,Microsoft MSPaint,Microsoft,GSS,Purchased from a vendor,Generative AI,N/A,AI was automatically integrated into the product without an identified benefit to the organization.,,high_signal
