agency_abbreviation,ai_classification_2025,ai_sophistication_2025,architecture_type_2025,bureau,commercial_ai,deployment_scope_2025,dev_method,dev_stage,entry_type_2025,expected_benefits_2025,is_coding_tool_2025,is_cots_commercial_2025,is_enterprise_wide_2025,is_general_llm_access_2025,is_generative_ai_2025,is_microsoft_copilot_2025,lineage_status,name_2025,outputs,problem_statement_2025,proposed_ai_sophistication,proposed_architecture_type,proposed_confidence,proposed_deployment_scope,proposed_entry_type,proposed_is_anthropic,proposed_is_aws_ai,proposed_is_coding_tool,proposed_is_cots_commercial,proposed_is_enterprise_wide,proposed_is_general_llm_access,proposed_is_generative_ai,proposed_is_github_copilot,proposed_is_google,proposed_is_microsoft_copilot,proposed_is_openai,proposed_is_public_facing,proposed_reasoning,proposed_scope_detail,proposed_tool_product_name,proposed_tool_vendor,proposed_use_type,purpose_benefits,system_name_2025,system_outputs_2025,tool_product_name_2025,tool_vendor_2025,uc_2024_id,uc_2025_id,use_case_id_2024,use_case_name,use_type_2025,vendor_name_2025,w2_flags_json,w2_reasoning,w2_tagged_by,wave1_ai_sophistication,wave1_architecture_type,wave1_confidence,wave1_deployment_scope,wave1_entry_type,wave1_is_anthropic,wave1_is_aws_ai,wave1_is_coding_tool,wave1_is_cots_commercial,wave1_is_enterprise_wide,wave1_is_general_llm_access,wave1_is_generative_ai,wave1_is_github_copilot,wave1_is_google,wave1_is_microsoft_copilot,wave1_is_openai,wave1_is_public_facing,wave1_reasoning,wave1_scope_detail,wave1_tool_product_name,wave1_tool_vendor,wave1_use_type
SEC,,classical_ml,unknown,Office of Information Technology (OIT),Searching for information using AI.,bureau,,Initiated,custom_system,,0,0,0,0,0,0,continued,Mobile Phone Artificial Intelligence Features,In planning phase - TBD,,,,,,,,,,,,,,,,,,,,,,,,Tests new mobile phone AI features.,,,,,35582,134780,35582,Mobile Phone Artificial Intelligence Features,administrative,,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system; scope grew narrow->broad (pilot->bureau); likely real rollout,wave2a-continued,general_llm,unknown,low,pilot,generic_use_pattern,,,,,0,,1,,,,,,'Tests new mobile phone AI features' — exploratory pattern.,OIT,,,it_operations
SEC,,,,Office of Human Resources (OHR),Creating visually appealing presentations using AI-driven design suggestions.,,Developed with contracting resources.,Operation and Maintenance,,,,,,,,,retired_2024,,"A video is created, which may be edited.",,,,,,,,,,,,,,,,,,,,,,,,Allows staff to make and edit work-related videos.,,,,,,,35583,Create Work-Related Videos,,,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,wave2b-retired,general_llm,inference_only,low,office,product_deployment,,,,1,0,,1,,,,,,'Allows staff to make and edit work-related videos' with AI-driven design — COTS video editor.,OHR,,,administrative
SEC,Agentic AI,agentic,unknown,Office of Information Technology (OIT),None of the above.,bureau,,Initiated,custom_system,Enhances identification of anomalous cybersecurity alerts for review. Increases the effectiveness and efficiency of limited cybersecurity resources.,0,0,0,0,0,0,continued,Evaluating Cybersecurity Alerts,Tables containing anomalous cybersecurity alerts.,Explore different mechanisms leveraging AI to inform and expedite cybersecurity processes.,,,,,,,,,,,,,,,,,,,,,,,Enhances identification of anomalous cybersecurity alerts for review.,,Cybersecurity analysis reports and initial assessments of activity.,,,35586,134783,35586,Evaluating Cybersecurity Alerts,cybersecurity,,"[""material_divergence""]",ai_sophistication crossed cluster classical_ml->agentic,wave2a-continued,classical_ml,unknown,low,office,custom_system,,,,,0,,0,,,,,,'Identification of anomalous cybersecurity alerts for review' — alert triage ML.,OIT,,,cybersecurity
SEC,,classical_ml,unknown,Office of Information Technology (OIT),Inputting large amounts of data from paper forms into a digital system using AI.,bureau,Developed with contracting resources.,Implementation and Assessment,custom_system,,0,0,0,0,0,0,continued,EDGAR Filing Risk Disclosure Review Solution,Table of summarized earnings call data and EDGAR filing comparison.,,,,,,,,,,,,,,,,,,,,,,,,Analyzes earnings call transcripts and EDGAR filing disclosure of risk factors.,,,,,35591,134787,35591,EDGAR Filing Risk Disclosure Review Solution,administrative,,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,wave2a-continued,general_llm,unknown,medium,office,custom_system,,,,,0,,1,,,,,,'Analyzes earnings call transcripts and EDGAR filing disclosure of risk factors' — summarization/comparison.,OIT,,,mission_critical
SEC,,agentic,unknown,Strategic Hub for Innocation and Financial Technology (FinHub),Searching for information using AI.,bureau,,Initiated,custom_system,,0,0,0,0,1,0,continued,Testing Developer Workflows,In planning phase - TBD,,,,,,,,,,,,,,,,,,,,,,,,Tests workflows to inform guidance for future AI use case development.,,,,,35592,134788,35592,Testing Developer Workflows,administrative,,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,wave2a-continued,general_llm,unknown,low,pilot,generic_use_pattern,,,,,0,,1,,,,,,'Tests workflows to inform guidance for future AI use case development' — FinHub exploration.,FinHub,,,research
SEC,,classical_ml,unknown,Division of Examinations (EXAMS),Summarizing the key points of a lengthy report using AI.,office,,Initiated,custom_system,,0,0,0,0,0,0,continued,Testing of Various AI Algorithms and Models,In planning phase - TBD,,,,,,,,,,,,,,,,,,,,,,,,"Experimentation using technology to determine if appropriate to enhance examiner efficiency, productivity, or effectiveness.",,,,,35597,134792,35597,Testing of Various AI Algorithms and Models,administrative,,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system,wave2a-continued,general_llm,unknown,low,pilot,generic_use_pattern,,,,,0,,1,,,,,,'Experimentation using technology to determine if appropriate to enhance examiner efficiency'.,EXAMS,,,research
SEC,,classical_ml,unknown,Division of Enforcement (ENF); Division of Economic and Risk Analysis (DERA),None of the above.,office,Developed in-house.,Operation and Maintenance,custom_system,,0,0,0,0,0,0,continued,Using AI to Help with Coding-Related Tasks/Questions,"It outputs code responsive to the user’s request. It is textual, non-self-executing, and typically has non-code text explaining the logic behind the code and how to use the code.",,,,,,,,,,,,,,,,,,,,,,,,"Helps staff with coding-related tasks, for a subset of supported languages. Staff can also use this as an educational tool to learn how to code more efficiently.",,,,,35602,134797,35602,Using AI to Help with Coding-Related Tasks/Questions,administrative,,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system,wave2a-continued,coding_assistant,inference_only,medium,office,product_deployment,,,1,,0,,1,,,,,,'Helps staff with coding-related tasks … outputs code responsive to the user's request' — coding assistant.,ENF & DERA,,,it_operations
USAGM,,,,OCIO,Improving the quality of written communications using AI tools.,,,Initiated,,,,,,,,,retired_2024,,,,,,,bureau,,,,,,,,,,,,,,,,,,,"USAGM is exploring the potential of Microsoft Copilot to enhance workplace productivity and collaboration across its internal teams. The tool leverages generative AI capabilities integrated within the Microsoft 365 suite, enabling employees to streamline workflows and focus on high-value tasks. Key features include drafting documents and presentations, summarizing content, automating reminders, managing editorial calendars, scheduling meetings, recording and transcribing conversations, and conducting natural language search for quick access to files and records. This initiative supports operational efficiency by integrating AI capabilities across collaboration, task management, and content creation workflows.",,,,,,,35604,Microsoft Copilot for Internal Employees,,,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='enterprise_wide' — pre-deployment system can't be broadly rolled out,wave2b-retired,general_llm,inference_only,high,enterprise_wide,product_deployment,,,,1,1,1,1,,,1,,,Title 'Microsoft Copilot for Internal Employees' enhancing 'workplace productivity and collaboration across its internal teams'.,OCIO,Microsoft 365 Copilot,Microsoft,administrative
USAGM,,,,OCIO,Transcribing and summarizing a recorded meeting or interview using AI.,,,Initiated,,,,,,,,,retired_2024,,,,,,,bureau,,,,,,,,,,,,,,,,,,,"Generative AI is being leveraged in USAGM’s media workflows to enhance efficiency and accessibility. This use case integrates Latakoo, which utilizes OpenAI's Whisper technology for transcription. With high accuracy, the system transcribes content as it is processed and passes it into USAGM’s media asset management (MAM) system, ensuring that the content is easily searchable and accessible for future use.",,,,,,,35605,Automated Transcription Generation,,,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,wave2b-retired,general_llm,inference_only,high,department,bespoke_application,,,,1,0,,1,,,,1,,"'Integrates Latakoo, which utilizes OpenAI's Whisper technology for transcription'.",OCIO,Latakoo/Whisper,Latakoo/OpenAI,mission_critical
USAGM,,,,OCIO,None of the above.,,,Initiated,,,,,,,,,retired_2024,,,,,,,bureau,,,,,,,,,,,,,,,,,,,"This project uses AI integrated with our content management system (CMS) and digital platforms to assist journalists in optimizing article quality. AI generates multiple versions of titles, automates the creation of SEO-friendly tags and text, and provides concise summaries for articles. These summaries enhance user engagement by increasing the time spent on pages, particularly when readers arrive via search engines or social media. Journalists can review and adjust AI suggestions to ensure alignment with their goals.",,,,,,,35606,Content Enhancement for Articles,,,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,wave2b-retired,general_llm,unknown,medium,department,bespoke_application,,,,,0,,1,,,,,,'AI generates multiple versions of titles' — CMS-integrated content enhancement.,OCIO,,,mission_critical
USAGM,,,,OCIO,None of the above.,,,Initiated,,,,,,,,,retired_2024,,,,,,,bureau,,,,,,,,,,,,,,,,,,,"This initiative uses AI integrated with our content management system (CMS) to streamline multilingual content production across USAGM’s networks. Unlike typical translation tasks, USAGM faces the unique challenge of efficiently translating content into 50-plus languages, spanning diverse linguistic and cultural contexts. The AI translation tool provides draft translations for cloned articles, enabling seamless content reuse between language teams while maintaining accuracy and cultural sensitivity. This solution is critical for ensuring high-quality, localized content delivery to audiences worldwide.",,,,,,,35607,Automated Translations,,,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,wave2b-retired,general_llm,unknown,medium,department,bespoke_application,,,,,0,,1,,,,,,'AI integrated with our content management system (CMS) to streamline multilingual content production'.,OCIO,,,mission_critical
USAGM,,,,OCIO,Searching for information using AI.,,,Planned,,,,,,,,,retired_2024,,,,,,,bureau,,,,,,,,,,,,,,,,,,,"An AI-driven agent is being developed to enhance user support within the CMS. The agent will respond to natural language questions, offering tailored guidance and solutions from the CMS’s internal help documentation.",,,,,,,35608,AI-Powered CMS Guide Agent,,,"[""misclassified_lifecycle""]",dev_stage='Planned' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,wave2b-retired,general_llm,rag_pipeline,medium,department,bespoke_application,,,,,0,,1,,,,,,"'AI-driven agent … respond to natural language questions, offering tailored guidance' — CMS guide agent.",OCIO,,,administrative
USAGM,,,,OCIO,Searching for information using AI.,,,Planned,,,,,,,,,retired_2024,,,,,,,bureau,,,,,,,,,,,,,,,,,,,"AI tools integrated with our content management system (CMS) are being piloted to create multi-article summaries, ""smart search"" responses, and interactive highlights tailored for mobile-first users. These tools enhance content discoverability within the CMS and enable the creation of widgets like ""all you need to know"" summaries, improving user engagement and accessibility. Additionally, AI-generated interactive formats provide better comprehension for long-form articles, ensuring a seamless user experience across digital platforms.",,,,,,,35609,Content Summarization and Audience Engagement,,,"[""misclassified_lifecycle""]",dev_stage='Planned' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,wave2b-retired,general_llm,unknown,medium,department,bespoke_application,,,,,0,,1,,,,,,"'Multi-article summaries, smart search responses, and interactive highlights' for CMS users.",OCIO,,,mission_critical
USAGM,,,,OCIO,None of the above.,,,Planned,,,,,,,,,retired_2024,,,,,,,bureau,,,,,,,,,,,,,,,,,,,AI-generated audio narrations are being explored as a tool to enhance accessibility and engagement for long-form articles. An integrated audio player would allow users to consume content in a more convenient and flexible manner.,,,,,,,35610,Automated Text Narration,,,"[""misclassified_lifecycle""]",dev_stage='Planned' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,wave2b-retired,general_llm,inference_only,medium,department,bespoke_application,,,,,0,,1,,,,,1,'AI-generated audio narrations' for accessibility on long-form articles.,OCIO,,,mission_critical
USAGM,,,,OCIO,None of the above.,,,Planned,,,,,,,,,retired_2024,,,,,,,bureau,,,,,,,,,,,,,,,,,,,"AI is being tested to automate the generation of descriptive metadata, such as content summaries and SEO tags. This capability aims to simplify cataloging processes, improve content discoverability, and reduce the manual effort required for metadata creation",,,,,,,35611,Automated Metadata Generation,,,"[""misclassified_lifecycle""]",dev_stage='Planned' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,wave2b-retired,general_llm,unknown,medium,department,bespoke_application,,,,,0,,1,,,,,,"'AI is being tested to automate the generation of descriptive metadata, such as content summaries and SEO tags'.",OCIO,,,mission_critical
VA,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,agentic,unknown,VHA: Veterans Health Administration,Creating visual representations of data sets for reports and presentations using AI.,bureau,Developed with contracting resources.,Operation and Maintenance,product_deployment,"Occupant screening for weapons to ensure that facilities are creating a safe and secure environment for Veterans, Visitors, and Employees.",0,1,0,0,0,0,renamed,Evolv WDS - OSLE,Areas of interest for a heat map that include objects that would produce heat indicators aligned with heat signatures of known types of different weapons.,AI driven security screening system designed to detect concealed weapons and threats in high-traffic areas. AI is used to conduct scans of objects in the shapes of weapons then develops maps of the body to display the location and shape of the object.,,,,,,,,,,,,,,,,,,,,,,,Using heat map technology to identify heat signature of known weapons.,,AI is used to conduct scans of objects in the shapes of weapons then develops maps of the body to display the location and shape of the object.,,,35618,135436,35618,Evolv WDS - OSSO,cybersecurity,,"[""material_divergence""]",ai_sophistication LLM-class shift classical_ml→agentic,wave2a-renamed-split,classical_ml,unknown,medium,bureau,product_deployment,,,,1,0,,0,,,,,,Named product deployment: 'Using heat map technology to identify heat signature of known weapons' → classical_ml.,VHA,,,mission_critical
VA,,general_llm,unknown,OIT: Office of Information & Technology,Improving the quality of written communications using AI tools.,bureau,,Acquisition and/or Development,custom_system,,0,0,0,1,1,0,continued,VA Chat Copilot Meta Pilot,"Chat Copilot is a generative AI interface that allows users to upload documents and query the tool about those documents. Outputs can include draft emails, draft communications, document summaries, draft project templates, responses to questions about content of documents, etc.",,,,,,,,,,,,,,,,,,,,,,,,Administrative efficiency for VA employees,,,,,35619,135616,35619,VA Chat Copilot Meta Pilot,administrative,,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,wave2a-continued,general_llm,inference_only,high,pilot,product_deployment,,,,,0,1,1,,,1,,,Named product deployment: 'a generative AI interface that a' → general_llm.,OIT,Microsoft Copilot,Microsoft,administrative
VA,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",computer_vision,inference_only,VHA: Veterans Health Administration,Searching for information using AI.,bureau,Developed with contracting resources.,Operation and Maintenance,product_deployment,"The integration of artificial intelligence (AI) into VA Police operations has significantly enhanced efficiency and response capabilities. Traditionally, personnel were required to manually review recorded video and images which was a time-consuming process. With AI, these records can now be autonomously searched, drastically reducing manpower hours.

Moreover, during emergent situations, AI has proven instrumental in locating persons of interest, such as missing individuals or patients. This capability has greatly improved the VA Police’s ability to respond swiftly and effectively, ultimately enhancing safety and operational readiness.",0,1,0,0,1,0,continued,Avigilon Camera/Search Function - OSSO,Video or picture of requested searches from the video surveillance systems.,A search function in a security video surveillance system that searches for points of interest in the video.,,,,,,,,,,,,,,,,,,,,,,,A search function in a security video surveillance system that search's for points of interest in the video.,,Video or images of requested searches from the video surveillance systems.,Aretec SEARCH,Aretec,35620,135437,35620,Avigilon Camera/Search Function - OSSO,cybersecurity,,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,wave2a-continued,classical_ml,unknown,medium,bureau,product_deployment,,,,1,0,,0,,,,,,Named product deployment: 'A search function in a security video surveillance system that search's for' → classical_ml.,VHA,,,mission_critical
VA,,classical_ml,unknown,OIT: Office of Information & Technology,Transcribing and summarizing a recorded meeting or interview using AI.,bureau,,Acquisition and/or Development,custom_system,,0,0,0,0,0,0,renamed,AI-Enhanced Call Center,Most of genesys outputs are surfacing knowledge to assist the staff with customers interactions or automating repetitive tasks such as scoring quality forms for those interactions or routing of customers upon discovered intents.,,,,,,,,,,,,,,,,,,,,,,,,"Assist staff with knowledge based recommendations, conversation summarization and quality assurance metrics automation. This will allow the staff to react quicker to customer needs and spend less time researching for information or performing repetitive tasks and instead focus more on customer interactions.",,,,,35624,135640,35624,Genesys Cloud Contact Center,administrative,,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml,wave2a-renamed-split,general_llm,inference_only,medium,bureau,bespoke_application,,,,,0,,1,,,,,,In-house wrapper/RAG over foundation model: 'conversation summarization and quality as' → general_llm.,OIT,,,administrative
